店舗・グループ名１,店舗・グループ名２,特典内容１,お問合せ先１,お問合せ先１店舗名,お問合せ先２,お問合せ先備考,お問合せ先（メールアドレス）,お問合せ先（ＨＰ）,お問合せ先（ＨＰ）備考
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",03-3838-6788,ダイワサイクル葛飾店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",042-533-5678,ダイワサイクル羽村店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",042-313-6338,ダイワサイクル小平店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",03-6281-0688,ダイワサイクル練馬北町店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",042-851-7248,ダイワサイクル町田店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",03-5935-4588,ダイワサイクル大泉学園店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",03-5856-4778,ダイワサイクル竹の塚店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",042-312-3348,ダイワサイクル一橋学園店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",042-785-4548,ダイワサイクル成瀬店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",03-5879-4588,ダイワサイクル東小松川店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",03-5665-1238,ダイワサイクルSTYLEアリオ北砂店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",042-512-6788,ダイワサイクルSTYLEららぽーと立川立飛店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",042-420-7188,ダイワサイクルSTYLEアクロスプラザ東久留米店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",03-6904-6658,ダイワサイクル練馬土支田店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",0422-27-8898,ダイワサイクル武蔵野関前店,,,,,
ダイワサイクル／ダイワサイクルSTYLE,,"出張修理サービス出張費無料（修理代別途必要・指定エリアあり・ダイワサイクルSTYLEは対象外）／電動自転車5,000円割引・一般自転車1,000円割引（他の割引等との併用不可・一部対象外あり）／自転車購入で自転車ヘルメット10パーセント割引（他の割引等との併用不可・一部対象外あり）／自転車購入で「サポートパック」無料サービス（スタンダード、電動アシストは「ライトプラン」をサービスいたします）。3年間の盗難時割引サービス。ＴＳマーク付帯保険（青色マーク１年間）。点検３年間無料（一式点検６回サービス）。自転車1,000円割引券進呈。工賃割引（故障してもお得に修理。修理工賃10パーセント割引）／詳細は店舗スタッフにお気軽にお問合せください。",03-5856-3188,ダイワサイクル北綾瀬店,,,,,
株式会社東部,,四輪自転車「エアロク－クルＭ２」購入した方、送料無料、粗品進呈（定価３千円相当の自転車カバーまたは専用のカゴカバー進呈）,03-6205-6210,東京営業所,,,,http://www.aero-tobu.com/cookle/index.html,
株式会社セリオ,モビリティショップ府中,電動カート・電動アシスト付自転車購入者に「車体カバー無料」,042-370-1350,,,,,,
自転車中古センター,東村山久米川店,"リユース電動アシスト自転車、店頭販売価格から2,000円オフ。",042-306-4311,,,,,,
株式会社スペースケア,,電動カートをご契約いただいた方に、「おまもりくん」をもれなくプレゼント。万が一の際に二次元バーコード読み取りでご本人の情報が確認できます。,047-407-1972,法人営業,,,,,
アビリティーズ・ケアネット株式会社,,"電動伸縮式電動カート「コンパ」を販売金額298,000円より48,000円値引き（非課税商品）／総合生活保障保険付き（１年間）／東京都全域送料無料（島諸島除く）／試乗体験できます。",0120-834-490,お近くの営業所につながります,,,,,
サイクルパートナー,,"電動アシスト自転車３,０００円引き　一般自転車１,０００円引き",03-3902-5881,赤羽店,,,,,
サイクルパートナー,,"電動アシスト自転車３,０００円引き　一般自転車１,０００円引き",03-5945-0056,東武練馬店,,,,,
サイクルパートナー,,"電動アシスト自転車３,０００円引き　一般自転車１,０００円引き",03-5916-3334,志村坂下店,,,,,
サイクルパートナー,,"電動アシスト自転車３,０００円引き　一般自転車１,０００円引き",03-6914-6973,練馬駅前店,,,,,
株式会社特殊衣料,,保護帽アボネット全品１０パーセント割引,011-663-0761,,,,,,
株式会社日本パレード,,自転車用ヘルメット「カポル」指定商品の１０パーセント割引及び送料無料,0120-71-8010,東京本社,,,,http://www.nippare.com/capor,
ミズノ,,本体価格より１０パーセントＯＦＦ／一部対象外商品あり。／他の割引との併用不可。,03-3233-7000,MIZUNO　TOKYO,,,,,
ミズノ,,本体価格より１０パーセントＯＦＦ／一部対象外商品あり。／他の割引との併用不可。,03-3272-7521,ミズノウエルネスショップ八重洲,,,,,
ミズノ,,本体価格より１０パーセントＯＦＦ／一部対象外商品あり。／他の割引との併用不可。,03-5321-5497,京王百貨店ミズノ新宿店,,,,,
ミズノ,,本体価格より１０パーセントＯＦＦ／一部対象外商品あり。／他の割引との併用不可。,03-6382-7880,ミズノウエルネスショップ中野マルイ,,,,,
ミズノ,,本体価格より１０パーセントＯＦＦ／一部対象外商品あり。／他の割引との併用不可。,03-5399-5888,ミズノ高島平店,,,,,
ミズノ,,本体価格より１０パーセントＯＦＦ／一部対象外商品あり。／他の割引との併用不可。,03-6806-2150,ミズノウエルネスショップ北千住マルイ,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,03-3829-5539,アシックスウォーキング錦糸町,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,03-3271-9771,アシックスウォーキング八重洲地下街,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,03-3562-5355,アシックスウォーキング銀座インズ,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,03-3486-2801,アシックスウォーキング渋谷,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,03-3347-5631,アシックスウォーキング新宿京王モール,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,0422-23-7388,アシックスウォーキング吉祥寺,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,0422-22-1070,アシックスウォーキング吉祥寺通,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,03-3220-3301,アシックスウォーキング荻窪タウンセブン,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,042-373-9271,アシックスウォーキングココリア多摩センター,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,042-686-3332,アシックスウォーキングセレオ八王子,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,03-3709-5140,アシックスウォーキング二子玉川,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,03-5713-6260,アシックスウォーキンググランデュオ蒲田,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,03-5843-3334,アシックスウォーキング池袋ショッピングパーク,,,,,
アシックスジャパン株式会社,,シューズ購入でお買上げ合計より15パーセントオフ。一部対象外あり。他の優待とは併用不可。,03-6264-5041,アシックスランウォークギンザ,,,,,
EDIST.CLOSET,,"ファッションレンタルお申込み時に、EDIST.CLOSETサイトで使える1,000円相当のポイントプレゼント",03-4577-9791,,,,info@edist-closet.com,,
メガネドラッグ,,"メガネ・サングラス（税込5,500円以上）10パーセント割引・補聴器5パーセント割引／他の割引との併用不可",03-3735-0022,お客様相談室,,,,,
アイリスメガネ,,メガネ一式２０，０００円以上購入時１０パーセント割引（一部対象外あり）,03-3274-5991,ヤエチカ店,,,,,
八王子メガネ☆八幡町店,,眼鏡購入時２０パーセント割引,042-626-2031,,,,,,
南千住メガネのサトウ,,メガネ(フレーム・レンズ)、ハズキルーペご購入時10パーセント割引と粗品進呈　※本人に限る,03-3806-4930,,,,,https://megane-sato.com,
素敵・快適タカクラメガネ,,眼鏡・補聴器２０パーセント割引,042-622-7658,,,,,,
メガネスーパー,,メガネ・サングラス・コンタクトレンズ・補聴器、通常価格より15パーセントオフ（一部除外品あり）,0120-678-551,,,,,https://www.meganesuper.co.jp/,
和真メガネ,銀座本店、新宿本館、新宿レディースショップ、新宿ANNEX、アルカキット錦糸町店、イトーヨーカドー木場店、西友荻窪店、西友巣鴨店、赤羽すずらん通り店、イトーヨーカドー赤羽店、リヴィンオズ大泉店、リヴィン光が丘店、アリオ西新井店、アリオ葛西店、オプタス葛西店、八王子店、イーアス高尾店、西友吉祥寺店、西友町田店、国分寺店、西友福生店、イトーヨーカドー東久留米店、イオンモール東久留米店、西友ひばりヶ丘店,メガネ・サングラス・補聴器１０パーセント割引,0120-048-418,フリーダイヤル,,,,www.washin-optical.co.jp,
ビックカメラ,,メガネ、補聴器10パーセント値引き、電動アシスト自転車5パーセント値引き。詳しくはビックカメラホームページ、または店舗にお問合せください。,,,,,,https://www.biccamera.co.jp/bic_contact/driver_license.html,東京都内のお取扱店舗にお問合せください
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,03-3652-8585,新小岩銀座店,,,,,
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,03-3689-1789,イオン葛西店,,,,,
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,03-6404-9581,イトーヨーカドー大森店,,,,,
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,03-3791-4671,学芸大学店,,,,,
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,03-5701-4141,自由が丘店,,,,,
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,03-3465-0255,下北沢店,,,,,
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,03-5920-2501,イオン板橋店,,,,,
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,03-3924-3033,石神井店,,,,,
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,03-3975-0117,イオン練馬店,,,,,
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,0422-23-5087,ヨドバシ吉祥寺店,,,,,
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,042-460-2255,アスタ田無駅前店,,,,,
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,042-677-7066,南大沢店（イトーヨーカドー南大沢店内）,,,,,
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,042-669-0951,八王子店（イトーヨーカドー八王子店内）,,,,,
メガネの愛眼,,眼鏡１０パーセント、補聴器５パーセント割引／本人に限る。,042-376-3582,聖蹟桜ヶ丘ＯＰＡ店,,,,,
ハートアップコンタクト協和 ,池袋東口店,眼鏡全品一式20パーセント割引、コンタクトレンズ全品10パーセント割引※他の割引・優待などとの併用はできません。,03-3985-9090,池袋東口店,,,,,
ハートアップコンタクト協和,新宿東口店,眼鏡全品一式20パーセント割引、コンタクトレンズ全品10パーセント割引※他の割引・優待などとの併用はできません。,03-3356-9090,新宿東口店,,,,,
眼鏡市場,,メガネ・サングラス・補聴器店頭価格より５パーセント割引。メガネの無料洗浄・調整サービス/他割引併用不可,,,,,,https://www.meganeichiba.jp/shopinfo/tokyo/,
メガネのタニ,,メガネフレーム、メガネレンズ10パーセント割引。／本人に限る。他の割引、優待等との併用不可。また、サングラス、コンタクトレンズ、補聴器、一部ブランドフレーム、メガネセット商品、特価品、修理品は割引対象外。,03-3291-1007,神田本店,,,,http://www.tany-optics.co.jp/index.html,
メガネのタニ,,メガネフレーム、メガネレンズ10パーセント割引。／本人に限る。他の割引、優待等との併用不可。また、サングラス、コンタクトレンズ、補聴器、一部ブランドフレーム、メガネセット商品、特価品、修理品は割引対象外。,042-546-4870,昭島モリタウン店,,,,http://www.tany-optics.co.jp/index.html,
メガネのタニ,,メガネフレーム、メガネレンズ10パーセント割引。／本人に限る。他の割引、優待等との併用不可。また、サングラス、コンタクトレンズ、補聴器、一部ブランドフレーム、メガネセット商品、特価品、修理品は割引対象外。,042-394-1476,イトーヨーカドー東村山店,,,,http://www.tany-optics.co.jp/index.html,
メガネのタニ,,メガネフレーム、メガネレンズ10パーセント割引。／本人に限る。他の割引、優待等との併用不可。また、サングラス、コンタクトレンズ、補聴器、一部ブランドフレーム、メガネセット商品、特価品、修理品は割引対象外。,042-563-7007,BIGBOX東大和,,,,http://www.tany-optics.co.jp/index.html,
株式会社サトーメガネ,,メガネ・サングラス店舗価格より５％割引 ※ 他の割引とは併用不可  本人に限る,042-566-6641,東大和向原店,,,,,
東日本リオン,,補聴器購入代金１０パーセント割引（修理・部品・電池を除く）（一部対象外あり）（本人に限る）（他の割引・優待との併用不可）,03-5467-4021,リオネットセンター渋谷店,,,,http://www.rion-east.co.jp,
東日本リオン,,補聴器購入代金１０パーセント割引（修理・部品・電池を除く）（一部対象外あり）（本人に限る）（他の割引・優待との併用不可）,03-3718-4191,リオネットセンター自由が丘店,,,,http://www.rion-east.co.jp,
東日本リオン,,補聴器購入代金１０パーセント割引（修理・部品・電池を除く）（一部対象外あり）（本人に限る）（他の割引・優待との併用不可）,03-5347-4166,リオネットセンター杉並店,,,,http://www.rion-east.co.jp,
東日本リオン,,補聴器購入代金１０パーセント割引（修理・部品・電池を除く）（一部対象外あり）（本人に限る）（他の割引・優待との併用不可）,03-6454-1133,リオネットセンター中野店,,,,http://www.rion-east.co.jp,
東日本リオン,,補聴器購入代金１０パーセント割引（修理・部品・電池を除く）（一部対象外あり）（本人に限る）（他の割引・優待との併用不可）,03-5393-5330,リオネットセンター石神井公園店,,,,http://www.rion-east.co.jp,
東日本リオン,,補聴器購入代金１０パーセント割引（修理・部品・電池を除く）（一部対象外あり）（本人に限る）（他の割引・優待との併用不可）,042-439-3373,リオネットセンターひばりが丘店,,,,http://www.rion-east.co.jp,
東日本リオン,,補聴器購入代金１０パーセント割引（修理・部品・電池を除く）（一部対象外あり）（本人に限る）（他の割引・優待との併用不可）,042-524-5811,リオネットセンター立川北店,,,,http://www.rion-east.co.jp,
東日本リオン,,補聴器購入代金１０パーセント割引（修理・部品・電池を除く）（一部対象外あり）（本人に限る）（他の割引・優待との併用不可）,042-523-3321,リオネットセンター立川南店,,,,http://www.rion-east.co.jp,
東日本リオン,,補聴器購入代金１０パーセント割引（修理・部品・電池を除く）（一部対象外あり）（本人に限る）（他の割引・優待との併用不可）,042-312-2522,リオネットセンター国分寺店,,,,http://www.rion-east.co.jp,
東日本リオン,,補聴器購入代金１０パーセント割引（修理・部品・電池を除く）（一部対象外あり）（本人に限る）（他の割引・優待との併用不可）,042-220-3311,リオネットセンター吉祥寺店,,,,http://www.rion-east.co.jp,
東日本リオン,,補聴器購入代金１０パーセント割引（修理・部品・電池を除く）（一部対象外あり）（本人に限る）（他の割引・優待との併用不可）,042-499-3340,リオネットセンター調布店,,,,http://www.rion-east.co.jp,
クラシカエル,,補聴器10パーセント割引。電動カート5パーセント割引。,042-588-5050,,,,,,
有限会社テクニカルエイドシステムズ,,補聴器購入１０％割引（修理・部品・電池を除く） （一部対象外あり。本人に限る。他の割引・待遇との併用不可）,042-686-0380,,,,,http://www.hachioji-hochouki.com/,
ノジマ,,"税別5,000円以上購入で宅配料金（1,100円）無料／配送設置料半額（1,925円）／ケータイ・スマホ店頭サービス通常3,240円が半額／ノジマオンラインは対象外",045-228-3546,,,,,,
いずみかわ司法書士事務所,,不動産登記（相続・抵当権抹消など）商業登記（会社設立・役員変更など）及びペットのための信託に関する相談初回無料／訪問での相談の場合は、交通費のみお支払いいただきます。,03-6912-6544,,,,,,
岡高志行政書士事務所,,遺言書作成・相続についての初回相談無料（60分間まで）。訪問での相談の場合は、交通費のみお支払いいただきます（大田区・世田谷区・目黒区内であれば交通費不要）,03-6315-6209,,,,oka@okatakashi.net,https://okatakashi.net,
スタートライン行政書士事務所,,"相続に関する手続き・遺言・任意後見等の初回相談無料。正式に依頼された場合、料金から5,000円割引。",03-6809-4370,,,,,https://st-line-isansouzokusoudan.jp/,
司法書士事務所ワン・プラス・ワン,,土地・建物の相続登記義務化に関する「司法書士相談60分無料」／相続によるご自宅の名義変更、遠方の土地建物の相続についても対応いたします。大田区であれば、大田区池上の事務所から訪問いたします。,03-5747-4666,,,,mail@44s4-kobayashi.com,http://www.44s4-kobayashi.com/,
弁護士法人エース,銀座事務所・横浜事務所・浜松事務所,遺言作成のご相談を無料で承ります。ご依頼時の事務手数料を１万円割引いたします。,0120-905-959,,,,,https://ace-law.or.jp/,
弁護士法人えそら,,遺産相続・家族信託・遺言のご相談を無料で承ります。,03-4233-0796,,,,,https://esola-law.or.jp/,
遺産相続手続まごころ代行センター,,"遺産相続手続き・遺言等の初回60分無料相談が90分まで延長可。正式にご依頼された場合、料金から5,000円割引いたします。",0120-0556-52,,,,info@souzoku-isan.net,https://www.souzoku-isan.net/,
税理士法人トゥモローズ,,相続税申告報酬10パーセントオフ,0120-916-968,,,,info@tomorrowstax.com,https://tomorrowstax.com/,
司法書士法人リーガル・ソリューション,,初回相談無料（時間無制限）／遺産相続手続き・生前対策手続き報酬10パーセントオフ／出張相談無料,0120-014-677,,,,,https://www.legal-solution.jp/,
株式会社ファミトラ,,家族信託、任意後見のご相談を無料,03-3473-3553,,,,,,
トリニティ・テクノロジー株式会社,,家族信託・不動産・相続・おひとりさま高齢者向けサービスのご相談が無料,03-6268-8805,,,,,https://trinity-tech.co.jp/,
アールエム行政書士事務所,,自動車名義変更、廃車手続きその他相続手続き １０％割引  相談無料、江戸川区内出張費無料,03-3679-8004,,,,info@rm-car.com,,
平河町鍼灸治療院,,初回半額,03-3239-6555,,,,,,
ＩＭＳグループ／IMS Me-Life クリニック 池袋,,"全額自費による人間ドッグを51,700円（税込）を39,600円（税込）でご受診可",03-3989-1112,IMS Me-Life クリニック 池袋,,運転免許証自主返納担当まで,,,
ＩＭＳグループ／IMS Me-Life クリニック 八重洲,,"全額自費による人間ドッグを51,700円（税込）を39,600円（税込）でご受診可",03-3567-2080,IMS Me-Life クリニック 八重洲,,運転免許証自主返納担当まで,,,
