"施設・店舗名","所在地","電話番号","授乳スペース","おむつ替えができる設備","最寄駅から施設までの徒歩所要時間の目安","授乳室等の利用可能日時","経度","緯度","分類"
"弥生区民活動センター","弥生町一丁目58番14号","03-3372-4000","なし","有り","中野新橋駅より徒歩6分","午前8時半から午後10時(年末年始、その他定期清掃日等を除く)","139.678453378405","35.6923674003137","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"桜山公園","東中野三丁目22番","","なし","有り","東中野駅より徒歩5分","","139.679986471274","35.7071425185099","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"朝日が丘児童館","本町二丁目32番14号","03-3373-0380","有り","有り","中野坂上駅より徒歩3分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.680900490197","35.6951470721121","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"弥生児童館","弥生町一丁目14番6号","03-3372-0841","有り","有り","中野坂上駅より徒歩10分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.681075878138","35.6903427903996","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中野坂上サンブライトツイン","本町二丁目46番1号","03-3379-4800","なし","有り","中野坂上駅より徒歩2分","施設に直接お問合せください。","139.682067292174","35.6966367870835","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"東部区民活動センター","中央二丁目18番21号","03-3363-0751","なし","有り","中野坂上駅より徒歩5分","午前8時半から午後10時(年末年始、その他定期清掃日等を除く)","139.682485610715","35.7004229776672","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"都営地下鉄大江戸線中野坂上駅","中央二丁目2番28号","03-3368-3129","なし","有り","","施設に直接お問合せください。","139.68257045518","35.6978992974426","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"本一公園","本町一丁目23番","","なし","有り","中野坂上駅より徒歩4分","","139.682612174165","35.6942098010214","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"都営地下鉄大江戸線東中野駅","東中野三丁目8番16号","03-3361-9085","なし","有り","","","139.682814185977","35.7070131130419","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"アトレヴィ東中野","東中野四丁目4番26号","03-6273-2852","なし","2階、3階","東中野駅より徒歩0分","2階多目的化粧室　午前7時半～午後10時（日曜日・祝日は午前7時半～午後9時）3階男女化粧室　午前10時～午後10時（日曜日・祝日は午前10時～午後9時）","139.683510116435","35.7062831986014","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"中野東図書館","中央一丁目41番2号","03-5937-3559","有り","有り","中野坂上駅より徒歩2分","午前9時から午後9時（第2木曜日、館内整理日、特別整理期間、年末年始を除く）","139.683625238305","35.6981638980936","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"サミットストア(東中野店)","東中野四丁目5番10号","03-5337-3313","なし","有り","東中野駅より徒歩1分","施設に直接お問い合わせください。","139.683903100449","35.7071142184855","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"日産自動車販売株式会社東中野店","東中野三丁目14番20号","03-3365-2323","有り","有り","落合駅より徒歩3分","施設に直接お問合せください。","139.683962559577","35.7099105274842","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"ユニゾンモール","東中野五丁目1番1号","03-3299-3123","有り","有り","東中野駅より徒歩2分","午前10時～午後11時(年末年始を除く)","139.687059262206","35.7068565487497","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"東中野区民活動センター","東中野五丁目27番5号","03-3364-6677","なし","有り","落合駅より徒歩5分","午前8時半から午後10時(年末年始、その他定期清掃日等を除く)","139.690363131841","35.7102226558072","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
