品名,ひんめい,分別,コメント
ごみ箱（木製・プラスチック製）,ごみばこ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
ごみ箱（金属製）,ごみばこ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
ゴム,ごむ,燃やすごみ,
ゴム手袋,ごむてぶくろ,燃やすごみ,
ゴム長靴,ごむながぐつ,燃やすごみ,
ゴムボート,ごむぼーと,粗大ごみ,空気は抜いてください。
ゴルフクラブ,ごるふくらぶ,粗大ごみ,※１セットまで
ゴルフシューズ,ごるふしゅーず,燃やすごみ,
ゴルフバッグ,ごるふばっぐ,粗大ごみ,
ゴルフボール,ごるふぼーる,燃やすごみ,
ゴーグル,ごーぐる,燃やすごみ,
サイクリングマシン,さいくりんぐましん、えあろばいく,粗大ごみ,
サイドボード,さいどぼーど,粗大ごみ,
財布,さいふ,燃やすごみ,
サインペン（プラスチック製）,さいんぺん,燃やすごみ,
サインペン（金属製）,さいんぺん,燃やさないごみ,
作業服,さぎょうふく,燃やすごみ,
酒容器（紙製・コーティングあり）,さけようき,燃やすごみ,
酒容器（びん）,さけようき,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
酒容器（ペットボトル）,さけようき,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
サッカーボール,さっかーぼーる,燃やすごみ,空気は抜いてください。
殺菌剤（液体）,さっきんざい,収集不可,専門業者に依頼してください。
殺虫剤,さっちゅうざい,収集不可,専門業者に依頼してください。
錆びた缶,さびたかん,燃やさないごみ,資源にはなりません。
サマーベッド・サマーチェア,さまーべっど、さまーちぇあ,粗大ごみ,
皿（陶磁器製）,さら,燃やさないごみ,紙などに包んで「キケン」の表示をお願いします。
皿（プラスチック製）,さら,燃やすごみ,
皿（紙製）,さら,燃やすごみ,
三角コーナー（金属製）,さんかくこーなー,燃やさないごみ,
三角コーナー（プラスチック製）,さんかくこーなー,燃やすごみ,
三脚,さんきゃく,粗大ごみ,
サンダル,さんだる,燃やすごみ,
三輪車,さんりんしゃ,粗大ごみ,
サーフボード,さーふぼーど,粗大ごみ,180ｃｍ以下に切断してください。
座いす,ざいす,粗大ごみ,
座卓,ざたく,粗大ごみ,
雑誌,ざっし,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
座布団,ざぶとん,粗大ごみ,※５枚で一組
ざる（金属製）,ざる,燃やさないごみ,
ざる（プラスチック製）,ざる,燃やすごみ,
ざる（木製）,ざる,燃やすごみ,
残飯,ざんぱん,燃やすごみ,水分をよく切って出してください。
敷物,しきもの,粗大ごみ,
下着類,したぎるい,燃やすごみ,※古着回収（拠点回収）でも回収しています。 
下敷き,したじき,燃やすごみ,
七輪,しちりん,粗大ごみ,
シップ薬,しっぷくすり,燃やすごみ,
竹刀,しない,粗大ごみ,
芝刈り機（エンジン付き）,しばかりき,収集不可,専門業者に依頼してください。
芝刈り機（エンジンなし）,しばかりき,粗大ごみ,
写真,しゃしん,燃やすごみ,資源にはなりません。
写真フィルム・ネガ,しゃしんふぃるむ・ねが,燃やすごみ,
しゃもじ,しゃもじ,燃やすごみ,
シャンプー容器（プラスチック製）,しゃんぷーようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
シャープペンシル（金属製）,しゃーぷぺんしる,燃やさないごみ,
シャープペンシル（プラスチック製）,しゃーぷぺんしる,燃やすごみ,
週刊誌,しゅうかんし,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
シュレッダー屑,しゅれっだーくず,燃やすごみ,資源（古紙）で出すこともできます。
瞬間湯沸器,しゅんかんゆわかしき,粗大ごみ,
消火器,しょうかき,収集不可,消火器の処分は（社）日本消火器工業会が地域の販売代理店（特定窓口）と協力して行っていますので、お近くの窓口へお問い合わせください。
障子戸,しょうじど,粗大ごみ,
消毒剤（液体）,しょうどくざい,収集不可,専門業者に依頼してください。
照明器具,しょうめいきぐ、しーりんぐらいと,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
醤油の容器（びん）,しょうゆのようき,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
醤油の容器（ペットボトル）,しょうゆのようき,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やすごみの日に出してください。
醤油の容器（プラスチック製）,しょうゆのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
食品トレイ（プラスチック製）,しょくひんとれい,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
食品トレイ（発泡スチロール）,しょくひんとれい,資源（発泡トレイ・発泡スチロール）,汚れの取れないものは燃やすごみの日に出してください。
書籍,しょせき,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
食器（紙製）,しょっき,燃やすごみ,
食器（ガラス製）,しょっき,燃やさないごみ,割れたものを出すときは紙などに包んで「キケン」の表示をお願いします。
食器（金属製）,しょっき,燃やさないごみ,
食器（陶磁器製）,しょっき,燃やさないごみ,割れたものを出すときは紙などに包んで「キケン」の表示をお願いします。
食器（プラスチック製）,しょっき,燃やすごみ,
食器（木製）,しょっき,燃やすごみ,
食器乾燥機,しょっきかんそうき、しょくせんき,粗大ごみ,
食器棚,しょっきだな,粗大ごみ,
シルバーカー,しるばーかー,粗大ごみ,
シングルベッド,しんぐるべっど,粗大ごみ,ベッドマットは別料金です。
シンナー,しんなー,収集不可,専門業者に依頼してください。
新聞紙,しんぶんし,資源（古紙）,折込チラシも新聞と一緒に束ねてひもでしばってください。※汚れの取れないものは燃やすごみの日に出してください。
シーツ（敷布）,しーつ、しきふ,燃やすごみ,燃やすごみで出す場合は、できるだけ３０ｃｍ未満に切って出してください。※古着回収（拠点回収）でも回収しています。
ＣＤ,しーでぃー,燃やすごみ,
ＣＤケース,しーでぃーけーす,燃やすごみ,
ＣＤプレーヤー,しーでぃーぷれーやー,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。
ＣＤラジカセ,しーでぃーらじかせ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。
地下たび,じかたび,燃やすごみ,
磁気カード,じきかーど,燃やすごみ,
磁石,じしゃく、まぐねっと,燃やさないごみ,
辞書・辞典,じしょ・じてん,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
自転車,じてんしゃ,粗大ごみ,
自転車かご,じてんしゃかご,粗大ごみ,
自動車,じどうしゃ,収集不可,専門業者に依頼してください。
自動車の部品,じどうしゃのぶひん,収集不可,専門業者に依頼してください。
ジャッキ,じゃっき,粗大ごみ,※家庭用・家庭使用に限る。
ジャムびん,じゃむびん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
じゅうたん,じゅうたん,粗大ごみ,
充電器,じゅうでんき,燃やさないごみ,※家庭用・家庭使用に限る。
ジュニアシート,じゅにあしーと,粗大ごみ,
ジューサー・ミキサー,じゅーさー・みきさー,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
ジュースの缶,じゅーすのかん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
ジュースのびん,じゅーすのびん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
ジュースのふた（金属製）,じゅーすのふた,燃やさないごみ,
ジュースのふた（プラスチック製）,じゅーすのふた,燃やすごみ,
ジョイントマット,じょいんとまっと,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは素材により、燃やすごみもしくは燃やさないごみとして出してください。
錠剤のシート（プラスチック製）,じょうざいのしーと,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
乗馬式健康器具,じょうばしきけんこうきぐ、ろでおぼーい,粗大ごみ,
じょうろ（金属製）,じょうろ,燃やさないごみ,
じょうろ（プラスチック製）,じょうろ,燃やすごみ,
除湿機,じょしつき,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
除湿剤,じょしつざい,燃やすごみ,
除草剤,じょそうざい,収集不可,専門業者に依頼してください。
人工芝,じんこうしば,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
ジーンズ,じーんず,燃やすごみ,
水槽（プラスチック製）,すいそう,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
水槽（ガラス製）,すいそう,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
水筒（金属製）,すいとう,燃やさないごみ,
水筒（プラスチック製）,すいとう,燃やすごみ,
炊飯器,すいはんき,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
姿見・鏡,すがたみ・かがみ,粗大ごみ,
スキャナー,すきゃなー,粗大ごみ,
スキー板（ストックを含む）,すきーいた・すとっく,粗大ごみ,
スキーウェア,すきーうぇあ,燃やすごみ,
スキー靴,すきーくつ,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
スケート靴,すけーとくつ,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
スケートボード,すけーとぼーど,粗大ごみ,
スコップ（プラスチック製）,すこっぷ、しゃべる,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
スコップ（金属製）,すこっぷ、しゃべる,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
すずり,すずり,燃やさないごみ,
スタンプ台,すたんぷだい,燃やすごみ,
すだれ・よしず,すだれ、よしず,粗大ごみ,
スチール缶,すちーるかん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
スチール机,すちーるつくえ　かていよう,粗大ごみ,※家庭用・家庭使用に限る。
スツール,すつーる,粗大ごみ,
ステレオセット,すてれおせっと、こんぽ,粗大ごみ,フルセット、ミニコンポ
ストッキング,すとっきんぐ,燃やすごみ,
ストロー,すとろー,燃やすごみ,
ストーブ（電気・ガス）,すとーぶ,粗大ごみ,
ストーブ（石油）,すとーぶ,粗大ごみ,※灯油は必ず抜いてください。
砂,すな,収集不可,専門業者に依頼してください。
スニーカー,すにーかー,燃やすごみ,
すのこ,すのこ,粗大ごみ,
スノーボード,すのーぼーど,粗大ごみ,
スパイク（くつ）,すぱいく,燃やすごみ,バックルなど金属部分は、燃やさないごみに出してください。
スパナ,すぱな,燃やさないごみ,
スピーカー,すぴーかー,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。
スプレー缶,すぷれーかん,燃やさないごみ（発火性）,※必ず使い切ってから出してください。
スプーン（金属製）,すぷーん,燃やさないごみ,
スプーン（プラスチック製）,すぷーん,燃やすごみ,
滑り台（幼児用玩具）,すべりだい　ようじようがんぐ,粗大ごみ,
スポンジ,すぽんじ,燃やすごみ,
スマートフォン・スマホ,すまーとふぉん、すまほ、あいほん、あいふぉん、あいふぉーん,燃やさないごみ,※小型家電（拠点回収）でも回収しています。 でご確認ください。
炭,すみ,燃やすごみ,水に一晩浸してから出してください。
スリッパ,すりっぱ,燃やすごみ,
スレート（石膏ボード）,すれーと,収集不可,専門業者に依頼してください。
スレート（プラスチック製）,すれーと,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
スーツケース・キャリーケース,すーつけーす、きゃりーけーす、きゃりーばっぐ、とらんく,粗大ごみ,
ズボン,ずぼん,燃やすごみ,
ズボンプレッサー,ずぼんぷれっさー,粗大ごみ,
生花,せいか,燃やすごみ,
製氷機,せいひょうき,粗大ごみ,※家庭用・家庭使用に限る。
精米機,せいまいき,粗大ごみ,
整理ダンス,せいりだんす,粗大ごみ,
生理用品,せいりようひん,燃やすごみ,
石油ストーブ,せきゆすとーぶ,粗大ごみ,※灯油は必ず抜いてください。
石油タンク,せきゆたんく,粗大ごみ,※灯油は必ず抜いてください。
石油ファンヒーター,せきゆふぁんひーたー,粗大ごみ,※灯油は必ず抜いてください。
石油ポンプ,せきゆぽんぷ,燃やすごみ,
セトモノ・焼き物（食器）,せともの・やきもの,燃やさないごみ,割れたものを出すときは紙などに包んで「キケン」の表示をお願いします。
背広,せびろ、すーつ,燃やすごみ,※古着回収（拠点回収）でも回収しています。 
セメント,せめんと,収集不可,専門業者に依頼してください。
セロハンテープ,せろはんてーぷ,燃やすごみ,
洗剤容器（プラスチック製）,せんざいようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
洗剤容器（紙製）,せんざいようき,燃やすごみ,
洗剤容器の計量スプーン（プラスチック製）,せんざいようきのけいりょうすぷーん,燃やすごみ,
扇子（金属製）,せんす,燃やさないごみ,
扇子（木製）,せんす,燃やすごみ,
洗濯かご,せんたくかご,粗大ごみ,
洗濯機,せんたくき,家電リサイクル法対象品,
洗濯ばさみ（金属製）,せんたくばさみ,燃やさないごみ,
洗濯ばさみ（プラスチック製）,せんたくばさみ,燃やすごみ,
栓抜き,せんぬき,燃やさないごみ,
扇風機,せんぷうき,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
洗面器（金属製）,せんめんき,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
洗面器（プラスチック製）,せんめんき,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
洗面化粧台,せんめんけしょうだい,粗大ごみ,
セーター,せーたー,燃やすごみ,※古着回収（拠点回収）でも回収しています。 
双眼鏡,そうがんきょう,燃やさないごみ,
掃除機,そうじき,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
掃除機の紙パック,そうじきのかみぱっく,燃やすごみ,
ソファー,そふぁー,粗大ごみ,
ソファーベット,そふぁーべっと,粗大ごみ,
そり（幼児用玩具）,そり,粗大ごみ,
そろばん,そろばん,燃やすごみ,
ソースの容器（びん）,そーすのようき,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
ソースの容器（プラスチック製）,そーすのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
造花,ぞうか,燃やすごみ,
雑巾,ぞうきん,燃やすごみ,
体温計（電子）,たいおんけい,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
体温計（水銀）,たいおんけい、すいぎん,燃やさないごみ（水銀を含む製品）,
耐火金庫,たいかきんこ,収集不可,専門業者に依頼してください。
体重計,たいじゅうけい、へるすめーたー,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
耐熱ガラス,たいねつがらす,燃やさないごみ,
タイプライター,たいぷらいたー,粗大ごみ,
タイヤ（自転車用）,たいや,燃やすごみ,３０ｃｍ未満に切って出してください。
タイヤ（自動車用）,たいや,収集不可,専門業者に依頼してください。
タイヤチェーン（金属製）,たいやちぇーん,燃やさないごみ,
タイヤチェーン（ゴム製）,たいやちぇーん,燃やすごみ,
タイヤチェーン（プラスチック製）,たいやちぇーん,燃やすごみ,
タイヤチェーン（金属製）,たいやちぇーん,粗大ごみ,※３０ｃｍ以上のケースに入ったもの
タイヤチェーン（ゴム製）,たいやちぇーん,粗大ごみ,※３０ｃｍ以上のケースに入ったもの
タイヤチェーン（プラスチック製）,たいやちぇーん,粗大ごみ,※３０ｃｍ以上のケースに入ったもの
タイル,たいる,収集不可,専門業者に依頼してください。
タオル,たおる,燃やすごみ,※古着回収（拠点回収）でも回収しています。 
タオルケット,たおるけっと,粗大ごみ,※古着回収（拠点回収）でも回収しています。 
高枝切りばさみ,たかえだきりばさみ,粗大ごみ,
卓上コンロ,たくじょうこんろ,燃やさないごみ,カセットボンベは必ず取り除いてください。
竹馬（玩具）,たけうま,粗大ごみ,
竹串,たけくし,燃やすごみ,紙などに包んで「キケン」の表示をお願いします。
畳,たたみ,粗大ごみ,※解体などに生じたものを除く。
タッパー,たっぱー,燃やすごみ,
たばこの空き箱,たばこ,燃やすごみ,
たばこの外装フィルム,たばこ,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
たばこの吸い殻,たばこ,燃やすごみ,
たばこ（加熱式・電子）,たばこ、でんしたばこ、かねつしきたばこ、あいこす、ぐろー、ぷるーむ,燃やさないごみ,※小型家電（拠点回収）でも回収しています。 でご確認ください。
タバスコのびん,たばすこのびん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
タブレット端末,たぶれっとたんまつ、あいぱっど,燃やさないごみ,※小型家電（拠点回収）でも回収しています。 でご確認ください。
たまごの殻,たまごのから,燃やすごみ,
たまごのパック（紙製）,たまごのぱっく,燃やすごみ,
たまごのパック（プラスチック製）,たまごのぱっく,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
樽,たる,粗大ごみ,
たわし（金属製）,たわし,燃やさないごみ,
たわし（木製）,たわし,燃やすごみ,
単行本,たんこうぼん,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
たんす,たんす,粗大ごみ,
タンバリン,たんばりん,燃やすごみ,
台車,だいしゃ,粗大ごみ,
ダウンジャケット,だうんじゃけっと,燃やすごみ,※古着回収（拠点回収）でも回収しています。 
抱き枕,だきまくら,粗大ごみ,
脱臭剤,だっしゅうざい,燃やすごみ,
ダブルベット,だぶるべっと,粗大ごみ,ベッドマットは別料金です。
ダンベル,だんべる,粗大ごみ,
段ボール,だんぼーる,資源（古紙）,必ずたたんでください。数枚ある時は、束ねてひもでしばってください。※汚れの取れないものは燃やすごみの日に出してください。
チェスト,ちぇすと,粗大ごみ,
チェーンソー（エンジン付き）,ちぇーんそー,収集不可,専門業者に依頼してください。
チェーンソー（エンジンなし）,ちぇーんそー,粗大ごみ,※家庭用・家庭使用に限る。
地球儀,ちきゅうぎ,粗大ごみ,
チャイルドシート,ちゃいるどしーと,粗大ごみ,
茶殻,ちゃがら,燃やすごみ,
茶筒缶,ちゃづつかん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
茶箱,ちゃばこ,粗大ごみ,
茶碗（陶器）,ちゃわん,燃やさないごみ,割れたものを出すときは紙などに包んで「キケン」の表示をお願いします。
茶碗（プラスチック製）,ちゃわん,燃やすごみ,
中華鍋,ちゅうかなべ,粗大ごみ,
注射器（注射針は除く）（ガラス製）,ちゅうしゃき　,燃やさないごみ,※家庭用・家庭使用に限る。
注射器（注射針は除く）（プラスチック製）,ちゅうしゃき　,燃やすごみ,※家庭用・家庭使用に限る。
注射針,ちゅうしゃばり,収集不可,回収薬局へお持ちください
チューナー（オーディオ）,ちゅーなー,粗大ごみ,
チューブ（自転車用）,ちゅーぶ,燃やすごみ,３０ｃｍ未満に切って出してください。
彫刻刀,ちょうこくとう,燃やすごみ,紙などに包んで「キケン」の表示をお願いします。
ちょうちん,ちょうちん,燃やすごみ,
チョーク,ちょーく,燃やすごみ,
チラシ,ちらし,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
ちり紙,ちりかみ,燃やすごみ,
ちりとり（金属製）,ちりとり,燃やさないごみ,
ちりとり（プラスチック製）,ちりとり,燃やすごみ,
ついたて,ついたて,粗大ごみ,
杖（木製）,つえ,粗大ごみ,
杖（金属製）,つえ,粗大ごみ,
使い捨てカイロ,つかいすてかいろ,燃やさないごみ,
使い捨てカメラ,つかいすてかめら,燃やさないごみ,
使い捨てライター,つかいすてらいたー,燃やさないごみ,※必ず使い切ってから出してください。
机,つくえ,粗大ごみ,
土,つち,収集不可,専門業者に依頼してください。
つぼ,つぼ,粗大ごみ,
つまようじ,つまようじ,燃やすごみ,
積み木,つみき,燃やすごみ,
釣り糸,つりいと,燃やすごみ,
釣り竿,つりざお,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
釣り針,つりばり,燃やさないごみ,ケースなどに入れて出してください。
ティッシュの箱取口のビニール（プラスチック製）,てぃっしゅのはことりくちのびにーる,容器包装プラスチック,
ティッシュペーパー,てぃっしゅぺーぱー,燃やすごみ,
ティッシュペーパーの箱,てぃっしゅぺーぱーのはこ,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
手押し車,ておしくるま,粗大ごみ,
手提げ金庫,てさげきんこ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
鉄板,てっぱん,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
鉄アレイ,てつあれい,燃やさないごみ,
鉄パイプ,てつぱいぷ,粗大ごみ,１８０㎝以下に切断してください。
テニスボール,てにすぼーる,燃やすごみ,
テニスラケット,てにすらけっと,粗大ごみ,
手ぬぐい,てぬぐい,燃やすごみ,
手袋（革・ゴム製）,てぶくろ,燃やすごみ,
テレビ,てれび,家電リサイクル法対象品,
テレビアンテナ（室外用）,てれびあんてな,粗大ごみ,
テレビアンテナ（室内用）,てれびあんてな,燃やさないごみ,
テレビアンテナ（パラボナアンテナ）,てれびあんてな、ぱらぼな,粗大ごみ,
テレビ台,てれびだい,粗大ごみ,
テレフォンカード,てれふぉんかーど,燃やすごみ,
天体望遠鏡,てんたいぼうえんきょう,粗大ごみ,
テント,てんと,粗大ごみ,
てんぷら油,てんぷらあぶら,燃やすごみ,凝固剤で固めるか紙や布に染み込ませて出してください。
テーブル,てーぶる、ざたく,粗大ごみ,
テーブルの脚,てーぶるのあし,粗大ごみ,
テーブルの天板,てーぶるのてんばん,粗大ごみ,
ディスプレイ（パソコン用）,でぃすぷれい,パソコン,
ＤＶＤ,でぃーぶいでぃ,燃やすごみ,
ＤＶＤケース,でぃーぶいでぃけーす,燃やすごみ,
ＤＶＤプレーヤー・ＤＶＤレコーダー,でぃーぶいでぃぷれいやー、でぃーぶいでぃれこだー,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。
デッキブラシ,でっきぶらし,粗大ごみ,
電気アンカ,でんきあんか,燃やさないごみ,
電気蚊取り,でんきかとり,燃やさないごみ,
電気カミソリ,でんきかみそり,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
電気カーペット,でんきかーぺっと,粗大ごみ,
電気コード,でんきこーど,燃やさないごみ,※小型家電（拠点回収）でも回収しています。 でご確認ください。
電気ストーブ,でんきすとーぶ,粗大ごみ,
電気ドリル,でんきどりる,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
電気ポット・ケトル,でんきぽっと、けとる,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
電気毛布,でんきもうふ,粗大ごみ,
電球,でんきゅう,燃やさないごみ,ケースなどに入れて出してください。
電子オルガン,でんしおるがん,粗大ごみ,
電子辞書,でんしじしょ,燃やさないごみ,※小型家電（拠点回収）でも回収しています。 でご確認ください。
電子レンジ,でんしれんじ,粗大ごみ,
電卓,でんたく,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
電池（アルカリ）,でんち,燃やさないごみ（水銀を含む製品）,
電池（ニカド）,でんち,燃やさないごみ,
電池（ニッケル水素）,でんち,燃やさないごみ,
電池（ボタン）,でんち,燃やさないごみ（水銀を含む製品）,
電池（マンガン）,でんち,燃やさないごみ（水銀を含む製品）,
電池（リチウムイオン）,でんち,燃やさないごみ,
電動ドライバー,でんどうどらいばー,燃やさないごみ,※家庭用・家庭使用に限る。
電動のこぎり,でんどうのこぎり　かていよう,粗大ごみ,※家庭用・家庭使用に限る。
電動歯ブラシ（ブラシ）,でんどうはぶらし,燃やすごみ,
電動歯ブラシ（充電器）,でんどうはぶらし,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
電動歯ブラシ（本体）,でんどうはぶらし,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
電話機,でんわき,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
電話機（FAX付き）,でんわき,粗大ごみ,
電話台,でんわだい,粗大ごみ,
電話帳,でんわちょう,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
砥石,といし,燃やさないごみ,
トイレットペーパー,といれっとぺーぱー,燃やすごみ,
トイレットペーパーの芯,といれっとぺーぱーのしん,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
トイレブラシ,といれぶらし,燃やすごみ,
陶磁器,とうじき,燃やさないごみ,割れたものを出すときは紙などに包んで「キケン」の表示をお願いします。
籐製品,とうせいひん,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
豆腐の容器（プラスチック製）,とうふのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
灯油,とうゆ,収集不可,専門業者に依頼してください。
灯油缶,とうゆかん,粗大ごみ,※中身のないものに限る。
時計,とけい,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。
戸棚,とだな,粗大ごみ,
トランポリン（幼児用玩具）,とらんぽりん,粗大ごみ,
鳥かご,とりかご,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
塗料,とりょう,収集不可,専門業者に依頼してください。
トレイ・食品用（発泡スチロール）,とれい　しょくひんよう,資源（発泡トレイ・発泡スチロール）,汚れの取れないものは燃やすごみの日に出してください。
トレイ・食品用（プラスチック製）,とれい　しょくひんよう,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
トロフィー,とろふぃー,燃やさないごみ,プラスチック製は燃やすごみとしてお出しください。
トースター,とーすたー,粗大ごみ,
土鍋,どなべ,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
ドライバー,どらいばー,燃やさないごみ,
ドライヤー,どらいやー,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
ドラム缶,どらむかん,収集不可,専門業者に依頼してください。
ドラムセット,どらむせっと,粗大ごみ,
ドリル（工具）,どりる　こうぐ,燃やさないごみ,
ドレッサー・鏡台,どれっさー、きょうだい,粗大ごみ,
ナイフ類,ないふるい,燃やさないごみ,紙などに包んで「キケン」の表示をお願いします。
長靴,ながぐつ,燃やすごみ,
流し台,ながしだい,粗大ごみ,※解体などに生じたものを除く。
納豆の容器の外装フィルム（プラスチック製）,なっとうのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
納豆の容器（紙製）,なっとうのようき,燃やすごみ,資源にはなりません。
納豆の容器（プラスチック製）,なっとうのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
納豆の容器（発泡スチロール）,なっとうのようき,資源（発泡トレイ・発泡スチロール）,汚れの取れないものは燃やすごみの日に出してください。
ナプキン（生理用品）,なぷきん、せいりようひん,燃やすごみ,
鍋,なべ,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
