回答者(or No.),問１．あなたの年齢を教えてください。（令和５年11月25日時点）,問２．あなたの自認する性別を教えてください。,問３．あなたは結婚していますか。,問４．一緒に住んでいる家族を教えてください。（複数回答１）,問４．一緒に住んでいる家族を教えてください。（複数回答２）,問４．一緒に住んでいる家族を教えてください。（複数回答３）,問４．７．その他,問５．あなたの家の生計を立てているのは主にどなたですか。生計を立てている方が複数いる場合は、もっとも多くの生計を負担している人をお答えください。また、仕送り等で生計を立てている方は、その仕送り等を主にしてくれている人をお答えください。,問５．10．その他,問６．あなたが最後に卒業した（中退等を含む）学校等はどれですか。在学中の方は、現在在学している学校等をお答えください。,問６．７．その他,問７．あなたは現在働いていますか。該当するものをお答えください。,問８．あなたが現在働いていない理由を教えてください。,問８．８．その他,問９．Ａ　会話やメール等をよくしている人（複数選択１）,問９．Ａ　会話やメール等をよくしている人（複数選択２）,問９．Ａ　会話やメール等をよくしている人（複数選択３）,問９．Ａ　会話やメール等をよくしている人（複数選択４）,問９．Ｂ　何でも悩みを相談できる人（複数選択１）,問９．Ｂ　何でも悩みを相談できる人（複数選択２）,問９．Ｂ　何でも悩みを相談できる人（複数選択３）,問９．Ｂ　何でも悩みを相談できる人（複数選択４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢１）,問９．Ｃ　楽しく話せるときがある人（複数選択肢２）,問９．Ｃ　楽しく話せるときがある人（複数選択肢３）,問９．Ｃ　楽しく話せるときがある人（複数選択肢４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢１）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢２）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢３）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢４）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢６）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢１）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢２）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢３）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢４）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢１）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢２）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢３）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢４）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢６）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢７）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢８）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢９）,問10．15．その他,問11．全体として、あなたは最近の生活に、どのくらい満足していますか。,問12．あなたは現在、悩み事はありますか。,問13．あなたの悩みごとは何ですか。（複数選択肢１）,問13．あなたの悩みごとは何ですか。（複数選択肢２）,問13．あなたの悩みごとは何ですか。（複数選択肢３）,問13．あなたの悩みごとは何ですか。（複数選択肢４）,問13．あなたの悩みごとは何ですか。（複数選択肢５）,問13．あなたの悩みごとは何ですか。（複数選択肢６）,問13．あなたの悩みごとは何ですか。（複数選択肢７）,問13．あなたの悩みごとは何ですか。（複数選択肢８）,問13．あなたの悩みごとは何ですか。（複数選択肢９）,問13．あなたの悩みごとは何ですか。（複数選択肢１０）,問13．16．その他,問14．悩みを誰かに相談しましたか。,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢１）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢２）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢３）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢４）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢５）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢６）,問15．12．その他,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢１）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢２）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢３）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢４）,問16．５．その他,問17．誰かに相談したいと思いますか。,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢１）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢２）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢３）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢４）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢５）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢６）,問18．８．その他,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢１）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢２）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢３）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢４）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢５）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢６）,問19．７．その他,問20．相談したくないと思う理由は何ですか。（複数選択肢１）,問20．相談したくないと思う理由は何ですか。（複数選択肢２）,問20．相談したくないと思う理由は何ですか。（複数選択肢３）,問20．相談したくないと思う理由は何ですか。（複数選択肢４）,問20．相談したくないと思う理由は何ですか。（複数選択肢５）,問20．相談したくないと思う理由は何ですか。（複数選択肢６）,問20．９．その他,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢１）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢２）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢３）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢４）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢５）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢６）,問21．10.その他,問22．狛江市内に相談ができたり、居場所となるようなものとして、どのような場所やサービスがあるといいと思いますか。,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢１）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢２）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢３）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢４）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢５）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢６）,問23．７．その他,問24．結婚についてどのように考えていますか。,問25．結婚したいと思う理由は何ですか。（複数選択肢１）,問25．結婚したいと思う理由は何ですか。（複数選択肢２）,問25．結婚したいと思う理由は何ですか。（複数選択肢３）,問25．結婚したいと思う理由は何ですか。（複数選択肢４）,問25．結婚したいと思う理由は何ですか。（複数選択肢５）,問25．結婚したいと思う理由は何ですか。（複数選択肢６）,問25．結婚したいと思う理由は何ですか。（複数選択肢７）,問25．９．その他,問26．現在結婚していない理由は何ですか。（複数選択肢１）,問26．現在結婚していない理由は何ですか。（複数選択肢２）,問26．現在結婚していない理由は何ですか。（複数選択肢３）,問26．現在結婚していない理由は何ですか。（複数選択肢４）,問26．現在結婚していない理由は何ですか。（複数選択肢５）,問26．現在結婚していない理由は何ですか。（複数選択肢６）,問26．現在結婚していない理由は何ですか。（複数選択肢７）,問26．現在結婚していない理由は何ですか。（複数選択肢８）,問26．11．その他,問27．将来的に子どもは何人いることが理想ですか。理想の子どもの数をお答えください。,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢５）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢６）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢７）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢８）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢９）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１０）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１５）,問28．16．その他,問29．子どもをもたない理由は何ですか。（複数選択肢１）,問29．子どもをもたない理由は何ですか。（複数選択肢２）,問29．子どもをもたない理由は何ですか。（複数選択肢３）,問29．子どもをもたない理由は何ですか。（複数選択肢４）,問29．子どもをもたない理由は何ですか。（複数選択肢５）,問29．子どもをもたない理由は何ですか。（複数選択肢６）,問29．子どもをもたない理由は何ですか。（複数選択肢７）,問29．子どもをもたない理由は何ですか。（複数選択肢８）,問29．子どもをもたない理由は何ですか。（複数選択肢９）,問29．10．その他,問30．あなたは、あなたを含めたこれからの若者（18歳から39歳ぐらいまでの人）のために、市に期待する取組（若者の居場所支援や結婚支援等を含む）があればご記入ください。
50,5,1,2,6,,,,1,,5,,1,,,1,2,3,,1,2,3,,1,2,3,,,1,2,3,,,,1,2,3,,,1,5,7,11,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,1,2,4,5,,,,,,,,,,,1,5,,,,,,,1,3,4,,,,,1,7,8,,,,,,,1,10,,,,,,,,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,
51,2,2,2,6,,,,1,,5,,1,,,1,2,,,1,2,,,1,2,,,,1,2,3,,,,1,2,,,,1,2,11,12,,,,,,,3,1,2,3,10,12,13,14,15,,,,,1,1,2,4,5,7,9,,1,2,3,,,,1,2,6,7,,,,2,3,5,,,,,,,,,,,,5,8,9,,,,,市役所付近に総合病院ができたらいいなと思う。慈恵会第三病院に行くには遠い気がするので。,2,3,,,,,,1,1,3,4,5,7,,,,3,6,,,,,,,,2,2,3,4,5,8,10,11,12,,,,,,,,,,,,,,,,,,,経済的な支援や任芸関係を構築できる取組が活発化していうことを希望。
52,4,2,2,6,,,,1,,5,,1,,,1,2,6,,2,6,,,1,2,3,5,6,1,2,3,6,,,2,6,,,,1,,,,,,,,,,3,1,4,12,13,15,,,,,,,,1,5,,,,,,,2,,,,,,2,3,4,7,,,,1,4,,,,,,,,,,,,,10,,,,,,知らない。,,3,,,,,,,1,3,4,7,,,,,,12,,,,,,,,,2,1,2,3,4,5,6,8,9,10,11,12,13,14,,,,,,,,,,,,,,1人で暮らす人にも支援してほしいが、もっと情報がわかる様にしてほしい。
53,4,2,2,6,,,,1,,3,,2,,,1,,,,1,2,3,,1,2,3,,,1,,,,,,1,2,3,,,1,11,,,,,,,,,2,1,10,13,,,,,,,,,,1,5,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,8,,,,,,,,3,,,,,,,,,2,8,10,,,,,,,,,,,,,,,,,,,,,,,,,
54,4,2,2,6,,,,1,,5,,1,,,3,6,,,6,,,,3,6,,,,6,,,,,,6,,,,,1,,,,,,,,,,1,1,2,6,9,13,,,,,,,,,,,,,,,,,,,,,,8,,,,,,特に親しい人,3,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,3,,,,,,,,,2,3,6,9,,,,,,0,,,,,,,,,,,,,,,,,1,4,9,,,,,,,,
55,2,2,2,7,,,友達,10,各自,5,,1,,,1,2,5,,1,5,,,1,2,5,,,1,,,,,,5,,,,,16,,,,,,,,,,3,1,2,3,4,10,11,12,13,14,15,,,2,,,,,,,,,,,,,,2,3,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,5,,,,,,,3,,,,,,,,,1,2,3,4,5,10,,,,1,1,2,3,4,5,7,8,11,12,13,14,,,,,,,,,,,,,,,,
56,3,2,2,5,,,,6,,3,,1,,,1,3,,,1,,,,1,2,3,,,1,3,,,,,1,3,,,,1,2,3,11,,,,,,,2,1,2,13,,,,,,,,,,1,1,2,6,,,,,1,2,,,,,1,7,,,,,,3,4,,,,,,,,,,,,,10,,,,,,全て知らない。,ネットはSNSで相談ができたり、1対1で会話ができるような場所があると良いと思います。,2,,,,,,,1,1,3,4,7,,,,,3,,,,,,,,,2,2,3,5,8,9,10,11,12,15,,,,,,,,,,,,,,,,,,結婚や育児支援がより分かりやすく明確にあると嬉しいです。今は育児をしながら、仕事をするが当たり前となっているので、保育園などにもより支援があるといいと思います。
57,3,2,2,6,,,,1,,5,,1,,,1,2,3,,6,,,,1,2,,,,1,6,,,,,2,6,,,,1,2,10,11,,,,,,,4,1,2,8,13,15,,,,,,,,2,,,,,,,,,,,,,5,9,,,,,,,8,,,,,,,1,2,,,,,,8,9,,,,,,,2,,,,,,,1,4,,,,,,,,5,,,,,,,,,2,2,4,8,12,,,,,,,,,,,,,,,,,,,,,,,
58,5,2,1,5,,,,1,,5,,4,,,1,2,,,1,2,,,1,2,3,,,1,2,,,,,1,2,,,,1,2,,,,,,,,,2,1,13,14,15,,,,,,,,,1,2,,,,,,,1,,,,,,1,5,6,7,,,,3,,,,,,,,,,,,,,8,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2,4,5,6,9,,,,,,
59,3,1,1,5,,,,1,,5,,1,,,1,3,,,1,2,,,1,2,3,,,1,2,3,,,,1,2,,,,1,2,3,5,11,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,2,3,,,,,,1,,,,,,,8,,,,,,,,3,4,,,,,,4,,,,,,,,,,,,,,,,,,3,5,8,10,11,15,,,,,,,,,,,,,,,,,,,,,,
60,4,1,2,1,2,,,,,5,,4,,,5,,,,,,,,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,4,2,1,5,,,,6,,2,,3,,,1,,,,,,,,1,3,,,,,,,,,,1,,,,,1,,,,,,,,,,2,1,2,3,6,,,,,,,,,1,1,2,,,,,,1,2,,,,,7,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,4,5,6,,,,,,,税金を少なくする。
62,5,1,1,5,,,,1,,5,,1,,,1,2,3,,1,2,,,1,2,3,,,1,2,,,,,1,2,,,,1,2,3,10,11,15,,,,アウトドア,4,1,2,,,,,,,,,,,1,2,5,6,,,,,1,,,,,,1,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,,,,1,2,3,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,10,,,,,,,,,年齢,
63,4,1,2,6,,,,1,,5,,1,,,1,2,3,,1,2,3,,1,2,3,,,1,2,,,,,1,2,,,,1,11,,,,,,,,,4,1,11,,,,,,,,,,,2,,,,,,,,,,,,,3,2,3,6,,,,,1,,,,,,,,,,,,,,8,9,,,,,,,5,,,,,,,1,2,7,8,,,,,,4,,,,,,,,,2,1,3,8,12,,,,,,,,,,,,,,,,,,,,,,,
64,4,2,1,5,,,,6,,5,,1,,,1,2,,,1,,,,1,2,,,,1,2,3,,,,1,,,,,1,2,3,11,,,,,,,4,1,2,15,,,,,,,,,,1,2,7,12,,,,職場の上司、人事,1,,,,,,1,6,7,,,,,1,4,,,,,,,,,,,,,10,,,,,,知っているものはない。,,2,3,,,,,,4,,,,,,,,,,,,,,,,,,2,2,3,4,5,6,8,12,13,14,15,,,,,,,,,,,,,,,,,子育て支援の充実。
65,4,1,1,5,,,,1,,5,,1,,,1,3,,,1,3,,,1,3,,,,1,2,3,,,,1,3,,,,1,2,3,5,6,11,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,5,7,,,1,2,3,4,5,,,,,,,,,,2,5,9,,,,,,3,,,,,,,1,3,4,,,,,,,11,,,,,,,,今年度中に結婚の予定。,2,1,2,3,4,8,10,12,13,14,,,,,,,,,,,,,,,,,,
66,3,2,2,6,,,,1,,3,,1,,,3,6,,,6,,,,1,3,6,,,1,3,6,,,,1,3,6,,,1,6,11,13,,,,,,,3,1,13,14,15,,,,,,,,,1,2,5,,,,,,1,,,,,,8,,,,,,友人や恋人,1,2,3,4,,,,,,,,,,,8,,,,,,,・価格が安めのカフェ（～1000円程度）　・きれいな公園（広くて、ひらけている）,3,,,,,,,3,,,,,,,,,3,4,,,,,,,,2,1,2,3,4,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,・結婚支援。　・災害や病気がおこった時に、食料とか身の安全を一緒に守ってくれる制度など。　・低所得の人への（アルバイト、学生）への給付。
67,3,1,1,5,,,,1,,2,,1,,,1,2,3,,1,2,3,,1,2,3,,,1,2,3,,,,1,,,,,1,3,11,,,,,,,,5,1,13,,,,,,,,,,,1,2,,,,,,,1,,,,,,8,,,,,,友人,2,3,,,,,,,,,,,,,9,,,,,,,,1,2,3,,,,,4,,,,,,,,,,,,,,,,,,3,2,5,7,8,12,15,,,,,,,,,,,,,,,,,,,,,
68,3,1,2,6,,,,1,,5,,3,,,,,,,2,,,,1,2,,,,2,,,,,,3,,,,,1,,,,,,,,,,1,1,2,3,4,9,13,14,15,,,,,2,,,,,,,,,,,,,,1,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,お金や時間にしばられない空間。,6,,,,,,,1,3,7,,,,,,,6,,,,,,,,,3,1,3,6,12,,,,,,,,,,,,,,,,,,,,,,,そもそも市がどのような取り組みをしているのか、知らない。同世代の関係性を作るより、違う世代との交流が出来るイベントがあれば良いと思います。（お年寄りの方、若者、学生）
69,3,2,2,6,,,,1,,3,,1,,,1,2,3,,2,,,,1,2,3,,,1,2,,,,,2,,,,,1,3,13,,,,,,,,4,1,13,,,,,,,,,,,1,5,,,,,,,1,,,,,,1,2,7,,,,,1,4,,,,,,,,,,,,,10,,,,,,知りません。,,4,,,,,,,1,8,,,,,,,,6,10,,,,,,,,0,,,,,,,,,,,,,,,,,10,,,,,,,,,パートナーとの時間を大事にしたいから。,特にありません。
70,2,2,2,5,,,,1,,5,,1,,,2,,,,2,6,,,2,,,,,1,2,,,,,1,2,,,,3,11,,,,,,,,,3,1,3,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,7,,,,,,他の人に相談しようと思わない。,,,,,,,,,,,,,,,・地域の人が無料で使えるカフェ、スペース　・地域イベント　・畑のシェア,3,4,6,,,,,1,4,,,,,,,,3,6,,,,,,,,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,・若者のキャリア支援（転職や就業のサポート）　・畑のシェアリングサービス　子育て政策・習いごとの送迎サービスの増設　・学童施設の増設　・企業型保育園の増設　・所得制限のない子育て政策　・共働き世帯のための保育料補助　・ゆるキャラを1つにしぼる
71,4,1,2,5,,,,1,,5,,1,,,1,3,,,1,,,,1,3,,,,1,3,,,,,1,,,,,1,2,3,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,6,,,,,,,1,,,,,,,5,8,,,,,,・若者向けサークル　・若者向け学習室,1,4,,,,,,1,3,4,8,,,,,,3,,,,,,,,,2,8,10,12,,,,,,,,,,,,,,,,,,,,,,,,・勉強できるスペースがあること。　・結婚祝い金　・駅前にもう少し飲食店が欲しい。
72,3,2,2,2,,,,1,,5,,1,,,1,2,3,,1,2,3,,1,2,3,,,1,2,,,,,1,2,,,,1,2,3,6,7,,,,,,4,1,2,8,10,12,,,,,,,,1,1,3,5,6,,,,1,,,,,,1,2,,,,,,1,2,4,,,,,,,,,,,,8,,,,,,,週に一度キッチンカーが来てくれる場所。,1,5,,,,,,1,8,,,,,,,,5,,,,,,,,,2,1,2,3,5,8,10,11,12,13,14,15,,,,,,,,,,,,,,,,キャッシュレス決済できるお店が増えること。1人暮らしの人が健康面、コスト面でも喜べる夜9時まで営業してるお弁当屋さん。
73,2,2,2,6,,,,1,,5,,1,,,1,,,,1,2,,,2,3,,,,1,2,3,,,,1,2,,,,2,6,11,,,,,,,,4,1,4,8,11,12,13,,,,,,,1,1,5,6,,,,,1,2,3,,,,1,2,3,,,,,1,3,4,,,,,,,,,,,,8,9,,,,,,ハローワークのような職業訓練ができるサービス。子育て支援、預かり保育。,2,6,,,,,,1,3,7,8,,,,,,2,4,5,10,,,,,,2,1,5,8,11,13,15,,,,,,,,,,,,,,,,,,,,,子育ての経済的支援。産後ケアへの取り組み。学童保育。病児保育。体育館解放（スポーツコミュニティ）。狛江市のイベントが定期的に開催される（多摩川花火大会、お寺のやつ、マルシェ）。　日々ありがとうございます。社会人って大変ですね。よろしくお願いします。
74,4,1,2,6,,,,8,,5,,7,4,,6,,,,6,,,,6,,,,,6,,,,,,6,,,,,16,,,,,,,,,,1,1,4,5,9,11,13,14,,,,,,2,,,,,,,,,,,,,4,1,2,4,5,7,,,1,4,5,6,,,,,,,,,,,,,,,,,,活気のある場所,7,,,,,,,1,2,3,6,8,,,,,3,4,10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4,2,1,5,,,,1,,5,,1,,,1,,,,1,,,,1,,,,,1,,,,,,1,,,,,1,2,3,,,,,,,,5,1,14,,,,,,,,,,,1,2,,,,,,,1,,,,,,1,,,,,,,1,3,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,5,6,7,8,9,11,12,13,15,,,,,,,,,,,,,,,・住民以外の人が来るような魅力的な街づくり。（観光スポット、イベント（街内）、飲食店の充実など）
76,5,2,2,1,2,,,1,,2,,2,,,1,3,,,1,6,,,1,3,,,,1,,,,,,1,,,,,1,2,3,14,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,,,,,2,3,5,,,,,,,,,,,,,,,,,,,,3,5,,,,,,3,,,,,,,,,8,10,,,,,,,,0,,,,,,,,,,,,,,,,,11,,,,,,,,,,
77,5,2,2,6,,,,1,,5,,1,,,1,,,,,,,,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,2,1,2,3,12,13,14,15,16,,,,書くことはできません。,1,9,,,,,,,1,3,,,,,7,,,,,,,1,3,4,,,,,,,,,,,,7,8,,,,,,場所やサービスがあるのもいいですが、本当に悩んでいる人はそこにアクセスするまでがすごく大変です。居場所は作られても、ある一定の人で固定されていくので、入りにくくなります。,1,2,3,5,6,,,3,,,,,,,,,10,,,,,,,,結婚したいと思ったことがないから。,0,,,,,,,,,,,,,,,,,10,,,,,,,,,人間を形成することに自信がないため。また、子どもが欲しいと思ったことがないため。,生活における最低限の支援や相談ができる仕組み。どうしても、結婚している家族や子供がいる人に対しての支援等が多いので、独身でいる人に対しても、なんらかあるといいと思っています。上手く書けませんが、1人で生きていることが外れているようにされていると、時々感じることがあります。
78,4,2,2,5,,,,1,,5,,1,,,1,2,3,5,2,3,,,2,3,5,,,2,3,,,,,2,3,,,,11,,,,,,,,,,2,1,3,4,8,13,14,15,,,,,,1,5,6,,,,,,1,,,,,,1,2,,,,,,1,2,4,5,,,,,,,,,,,,,,,,,,,3,4,,,,,,3,,,,,,,,,1,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,保育施設の充実
79,3,1,2,6,,,,1,,2,,1,,,1,,,,1,,,,3,,,,,3,,,,,,1,,,,,1,,,,,,,,,,3,1,13,,,,,,,,,,,2,,,,,,,,,,,,,3,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,1,3,4,,,,,,,0,,,,,,,,,,,,,,,,,4,5,10,,,,,,,こんな日本に生まれる子どもがかわいそう。,
80,5,2,2,6,,,,1,,5,,1,,,1,3,,,1,2,3,,1,2,3,,,1,2,3,,,,5,6,,,,1,5,11,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,6,7,,,,1,2,3,4,5,,,,,,,,,,5,8,9,,,,,,3,5,,,,,,2,,,,,,,,,1,4,8,10,,,,,,0,,,,,,,,,,,,,,,,,7,10,,,,,,,,ペットを育てられないのに、子どもを育てられるとは思えない。,子育て世帯に一番お金を使ってあげてほしい。
81,4,2,1,5,,,,6,,3,,1,,,1,2,3,,1,2,,,1,2,3,4,,1,2,3,,,,1,2,,,,1,2,3,6,11,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,4,,,,,,,,,,,,,,,,,,3,1,2,3,5,8,9,10,12,,,,,,,,,,,,,,,,,,,
82,4,1,2,5,,,,10,パートナーと折半,5,,1,,,1,2,3,6,1,,,,1,2,3,,,1,2,,,,,1,2,,,,1,2,,,,,,,,,3,1,12,13,,,,,,,,,,1,2,,,,,,,1,,,,,,1,2,,,,,,1,,,,,,,,,,,,,,8,,,,,,,,3,,,,,,,3,,,,,,,,,4,,,,,,,,,0,,,,,,,,,,,,,,,,,5,,,,,,,,,,
83,5,2,1,5,,,,1,,5,,1,,,3,,,,3,,,,3,,,,,1,,,,,,1,,,,,3,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,4,5,6,7,8,9,,,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,10,,,,,,,,,年齢的に。,
84,4,2,2,6,,,,1,,5,,1,,,1,2,3,,2,,,,1,2,3,,,1,2,,,,,2,,,,,1,5,,,,,,,,,4,1,11,13,14,15,,,,,,,,1,1,5,,,,,,1,2,,,,,1,2,3,4,,,,1,3,4,5,,,,,,,,,,,,,,,,,,弁護士による無料相談,1,2,3,4,,,,1,1,3,8,,,,,,10,,,,,,,,,2,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,,,,,,このようなアンケートはいい試みだと思います。なにをするにも金銭的な支援や援助のシステムが整っていれば、安心できると思います。
