"対象","障害","種目","区分","対象者","内容","基準額[円]","耐用年数[年]"
"身体障害者手帳、愛の手帳の交付を受けた人または知的障害者や精神障害者","精神障害","頭部保護帽","給付","てんかんの発作等により頻繁に転倒するもの","転倒の衝撃から頭部を保護できるもの（既製品は価格欄の80％の範囲内とする。）","①スポンジ、革を主材料に製作15200②スポンジ、革、プラスチック（頭部全体を保護するもの）を主材料に製作36750","3"
"障害者総合支援法の対象となる難病等にかかっている人",,"便器",,"常時介護を要する人",,"51500",
"障害者総合支援法の対象となる難病等にかかっている人",,"特殊マット",,"寝たきりの状態にある人",,"88000",
"障害者総合支援法の対象となる難病等にかかっている人",,"特殊寝台",,"寝たきりの状態にある人",,"190000",
"障害者総合支援法の対象となる難病等にかかっている人",,"特殊尿器",,"自力で排尿できない人",,"154500",
"障害者総合支援法の対象となる難病等にかかっている人",,"体位変換器",,"寝たきりの状態にある人",,"15000",
"障害者総合支援法の対象となる難病等にかかっている人",,"入浴補助用具",,"入浴に介助を要する人",,"90000",
"障害者総合支援法の対象となる難病等にかかっている人",,"歩行支援用具（手すり、スロープ等）",,"下肢が不自由な人",,"60000",
"障害者総合支援法の対象となる難病等にかかっている人",,"電気式たん吸引器",,"呼吸機能に障害のある人",,"56400",
"障害者総合支援法の対象となる難病等にかかっている人",,"ネブライザー（吸入器）",,"呼吸機能に障害のある人",,"36000",
"障害者総合支援法の対象となる難病等にかかっている人",,"移動用リフト",,"下肢または体幹機能に障害のある人",,"300700",
"障害者総合支援法の対象となる難病等にかかっている人",,"特殊便器",,"上肢機能に障害のある人",,"151200",
"障害者総合支援法の対象となる難病等にかかっている人",,"訓練用ベッド",,"下肢または体幹機能に障害のある人",,"162800",
"障害者総合支援法の対象となる難病等にかかっている人",,"自動消火装置",,"火災発生の感知および避難が著しく困難な難病患者等のみの世帯およびこれに準ずる世帯",,"28700",
"障害者総合支援法の対象となる難病等にかかっている人",,"動脈血中酸素飽和度測定器（パルスオキシメーター）",,"人工呼吸器の装着が必要な人",,"157500",

"港区内の障害者（児）日常生活の支援(2019年8月17日現在)","Ver201908",,,,,,
