罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,福生,福生駅前交番,132187,東京都,福生市,志茂,2018-02-06,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,福生,下福生駐在所,132187,東京都,福生市,牛浜,2017-08-25,14,道路上,女性,70歳以上,あり
窃盗,ひったくり,福生,小作駅前交番,132276,東京都,羽村市,小作台３丁目,2018-06-14,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,八王子,富士森交番,132012,東京都,八王子市,上野町,2018-08-13,20,道路上,女性,20歳代,あり
窃盗,ひったくり,八王子,八王子駅北口交番,132012,東京都,八王子市,東町,2018-08-13,22,道路上,男性,20歳代,なし
窃盗,ひったくり,町田,町田駅前交番,132098,東京都,町田市,森野２丁目,2018-04-15,16,道路上,女性,30歳代,あり
窃盗,ひったくり,町田,町田駅前交番,132098,東京都,町田市,森野２丁目,2018-08-22,22,道路上,男性,40歳代,あり
窃盗,ひったくり,町田,原町田交番,132098,東京都,町田市,原町田６丁目,2018-04-08,06,道路上,女性,40歳代,なし
窃盗,ひったくり,町田,原町田交番,132098,東京都,町田市,原町田６丁目,2018-10-13,02,道路上,女性,20歳代,あり
窃盗,ひったくり,町田,金森交番,132098,東京都,町田市,金森東１丁目,2018-07-07,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,町田,大蔵駐在所,132098,東京都,町田市,大蔵町,2018-08-28,22,道路上,男性,30歳代,あり
窃盗,ひったくり,町田,図師駐在所,132098,東京都,町田市,図師町,2018-06-07,21,道路上,女性,10歳代,なし
窃盗,ひったくり,町田,図師駐在所,132098,東京都,町田市,図師町,2018-06-23,06,道路上,女性,20歳代,あり
窃盗,ひったくり,町田,木曽交番,132098,東京都,町田市,本町田,2018-05-29,21,道路上,女性,20歳代,あり
窃盗,ひったくり,町田,木曽交番,132098,東京都,町田市,木曽東４丁目,2018-02-25,18,道路上,女性,50歳代,なし
窃盗,ひったくり,町田,小山田駐在所,132098,東京都,町田市,小山田桜台１丁目,2018-09-17,08,道路上,女性,10歳代,あり
窃盗,ひったくり,町田,山崎交番,132098,東京都,町田市,山崎町,2018-07-10,22,道路上,女性,10歳代,なし
窃盗,ひったくり,町田,成瀬台駐在所,132098,東京都,町田市,成瀬台１丁目,2018-09-03,21,道路上,女性,20歳代,あり
窃盗,ひったくり,町田,成瀬駅前交番,132098,東京都,町田市,南成瀬２丁目,2018-02-04,19,道路上,女性,10歳代,なし
窃盗,ひったくり,町田,成瀬駅前交番,132098,東京都,町田市,南成瀬６丁目,2018-12-25,22,道路上,女性,10歳代,あり
窃盗,ひったくり,町田,成瀬駅前交番,132098,東京都,町田市,成瀬が丘３丁目,2018-09-16,19,道路上,女性,65-69歳,あり
窃盗,ひったくり,町田,忠生地区交番,132098,東京都,町田市,根岸町,2018-07-13,22,道路上,女性,10歳代,なし
窃盗,ひったくり,日野,日野駅前交番,132128,東京都,日野市,日野本町３丁目,2018-07-13,20,道路上,女性,50歳代,あり
窃盗,ひったくり,日野,豊田駅前交番,132128,東京都,日野市,豊田４丁目,2018-06-20,00,道路上,女性,65-69歳,あり
窃盗,ひったくり,日野,豊田駅前交番,132128,東京都,日野市,東豊田３丁目,2018-05-24,22,道路上,女性,20歳代,なし
窃盗,ひったくり,昭島,昭島駅前交番,132071,東京都,昭島市,昭和町２丁目,2018-06-17,20,その他,男性,70歳以上,あり
窃盗,ひったくり,昭島,昭島駅前交番,132071,東京都,昭島市,上川原町１丁目,2018-06-27,21,道路上,女性,40歳代,あり
窃盗,ひったくり,昭島,中神駐在所,132071,東京都,昭島市,中神町,2018-07-31,21,道路上,女性,20歳代,あり
窃盗,ひったくり,昭島,中神駐在所,132071,東京都,昭島市,中神町,2018-11-22,20,道路上,女性,50歳代,あり
窃盗,ひったくり,昭島,多摩大橋交番,132071,東京都,昭島市,宮沢町２丁目,2018-06-20,21,道路上,女性,20歳代,あり
窃盗,ひったくり,昭島,堀向駐在所,132071,東京都,昭島市,美堀町４丁目,2018-07-11,21,道路上,女性,30歳代,あり
窃盗,ひったくり,昭島,拝島駅前交番,132071,東京都,昭島市,松原町４丁目,2018-06-27,02,道路上,女性,70歳以上,あり
窃盗,ひったくり,立川,錦町交番,132021,東京都,立川市,錦町２丁目,2018-06-20,21,道路上,女性,40歳代,あり
窃盗,ひったくり,立川,錦町交番,132021,東京都,立川市,羽衣町３丁目,2018-10-08,21,道路上,女性,40歳代,あり
窃盗,ひったくり,立川,立日橋交番,132021,東京都,立川市,柴崎町４丁目,2018-08-15,23,道路上,男性,20歳代,あり
窃盗,ひったくり,立川,立川駅南口交番,132021,東京都,立川市,柴崎町１丁目,2018-09-23,22,道路上,男性,20歳代,あり
窃盗,ひったくり,立川,谷保交番,132152,東京都,国立市,谷保,2018-08-28,11,道路上,男性,70歳以上,なし
窃盗,ひったくり,府中,東府中駅前交番,132063,東京都,府中市,浅間町１丁目,2018-02-09,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,府中,東府中駅前交番,132063,東京都,府中市,府中町２丁目,2018-08-28,21,道路上,男性,30歳代,あり
窃盗,ひったくり,府中,第五中学校前交番,132063,東京都,府中市,浅間町３丁目,2018-02-09,17,道路上,女性,40歳代,あり
窃盗,ひったくり,田無,田無駅前交番,132292,東京都,西東京市,芝久保町４丁目,2018-11-28,16,道路上,女性,30歳代,あり
窃盗,ひったくり,田無,北原町交番,132292,東京都,西東京市,西原町３丁目,2018-01-16,12,その他,女性,70歳以上,あり
窃盗,ひったくり,田無,柳沢駅前交番,132292,東京都,西東京市,保谷町３丁目,2018-08-16,10,道路上,女性,60-64歳,あり
窃盗,ひったくり,田無,保谷駅前交番,132292,東京都,西東京市,東町６丁目,2018-05-15,21,道路上,女性,40歳代,あり
窃盗,ひったくり,田無,滝山交番,132225,東京都,東久留米市,前沢４丁目,2018-07-03,23,道路上,男性,20歳代,なし
窃盗,ひったくり,田無,南沢交番,132225,東京都,東久留米市,中央町３丁目,2018-04-30,18,道路上,男性,60-64歳,あり
窃盗,ひったくり,田無,ひばりが丘駅前交番,132292,東京都,西東京市,谷戸町３丁目,2018-07-17,20,道路上,女性,10歳代,あり
窃盗,ひったくり,武蔵野,東町駐在所,132039,東京都,武蔵野市,吉祥寺東町２丁目,2018-04-30,19,道路上,男性,30歳代,あり
窃盗,ひったくり,武蔵野,東町駐在所,132039,東京都,武蔵野市,吉祥寺東町２丁目,2018-05-17,19,道路上,女性,20歳代,あり
窃盗,ひったくり,三鷹,井之頭公園駅前交番,132047,東京都,三鷹市,井の頭３丁目,2018-03-25,21,その他,男性,10歳代,あり
窃盗,ひったくり,三鷹,井之頭公園駅前交番,132047,東京都,三鷹市,井の頭５丁目,2018-02-16,17,道路上,女性,50歳代,あり
窃盗,ひったくり,調布,布田交番,132080,東京都,調布市,染地２丁目,2018-12-06,00,道路上,女性,70歳以上,あり
窃盗,ひったくり,調布,国領交番,132080,東京都,調布市,国領町４丁目,2018-11-21,00,道路上,男性,60-64歳,あり
窃盗,ひったくり,調布,国領交番,132080,東京都,調布市,国領町８丁目,2018-12-27,22,その他,女性,65-69歳,あり
窃盗,ひったくり,調布,小覚交番,132195,東京都,狛江市,東野川２丁目,2018-11-30,22,道路上,女性,20歳代,あり
窃盗,ひったくり,調布,調布駅前交番,132080,東京都,調布市,布田１丁目,2018-12-19,02,道路上,男性,65-69歳,あり
窃盗,ひったくり,小平,花小金井駅前交番,132110,東京都,小平市,鈴木町２丁目,2018-07-04,23,道路上,男性,20歳代,あり
窃盗,ひったくり,小平,小川駅前交番,132110,東京都,小平市,小川西町５丁目,2018-08-15,22,道路上,男性,50歳代,なし
