種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（D）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／就職者（人）,卒業者数／就職者／正規の職員等（人）,卒業者数／就職者／正規の職員等でない者（人）,卒業者数／一時的な仕事に就いた者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／自営業主等無期雇用労働者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／雇用契約期間が一年以上、かつフルタイム勤務相当の者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等でない者（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,Ａのうち大学・短期大学の通信教育部を除く進学者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,男,2,御蔵島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,男,2,八丈町,令和4,2022,3月,24,12,2,－,－,－,5,1,－,…,…,…,…,4,－,－,－,－,…,…,－,12,50,5,20.8
総数（国・公・私立）,男,2,青ヶ島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,男,2,小笠原村,令和4,2022,3月,4,1,2,－,1,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,1,25,－,－
総数（国・公・私立）,女,0,総数,平成29,2017,3月,52333,36596,7063,2096,83,…,…,…,…,2716,2701,15,401,3374,4,5,…,…,4,1,…,36578,69.9,2721,5.2
総数（国・公・私立）,女,0,総数,平成30,2018,3月,51981,35954,6467,2960,72,…,…,…,…,2668,2659,9,318,3534,8,1,…,…,－,1,…,35927,69.2,2669,5.1
総数（国・公・私立）,女,0,総数,平成31,2019,3月,51884,36065,6892,2500,79,…,…,…,…,2517,2497,20,341,3488,2,3,…,…,3,－,…,36028,69.5,2520,4.9
総数（国・公・私立）,女,0,総数,令和2,2020,3月,51119,35928,6946,2353,68,98,2381,227,129,…,…,…,…,2985,4,4,2,2,…,…,17,35889,70.3,2500,4.9
総数（国・公・私立）,女,0,総数,令和3,2021,3月,50074,36212,7058,1870,62,46,1884,192,59,…,…,…,…,2690,1,3,1,2,…,…,42,36160,72.3,1975,3.9
総数（国・公・私立）,女,0,総数,令和4,2022,3月,49945,36850,6586,1933,63,42,1683,133,115,…,…,…,…,2539,1,1,－,1,…,…,20,36790,73.8,1746,3.5
総数（国・公・私立）,女,1,区部,令和4,2022,3月,35153,26333,4124,1389,45,35,1131,82,91,…,…,…,…,1922,1,1,－,1,…,…,15,26296,74.9,1182,3.4
総数（国・公・私立）,女,2,千代田区,令和4,2022,3月,2473,2078,83,138,3,1,16,1,－,…,…,…,…,153,－,－,－,－,…,…,1,2075,84,18,0.7
総数（国・公・私立）,女,2,中央区,令和4,2022,3月,293,201,2,45,3,－,－,4,－,…,…,…,…,38,－,－,－,－,…,…,4,201,68.6,4,1.4
総数（国・公・私立）,女,2,港区,令和4,2022,3月,2081,1739,79,68,4,－,66,－,－,…,…,…,…,125,－,－,－,－,…,…,－,1738,83.6,66,3.2
総数（国・公・私立）,女,2,新宿区,令和4,2022,3月,881,700,30,80,－,1,1,－,－,…,…,…,…,69,－,－,－,－,…,…,－,699,79.5,2,0.2
総数（国・公・私立）,女,2,文京区,令和4,2022,3月,2649,2102,209,129,－,－,27,3,－,…,…,…,…,179,－,－,－,－,…,…,－,2102,79.4,27,1
総数（国・公・私立）,女,2,台東区,令和4,2022,3月,734,511,122,16,1,1,54,－,－,…,…,…,…,29,－,－,－,－,…,…,－,510,69.6,55,7.5
総数（国・公・私立）,女,2,墨田区,令和4,2022,3月,872,628,146,24,3,1,39,3,－,…,…,…,…,28,－,－,－,－,…,…,－,628,72,40,4.6
総数（国・公・私立）,女,2,江東区,令和4,2022,3月,977,624,86,77,2,2,122,－,13,…,…,…,…,51,－,－,－,－,…,…,－,621,63.9,124,12.7
総数（国・公・私立）,女,2,品川区,令和4,2022,3月,1675,1278,152,103,1,10,22,1,16,…,…,…,…,92,－,－,－,－,…,…,－,1278,76.3,32,1.9
総数（国・公・私立）,女,2,目黒区,令和4,2022,3月,1200,998,61,77,－,－,3,－,－,…,…,…,…,61,－,－,－,－,…,…,－,992,83.2,3,0.3
総数（国・公・私立）,女,2,大田区,令和4,2022,3月,1310,792,296,78,6,－,53,7,6,…,…,…,…,72,－,－,－,－,…,…,7,791,60.5,60,4.6
総数（国・公・私立）,女,2,世田谷区,令和4,2022,3月,4165,3289,474,73,6,5,45,8,11,…,…,…,…,254,－,－,－,－,…,…,－,3286,79,50,1.2
総数（国・公・私立）,女,2,渋谷区,令和4,2022,3月,1806,1496,96,64,－,－,35,1,－,…,…,…,…,114,－,－,－,－,…,…,1,1496,82.8,36,2
総数（国・公・私立）,女,2,中野区,令和4,2022,3月,1289,973,162,61,1,－,44,－,1,…,…,…,…,47,－,－,－,－,…,…,－,972,75.5,44,3.4
総数（国・公・私立）,女,2,杉並区,令和4,2022,3月,2756,2301,223,96,1,2,32,2,15,…,…,…,…,84,－,－,－,－,…,…,1,2297,83.5,35,1.3
総数（国・公・私立）,女,2,豊島区,令和4,2022,3月,1845,1543,123,64,1,－,12,－,－,…,…,…,…,101,1,－,－,－,…,…,－,1538,83.6,12,0.7
総数（国・公・私立）,女,2,北区,令和4,2022,3月,1411,1002,249,17,3,－,30,8,－,…,…,…,…,102,－,1,－,1,…,…,－,1000,71,31,2.2
総数（国・公・私立）,女,2,荒川区,令和4,2022,3月,180,90,58,－,2,5,13,－,－,…,…,…,…,12,－,－,－,－,…,…,－,90,50,18,10
総数（国・公・私立）,女,2,板橋区,令和4,2022,3月,1643,1289,162,71,1,－,46,1,－,…,…,…,…,73,－,－,－,－,…,…,－,1287,78.5,46,2.8
総数（国・公・私立）,女,2,練馬区,令和4,2022,3月,1266,759,281,44,2,4,95,10,－,…,…,…,…,71,－,－,－,－,…,…,－,757,60,99,7.8
総数（国・公・私立）,女,2,足立区,令和4,2022,3月,1148,467,370,14,1,1,209,3,22,…,…,…,…,61,－,－,－,－,…,…,1,466,40.7,211,18.4
総数（国・公・私立）,女,2,葛飾区,令和4,2022,3月,819,356,298,－,2,－,102,25,－,…,…,…,…,36,－,－,－,－,…,…,－,355,43.5,102,12.5
総数（国・公・私立）,女,2,江戸川区,令和4,2022,3月,1680,1117,362,50,2,2,65,5,7,…,…,…,…,70,－,－,－,－,…,…,－,1117,66.5,67,4
総数（国・公・私立）,女,1,市部,令和4,2022,3月,14569,10412,2397,539,13,7,526,43,24,…,…,…,…,608,－,－,－,－,…,…,5,10390,71.5,538,3.7
総数（国・公・私立）,女,2,八王子市,令和4,2022,3月,2244,1631,356,55,1,1,67,13,2,…,…,…,…,118,－,－,－,－,…,…,－,1625,72.7,68,3
総数（国・公・私立）,女,2,立川市,令和4,2022,3月,572,301,176,25,1,－,25,－,－,…,…,…,…,44,－,－,－,－,…,…,－,301,52.6,25,4.4
総数（国・公・私立）,女,2,武蔵野市,令和4,2022,3月,836,705,38,63,－,－,1,－,－,…,…,…,…,29,－,－,－,－,…,…,－,705,84.3,1,0.1
総数（国・公・私立）,女,2,三鷹市,令和4,2022,3月,417,336,55,－,－,－,1,－,－,…,…,…,…,25,－,－,－,－,…,…,－,336,80.6,1,0.2
総数（国・公・私立）,女,2,青梅市,令和4,2022,3月,247,104,84,3,－,－,41,－,4,…,…,…,…,11,－,－,－,－,…,…,－,104,42.1,41,16.6
総数（国・公・私立）,女,2,府中市,令和4,2022,3月,761,469,171,56,1,1,39,－,－,…,…,…,…,24,－,－,－,－,…,…,－,467,61.6,40,5.3
総数（国・公・私立）,女,2,昭島市,令和4,2022,3月,323,206,75,13,－,－,15,－,－,…,…,…,…,14,－,－,－,－,…,…,－,206,63.8,15,4.6
総数（国・公・私立）,女,2,調布市,令和4,2022,3月,833,734,32,35,－,－,－,－,－,…,…,…,…,32,－,－,－,－,…,…,－,733,88.1,－,－
総数（国・公・私立）,女,2,町田市,令和4,2022,3月,1632,1098,229,114,4,－,66,12,4,…,…,…,…,105,－,－,－,－,…,…,－,1093,67.3,66,4
総数（国・公・私立）,女,2,小金井市,令和4,2022,3月,579,522,11,20,－,－,1,－,－,…,…,…,…,25,－,－,－,－,…,…,－,522,90.2,1,0.2
総数（国・公・私立）,女,2,小平市,令和4,2022,3月,1140,951,101,46,1,2,13,－,－,…,…,…,…,26,－,－,－,－,…,…,－,950,83.4,15,1.3
総数（国・公・私立）,女,2,日野市,令和4,2022,3月,460,374,62,19,－,－,3,－,1,…,…,…,…,1,－,－,－,－,…,…,－,374,81.3,3,0.7
総数（国・公・私立）,女,2,東村山市,令和4,2022,3月,582,348,152,1,1,－,43,－,13,…,…,…,…,24,－,－,－,－,…,…,－,345,59.8,43,7.4
総数（国・公・私立）,女,2,国分寺市,令和4,2022,3月,316,304,2,8,－,－,1,－,－,…,…,…,…,1,－,－,－,－,…,…,－,304,96.2,1,0.3
総数（国・公・私立）,女,2,国立市,令和4,2022,3月,404,248,97,－,－,2,49,－,－,…,…,…,…,8,－,－,－,－,…,…,－,248,61.4,51,12.6
総数（国・公・私立）,女,2,福生市,令和4,2022,3月,146,67,57,－,－,1,7,5,－,…,…,…,…,9,－,－,－,－,…,…,5,67,45.9,13,8.9
総数（国・公・私立）,女,2,狛江市,令和4,2022,3月,148,131,4,13,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,131,88.5,－,－
総数（国・公・私立）,女,2,東大和市,令和4,2022,3月,276,197,59,8,－,－,3,－,－,…,…,…,…,9,－,－,－,－,…,…,－,197,71.4,3,1.1
総数（国・公・私立）,女,2,清瀬市,令和4,2022,3月,150,135,11,4,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,135,90,－,－
総数（国・公・私立）,女,2,東久留米市,令和4,2022,3月,276,131,94,17,－,－,13,8,－,…,…,…,…,13,－,－,－,－,…,…,－,131,47.5,13,4.7
総数（国・公・私立）,女,2,武蔵村山市,令和4,2022,3月,494,358,96,4,1,－,11,－,－,…,…,…,…,24,－,－,－,－,…,…,－,357,72.5,11,2.2
総数（国・公・私立）,女,2,多摩市,令和4,2022,3月,345,231,75,1,1,－,16,－,－,…,…,…,…,21,－,－,－,－,…,…,－,231,67,16,4.6
総数（国・公・私立）,女,2,稲城市,令和4,2022,3月,341,221,107,－,－,－,4,－,－,…,…,…,…,9,－,－,－,－,…,…,－,219,64.8,4,1.2
総数（国・公・私立）,女,2,羽村市,令和4,2022,3月,132,33,66,－,－,－,23,5,－,…,…,…,…,5,－,－,－,－,…,…,－,33,25,23,17.4
総数（国・公・私立）,女,2,あきる野市,令和4,2022,3月,320,142,89,3,2,－,74,－,－,…,…,…,…,10,－,－,－,－,…,…,－,142,44.4,74,23.1
総数（国・公・私立）,女,2,西東京市,令和4,2022,3月,595,435,98,31,－,－,10,－,－,…,…,…,…,21,－,－,－,－,…,…,－,434,73.1,10,1.7
総数（国・公・私立）,女,1,郡部,令和4,2022,3月,141,63,41,－,2,－,20,8,－,…,…,…,…,7,－,－,－,－,…,…,－,63,44.7,20,14.2
総数（国・公・私立）,女,2,瑞穂町,令和4,2022,3月,141,63,41,－,2,－,20,8,－,…,…,…,…,7,－,－,－,－,…,…,－,63,44.7,20,14.2
総数（国・公・私立）,女,2,日の出町,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,女,2,檜原村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,女,2,奥多摩町,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,女,1,島部,令和4,2022,3月,82,42,24,5,3,－,6,－,－,…,…,…,…,2,－,－,－,－,…,…,－,41,51.2,6,7.3
総数（国・公・私立）,女,2,大島町,令和4,2022,3月,38,17,14,－,3,－,3,－,－,…,…,…,…,1,－,－,－,－,…,…,－,17,44.7,3,7.9
総数（国・公・私立）,女,2,利島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,女,2,新島村,令和4,2022,3月,11,6,－,5,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,6,54.5,－,－
総数（国・公・私立）,女,2,神津島村,令和4,2022,3月,6,3,3,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,3,50,－,－
総数（国・公・私立）,女,2,三宅村,令和4,2022,3月,1,－,1,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,女,2,御蔵島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,女,2,八丈町,令和4,2022,3月,17,10,3,－,－,－,3,－,－,…,…,…,…,1,－,－,－,－,…,…,－,9,58.8,3,17.6
総数（国・公・私立）,女,2,青ヶ島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,女,2,小笠原村,令和4,2022,3月,9,6,3,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,6,66.7,－,－
公立,総数（男・女）,0,総数,平成29,2017,3月,43421,22842,8206,2391,276,…,…,…,…,5619,5596,23,558,3522,7,7,…,…,6,1,…,22812,52.6,5626,13
公立,総数（男・女）,0,総数,平成30,2018,3月,43025,21982,6982,4050,275,…,…,…,…,5418,5409,9,460,3858,－,3,…,…,2,1,…,21954,51.1,5421,12.6
公立,総数（男・女）,0,総数,平成31,2019,3月,43041,22018,7773,3672,251,…,…,…,…,5340,5300,40,497,3489,1,5,…,…,4,1,…,21952,51.2,5345,12.4
公立,総数（男・女）,0,総数,令和2,2020,3月,42839,22620,8076,3499,219,203,5043,361,235,…,…,…,…,2581,2,2,1,1,…,…,20,22553,52.8,5268,12.3
公立,総数（男・女）,0,総数,令和3,2021,3月,41601,23196,8099,2533,273,112,4267,407,112,…,…,…,…,2602,－,3,3,－,…,…,120,23117,55.8,4502,10.8
公立,総数（男・女）,0,総数,令和4,2022,3月,41257,24153,7461,2598,223,69,3866,356,185,…,…,…,…,2345,1,2,2,－,…,…,139,24079,58.5,4076,9.9
公立,総数（男・女）,1,区部,令和4,2022,3月,25300,14613,4272,1689,148,59,2617,159,155,…,…,…,…,1587,1,2,2,－,…,…,19,14565,57.8,2697,10.7
公立,総数（男・女）,2,千代田区,令和4,2022,3月,459,283,1,110,8,1,30,－,－,…,…,…,…,26,－,－,－,－,…,…,－,281,61.7,31,6.8
公立,総数（男・女）,2,中央区,令和4,2022,3月,262,173,－,54,4,－,－,5,－,…,…,…,…,26,－,－,－,－,…,…,5,172,66,5,1.9
公立,総数（男・女）,2,港区,令和4,2022,3月,596,349,91,26,7,－,81,－,－,…,…,…,…,42,－,－,－,－,…,…,－,347,58.6,81,13.6
公立,総数（男・女）,2,新宿区,令和4,2022,3月,967,679,28,154,－,－,2,－,－,…,…,…,…,104,－,－,－,－,…,…,－,678,70.2,2,0.2
公立,総数（男・女）,2,文京区,令和4,2022,3月,794,569,42,108,2,1,16,8,－,…,…,…,…,48,－,－,－,－,…,…,－,567,71.7,17,2.1
公立,総数（男・女）,2,台東区,令和4,2022,3月,1017,636,120,41,6,2,141,－,－,…,…,…,…,71,－,－,－,－,…,…,－,633,62.5,143,14.1
公立,総数（男・女）,2,墨田区,令和4,2022,3月,1140,758,211,20,4,1,77,6,－,…,…,…,…,63,－,－,－,－,…,…,－,758,66.5,78,6.8
公立,総数（男・女）,2,江東区,令和4,2022,3月,1675,996,114,130,7,7,291,－,15,…,…,…,…,115,－,－,－,－,…,…,－,991,59.5,298,17.8
公立,総数（男・女）,2,品川区,令和4,2022,3月,822,505,76,126,3,1,34,1,28,…,…,…,…,48,－,－,－,－,…,…,－,504,61.4,35,4.3
公立,総数（男・女）,2,目黒区,令和4,2022,3月,789,633,7,126,1,1,2,－,－,…,…,…,…,19,－,2,2,－,…,…,－,633,80.2,5,0.6
公立,総数（男・女）,2,大田区,令和4,2022,3月,1589,835,299,153,22,2,154,11,19,…,…,…,…,94,－,－,－,－,…,…,11,834,52.5,167,10.5
公立,総数（男・女）,2,世田谷区,令和4,2022,3月,1808,989,469,56,16,7,113,15,22,…,…,…,…,121,－,－,－,－,…,…,－,984,54.7,120,6.6
公立,総数（男・女）,2,渋谷区,令和4,2022,3月,688,453,103,66,－,－,46,8,－,…,…,…,…,12,－,－,－,－,…,…,－,453,65.8,46,6.7
公立,総数（男・女）,2,中野区,令和4,2022,3月,1069,683,121,86,4,－,107,－,－,…,…,…,…,68,－,－,－,－,…,…,－,681,63.9,107,10
公立,総数（男・女）,2,杉並区,令和4,2022,3月,1563,918,312,66,9,5,153,4,22,…,…,…,…,74,－,－,－,－,…,…,－,915,58.7,158,10.1
公立,総数（男・女）,2,豊島区,令和4,2022,3月,846,670,75,－,1,－,19,－,－,…,…,…,…,81,－,－,－,－,…,…,－,666,79.2,19,2.2
公立,総数（男・女）,2,北区,令和4,2022,3月,587,267,177,－,6,－,36,11,－,…,…,…,…,90,－,－,－,－,…,…,－,265,45.5,36,6.1
公立,総数（男・女）,2,荒川区,令和4,2022,3月,325,79,98,－,3,2,96,－,－,…,…,…,…,47,－,－,－,－,…,…,－,76,24.3,98,30.2
公立,総数（男・女）,2,板橋区,令和4,2022,3月,1435,798,235,158,9,2,150,3,－,…,…,…,…,80,－,－,－,－,…,…,1,794,55.6,153,10.7
公立,総数（男・女）,2,練馬区,令和4,2022,3月,1912,1022,434,78,10,10,230,23,－,…,…,…,…,105,－,－,－,－,…,…,－,1017,53.5,240,12.6
公立,総数（男・女）,2,足立区,令和4,2022,3月,1928,713,565,24,11,5,441,12,37,…,…,…,…,119,1,－,－,－,…,…,2,712,37,448,23.2
公立,総数（男・女）,2,葛飾区,令和4,2022,3月,1137,433,390,1,6,2,196,39,－,…,…,…,…,70,－,－,－,－,…,…,－,432,38.1,198,17.4
公立,総数（男・女）,2,江戸川区,令和4,2022,3月,1892,1172,304,106,9,10,202,13,12,…,…,…,…,64,－,－,－,－,…,…,－,1172,61.9,212,11.2
公立,総数（男・女）,1,市部,令和4,2022,3月,15571,9374,3092,896,56,10,1185,187,30,…,…,…,…,741,－,－,－,－,…,…,120,9349,60.2,1315,8.4
公立,総数（男・女）,2,八王子市,令和4,2022,3月,2113,1202,443,153,11,－,139,28,3,…,…,…,…,134,－,－,－,－,…,…,－,1194,56.9,139,6.6
公立,総数（男・女）,2,立川市,令和4,2022,3月,493,290,60,56,1,－,32,－,－,…,…,…,…,54,－,－,－,－,…,…,－,290,58.8,32,6.5
公立,総数（男・女）,2,武蔵野市,令和4,2022,3月,414,348,1,59,－,－,2,－,－,…,…,…,…,4,－,－,－,－,…,…,－,348,84.1,2,0.5
公立,総数（男・女）,2,三鷹市,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
公立,総数（男・女）,2,青梅市,令和4,2022,3月,435,174,143,4,3,1,78,－,6,…,…,…,…,26,－,－,－,－,…,…,－,174,40,79,18.2
公立,総数（男・女）,2,府中市,令和4,2022,3月,1243,615,278,88,4,3,171,－,－,…,…,…,…,84,－,－,－,－,…,…,－,611,49.5,174,14
公立,総数（男・女）,2,昭島市,令和4,2022,3月,552,346,129,16,－,－,34,－,－,…,…,…,…,27,－,－,－,－,…,…,－,346,62.7,34,6.2
公立,総数（男・女）,2,調布市,令和4,2022,3月,753,625,44,36,－,1,3,1,－,…,…,…,…,43,－,－,－,－,…,…,－,623,83,4,0.5
公立,総数（男・女）,2,町田市,令和4,2022,3月,1667,951,358,49,8,1,146,18,5,…,…,…,…,131,－,－,－,－,…,…,－,947,57,147,8.8
公立,総数（男・女）,2,小金井市,令和4,2022,3月,444,330,9,74,2,－,14,－,－,…,…,…,…,15,－,－,－,－,…,…,－,330,74.3,14,3.2
公立,総数（男・女）,2,小平市,令和4,2022,3月,819,627,114,51,－,1,9,－,－,…,…,…,…,17,－,－,－,－,…,…,－,627,76.6,10,1.2
公立,総数（男・女）,2,日野市,令和4,2022,3月,934,751,91,77,－,－,10,－,1,…,…,…,…,4,－,－,－,－,…,…,－,751,80.4,10,1.1
公立,総数（男・女）,2,東村山市,令和4,2022,3月,384,116,170,1,1,－,64,－,15,…,…,…,…,17,－,－,－,－,…,…,－,113,30.2,64,16.7
公立,総数（男・女）,2,国分寺市,令和4,2022,3月,309,261,1,46,－,－,1,－,－,…,…,…,…,－,－,－,－,－,…,…,－,261,84.5,1,0.3
公立,総数（男・女）,2,国立市,令和4,2022,3月,528,283,174,－,－,1,64,－,－,…,…,…,…,6,－,－,－,－,…,…,－,283,53.6,65,12.3
公立,総数（男・女）,2,福生市,令和4,2022,3月,463,154,140,4,－,2,16,120,－,…,…,…,…,27,－,－,－,－,…,…,120,154,33.3,138,29.8
公立,総数（男・女）,2,狛江市,令和4,2022,3月,314,255,4,54,1,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,255,81.2,－,－
公立,総数（男・女）,2,東大和市,令和4,2022,3月,582,439,81,32,－,－,6,－,－,…,…,…,…,24,－,－,－,－,…,…,－,439,75.4,6,1
公立,総数（男・女）,2,清瀬市,令和4,2022,3月,274,240,11,22,1,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,240,87.6,－,－
公立,総数（男・女）,2,東久留米市,令和4,2022,3月,500,286,142,－,2,－,23,14,－,…,…,…,…,33,－,－,－,－,…,…,－,286,57.2,23,4.6
公立,総数（男・女）,2,武蔵村山市,令和4,2022,3月,494,277,170,12,2,－,17,－,－,…,…,…,…,16,－,－,－,－,…,…,－,276,56.1,17,3.4
公立,総数（男・女）,2,多摩市,令和4,2022,3月,278,121,112,1,2,－,27,－,－,…,…,…,…,15,－,－,－,－,…,…,－,121,43.5,27,9.7
公立,総数（男・女）,2,稲城市,令和4,2022,3月,223,122,86,－,－,－,5,－,－,…,…,…,…,10,－,－,－,－,…,…,－,120,54.7,5,2.2
公立,総数（男・女）,2,羽村市,令和4,2022,3月,243,63,110,5,－,－,49,6,－,…,…,…,…,10,－,－,－,－,…,…,－,63,25.9,49,20.2
公立,総数（男・女）,2,あきる野市,令和4,2022,3月,334,48,102,1,14,－,145,－,－,…,…,…,…,24,－,－,－,－,…,…,－,48,14.4,145,43.4
公立,総数（男・女）,2,西東京市,令和4,2022,3月,778,450,119,55,4,－,130,－,－,…,…,…,…,20,－,－,－,－,…,…,－,449,57.8,130,16.7
公立,総数（男・女）,1,郡部,令和4,2022,3月,181,76,51,－,6,－,32,9,－,…,…,…,…,7,－,－,－,－,…,…,－,76,42,32,17.7
公立,総数（男・女）,2,瑞穂町,令和4,2022,3月,181,76,51,－,6,－,32,9,－,…,…,…,…,7,－,－,－,－,…,…,－,76,42,32,17.7
公立,総数（男・女）,2,日の出町,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
公立,総数（男・女）,2,檜原村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
公立,総数（男・女）,2,奥多摩町,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
公立,総数（男・女）,1,島部,令和4,2022,3月,205,90,46,13,13,－,32,1,－,…,…,…,…,10,－,－,－,－,…,…,－,89,43.9,32,15.6
公立,総数（男・女）,2,大島町,令和4,2022,3月,107,45,27,－,12,－,19,－,－,…,…,…,…,4,－,－,－,－,…,…,－,45,42.1,19,17.8
公立,総数（男・女）,2,利島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
公立,総数（男・女）,2,新島村,令和4,2022,3月,25,10,－,13,－,－,2,－,－,…,…,…,…,－,－,－,－,－,…,…,－,10,40,2,8
公立,総数（男・女）,2,神津島村,令和4,2022,3月,14,4,8,－,－,－,1,－,－,…,…,…,…,1,－,－,－,－,…,…,－,4,28.6,1,7.1
公立,総数（男・女）,2,三宅村,令和4,2022,3月,5,2,1,－,－,－,2,－,－,…,…,…,…,－,－,－,－,－,…,…,－,2,40,2,40
公立,総数（男・女）,2,御蔵島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
公立,総数（男・女）,2,八丈町,令和4,2022,3月,41,22,5,－,－,－,8,1,－,…,…,…,…,5,－,－,－,－,…,…,－,21,53.7,8,19.5
公立,総数（男・女）,2,青ヶ島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
公立,総数（男・女）,2,小笠原村,令和4,2022,3月,13,7,5,－,1,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,7,53.8,－,－
私立,総数（男・女）,0,総数,平成29,2017,3月,57820,43951,3833,3596,44,…,…,…,…,1221,1208,13,54,5111,10,2,…,…,1,1,…,43942,76,1223,2.1
私立,総数（男・女）,0,総数,平成30,2018,3月,57690,43208,3854,3792,32,…,…,…,…,1148,1131,17,29,5617,10,－,…,…,－,－,…,43187,74.9,1148,2
私立,総数（男・女）,0,総数,平成31,2019,3月,57619,43578,4073,3229,24,…,…,…,…,1084,1075,9,42,5585,4,－,…,…,－,－,…,43547,75.6,1084,1.9
私立,総数（男・女）,0,総数,令和2,2020,3月,56298,43452,4181,2852,38,101,816,57,16,…,…,…,…,4781,4,11,7,4,…,…,35,43425,77.2,963,1.7
私立,総数（男・女）,0,総数,令和3,2021,3月,56506,44550,4136,2687,16,62,705,39,2,…,…,…,…,4308,1,5,1,4,…,…,31,44518,78.8,803,1.4
私立,総数（男・女）,0,総数,令和4,2022,3月,56381,45686,3383,2493,22,53,581,44,6,…,…,…,…,4112,1,2,－,2,…,…,35,45662,81,671,1.2
私立,総数（男・女）,1,区部,令和4,2022,3月,43703,35332,2543,2069,15,46,500,42,6,…,…,…,…,3149,1,2,－,2,…,…,33,35312,80.8,581,1.3
私立,総数（男・女）,2,千代田区,令和4,2022,3月,3007,2549,125,151,－,1,13,1,－,…,…,…,…,167,－,－,－,－,…,…,1,2546,84.8,15,0.5
私立,総数（男・女）,2,中央区,令和4,2022,3月,168,134,2,－,－,－,－,－,－,…,…,…,…,32,－,－,－,－,…,…,－,134,79.8,－,－
私立,総数（男・女）,2,港区,令和4,2022,3月,3256,2678,27,67,－,－,3,1,1,…,…,…,…,479,－,－,－,－,…,…,－,2678,82.2,3,0.1
