年度,年度西暦,歳入歳出区分,会計区分,款,項,目,細目,事業名,所管部署
令和2年度,2020,歳出,一般,10,2,2,571,学校行事等事業経費,教育指導課
令和2年度,2020,歳出,一般,10,2,3,578,保健管理運営費,学校支援課
令和2年度,2020,歳出,一般,10,2,4,579,小学校施設整備事業,教育振興課
令和2年度,2020,歳出,一般,10,3,1,24,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,10,3,1,591,学校管理運営費,教育振興課
令和2年度,2020,歳出,一般,10,3,1,592,学校管理運営費,教育指導課
令和2年度,2020,歳出,一般,10,3,1,877,特別支援学級整備事業,学校支援課
令和2年度,2020,歳出,一般,10,3,2,593,教育振興運営費,教育振興課
令和2年度,2020,歳出,一般,10,3,2,594,特別支援学級運営費,教育振興課
令和2年度,2020,歳出,一般,10,3,2,595,就学援助費,学校支援課
令和2年度,2020,歳出,一般,10,3,2,596,特別支援教育生徒就学奨励事業,学校支援課
令和2年度,2020,歳出,一般,10,3,2,597,学校行事等事業経費,教育指導課
令和2年度,2020,歳出,一般,10,3,2,600,部活動補助事業,教育指導課
令和2年度,2020,歳出,一般,10,3,2,602,教科書採択事業,教育指導課
令和2年度,2020,歳出,一般,10,3,3,606,保健管理運営費,学校支援課
令和2年度,2020,歳出,一般,10,3,4,607,中学校施設整備事業,教育振興課
令和2年度,2020,歳出,一般,10,4,1,618,私立幼稚園等園児保護者補助金,子育て支援課
令和2年度,2020,歳出,一般,10,4,1,620,私立幼稚園に対する補助金,子育て支援課
令和2年度,2020,歳出,一般,10,4,1,621,子どものための教育給付費,子育て支援課
令和2年度,2020,歳出,一般,10,4,1,964,幼稚園等における新型コロナウイルス感染症対策事業補助金,子育て支援課
令和2年度,2020,歳出,一般,10,4,1,991,子育て支援施設等利用教育給付費,子育て支援課
令和2年度,2020,歳出,一般,10,5,1,26,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,10,5,1,632,文化関係団体育成費,文化・生涯学習推進課
令和2年度,2020,歳出,一般,10,5,1,635,放課後子ども教室事業,児童青少年課
令和2年度,2020,歳出,一般,10,5,1,636,成人式,児童青少年課
令和2年度,2020,歳出,一般,10,5,1,637,文化財保護審議会費,教育振興課
令和2年度,2020,歳出,一般,10,5,1,638,文化財保護事業,教育振興課
令和2年度,2020,歳出,一般,10,5,1,639,埋蔵文化財発掘調査事業,教育振興課
令和2年度,2020,歳出,一般,10,5,1,640,古民家管理運営事業,教育振興課
令和2年度,2020,歳出,一般,10,5,1,641,旧多摩聖蹟記念館管理運営事業,教育振興課
令和2年度,2020,歳出,一般,10,5,1,642,生涯学習推進事業,文化・生涯学習推進課
令和2年度,2020,歳出,一般,10,5,1,644,地域教育力支援事業,教育振興課
令和2年度,2020,歳出,一般,10,5,1,648,施設予約システム管理運用経費,スポーツ振興課
令和2年度,2020,歳出,一般,10,5,1,862,学びあい育ちあい推進審議会費,教育振興課
令和2年度,2020,歳出,一般,10,5,1,901,わがまち学習講座事業,文化・生涯学習推進課
令和2年度,2020,歳出,一般,10,5,1,983,旧北貝取小学校跡地整備事業,文化・生涯学習推進課
令和2年度,2020,歳出,一般,10,5,2,27,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,10,5,2,650,永山公民館管理運営費,永山公民館
令和2年度,2020,歳出,一般,10,5,2,651,学級・講座等社会教育事業,永山公民館
令和2年度,2020,歳出,一般,10,5,2,652,関戸公民館管理運営費,関戸公民館
令和2年度,2020,歳出,一般,10,5,2,653,学級・講座等社会教育事業,関戸公民館
令和2年度,2020,歳出,一般,10,5,3,28,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,10,5,3,655,図書館事務経費,図書館
令和2年度,2020,歳出,一般,10,5,3,656,図書整理事業,図書館
令和2年度,2020,歳出,一般,10,5,3,657,図書購入事業,図書館
令和2年度,2020,歳出,一般,10,5,3,658,図書館運営経費,図書館
令和2年度,2020,歳出,一般,10,5,3,659,障がい者サービス事業,図書館
令和2年度,2020,歳出,一般,10,5,3,929,地域資料・貴重資料等のデジタルアーカイブ事業,図書館
令和2年度,2020,歳出,一般,10,5,3,931,多摩市立中央図書館整備事業,図書館
令和2年度,2020,歳出,一般,10,5,4,662,八ヶ岳少年自然の家管理運営事業,教育振興課
令和2年度,2020,歳出,一般,10,6,1,667,学校開放費,教育振興課
令和2年度,2020,歳出,一般,10,6,1,668,体育事務経費,スポーツ振興課
令和2年度,2020,歳出,一般,10,6,1,669,スポーツ推進委員費,スポーツ振興課
令和2年度,2020,歳出,一般,10,6,1,670,スポーツ教室運営事業,スポーツ振興課
令和2年度,2020,歳出,一般,10,6,1,672,スポーツ団体助成事業,スポーツ振興課
令和2年度,2020,歳出,一般,10,6,1,673,スポーツ大会等派遣事業,スポーツ振興課
令和2年度,2020,歳出,一般,10,6,1,881,東京ヴェルディ協働事業,スポーツ振興課
令和2年度,2020,歳出,一般,10,6,1,935,東京オリンピック・パラリンピック推進事業,オリンピック・パラリンピック推進室
令和2年度,2020,歳出,一般,10,6,1,960,スポーツ推進審議会経費,スポーツ振興課
令和2年度,2020,歳出,一般,10,6,2,677,クラブハウス管理運営費,教育振興課
令和2年度,2020,歳出,一般,10,6,2,685,温水プール管理運営費,スポーツ振興課
令和2年度,2020,歳出,一般,10,6,2,900,スポーツ施設管理運営費,スポーツ振興課
令和2年度,2020,歳出,一般,10,6,3,30,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,10,6,3,688,学校給食費管理事務経費,学校支援課
令和2年度,2020,歳出,一般,10,6,3,693,学校給食センター運営費,学校給食センター
令和2年度,2020,歳出,一般,11,2,1,701,災害復旧費,公園緑地課
令和2年度,2020,歳出,一般,11,3,2,866,災害復旧費,スポーツ振興課
令和2年度,2020,歳出,一般,12,1,1,705,市債償還元金,財政課
令和2年度,2020,歳出,一般,12,1,2,706,市債償還等利子,財政課
令和2年度,2020,歳出,国保,1,1,1,33,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,国保,1,1,1,724,国民健康保険事務経費,保険年金課
令和2年度,2020,歳出,国保,1,1,2,725,国民健康保険団体連合会負担金,保険年金課
令和2年度,2020,歳出,国保,1,2,1,726,国民健康保険税賦課徴収事務費,保険年金課
令和2年度,2020,歳出,国保,1,3,1,728,国民健康保険運営協議会費,保険年金課
令和2年度,2020,歳出,国保,2,1,1,729,保険給付に要する経費,保険年金課
令和2年度,2020,歳出,国保,2,1,2,730,退職被保険者等保険給付に要する経費,保険年金課
令和2年度,2020,歳出,国保,2,1,3,731,保険給付に要する経費,保険年金課
令和2年度,2020,歳出,国保,2,1,4,732,退職被保険者等保険給付に要する経費,保険年金課
令和2年度,2020,歳出,国保,2,1,5,733,保険給付に要する経費,保険年金課
令和2年度,2020,歳出,国保,2,2,1,734,保険給付に要する経費,保険年金課
令和2年度,2020,歳出,国保,2,2,3,736,保険給付に要する経費,保険年金課
令和2年度,2020,歳出,国保,2,3,1,739,保険給付に要する経費,保険年金課
令和2年度,2020,歳出,国保,2,4,1,741,保険付加給付に要する経費,保険年金課
令和2年度,2020,歳出,国保,2,5,1,743,保険付加給付に要する経費,保険年金課
令和2年度,2020,歳出,国保,2,6,1,744,保険付加給付に要する経費,保険年金課
令和2年度,2020,歳出,国保,2,7,1,861,保険付加給付に要する経費,保険年金課
令和2年度,2020,歳出,国保,3,1,1,956,一般被保険者医療費給付分,保険年金課
令和2年度,2020,歳出,国保,3,1,2,957,退職被保険者等医療費給付分,保険年金課
令和2年度,2020,歳出,国保,3,2,1,958,一般被保険者後期高齢者支援金分,保険年金課
令和2年度,2020,歳出,国保,3,2,2,959,退職被保険者等後期高齢者支援金等分,保険年金課
令和2年度,2020,歳出,国保,3,3,1,748,介護納付金に要する経費,保険年金課
令和2年度,2020,歳出,国保,5,1,2,758,国民健康保険総合健康診査料助成に要する経費,保険年金課
令和2年度,2020,歳出,国保,5,1,2,869,医療費分析等に要する経費,保険年金課
令和2年度,2020,歳出,国保,5,1,2,872,疾病予防に要する経費,保険年金課
令和2年度,2020,歳出,国保,5,2,1,760,特定健康診査に要する経費,保険年金課
令和2年度,2020,歳出,国保,5,2,1,761,特定保健指導に要する経費,保険年金課
令和2年度,2020,歳出,国保,6,1,1,762,国民健康保険財政運営基金,保険年金課
令和2年度,2020,歳出,国保,8,1,1,764,一般被保険者保険税還付金,保険年金課
令和2年度,2020,歳出,国保,8,1,2,765,退職被保険者等保険税還付金,保険年金課
令和2年度,2020,歳出,国保,8,1,6,979,保険給付費等償還金,保険年金課
令和2年度,2020,歳出,国保,9,1,1,751,退職者医療共同事業に要する拠出金,保険年金課
令和2年度,2020,歳出,後期,1,1,1,34,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,後期,1,1,1,776,後期高齢者医療事務事業,保険年金課
令和2年度,2020,歳出,後期,1,2,1,777,後期高齢者医療保険料徴収事務事業,保険年金課
令和2年度,2020,歳出,後期,2,1,1,779,後期高齢者医療広域連合納付金支払事業,保険年金課
令和2年度,2020,歳出,後期,3,1,1,784,後期高齢者医療保健事業,保険年金課
令和2年度,2020,歳出,後期,4,1,1,785,後期高齢者医療葬祭費給付事業,保険年金課
令和2年度,2020,歳出,後期,5,1,1,780,後期高齢者医療保険料還付事業,保険年金課
令和2年度,2020,歳出,後期,5,2,1,782,一般会計繰出金,保険年金課
令和2年度,2020,歳出,介護,1,1,1,35,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,介護,1,1,1,789,介護保険事務経費,介護保険課
令和2年度,2020,歳出,介護,1,1,1,790,介護保険サービス推進事業,介護保険課
令和2年度,2020,歳出,介護,1,1,2,791,介護保険運営協議会費,介護保険課
令和2年度,2020,歳出,介護,1,1,2,874,地域包括支援センター運営協議会費,高齢支援課
令和2年度,2020,歳出,介護,1,1,3,792,国民健康保険団体連合会負担金,介護保険課
令和2年度,2020,歳出,介護,1,2,1,793,介護保険料賦課徴収事務経費,介護保険課
令和2年度,2020,歳出,介護,1,3,1,794,介護認定審査会運営費,介護保険課
令和2年度,2020,歳出,介護,1,3,2,795,介護認定調査事業,介護保険課
令和2年度,2020,歳出,介護,2,1,1,804,介護サービス等諸費,介護保険課
令和2年度,2020,歳出,介護,2,2,1,811,介護予防サービス等諸費,介護保険課
令和2年度,2020,歳出,介護,2,3,1,812,審査支払に要する経費,介護保険課
令和2年度,2020,歳出,介護,2,4,1,815,高額介護サービス等費,介護保険課
令和2年度,2020,歳出,介護,2,5,1,817,高額医療合算介護サービス等費,介護保険課
令和2年度,2020,歳出,介護,2,6,1,816,特定入所者介護サービス等費,介護保険課
令和2年度,2020,歳出,介護,2,7,1,870,市町村特別給付費,介護保険課
令和2年度,2020,歳出,介護,4,1,1,36,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,介護,4,1,1,831,地域包括支援センター運営事業,高齢支援課
令和2年度,2020,歳出,介護,4,1,1,902,在宅医療・介護連携推進事業,高齢支援課
令和2年度,2020,歳出,介護,4,1,1,903,認知症施策推進事業,高齢支援課
令和2年度,2020,歳出,介護,4,1,1,904,生活支援体制整備事業,高齢支援課
令和2年度,2020,歳出,介護,4,1,1,916,介護給付費等費用適正化事業,介護保険課
令和2年度,2020,歳出,介護,4,1,1,924,地域ケア会議推進事業,高齢支援課
令和2年度,2020,歳出,介護,4,1,2,940,短期集中予防サービス事業,高齢支援課
令和2年度,2020,歳出,介護,4,1,2,941,指定型訪問・通所サービス費,介護保険課
令和2年度,2020,歳出,介護,4,1,2,942,介護予防ケアマネジメント事業,介護保険課
令和2年度,2020,歳出,介護,4,1,2,943,高額介護予防・生活支援サービス費,介護保険課
令和2年度,2020,歳出,介護,4,1,2,944,高額医療合算介護予防・生活支援サービス費,介護保険課
令和2年度,2020,歳出,介護,4,1,3,945,一般介護予防事業,高齢支援課
令和2年度,2020,歳出,介護,4,1,4,946,地域支援事業に係る審査支払に要する経費,介護保険課
令和2年度,2020,歳出,介護,5,1,1,820,介護保険給付準備基金積立金,介護保険課
令和2年度,2020,歳出,介護,7,1,1,823,第１号被保険者保険料還付金,介護保険課
令和2年度,2020,歳出,介護,7,1,3,824,国庫支出金等返還に要する経費,介護保険課
令和2年度,2020,歳出,介護,7,3,1,826,他会計繰出金,介護保険課
