施設名称,所在地,備考,緯度,経度
小山の家,東京都品川区小山7-14-18,"東京都品川区小山7-14-18電話　5749-7251",35.6089928,139.6964964
東大井地域密着型多機能ホーム,東京都品川区東大井5-8-12,"東京都品川区東大井5-8-12電話　5783-0753",35.6076037,139.7379433
五反田保育園ふれあいデイホーム,東京都品川区東五反田2-15-6,"東京都品川区東五反田2-15-6電話　3765-2411",35.6220128,139.7294925
ちびっこタイム品川,東京都品川区東品川3-25-16,"東京都品川区東品川3-25-16電話　3450-7402",35.6128345,139.7466588
児童デイサービスCOMPASS「コンパス」,東京都品川区南品川3-7-7,"東京都品川区南品川3-7-7電話　5781-5683",35.6073181,139.7449001
グループホームミモザ品川八潮,東京都品川区八潮5-5-7,"東京都品川区グループホームミモザ品川八潮5-5-7電話　3790-7780",35.5988792,139.7496898
ロイヤル中延,東京都品川区中延5-9-22,,35.6023823,139.7073394
小山台在宅介護支援センター,東京都品川区小山台1-4-1,"品川区小山台1-4-1りんし21区民集会所3階電話:5794-8511担当地区:小山台、小山1～3",35.6243556,139.7046383
大崎在宅サービスセンター,東京都品川区北品川1-16-5,"身体の障害や認知症高齢者など、家庭での介護や支援を必要とする方に、通所による、食事・入浴サービス・日常動作訓練などのサービスを提供する施設です。大崎2-11-9電話:3779-2981担当地区:西品川、東五反田1～3丁目、大崎",35.6241862,139.7436811
東邦大学医療センター大森病院,東京都大田区大森西6-11-1,"東邦大学医療センター大森病院 大田区大森西6-11-1 03-3762-4151",35.5689097,139.7241705
昭和大学病院附属東病院,東京都品川区西中延2-14-19,"昭和大学病院附属東病院 品川区西中延2-14-19 03-3784-8383",35.6095216,139.7054706
荏原病院,東京都大田区東雪谷4-5-10,"荏原病院 大田区東雪谷4-5-10 03-5734-8000",35.5937463,139.6929704
品川区立八潮南特別養護老人ホーム,東京都品川区八潮5-9-2,"八潮5-9-2電話:5755-9360",35.5989331,139.7523760
デイサービスセンター ドゥライフ品川,東京都品川区南品川5-3-10,"南品川5-3-10ミヤデラビル1階電話:3450-8136担当地区:北品川、東品川、南品川、西品川、上大崎、大崎、大井、東大井、南大井、西大井、東五反田、西五反田",35.6116366,139.7417504
南大井第二在宅介護支援センター,東京都品川区東大井4-9-1,"品川区東大井4-9-1(大井林町高齢者複合施設)電話:5495-7083担当地区:東大井、勝島併設:地域密着型多機能ホーム(大井林町倶楽部)、南大井訪問介護看護ステーション、大井林町高齢者住宅",35.6051522,139.7404278
南大井訪問看護ステーション,東京都品川区東大井4-9-1,"品川区東大井4-9-1(大井林町高齢者複合施設)電話:5495-7084併設:地域密着型多機能ホーム(大井林町倶楽部)、南大井第二在宅介護支援センター、大井林町高齢者住宅",35.6052262,139.7403369
福祉工場しながわ,品川区東大井1-3-10,,35.6057242,139.7439208
かもめ第2工房,東京都品川区西大井1-8-7,電話：5702-0125,35.6009773,139.7230521
東品川第二在宅介護支援センター,東京都東品川3-27-25 オフィス・イン品川3階,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。 東品川3-27-25 オフィス・イン品川3階 電話:5783-2656担当地区:東品川3・4丁目 南品川",35.6112739,139.7459521
杜松在宅介護支援センター,東京都品川区豊町4-24-15,品川区豊町4-24-15,35.6058644,139.7228777
杜松地域密着型多機能ホーム,東京都品川区豊町4-24-15,平成26年11月25日落成,35.6060341,139.7226796
大崎在宅介護支援センター,東京都品川区大崎2-11-1,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。 品川区大崎2-11-1電話:03-3779-2981担当地区:西品川、大崎 併設:在宅サービスセンター",35.6169613,139.7296591
大原在宅介護支援センター,東京都品川区豊町6-25-13　ハイタウン中延1階,"品川区豊町6-25-13　ハイタウン中延1階担当地区：戸越6丁目、豊町6丁目、二葉2丁目TEL:03-5749-2531",35.6037836,139.7135979
大井在宅介護支援センター,東京都品川区大井4-14-8,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。品川区大井4-14-8電話:5742-2723担当地区:大井1、4、6丁目、広町併設:在宅サービスセンター・高齢者住宅大井倉田わかくさ荘",35.6018259,139.7328693
大井在宅サービスセンター,東京都品川区大井4-14-8,"品川区大井4-14-8 併設在宅介護支援センター高齢者住宅　大井倉田わかくさ荘",35.6017305,139.7329571
南大井在宅介護支援センター,東京都品川区南大井4-19-3,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。 品川区南大井4-19-3電話:5753-3902 担当地区:南大井",35.5932409,139.7345402
稲波脊椎・関節病院,東京都品川区東品川3-17-5,東京都品川区東品川3-17-5,35.6144707,139.7496354
"大崎ゆうゆうプラザ（大崎高齢者多世代交流支援施設）",東京都品川区大崎2-7-13,"住所：東京都品川区大崎2-7-13電話：03-5719-5322利用できる方：区内在住の満60歳以上の方、多世代交流事業を実施する方開館時間：午前9時～午後9時30分（日曜・祝日は午後5時まで）休館日：年末年始（12月29日～1月3日）",35.6168382,139.7258258
平塚橋特別養護老人ホーム,東京都品川区西中延1-2-8,"東京都品川区西中延1-2-8電話03-5750-3632品川区立平塚橋高齢者多世代交流支援施設（平塚橋ゆうゆうプラザ）併設",35.6143571,139.7100366
