名称,名称(英語),カテゴリ,ジャンル,所在地,持ち主,認定1,認定日1,認定2,認定日2,緯度,経度,説明(日本語),説明(英語),画像URL,サムネイル画像URL,ホームページアドレス
薬王院の梵鐘,"",登録有形文化財,工芸品,東京都新宿区下落合四丁目8-2,薬王院,"",2014-03-26,"","",35.718235,139.697248,"真言宗豊山派薬王院が所有する銅造の梵鐘である。寛政2年（1790）の銘を持ち、薬王院住職辨海が発願し、同じく住職の良周が近郷の村々から寄付を集めた。製作は西村和泉守藤原政平である。総高116・5㎝、口径64㎝。梵鐘に刻まれた銘文からは薬王院の歴史や鐘の鋳造経緯、寄付をした講名・人名がわかる。
この梵鐘は、全体に精巧に仕上げられ、江戸鋳物師の技術的特徴が良く表わされている。またその銘文は、地域史料として重要である。江戸時代以降の梵鐘は、太平洋戦争中供出されたことから現存数は少ない。その中で、江戸鋳物師の鋳造技術を知る資料として価値が高いばかりか、銘文からは寺の歴史や鋳造の由来等を知ることができ史料的価値も高い。","","","",""
西應寺の梵鐘,"",登録有形文化財,工芸品,東京都新宿区須賀町11-4,西應寺,"",2015-02-06,"","",35.683978,139.723072,"西應寺の梵鐘で、正徳2年（1712）に鋳造された。西應寺の第四世住職惠白の発願により、小沼播磨守藤原長政により鋳造された。高さ130.5㎝、口径70.3㎝。梵鐘に刻まれた銘文からは、この鐘の鋳造経緯や670名に及ぶ寄進者名がわかる。
この梵鐘は、全体に精巧に仕上げられ、江戸鋳物師の技術的特徴が良く表わされている。またその銘文は、地域史料として重要である。江戸時代以降の梵鐘は、太平洋戦争中供出されたことから現存数は少ない。その中で、江戸鋳物師の鋳造技術を知る資料として価値が高いばかりか、銘文からは寺の歴史や鋳造の由来等を知ることができ史料的価値も高い。","","","",""
光照寺の涅槃図,"",登録有形文化財,絵画,東京都新宿区袋町15  ,光照寺,"",2018-10-24,"","",35.700534,139.738114,光照寺に伝来する涅槃図で、縦317.2cm×横196.4cmの大振りな涅槃図である。人物表現などの描写の特徴から、元禄から正徳年間（1688〜1714）頃の、画技に習熟した江戸狩野派の画家によって描かれたものと推定される。画面の地には、約9cm角の金箔が全面に貼られ、釈迦には金泥が塗られているが、切金等の技法は見られない。本紙上部に剥落箇所も見られるが、すでに修復済みであり、保存状態はおおむね良好である。区内に現存する貴重な江戸初中期の涅槃図として、また江戸狩野派の涅槃図として推定できる作品としても重要である。,"","","",""
長安寺の六地蔵塔,"",登録有形文化財,歴史資料,東京都新宿区信濃町2-8,長安寺,"",2019-03-07,"","",35.684431,139.719262,"長安寺の六地蔵塔は、石塔の正面と両側面に六地蔵を示す地蔵菩薩立像を各二体ずつ彫っている。背面の銘文によれば、弘化2年（1845）１月24日に発生した青山の大火の犠牲者を弔うため、翌弘化3年10月に建立された。青山の大火は火元である青山権太原（現在の港区）より南へ燃え広がり、翌日には海へ到達した。数百人が焼死、水死し、赤羽橋には罹災者のためのお救い小屋が設置されたという。総高は105.5cmである。なお伝承によれば、大火のおり、長安寺門前の地蔵菩薩像前で火勢が止まり、四谷方面を大火から救ったという。六地蔵塔は大火の犠牲者を弔うために建立されたものであり、この伝承に登場する地蔵菩薩像は現存しないが、現在、六地蔵塔の脇には、古い墓石に「火防地蔵」と改刻した石塔が建っている。
六体の地蔵菩薩立像は表情、装束、持物ともに細やかに表現されており、保存状態もおおむね良好である。地蔵菩薩立像を左右正面に二体ずつ彫った造形は極めて珍しく、希少である。本塔は江戸時代に周辺地域を襲った災害の記憶をとどめる資料として、また希少な像容を持つ石造物として貴重である。","","","",""
太宗寺墓地出土品,"",指定有形文化財,考古資料,東京都新宿区新宿二丁目9-2,太宗寺,"",1986-10-03,"","",35.68982,139.70921,"
太宗寺墓地内にある信州高遠藩主内藤家の墓地より出土した副葬品910点である。
太宗寺は、寛永６（1629）年内藤家五代藩主正勝の葬儀を行って以来同家と縁を結び、六代藩主重頼によって寺地が寄進され、菩提寺として歴代藩主や一族の墓地が営まれた。
墓地は約300坪に及び、57基の墓石が建っていたが、昭和27〜28（1952〜53）年にかけて区画整理事業により縮小されることとなり、現在の３基の墓石に改葬された。
この出土品は、その際に各被葬者の甕棺内から出土したもので、人骨は埋葬し直したが、副葬品は文化財として保存した。内容は鏡・煙管・小刀・かんざし・懐中時計・銭貨などの金属製品851点、人形・ミニチュアなどの土製品12点、陶磁器33点、仏像・筆・漆器などの木製品６点、硯などの石製品4点、眼鏡などのガラス製品３点、布製品１点の計910点である。この中で銭貨は中世のものや宋銭・明銭など中国のものも含み計779点に及ぶ。","","","",""
小銅鐸,"",指定有形文化財,考古資料,東京都新宿区四谷三栄町12-16（新宿歴史博物館）,新宿区,"",2001-02-14,"","",35.69006,139.72568,"平成3〜4（1991〜92）年にかけて発掘調査を行った高田馬場三丁目遺跡から出土した青銅製の小銅鐸。弥生時代後期の土器が伴出した小型の竪穴住居跡（第7号住居跡）の北側壁中央部から発見された。
素文で正面にのみ二つの型持孔があけられる。舌は発見されなかったが、内突帯があり音響具としての機能を備えていたことがわかる。
小銅鐸は弥生時代の祭祀用具で、北九州から関東地方にかけて広く出土例が報告されているが、都内では珍しく、最初の出土例として知られている。","","","",""
隆起線文系土器,"",指定有形文化財,考古資料,東京都新宿区四谷三栄町12-16（新宿歴史博物館）,新宿区,"",2001-02-14,"","",35.69006,139.72568,"平成６〜７（1994〜1995）年にかけて発掘調査を行った、百人町三丁目西遺跡から出土した隆起線文系の深鉢形土器。埋没谷の谷頭の谷底で、割れて散らばったような状態で出土したが、調査範囲からは住居跡のような遺構は発見されなかった。
出土した80点の破片のうち69点が接合し、その結果、形状は丸底で、楕円形の口縁部をもち、その下に２条の隆起線文が施されていた。
隆起線文系土器は、縄文時代草創期（約12,000年前）に製作された日本最古級の土器として知られるが、これまでの発見例はいずれも細片での出土であり、このような本来の器形に復元できる資料は、全国的にも極めて少なく貴重である。","","","",""
下落合横穴墓出土品,"",登録有形文化財,考古資料,東京都新宿区四谷三栄町12-16（新宿歴史博物館）,新宿区,"",1986-03-07,"","",35.69006,139.72568,"昭和41（1966）年７月に、下落合４丁目３番地付近の落合台地上で、宅地造成工事が行われた際に発見された３基の横穴墓から出土した被葬者の人骨２体と副葬品の直刀一振である。
横穴墓は３基並んで発見され（北から１･２･３号墓）、２基は工事により崩壊していたが、南寄りの３号墓は原形をとどめていた。3号墓は羨道や玄室も明確で、関東ローム層を掘り込み玄室には砂利を敷きつめている。すでに人骨や副葬品は腐蝕し失われていたが、崩壊した３号墓には人骨と直刀が残っていた。人骨は２体分であったが、それぞれ一部しか残っておらず、１体が壮年の男性であることが判明したにとどまった。
下落合横穴墓群は、８世紀（奈良時代）のものと推定される横穴式古墳群で、妙正寺川にのぞむ落合台地の斜面に造られたものである。現在、下落合弁財天（下落合4-3-7）が建っている裏手の崖地一帯に分布しているものと考えられるが、横穴墓の総数や分布状態については不明である。","","","",""
一行院墓地出土品,"",登録有形文化財,考古資料,東京都新宿区南元町19-2,一行院,"",1986-10-03,"","",35.6794,139.71996,"昭和37年（1962）５月、首都高速道路４号線の工事の際に、一行院の墓地から人骨とともに出土した墓誌2枚と、その他副葬品305点である。
墓誌は、甕棺の上蓋にした石板2枚で、紀州藩士湯川甚兵衛忠直の墓誌（文政10年〈1827〉、縦110×横42㎝）と、同じく湯川祐之の墓誌（文政12年〈1829〉、縦100×横30㎝）である。
副葬品は、―行院の開基下総古河藩主永井信濃守直勝の四男直重（天和2年〈1682〉没）と、相模国荻野山中藩主大久保筑後守教端の娘（享保17年〈1732〉没）の2基の墓から出土したものである。内訳は鏡・煙管・小刀・銭貨などの金属製品61点、人形・ミニチュアなどの土製品66点、陶磁器など32点、仏像・木刀などの木製品８点、硯・玉などの石製品131点、布製品５点、鼈甲製品２点の計305点となっている。","","","",""
中村家文書,"",指定有形文化財,古文書,東京都新宿区四谷三栄町12-16（新宿歴史博物館）,新宿区,"",1990-06-01,"","",35.69006,139.72568,"旧戸塚村の名主・戸長をつとめた中村家（高田馬場4丁目）に伝来した近世近代の文書群で、現在は新宿区に寄贈され新宿歴史博物館で保管されている。
年代は、寛永11年（1634）の版本『伊勢物語』が最も古く、文書としては同14年（1637）の「戸塚村惣兵衛分田畑寄帳写」を最古とし、昭和43年（1968）の天祖・稲荷神社関係の文書まで、総量5,916点に及ぶ区内で最大の古文書群である。
内容は、戸塚村の領主支配に関するもののほか、村の政治や中村家の経営関係が主であるが、明治以降も戸塚村の戸長や郡会議員などをつとめた関係で比較的公共性の高い史料が多い。また、江戸時代に尾張徳川家下屋敷の庭掃除などを請け負ったため、尾張藩御用に関する文書が1,600点も含まれており大変貴重である。","","","",""
林光寺の歴代宗主銘　,"",指定有形文化財,古記録,東京都新宿区南元町15-3,林光寺,"",1991-12-06,"","",35.67962,139.7231,"歴代宗主銘とは、親鸞上人（1173〜1263）より発する浄土真宗の法脈を記した系図で、その時代の本山の貫主が書き、末寺に配付するものである。
林光寺の歴代宗主銘は、裏書により西本願寺の准如上人（1577〜1630）が慶長7年9月に林光寺に書き与えたものである。
全体の配置は中央最上部に宗祖親鸞上人の名を記し、以下右列に如信上人・覚如上人・善如上人・綽如上人・巧如上人・存如上人の6名、左列に蓮如上人・実如上人・証如上人・顕如上人と作者准如の5名の名が墨書されている。また、のちに文如により別紙に墨書された良如上人・寂如上人・住如上人・湛如上人・法如上人と文如の6名の名が、左列の下及び左側に貼りこまれている。","","","",""
亮朝院文書,"",指定有形文化財,古文書,東京都新宿区西早稲田三丁目16-24,亮朝院,"",2000-03-02,"","",35.71174,139.71346,"日蓮宗如意山亮朝院に伝来する寺院文書群。開基能勢局の書状など年代不詳のものを除くと、寛永2年（1625）の「仙寿院日閑筆疫神遠離秘法」から昭和15年（1940）の「福寿海無量」（御布施帳）まで合計418件に及ぶもので、質・量ともに区内では最大の寺院文書群である。
文書の作成時期は江戸時代後期から明治時代のものが多く、内容は亮朝院の由緒・格式、庇護者、堂舎普請、境内地・所持田畑、金融・収支関係、檀徒との関係などに関わるものである。特に、江戸時代前期に徳川家との縁故により祈禱寺として成立した亮朝院が、明治に入り庇護者を失い、檀徒の葬祭に寺院経営の重点を移していくといった、一寺院の存立基盤の変遷の検証という点で、大変貴重な古文書群である。","","","",""
中井御霊神社文書,"",指定有形文化財,古文書,東京都新宿区中井二丁目29-16,中井御霊神社,"",2014-03-26,"","",35.71631,139.679992,"中井御霊神社の営みに伴って作成され、伝承されてきた197件の文書群である。その構成は、寛延2年（1749）の「正一位稲荷大明神安鎮之事」を最古とし、昭和18年(1943)の「安産御守授与氏名控」まで、江戸時代のもの8件、明治時代以降のもの189件からなる。
内容は、御霊神社及び境内末社の稲荷神社に関する祭礼・寄進や、維持に係る会計・普請、さらに境内地の変遷などに関するものが大部分である。また、かつては合祀されていた不動尊(現、中井出世不動尊)に係るものも含まれている。
中井御霊神社は、かつての落合村中井の鎮守として崇敬され、安産祈願でも信仰をあつめてきた。この文書群により、落合地域における人びとの信仰面を中心とした営みを、具体的に明らかにすることが可能となる。さらに、中井出世不動尊として現在も信仰をあつめている不動尊(円空作・区指定有形文化財)の伝来を明らかにするにも得難い内容を含む。
このように、区内に伝来する神社の記録として件数は多く、地域における信仰のありようを具体的に伝える文書としても良質である。区域全体を通して、神社文書のまとまりをもった伝存は少なく、この点からも貴重である。","","","",""
長厳寺文書,"",指定有形文化財,古文書,東京都新宿区市谷薬王寺町25,長厳寺,"",2014-03-26,"","",35.697069,139.724095,"真宗大谷派長厳寺に伝来する120件の文書群である。具体的には、寛文8年（1668）「覚」(拝領地の由緒・間数の書上)を最古とする江戸時代のもの119件、および昭和16年(1941)「長厳寺境内並墓地実測之図」1件からなる。
内容は、この寺の寺格に係るもの、境内・作事などの経営全般に係るものが多い。特筆できる内容として、尾張藩三代藩主徳川綱誠(つなのぶ)の位牌を安置していたことに伴う尾張徳川家からの寄進を記したもの、同寺がある市ヶ谷南寺町の諸寺院が宗派を超えて結成していた寺院組合に係るものなどがある。このように、長厳寺の江戸時代におけるありようを概観できる文書群である。
長厳寺は、寛永3年(1626)に江戸市谷の田町で創建され、同12年(1635)現在地に移された。江戸時代以来、新宿区内には数多くの寺々が存在してきた。しかし、個々の寺院について存立の具体像を明らかにできる事例はきわめて限られている。そのなかにあって長厳寺の文書群は、寺の成り立ちを語ることのできる数少ない一つである。それのみならず、「市ヶ谷南寺町寺院組合」の存在、およびその実態を解明する糸口となりうるものである。このように、長厳寺文書は区内に存在する寺院の系譜を明らかにすることのできる良質な文書群であり、また宗派を超えた寺院組合に係る資料としても貴重である。","","","",""
済松寺文書,"",指定有形文化財,古文書・古記録,東京都新宿区榎町77,済松寺,"",2022-02-04,"","",35.70661,139.72807,"臨済宗妙心寺派蔭涼山済松寺に伝来する古文書群である。年代は、正保2年（1645）を最古とし、明治4年（1871）にまで及ぶ、計173件である。
内容は、済松寺の創建を命じた三代将軍徳川家光と開基祖心に関わる資料、済松寺の由緒、中興開山大鼎による堂舎の再興に関する記録、牛込、戸塚及びその周辺の寺領の検地帳であるが、臨済宗妙心寺派に関する聖教典籍も含まれるなど、比較的多岐にわたるものである。徳川家との関係を示すものが多く含まれ、済松寺と徳川家とのつながりの深さをうかがわせる。特に「大猷公上洛道中之詠歌集」は未知の資料であり、寛永11年(1634)の将軍上洛時の歴史資料、文学資料として注目される。このほか、九世大鼎による堂舎再興の記録では、堂舎の指図も含まれ、往時の済松寺の伽藍や規模を知ることができる。さらに、寺領の検地帳や穴八幡宮、高田馬場流鏑馬に関する資料については、現存する地域資料に乏しい新宿区にとって極めて重要な記録である。
徳川家光ゆかりの臨済宗済松寺は、一万坪余の境内地と、牛込、戸塚及びその周辺に345石の寺領を有した大寺であり、本古文書群は済松寺が今日まで継承してきた江戸時代から明治時代初頭に及ぶ良質な記録である。これらの資料は、徳川家光と祖心による済松寺の創建、近世を通じた寺領経営や再興の記録、臨済宗妙心寺派における教義や相伝のあり様、江戸時代における牛込周辺の様子等を知る上で、数少ない資料であり極めて重要である。戦災被害の大きかった新宿区域に伝来する古文書・古記録は希少であり、また本古文書群は、その質の高さ、数量の点でも優れており、済松寺や地域の歴史資料にとどまらず、江戸時代における徳川宗家と宗教の解明に資する古文書群として貴重である。
※文化財保護の観点から通常は非公開

","","","",""
林光寺文書,"",登録有形文化財,古文書・古記録,東京都新宿区南元町15-3,林光寺,"",1991-12-06,"","",35.67962,139.7231,林光寺に伝来する古文書群で、伝親鸞上人筆の六字名号も含まれるが、年紀の明らかなものとしては、寛延3年（1750）7月の太子・高僧画像奉納書附（太子・高僧画像の項参照）を最古とし、大正12年（1923）までに及ぶ。内容は寺の由緒や経営に関するものが主で、紀州家との関係を示す史料も含まれている。,"","","",""
大聖院文書,"",登録有形文化財,古文書・古記録,東京都新宿区新宿六丁目21-11,大聖院,"",1991-12-06,"","",35.69674,139.7113,東大久保の西向天神社の別当寺であった大聖院に伝来する古文書群で、年紀不詳のもの3点を除き、宝暦元年（1751）の「天滿宮由緒書」を最古とし、明治4年（1841）の「川瀬大聖院由緒書」までに及ぶ。内容は西向天神社や大聖院の由緒や経営に関するもので、文政7年（1824）の「東大久保村地誌書上帳」のみが村方の記録である。中には、境内にある紅皿の碑（太田道灌の山吹の里伝説に登場する女性紅皿の墓と伝えられる板碑）に関する「紅皿縁起」など貴重なものも含まれ、現存する古文書が少ない大久保地区にあっては重要である,"","","",""
法身寺文書,"",登録有形文化財,古文書,東京都新宿区原町三丁目82,法身寺,"",1999-01-08,"","",35.70052,139.72285,"臨済宗円覚寺派法身寺に伝来する文書群で、徳川家綱公帖（2通）、徳川綱吉公帖（1通）、投機の偈（一幅）、仏祖正伝済家相承一大事（1枚）の計5点。
徳川将軍の公帖は、法身寺の中興浮山碩然が、諸山から十刹を経て鎌倉五山の円覚寺の住職に任じられていく過程を示す史料である。投機の偈は、法身寺第七世住職の碩満と師匠碩鈍との機機投合（師から弟子に、仏法が以心伝心に伝わったことを示す）となったことを表したもの、また仏祖正伝済家相承一大事は、臨済宗幻住派の法脈（仏法を伝えていく師弟の系図）を記したもので、前述の碩鈍と碩満の関係も確認できる。
これらの史料は、法身寺の歴史や住職の履歴を明らかにするとともに、禅宗史上、法脈などにおいて特異な性格をもつ臨済宗幻住派の研究を進める上で貴重である。","","","",""
旭地蔵,"",指定有形文化財,歴史資料,東京都新宿区新宿二丁目15-18,成覚寺,"",1985-08-02,"","",35.69101,139.70885,もとは旭町（現在の新宿4丁目）の玉川上水の北岸にあったため旭地蔵と呼ばれる。地蔵の座る蓮華座の下には円筒状の台石があり、18名の戒名が刻まれている。玉川上水への入水自殺者を供養する目的で建立されたもので、このうち7組は男女一組になっており、なさぬ仲を悲しんで心中した遊女と客の名であるという。明治12年（1879）7月に成覚寺に移されたが、地蔵尊の脇にはその際に建立された旭地蔵移転記念碑が建っており、四面にわたり娼妓中・茶屋中・芸妓中などの多数の寄進者名が刻まれている。,"","","",""
子供合埋碑,"",指定有形文化財,歴史資料,東京都新宿区新宿二丁目15-18,成覚寺,"",1985-08-02,"","",35.69101,139.70885,江戸時代に内藤新宿の旅籠屋におかれた飯盛女（主に江戸時代に日本の宿場に存在した私娼）の惣墓（共同墓）に建てられた供養碑で、万延元年（1860）に口入れ屋山口屋崇七が中心となり、内藤新宿の旅籠屋が建立したものである。かつて成覚寺は「投げ込み寺」と呼ばれ、年季途中で病死した飯盛女が多数葬られた。,"","","",""
式三番奉納額,"",指定有形文化財,歴史資料,東京都新宿区西新宿二丁目11-2,熊野神社,"",1993-03-05,"","",35.69091,139.6882,"江戸三座の一つ市村座で、顔見世興行と初春興行で演じられた式三番の様子を描いた奉納額である。式三番とは、天下泰平や五穀豊穣を祝って舞う芸能で、千歳（稚児）・翁（白面の翁）・三番叟（黒面の翁）の三者の舞を合わせたものである。
額には役者の名が墨書されており、①は九世市村羽左衛門（1724〜1782）、②は十二世羽左衛門（1812〜1851）が翁を演じている。","","","",""
旧鈴法寺江戸番所資料,"",指定有形文化財,歴史資料,東京都新宿区原町三丁目82,法身寺,"",1999-01-08,"","",35.70052,139.72285,"普化宗総本山青梅鈴法寺に伝来した資料群で、法身寺が江戸時代、鈴法寺江戸番所（四谷大横町・牛込納戸町・市谷田町などを移転しつつ置かれた）の菩提寺（普化宗では葬祭に関わる仏事を行わないために別に菩提寺を置いた）であったことから、明治4年（1871）に明治政府により普化宗が廃宗とされた際に一括して納められ、保管されてきたもの。
内容は、普化宗の宗祖普化禅師像と銅造千手観音坐像の彫刻を始め、将軍や鈴法寺歴代看主の位牌類、沼田藩二階堂氏等から寄進された唐草蒔絵食器などの呈膳道具一式、そして普化宗の特色である虚無僧に関わる掟書等の古文書などで、21件・51点に及ぶ。
江戸時代の後期に製作されたものと考えられ、鈴法寺あるいは江戸番所に伝来したものを法身寺が受け継いだ。普化宗に関する資料は全国的にも大変稀少で、松戸市立博物館所蔵の一月寺資料と並び、貴重なものである。","","","",""
空印の石手水鉢,"",指定有形文化財,歴史資料,東京都新宿区四谷三栄町12-16（新宿歴史博物館）,新宿区,"",2011-01-07,"","",35.69006,139.72568,"空印の石手水鉢は、延宝2年（1674）3月12日、若狭国小浜藩酒井家下屋敷内（現在の新宿区矢来町）の同家菩提寺・長安寺に営まれていた初代藩主忠勝（1587〜1662）の墓前に奉納されたもの。奉納者は石屋久兵衛喜廣で、幕府の作事奉行支配下の石方棟梁をつとめた亀岡久兵衛と推定される。空印とは、三代将軍家光と四代将軍家綱に仕えた忠勝の法名。
忠勝の言行録である『仰景録』には、手水鉢にまつわる逸話が記されている。それによると、亀岡久兵衛の息子は放蕩者であったが、忠勝の助言で改心し、久兵衛は感謝の意から忠勝の13回忌に手水鉢を奉納したという。
材質は安山岩で、かなり大振りな手水鉢。奉納者と制作時期、そして寸法を考え合わせると、江戸城の石垣普請のために切り出した石材を転用したものと考えられる。水抜き用と考えられるもののほか、若干の人工的な穴が見られるが、保存状態は良好。
この手水鉢は、明治初年の長安寺廃絶後も酒井家の墓所とともに矢来町に残されていた。その後、大正13年（1924）に護国寺（文京区）の境内に移され、さらに昭和35年（1960）に個人の所蔵となるなど幾多の変遷をたどり、平成20年（2008）に新宿区に寄贈され、現在は新宿区立新宿歴史博物館の地下1階サンクンガーデンに設置されており、開館時に常時公開されている。","","","",""
堀部武庸加功遺跡之碑 ,"",指定有形文化財,歴史資料,東京都新宿区西早稲田三丁目5-43,水稲荷神社,"",2016-03-04,"","",35.710907,139.716693,"「忠臣蔵」における代表的説話であり、地域の伝承として知られる元禄7年（1694）の「高田馬場の決闘」における赤穂浪士堀部安兵衛（1670〜1703）の事績を顕彰する記念碑である。江戸時代に高田馬場の管理を委託されていた甲州屋の子孫行田久蔵が、明治43年（1910）に明治政府から馬場の一隅を貰い受け、安兵衛の功績とゆがめられた伝説を正すことを目的として建立した。篆額は西園寺公望（1849〜1940）、賛助者には頭山満（1855〜1944）・犬養毅（1855〜1932）・大隈重信（1838〜1922）など当時の名士が名を連ねた。当初は茶屋町通りの行田久蔵の植木園に建てられたが、昭和46年（1971）6月に現在地に移された。総高は350㎝である。
この記念碑が建てられた当時は、日露戦争後の国家主義の高揚を背景とし、「忠臣蔵」の再評価が高まった時代であった。また、明治から大正にかけては全国的に建碑ブームが巻き起こり、歴史上の事象や人物に関する顕彰運動が広汎に行われていた。記念碑はこのような時代背景の下、建立が計画されたものであり、明治期における国民思想の一面を示す情報を含んでいる。一方で、代々高田馬場の管理を行ってきた行田家により、かつての高田馬場の地に建立されたものであり、現在も町名や駅名、地域の伝承等、歴史的記憶を留めている「高田馬場の決闘」の地域との関わりを示す文化財でもある。地域の著名な伝承の地を示す記念碑として価値が高く、当時の顕官や文化人が多数関与しているなど、地域史・思想史・文化史上重要な記念碑である。","","","",""
幸国寺の日蓮聖人六百遠忌供養塔,"",指定有形文化財,歴史資料,東京都新宿区原町2-20,幸国寺,"",2019-06-03,"","",35.700195,139.724133,"幸国寺の日蓮聖人六百遠忌報恩塔は、江戸で呉服師・伊勢屋八兵衛を営んだ加太一族と、伊勢屋各店により、明治5年（1872）正月に建立された。加太氏は、徳川御三卿をはじめとする諸侯に金の用達を行った呉服師で、幕末には横浜に出店し、絹製品の取引や、軍艦・武器を調達し、財を成した。本塔は、総高532cmの大型の報恩塔で、台座四面のうち三面には唐獅子像が、一面にはライオン像が彫刻されており、ライオン像の上部に英文で「THIS LION IS GRAVED BY THE RIGHT FIGURE」（このライオン像は、正確な姿に基づいて彫刻した）と陰刻されている。明治14年（1881）の日蓮聖人六百遠忌に先立つ明治5年に建立された背景には、明治3年（1870）に没した七代目伊勢屋八兵衛の三回忌と、まだ幼い八代目当主のもとで伊勢屋各店の結束を図ったことがあると推定される。
区内の報恩塔のうち規模が大きく、施された彫刻も優れている。公儀の呉服師で、幕末の絹織物貿易および軍艦調達に尽力した加太氏が、明治5年に建立した本塔は、日蓮聖人六百遠忌供養の意義のみならず、貿易に携わった幕末期の江戸商人一族の信仰や交流の有様をうかがうことができる貴重な歴史資料である。また、英語による銘文・ライオン像の彫刻など、明治初期の文明開化の気風を強く反映しており、きわめて稀有な石造物といえる。

","","","",""
太宗寺の切支丹灯籠,"",登録有形文化財,歴史資料,東京都新宿区新宿二丁目9-2,太宗寺,"",1985-03-01,"","",35.68982,139.70921,"昭和27年（1952）に太宗寺墓地内にある信州高遠藩主内藤家の墓地が改葬された際に発見された織部灯籠で、竿部 （脚）のみが発見され、近年になり笠部や火袋を復元した。
竿部に刻まれた人物像を、一部の研究者はマリア像のカモフラージュと考え、灯籠全体の形状も十字架を模したものであると指摘し、キリスト教禁制であった江戸時代に、隠れ切支丹が礼拝したと説いた。その真偽は不明な点が多いが、現在このような灯籠を切支丹灯籠と呼ぶ場合が多い。江戸時代中期の作と推定される。","","","",""
諸国旅人供養碑,"",登録有形文化財,歴史資料,東京都新宿区袋町15,光照寺,"",1986-06-06,"","",35.7006,139.73819,"昭和27年（1952）に太宗寺墓地内にある信州高遠藩主内藤家の墓地が改葬された際に発見された織部灯籠で、竿部 （脚）のみが発見され、近年になり笠部や火袋を復元した。
竿部に刻まれた人物像を、一部の研究者はマリア像のカモフラージュと考え、灯籠全体の形状も十字架を模したものであると指摘し、キリスト教禁制であった江戸時代に、隠れ切支丹が礼拝したと説いた。その真偽は不明な点が多いが、現在このような灯籠を切支丹灯籠と呼ぶ場合が多い。江戸時代中期の作と推定される。","","","",""
服部半蔵の槍,"",登録有形文化財,歴史資料,東京都新宿区若葉二丁目9,西念寺,"",1988-03-04,"","",35.68463,139.7253,"身（刃）は両鎬造、現在は全体に錆びて赤銅色となり、地金はまったく見ることができない。穂先は安政の大地震（1855） の際に先端が折れ失われている。柄は木製で黒漆塗り、身の接合部には銅製の筒金がはめられ、そのほかの部分は全体に栴檀を巻き、漆で仕上げられ、銅金2本が付けられている。柄についても第二次世界大戦の空襲で避難する際に折れて約1ｍほどが失われたとされ、またその際に火をかぶったため、柄の半面が焼けて炭化している。
この槍は、伊賀者の頭領である服部半蔵正成（1542〜1597）が、元亀3年（1572）の三方ケ原の戦の戦功により徳川家康（1543〜1616）より拝領したとの伝承があり、幕末に半蔵の子孫から西念寺に奉納された。西念寺は、半蔵が家康の長男松平信康（1559〜1579、家康の命により自害）の菩提を弔うため創建した寺院である。","","","",""
駿馬塚の碑,"",登録有形文化財,歴史資料,東京都新宿区内藤町1,多武峰内藤神社,"",1993-03-05,"","",35.68496,139.7124,"駿馬塚の碑は、内藤家の四谷屋敷拝領の伝承にかかわる石碑である。
のちの信州高遠藩主内藤家の二代当主清成（1555〜1608）は、徳川家康（1543〜1616）の命により、所有している名馬に乗って代々木から四谷あたりをかけ巡り、褒美として四谷屋敷（現新宿御苑）を拝領した。しかし名馬は疾走直後に息絶えたため、その供養として伝承から200年あまりたった文化13年（1816）8月に、内藤家家臣中家休昌と木下正敷が、樫の古木の跡に塚を造り碑を建てたものである。
その後、明治5年（1872）に現在地に移され、明治16年（1883）に多武峯内藤神社が遷されたため、現在は内藤神社境内の社殿右脇に建っているが、建碑当初にあったという塚はなく、また碑自体も明治以後に再建された可能性がある。
なお、碑の裏面には内藤家祐筆山下利章の撰文による駿馬塚の由来が刻まれている。","","","",""
月桂寺の切支丹灯籠,"",登録有形文化財,歴史資料,東京都新宿区河田町2-5,月桂寺,"",1999-01-08,"","",35.69704,139.72238,"花崗岩製の織部灯籠で、現在は竿部のみが残る。太平洋戦争後に当時の月桂寺境内（現在は東京女子医大敷地となっている）から出土したものという。
竿部に刻まれた人物像は、足元まで隠れる長い衣を身にまとい両手を合わせて立つ。異邦人をも連想させるこの人物を、一部の研究者はマリア像のカモフラージュと考え、灯籠全体の形状も十字架を模したものであると指摘し、キリスト教禁制であった江戸時代に隠れ切支丹が拝礼したと説いた。その真偽は不明な点が多いが、現在このような灯籠を切支丹灯籠と呼ぶ場合が多い。","","","",""
