"コース","番号","大見出し","施設名","小見出し","紹介文","電話","営業時間","休み","料金","備考","滞在時間","移動距離","所要時間","緯度","経度"
"H高輪","H-1","「忠臣蔵」で知られる泉岳寺を中心に、高輪の歴史と水族館を巡るコース","マクセル アクアパーク品川","水族館のカテゴリーを超えたエンターテインメント","多彩な演出で生きものの魅力をお伝えするTOKYO最先端エンターテインメント。デジタルテクノロジーを用いた演出でイルカたちの躍動を彩る、ドルフィンパフォーマンスや、クラゲに鮮やかな光と音の演出を加えたジェリーフィッシュランブルなど、都心にいながら約350種20000点の生き物がご覧いただけます。","03-5421-1111（音声ガイダンス）","時季により異なる、詳しくは公式HPを参照",,"入館料／大人（高校生以上）2500円、小･中学生1300円、幼児（4歳以上）800円、身体障害者手帳･精神障害者保健福祉手帳･療育手帳提示で、本人及び付添い1名計2名まで半額",,"120分","約370ｍ","約6分","35.62825058","139.735348"
"H高輪","H-2","「忠臣蔵」で知られる泉岳寺を中心に、高輪の歴史と水族館を巡るコース","高輪消防署二本榎出張所","ドイツ表現派建築のレトロな外観","平成22年（2010年）に東京都選定歴史的建造物に選定された建物は、昭和8年（1933年）に建てられたもの。第一次世界大戦後に流行した「ドイツ表現派」のデザインです。今も現役で、玄関は御影石に木の扉。内部は見学することもできます。","03-3473-0119","見学時間9:00～16:30災害等出動時は見学不可10人以上は予約が必要",,,,"20分","約1410ｍ","約24分","35.63573796","139.7332245"
"H高輪","H-3","「忠臣蔵」で知られる泉岳寺を中心に、高輪の歴史と水族館を巡るコース","大石良雄外十六人忠烈の跡","赤穂義士17人が切腹した場所","元禄16年（1703年）2月4日、熊本藩細川家の下屋敷において赤穂義士の大石良雄（大石内蔵助）ほか16人が切腹した場所であり、三田の伊予松山藩屋敷跡（現イタリア大使館）には大石主税良金ら十士切腹の地がありました。大石父子の切腹は、ほぼ同時刻であったといわれています。",,,,,,"5分","約660ｍ","約11分","35.64000527","139.7348403"
"H高輪","H-4","「忠臣蔵」で知られる泉岳寺を中心に、高輪の歴史と水族館を巡るコース","泉岳寺","「忠臣蔵」でおなじみ","「忠臣蔵」で知られる播磨赤穂藩藩主・浅野家の菩提寺である泉岳寺。赤穂四十七士が眠る泉岳寺では、12月と4月に赤穂義士祭が行われます。","03-3441-5560","開閉門時間／7:00～16:00（通年）赤穂義士記念館／9:00～16:00  ",,"赤穂義士記念館拝観料／大人500円、中学生・高校生400円、小人（10歳以上）250円※障害者割引あり",,"30分","約610ｍ","約10分","35.63774061","139.7362978"
"H高輪","H-5","「忠臣蔵」で知られる泉岳寺を中心に、高輪の歴史と水族館を巡るコース","高輪大木戸跡","治安維持のため設置された大木戸","国道15号（第一京浜）の泉岳寺交差点の北東側に位置し、昭和3年（1928年）には国の史跡に指定されました。宝永7年（1710年）、東海道から江戸府内への出入口として設けられた大木戸の跡。江戸時代には、治安の維持と交通規制のために、夜はこの門を閉めて通行禁止にしていました。",,,,,,"5分","約570ｍ","約10分","35.63950584","139.7406682"
"H高輪","Goal","「忠臣蔵」で知られる泉岳寺を中心に、高輪の歴史と水族館を巡るコース","京浜急行線・都営浅草線 泉岳寺駅 A2出口",,,,,,,,,"約400ｍ","約7分","35.63774854","139.7391817"
"I白金",,"八芳園の豊かな緑に憩いを求め、おしゃれなプラチナ通りで感性を磨くコース",,,,,,,,,,,,,
"I白金","Start","八芳園の豊かな緑に憩いを求め、おしゃれなプラチナ通りで感性を磨くコース","都営三田線・東京メトロ南北線 白金高輪駅 1番出口",,,,,,,,,,,"35.64216378","139.7340034"
"I白金","I-1","八芳園の豊かな緑に憩いを求め、おしゃれなプラチナ通りで感性を磨くコース","智光山 立行寺","鮮やかな色合いの山門が特徴的","寛永7年（1630年）江戸時代初期の旗本大久保彦左衛門によって六本木に創建され、寛文8年（1668年）に現在の場所に移転しました。大久保寺とも呼ばれています。",,,,,,"15分","約400ｍ","約7分","35.64322737","139.7323328"
"I白金","I-2","八芳園の豊かな緑に憩いを求め、おしゃれなプラチナ通りで感性を磨くコース","覚林寺","必勝祈願の寺","戦国時代の武将加藤清正公を祀り、多くの人が人生の様々な苦悩に打ち勝つよう必勝祈願に訪れます。江戸最初山手七福神の一つでもあり、毘沙門天が祀られています。毎年5月4日と5日に行われる清正公大祭では、葉菖蒲の入った「お勝守」が授与されます。","03-3441-9379",,,,,"10分","約570ｍ","約10分","35.63968116","139.7317094"
"I白金","I-3","八芳園の豊かな緑に憩いを求め、おしゃれなプラチナ通りで感性を磨くコース","八芳園","四季折々の美しい庭園が人々を魅了","江戸時代初期、徳川家康の側臣の一人で「天下のご意見番」とされている大久保彦左衛門の下屋敷と言われ、自然との調和を大切に守ってきた日本庭園があります。昭和25年（1950年）、「四方八方どこから見ても美しい場所」という意味を込めて八芳園と命名され、現在は結婚式場をはじめとした宴会、レストランで知られる施設となっています。","03-3443-3114",,,,,"60分","約710ｍ ","約12分","35.63819846","139.727984"
"I白金","I-4","八芳園の豊かな緑に憩いを求め、おしゃれなプラチナ通りで感性を磨くコース","港区立郷土歴史館","港区の自然・歴史・文化を探求する","2018年(平成30年)11月開館。デジタル技術を取り入れながら港区の自然・歴史・文化を紹介する常設展のほか、様々なテーマを掲げた特別展・企画展も随時開催しています。建物は1938年（昭和13年）に建てられた旧公衆衛生院で、味わい深い館内の意匠も必見です。常設展、特別展、企画展以外の館内は無料で見学できます。","03-6450-2107","9:00～17:00（土9:00～20:00）","第3木曜日(祝日の場合は前日の水曜日)、年末年始","常設展　一般300円、小・中・高生100円、区内在住・在学の小・中・高生、区内在住の６５歳以上の方、区内在住の障害者とその介助者1名まで無料（証明できるものを提示）",,"30分","約400ｍ","約7分","35.63914451","139.7267502"
"I白金","I-5","八芳園の豊かな緑に憩いを求め、おしゃれなプラチナ通りで感性を磨くコース","松岡美術館","さまざまなジャンルの美術品がずらり","松岡地所創立者の松岡清次郎が創設。所蔵品は約1800件。陶磁、日本の近代絵画・現代絵画、中国の明清書画、フランス近代絵画、ヴィクトリア朝絵画、ガンダーラ仏像やヒンドゥー教神像などの古代東洋彫刻、現代彫刻、古代オリエント美術など、所蔵作品は多岐にわたります。","03-5449-0251","10:00～17:00（入館は16:30まで）毎月第一金曜日10:00～19:00（入館は18:30まで）","毎週月曜日（祝日の場合は翌日休館）  ","一般1200円、25歳以下500円、高校生以下・障害者手帳をお持ちの方は無料",,"60分","約840ｍ","約14分","35.63999699","139.7219027"
"I白金","I-6","八芳園の豊かな緑に憩いを求め、おしゃれなプラチナ通りで感性を磨くコース","プラチナ通り","のんびりウインドウショッピング","目黒通りから北に延びる外苑西通りは、通称「プラチナ通り」と呼ばれています。落ち着いた大人の街として、イチョウ並木沿いに洗練されたショップやレストランが立ち並びます。",,,,,,"30分","約310ｍ","約5分","35.63842118","139.7231574"
"I白金","Goal","八芳園の豊かな緑に憩いを求め、おしゃれなプラチナ通りで感性を磨くコース","都営三田線・東京メトロ南北線 白金台駅 2番出口",,,,,,,,,"約360ｍ","約6分","35.63836984","139.7267565"
"J港南",,"運河沿いの水辺や公園の緑を楽しむことのできる、平坦で広々したコース",,,,,,,,,,,,,
"J港南","Start","運河沿いの水辺や公園の緑を楽しむことのできる、平坦で広々したコース","JR・京浜急行線 品川駅 港南口",,,,,,,,,,,"35.62904974","139.7399679"
"J港南","J-1","運河沿いの水辺や公園の緑を楽しむことのできる、平坦で広々したコース","品川シーズンテラス","都市と自然が多彩にリンクする空間","オフィス、飲食や物販、クリニックなどが入った地上32階の高層ビルは、3.5ヘクタールの広大な緑地を有し、四季折々の風景が、働く人、訪れる人にやすらぎを与えてくれる心地よい空間です。芝浦中央公園にも直結しています。",,,,,,"40分","約660ｍ","約11分","35.632589","139.7431913"
"J港南","J-2","運河沿いの水辺や公園の緑を楽しむことのできる、平坦で広々したコース","芝浦中央公園","湿生花園で自然の生き物を観察","東京都下水道局芝浦水再生センターの上部に造られた人工地盤の公園です。湿生花園や噴水、木製遊具のある芝生広場、ドッグランなどがあり、バラ園には約40品種、200本が植えられています。見ごろは5月と10月。","03-6433-2562（公園管理棟）","7:00～17:00（10月～4月）、6:00～19:00（5月～9月）",,,,"20分","約260ｍ","約4分","35.63456102","139.7434933"
"J港南","J-3","運河沿いの水辺や公園の緑を楽しむことのできる、平坦で広々したコース","東京海洋大学マリンサイエンスミュージアム","海洋生物の標本やはく製を集めた博物館","東京海洋大学のキャンパス内に、平成28年（2016年）にリニューアルオープン。ドワーフミンククジラの全身骨格など、海洋生物の標本やペンギン、アザラシ、ウミガメのはく製など、約2000点を公開しています。","03-5463-0430","10:00～16:00、 土曜日（鯨ギャラリーのみ）10:00～15:00 20名以上は要予約","土曜日（鯨ギャラリーのみ開館）、日曜日、祝日、入試期間、点検日、その他","無料",,"40分","約1400ｍ","約23分","35.62760799","139.7481906"
"J港南","J-4","運河沿いの水辺や公園の緑を楽しむことのできる、平坦で広々したコース","港南緑水公園","自然とふれあえる水辺空間","四季を彩る樹木、噴水や自然観察池（ビオトープ）、はらっぱ広場など自然や水とふれあえる公園には、マンホールトイレやかまどベンチなど災害に対応する設備もあります。園内からは、線路を走る東京モノレールや新幹線を間近に見ることもできます。","080-4389-1044（公園管理事務所）",,,,,"20分","約400ｍ","約7分","35.62877584","139.751103"
"J港南","Goal","運河沿いの水辺や公園の緑を楽しむことのできる、平坦で広々したコース","JR・京浜急行線 品川駅 港南口",,,,,,,,,"約1050ｍ","約18分","35.62904974","139.7399679"
"K芝浦･台場",,"お台場海浜公園で海風を感じ、ベイエリアの観光スポットを巡るコース",,,,,,,,,,,,,
"K芝浦･台場","Start1-1","お台場海浜公園で海風を感じ、ベイエリアの観光スポットを巡るコース","JR品川駅 港南口",,,,,,,,,,,"35.62904974","139.7399679"
"K芝浦･台場","Start1-2","お台場海浜公園で海風を感じ、ベイエリアの観光スポットを巡るコース","お台場レインボーバス「品川駅港南口」",,,,,,,,,"約180m","約3分","35.62848369","139.7407701"
"K芝浦･台場","Start1-3","お台場海浜公園で海風を感じ、ベイエリアの観光スポットを巡るコース","「お台場海浜公園駅前」下車",,,,,,,,,,"約16分","35.62959281","139.7779251"
"K芝浦･台場","Start2-1","お台場海浜公園で海風を感じ、ベイエリアの観光スポットを巡るコース","JR田町駅 芝浦口（東口）",,,,,,,,,,,"35.64562121","139.747758"
"K芝浦･台場","Start2-2","お台場海浜公園で海風を感じ、ベイエリアの観光スポットを巡るコース","お台場レインボーバス「田町駅東口」",,,,,,,,,"約300m","約5分","35.64389641","139.7480387"
"K芝浦･台場","Start2-3","お台場海浜公園で海風を感じ、ベイエリアの観光スポットを巡るコース","「お台場海浜公園駅前」下車",,,,,,,,,,"約13分","35.62959281","139.7779251"
"K芝浦･台場","K-1","お台場海浜公園で海風を感じ、ベイエリアの観光スポットを巡るコース","お台場海浜公園","高層ビル群に沈む夕陽や夜景を楽しめる","東京湾に面した公園ではマリンスポーツや磯遊びが楽しめます。遊歩道が整備され、自由の女神像や海上バス乗り場もある都内随一の観光スポットです。約800ｍの人工砂浜「おだいばビーチ」から眺める高層ビル群の夕暮れや夜景に心癒やされます。",,,,,,"30分","約471m","約8分","35.63090808","139.77632"
"K芝浦･台場","K-2","お台場海浜公園で海風を感じ、ベイエリアの観光スポットを巡るコース","デックス東京ビーチ","お台場を代表するエンターテインメントスポット","船をモチーフにしたお台場の大型商業施設です。海側のシーサイドモールとゆりかもめ側のアイランドモールに、ファッション・雑貨・グルメの店が並んでおり、マダム・タッソー東京やレゴランド・ディスカバリー・センター東京をはじめエンターテインメント施設も充実しています。","03-3599-6500","平日11:00～20:00、土日祝11:00～21:00（レストラン～23:00）※一部店舗は異なる ",,,,"30分","約231m","約4分","35.62930379","139.7761197"
"K芝浦･台場","K-3","お台場海浜公園で海風を感じ、ベイエリアの観光スポットを巡るコース","アクアシティお台場","レインボーブリッジと東京湾を臨む日本最大級のエンターテインメントショッピングモール","「東京リゾー島」をテーマにした大型複合施設。東京湾越しに都心を望む絶好のロケーションでショッピングやエンターテインメント、多彩なグルメゾーンを楽しめます。","03-3599-4700","11:00～21:00(レストラン～23:00、一部飲食店～翌4:00) ※詳細はアクアシティお台場HPをご確認ください。",,,,"30分","約287m","約5分","35.62791375","139.7737484"
"K芝浦･台場","K-4","お台場海浜公園で海風を感じ、ベイエリアの観光スポットを巡るコース","フジテレビ","お台場のシンボル「球体展望室」","地上約100ｍに浮かぶ球体の展望室「はちたま」からは、レインボーブリッジや東京タワー、晴れた日には富士山、秩父連山、丹沢山系まで見渡せる視界270度の臨海パノラマが楽しめます。","0570-088-081","10:00～18:00（最終入館17:30）","毎週月曜日（月曜日が祝日の場合は翌日）","大人（高校生以上）700円、小中学生450円、幼児無料、障害者手帳提示で、本人及び付添い1名計2名まで無料",,"40分","約342m","約6分","35.62638766","139.7737484"
"K芝浦･台場","Goal","お台場海浜公園で海風を感じ、ベイエリアの観光スポットを巡るコース","ゆりかもめ 台場駅",,,,,,,,,"約243m","約4分","35.62591586","139.7714425"
"L竹芝",,"東京湾を一望！海風を感じながら、最新の港区を満喫するコース",,,,,,,,,,,,,
"L竹芝","Start","東京湾を一望！海風を感じながら、最新の港区を満喫するコース","都営浅草線・大江戸線 大門駅 B4出口",,,,,,,,,,,"35.65650644","139.7559862"
"L竹芝","L-1","東京湾を一望！海風を感じながら、最新の港区を満喫するコース","東京ポートシティ竹芝","棚田を思わせる緑豊かな最新都市型テラス","東京ポートシティは最先端のテクノロジーを活用した都市型スマートシティを実現した複合施設です。オフィスタワー2～6階のスキップテラスを中心に「竹芝新八景」を展開。緑豊かな環境づくりと同時に、生物多様性の取組みを発信しています。",,,,,,"40分","約420ｍ","約7分","35.65515127","139.7607334"
"L竹芝","L-2","東京湾を一望！海風を感じながら、最新の港区を満喫するコース","ウォーターズ竹芝","浜松町駅から6分で行ける東京の水辺","JR東日本が開発し、2020年10月にまちびらきしたホテル、劇場、商業施設、オフィスなどが入った複合施設です。都心の水辺というロケーションにあり、都会にいながら自然を感じリラックスできる施設として注目されています。",,"施設により異なります詳細はウォーターズ竹芝HPをご確認ください",,,,"50分","約200ｍ","約3分","35.65661146","139.7620424"
"L竹芝","L-3","東京湾を一望！海風を感じながら、最新の港区を満喫するコース","竹芝客船ターミナル","デッキにはたくさんのベンチがあり絶景の黄昏スポット","竹芝客船ターミナルは、伊豆・小笠原諸島への海の玄関口として、また、納涼船などの発着施設として、年間約100万人の乗降客に利用されています。","03-3432-8081","7:00～22:00",,"無料",,"15分","約210ｍ","約4分","35.65439582","139.7633462"
"L竹芝","L-4","東京湾を一望！海風を感じながら、最新の港区を満喫するコース","Hi-NODE TOKYO HiNODE PiER","東京湾を望むおしゃれなレストラン","Hi-NODE（ハイノード）はおしゃれなカフェや、テラス席でバーベキューが楽しめるレストラン、芝生広場などからなる複合施設です。東京湾クルージングや水上バスの発着場もあり、船旅の拠点として知られています。",,"船着場および各レストランにより異なります詳細はHi-NODE TOKYO HiNODE PiERのHPをご確認ください",,,,"20分","約580ｍ","約10分","35.65167825","139.760739"
"L竹芝","L-5","東京湾を一望！海風を感じながら、最新の港区を満喫するコース","シーバンス　ア・モール","ツインタワーが目印のアトリウム","運河に臨むツインタワーのシーバンスビル「N館」「S館」の間に位置する飲食・物販・サービス施設「ア・モール」。座って休憩できるオープンスペース多数。ガラスドーム状の天井からは光が差し込み、緑あふれる開放感抜群の空間です。","03-5440-6319","7:00～23:00",,"無料",,"15分","約710ｍ","約12分","35.64978633","139.7565964"
"L竹芝","Goal","東京湾を一望！海風を感じながら、最新の港区を満喫するコース","JR・東京モノレール羽田空港線 浜松町駅 金杉橋口",,,,,,,,,"約710ｍ","約12分","35.65462501","139.7559273"
"M有栖川宮記念公園周辺",,"桜に新緑、イチョウ、冬はイルミネーションまで！春夏秋冬いつ訪れても景色を満喫出来る元麻布周辺散策コース",,,,,,,,,,,,,
"M有栖川宮記念公園周辺","Start","桜に新緑、イチョウ、冬はイルミネーションまで！春夏秋冬いつ訪れても景色を満喫出来る元麻布周辺散策コース","都営バス：RH01 港区コミュニティバス「ちぃばす」：田町ルート、赤坂ルート、麻布東ルート、麻布西ルート、青山ルート 「六本木けやき坂」停留所",,,,,,,,,,,"35.65924808","139.7305519"
"M有栖川宮記念公園周辺","M-1","桜に新緑、イチョウ、冬はイルミネーションまで！春夏秋冬いつ訪れても景色を満喫出来る元麻布周辺散策コース","六本木さくら坂","高層ビル群に囲まれた閑静な桜並木","沿道にたくさんのソメイヨシノが並んでいて、桜の季節にはライトアップも実施されるため、春のお散歩には特におすすめのスポットです。景観が落ち着いていて歩きやすい道なので、春以外にも、のんびりとしたお散歩を楽しむことができます。",,,,,,"20分","約160ｍ ","約3分","35.65849972","139.7298267"
"M有栖川宮記念公園周辺","M-2","桜に新緑、イチョウ、冬はイルミネーションまで！春夏秋冬いつ訪れても景色を満喫出来る元麻布周辺散策コース","有栖川宮記念公園","四季折々の美しい景色が楽しめる日本庭園","江戸時代は南部藩の下屋敷でしたが、明治29（1896）年に有栖川宮家の御用地となり、その後、記念公園として一般解放されたものです。都心で貴重な豊かな自然を感じられる公園として、四季折々の花木が楽しめます。園内には併設施設として都立中央図書館があります。","03-3441-9642",,,,,"50分","約760ｍ ","約13分","35.65210825","139.7259201"
"M有栖川宮記念公園周辺","M-3","桜に新緑、イチョウ、冬はイルミネーションまで！春夏秋冬いつ訪れても景色を満喫出来る元麻布周辺散策コース","麻布氷川神社 港七福神毘沙門天","勇気と勝運と財運の神が祀られたお社","勝運や厄除の祭神・素戔嗚尊、商売繁盛の祭神・日本武尊と毘沙門天が祀られ、麻布総鎮守・江戸七氷川の壱として信仰されてきました。アニメ“美少女戦士セーラームーン”のモデル神社であり、大名屋敷から今日大使館が多く在る地のお社です。","03-3446-8796","9:00～16:00",,,,"30分","約540ｍ ","約9分","35.65288731","139.7310439"
"M有栖川宮記念公園周辺","M-4","桜に新緑、イチョウ、冬はイルミネーションまで！春夏秋冬いつ訪れても景色を満喫出来る元麻布周辺散策コース","ハンガリー大使館文化部 リスト・ハンガリー文化センター","ハンガリーの文化が体感できるスポット","2019年日本・ハンガリー外交関係開設150周年に開館したリスト・ハンガリー文化センターでは、ハンガリーの文化を紹介する企画展示、講演会やコンサート等を定期的に開催しています。歩道から自動ドア１枚で体験できる麻布十番のハンガリーへぜひお越しください。","03-6459-4931","11:00～17:00（16:45最終入場）","土・日・祝","無料",,"40分","約550ｍ ","約9分","35.65362041","139.734435"
"M有栖川宮記念公園周辺","Goal","桜に新緑、イチョウ、冬はイルミネーションまで！春夏秋冬いつ訪れても景色を満喫出来る元麻布周辺散策コース","都営大江戸線・東京メトロ南北線 麻布十番駅 1番出口",,,,,,,,,"約240ｍ ","約4分","35.65394974","139.7367135"
"N三田","　","図書館、ショッピング、運河沿いでのんびり。景観を楽しみつつまわれるバラエティ豊かなコース",,,,,,,,,,,,,
"N三田","Start","図書館、ショッピング、運河沿いでのんびり。景観を楽しみつつまわれるバラエティ豊かなコース","JR 田町駅 三田口（西口） ピアタのエレベーターで１Fへ",,,,,,,,,,,"35.64597873","139.7474503"
"N三田","N-1","図書館、ショッピング、運河沿いでのんびり。景観を楽しみつつまわれるバラエティ豊かなコース","札の辻スクエア","区の「産業」と「学び」を支える施設","札の辻スクエアは、区の「産業」と「学び」を支える拠点として、港区立産業振興センター、港区立三田図書館、民間連携床等からなり、多くの人に親しまれている施設です。","03-6435-3670","8:00～22:00",,"駐車場：300円/30分、駐輪場：無料",,"40分","約340m ","約6分","35.64511029","139.7446902"
"N三田","N-1","図書館、ショッピング、運河沿いでのんびり。景観を楽しみつつまわれるバラエティ豊かなコース","港区観光インフォメーションセンター","　　　　　　　　　　　　　　　","札の辻スクエアの1階にあり、港区を中心とした観光パンフレットを取り揃えています。英語の対応も可能なスタッフが常駐しており、観光スポットの旬な情報を気軽に聞くことができます。",,"9:00～17:00  原則無休（但し、施設全体の開庁日に準ずる）",,"無料",,,,,"35.64511029","139.7446902"
"N三田","N-1","図書館、ショッピング、運河沿いでのんびり。景観を楽しみつつまわれるバラエティ豊かなコース","三田図書館",,"札の辻スクエアの4階から６階に位置し、港区立図書館として最大の面積かつ最多の蔵書をもちます。利用者自身で予約資料の貸し出しができるコーナーや、閲覧席を予約できるシステムを導入しています。おはなし会、朗読会、映画会なども開催しています。","03-3452-4951","月～土 9:00～20:00   日・祝・12月28日 9:00～17:00","第３木曜日（祝日の場合は前日の水曜日）、年末年始等",,,,,,"35.64511029","139.7446902"
"N三田","N-2","図書館、ショッピング、運河沿いでのんびり。景観を楽しみつつまわれるバラエティ豊かなコース","芝桜の庭園（住友不動産三田ツインビル西館）","ピンクの絨毯が観られる穴場スポット","住友不動産三田ツインビル西館西側公開空地1585m2に4月上旬から下旬にかけて、シバザクラが咲き誇り、ピンク色の絨毯が一面に広がります。西側公開空地は、国道15号線からはビルで隔てられ、落ち着いたエリアです。","03-5419-2525","24時間（公開空地エリア）",,"無料",,"15分","約310m ","約5分","35.64438383","139.7421949"
"N三田","N-3","図書館、ショッピング、運河沿いでのんびり。景観を楽しみつつまわれるバラエティ豊かなコース","札の辻橋","11本の線路上にかかる陸橋","橋を上りながら後ろを振り返ると、ビルの間にそびえる東京タワーが見えます。夕方にはライトアップされるので、日没後のお散歩もおすすめです。橋の下にはJRの線路が数多く通っていて、鉄道ファンにはおなじみの光景です。歩道の幅も広く、お子様とのお散歩にも最適です。",,,,,,"15分","約400m","約7分","35.64360561","139.7443619"
"N三田","N-4","図書館、ショッピング、運河沿いでのんびり。景観を楽しみつつまわれるバラエティ豊かなコース","藻塩橋・新芝運河沿緑地","散歩に最適な憩いの場","橋の名前は室町時代、廻国雑記に詠まれた和歌が由来ではないかと言われています。運河に沿った歩道には木々が植えられていて、大都会の中にありながら落ち着いた雰囲気を漂わせています。歩き疲れたら、ベンチでひと休み。ゆったりとしたお散歩を楽しめます。",,,,,,"20分","約180m","約3分","35.64270598","139.7461142"
"N三田","N-5","図書館、ショッピング、運河沿いでのんびり。景観を楽しみつつまわれるバラエティ豊かなコース","msb Tamachi（ムスブ田町）","田町の新たなシンボル","JR田町駅芝浦口（東口）を出て徒歩1分の場所にある「msb Tamachi」は、オフィス・ホテル・商業施設で構成される複合施設です。商業エリアには様々なショップ＆レストランが集い、また街区内には日本初のプルマンホテル、「プルマン東京田町」もあります。",,"店舗へ直接お問い合わせください。",,,"※誘導ブロックは2階デッキのみ","60分","約120m","約2分","35.64473461","139.7489429"
"N三田","Goal","図書館、ショッピング、運河沿いでのんびり。景観を楽しみつつまわれるバラエティ豊かなコース","JR 田町駅 芝浦口（東口）",,,,,,,,,"約200m","約3分","35.64566183","139.7477287"
"O神谷町周辺","　","ランドマークとなる麻布台ヒルズを中心に、歴史やアートに触れながらじっくり楽しむコース",,,,,,,,,,,,,
"O神谷町周辺","Start","ランドマークとなる麻布台ヒルズを中心に、歴史やアートに触れながらじっくり楽しむコース","神谷町駅4a出入口",,,,,,,,,,,"35.66344325","139.745278"
"O神谷町周辺","O-1","ランドマークとなる麻布台ヒルズを中心に、歴史やアートに触れながらじっくり楽しむコース","愛宕神社","「出世の石段」で知られる神社","自然地形の山として23区最高峰の愛宕山（標高26m）の頂上に祀られ、江戸の防火の神様として多くの信仰を集めました。江戸で最も見晴らしの良い土地として、歌川広重などが版画の題材にもしています。","03-3431-0327",,,,,"20分","約556m ","約9分","35.66476","139.7484714"
"O神谷町周辺","O-2","ランドマークとなる麻布台ヒルズを中心に、歴史やアートに触れながらじっくり楽しむコース","NHK放送博物館","世界最初の放送専門ミュージアム","「放送のふるさと」愛宕山に昭和31年（1956年）世界初の放送専門ミュージアムとして開館。平成28年（2016年）にリニューアルオープンし、臨場感あふれる8Kスーパーハイビジョンシアターや放送体験できるスタジオが好評です。","03-5400-6900","10:00～16:30","毎週月曜日（祝日の場合を除く）","無料",,"30分","約86m ","約2分","35.66396981","139.7483399"
"O神谷町周辺","O-3","ランドマークとなる麻布台ヒルズを中心に、歴史やアートに触れながらじっくり楽しむコース","港区立みなと科学館","科学に親しむ先進施設","子どもから大人まで、楽しみながら科学を学べます。常設展示コーナーでは、身の周りにある科学を発見し、その不思議をひも解く体験ができます。2階にはプラネタリウムホールを完備。800万個を超える美しい星空と、解説員が季節の星座をお届けします。","03-6381-5041","9:00～20:00（プラネタリウムの最終投影は19:00、入館は閉館の30分前まで）","第2月曜日、年末年始 ※臨時休館日あり","入場無料/プラネタリウム大人600円、小・中・高校生100円（未就学児、港区在住65歳以上、港区内在住障がい者および介護者１名 ※証明できるものをご持参ください）",,"40分","約400m ","約7分","35.66557664","139.7460206"
"O神谷町周辺","O-4","ランドマークとなる麻布台ヒルズを中心に、歴史やアートに触れながらじっくり楽しむコース","菊池寛実記念智美術館","陶芸作品メインの美術館","菊池寛実記念 智美術館は、当館設立者で現代陶芸のコレクターであった菊池智のコレクションを母体に、現代陶芸の紹介を目的として、2003年に港区虎ノ門の閑静な高台に開館いたしました。年３回程度の企画展を開催しています。","03-5733-5131","11:00～18:00（入場は17:30まで）","月曜日（祝日の場合は翌平日）、年末年始、展示替期間","一般1100円、大学生800円、小・中・高校生500円（展示により異なります）",,"60分","約204m ","約3分","35.66609309","139.7446017"
"O神谷町周辺","O-5","ランドマークとなる麻布台ヒルズを中心に、歴史やアートに触れながらじっくり楽しむコース","大倉集古館","中国風建築が目を引く私立美術館","明治大正期の実業家・大倉喜八郎が設立した大倉美術館を前身とした私立美術館です。喜八郎が蒐集した日本・東洋各地域の古美術品と、跡を継いだ喜七郎が蒐集した、国宝3件、重要文化財13件及び重要美術品44件を含む約2500件を収蔵しています。","03-5575-5711","10:00～17:00（入場は16:30まで）","月曜日（祝日の場合は翌火曜日）","一般1000円 （特別展1300円［2024年4月より1500円］）",,"60分","約108m","約2分","35.66694058","139.7432463"
"O神谷町周辺","O-6","ランドマークとなる麻布台ヒルズを中心に、歴史やアートに触れながらじっくり楽しむコース","泉屋博古館東京","住友家蒐集品をじっくりと","住友コレクションを中心とした美術品を保存、展示公開する泉屋博古館（京都鹿ヶ谷）の分館として2002年、旧住友家麻布別邸跡地に開館。2021年4月「泉屋博古館東京」へ改称し、2022年にリニューアルオープン。年に4～5本の企画展・特別展を開催しています。","050-5541-8600（ハローダイヤル）","展覧会開催期間中の11:00～18:00（金曜は19:00まで）","月曜日（祝日の場合は翌平日）、展示替期間","一般：企画展1000円、特別展1200円　※障がい者手帳等呈示の方は本人と介添1名無料",,"60分","約294m","約5分","35.66508755","139.74111"
"O神谷町周辺","O-7","ランドマークとなる麻布台ヒルズを中心に、歴史やアートに触れながらじっくり楽しむコース","麻布台ヒルズ","都心の新たなランドマーク","麻布台ヒルズは、オフィス、住宅、商業施設、マーケット、ホテル、ミュージアム、ギャラリー、インターナショナルスクール、医療施設などが集積した新たな大型複合施設。高さ約330ｍの「森JPタワー」に位置する「タワープラザ」や、低層部の「ガーデンプラザ」などには約150 店舗の商業テナントを有する。","03-6433-8100（麻布台ヒルズ総合インフォメーション・受付時間10:00-21:00）","各施設の営業時間をご確認ください",,"無料（麻布台ヒルズギャラリーなど一部施設については有料）",,"60分","約401m","約7分","35.66107946","139.7408046"
"O神谷町周辺","Goal","ランドマークとなる麻布台ヒルズを中心に、歴史やアートに触れながらじっくり楽しむコース","神谷町駅5番出入口",,,,,,,,,"約306m","約5分","35.66230605","139.7441841"

"港区バリアフリー観光ルート","Ver202403",,,,,,,,,,,,,,
