"業態","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日"
"高度管理医療機器販売業・貸与業","株式会社大林組本社","東京都港区港南二丁目15番2号","品川インターシティB棟","03-5769-1856","31港み生機器第158号","2020/1/9"
"高度管理医療機器販売業・貸与業","ＡＳＰ　Ｊａｐａｎ合同会社　本社","東京都港区港南二丁目15番2号","品川インターシティB棟6階","03-6712-1011","30港み生機器第206号","2019/3/1"
"高度管理医療機器販売業・貸与業","ＮＥＣキャピタルソリューション株式会社","東京都港区港南二丁目15番3号","品川インターシティC棟","03-6720-8365","31港み生機器第124号","2019/11/12"
"高度管理医療機器販売業・貸与業","株式会社ソラスト","東京都港区港南二丁目15番3号","品川インターシティC棟","03-3450-2635","5港み生機器第108号","2023/9/21"
"高度管理医療機器販売業・貸与業","株式会社アペックス・インターナショナル東京","東京都港区港南二丁目16番1号","品川イーストワンタワー","03-6712-8971","4港み生機器第113号","2022/10/2"
"高度管理医療機器販売業・貸与業","エム・シー・ヘルスケアホールディングス株式会社","東京都港区港南二丁目16番1号","品川イーストワンタワー","03-5781-7800","5港み生機器第199号","2024/3/19"
"高度管理医療機器販売業・貸与業","エム・シー・メディカル株式会社","東京都港区港南二丁目16番1号","品川イーストワンタワー","03-5715-2800","5港み生機器第180号","2024/3/19"
"高度管理医療機器販売業・貸与業","日本メディカルネクスト株式会社　東京本社","東京都港区港南二丁目16番1号","品川イーストワンタワー","03-5715-4011","5港み生機器第164号","2024/1/18"
"高度管理医療機器販売業・貸与業","Ｃｏｒｃｙｍ　Ｊａｐａｎ株式会社","東京都港区港南二丁目16番1号","品川イーストワンタワー7階","03-6894-4100","3港み生機器第62号","2021/8/1"
"高度管理医療機器販売業・貸与業","エム・シー・ヘルスケア株式会社","東京都港区港南二丁目16番1号","品川イーストワンタワー","03-5781-7800","3港み生機器第227号","2022/4/1"
"高度管理医療機器販売業・貸与業","エム・シー・ヘルスケア株式会社　東京第１営業所","東京都港区港南二丁目16番1号","品川イーストワンタワー","03-6890-7111","3港み生機器第228号","2022/4/1"
"高度管理医療機器販売業・貸与業","エム・シー・ヘルスケア株式会社　東京第２営業所","東京都港区港南二丁目16番1号","品川イーストワンタワー","03-5781-7814","4港み生機器第312号","2023/4/1"
"高度管理医療機器販売業・貸与業","Ｔ＆Ｄリース株式会社　本社","東京都港区港南二丁目16番2号","太陽生命品川ビル","03-6433-1160","31港み生機器第176号","2020/3/18"
"高度管理医療機器販売業・貸与業","医療サポート株式会社","東京都港区港南二丁目16番2号","太陽生命品川ビル28階","03-6433-2783","2港み生機器第162号","2021/3/11"
"高度管理医療機器販売業・貸与業","株式会社ファイントゥデイ","東京都港区港南二丁目16番3号","品川グランドセントラルタワー18F","03-6864-0244","4港み生機器第299号","2023/3/22"
"高度管理医療機器販売業・貸与業","大塚製薬株式会社　東京本部","東京都港区港南二丁目16番4号","品川グランドセントラルタワー","03-6361-7311","30港み生機器第202号","2019/3/26"
"高度管理医療機器販売業","Ｇｌａｕｋｏｓ　Ｊａｐａｎ合同会社","東京都港区港南二丁目16番4号","品川グランドセントラルタワー","03-6712-3293","5港み生機器第2号","2023/5/8"
"高度管理医療機器販売業・貸与業","Ｊｅｉｓｙｓ　Ｍｅｄｉｃａｌ　Ｊａｐａｎ株式会社　東京営業所","東京都港区港南二丁目16番4号","品川グランドセントラルタワー","03-6718-4644","3港み生機器第128号","2021/11/22"
"高度管理医療機器販売業・貸与業","南山堂ホールディングス東京営業所","東京都港区港南二丁目16番4号","品川グランドセントラルタワー17階","03-5791-7310","4港み生機器第124号","2022/10/4"
"高度管理医療機器販売業・貸与業","大塚メディカルデバイス株式会社　品川事務所","東京都港区港南二丁目16番4号","品川グランドセントラルタワー","03-6361-7459","4港み生機器第264号","2023/1/18"
"高度管理医療機器販売業・貸与業","キヤノンマーケティングジャパン株式会社","東京都港区港南二丁目16番6号",,"03-6719-9553","2港み生機器第151号","2021/5/11"
"高度管理医療機器販売業・貸与業","キヤノンシステムアンドサポート株式会社　本社","東京都港区港南二丁目16番6号","CANON Sタワー11階","03-6719-9591","3港み生機器第211号","2022/3/8"
"高度管理医療機器販売業","中央コンタクト　アトレ品川店","東京都港区港南二丁目18番1号","アトレ品川2F","03-6718-6741","3港み生機器第119号","2021/9/13"
"高度管理医療機器販売業・貸与業","大江戸テクノロジー株式会社","東京都港区港南三丁目7番16-302号",,,"3港み生機器第1号","2021/4/14"
"高度管理医療機器販売業・貸与業","Ｈ．Ｕ．フロンティア株式会社　首都圏","東京都港区港南四丁目1番8号","リバージュ品川","050-2000-4992","2港み生機器第78号","2020/10/1"
"高度管理医療機器販売業","株式会社湘南薬品　港南薬局","東京都港区港南四丁目6番7号","ワールドシティータワーズキャピタルタワー1階","03-3471-8375","5港み生機器第101号","2023/10/1"
"高度管理医療機器販売業・貸与業","株式会社キリカン洋行","東京都港区港南五丁目4番12号",,,"3港み生機器第141号","2021/11/1"
"高度管理医療機器販売業・貸与業","株式会社ＬＣメディカ　品川事業所","東京都港区港南五丁目4番12号","2階","03-5463-8680","2港み生機器第157号","2021/3/3"
"高度管理医療機器販売業","株式会社エスプールロジスティクス　ｌａｂｏｒａｔｏｒｙ　Ｓｈｉｎａｇａｗａ","東京都港区港南五丁目4番36号",,"03-6773-4680","5港み生機器第178号","2024/3/30"
"高度管理医療機器販売業・貸与業","パナメディカル株式会社","東京都港区芝一丁目5番11号","芝エルズビル","03-5440-7373","4港み生機器第276号","2023/4/1"
"高度管理医療機器販売業・貸与業","株式会社ダスキンヘルスケア","東京都港区芝一丁目6番10号","芝SIAビル","03-5484-3640","2港み生機器第115号","2021/1/8"
"高度管理医療機器販売業・貸与業","株式会社ワキタ東京支店","東京都港区芝一丁目6番10号","芝SIAビル5階","03-5439-4630","3港み生機器第92号","2021/8/18"
"高度管理医療機器販売業・貸与業","株式会社Ｌｉｎｃ’ｗｅｌｌ　浜松町営業所","東京都港区芝一丁目7番17号","芝ビル3号館ハイツ904",,"3港み生機器第189号","2022/2/7"
"高度管理医療機器販売業・貸与業","株式会社石川コンピュータ・センター","東京都港区芝一丁目10番11号","コスモ金杉橋ビル","03-5441-2560","5港み生機器第85号","2023/8/28"
"高度管理医療機器販売業・貸与業","株式会社ライフエスコート","東京都港区芝一丁目14番11号","芝明月ビル","03-5765-6960","30港み生機器第217号","2019/2/22"
"高度管理医療機器販売業・貸与業","キヤノンシステムアンドサポート株式会社　芝サービスセンター","東京都港区芝二丁目3番3号","芝2丁目大門ビル","03-5419-3712","30港み生機器第173号","2019/2/15"
"高度管理医療機器販売業・貸与業","ＢＴＬ　Ｊａｐａｎ株式会社　東京本社","東京都港区芝二丁目3番3号","JRE芝二丁目大門ビル4階","03-6273-1588","5港み生機器第167号","2024/1/19"
"高度管理医療機器販売業・貸与業","株式会社ヘルス・ウェーブ・ジャパン","東京都港区芝二丁目5番10号","サニーポート芝","03-5444-8521","31港み生機器第214号","2020/4/14"
"高度管理医療機器販売業・貸与業","株式会社テクサー","東京都港区芝二丁目5番19号","ITOビル5階","03-6803-4317","3港み生機器第61号","2021/6/22"
"高度管理医療機器販売業・貸与業","薬局桑山清心堂","東京都港区芝二丁目12番1号",,"03-3452-8721","4港み生機器第218号","2023/4/1"
"高度管理医療機器販売業・貸与業","株式会社ヤマダイ","東京都港区芝二丁目12番15号","芝・大一ビル","03-3453-8824","3港み生機器第162号","2021/12/4"
"高度管理医療機器販売業・貸与業","ライオン薬局","東京都港区芝二丁目18番3号","カレン芝公園1階","03-3451-6278","3港み生機器第95号","2021/8/8"
"高度管理医療機器販売業","株式会社コマースサポート","東京都港区芝二丁目28番8号","芝二丁目ビル","0800-888-5387","31港み生機器第85号","2019/8/2"
"高度管理医療機器販売業","株式会社シーンズ","東京都港区芝二丁目28番8号","芝二丁目ビル","03-5439-9810","31港み生機器第86号","2019/8/2"
"高度管理医療機器販売業・貸与業","ヘルスケアテクノロジーズ株式会社","東京都港区芝二丁目28番8号","芝二丁目ビル","03-5427-3088","4港み生機器第166号","2022/10/17"
"高度管理医療機器販売業・貸与業","株式会社エレクトロデザイン","東京都港区芝二丁目29番11号","高浦ビル","03-5419-3880","2港み生機器第72号","2020/9/17"
"高度管理医療機器販売業・貸与業","株式会社ベリタス","東京都港区芝二丁目29番14号","一星芝公園ビルディング4階","03-5232-3491","5港み生機器第193号","2024/2/14"
"高度管理医療機器販売業・貸与業","メイラ株式会社　メディカル事業部　東京営業所","東京都港区芝二丁目30番14号","阿部ビル5階","03-3868-0887","2港み生機器第51号","2020/9/1"
"高度管理医療機器販売業・貸与業","株式会社河本総合防災　東京支社","東京都港区芝三丁目1番15号","芝ボートビル","03-3456-8555","4港み生機器第33号","2022/6/4"
"高度管理医療機器販売業・貸与業","東ソー株式会社　バイオサイエンス事業部","東京都港区芝三丁目8番2号","芝公園ファーストビル","03-5427-5179","4港み生機器第319号","2023/4/1"
"高度管理医療機器販売業・貸与業","株式会社ｍｉｌ－ｋｉｎ","東京都港区芝三丁目15番14号","ヒキタカ芝公園ビル9F","03-6262-5333","3港み生機器第89号","2021/7/28"
"高度管理医療機器販売業","ＮＥＣネクサソリューションズ株式会社　本社","東京都港区芝三丁目23番1号","セレスティン芝三井ビル","03-5730-5122","5港み生機器第18号","2023/6/9"
"高度管理医療機器販売業・貸与業","サージカルアライアンス株式会社","東京都港区芝三丁目24番1号","駿河ビル","03-6435-2611","4港み生機器第94号","2022/8/20"
"高度管理医療機器販売業・貸与業","株式会社ウイングス","東京都港区芝三丁目40番4号","三田シティプラザ4階","03-3798-1760","3港み生機器第115号","2021/9/22"
"高度管理医療機器販売業","株式会社日旅産業","東京都港区芝三丁目43番15号","芝信三田ビル","03-3769-8268","2港み生機器第170号","2021/3/11"
"高度管理医療機器販売業・貸与業","株式会社メディカルスポーツエージェント　本社営業所","東京都港区芝四丁目3番2号","三田富洋ハイツ","03-6809-1735","3港み生機器第242号","2022/3/16"
"高度管理医療機器販売業・貸与業","株式会社テラオカ","東京都港区芝四丁目4番13号",,"03-3453-2111","2港み生機器第23号","2020/7/15"
"高度管理医療機器販売業・貸与業","アルマレーザーズ・ジャパン株式会社","東京都港区芝四丁目4番20号","グーゴルプレックスミレニアムビル","03-6665-8403","5港み生機器第163号","2023/12/28"
"高度管理医療機器販売業","アイン薬局　三田店","東京都港区芝四丁目5番8号","池藤ビル1階","03-6722-0971","3港み生機器第194号","2022/3/1"
"高度管理医療機器販売業・貸与業","株式会社アトックス","東京都港区芝四丁目11番3号","芝フロントビル","03-6758-9004","3港み生機器第200号","2022/2/7"
"高度管理医療機器販売業・貸与業","ＳＥＢＩＡ　ＪＡＰＡＮ株式会社","東京都港区芝四丁目13番2号","田町フロントビル","03-6722-6435","3港み生機器第210号","2022/3/1"
"高度管理医療機器販売業・貸与業","三田薬局","東京都港区芝四丁目14番1号","第2田町ビル","03-5443-3515","30港み生機器第147号","2018/12/17"
"高度管理医療機器販売業・貸与業","日本電気株式会社　医療ソリューション統括部","東京都港区芝四丁目14番1号","NEC第二田町ビル","03-3454-1111","5港み生機器第175号","2024/1/15"
"高度管理医療機器販売業・貸与業","一般社団法人日本ホスピタルアライアンス","東京都港区芝五丁目20番14号","三田鈴木ビル2階","03-6459-4580","3港み生機器第197号","2022/1/27"
"高度管理医療機器販売業","ココカラファイン　三田店","東京都港区芝五丁目25番11号","ヒューリック三田ビル1階","03-5439-6754","31港み生機器第190号","2020/3/20"
"高度管理医療機器販売業","ココカラファイン薬局　三田店","東京都港区芝五丁目25番11号","ヒューリック三田ビル1階","03-6435-1751","3港み生機器第103号","2021/9/9"
"高度管理医療機器販売業・貸与業","いるか田町薬局","東京都港区芝五丁目27番5号","山田ビル1階","03-6453-8207","5港み生機器第88号","2023/10/1"
"高度管理医療機器販売業・貸与業","有限会社アイ・クレッド","東京都港区芝五丁目27番14号","小川ビル","03-5232-1361","4港み生機器第340号","2023/4/1"
"高度管理医療機器販売業・貸与業","太陽商事株式会社","東京都港区芝五丁目30番9号","藤ビル9階","03-5440-6271","3港み生機器第3号","2021/4/28"
"高度管理医療機器販売業・貸与業","クオール薬局田町店","東京都港区芝五丁目31番5号","MEFULL田町1階","03-6435-3089","4港み生機器第236号","2023/1/23"
"高度管理医療機器販売業","ドラッグセイムス田町西口薬局","東京都港区芝五丁目32番12号","シャーメゾンステージ田町","03-6435-4071","2港み生機器第127号","2021/1/13"
"高度管理医療機器販売業・貸与業","株式会社オーグ","東京都港区芝五丁目32番12号","THE HUB 田町","03-5324-2584","3港み生機器第236号","2022/3/16"
"高度管理医療機器販売業・貸与業","三菱オートリース株式会社","東京都港区芝五丁目34番7号","田町センタービル","03-5476-0152","30港み生機器第182号","2019/2/13"
"高度管理医療機器販売業・貸与業","株式会社パシフィックネット","東京都港区芝五丁目34番7号","田町センタービル","03-5730-1441","3港み生機器第217号","2022/3/22"
"高度管理医療機器販売業・貸与業","ストローマン・ジャパン株式会社","東京都港区芝五丁目36番7号","三田ベルジュビル","03-6858-1188","2港み生機器第11号","2020/7/22"
"高度管理医療機器販売業・貸与業","イルミナ株式会社","東京都港区芝五丁目36番7号","三田ベルジュビル",,"30港み生機器第235号","2019/4/11"
"高度管理医療機器販売業・貸与業","株式会社モリタ","東京都港区芝五丁目36番7号","三田ベルジュビル19階","03-6400-3483","31港み生機器第6号","2019/4/16"
"高度管理医療機器販売業・貸与業","コニカミノルタジャパン株式会社　ヘルスケアカンパニー首都圏支社","東京都港区芝浦一丁目1番1号","浜松町ビルディング23階",,"3港み生機器第24号","2021/5/18"
"高度管理医療機器販売業・貸与業","シミック株式会社　浜松町ビルディング営業所","東京都港区芝浦一丁目1番1号","浜松町ビルディング","03-6779-8127","3港み生機器第66号","2021/7/10"
"高度管理医療機器販売業・貸与業","株式会社コスモトレードアンドサービス","東京都港区芝浦一丁目1番1号","浜松町ビル",,"3港み生機器第100号","2021/9/24"
"高度管理医療機器販売業・貸与業","コニカミノルタジャパン株式会社","東京都港区芝浦一丁目1番1号","浜松町ビルディング","03-6311-9091","3港み生機器第244号","2022/4/1"
"高度管理医療機器販売業・貸与業","シミックヘルスケア・インスティテュート株式会社","東京都港区芝浦一丁目1番1号","浜松町ビルディング","03-6779-8160","31港み生機器第165号","2020/1/1"
"高度管理医療機器販売業・貸与業","シミックソリューションズ株式会社","東京都港区芝浦一丁目1番1号","浜松町ビルディング","03-6779-8239","3港み生機器第219号","2022/3/7"
"高度管理医療機器販売業・貸与業","コニカミノルタＲＥＡＬＭ株式会社","東京都港区芝浦一丁目1番1号","浜松町ビルディング","03-6324-1020","3港み生機器第240号","2022/3/30"
"高度管理医療機器販売業・貸与業","株式会社ジェイ・エム・エス　東京本社","東京都港区芝浦一丁目2番1号","シーバンスN館","03-6404-0606","4港み生機器第62号","2022/6/13"
"高度管理医療機器販売業・貸与業","三井住友トラスト・パナソニックファイナンス株式会社　本社","東京都港区芝浦一丁目2番3号","シーバンスS館","03-6257-9000","31港み生機器第111号","2019/11/5"
"高度管理医療機器販売業・貸与業","シャープマーケティングジャパン株式会社　芝浦事業所","東京都港区芝浦一丁目2番3号","シーバンスS館","050-5213-6458","31港み生機器第174号","2020/1/30"
"高度管理医療機器販売業・貸与業","株式会社ＬＳＩメディエンス","東京都港区芝浦一丁目2番3号","シーバンスS館","03-6400-2115","4港み生機器第165号","2022/11/7"
"高度管理医療機器販売業・貸与業","エヌディーリース・システム株式会社","東京都港区芝浦一丁目2番3号","シーバンスS館","03-4212-6790","5港み生機器第117号","2023/10/23"
"高度管理医療機器販売業・貸与業","株式会社ＱＯＬＡ東京営業所","東京都港区芝浦一丁目6番41号","GLOBAL FRONT TOWER 1020号室",,"2港み生機器第153号","2021/2/19"
"高度管理医療機器販売業・貸与業","株式会社栗田マーケティング・アンド・マネジメント","東京都港区芝浦一丁目10番11号","伊岳ビル3階","03-5427-1037","4港み生機器第127号","2022/11/11"
"高度管理医療機器販売業・貸与業","株式会社雄大","東京都港区芝浦一丁目13番10号","第三東運ビル4階","03-3769-0084","4港み生機器第67号","2022/7/22"
"高度管理医療機器販売業・貸与業","クリメディス株式会社","東京都港区芝浦一丁目13番10号",,"03-6869-5830","31港み生機器第93号","2019/8/27"
"高度管理医療機器販売業","株式会社日精協サービスセンター","東京都港区芝浦一丁目15番13号",,"03-6722-0515","3港み生機器第74号","2021/7/7"
"高度管理医療機器販売業・貸与業","パーカッショネア・ジャパン株式会社","東京都港区芝浦二丁目3番31号","第二髙取ビル","03-6722-6785","31港み生機器第219号","2020/4/20"
"高度管理医療機器販売業","あすか製薬株式会社　信頼性保証本部","東京都港区芝浦二丁目5番1号",,"03-5484-8361","5港み生機器第110号","2023/9/21"
"高度管理医療機器販売業","あすか製薬株式会社　東京営業所","東京都港区芝浦二丁目5番1号",,"03-5484-8361","5港み生機器第111号","2023/9/21"
"高度管理医療機器販売業","あすか製薬株式会社　生産本部","東京都港区芝浦二丁目5番1号",,"03-5484-8361","5港み生機器第112号","2023/9/21"
"高度管理医療機器販売業・貸与業","株式会社淺沼組　東京本店","東京都港区芝浦二丁目15番6号","オアーゼ芝浦MJビル","03-5232-5820","30港み生機器第10号","2018/6/8"
"高度管理医療機器販売業・貸与業","芝浦薬局","東京都港区芝浦二丁目16番5号",,"03-3452-0687","4港み生機器第326号","2023/4/1"
"高度管理医療機器販売業・貸与業","ＩＢＡ　Ｊａｐａｎ株式会社","東京都港区芝浦二丁目17番13号","保坂興産ビル",,"5港み生機器第23号","2023/5/19"
"高度管理医療機器販売業","一般社団法人日本血液製剤機構","東京都港区芝浦三丁目1番1号","田町ステーションタワーN","03-6435-6500","2港み生機器第108号","2020/12/28"
"高度管理医療機器販売業・貸与業","株式会社シーユーシー","東京都港区芝浦三丁目1番1号","田町ステーションタワーN","03-5005-0808","5港み生機器第10号","2023/4/25"
"高度管理医療機器販売業・貸与業","透析研究開発株式会社","東京都港区芝浦三丁目1番1号","田町ステーションタワーN","03-5005-0808","5港み生機器第19号","2023/5/17"
"高度管理医療機器販売業・貸与業","アッヴィ合同会社","東京都港区芝浦三丁目1番21号","msb Tamachi 田町ステーションタワーS","03-4577-1111","30港み生機器第199号","2019/2/18"
"高度管理医療機器販売業・貸与業","ツヅノ薬局　田町店","東京都港区芝浦三丁目1番32号","なぎさテラス206","03-3452-5001","3港み生機器第22号","2021/5/6"
"高度管理医療機器販売業","アイシティ　田町なぎさテラス","東京都港区芝浦三丁目1番32号","なぎさテラス302-1","03-6271-9595","30港み生機器第114号","2018/10/3"
"高度管理医療機器販売業","田町駅前薬局","東京都港区芝浦三丁目1番32号","なぎさテラス108‐B","03-3457-7700","4港み生機器第212号","2022/12/1"
"高度管理医療機器販売業・貸与業","ブレインラボ株式会社","東京都港区芝浦三丁目2番16号","A-PLACE田町イースト","03-3769-6900","2港み生機器第190号","2021/6/1"
"高度管理医療機器販売業・貸与業","田町芝浦ファミリー薬局","東京都港区芝浦三丁目2番29号","神田ビル1階","03-6436-7903","31港み生機器第222号","2020/7/13"
"高度管理医療機器販売業・貸与業","株式会社エフエスユニマネジメント","東京都港区芝浦三丁目4番1号","グランパークタワー","03-5442-7611","2港み生機器第97号","2020/11/25"
"高度管理医療機器販売業・貸与業","リコージャパン株式会社　田町事業所","東京都港区芝浦三丁目4番1号","グランパークタワー","050-3817-1000","3港み生機器第125号","2021/9/25"
"高度管理医療機器販売業","ウエルシア薬局田町グランパーク店","東京都港区芝浦三丁目4番1号","グランパークB1F",,"4港み生機器第35号","2022/6/8"
"高度管理医療機器販売業・貸与業","バクスター株式会社　田町オフィス","東京都港区芝浦三丁目4番1号","グランパークタワー30階","03-4567-1323","5港み生機器第140号","2024/1/15"
"高度管理医療機器販売業・貸与業","バクスター・ジャパン株式会社　田町オフィス","東京都港区芝浦三丁目4番1号","グランパークタワー30階","03-4567-1400","5港み生機器第141号","2024/1/1"
"高度管理医療機器販売業","株式会社コンタクト・コンタクト","東京都港区芝浦三丁目6番3号","協栄ビル","03-5730-1500","30港み生機器第70号","2018/8/23"
"高度管理医療機器販売業・貸与業","エレクタ株式会社","東京都港区芝浦三丁目9番1号","芝浦ルネサイトタワー","03-6722-3800","3港み生機器第13号","2021/5/7"
"高度管理医療機器販売業・貸与業","戸田建設株式会社　東京支店","東京都港区芝浦三丁目9番1号","芝浦ルネサイトタワー","03-3535-1501","31港み生機器第130号","2019/11/12"
"高度管理医療機器販売業","ドラッグセイムス田町東口店","東京都港区芝浦三丁目13番2号","Yビル1階","03-3798-8021","31港み生機器第201号","2020/3/1"
"高度管理医療機器販売業・貸与業","サーモフィッシャーダイアグノスティックス株式会社","東京都港区芝浦四丁目2番8号","住友不動産三田ツインビル東館","03-6832-9444","2港み生機器第163号","2021/3/25"
"高度管理医療機器販売業・貸与業","サーモフィッシャーサイエンティフィック株式会社","東京都港区芝浦四丁目2番8号",,"0120-753-670","5港み生機器第75号","2023/8/15"
"高度管理医療機器販売業","アクト・サイエンス株式会社　東京営業部","東京都港区芝浦四丁目4番27号","三田ナショナルコート209","03-5484-6417","5港み生機器第20号","2023/6/14"
"高度管理医療機器販売業","トヨタメトロジック株式会社　レクサスサービスセンター東京","東京都港区芝浦四丁目8番3号","トヨタメトロジック","03-3453-2528","5港み生機器第228号","2024/4/1"
"高度管理医療機器販売業","株式会社ｉｎｔｅｒｖｉａ","東京都港区芝浦四丁目12番31号","VORT芝浦 Water Front 3F","03-6435-3121","30港み生機器第44号","2018/5/29"
"高度管理医療機器販売業・貸与業","アスクトランスポート株式会社","東京都港区芝浦四丁目12番38号","YTビル","03-3456-3671","第4501031400065号","2015/3/17"
"高度管理医療機器販売業・貸与業","ライフログテクノロジー株式会社","東京都港区芝浦四丁目12番44号","石川ビル5F","03-6271-9086","31港み生機器第107号","2019/9/26"
"高度管理医療機器販売業・貸与業","株式会社協栄メディカルサービス東京営業所","東京都港区芝浦四丁目16番23号","AQUACITY芝浦9階","03-3455-2400","3港み生機器第160号","2021/12/21"
"高度管理医療機器販売業・貸与業","株式会社コドニックス・ヘルスケア・ジャパン","東京都港区芝浦四丁目16番23号","AQUACITY芝浦9階","03-3453-2278","5港み生機器第100号","2023/9/25"
"高度管理医療機器販売業・貸与業","ワタキューセイモア株式会社　首都圏営業所","東京都港区芝浦四丁目16番36号","住友芝浦ビル9F","03-6435-4111","31港み生機器第144号","2019/12/5"
"高度管理医療機器販売業・貸与業","アジレント・テクノロジー株式会社　芝浦オフィス","東京都港区芝浦四丁目16番36号","住友芝浦ビル","03-5232-9970","4港み生機器第121号","2022/11/1"
"高度管理医療機器販売業","ミドリ安全株式会社　港支店・芝浦支店","東京都港区芝浦四丁目16番36号","住友芝浦ビル","03-3453-7831","30港み生機器第201号","2019/2/19"
"高度管理医療機器販売業・貸与業","日本調剤芝浦アイランド薬局","東京都港区芝浦四丁目20番4号","芝浦アイランドブルームホームズ1階","03-5730-2230","2港み生機器第123号","2021/1/1"
"高度管理医療機器販売業・貸与業","株式会社アンビ","東京都港区芝公園一丁目2番9号","HANAIビル6階","03-6868-8488","5港み生機器第207号","2024/2/29"
"高度管理医療機器販売業・貸与業","慶應義塾大学薬学部附属薬局","東京都港区芝公園一丁目5番30号",,"03-5400-2636","2港み生機器第15号","2020/5/13"
"高度管理医療機器販売業・貸与業","ドクターズ株式会社","東京都港区芝公園二丁目3番6号","PMO浜松町2　5階","03-6263-8871","3港み生機器第23号","2021/5/6"
"高度管理医療機器販売業・貸与業","株式会社ＲＡＹ　ＪＡＰＡＮ","東京都港区芝公園二丁目3番6号","PMO浜松町2　2階","03-5829-9935","5港み生機器第64号","2023/7/28"
"高度管理医療機器販売業","ＹＫアクロス株式会社","東京都港区芝公園二丁目4番1号","芝パークビルB館12F","03-5405-6111","5港み生機器第161号","2023/12/19"
"高度管理医療機器販売業・貸与業","株式会社全老健共済会","東京都港区芝公園二丁目6番15号","黒龍芝公園ビル6階","03-5425-6900","2港み生機器第137号","2021/2/25"
"高度管理医療機器販売業","山陽電子工業株式会社　東京本社","東京都港区芝公園二丁目9番1号","芝マツオビル","03-6435-7895","31港み生機器第150号","2019/11/27"
"高度管理医療機器販売業・貸与業","合同会社ＥＢＣ＆Ｍ","東京都港区芝公園二丁目9番1号","芝マツオビル4F","03-6435-3833","2港み生機器第104号","2020/11/26"
"高度管理医療機器販売業","ザ　メディカル　ディスペンサリー","東京都港区芝公園三丁目4番30号","32芝公園ビル1階","03-3434-5817","4港み生機器第16号","2022/5/17"
"高度管理医療機器販売業・貸与業","Ｈｕｂｍｅｄｉ合同会社　東京タワー支店","東京都港区芝公園四丁目4番7号","東京タワースタジオビルロビー階","03-6721-5450","31港み生機器第99号","2019/9/9"
"高度管理医療機器販売業・貸与業","Ｈ＆Ｆパートナーズ株式会社　東京営業所","東京都港区芝大門一丁目1番8号","芝公園ビル6階","03-3434-2421","5港み生機器第69号","2023/8/4"
"高度管理医療機器販売業・貸与業","株式会社ネクサス","東京都港区芝大門一丁目1番30号","芝NBFタワー4F","03-6432-4419","30港み生機器第186号","2019/4/21"
"高度管理医療機器販売業","株式会社日本ケアサプライ　営業企画部","東京都港区芝大門一丁目1番30号","芝 NBF タワー","03-5733-0532","3港み生機器第150号","2021/12/3"
"高度管理医療機器販売業","アイン薬局　芝大門店","東京都港区芝大門一丁目1番33号","三洋ビル1階","03-6452-8952","4港み生機器第69号","2022/8/5"
"高度管理医療機器販売業・貸与業","ピセ株式会社","東京都港区芝大門一丁目3番8号","VORT芝大門2　6階","03-5402-6930","31港み生機器第64号","2019/8/13"
"高度管理医療機器販売業","ナチュラルローソンクオール薬局　芝大門一丁目店","東京都港区芝大門一丁目6番3号",,"03-5425-1389","30港み生機器第93号","2018/10/1"
"高度管理医療機器販売業・貸与業","東洋工業株式会社","東京都港区芝大門一丁目7番7号","浜松町Kビル","03-5776-6861","3港み生機器第77号","2021/7/27"
"高度管理医療機器販売業・貸与業","株式会社三工社","東京都港区芝大門一丁目10番11号","芝大門センタービル","03-3433-2677","4港み生機器第90号","2022/8/9"
"高度管理医療機器販売業・貸与業","ＭＥＧＩＮ株式会社　東京営業所","東京都港区芝大門一丁目10番11号","芝大門センタービル10階","03-6880-9028","2港み生機器第185号","2021/3/29"
"高度管理医療機器販売業・貸与業","デルタ電子株式会社","東京都港区芝大門二丁目1番14号",,"03-5733-1188","4港み生機器第243号","2023/2/7"
"高度管理医療機器販売業・貸与業","ＡＴＥＣ　Ｊａｐａｎ株式会社","東京都港区芝大門二丁目1番16号","+SHIFT SHIBADAIMON",,"5港み生機器第213号","2024/3/18"
"高度管理医療機器販売業・貸与業","スギ薬局　芝大門店","東京都港区芝大門二丁目2番1号","ACN芝大門ビルディング1F","03-6435-7676","3港み生機器第86号","2021/7/29"
"高度管理医療機器販売業・貸与業","スギドラッグ　芝大門店","東京都港区芝大門二丁目2番1号","ACN芝大門ビルディング1F","03-6435-7676","3港み生機器第87号","2021/7/29"
"高度管理医療機器販売業・貸与業","株式会社リジョイスカンパニー","東京都港区芝大門二丁目3番6号","大門アーバニスト2階","03-3433-0102","3港み生機器第179号","2022/2/17"
"高度管理医療機器販売業・貸与業","Ｄｅｖｕｅ","東京都港区芝大門二丁目3番11号","芝清水ビル2階","03-6809-1280","3港み生機器第85号","2021/7/20"
"高度管理医療機器販売業・貸与業","清水薬局","東京都港区芝大門二丁目3番15号",,"03-3431-0877","5港み生機器第166号","2024/2/21"
"高度管理医療機器販売業","おだいじに薬局芝大門店","東京都港区芝大門二丁目5番1号","アルテビルディングB2階","03-5408-6623","4港み生機器第318号","2023/4/1"
"高度管理医療機器販売業・貸与業","株式会社ドクターネット","東京都港区芝大門二丁目5番5号","住友芝大門ビル","03-3459-5665","31港み生機器第80号","2019/8/7"
