ごみ名,分別区分,備考
廃油,区では収集できないもの,エンジンオイル等。植物性食用油を除く。台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
鉢,燃やさないごみ,素焼き・陶器製のもの。木製・プラスチック製は燃やすごみへ。どちらもいちばん長い部分が30cmを超えるものは、粗大ごみへ。
発泡スチロール・緩衝材,燃やすごみ,資源では出せません。
半紙,燃やすごみ,
美顔器,粗大ごみ,いちばん長い部分が30㎝を超えないものは、燃やさないごみへ。
布団,粗大ごみ,細かくしても燃やすごみでは出せません。
布団カバー,資源,※拠点回収で出すのが難しい場合は、広がらないようにしばって燃やすごみヘ。
布団干し,粗大ごみ,
浮き輪（レジャー用）,燃やすごみ,空気は抜いて出してください。救命用は粗大ごみへ
封筒,資源,窓付き封筒の場合は透明フィルムをはがして、紙袋に入れて出してください。
風呂のふた,粗大ごみ,
物干し竿,粗大ごみ,
物干し台,粗大ごみ,
米びつ,粗大ごみ,
便器,粗大ごみ,
保冷庫,家電リサイクル法対象品目,ただし、家庭で使用していた場合であっても、「業務用保冷庫」は、家電リサイクル法対象とはならないので、家電リサイクル受付センターでは取扱いができません。民間の業者に運搬処分を依頼してください。
保冷剤,燃やすごみ,解凍してから出してください。
補聴器,燃やさないごみ,
包装紙,資源,紙製のもの。紙袋に入れて出してください。
包丁,燃やさないごみ,ケース・新聞紙等に包んで「刃物」と表記。
防虫剤,燃やすごみ,衣装ダンス用等。
防鳥用ネット,燃やすごみ,解けないように束ねてください。（大きいものは粗大ごみ）
毛布,資源,※拠点回収で出すのが難しい場合は、粗大ごみヘ。※電気毛布は粗大ごみへ。
木くず・木の枝,燃やすごみ,長さ50cm以下、一本の直径10cm以内のもの。直径30cmを超えない大きさにひもで束ねてください。大きなものや多量に排出する場合は、粗大ごみとなり、有料です。
薬,燃やすごみ,家庭用の薬品。薬のシート、薬のチューブ、薬の容器を含む。金属製のものは、中身を使い切った上で、燃やさないごみへ。業務用の薬品は専門業者に依頼してください。
油,資源,植物性食用油。灯油や機械油は出せません。※拠点回収で出すのが難しい場合は、少量であれば、布や紙などに染み込ませた上で、燃やすごみへ。
冷蔵庫,家電リサイクル法対象品目,ただし、家庭で使用していた場合であっても、「業務用冷蔵庫・冷凍庫」は、家電リサイクル法対象とはならないので、家電リサイクル受付センターでは取扱いができません。民間の業者に運搬処分を依頼してください。
冷凍庫,家電リサイクル法対象品目,ただし、家庭で使用していた場合であっても、「業務用冷蔵庫・冷凍庫」は、家電リサイクル法対象とはならないので、家電リサイクル受付センターでは取扱いができません。民間の業者に運搬処分を依頼してください。
和紙,燃やすごみ,資源回収では出せません。
哺乳瓶,燃やさないごみ,ガラス製のもの。耐熱ガラスのため、資源では出せません。プラスチック製は燃やすごみへ。
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
,#N/A,
