"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"医療法人社団光雙会市川歯科医院","東京都港区港南二丁目16番7号","品川Vタワー201-1","03-3474-6480","2006/3/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.625103","139.740494"
"港南三丁目歯科医院","東京都港区港南三丁目5番24号","第二港南廣瀬ビル1階","03-3450-1523","2002/2/1","歯科、矯正歯科、小児歯科","35.632731","139.74737"
"医療法人社団光揚会　ワールドシティデンタルクリニック","東京都港区港南四丁目6番7号","302","03-5783-8011","2007/3/1","歯科","35.627605","139.750614"
"栢森歯科医院","東京都港区芝二丁目1番33号",,"03-3456-3500","1995/5/23","歯科","35.652993","139.750066"
"ヴィオラデンタルクリニック","東京都港区芝二丁目2番15号","芝ヒロセビル3階","03-3455-6435","2019/1/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.653023","139.753169"
"医療法人社団白輝会　テルデンタルオフィス","東京都港区芝二丁目5番7号","芝公園トーセイビル2F","03-3453-2898","2009/4/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.652927","139.751801"
"芝ポーラ歯科","東京都港区芝二丁目6番3号","三宅ビル1階","03-6453-6365","2023/6/2","歯科、矯正歯科、小児歯科、歯科口腔外科","35.652891","139.750698"
"医療法人社団厚済会　池田歯科医院","東京都港区芝二丁目10番1号","芝メディックビル1～3階","03-3454-6480","1996/9/1","歯科、歯科口腔外科、小児歯科、矯正歯科、小児矯正歯科","35.652081","139.751892"
"ユリ歯科医院","東京都港区芝二丁目13番4号","住友不動産芝ビル4号館1階","03-5441-6488","2013/11/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.651319","139.753637"
"青木歯科医院","東京都港区芝二丁目30番6号",,"03-3451-4590","1996/10/1","歯科","35.650251","139.752126"
"医療法人社団クリニカエボリューション　芝公園歯科","東京都港区芝三丁目15番5号","ジョイヴィレッジ芝公園5階","03-5418-4182","2009/10/1","歯科、矯正歯科、歯科口腔外科","35.653607","139.745364"
"上赤羽橋歯科医院","東京都港区芝三丁目15番7号","abeビル1階","03-5439-5647","2014/12/2","歯科、小児歯科、歯科口腔外科","35.653403","139.745456"
"菊竹歯科医院","東京都港区芝三丁目15番14号","ヒキタカ芝公園ビル1階、地下1階","03-6453-6367","2017/2/5","歯科、矯正歯科、小児歯科、歯科口腔外科","35.653395","139.745394"
"まつおか歯科医院","東京都港区芝三丁目17番1号","グリーンハウス2階","03-3453-0838","2014/4/1","歯科","35.652088","139.745255"
"エミルデンタルクリニック芝","東京都港区芝三丁目17番12号","第2Mビル1階","03-6275-1843","2020/12/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.651488","139.745227"
"ヨシエ歯科医院","東京都港区芝三丁目27番5号",,"03-3453-2867","1995/1/1","歯科、矯正歯科、歯科口腔外科","35.651601","139.746115"
"栗原歯科医院","東京都港区芝三丁目28番2号",,"03-3451-4238","1995/11/1","歯科、矯正歯科、小児歯科","35.651284","139.745317"
"医療法人社団啓風会　芝パークタワーデンタルクリニック","東京都港区芝三丁目34番2号","芝パークタワー店舗棟 203号","03-3452-2248","2006/9/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.650585","139.747925"
"医療法人社団キルシュブリューテ　芝ホワイト歯科","東京都港区芝三丁目42番9号","中野第一ビル1階","03-6453-6682","2021/6/23","歯科、矯正歯科、小児歯科、歯科口腔外科","35.650377","139.745945"
"岡田歯科医院","東京都港区芝四丁目4番5号","三田KMビル1階","03-3453-6931","1993/7/30","歯科","35.648402","139.749696"
"かたくら歯科医院","東京都港区芝四丁目7番6号","尾家ビル1階","03-3452-0418","2005/3/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.649041","139.752341"
"浅田歯科クリニック","東京都港区芝四丁目11番5号","MSビル1階","03-5730-6177","2001/7/23","歯科、小児歯科、歯科口腔外科","35.648225","139.751231"
"医療法人社団桜輝会　山の手デンタルオフィス田町三田","東京都港区芝四丁目12番1号","グランシャリオ1階","03-6400-6480","2017/10/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.647942","139.750086"
"歯科山の手","東京都港区芝四丁目13番4号","田町第16藤島ビル 1階","03-5418-5588","2020/3/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.647820","139.749924"
"三田クリニック歯科口腔外科","東京都港区芝四丁目16番1号","カテリーナ三田タワースイート1階","03-3457-7000","2013/6/1","歯科、矯正歯科、歯科口腔外科","35.647367","139.750097"
"Ｋ’ｓ歯科クリニック","東京都港区芝五丁目13番13号",,"03-5232-4618","2007/5/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.649031","139.744975"
"たなかデンタルオフィス","東京都港区芝五丁目13番16号","三田文銭堂ビル1階","03-5476-5770","2010/7/23","歯科、矯正歯科、小児歯科","35.649455","139.744985"
"ピュアリオ歯科・矯正歯科","東京都港区芝五丁目14番14号","ビジデンス三慶301号室","03-6435-0285","2019/5/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.648187","139.744865"
"サン歯科医院","東京都港区芝五丁目15番10号","高橋ビル1階","03-3454-3373","2009/4/1","歯科","35.648654","139.745225"
"ひろこデンタルクリニック","東京都港区芝五丁目16番1号","千代ビル4階","03-3453-9700","2004/10/1","歯科、矯正歯科、小児歯科","35.648719","139.745744"
"立花デンタルクリニック","東京都港区芝五丁目17番2号","エステート芝2階","03-5484-8846","1994/8/24","歯科、矯正歯科、小児歯科","35.648641","139.746981"
"釜我歯科","東京都港区芝五丁目25番9号","三田スクエアビル3階","03-3455-6484","2023/9/1","歯科、小児歯科、矯正歯科、歯科口腔外科","35.647314","139.744746"
"風見歯科医院","東京都港区芝五丁目26番30号","専売ビル1階","03-3769-5737","2013/10/1","歯科、歯科口腔外科","35.647588","139.745205"
"芝ガーデン歯科クリニック","東京都港区芝五丁目27番5号","ヒラタビル1階","03-3452-3760","2018/4/21","歯科、矯正歯科、小児歯科、歯科口腔外科","35.647102","139.746292"
"田町駅前歯科クリニック","東京都港区芝五丁目27番13号","第2小川ビル2階","03-3454-8585","2016/1/1","歯科、小児歯科、歯科口腔外科、矯正歯科","35.646961","139.746262"
"井瀬歯科","東京都港区芝五丁目29番18号","NBC三田ビル1階","03-3454-6608","2008/2/25","歯科、小児歯科、歯科口腔外科","35.645835","139.744508"
"ルフレ矯正歯科クリニック","東京都港区芝五丁目29番20号","クロスオフィス三田1階","03-6453-7748","2015/2/18","歯科、矯正歯科","35.646162","139.744549"
"オーキッド歯科・矯正歯科","東京都港区芝五丁目31番5号","MEFULL田町4階","03-6665-8456","2023/2/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.646742","139.746183"
"イガリ・鳥和歯科医院","東京都港区芝五丁目31番15号","センチュリー三田ビル9階","03-5232-9876","2023/12/1","歯科、歯科口腔外科、小児歯科","35.646682","139.746302"
"医療法人社団皓和会　とがし歯科医院","東京都港区芝五丁目31番16号","YCCビル2階","03-5443-6755","1996/11/22","歯科口腔外科、矯正歯科、歯科","35.646614","139.746223"
"医療法人社団長坂歯科","東京都港区芝五丁目34番6号","新田町ビル2階","03-3455-2220","2023/10/1","歯科、小児歯科、歯科口腔外科","35.645971","139.746722"
"医療法人社団清慈会　三田パーク歯科クリニック","東京都港区芝五丁目36番7号","三田ベルジュビル2階","03-6435-3940","2013/2/21","歯科、矯正歯科、小児歯科、歯科口腔外科","35.644815","139.744846"
"医療法人社団大樹　浜松町ビル大矢歯科","東京都港区芝浦一丁目1番1号","浜松町ビル4階","03-3457-0118","2007/5/1","歯科","35.652259","139.757302"
"医療法人社団将森会さくらデンタルクリニック","東京都港区芝浦一丁目2番1号","シーバンスN館1階","03-5484-8148","2006/6/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.649921","139.756897"
"みどり矯正歯科","東京都港区芝浦一丁目11番4号","4階","03-5442-1181","2015/9/25","矯正歯科","35.647494","139.754157"
"田町芝浦おだなか歯科クリニック","東京都港区芝浦一丁目14番7号","ソレア1階101号室","03-6665-8681","2023/6/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.646934","139.752831"
"クラハデンタルオフィス田町","東京都港区芝浦二丁目14番19号","モナークマンション田町1階","03-6275-1128","2023/10/3","歯科、矯正歯科、小児歯科、歯科口腔外科","35.644253","139.751900"
"プルチーノ歯科・矯正歯科東京","東京都港区芝浦三丁目1番1号","msb・Tamachi田町ステーションタワーN2階","03-6453-8284","2021/7/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.645885","139.749618"
"医療法人社団　世航会　芝浦デンタルオフィス東京","東京都港区芝浦三丁目1番32号","なぎさテラス506号","03-6459-4818","2018/4/2","歯科、矯正歯科、小児歯科、歯科口腔外科","35.644924","139.748367"
"田町デンタルオフィス","東京都港区芝浦三丁目4番1号","グランパークプラザ棟1階","03-6435-4182","2022/8/1","歯科、矯正歯科、小児歯科","35.643577","139.745802"
"医療法人社団　桔梗会　堤歯科","東京都港区芝浦三丁目6番7号","板硝子会館2階","03-3456-6731","2016/3/1","歯科","35.643295","139.748418"
"医療法人社団優誠秀会　田町芝浦歯科","東京都港区芝浦三丁目7番13号","エスパース田町アネックス201号室","03-6435-4286","2020/1/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.643733","139.749416"
"シバウラ歯科","東京都港区芝浦三丁目11番2号",,"03-3454-5525","1990/4/2","歯科","35.643076","139.750179"
"芝浦桂歯科診療所","東京都港区芝浦三丁目11番8号","ミナトヤビル2階","03-5476-4618","2008/7/25","歯科、矯正歯科、歯科口腔外科","35.642817","139.749816"
"田町東口矯正歯科","東京都港区芝浦三丁目12番1号","マキノビル6階","03-6665-8743","2022/10/17","矯正歯科","35.642856","139.749376"
"田町スクエア歯科・矯正歯科","東京都港区芝浦三丁目13番11号","Medical Square 芝浦 3階","03-6665-8105","2023/3/6","歯科、歯科口腔外科、小児歯科、矯正歯科","35.642784","139.748431"
"ほんだ歯科クリニック田町","東京都港区芝浦三丁目13番16号","シーダ芝浦ビル1階","03-6722-6480","2020/3/2","歯科、矯正歯科、小児歯科、口腔外科","35.643009","139.748566"
"プラナス矯正歯科","東京都港区芝浦三丁目16番13号","ギャラリー田町1階",,"2015/3/21","矯正歯科","35.641706","139.748768"
"医療法人社団正基会　かたおか歯科医院","東京都港区芝浦三丁目16番20号","芝浦前川ビル1階","03-3798-1489","2010/5/1","歯科、小児歯科","35.641997","139.749516"
"岡崎歯科医院","東京都港区芝浦三丁目20番4号","第6協栄ビル2階","03-3769-7111","1991/3/19","歯科","35.642154","139.74685"
"北沢歯科クリニック","東京都港区芝浦四丁目9番18号","グランドパレス田町1階","03-5442-2337","1994/2/18","歯科","35.639745","139.747121"
"井手歯科医院","東京都港区芝浦四丁目9番25号","芝浦スクエアビル3階","03-3452-2017","2018/2/1","歯科、小児歯科","35.639962","139.745969"
"医療法人社団仁心会　野尻歯科","東京都港区芝浦四丁目11番12号",,"03-3454-3170","2004/4/29","歯科、矯正歯科、小児歯科","35.641391","139.747754"
"中川歯科クリニック","東京都港区芝浦四丁目12番44号","芝浦TMビル3階","03-3455-8218","1994/1/20","歯科、矯正歯科、小児歯科、歯科口腔外科","35.641279","139.748219"
"医療法人優祉会　芝浦アイランド歯科","東京都港区芝浦四丁目22番2号","芝浦アイランドエアテラス2階","03-5730-0418","2011/3/1","歯科、矯正歯科、小児歯科","35.641234","139.752663"
"いちき歯科医院","東京都港区芝公園二丁目11番17号","芝公園下山ビル1階","03-5777-2199","2001/10/24","歯科、小児歯科、歯科口腔外科","35.653929","139.752071"
"東京クリニックデンタルオフィス","東京都港区芝公園三丁目4番30号","32芝公園ビル3階","03-3431-4225","2011/7/1","歯科","35.658906","139.746403"
"萩原歯科医院","東京都港区芝大門一丁目3番5号","ゲーブルビル3階","03-3432-5870","1981/4/11","歯科","35.659733","139.754807"
"矢島歯科診療所","東京都港区芝大門一丁目4番4号","ノア芝大門ビル203","03-3431-1457","2002/11/26","歯科","35.658632","139.754587"
"あいがせ歯科","東京都港区芝大門一丁目4番9号","大門ビル2階","03-3431-8666","1999/4/23","歯科、矯正歯科、歯科口腔外科","35.657909","139.754527"
"医療法人社団北芝会　加藤歯科","東京都港区芝大門一丁目10番5号","シバパークビル2階","03-3437-6252","2007/6/15","歯科、矯正歯科、小児歯科、歯科口腔外科","35.658919","139.753289"
"医療法人社団沙陽会　鈴木デンタルクリニック","東京都港区芝大門一丁目11番4号","小松ビル1階","03-3431-6488","2011/4/1","歯科","35.658297","139.753169"
"一村歯科","東京都港区芝大門一丁目15番7号","TK芝大門ビル5階","03-6453-0866","2019/8/1","歯科","35.657051","139.754088"
"大門ベル歯科","東京都港区芝大門一丁目16番1号","穂積ビル2階","03-3431-3310","2023/10/9","歯科、矯正歯科","35.657532","139.754364"
"長尾歯科クリニック","東京都港区芝大門二丁目1番13号","芝大友ビル2階","03-3431-0231","1999/2/16","歯科、矯正歯科、小児歯科、歯科口腔外科","35.655898","139.75298"
"医療法人社団弘宣会　芝大門歯科クリニック","東京都港区芝大門二丁目1番17号","朝川ビル1階","03-3578-8880","1991/10/23","歯科","35.656368","139.75301"
"牧野歯科医院","東京都港区芝大門二丁目5番1号","信栄アルテビル1階","03-3578-9700","1989/11/22","歯科","35.655528","139.754057"
"吹野歯科クリニック","東京都港区芝大門二丁目8番15号","フリーディオ芝公園アネックス1階","03-3434-8021","2000/4/22","歯科、矯正歯科、小児歯科","35.655582","139.75293"
"医療法人社団ＳＤＣ　Ｗｅｌｌ－ｂｅｉｎｇ　Ｄｅｎｔａｌ　Ｃｌｉｎｉｃ","東京都港区白金一丁目2番2号","白金ザ・スカイ西棟2階","03-3445-2221","2023/2/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.646231","139.735073"
"プライベートデンタルサロン　Ｆｕｋｕｄａ　ＭＫＭ","東京都港区白金一丁目12番17号","エクセレントシティ白金高輪101","03-6809-4402","2022/5/20","歯科","35.645418","139.734427"
"あき歯科＆矯正歯科　白金高輪","東京都港区白金一丁目13番12号","ミュール白金1階","03-6450-4111","2023/2/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.645229","139.734198"
"白金高輪リューズ歯科","東京都港区白金一丁目17番2号","白金タワーテラス棟105","050-5576-9749","2019/3/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.644411","139.733478"
"神津デンタルオフィス","東京都港区白金一丁目25番11号","プレイス白金ブライトレジデンス1階","03-5448-9388","2005/12/20","歯科、矯正歯科、小児歯科、歯科口腔外科","35.644362","139.732511"
"うえたに歯科医院","東京都港区白金一丁目25番31号","レジデンス白金201","03-5798-4182","2000/1/21","歯科、矯正歯科、小児歯科、歯科口腔外科","35.644431","139.731574"
"医療法人美生会　赤桐美生子歯科医院","東京都港区白金一丁目25番32号",,"03-3445-0518","2001/5/24","歯科、矯正歯科、小児歯科、歯科口腔外科","35.644567","139.731604"
"白金高輪矯正歯科","東京都港区白金一丁目29番13号","白金ヴィレッジ2階","03-6277-2218","2019/8/1","矯正歯科、歯科、小児歯科、歯科口腔外科","35.643222","139.733649"
"白金ＳＡＩＫＩ　ＤＥＮＴＡＬ　ＣＬＩＮＩＣ","東京都港区白金二丁目3番17号","ホワイトヒルズ白金1階","03-6450-3118","2021/9/18","歯科、矯正歯科、歯科口腔外科","35.642105","139.733370"
"任三郎歯科医院","東京都港区白金三丁目2番6号","AKビル1階","03-3473-0118","2021/6/1","歯科、小児歯科、矯正歯科、歯科口腔外科","35.646667","139.731484"
"白金歯科医院","東京都港区白金三丁目9番6号","登坂ビル2階","03-3444-4503","1979/1/1","歯科","35.646092","139.731414"
"白金山内歯科室","東京都港区白金三丁目10番6号","コスモ白金シティフォルム103","03-3444-0755","2006/12/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.645388","139.731314"
"加藤歯科医院","東京都港区白金三丁目15番16号","ペガサス白金1階","03-3448-9088","1987/10/28","歯科","35.644978","139.728101"
"マーサ白金オーラルクリニック","東京都港区白金三丁目19番5号",,"03-3446-8355","2010/3/14","歯科、矯正歯科、小児歯科、歯科口腔外科","35.644441","139.730226"
"医療法人社団泉生会　都ホテル東京宮本歯科クリニック","東京都港区白金台一丁目1番50号","都ホテル東京地下1階","03-5447-5533","2003/9/1","歯科、小児歯科、矯正歯科","35.639304","139.730649"
"ＮＡＫＡＮＯ　ＤＥＮＴＡＬ","東京都港区白金台二丁目5番12号","サンビューハイツ高輪台102号室","03-3446-1117","2013/6/1","歯科、小児歯科、歯科口腔外科","35.635892","139.729418"
"かがみ歯科医院","東京都港区白金台二丁目6番12号","青山ビル1階","03-3280-2626","2006/1/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.635437","139.730993"
"富沢歯科医院","東京都港区白金台二丁目11番8号","永昌高輪台ビル4階","03-5447-5711","2023/6/1","歯科、矯正歯科、小児歯科","35.632516","139.730637"
"Ｈａｒｕｋａ　Ｄｅｎｔａｌ　Ｃｌｉｎｉｃ","東京都港区白金台二丁目26番7号","白金台ビル2階","03-6721-7810","2019/6/10","歯科、矯正歯科、歯科口腔外科","35.632098","139.730411"
"ひらい歯科","東京都港区白金台三丁目14番4号","LBビル2階","03-3446-0358","1999/9/3","歯科、小児歯科","35.637209","139.725188"
"アローズデンタルオフィス","東京都港区白金台三丁目15番2号","マスレンビル2階","03-5422-8114","2018/6/4","歯科、矯正歯科、小児歯科、歯科口腔外科","35.636660","139.724079"
"カズデンタルクリニック","東京都港区白金台三丁目15番21号","谷島ビル1階","03-6450-3358","2010/6/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.636258","139.724197"
"藤岡デンタルクリニック","東京都港区白金台三丁目16番8号","クレール白金台2階B室","03-5421-1235","2002/4/25","歯科、矯正歯科、小児歯科","35.636183","139.723342"
"山内歯科医院","東京都港区白金台三丁目16番10号","白金台グロリアハイツ1階","03-3441-6377","2022/4/21","歯科、矯正歯科、小児歯科","35.636510","139.723492"
"自然園前歯科","東京都港区白金台三丁目17番5号","白金台間中ビル 2階","03-5798-4618","1999/9/20","歯科、矯正歯科、小児歯科、歯科口腔外科","35.635879","139.721986"
"白金台にじいろ歯科クリニック","東京都港区白金台四丁目2番7号","Vert Shirokanedai 1階","03-6450-3086","2021/9/28","歯科、矯正歯科、小児歯科、歯科口腔外科","35.639359","139.728111"
"グランティース白金台歯科","東京都港区白金台四丁目2番11号","白金台クレスト1階","03-5798-2098","2021/11/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.639155","139.727982"
"くぼ歯科白金台","東京都港区白金台四丁目7番4号","STビル2階","03-3441-1975","2004/8/25","歯科、矯正歯科、小児歯科、歯科口腔外科","35.638095","139.726146"
"白金台矯正歯科クリニック","東京都港区白金台四丁目8番9号","大塚ビル2階","03-5475-6400","2004/9/1","矯正歯科","35.637419","139.724607"
"医療法人社団廣菜会　白金台駅前歯科クリニック","東京都港区白金台四丁目8番13号","メゾン・ド・ヴィレ白金台102号室・103号室","03-6721-7259","2020/10/7","歯科、矯正歯科、小児歯科、歯科口腔外科","35.637307","139.724269"
"医療法人社団世航会　白金デンタルオフィス","東京都港区白金台五丁目2番25号","白金ビル2階","03-3445-9699","2008/10/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.642772","139.720858"
"ルポール　デンタルクリニック","東京都港区白金台五丁目13番31号","白金台MHテラス103号室","03-6455-7310","2023/10/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.637925","139.722218"
"デンタル増田プラチナ通りクリニック","東京都港区白金台五丁目15番2号","1階","03-6277-3050","2011/9/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.638085","139.723099"
"白金台パール矯正歯科こども歯科","東京都港区白金台五丁目18番17号","ゴールドフォレストビル1B","03-3445-1182","2018/9/25","歯科、矯正歯科、小児歯科","35.637154","139.723352"
"鈴木歯科医院","東京都港区新橋一丁目8番4号","丸忠ビル4階A号","03-3569-3118","2003/12/15","歯科、小児歯科、歯科口腔外科","35.666978","139.760314"
"いがらしデンタルクリニック","東京都港区新橋一丁目9番1号","北川ビル3階","03-3572-6254","1995/9/25","歯科","35.667380","139.760077"
"医療法人社団さくら会　ＭＭデンタルクリニック東京","東京都港区新橋一丁目15番5号","8階","03-6811-2535","2018/3/1","歯科、歯科口腔外科、矯正歯科、小児歯科","35.667985","139.75747"
"長井歯科診療所","東京都港区新橋一丁目15番10号","長井ビル2，3階","03-3591-3688","1996/9/24","歯科","35.668160","139.757212"
"レンガ通り歯科医院","東京都港区新橋一丁目16番8号","新橋トミタビルディング2号館2階","03-3593-6800","2000/3/27","歯科、矯正歯科、歯科口腔外科","35.668209","139.756653"
"ヘルシーライフデンタルクリニック","東京都港区新橋一丁目17番2号","ダイワロイネットホテル新橋地下1階","03-6206-6240","2019/8/1","歯科、歯科口腔外科、小児歯科、矯正歯科","35.668479","139.757140"
"航空会館　田中歯科","東京都港区新橋一丁目18番1号","航空会館6階","03-3501-8010","2008/12/25","歯科、矯正歯科、歯科口腔外科","35.668908","139.755345"
"天野歯科医院","東京都港区新橋一丁目18番13号","新協和ビル1階","03-3501-0883","2001/4/1","歯科","35.668377","139.756241"
"天野恭子歯科医院","東京都港区新橋一丁目18番13号","協和ビル5階","03-3501-0883","1979/12/10","歯科、小児歯科","35.668377","139.756241"
"水谷歯科医院","東京都港区新橋一丁目18番14号","新橋MMビル2階","03-3593-3011","2004/4/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.668438","139.756004"
"かとうかずこデンタルオフィス","東京都港区新橋一丁目18番19号","キムラヤ大塚ビル2階","03-3502-5952","1995/8/25","歯科","35.668612","139.755365"
"新橋ＤＤデンタルクリニック","東京都港区新橋二丁目2番5号","丸山ビル 4階","03-3528-8335","2024/3/1","歯科、矯正歯科、小児歯科","35.667682","139.755215"
"江里口歯科医院","東京都港区新橋二丁目10番3号","ブラザービル2階","03-3591-9691","1981/5/11","歯科","35.667279","139.755888"
"未来歯科","東京都港区新橋二丁目10番5号","末吉ビル2階","03-6273-3678","2015/4/24","歯科、矯正歯科、小児歯科、歯科口腔外科","35.666967","139.755649"
"宮﨑歯科医院","東京都港区新橋二丁目12番1号","ランディック第3新橋ビル4階","03-3580-8110","2019/1/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.667620","139.754836"
"Ｒビル歯科","東京都港区新橋二丁目14番4号","Rビル4階","03-5512-9888","2004/7/26","歯科、歯科口腔外科","35.666627","139.755535"
"医療法人社団Ｅ・Ａ・Ｄ会　かない歯科","東京都港区新橋二丁目15番17号","タマキビル2階","03-3591-3821","2003/9/1","歯科、小児歯科、歯科口腔外科","35.666700","139.755964"
"医療法人社団大東会　ニュー新橋歯科医院","東京都港区新橋二丁目16番1号","ニュー新橋ビル3階","03-3501-3015","1971/6/10","歯科","35.666423","139.757358"
"銀座せぐち歯科医院","東京都港区新橋二丁目19番2号","リプロ新橋4F南","03-6228-5414","2017/7/1","歯科、矯正歯科、小児歯科","35.666802","139.759508"
"横峯歯科医院","東京都港区新橋二丁目19番6号","新和ビル5階","03-3571-8093","1993/3/25","歯科","35.666738","139.759638"
"新橋駅前ビル歯科","東京都港区新橋二丁目20番15号","新橋駅前ビル1号館3階","03-3573-2151","2007/5/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.666214","139.759538"
"医療法人社団晃誠会　富田歯科医院","東京都港区新橋三丁目1番10号","石井ビル2階","03-6657-8772","2020/6/1","歯科、小児歯科、歯科口腔外科","35.666312","139.754257"
"亀田デンタルクリニック","東京都港区新橋三丁目2番6号","杉本ビル2階","03-3591-1848","1995/10/23","歯科","35.666147","139.754517"
"テヅカ歯科クリニック","東京都港区新橋三丁目4番8号","昌栄ビル2階","03-3503-1182","1999/4/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.665486","139.754367"
"大熊歯科医院","東京都港区新橋三丁目9番9号","喜三郎ビル2階","03-5472-5855","1996/2/14","歯科","35.665714","139.755410"
"新橋デンタルクリニック","東京都港区新橋三丁目11番9号","烏森通りビル4階","03-3436-6480","2022/4/1","歯科口腔外科、小児歯科、矯正歯科、歯科","35.666281","139.755725"
"小崎歯科クリニック","東京都港区新橋三丁目13番5号","新橋カシマビル5階","03-3435-1363","1996/11/20","歯科","35.665665","139.756313"
"医療法人社団マハロ会　新橋赤レンガ通り歯科クリニック","東京都港区新橋四丁目5番15号","新橋新和ビル2階","03-3436-4618","2011/12/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.665186","139.755201"
"新橋歯科医科診療所　プラザ美容外科","東京都港区新橋四丁目9番1号","新橋プラザビル2階","03-3437-3880","2022/4/1","歯科、矯正歯科、小児歯科、内科、美容外科","35.664269","139.756554"
"東京新橋歯科口腔外科","東京都港区新橋四丁目26番4号","愛場新橋タワー6階","03-6403-1441","2023/4/1","歯科口腔外科","35.664085","139.755525"
"吉樹デンタルクリニック","東京都港区新橋四丁目27番4号","新橋吉樹ビル1階","03-3434-6480","2011/10/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.664235","139.755006"
"林歯科","東京都港区新橋五丁目7番14号","ひたちやビル2階","03-3433-7018","2016/10/1","歯科、小児歯科、歯科口腔外科","35.663955","139.754597"
"医療法人　叔美会　井上歯科ＣＬＩＮＩＣ＆ＷＯＲＫＳ　ＴＯＫＹＯ","東京都港区新橋五丁目8番2号",,"03-3432-0648","2017/3/30","歯科、矯正歯科、小児歯科、歯科口腔外科","35.66378","139.755171"
"ＡＫｕＡ　Ｄｅｎｔａｌ　Ｃｌｉｎｉｃ","東京都港区新橋五丁目8番3号","代市ビル6階","03-5843-7994","2019/5/24","歯科、歯科口腔外科、小児歯科、矯正歯科","35.663708","139.755345"
"医療法人歯鏡会　ヤブキデンタルオフィス","東京都港区新橋五丁目12番1号","露月町ビル2階","03-3433-7879","1994/1/25","歯科","35.663169","139.756753"
"Ｔｏｍｏデンタルクリニック","東京都港区新橋五丁目13番10号","VORT新橋NEX2階","03-6435-6464","2017/5/15","歯科、矯正歯科、小児歯科、歯科口腔外科","35.662786","139.756681"
"武井歯科医院","東京都港区新橋五丁目23番7号","三栄ビル1階","03-5777-6477","2003/2/21","歯科","35.663406","139.752856"
"早川ホワイト歯科","東京都港区新橋五丁目25番5号",,"03-3459-8306","1991/6/27","歯科","35.663057","139.753811"
"塩釜歯科","東京都港区新橋五丁目27番3号","新橋五光ビル1階","03-3431-8214","2006/3/22","歯科","35.662773","139.754877"
"医療法人社団再生会　ケイデンタルオフィス","東京都港区新橋六丁目5番3号","山田屋ビル1階","03-3435-1117","2004/3/1","歯科、矯正歯科、小児歯科","35.662175","139.75461"
"甲田歯科医院","東京都港区新橋六丁目12番5号","TRCビル1階","03-3431-4429","2013/7/24","歯科","35.661488","139.754327"
"オーラルデントクリニック","東京都港区新橋六丁目17番17号","御成門センタービル1階","03-6432-4540","2021/10/4","歯科、歯科口腔外科、矯正歯科、小児歯科","35.661398","139.751912"
"Ｌｉｏｎ　Ｈｅａｒｔ　Ｄｅｎｔａｌ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｃｌｉｎｉｃ","東京都港区新橋六丁目19番19号","アセンド新橋1階","03-3459-4976","2023/2/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.660726","139.753048"
"医療法人社団浩整会　お台場山本歯科医院","東京都港区台場一丁目5番7号","トミンハイム台場五番街106号室","03-5531-3093","2010/10/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.630205","139.777948"
"台場フロンティアデンタルクリニック","東京都港区台場二丁目3番2号","台場フロンティアビル2階","03-5500-3531","2015/11/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.628672","139.777768"
"白金高輪デンタルクリニック","東京都港区高輪一丁目3番14号","田村高輪ビル4階・5階","03-5789-3600","2023/10/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.643768","139.735619"
