"施設の名称","所在地","電話番号","FAX番号","メールアドレス","施設（出入口）の利用可能時間","休業日","備考","施設（出入口）表示有無","施設（出入口）タイトル","出入口の段差","出入口のスロープ","施設出入口表示","施設出入口タイトル","出入口の幅（cm）_1","扉の開閉方式","トイレ1（内部）表示有無","トイレ1（内部）タイトル","車椅子対応_1","オストメイト対応_1","手すり_1","おむつ交換台_1","大人用ベッド_1","音声・音響案内_1","トイレ1（周辺）表示有無","トイレ1（周辺）タイトル","視覚障害者用誘導用ブロック_1","出入口の幅（cm）_2","出入口扉の開閉形式_1","内部の幅／奥行（cm）_1","ベビーチェア_1","背もたれ_1","トイレ2（内部）表示有無","トイレ2（内部）タイトル","車椅子対応_2","オストメイト対応_2","手すり_2","おむつ交換台_2","大人用ベッド_2","音声・音響案内_2","トイレ2（周辺）表示有無","トイレ2（周辺）タイトル","視覚障害者用誘導用ブロック_2","出入口の幅（cm）_3","出入口扉の開閉形式_2","内部の幅／奥行（cm）_2","ベビーチェア_2","背もたれ_2","トイレ3（内部）表示有無","トイレ3（内部）タイトル","車椅子対応_3","オストメイト対応_3","手すり_3","おむつ交換台_3","大人用ベッド_3","音声・音響案内_3","トイレ3（周辺）表示有無","トイレ3（周辺）タイトル","視覚障害者用誘導用ブロック_3","出入口の幅（cm）_4","出入口扉の開閉形式_3","内部の幅／奥行（cm）_3","ベビーチェア_3","背もたれ_3","エレベーター表示有無","エレベータータイトル","エレベーター","点字表記","車椅子使用者対応","音声・音響案内_4","出入口の幅（cm）_5","内部の幅／奥行（cm）_4","鏡","手すり_4","視覚障害者誘導用ブロック_1","エスカレーター表示有無","エスカレータータイトル","エスカレーター","音声・音響案内_5","階段・通路表示有無","階段・通路タイトル","階段なし","スロープ","手すり_5","視覚障害者誘導用ブロック_2","障害者用駐車区画表示有無","障害者用駐車区画タイトル","障害者用駐車区画","障害者用駐車区画の台数","一般駐車区画","子ども関連1表示有無","子ども関連1タイトル","授乳スペース","おむつ交換台_4","乳幼児用ベッド","子ども関連2表示有無","子ども関連2タイトル","ベビーカー貸出","キッズスペース","流し台","湯沸かし器","障害特性表示有無","障害特性タイトル","車椅子対応座席・設備","案内表示","音声案内設備","字幕・文字情報提供設備","建物内の視覚障害者誘導用ブロック","筆談対応","休憩用ベンチ","その他表示有無","その他タイトル","AED","経度","緯度","分類"
"大和児童館","中野区大和町2-8-12","03-3330-3261","03-3330-3277","yamatojidoukan@city.tokyo-nakano.lg.jp","火曜～金曜日午前10時～午後6時　土曜日と学校休業日午前9時～午後5時","日曜日・月曜日・祝日・年末年始","","有","","有","無","有","","135","自動ドア","有","","無","無","有","無","無","無","有","","有","70","手動（開き戸）","50×115","有","無","有","","無","無","有","有","無","無","有","","有","出入り口幅　70㎝","手動（開き戸）","70×70","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","有","","","無","-","無","有","","有","有","無","有","","無","有","有","無","有","","無","無","無","無","有","無","無","有","","有","139.651663610914","35.7159471609292","教育機関"
"啓明学童クラブ","中野区大和町2-8-12　大和児童館内","03-3330-3261","03-3330-3277","","月～金曜日10時～19時　土曜・学校休業日8時～19時","日曜・祝日・年末年始","","有","","有","無","有","","180","手動（引き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","有","無","無","有","","無","139.651663610914","35.7159471609292","教育機関"
"大和公園","中野区大和町2-8","","","","","","","有","","有","無","有","","120","-","有","","有","有","有","有","無","無","有","","無","90","手動（引き戸）","201/224","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","有","無","無","","","無","-","無","有","","無","有","有","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.651741696614","35.7156259932961","文化・レクリエーション・レジャー施設"
"野方消防署","中野区丸山2-21-1","03-3330-0119","03-3336-5054","nogata@tfd.metro.tokyo.jp","24時間","なし（無休）","・建物入口の歩道とスロープの間に約３ｃｍの段差があります。
・AED、車椅子は1階入口に設置しています。","有","","有","有","有","","145","自動ドア","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","220/220","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","無","90","140/135","有","有","無","","","無","-","有","","有","無","有","無","","","無","0","無","","","無","無","無","","","無","無","無","無","","","無","有","無","無","無","無","無","有","","有","139.65209501524","35.7233713810708","その他公共施設"
"啓明小学校","中野区大和町1-18-1","03-3330-2325","03-3330-2326","nk-keimei-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","135","手動（開き戸）","有","","無","無","有","無","無","無","有","","無","80","手動（引き戸）","182/84","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.652394739345","35.7134996259678","教育機関"
"啓明公園","中野区大和町1-21","","","","","","","有","","無","有","有","","120","-","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","210/240","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.652993862626","35.7117335375463","文化・レクリエーション・レジャー施設"
"野方区民ホール","中野区野方5-3-1地下2階","03-3310-3861","03-3310-3860","nicesacademia@nakanozero.jp","9：00～22：00","毎月第2月曜日（休日にあたるときはその翌日）、12月29日から1月3日まで","AEDは１階の区民活動センター内にあり。
野方区民ホール入口は階段となっているため、車いすの方等はエレベーターにて地下２階までに降りる必要あり。","有","","有","無","有","","245","手動（開き戸）","有","","有","有","有","有","無","無","有","","無","90","手動（引き戸）","200/195","無","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","160/150","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","-","有","","無","有","無","","","無","無","無","無","有","","有","有","無","無","有","有","無","有","","有","139.653372524712","35.7183322268633","文化・レクリエーション・レジャー施設"
"野方地域事務所","中野区野方5-3-1","03-3330-4201","","","午前8時半～午後5時","土曜日、日曜日、祝日及び振替休日、年末年始(12月29日～1月3日)","","有","","無","無","有","","170","自動ドア","有","","有","有","有","無","無","無","有","","無","90","手動（引き戸）","160/220","無","有","有","","有","有","有","有","無","無","有","","無","105","手動（引き戸）","196/200","有","有","有","","有","有","有","有","無","無","有","","無","105","手動（引き戸）","196/200","有","有","有","","有","有","有","有","88","160/150","有","有","無","有","","有","無","有","","有","無","有","有","","","無","-","無","有","","有","有","有","有","","無","有","有","有","有","","無","有","無","無","無","有","有","有","","有","139.653372524712","35.7183322268633","官公庁施設"
"野方区民活動センター","中野区野方5-3-1　野方ウィズ1階","03-3330-4121","03-3330-4387","nogatakukatu＠city.tokyo-nakano.lg.jp","①窓口受付 午前8時半から午後5時 ②集会室など 午前9時から午後10時","①窓口受付 土曜日・日曜日・祝日及び振替休日・年末年始（12月29日～1月3日） ②集会室など 毎月第2月曜日（祝日に当たるときは、直後の休日でない日）、年末年始（12月29日～1月3日）","","有","","無","無","有","","170","自動ドア","有","","有","有","有","無","無","無","有","","無","90","手動（引き戸）","160/220","無","有","有","","有","有","有","有","無","無","有","","無","105","手動（引き戸）","196/200","有","有","有","","有","有","有","有","無","無","有","","無","105","手動（引き戸）","196/200","有","有","有","","有","有","有","有","88","160/150","有","有","無","有","","有","無","有","","有","無","有","有","","","無","-","無","有","","有","有","有","有","","無","有","有","有","有","","無","有","無","無","無","有","有","有","","有","139.653372524712","35.7183322268633","官公庁施設"
"西武新宿線野方駅","中野区野方6-3-3","03-3338-2613","","","4：44～翌0：31","","","有","","無","無","有","","448","-","有","","有","有","有","有","無","有","有","","有","105","自動ドア","255/255","無","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","105/200","無","有","有","有","","有","有","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","有","有","有","有","有","有","有","有","","有","139.653442318513","35.7196023979766","公共交通施設"
"野方図書館","中野区野方3-19-5","03-3389-0214","03-3389-0238","toshokan@nakano-library.jp","8:30～22:00（日曜祝日は20:00)","第2月曜・最終金曜","","有","","有","有","有","","197","自動ドア","有","","有","無","有","有","無","無","有","","無","85","手動（引き戸）","220/220","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","無","80","135/140","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","有","","無","有","無","","","無","無","無","無","有","","無","有","無","無","有","有","有","有","","有","139.654326194203","35.7174169750208","文化・レクリエーション・レジャー施設"
"中野北郵便局","中野区丸山1-28-10","0570-943-315","","","9:00～19:00","土・日・祝日","","有","","有","有","有","","130","自動ドア","有","","有","無","有","無","無","無","有","","無","84","手動（引き戸）","105/110","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","無","無","無","90","140/135","無","無","無","","","無","-","有","","有","有","有","有","有","","有","1","有","","","無","無","無","","","無","無","無","無","有","","有","無","無","無","有","有","有","有","","有","139.654342313178","35.7257987259083","郵便局"
"たんぽぽ公園","中野区野方2-61","","","","","","","有","","無","無","有","","150","-","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","200/220","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.654610578107","35.7146631050227","文化・レクリエーション・レジャー施設"
"早稲田通り公園","中野区野方1-35","","","","","","","有","","無","無","有","","400","-","有","","有","無","有","無","無","無","有","","無","95","手動（引き戸）","240/210","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.656287141689","35.7095661458239","文化・レクリエーション・レジャー施設"
"野方高齢者会館","中野区野方2-29-12","03-3388-9586","03-3388-9586","","9:00-17：00","土日祝日・年末年始","","有","","無","有","有","","100","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","138","手動（引き戸）","231/128","無","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","有","","","無","-","-","","","無","無","無","","","無","無","無","無","","","無","有","無","無","無","無","無","有","","有","139.656433930587","35.7145046347034","医療・保健福祉施設"
"教育センター分室","中野区野方1-35-3","03-3385-9311","","","午前8時30分から午後5時まで","土日祝、年末年始","","有","","無","無","有","","143","自動ドア","有","","有","無","有","無","無","無","有","","無","90","自動ドア","195/240","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","無","有","有","90","135/135","有","有","有","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","有","","無","無","有","有","","","無","有","無","無","無","無","無","有","","無","139.656509335187","35.709538312694","教育機関"
"野方保育園","中野区野方1-35-8","03-3387-6379","03-3387-6158","nogatahoikuen@city.tokyo-nakano.lg.jp","7：15～19：15","日曜・祝日・12月29日～1月3日","","有","","無","有","有","","70","手動（開き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.65668575144","35.7094779516169","教育機関"
"東山高齢者会館","中野区野方4-41-7","03-3228-5280","03-3228-5070","","9:00-17：00","土日祝日・年末年始","","有","","無","有","有","","92","手動（引き戸）","有","","有","無","有","無","無","無","有","","有","79","手動（引き戸）","190/190","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","80","104/121","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","-","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","有","無","有","有","","有","139.656833720347","35.7220958281964","医療・保健福祉施設"
"東京法務局中野出張所","中野区野方1-34-1","03-3389-3379","03-3389-5831","","８：３０～１７：１５","土・日・祝日","簡易車いす１台有","有","","無","無","有","","180","自動ドア","有","","有","無","有","無","無","無","有","","無","95","手動（引き戸）","200/190","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","無","80","140/125","有","有","無","","","無","-","有","","有","無","有","有","有","","有","1","有","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","有","無","無","有","","有","139.656982000079","35.7094522574818","その他公共施設"
"東山公園","中野区野方4-41","","","","","","","有","","無","無","有","","120","-","有","","有","有","有","有","無","無","有","","無","90","手動（引き戸）","174/314","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.657265689076","35.7221938569585","文化・レクリエーション・レジャー施設"
"緑野中学校","中野区丸山1-1-19","03-3386-5423","03-3386-5426","nk-midorino-jhs＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（引き戸）","有","","有","有","有","有","無","無","有","","無","95","手動（引き戸）","150/140","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","165/155","有","有","無","","","無","-","有","","有","無","有","無","","","無","-","無","有","","有","有","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.657294145958","35.7238336683412","教育機関"
"緑野小学校","中野区丸山1-17-1","03-3389-2351","03-3389-2352","nk-midorino-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（引き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","無","90","150/140","有","有","無","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.657358268193","35.7255994522493","教育機関"
"緑野学童クラブ","中野区丸山1-17-1　緑野小学校体育館棟2階","03-5345-7470","03-5345-7471","","小学校放課後～午後7時","日祝祭日、年末年始","","有","","有","有","有","","176","手動（開き戸）","有","","有","有","有","無","無","無","有","","無","96","手動（引き戸）","199/183","無","無","有","","無","無","無","無","無","無","有","","有","77","手動（開き戸）","134/100","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","無","有","有","80","140/140","有","有","無","","","無","無","有","","有","無","有","有","","","無","0","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","有","有","","有","139.657358268193","35.7255994522493","教育機関"
"キッズプラザ・緑野","中野区丸山1-17-1　緑野小学校内","03-5345-7470","03-5345-7471","","月曜日から土曜日授業終了後から午後6時まで。学校休業日は午前8時半から午後6時まで","日曜日、祝日、年末年始","","有","","有","有","有","","176","手動（開き戸）","有","","有","有","有","無","無","無","有","","無","96","手動（引き戸）","199/183","無","無","有","","無","無","無","無","無","無","有","","有","77","手動（開き戸）","134/100","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","無","有","有","80","140/140","有","有","無","","","無","無","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","有","有","","有","139.657358268193","35.7255994522493","教育機関"
"中野区放課後デイサービスセンターみずいろ","中野区丸山1-17-2　緑野小学校敷地内","03-3388-5777","03-3388-5666","wakamiyaclub@gmail.com","9：00-18：00","日曜・祭日・12/27-1/3","","有","","無","無","有","","170","自動ドア","有","","有","有","有","有","無","無","有","","無","88","手動（引き戸）","210/210","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","有","","有","1","有","有","","無","有","無","有","","無","無","有","有","有","","無","有","無","無","無","有","有","有","","有","139.657413516649","35.7257306472002","医療・保健福祉施設"
"中野区子ども発達センターたんぽぽ","中野区丸山1-17-2　緑野小学校敷地内","03-5343-7883","03-5343-7893","tanpopo2y2im@bz04.plala.or.jp","9:00～18:00","日曜日・祝日・年末年始（12月29日～1月3日）","トイレ出入口はカーテンを設置。","有","","無","無","有","","180","自動ドア","有","","有","有","有","有","有","無","有","","無","125","扉はない","340/450","無","有","有","","有","有","有","有","無","無","有","","無","125","扉はない","340/450","無","有","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","有","","無","-","有","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.657413516649","35.7257306472002","医療・保健福祉施設"
"沼袋西公園","中野区沼袋3-14","","","","","","","有","","無","無","有","","110","-","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","244/187","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.659040202696","35.7166507842211","文化・レクリエーション・レジャー施設"
"中野区立療育センターアポロ園","中野区江古田4-43-25","03-3389-3700","03-3389-3760","aporo@honey.ocn.ne.jp","8:30～18：00","日曜日・祝日・年末年始","","有","","無","有","有","","145","自動ドア","有","","有","有","有","有","無","無","有","","無","87","手動（引き戸）","200/200","有","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","80","105/205","有","有","無","","","無","-","有","","有","無","有","有","有","","有","1","有","有","","無","有","有","","","無","無","無","無","有","","無","有","無","無","無","有","有","有","","有","139.659472368641","35.7253184268798","医療・保健福祉施設"
"平和の森小学校","中野区新井3-29-1","03-3389-1451","03-3389-1452","nk-heiwanomori-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（引き戸）","有","","有","有","有","有","無","無","有","","無","90","扉はない","160/150","有","無","有","","有","無","有","無","無","無","有","","無","90","扉はない","110/100","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","有","無","有","無","有","","有","139.659785630912","35.7148932515788","教育機関"
"囲町ひろば","中野区中野4-15","","","","","","","有","","無","無","有","","110","-","有","","有","有","有","無","無","無","有","","有","90","手動（引き戸）","220/240","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.660314398944","35.7063378353094","文化・レクリエーション・レジャー施設"
"野方児童館","中野区新井2-48-10","03-3387-8836","03-3387-8831","nogatajidoukan@city.tokyo-nakano.lg.jp","10:00～18:00（火曜日～金曜日）、9:00～17:00（土曜日・学校休業日）","日曜日・月曜日・祝日","","有","","無","有","有","","180","手動（引き戸）","有","","有","無","有","有","無","無","有","","有","110","手動（引き戸）","200","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","有","有","","無","-","有","有","","有","有","無","有","","無","有","有","有","有","","無","有","無","無","有","有","有","有","","有","139.660450857931","35.7108420722951","教育機関"
"平和の森学童クラブ","中野区新井2-48-10　野方児童館内","03-3387-8836","03-3387-8831","","月曜日～金曜日、授業のある土曜日 下校後～午後7時、授業のない土曜日・学校休業日 午前8時～午後7時","日曜日、祝日、年末年始(12月29日～1月3日)","","有","","無","無","有","","100","手動（引き戸）","有","","有","無","有","有","無","無","有","","有","110","手動（引き戸）","200","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","無","無","有","","無","-","有","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","有","無","","","無","139.660450857931","35.7108420722951","教育機関"
"南部高齢者会館","中野区南台5-27-24","03-3381-4261","03-3381-4261","","月曜日～金曜日 午前9時～午後5時","土曜日、日曜日、祝日、年末年始（12月29日～1月3日）","","有","","有","有","有","","105","自動ドア","有","","有","有","有","無","無","無","有","","無","95","自動ドア","365/180","無","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","有","無","有","","有","139.660898450792","35.6833024328224","医療・保健福祉施設"
"中野中学校","中野区中野4-12-3","03-3389-1471","03-3389-1472","nk-nakano-jhs＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","無","有","有","","160","手動（引き戸）","有","","有","無","有","有","無","無","有","","無","95","手動（引き戸）","150/140","有","有","有","","有","有","有","無","無","無","有","","無","95","手動（引き戸）","150/140","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","160/155","無","有","無","","","無","-","有","","有","無","有","有","有","","有","1","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","有","有","有","有","","有","139.661247170864","35.7095397079046","教育機関"
"江古田地域包括支援センター","中野区江古田4-31-10","03-3387-5550","03-3387-5955","","8:30～17:00","日・祝日・年末年始","","有","","無","有","有","","137","自動ドア","有","","有","有","有","有","有","無","有","","無","90","手動（引き戸）","190/332","有","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","有","","有","1","有","有","","有","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","有","有","","有","139.661481723587","35.7246492332487","医療・保健福祉施設"
"北部すこやか福祉センター","中野区江古田4-31-10","03-3389-4321","03-3389-4339","hokubusukoyaka＠city.tokyo-nakano.lg.jp","8：30-17：00","日曜日・祝日・年末年始","","有","","無","有","有","","137","自動ドア","有","","有","有","有","有","有","無","有","","無","90","手動（引き戸）","190/332","有","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","有","","有","1","有","有","","有","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","有","有","","有","139.661481723587","35.7246492332487","医療・保健福祉施設"
"中野四季の森公園","中野区中野4-12,13","","","","","","","有","","無","無","","","-","-","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","310/290","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.661583322556","35.7079123697148","文化・レクリエーション・レジャー施設"
"広町みらい公園","中野区弥生町6-1","","","","","","","有","","無","無","有","","200","-","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","215/217","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.661838597593","35.6851312457357","文化・レクリエーション・レジャー施設"
"平和の森公園","中野区新井3-37","","","","","","","有","","無","無","有","","140","-","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","220/210","有","無","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","240/210","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.66194429906","35.716496565357","文化・レクリエーション・レジャー施設"
"多田学童クラブ","中野区南台5-15-3","03-3382-7399","03-3382-7472","","平日・授業のある土曜日 放課後～19時、学校休業日 8時～19時","日曜日、祝日、年末年始","","有","","有","無","有","","65","手動（開き戸）","有","","無","無","有","無","無","無","有","","無","60","手動（引き戸）","９２／１６５","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.662365271803","35.680085038277","教育機関"
"みなみ児童館","中野区南台5-15-3","03-3382-7399","03-3382-7472","minamijidoukan@city.tokyo-nakano.lg.jp","火～金 10時ー18時、　土・学校休業日 9時ー17時","日曜日、月曜日、祝日、年末年始","","有","","有","有","有","","70","手動（引き戸）","有","","無","無","有","無","無","無","有","","無","60","手動（引き戸）","92/165","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","有","","有","無","無","有","","無","有","無","無","","","無","無","無","無","無","無","無","有","","有","139.662365271803","35.680085038277","教育機関"
"囲桃園公園","中野区中野3-20,21","","","","","","","有","","無","無","有","","120","-","有","","有","有","有","有","無","無","有","","無","90","手動（引き戸）","250/220","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.662376358465","35.7034518296011","文化・レクリエーション・レジャー施設"
