A自治体名(障害者サービス担当館）,B蔵書数録音資料テープ図書作成ﾀｲﾄﾙ,B蔵書数録音資料テープ図書寄贈ﾀｲﾄﾙ,B蔵書数録音資料テープ図書購入ﾀｲﾄﾙ,B蔵書数録音資料テープ雑誌作成ﾀｲﾄﾙ,B蔵書数録音資料テープ雑誌寄贈ﾀｲﾄﾙ,B蔵書数録音資料テープ雑誌購入ﾀｲﾄﾙ,B蔵書数録音資料DAISY図書作成ﾀｲﾄﾙ,B蔵書数録音資料DAISY図書寄贈ﾀｲﾄﾙ,B蔵書数録音資料DAISY図書購入ﾀｲﾄﾙ,B蔵書数録音資料ﾏﾙﾁﾒﾃﾞｨｱDAISY図書作成ﾀｲﾄﾙ,B蔵書数録音資料ﾏﾙﾁﾒﾃﾞｨｱDAISY図書寄贈ﾀｲﾄﾙ,B蔵書数録音資料ﾏﾙﾁﾒﾃﾞｨｱDAISY図書購入ﾀｲﾄﾙ,B蔵書数録音資料DAISY雑誌作成ﾀｲﾄﾙ,B蔵書数録音資料DAISY雑誌寄贈ﾀｲﾄﾙ,B蔵書数録音資料DAISY雑誌購入ﾀｲﾄﾙ,B蔵書数録音資料録音資料合計ﾀｲﾄﾙ,B蔵書数点字資料点字図書作成ﾀｲﾄﾙ,B蔵書数点字資料点字図書寄贈ﾀｲﾄﾙ,B蔵書数点字資料点字図書購入ﾀｲﾄﾙ,B蔵書数点字資料点字雑誌作成ﾀｲﾄﾙ,B蔵書数点字資料点字雑誌寄贈ﾀｲﾄﾙ,B蔵書数点字資料点字雑誌購入ﾀｲﾄﾙ,B蔵書数点字資料点字資料合計ﾀｲﾄﾙ,B蔵書数拡大写本ﾀｲﾄﾙ,B蔵書数点字絵本ﾀｲﾄﾙ,B蔵書数さわる絵本ﾀｲﾄﾙ,B蔵書数その他ﾀｲﾄﾙ,C利用者登録者数（人） ,C利用者登録者数内訳登録者内数（視覚障害以外） ,C利用者登録者数内訳登録者内数（視覚障害以外の読書困難者）,D職員数専任（正規職員）（人）,D職員数兼任（正規・非常勤職員）（人）,D職員数専任（委託・指定管理職員）（人）,D職員数兼任（委託・指定管理職員）（人）,D職員数アルバイト（人）,D職員数その他（人）,E講習会等実施回数音訳講習会,E講習会等実施回数研修会,E講習会等実施回数展示会,E講習会等実施回数機器操作講習会,E講習会等実施回数担当者会,E講習会等実施回数その他,F貸出機器台数点字プリンター,F貸出機器台数デイジー再生用,F貸出機器台数その他,F貸出機器台数デイジー再生機器館外貸出サービス実施,G対面音訳利用状況利用者延人数,G対面音訳利用状況利用時間,G対面音訳利用状況音訳者延人数,G対面音訳利用状況対面実施館数,G対面音訳音訳者職員(人),G対面音訳音訳者職員以外(人),H資料の自館製作録音資料音訳者職員(人),H資料の自館製作録音資料音訳者職員以外(人),H資料の自館製作録音資料校正者職員(人),H資料の自館製作録音資料校正者職員以外(人),H資料の自館製作録音資料ＤＡＩＳＹ編集者職員(人),H資料の自館製作録音資料ＤＡＩＳＹ編集者職員以外(人),H資料の自館製作録音資料ＤＡＩＳＹ校正者職員(人),H資料の自館製作録音資料ＤＡＩＳＹ校正者職員以外(人),H資料の自館製作点訳資料点訳者職員(人),H資料の自館製作点訳資料点訳者職員以外(人),H資料の自館製作点訳資料校正者職員(人),H資料の自館製作点訳資料校正者職員以外(人),I貸出・相互貸借個人貸出録音資料テープﾀｲﾄﾙ,I貸出・相互貸借個人貸出録音資料DAISYﾀｲﾄﾙ,I貸出・相互貸借個人貸出録音資料マルチメディアDAISYﾀｲﾄﾙ,I貸出・相互貸借個人貸出点字資料ﾀｲﾄﾙ,I貸出・相互貸借個人貸出その他ﾀｲﾄﾙ,I貸出・相互貸借個人貸出個人貸出合計ﾀｲﾄﾙ,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）テープ,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）DAISY,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）マルチメディアDAISY,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）点字,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）その他,I貸出・相互貸借相互貸借貸出貸出合計（タイトル）,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）テープ,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）DAISY,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）マルチメディアDAISY,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）点字,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）その他,I貸出・相互貸借相互貸借借受借受合計（タイトル）,J謝礼等対面音訳音訳者単価（円）,J謝礼等資料の自館製作録音資料音訳者単価（円）,J謝礼等資料の自館製作録音資料校正者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ編集者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ校正者単価（円）,J謝礼等資料の自館製作点訳資料点訳者単価（円）,J謝礼等資料の自館製作点訳資料校正者単価（円）,J謝礼等宅配協力者単価（円）,K負担金サピエ会費の有無,L障害者サービス予算（千円）,備　考,,,,,,,
町田市,461,237,12,11,12,0,245,125,34,0,34,0,273,94,0,"1,538",119,552,89,6,139,64,969,0,381,0,342,197,47,?,0,4,0,0,0,0,1,0,0,0,0,0,0,0,8,無,159,309時間40分,159,2,0,16,0,15,0,3,0,2,0,1,0,3,0,3,387,"1,540",0,230,12,"2,169",7,420,0,5,0,432,332,"1,409",0,171,0,"1,912",1000/2h,"1500/h（デジタル録音）
1600/h（カセット録音）",1500/h（デジタル・カセット）,800/h,800/h,"150/頁（タイプライター・点字板等）
40/頁（パソコン）","30/頁（タイプライター・点字板等）
10/頁（パソコン）","図書カード
500円から",有,"1,490",,,,,,,,
小金井市,169,35,39,0,0,0,68,6,0,-,1,0,0,0,0,318,181,?,0,0,?,0,181,0,73,9,39,43,8,?,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,有,3,6,6,1,0,37,0,37,0,37,0,37,0,37,0,29,0,29,0,20,-,0,-,20,0,31,-,0,0,31,0,12,-,0,0,12,1200/h,1200/90m,750/90,1000/90m,500/90m,150枚,-,0,無,"1,162",,,,,,,,
小平市,197,0,0,0,0,0,50,20,18,0,526,102,0,0,0,913,0,508,559,0,0,55,"1,122",17,205,224,34,78,19,12,0,2,0,0,0,0,1,0,5,1,2,1,0,2,0,有,0,0,0,8,0,27,0,27,0,27,0,27,0,27,0,25,0,25,,685,0,62,342,"1,089",0,5,0,0,0,5,0,66,0,0,0,66,２５０/,0,0,0,0,0,0,0,有,913,,,,,,,,
日野市,0,0,0,0,0,0,413,16,0,0,593,0,2,3,0,"1,027",542,"1,023",0,2,0,2,"1,569",0,473,0,0,214,65,18,1,1,0,0,0,4,1,0,1,0,0,0,1,15,0,有,118,293,217,2,1,36,1,36,0,36,1,19,1,9,1,14,1,14,43,"3,224",341,396,0,"4,004",0,"8,078",0,"4,985",0,"13,063",37,"1,291",0,109,0,"1,437",1300/h,1300/h,910/h,910/h,640/h,120/枚,90/枚,0,有,"2,546",＊利用者の人数の部分ですが、昨年は視覚障害とそれ以外の障害と読み間違えて記入してしまいましたので数が減っています。,,,,,,,
東村山市(富士見),238,0,453,0,0,0,63,15,127,0,0,2,2,0,0,900,0,311,0,0,0,0,311,0,?,?,?,52,9,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,有,16,32,32,3,0,38,0,38,0,15,0,16,0,6,-,-,-,-,82,"1,707",0,14,78,"1,881",0,19,0,0,0,19,50,"1,444",0,14,-,"1,508",700/2h,900/90m,900/90m,300/90m,100/90m,未実施,未実施,未実施,有,"1,150",,,,,,,,
国分寺市（光）,0,0,0,0,0,0,5,12,0,0,4,10,0,0,0,31,0,0,0,0,0,0,0,0,?,0,0,42,,,0,3,0,0,0,0,0,0,0,0,0,0,0,10,8,有,0,0,2,3,0,2,0,5,0,5,0,5,0,5,0,0,0,0,42,100,0,4,-,146,0,0,0,0,0,0,0,78,※,2,0,80,2000,2000,※,※,※,,,,,,"　・Ｉの「個人貸出，相互貸借」の数はサピエ等からのダウンロード数も含んでいます。
　・Ｊの音訳者はＤＡＩＤＹの編集・校正を行います。単価は編集・校正等も含めたものになっています。",,,,,,,
国立市,？,-,-,-,-,-,128,*,*,-,-,-,0,0,0,128,663,*,*,0,？,？,663,-,-,-,-,12,*,-,0,3,0,0,0,0,0,0,0,0,7,0,1,12,-,有,0,0,0,1,0,29,0,29,0,29,0,29,0,29,0,18,0,18,-,"1,569",-,149,-,"1,718",0,18,-,0,-,18,0,234,-,0,-,234,1030/ｈ,1180/ｈ,294/ｈ,294/ｈ,校正者に含む,"260,000/年",,0,有,"1,000","B  点字図書は所蔵数で計上
I    貸出・相互貸借　は所蔵数で計上
J　謝礼等　においては音訳図書の謝礼単価を基に計上。
L 前年度より 図書館システムを一本化した為、点字プリンタのリース、保守の予算は計上していない",,,,,,,
福生市,0,35,250,0,0,0,0,2,138,0,0,0,0,0,0,425,0,141,0,0,0,0,141,0,0,11,0,12,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,240,445,0,0,0,0,0,0,0,28,0,0,0,28,0,0,0,0,0,0,0,0,有,214,※対面音訳は利用者なしのため実績がありません。,,,,,,,
狛江市,223,0,0,0,0,0,230,0,0,0,32,0,0,0,0,485,0,0,0,0,0,0,0,0,60,22,0,34,12,1,0,3,0,0,0,0,10,0,0,0,0,0,0,3,0,有,7,7,14,1,0,12,0,11,0,11,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,2,0,0,0,2,7,45,0,0,0,52,870/h,1310/h,870/h,0,0,0,0,0,無,709,録音資料製作は音訳者・校正者が同時にDAISY編集も行っています。,,,,,,,
東大和市,452,105,105,0,0,0,191,32,0,0,31,0,1,0,0,917,37,70,1,0,0,1,109,?,?,?,?,36,?,?,0,6,0,0,1,0,1,0,0,0,0,0,1,2,1,無,0,0,0,0,0,0,0,20,0,5,0,20,0,5,0,3,0,3,0,"1,261",0,12,0,"1,273",0,29,0,0,0,29,0,"1,116",0,5,0,"1,121",230/10m,230/10m,70/10m,（音訳者に含む）,（校正者に含む）,100/枚,－,－,有,369,,,,,,,,
清瀬市,7,0,174,0,0,0,64,3,0,0,0,0,0,0,0,248,0,105,34,0,0,0,139,11,70,46,0,237,197,3,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,有,0,0,0,0,0,0,0,15,0,15,0,14,0,14,-,-,-,-,0,409,0,5,-,414,0,1,0,0,0,1,0,247,0,5,0,252,1000/h,150/10m,70/10m,70/10m,50/10m,－,－,－,無,130,,,,,,,,
東久留米市,856,0,5,0,0,0,71,0,16,0,39,0,0,0,0,987,0,0,0,0,2,0,2,0,0,29,0,33,9,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,有,0,0,0,0,0,9,0,11,0,3,1,0,1,0,0,0,0,0,4,885,-,0,-,889,0,21,-,0,-,21,0,456,-,0,-,456,500/h,1000/h,500/h,500/1タイトル,－,-,-,-,有,625,,,,,,,,
武蔵村山市（中藤）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,233,0,0,0,0,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,40,図書の蔵書数は、タイトル数ではなく蔵書数で計上,,,,,,,
多摩市,"1,698",13,37,0,0,0,302,55,0,0,626,0,1,9,1,"2,742",68,190,144,0,12,3,417,0,329,292,0,76,22,0,0,11,0,0,0,0,0,1,2,0,1,0,2,7,11,有,43,69,43,1,0,4,0,15,0,6,0,15,0,2,0,1,0,1,14,"2,088",44,81,0,"2,227",5,482,0,0,0,487,0,"1,837",0,5,0,"1,842",600/h,111/10m,88/10m,88/10m,66/10m,100/枚,－,700/回,有,"2,394","・点訳資料は、点訳・校正で１００円１枚。
・マルチメディアデイジーを心身に障がいのある子どもの学校へ貸出しているが、個人貸出ではないため「Ｉ貸出・相互貸借」に数を入れていない。",,,,,,,
稲城市,221,484,369,0,0,0,110,2,0,0,20,0,0,0,0,"1,206",0,25,0,0,0,2,27,10,3,25,47,9,3,1,0,1,0,2,0,0,1,-,-,-,7,-,1,5,0,無,0,0,0,0,2,0,0,9,0,4,0,9,0,4,0,0,0,0,0,58,6,?,0,64,0,28,0,0,0,28,0,57,0,0,0,57,0,700/30m,300/30m,150/30m,0,―,―,0,無,335,,,,,,,,
羽村市,0,10,156,0,0,0,0,97,65,0,42,61,0,0,0,431,0,24,0,0,0,0,24,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,無,2,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,10,4,86,0,0,0,0,12,12,0,34,0,0,0,34,0,0,0,0,0,0,0,0,無,261,,61,0,37,56,0,0,0
あきる野市,60,42,0,0,0,0,44,5,0,0,28,0,1,7,0,187,0,28,0,0,0,24,52,0,0,0,23,27,9,0,0,6,-,-,-,-,1,-,-,-,-,-,-,3,-,有,-,-,-,3,-,0,4,11,3,11,0,11,3,11,0,0,0,0,1,58,0,0,0,59,0,15,0,0,0,15,0,38,0,0,0,38,-,-,-,-,-,-,-,-,有,416,,,,,,,,
西東京市（谷戸）,297,0,345,0,0,0,"1,168",,168,,35,122,1,0,0,"2,136",220,*,*,0,3,2,225,0,?,37,0,74,26,0,3,10,0,0,0,0,1,0,1,0,10,0,1,9,,有,1,2,2,1,0,2,0,34,,22,,34,,34,0,15,0,15,0,885,0,136,0,"1,021",0,144,0,0,0,144,0,803,0,3,0,806,500/h,1050/90m,450/90m,500/90m,―,60/枚,15/枚,0,有,"3,698","・児童書で点字付きの資料については、別途数えて管理していないため計上できない。
・予算については、今年度の図書費の配分が未定のため、前年度の予算（96万円）で計上しています。",,,,,,,
市合計,"10,074","1,129","4,114",13,12,0,"8,276",649,"1,643",33,"2,755",630,285,113,14,"29,740","8,135","3,902","1,761",8,157,507,"14,470",38,"1,677","1,068","1,188","1,975",664,112,17,78,1,21,3,11,20,1,25,2,31,3,8,151,37,20,909,"1,107","1,266",36,14,426,5,657,4,408,3,420,8,334,1,161,1,143,"1,091","26,146",391,"1,279",836,"29,743",84,"12,803",0,"4,994",13,"17,894",745,"16,034",0,376,4,"17,159",,,,,,,,,18,"31,378",,,,,,,,
瑞穂町,-,0,0,-,0,0,-,0,15,-,0,0,-,0,0,15,-,1,7,-,0,0,8,0,18,23,-,-,-,-,0,21,0,0,0,0,-,-,-,-,-,-,0,1,0,無,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,無,0,,,,,,,,
日の出町,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,,5000/1タイトル,,,,,,,無,60,,,,,,,,
奥多摩町（古里）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,,,,,,,,
檜原村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,,,,,,,,
町村部合計,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,27,0,1,7,0,0,0,8,0,18,23,0,0,0,0,2,21,0,2,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,60,,,,,,,,
大島町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,有,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,無,0,,,,,,,,
三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,,,,,,,,
八丈町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
青ヶ島村,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
神津島村,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
島しょ合計,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
合　　計,"23,859","2,473","16,557",629,94,12,"18,962","5,598","5,630",132,"4,206","1,565","1,345",340,374,"86,229","14,200","8,322","6,870",85,466,"1,010","30,953","3,063","2,620","3,684","4,776","8,283","2,547",766,51,235,55,151,20,11,50,5,31,22,51,6,17,421,45,40,"2,969","4,608","3,201",76,29,970,8,"1,318",6,845,6,814,13,696,2,374,1,293,"3,395","108,742",764,"8,507","11,649","133,057",473,"23,508",0,"5,216",77,"33,943","1,626","50,020",5,799,27,"57,076",,,,,,,,,40,"103,813",,,,,,,,
