30 ,高速３号渋谷線,大橋JCT～池尻出入口,5480 ,      －,      －,      －,      －,      －,      －,      －,"54,998 ","8,322 ","63,320 ",13.1 ,"5,796 ",9.2 ,1.57 ,1.01 ,5480 ,"65,307 ",0.97 ,50.2 ,10.4 ,10月中,－,首都高速,30 ,高速３号渋谷線,5480 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"79,859 ","19,255 ","99,114 ",19.4 ,,,,,,"108,193 ",0.92 ,,,,,,,,,
30 ,高速３号渋谷線,池尻出入口～三軒茶屋出入口,5490 ,      －,      －,      －,      －,      －,      －,      －,"60,334 ","9,152 ","69,486 ",13.2 ,"6,053 ",8.7 ,1.55 ,1.02 ,5490 ,"71,200 ",0.98 ,24.7 ,37.5 ,10月中,－,首都高速,30 ,高速３号渋谷線,5490 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"87,159 ","20,831 ","107,990 ",19.3 ,,,,,,"117,498 ",0.92 ,,,,,,,,,
30 ,高速３号渋谷線,三軒茶屋出入口～用賀出入口,5500 ,      －,      －,      －,      －,      －,      －,      －,"51,751 ","8,218 ","59,969 ",13.7 ,"5,301 ",8.8 ,1.58 ,0.85 ,5500 ,"62,491 ",0.96 ,25.9 ,63.5 ,10月中,－,首都高速,30 ,高速３号渋谷線,5500 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"75,361 ","19,341 ","94,702 ",20.4 ,,,,,,"105,308 ",0.90 ,,,,,,,,,
30 ,高速３号渋谷線,用賀出入口～東名高速道路,5510 ,      －,      －,      －,      －,      －,      －,      －,"36,691 ","7,144 ","43,835 ",16.3 ,"3,965 ",9.0 ,1.62 ,0.65 ,5510 ,"46,603 ",0.94 ,12.2 ,59.0 ,10月中,－,首都高速,30 ,高速３号渋谷線,5510 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"53,546 ","17,330 ","70,876 ",24.5 ,,,,,,"80,104 ",0.88 ,,,,,,,,,
40 ,高速４号新宿線,三宅坂JCT～外苑出入口,5530 ,      －,      －,      －,      －,      －,      －,      －,"46,301 ","4,240 ","50,541 ",8.4 ,"4,566 ",9.0 ,1.40 ,0.72 ,5520 ,"54,799 ",0.92 ,9.7 ,24.9 ,10月中,－,首都高速,40 ,高速４号新宿線,5530 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"63,986 ","6,795 ","70,781 ",9.6 ,,,,,,"82,789 ",0.85 ,,,,,,,,,
40 ,高速４号新宿線,外苑出入口～代々木出入口,5540 ,      －,      －,      －,      －,      －,      －,      －,"45,585 ","3,386 ","48,971 ",6.9 ,"4,507 ",9.2 ,1.41 ,0.72 ,5530 ,"51,498 ",0.95 ,47.6 ,13.3 ,10月中,－,首都高速,40 ,高速４号新宿線,5540 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"63,455 ","5,591 ","69,046 ",8.1 ,,,,,,"77,765 ",0.89 ,,,,,,,,,
40 ,高速４号新宿線,代々木出入口～新宿出入口,5550 ,      －,      －,      －,      －,      －,      －,      －,"43,529 ","3,236 ","46,765 ",6.9 ,"4,291 ",9.2 ,1.42 ,0.68 ,5540 ,"49,651 ",0.94 ,61.9 ,12.7 ,10月中,－,首都高速,40 ,高速４号新宿線,5550 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"60,928 ","5,377 ","66,305 ",8.1 ,,,,,,"75,107 ",0.88 ,,,,,,,,,
40 ,高速４号新宿線,新宿出入口～西新宿JCT,5560 ,      －,      －,      －,      －,      －,      －,      －,"37,447 ","2,117 ","39,564 ",5.4 ,"3,694 ",9.3 ,1.44 ,0.56 ,5550 ,"41,777 ",0.95 ,59.7 ,10.5 ,10月中,－,首都高速,40 ,高速４号新宿線,5560 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"53,548 ","3,314 ","56,862 ",5.8 ,,,,,,"64,295 ",0.88 ,,,,,,,,,
40 ,高速４号新宿線,西新宿JCT～初台出入口,5570 ,      －,      －,      －,      －,      －,      －,      －,"59,909 ","5,964 ","65,873 ",9.1 ,"6,120 ",9.3 ,1.46 ,0.96 ,5560 ,"68,765 ",0.96 ,66.8 ,9.8 ,10月中,－,首都高速,40 ,高速４号新宿線,5570 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"84,912 ","10,944 ","95,856 ",11.4 ,,,,,,"105,158 ",0.91 ,,,,,,,,,
40 ,高速４号新宿線,初台出入口～幡ヶ谷出入口,5580 ,      －,      －,      －,      －,      －,      －,      －,"63,605 ","7,545 ","71,150 ",10.6 ,"6,418 ",9.0 ,1.45 ,1.02 ,5570 ,"73,299 ",0.97 ,35.7 ,16.9 ,10月中,－,首都高速,40 ,高速４号新宿線,5580 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"90,269 ","13,217 ","103,486 ",12.8 ,,,,,,"111,852 ",0.93 ,,,,,,,,,
40 ,高速４号新宿線,幡ヶ谷出入口～永福出入口,5590 ,      －,      －,      －,      －,      －,      －,      －,"57,475 ","6,823 ","64,298 ",10.6 ,"5,780 ",9.0 ,1.47 ,0.91 ,5580 ,"67,431 ",0.95 ,35.0 ,25.3 ,10月中,－,首都高速,40 ,高速４号新宿線,5590 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"82,419 ","12,093 ","94,512 ",12.8 ,,,,,,"103,789 ",0.91 ,,,,,,,,,
40 ,高速４号新宿線,永福出入口～高井戸出入口,5600 ,      －,      －,      －,      －,      －,      －,      －,"56,915 ","6,866 ","63,781 ",10.8 ,"5,830 ",9.1 ,1.47 ,0.97 ,5590 ,"66,766 ",0.96 ,21.2 ,36.5 ,10月中,－,首都高速,40 ,高速４号新宿線,5600 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"81,772 ","12,098 ","93,870 ",12.9 ,,,,,,"102,633 ",0.91 ,,,,,,,,,
40 ,高速４号新宿線,高井戸出入口～中央自動車道富士吉田線,5610 ,      －,      －,      －,      －,      －,      －,      －,"47,715 ","4,367 ","52,082 ",8.4 ,"4,755 ",9.1 ,1.46 ,0.80 ,5600 ,"54,842 ",0.95 ,14.0 ,64.5 ,10月中,－,首都高速,40 ,高速４号新宿線,5610 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"68,512 ","7,341 ","75,853 ",9.7 ,,,,,,"82,348 ",0.92 ,,,,,,,,,
50 ,高速５号池袋線,竹橋JCT・一ツ橋出入口～西神田出入口,5620 ,      －,      －,      －,      －,      －,      －,      －,"52,842 ","4,090 ","56,932 ",7.2 ,"5,122 ",9.0 ,1.37 ,0.85 ,5610 ,"58,483 ",0.97 ,17.2 ,14.2 ,10月中,－,首都高速,50 ,高速５号池袋線,5620 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"71,409 ","6,510 ","77,919 ",8.4 ,,,,,,"88,486 ",0.88 ,,,,,,,,,
50 ,高速５号池袋線,西神田出入口～飯田橋出入口,5630 ,      －,      －,      －,      －,      －,      －,      －,"47,866 ","3,650 ","51,516 ",7.1 ,"4,521 ",8.8 ,1.39 ,0.83 ,5620 ,"53,452 ",0.96 ,33.0 ,18.7 ,10月中,－,首都高速,50 ,高速５号池袋線,5630 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"65,654 ","5,956 ","71,610 ",8.3 ,,,,,,"81,121 ",0.88 ,,,,,,,,,
50 ,高速５号池袋線,飯田橋出入口～早稲田出口,5640 ,      －,      －,      －,      －,      －,      －,      －,"52,364 ","6,324 ","58,688 ",10.8 ,"5,162 ",8.8 ,1.38 ,0.85 ,5630 ,"59,371 ",0.99 ,43.8 ,26.6 ,10月中,－,首都高速,50 ,高速５号池袋線,5640 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"71,573 ","9,703 ","81,276 ",11.9 ,,,,,,"89,664 ",0.91 ,,,,,,,,,
50 ,高速５号池袋線,早稲田出口～護国寺出入口,5650 ,      －,      －,      －,      －,      －,      －,      －,"49,659 ","6,144 ","55,803 ",11.0 ,"4,941 ",8.9 ,1.38 ,0.82 ,5640 ,"56,771 ",0.98 ,40.7 ,28.2 ,10月中,－,首都高速,50 ,高速５号池袋線,5650 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"67,831 ","9,366 ","77,197 ",12.1 ,,,,,,"85,761 ",0.90 ,,,,,,,,,
50 ,高速５号池袋線,護国寺出入口～東池袋出入口,5660 ,      －,      －,      －,      －,      －,      －,      －,"44,316 ","5,724 ","50,040 ",11.4 ,"4,468 ",8.9 ,1.39 ,0.77 ,5650 ,"51,928 ",0.96 ,30.7 ,24.8 ,10月中,－,首都高速,50 ,高速５号池袋線,5660 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"60,629 ","8,712 ","69,341 ",12.6 ,,,,,,"78,141 ",0.89 ,,,,,,,,,
50 ,高速５号池袋線,東池袋出入口～北池袋出入口,5670 ,      －,      －,      －,      －,      －,      －,      －,"46,704 ","5,363 ","52,067 ",10.3 ,"4,687 ",9.0 ,1.38 ,0.80 ,5660 ,"52,837 ",0.99 ,46.0 ,24.5 ,10月中,－,首都高速,50 ,高速５号池袋線,5670 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"63,579 ","8,222 ","71,801 ",11.5 ,,,,,,"79,600 ",0.90 ,,,,,,,,,
50 ,高速５号池袋線,北池袋出入口～熊野町JCT,5680 ,      －,      －,      －,      －,      －,      －,      －,"42,150 ","4,547 ","46,697 ",9.7 ,"4,229 ",9.1 ,1.38 ,0.80 ,5670 ,"48,173 ",0.97 ,40.6 ,21.6 ,10月中,－,首都高速,50 ,高速５号池袋線,5680 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"57,209 ","7,195 ","64,404 ",11.2 ,,,,,,"72,559 ",0.89 ,,,,,,,,,
50 ,高速５号池袋線,熊野町JCT～板橋JCT,5690 ,      －,      －,      －,      －,      －,      －,      －,"89,003 ","14,078 ","103,081 ",13.7 ,"9,267 ",9.0 ,1.46 ,0.81 ,5680 ,"100,907 ",1.02 ,30.9 ,22.4 ,10月中,－,首都高速,50 ,高速５号池袋線,5690 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"125,123 ","25,056 ","150,179 ",16.7 ,,,,,,"156,986 ",0.96 ,,,,,,,,,
50 ,高速５号池袋線,板橋JCT～板橋本町出入口,5700 ,      －,      －,      －,      －,      －,      －,      －,"54,519 ","11,958 ","66,477 ",18.0 ,"5,886 ",8.9 ,1.47 ,1.08 ,5690 ,"70,336 ",0.95 ,28.3 ,29.1 ,10月中,－,首都高速,50 ,高速５号池袋線,5700 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"77,404 ","20,253 ","97,657 ",20.7 ,,,,,,"108,286 ",0.90 ,,,,,,,,,
50 ,高速５号池袋線,板橋本町出入口～中台出入口,5710 ,      －,      －,      －,      －,      －,      －,      －,"51,935 ","10,360 ","62,295 ",16.6 ,"5,584 ",9.0 ,1.46 ,1.00 ,5700 ,"65,593 ",0.95 ,16.5 ,52.8 ,10月中,－,首都高速,50 ,高速５号池袋線,5710 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"73,163 ","18,078 ","91,241 ",19.8 ,,,,,,"100,564 ",0.91 ,,,,,,,,,
50 ,高速５号池袋線,中台出入口～高島平出入口,5720 ,      －,      －,      －,      －,      －,      －,      －,"40,170 ","9,047 ","49,217 ",18.4 ,"4,450 ",9.0 ,1.50 ,0.77 ,5710 ,"54,386 ",0.90 ,20.6 ,67.2 ,10月中,－,首都高速,50 ,高速５号池袋線,5720 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"57,319 ","16,296 ","73,615 ",22.1 ,,,,,,"84,410 ",0.87 ,,,,,,,,,
50 ,高速５号池袋線,高島平出入口～都県境,5730 ,      －,      －,      －,      －,      －,      －,      －,"33,614 ","5,811 ","39,425 ",14.7 ,"3,636 ",9.2 ,1.51 ,0.68 ,5720 ,"45,299 ",0.87 ,13.8 ,71.8 ,10月中,－,首都高速,50 ,高速５号池袋線,5730 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"48,967 ","10,521 ","59,488 ",17.7 ,,,,,,"70,481 ",0.84 ,,,,,,,,,
51 ,高速湾岸線,昭和島JCT～東海JCT,5740 ,      －,      －,      －,      －,      －,      －,      －,"21,589 ","6,553 ","28,142 ",23.3 ,"2,794 ",9.9 ,1.49 ,0.49 ,5730 ,"27,901 ",1.01 ,18.2 ,48.8 ,10月中,－,首都高速,51 ,高速湾岸線,5740 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"30,255 ","11,769 ","42,024 ",28.0 ,,,,,,"41,549 ",1.01 ,,,,,,,,,
51 ,高速湾岸線,東海JCT～大井南出入口,5750 ,      －,      －,      －,      －,      －,      －,      －,"63,609 ","28,481 ","92,090 ",30.9 ,"8,315 ",9.0 ,1.43 ,1.09 ,5740 ,"89,528 ",1.03 ,67.5 ,35.0 ,10月中,－,首都高速,51 ,高速湾岸線,5750 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"87,319 ","44,751 ","132,070 ",33.9 ,,,,,,"134,335 ",0.98 ,,,,,,,,,
51 ,高速湾岸線,大井南出入口～大井JCT,5760 ,      －,      －,      －,      －,      －,      －,      －,"45,908 ","22,169 ","68,077 ",32.6 ,"6,284 ",9.2 ,1.42 ,0.77 ,5750 ,"95,836 ",0.71 ,72.7 ,27.1 ,10月中,－,首都高速,51 ,高速湾岸線,5760 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"62,187 ","34,766 ","96,953 ",35.9 ,,,,,,"145,579 ",0.67 ,,,,,,,,,
51 ,高速湾岸線,大井JCT～大井出入口,5770 ,      －,      －,      －,      －,      －,      －,      －,"54,546 ","24,329 ","78,875 ",30.8 ,"7,187 ",9.1 ,1.45 ,0.87 ,5760 ,"86,479 ",0.91 ,69.9 ,22.7 ,10月中,－,首都高速,51 ,高速湾岸線,5770 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"74,360 ","39,618 ","113,978 ",34.8 ,,,,,,"130,219 ",0.88 ,,,,,,,,,
51 ,高速湾岸線,大井出入口～臨海副都心出入口,5780 ,      －,      －,      －,      －,      －,      －,      －,"57,754 ","28,795 ","86,549 ",33.3 ,"7,903 ",9.1 ,1.44 ,0.92 ,5770 ,"94,695 ",0.91 ,38.8 ,29.8 ,10月中,－,首都高速,51 ,高速湾岸線,5780 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"78,688 ","46,130 ","124,818 ",37.0 ,,,,,,"140,740 ",0.89 ,,,,,,,,,
51 ,高速湾岸線,臨海副都心出入口～有明JCT,5790 ,      －,      －,      －,      －,      －,      －,      －,"53,361 ","26,757 ","80,118 ",33.4 ,"7,292 ",9.1 ,1.44 ,0.90 ,5780 ,"84,803 ",0.94 ,30.2 ,29.8 ,10月中,－,首都高速,51 ,高速湾岸線,5790 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"72,853 ","42,814 ","115,667 ",37.0 ,,,,,,"126,695 ",0.91 ,,,,,,,,,
51 ,高速湾岸線,有明JCT～東雲JCT・有明出入口,5800 ,      －,      －,      －,      －,      －,      －,      －,"65,870 ","27,601 ","93,471 ",29.5 ,"8,493 ",9.1 ,1.45 ,0.90 ,5790 ,"96,862 ",0.96 ,40.0 ,27.3 ,10月中,－,首都高速,51 ,高速湾岸線,5800 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"90,819 ","45,168 ","135,987 ",33.2 ,,,,,,"144,910 ",0.94 ,,,,,,,,,
51 ,高速湾岸線,東雲JCT・有明出入口～辰巳JCT,5810 ,      －,      －,      －,      －,      －,      －,      －,"66,485 ","33,206 ","99,691 ",33.3 ,"9,190 ",9.2 ,1.44 ,0.89 ,5800 ,"102,422 ",0.97 ,40.9 ,44.6 ,10月中,－,首都高速,51 ,高速湾岸線,5810 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"90,998 ","53,054 ","144,052 ",36.8 ,,,,,,"152,075 ",0.95 ,,,,,,,,,
51 ,高速湾岸線,辰巳JCT～新木場出入口,5820 ,      －,      －,      －,      －,      －,      －,      －,"68,282 ","36,517 ","104,799 ",34.8 ,"9,342 ",8.9 ,1.44 ,1.00 ,5810 ,"109,651 ",0.96 ,30.8 ,71.4 ,10月中,－,首都高速,51 ,高速湾岸線,5820 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"93,943 ","57,237 ","151,180 ",37.9 ,,,,,,"163,404 ",0.93 ,,,,,,,,,
51 ,高速湾岸線,新木場出入口～葛西JCT,5830 ,      －,      －,      －,      －,      －,      －,      －,"65,741 ","39,705 ","105,446 ",37.7 ,"9,642 ",9.1 ,1.44 ,0.87 ,5820 ,"108,332 ",0.97 ,29.9 ,73.1 ,10月中,－,首都高速,51 ,高速湾岸線,5830 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"91,009 ","61,321 ","152,330 ",40.3 ,,,,,,"162,012 ",0.94 ,,,,,,,,,
51 ,高速湾岸線,葛西JCT～葛西出入口,5840 ,      －,      －,      －,      －,      －,      －,      －,"60,622 ","18,127 ","78,749 ",23.0 ,"7,567 ",9.6 ,1.43 ,0.62 ,5830 ,"93,047 ",0.85 ,21.3 ,81.0 ,10月中,－,首都高速,51 ,高速湾岸線,5840 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"83,590 ","28,853 ","112,443 ",25.7 ,,,,,,"139,360 ",0.81 ,,,,,,,,,
51 ,高速湾岸線,葛西出入口～都県境,5850 ,      －,      －,      －,      －,      －,      －,      －,"54,009 ","19,045 ","73,054 ",26.1 ,"6,936 ",9.5 ,1.43 ,0.83 ,5840 ,"89,231 ",0.82 ,27.4 ,75.2 ,10月中,－,首都高速,51 ,高速湾岸線,5850 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"74,007 ","30,155 ","104,162 ",29.0 ,,,,,,"132,644 ",0.79 ,,,,,,,,,
52 ,高速湾岸線,東海JCT～空港中央出入口,5860 ,      －,      －,      －,      －,      －,      －,      －,"55,258 ","15,896 ","71,154 ",22.3 ,"6,439 ",9.0 ,1.41 ,0.77 ,5850 ,"66,681 ",1.07 ,36.0 ,64.9 ,10月中,－,首都高速,52 ,高速湾岸線,5860 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"77,106 ","23,259 ","100,365 ",23.2 ,,,,,,"101,551 ",0.99 ,,,,,,,,,
52 ,高速湾岸線,空港中央出入口～湾岸環八出入口,5870 ,      －,      －,      －,      －,      －,      －,      －,"41,684 ","20,868 ","62,552 ",33.4 ,"5,740 ",9.2 ,1.41 ,0.72 ,5860 ,"57,117 ",1.10 ,60.0 ,48.7 ,10月中,－,首都高速,52 ,高速湾岸線,5870 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"56,310 ","31,865 ","88,175 ",36.1 ,,,,,,"85,083 ",1.04 ,,,,,,,,,
52 ,高速湾岸線,湾岸環八出入口～都県境,5880 ,      －,      －,      －,      －,      －,      －,      －,"46,153 ","26,316 ","72,469 ",36.3 ,"6,538 ",9.0 ,1.41 ,0.83 ,5870 ,"66,617 ",1.09 ,71.4 ,48.6 ,10月中,－,首都高速,52 ,高速湾岸線,5880 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"62,962 ","39,212 ","102,174 ",38.4 ,,,,,,"98,889 ",1.03 ,,,,,,,,,
60 ,高速６号向島線,江戸橋JCT～箱崎出入口,5890 ,      －,      －,      －,      －,      －,      －,      －,"74,794 ","10,735 ","85,529 ",12.6 ,"7,837 ",9.2 ,1.53 ,0.71 ,5880 ,"84,869 ",1.01 ,22.8 ,10.7 ,10月中,－,首都高速,60 ,高速６号向島線,5890 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"111,652 ","19,156 ","130,808 ",14.6 ,,,,,,"138,188 ",0.95 ,,,,,,,,,
60 ,高速６号向島線,箱崎出入口～箱崎JCT,5900 ,      －,      －,      －,      －,      －,      －,      －,"56,482 ","6,703 ","63,185 ",10.6 ,"5,634 ",8.9 ,1.56 ,0.52 ,5890 ,"64,494 ",0.98 ,27.3 ,15.8 ,10月中,－,首都高速,60 ,高速６号向島線,5900 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"85,739 ","12,812 ","98,551 ",13.0 ,,,,,,"107,583 ",0.92 ,,,,,,,,,
60 ,高速６号向島線,箱崎JCT～浜町出入口,5910 ,      －,      －,      －,      －,      －,      －,      －,"50,143 ","5,947 ","56,090 ",10.6 ,"4,983 ",8.9 ,1.58 ,0.81 ,5900 ,"65,582 ",0.86 ,20.3 ,16.8 ,10月中,－,首都高速,60 ,高速６号向島線,5910 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"77,285 ","11,614 ","88,899 ",13.1 ,,,,,,"111,024 ",0.80 ,,,,,,,,,
60 ,高速６号向島線,浜町出入口～清洲橋出口,5920 ,      －,      －,      －,      －,      －,      －,      －,"54,679 ","8,279 ","62,958 ",13.2 ,"5,671 ",9.0 ,1.59 ,0.97 ,5910 ,"65,582 ",0.96 ,21.0 ,19.9 ,10月中,－,首都高速,60 ,高速６号向島線,5920 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"84,747 ","15,423 ","100,170 ",15.4 ,,,,,,"111,024 ",0.90 ,,,,,,,,,
60 ,高速６号向島線,清洲橋出口～両国JCT,5930 ,      －,      －,      －,      －,      －,      －,      －,"63,812 ","11,061 ","74,873 ",14.8 ,"6,768 ",9.0 ,1.56 ,1.18 ,5920 ,"79,511 ",0.94 ,24.9 ,53.5 ,10月中,－,首都高速,60 ,高速６号向島線,5930 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"97,504 ","19,265 ","116,769 ",16.5 ,,,,,,"130,992 ",0.89 ,,,,,,,,,
60 ,高速６号向島線,両国JCT～駒形出入口,5940 ,      －,      －,      －,      －,      －,      －,      －,"34,279 ","6,922 ","41,201 ",16.8 ,"3,707 ",9.0 ,1.58 ,0.70 ,5930 ,"45,529 ",0.90 ,10.0 ,40.4 ,10月中,－,首都高速,60 ,高速６号向島線,5940 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"52,238 ","12,675 ","64,913 ",19.5 ,,,,,,"74,952 ",0.87 ,,,,,,,,,
60 ,高速６号向島線,駒形出入口～向島出入口,5950 ,      －,      －,      －,      －,      －,      －,      －,"32,096 ","5,451 ","37,547 ",14.5 ,"3,423 ",9.1 ,1.59 ,0.67 ,5940 ,"41,558 ",0.90 ,30.0 ,28.6 ,10月中,－,首都高速,60 ,高速６号向島線,5950 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"49,316 ","10,319 ","59,635 ",17.3 ,,,,,,"68,739 ",0.87 ,,,,,,,,,
60 ,高速６号向島線,向島出入口～堤通出入口,5960 ,      －,      －,      －,      －,      －,      －,      －,"35,736 ","7,069 ","42,805 ",16.5 ,"3,865 ",9.0 ,1.54 ,0.74 ,5950 ,"47,737 ",0.90 ,76.2 ,21.0 ,10月中,－,首都高速,60 ,高速６号向島線,5960 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"52,834 ","12,875 ","65,709 ",19.6 ,,,,,,"76,386 ",0.86 ,,,,,,,,,
60 ,高速６号向島線,堤通出入口～堀切JCT,5970 ,      －,      －,      －,      －,      －,      －,      －,"40,841 ","6,160 ","47,001 ",13.1 ,"4,174 ",8.9 ,1.51 ,0.73 ,5960 ,"48,838 ",0.96 ,79.3 ,18.8 ,10月中,－,首都高速,60 ,高速６号向島線,5970 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"59,731 ","11,243 ","70,974 ",15.8 ,,,,,,"76,084 ",0.93 ,,,,,,,,,
60 ,高速６号三郷線,小菅JCT～加平出入口,5980 ,      －,      －,      －,      －,      －,      －,      －,"49,299 ","15,230 ","64,529 ",23.6 ,"5,672 ",8.8 ,1.49 ,1.09 ,5970 ,"65,746 ",0.98 ,46.4 ,34.1 ,10月中,－,首都高速,60 ,高速６号三郷線,5980 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"69,963 ","25,877 ","95,840 ",27.0 ,,,,,,"103,440 ",0.93 ,,,,,,,,,
60 ,高速６号三郷線,加平出入口～都県境,5990 ,      －,      －,      －,      －,      －,      －,      －,"43,232 ","16,177 ","59,409 ",27.2 ,"5,308 ",8.9 ,1.49 ,1.06 ,5980 ,"61,429 ",0.97 ,19.7 ,69.5 ,10月中,－,首都高速,60 ,高速６号三郷線,5990 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"61,296 ","27,069 ","88,365 ",30.6 ,,,,,,"96,409 ",0.92 ,,,,,,,,,
70 ,高速７号小松川線,両国JCT～錦糸町出入口,6000 ,      －,      －,      －,      －,      －,      －,      －,"28,516 ","2,891 ","31,407 ",9.2 ,"2,814 ",9.0 ,1.53 ,0.46 ,5990 ,"31,880 ",0.99 ,11.6 ,80.9 ,10月中,－,首都高速,70 ,高速７号小松川線,6000 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"43,314 ","4,861 ","48,175 ",10.1 ,,,,,,"53,157 ",0.91 ,,,,,,,,,
70 ,高速７号小松川線,錦糸町出入口～小松川出入口,6010 ,      －,      －,      －,      －,      －,      －,      －,"34,039 ","3,552 ","37,591 ",9.4 ,"3,884 ",10.3 ,1.52 ,0.59 ,6000 ,"38,599 ",0.97 ,29.9 ,81.7 ,10月中,－,首都高速,70 ,高速７号小松川線,6010 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"51,554 ","5,431 ","56,985 ",9.5 ,,,,,,"61,571 ",0.93 ,,,,,,,,,
70 ,高速７号小松川線,小松川出入口～一之江出入口,6020 ,      －,      －,      －,      －,      －,      －,      －,"41,648 ","4,488 ","46,136 ",9.7 ,"4,661 ",10.1 ,1.46 ,0.90 ,6010 ,"37,585 ",1.23 ,41.5 ,69.8 ,10月中,－,首都高速,70 ,高速７号小松川線,6020 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"60,533 ","6,787 ","67,320 ",10.1 ,,,,,,"60,789 ",1.11 ,,,,,,,,,
70 ,高速７号小松川線,一之江出入口～一般国道１４号（京葉道路）,6030 ,      －,      －,      －,      －,      －,      －,      －,"34,835 ","3,761 ","38,596 ",9.7 ,"3,897 ",10.1 ,1.47 ,0.74 ,6020 ,"31,657 ",1.22 ,41.1 ,76.6 ,10月中,－,首都高速,70 ,高速７号小松川線,6030 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"50,942 ","5,725 ","56,667 ",10.1 ,,,,,,"50,747 ",1.12 ,,,,,,,,,
90 ,高速９号深川線,箱崎JCT～福住出入口,6050 ,      －,      －,      －,      －,      －,      －,      －,"26,018 ","5,213 ","31,231 ",16.7 ,"2,734 ",8.8 ,1.46 ,0.55 ,6030 ,"35,552 ",0.88 ,22.8 ,70.3 ,10月中,－,首都高速,90 ,高速９号深川線,6050 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"36,201 ","9,330 ","45,531 ",20.5 ,,,,,,"54,176 ",0.84 ,,,,,,,,,
90 ,高速９号深川線,福住出入口～木場出入口,6060 ,      －,      －,      －,      －,      －,      －,      －,"28,543 ","5,787 ","34,330 ",16.9 ,"3,070 ",8.9 ,1.44 ,0.66 ,6040 ,"38,971 ",0.88 ,58.2 ,69.6 ,10月中,－,首都高速,90 ,高速９号深川線,6060 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"39,051 ","10,239 ","49,290 ",20.8 ,,,,,,"58,311 ",0.85 ,,,,,,,,,
90 ,高速９号深川線,木場出入口～塩浜入口,6070 ,      －,      －,      －,      －,      －,      －,      －,"20,773 ","3,930 ","24,703 ",15.9 ,"2,229 ",9.0 ,1.39 ,0.47 ,6050 ,"30,241 ",0.82 ,70.0 ,74.8 ,10月中,－,首都高速,90 ,高速９号深川線,6070 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"28,382 ","6,073 ","34,455 ",17.6 ,,,,,,"44,522 ",0.77 ,,,,,,,,,
