施設ID,施設名,施設紹介,区市町村コード,都道府県,区市町村,エリア,郵便番号,住所,アクセス,電話番号,URL,月曜日 営業開始時間,月曜日 営業終了時間,火曜日 営業開始時間,火曜日 営業終了時間,水曜日 営業開始時間,水曜日 営業終了時間,木曜日 営業開始時間,木曜日 営業終了時間,金曜日 営業開始時間,金曜日 営業終了時間,土曜日 営業開始時間,土曜日 営業終了時間,日曜日 営業開始時間,日曜日 営業終了時間,営業時間補足,定休日,最大利用規模,料金,施設種別,設備,事前の会員登録,事前の法人契約,入室方法,更新日,作成日
511,リージャス大宮ウエストビジネスセンター,リージャス大宮ウエストセンターは、埼玉県最大の都市である、さいたま市の中心、「大宮駅」の西口より徒歩5分に位置するレンタルオフィス・コワーキングスペースです。首都圏と東北・北関東・北信越の中継点である「大宮駅」は、大手企業の支店や営業所としてオフィスを構える企業が非常に多く、さいたま市は多くのビジネスマンで賑わうターミナル都市になります。また、都心へも30分程度の距離感にあるアクセスの良さから、大宮駅や隣接する浦和駅を含むさいたま市エリアは、高層マンションが建ち並び、首都圏を代表する人気のベットタウンでもあります。近年の働き方改革の観点として、都心への満員電車通勤を避け「大宮駅」周辺にサテライトオフィスを構える企業も急増しております。サテライトオフィス、または、テレワークの拠点として、リージャスのワークスペースを活用されるビジネスマンも多いため、「大宮駅」は、その人気のワークスペースとして注目を集めています。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,111007,埼玉県,さいたま市,東京近郊,330-0854,埼玉県さいたま市大宮区桜木町1-266-3シンワKIビル2F-5F,"JR 大宮駅 徒歩5分
東武伊勢崎線 大宮駅 徒歩5分
ニューシャトル 大宮駅 徒歩5分",0120-998-923,https://www.regus-office.jp/area_serch/omiyaarea/omiya_west,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,4名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,バリアフリー対応・車椅子入館可・オストメイト対応トイレ有,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
507,リージャス池袋ビジネスセンター,リージャス池袋ビジネスセンターは池袋駅の新たなシンボルタワーダイヤゲート池袋に2019年春に誕生します。リージャス池袋ビジネスセンターをご利用することで、競合他社との大きな差別化を図ることができます。池袋のシンボルタワーにオフィスがもてること、池袋駅前であること。それに加え、このデザインに富んだ新築のオフィスビルは災害対策にも最高レベルの機能を備えており、企業のBCP対策にも相応しいオフィスと言えます。本社としてのご利用は勿論、起業時のオフィス、サテライトオフィス、面接会場としてもご利用いただけます。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131164,東京都,豊島区,新宿・渋谷・豊島,171-0022,東京都豊島区南池袋1-16-15ダイヤゲート池袋 5F　,"西武池袋線 池袋駅 徒歩1分
JR 池袋駅 徒歩3分
東武東上線 池袋駅 徒歩3分
東京メトロ丸の内線・有楽町線・副都心線 池袋駅 徒歩3分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/ikebukuro/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,11名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,"バリアフリー対応
車椅子入場可、障害者用駐車場有、オストメイト対応トイレ有",簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
496,リージャス 新宿西口ビジネスセンター,リージャス新宿西口ビジネスセンターは、新宿駅西口に最も近い西新宿一丁目。オフィス街の入口となるロケーションです。また地下道を利用をすれば、ほぼ傘要らず。金融機関、郵便局、印刷専門店、飲食店エリアなど、ビジネスに必要な多くの施設が周辺に揃う、利便性の非常に高いビジネスセンターです。是非、人気のオフィス街、西新宿にあって稀少な駅近オフィス「リージャス新宿西口ビジネスセンター」の価値を感じてください。,131041,東京都,新宿区,新宿・渋谷・豊島,160-0023,東京都新宿区西新宿1-20-3　西新宿高木ビル 7F･8F,"JR 新宿駅 徒歩5分
京王線 新宿駅 徒歩5分
小田急線 新宿駅 徒歩5分
都営新宿線 新宿駅 徒歩1分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/shinjuku_nishiguchi/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,8名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,車椅子入館可,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
482,リージャス 新宿南口ビジネスセンター,JR新宿駅　新南口　徒歩3分、高島屋タイムズスクエアの向かい側、明治通り沿いに新宿新南口ビジネスセンターは位置しています。地下鉄副都心線の新宿3丁目駅E8出口からもすぐアクセスできる利便性の高いロケーションで、近隣には新宿高島屋、東急ハンズ、紀伊國屋書店、各種レストランなども豊富です。 国内最大のターミナル駅という新宿の利便性を生かし、モバイルワーカーのベースオフィスとして、あるいは営業チームの新規拠点として当センターをお勧めします。,131130,東京都,渋谷区,新宿・渋谷・豊島,151-0051,東京都渋谷区千駄ヶ谷5-27-3やまとビル 1F･8F,"JR 新宿駅 徒歩3分
東京メトロ丸ノ内線 新宿三丁目駅 徒歩7分
東京メトロ副都心線 新宿三丁目駅 徒歩7分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/shinjuku_minamiguchi/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,16名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,N/A,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
439,リージャス 新宿パークタワービジネスセンター,新宿パークタワーは、新宿新都心と呼ばれる超高層ビル群の一角に隣接しております。新宿パークタワーには、『新宿』駅との無料シャトルバスが利用できるほか、『新宿』駅南口から徒歩10分、京王新線『初台』駅から徒歩6分でアクセスすることができます。また、羽田・成田の各空港とのリムジンバスが運行しており、国内外のアクセスも良好となっています。新宿パークタワーは、独特な三角屋根の外観でよく知られており、高さの異なる三層のブロックからなる外観は、新都心のシンボルとなっております。晴れた日には富士山が望め、上層階からは都内が一望できる、抜群のオフィス環境を誇ります。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131041,東京都,新宿区,新宿・渋谷・豊島,163-1030,東京都新宿区西新宿3-7-1  新宿パークタワー30F,"都営地下鉄大江戸線 都庁前駅 徒歩5分
都営新宿線 新宿駅 徒歩7分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/shinjuku_park/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,9名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,車椅子入場可,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
481,リージャス 秋葉原南ビジネスセンター,JR「秋葉原駅」昭和通口より徒歩3分、神田川沿いの新築オフィスビル4階5階にリージャス秋葉原南はあります。東京メトロ日比谷線「秋葉原駅」から徒歩2分、つくばエクスプレス「秋葉原駅」からも5分、さらに都営地下鉄新宿線「岩本町駅」からは徒歩2分と、駅からのアクセスが非常に便利なロケーションです。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131016,東京都,千代田区,千代田・中央・港,101-0041,東京都千代田区神田須田町2-25GYB秋葉原ビル4F･5F,"JR 秋葉原駅 徒歩3分
東京メトロ日比谷線 秋葉原駅 徒歩2分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/akihabara_minami/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,6名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
499,リージャス神田ビジネスセンター,リージャス神田ビジネスセンターは、JR「神田駅」北口より徒歩4分、地下鉄銀座線「神田駅」6番出口より徒歩1分場所に位置します。中央通りと靖国通りの交差点（須田町交差点）の角であり、受付のある１Fは歩道に面しおりますので、視認性の非常に高いビジネスセンターになっております。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131016,東京都,千代田区,千代田・中央・港,101-0004,東京都千代田区神田須田町1-14-1ヒューリック神田須田町ビル1F-4F　,"JR 神田駅 徒歩1分
東京メトロ銀座線 神田駅 徒歩1分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/kanda-akihabara-area/kanda_sudacho/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,2名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,N/A,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
441,リージャス 大手町ファーストスクエアビジネスセンター,大手町ファーストスクエアは、丸の内と並ぶ日本屈指のビジネス街、大手町にあります。大手町には、政府系金融機関・大手銀行・商社・マスコミの本社等が集積しており、ファーストスクエアビルは地下鉄『大手町』駅に直結。『大手町』駅は東京の地下鉄で最多の5路線が乗り入れており、空港のアクセスの良さに加えて、日本全国へのアクセス拠点である、『東京』駅へ徒歩5分という恵まれた立地条件となっています。大手町ファーストスクエアは、イーストタワーとウエストタワーから構成される地上23階建てのオフィスビルです。ビル内には、飲食店、ショップ、医院など豊富な商業施設が整っています。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131016,東京都,千代田区,千代田・中央・港,100-0004,東京都千代田区大手町1-5-1大手町ファーストスクエア イーストタワー4F,"東京メトロ千代田線、東西線、丸ノ内線、半蔵門線 大手町駅 直結
都営三田線 大手町駅 直結
JR 東京駅 徒歩5分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/otemachi/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,6名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
446,リージャス 日本橋兜町ビジネスセンター,兜町第1平和ビルは、中央区の『茅場町』駅から徒歩2分、『日本橋』駅から徒歩5分に立地しております。日本橋エリアは、日本銀行本店や東京証券取引所があるなど、日本を代表する金融街であるだけでなく、髙島屋や三越といった老舗店舗も多く立地し、根強い人気のある商業エリアです。兜町第1平和ビルは旧『山一證券』の本社 ビルで、東京証券取引所に隣接する事から、特に金融業界において、根強いネームバリューを誇っております。日本橋の新たなランドマークとして有名な大型複合施設『コレド』まで徒歩5分と絶好のロケーションとなっています。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131024,東京都,中央区,千代田・中央・港,103-0026,東京都中央区日本橋兜町5-1兜町第一平和ビル 3F,"東京メトロ 茅場町駅 徒歩2分
東京メトロ銀座線・東西線 日本橋駅 徒歩5分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/nihonbashi-kabutocho/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,9名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,車椅子入館可,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
493,リージャス 丸の内新国際ビルビジネスセンター,世界トップクラスの企業が集まり、日本の優良企業の象徴とも言える「丸の内」。 有楽町駅に直結。4駅8路線が利用可能。交通の利便性も高い、絶好のビジネスロケーション。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131016,東京都,千代田区,千代田・中央・港,100-0005,東京都千代田区丸の内3-4-1 新国際ビル8F,"JR 有楽町駅 徒歩2分
東京メトロ有楽町線 有楽町駅 直結",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/marunouchi_shinkokusai/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,6名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,車椅子入館可,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
449,リージャス 有楽町イトシアビジネスセンター,有楽町イトシアは、日本を代表するビジネス商業地区である有楽町・銀座エリアの玄関口に位置し、東京メトロ銀座線・『日比谷』駅・『有楽町』駅に直結、JR『有楽町』駅銀座口から徒歩1分という利便性と、『東京』駅から1駅というビジネス面での優位性を兼ね備えています。また、ビル内の低層棟はショッピング施設やレストランも併設した複合施設となっており、利便性が良い立地となっています。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131016,東京都,千代田区,千代田・中央・港,163-1030,東京都千代田区有楽町2-7-1有楽町イトシアビル12F,"東京メトロ 銀座駅 直結
東京メトロ日比谷線・千代田線 日比谷駅 直結
JR 有楽町駅 徒歩1分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/yurakucho-itocia/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,10名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,車椅子入場可,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
442,リージャス 日比谷ビジネスセンター,リージャス日比谷ビジネスセンターは、近隣に劇場や日比 谷公園もあり、ビジネスと文化と自然が融合した魅力的な立地の日比谷にあります。近隣には、多くの省庁が集まる霞ヶ関もあります。ビル内 には、一流ブランドショップ、一流レストランなどトップクラスの商業施設が整っており、『日比谷』駅から徒歩3分、『銀座』駅から徒歩5分、『有楽町』駅からは徒歩5分の恵まれた立地条件にあります。東京都内のアクセスだけではなく、羽田・成田の各空港へのリムジンバスが運行しており、国内外のアクセスにも優れています。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131016,東京都,千代田区,千代田・中央・港,100-0011,東京都千代田区内幸町1-1-1 帝国ホテルタワー 15F,"東京メトロ 日比谷駅 徒歩3分
東京メトロ銀座線・丸の内線 銀座駅 徒歩5分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/hibiya-teikoku-hotel/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,15名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
467,リージャス 銀座一丁目ビジネスセンター,銀座一丁目センターは高品質な商業地区とビジ ネスが混合した東京でも代表的なエリアに位置し、周囲には和光、三越、松屋などの有名大手百貨店、ラグジュアリーブランドショップ、劇場や映画館、有名レストランが軒を並べています。当センターは位置的にも銀座へのアクセスのみならず、京橋や宝町にも程近く、『有楽町』駅や『東京駅からも徒歩圏にあり、業種・業界・規模を問わずビジネスには最適といえるでしょう。従来から大企業が本拠地を定めてきたこのエリアに、リージャスは当センターを通じて『自由なワーキングスタイル』を提案致します。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131024,東京都,中央区,千代田・中央・港,104-0061,東京都中央区銀座1-16-7銀座大栄ビル 5F･6F,"都営浅草線 宝町駅 徒歩2分
東京メトロ有楽町線 銀座一丁目駅 徒歩3分
東京メトロ銀座線 京橋駅 徒歩3分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/ginza/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,6名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
501,リージャス 表参道フォレストヒルズ,表参道フォレストヒルズは、日本を代表する人気のスポット「表参道駅」より徒歩6分、根津美術館と隣接するエリアに位置します。街並みに相応しいデザイン性の高い内装と明るい空間が特徴のビジネスセンターです。青山はマンションをオフィスとして利用されている企業も多いエリアですが、企業イメージ・信用度の向上、ビジネスの効率性など、リージャスのオフィスにはマンションには無い多くの価値が備わっております。そしてクリエイター、デザインナーの採用にも他社を一歩リードできることでしょう。ビジネスの成功へもつながる「価値あるオフィス」と質の高いリージャスのサービスを、ぜひ一度体感ください。,131032,東京都,港区,千代田・中央・港,107-0062,東京都港区南青山4-18-11フォレストヒルズイーストウィング2F,"東京メトロ銀座線 表参道駅 徒歩6分
東京メトロ半蔵門線 表参道駅 徒歩6分
東京メトロ千代田線 表参道駅 徒歩6分",0120-998-923,https://www.regus-office.jp/omotesando_foresthills/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,7名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
440,リージャス 神谷町MTビルビジネスセンター,神谷町MTビルは、近隣にホテルオークラ東京、 アメリカ大使館、国立印刷局等の官民の施設が立ち並び、外資系企業の進出も多く見られ、国際色豊かなエリアにあります。近年、愛宕ヒルズ に代表される再開発が活発に進められたことも特徴となっています。神谷町MTビルは、地上20階、地下4階となっており地下鉄神谷町の駅から直結しています。また、ビル内の飲食店、コンビニの他、近隣に多数の店舗があり、神谷町MTビルは、大変利便性の高い立地条件となっています。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131032,東京都,港区,千代田・中央・港,105-0011,東京都港区虎ノ門4-3-20 神谷町ＭＴビル14F,東京メトロ日比谷線 神谷町駅 直結,0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/kamiyacho/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,30名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
470,リージャス 渋谷スクエアビジネスセンター,渋谷スクエアセンターは、ハイクラスビルの『グラスシティ渋谷』にあります。表面がクリアガラスに覆われたデザインとなっており、遠目からもその美しいビルの外観を望むことができます。玄関も広く、白色が多用され、とても清潔なイメージが広がります。渋谷駅までも徒歩10分です。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131130,東京都,渋谷区,新宿・渋谷・豊島,150-0036,東京都渋谷区南平台町16-28グラスシティ渋谷6F,"JR 渋谷駅 徒歩10分
東京メトロ銀座線・半蔵門線・副都心線 渋谷駅 徒歩10分
東急東横線 渋谷駅 徒歩10分
京王井の頭線 神泉駅 徒歩5分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/shibuya_glasscity/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,5名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,N/A,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
476,リージャス 芝大門ビジネスセンター,「リージャス芝大門ビジネスセンター」は有名企業のオフィスが集まる港区のビジネスエリア、芝の「芝センタービル」10階にあるレンタルオフィスです。フロア総面積は621平方メートルで、124のワークステーション、2つの会議室、専用エレベーターもあるなど、設備が充実しています。個室タイプだけでなく、すべてのサービスが完備されたコワーキングスペースとしてもご利用いただけます。また、オフィスは最上階にあるため、昼夜を問わず港区を一望できる環境のよさも自慢の一つです。,131032,東京都,港区,千代田・中央・港,105-0012,東京都港区芝1-10-11芝大門センタービル10F,"都営地下鉄三田線 御成門駅 徒歩2分
都営地下鉄浅草線 駅 徒歩3分
都営大江戸線 駅 徒歩3分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/shibadaimon/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,4名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,N/A,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
510,リージャス スクエア代官山ビジネスセンター,リージャススクエア代官山センターは、ハイセンスなショップが並ぶ代官山のメインストリート八幡通りに面した、Daiwa代官山ビルの1階から6階に位置します。渋谷駅の渋谷ストリームからも、代官山に向けて渋谷川沿いが再開発により整備され、渋谷駅からショップやレストランが並ぶ中を進みリージャススクエア代官山センターまで進むことができます。「代官山駅」からも「渋谷駅」からも、徒歩6分程度。ハイセンスな個性と最先端のトレンドに埋め尽くされた「刺激」の中を進むことで、お客様の毎日にアイデアと閃きを与えることになるでしょう。,131130,東京都,渋谷区,新宿・渋谷・豊島,150-0034,東京都渋谷区代官山町8-7DAIWA代官山ビル 1F-6F,"東急東横線 代官山駅 徒歩6分
JR 渋谷駅 徒歩6分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/square_daikanyama/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,60名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,N/A,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
471,リージャス 広尾ビジネスセンター,リージャス広尾ビジネスセンターは、東京のなかでも有名な高級住宅街として知られている『広尾』エリアの中心にあります。地下鉄では、日比谷線『広尾駅』。お車では、首都高天現寺出口からのアクセスが便利です。周辺には、高級ブティックや、明治屋、麻布ナショナルなどの高級食材店があり、一般的な東京の喧騒とは一線を画した趣があります。広尾はまた旧来より大使館や領事館が徒歩十分圏内に集まっている環境を背景に、国際色豊かな街となっており、住民による多くのコミュニティーも存在します。閑静で隠れ家的な住宅地という側面がありながらも、六本木、渋谷、恵比寿にも車で10分程度という便利さもあり、長年にわたって憧れの街となっています。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131130,東京都,渋谷区,新宿・渋谷・豊島,150-0012,東京都渋谷区広尾5-4-12大成綱機ビル4F･5F,東京メトロ日比谷線 広尾駅 直結,0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/hiroo/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,5名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,N/A,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
486,リージャス 代官山ビジネスセンター,東横線「代官山」駅北口より徒歩2分。日本を代表するハイセンスな街、代官山でのお洒落なワークスタイルを実現。代官山で働く価値を感じてください。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131130,東京都,渋谷区,新宿・渋谷・豊島,150-0021,東京都渋谷区恵比寿西2-19-9 フランセスビル 1F-2F,"東急東横線 代官山駅 徒歩3分
JR 恵比寿駅 徒歩9分
東京メトロ日比谷線 恵比寿駅 徒歩9分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/daikanyama/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,3名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,N/A,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
473,リージャス 恵比寿ビジネスセンター,『恵比寿』駅の西口駅前ロータリーの正面に見えるビルにリージャス恵比寿ビジネスセンターがあります。日比谷線、東横線、JR線などを活用すれば渋谷、代官山、中目黒、六本木など東京のトレンドスポットから日比谷や銀座などのビジネス街、神奈川から埼玉など幅広い地域を網羅できるビジネスの拠点となります。周辺には、クリエイティブな会社も多く、広告代理業やデザイン事務所の社外会議室あるいはプロジェクトオフィスとしてもご利用いただけます。また、その利便性から本社・支社設立、多用途な営業基点としてのご利用もおすすめです。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131130,東京都,渋谷区,新宿・渋谷・豊島,150-0022,東京都渋谷区恵比寿南1-1-1ヒューマックス恵比寿ビル 6F･7F･8F,"JR 恵比寿駅 徒歩1分
東京メトロ日比谷線 恵比寿駅 徒歩1分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/ebisu/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,33名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
454,リージャス 麻布グリーンテラスビジネスセンター,麻布はドイツ、フランス、中国、そして韓国大使館を抱えるなど、大使館や領事館を有する街として有名です。また、国内外のビジネスネットワークを模索する企業にとって、また一流のビジネス・アドレスを求める企業にとって、優れた場所でもあります。麻布グリーンテラス内には、フロア毎にテーマが設定されている『ステップガーデン』があり、都心のオフィスビルにはない斬新な植栽演出を実現。庭園に立ち入れば、移りゆく四季を間近で感じることができる特徴のあるビルになっています。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131032,東京都,港区,千代田・中央・港,106-0047,東京都港区南麻布3-20-1DAIWA麻布テラス5F,"東京メトロ南北線 白金高輪駅 徒歩9分
都営三田線 白金高輪駅 徒歩9分
東京メトロ日比谷線 広尾駅 徒歩15分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/azabu/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,8名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,車椅子入館可・多目的トイレあり・障害者用駐車場対応可能,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
488,リージャス 恵比寿南ビジネスセンター,恵比寿駅から徒歩5分。駅前の賑やかさから少し離れ、落ち着きある閑静な立地にリージャス恵比寿南ビジネスセンターはあります。恵比寿南は一般的なビジネス街とは少し異なり、街並みはどこか「上品な」雰囲気に包まれる人気のエリアで、働きたい街としても高い支持を集めます。そして、このお洒落な街並みを好んでか、海外のファッションブランドのオフィスや、デザイン会社、広告などの会社が多く集まります。またセンターの近くにはカルピスの本社があり、周辺のシンボルとなっております。さらに恵比寿南ビジネスセンターが入居する、第21荒井ビルもデザイン豊かな外観、吹き抜けのエントランスが特徴の人気オフィスで、貴社のイメージアップにつながるのも確実で、貴社のブランディング戦略や採用活動にも有利に働くことでしょう。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。,131130,東京都,渋谷区,新宿・渋谷・豊島,150-0022,東京都渋谷区恵比寿南1-20-6第21荒井ビル4F,JR 恵比寿駅 徒歩3分,0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/ebisu_minami/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,4名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,車椅子入館可(時間内)・トイレなし,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
498,リージャス 品川グランドセントラルタワービジネスセンター,"リージャス品川グランドセントラルタワービジネスセンターは、品川駅港南口に建ち並ぶ高層ビル、品川グランドセントラルタワーの8階に位置します。品川駅港南口からは、徒歩3分。スカイデッキで直結しております。フロア約2,600平米の大型オフィスビルで、視認性も高く、重厚感のある広いエントランスもこのビルの特徴です。個室オフィスからシエアオフィス、コワーキングまで多彩なスペースとオフィスプランで様々な事業を支援します。",131032,東京都,港区,千代田・中央・港,108-0075,東京都港区港南2-16-4品川グランドセントラルタワー 8F,"JR 品川駅 徒歩3分
京急線 品川駅 徒歩3分",0120-998-923,https://www.regus-office.jp/area-serch/tokyo-area-serch/shinagawa_grand_central/,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,土日祝日,5名,お問い合わせの上、ご確認ください。,共用サテライトオフィス,車椅子入館可。１階に車椅子用トイレ有り,簡易利用の場合不要,要,会員証の提示、身分証の提示,2023/12/21,2021/7/19
