2022/1/1,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
平均,0.34,2.8,0.18,2.6,,WNW,1.3,NNW,5.4,117,,
2022/2/21,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.58,2,0.32,2.4,NW,NW,12,NNW,12,26,,
2,0.63,2.5,0.28,2.6,E,WNW,14,NW,11,20,,
3,0.51,2,0.27,2.5,SSE,WNW,14,NW,9.4,44,,
4,0.54,3,0.28,2.6,NNW,WNW,18,NNW,9.3,81,,
5,0.58,2.5,0.28,2.7,SE,W,25,NNW,10.8,120,,
6,0.41,3.5,0.24,2.6,,W,24,NNW,9.5,151,,
7,0.54,3,0.25,2.8,NE,W,19,NW,9.3,171,,
8,0.35,4,0.21,2.7,,WNW,14,NW,6.8,173,,
9,0.34,3,0.2,3,,W,12,WNW,4.6,161,,
10,0.35,3.5,0.21,3.4,,NNW,2,W,2.4,135,,
11,0.34,2,0.18,2.9,,W,1,SSE,1.3,102,,
12,0.29,2.5,0.16,2.8,,S,3,NW,4.9,69,,
13,0.21,3.5,0.12,3,,NE,3,NNW,5.7,46,,
14,0.33,3,0.15,2.9,,NNW,6,NNW,6.4,42,,
15,0.31,2,0.18,2.4,,W,6,N,7.5,54,,
16,0.35,2,0.18,2.3,,W,13,NNW,8.2,81,,
17,0.51,4,0.27,3.1,S,WSW,10,NNW,6.6,113,,
18,0.45,3,0.23,2.7,,WSW,11,N,4.3,139,,
19,0.32,3,0.2,2.9,,W,10,N,2.6,154,,
20,0.33,2,0.2,2.9,,W,8,NNW,5,158,,
21,0.34,2.5,0.17,2.6,,W,8,NNW,5.6,150,,
22,0.33,2,0.15,2.2,,NNE,6,NNW,8.3,131,,
23,0.37,3.5,0.19,2.3,,ENE,2,NNW,8.3,106,,
24,0.34,4.5,0.17,2.8,,WNW,1,NNW,4.5,78,,
最大,0.63,4.5,0.32,3.4,最多,平均,25,最多,12,平均,平均,
平均,0.4,2.9,0.21,2.7,,WNW,8.8,NNW,6.8,104,,
2022/2/22,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.24,3,0.13,2.3,,NNW,2,NNW,6.4,54,,
2,0.24,3.5,0.14,2.3,,WNW,4,NW,6,45,,
3,0.51,1.5,0.13,2.4,,WNW,8,NNW,5.7,54,,
4,0.22,2,0.12,2.7,,W,9,NNW,2.7,79,,
5,0.34,3.5,0.16,3,,W,10,N,4.3,111,,
6,0.28,3,0.14,2.7,,W,13,NNW,1.5,141,,
7,0.26,2.5,0.17,2.8,,WSW,7,SW,4.1,162,,
8,0.37,3,0.18,2.7,,W,14,WNW,1.9,172,,
9,0.33,1.5,0.16,2.6,,W,10,NE,1.1,166,,
10,0.24,2,0.14,2.8,,S,2,NE,4.8,142,,
11,0.25,3,0.14,2.6,,E,3,NE,3.7,110,,
12,0.35,3,0.17,3.1,,ENE,13,ENE,3.2,79,,
13,0.57,3,0.21,3.2,,ENE,2,NE,3.7,53,,
14,0.5,4,0.22,3.2,,ENE,4,ENE,2.6,39,,
15,0.26,2,0.13,2.5,,SE,3,ENE,3.1,41,,
16,0.38,2.5,0.16,2.7,,SW,4,NE,2.6,57,,
17,0.43,3,0.21,2.7,,WSW,6,N,4.5,78,,
18,0.38,2.5,0.15,2.4,,WNW,3,N,7.3,101,,
19,0.33,2,0.17,2.4,,WSW,2,N,6.9,122,,
20,0.34,3,0.18,2.3,,WNW,7,N,8.4,131,,
21,0.31,2,0.17,2.4,,NW,2,N,5.9,135,,
22,0.29,3.5,0.15,2.8,,W,12,NNW,4.5,128,,
23,0.35,3.5,0.2,3.2,,WSW,4,N,2.5,117,,
24,0.3,2,0.17,3.1,,NNE,4,NNW,4.4,101,,
最大,0.57,4,0.22,3.2,最多,平均,14,最多,8.4,平均,平均,
平均,0.34,2.7,0.16,2.7,,W,3.6,N,4.2,101,,
2022/2/23,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.4,2,0.16,2.9,,NE,5,NNW,4.8,82,,
2,0.19,2,0.11,2.3,,WSW,4,NNW,3.2,67,,
3,0.24,1.5,0.1,1.9,,WSW,4,NNW,5.3,63,,
4,0.2,2,0.1,2,,NW,1,NNW,4.1,75,,
5,0.37,3.5,0.18,2.9,,W,6,NNW,3.8,98,,
6,0.37,2,0.19,2.4,,WSW,10,NNW,6.4,125,,
7,0.35,2,0.18,2.4,,W,9,NNW,7.2,148,,
8,0.33,2.5,0.19,2.4,,WNW,9,N,5.3,161,,
9,0.34,2,0.19,2.7,,WNW,5,N,5,156,,
10,0.3,3,0.18,2.9,,NNE,4,N,5.7,140,,
11,0.26,3,0.16,2.9,,NNE,1,N,4.6,119,,
12,0.29,3.5,0.16,3.1,,SE,5,N,3.5,93,,
13,0.37,3,0.21,2.9,,E,6,E,1.9,70,,
14,0.4,2.5,0.21,2.7,,ESE,9,SE,4.9,49,,
15,0.39,2,0.23,2.5,,SSE,5,SE,4.4,37,,
16,0.53,4.5,0.27,3.7,NW,SSE,5,SSE,3.6,39,,
17,0.48,2.5,0.25,2.7,ENE,SSW,5,S,3.3,53,,
18,0.54,2.5,0.18,3,,SE,1,SSE,1,75,,
19,0.2,3,0.11,3.1,,WSW,5,N,5.2,99,,
20,0.24,2.5,0.13,2.5,,NW,10,N,6.6,114,,
21,0.3,3,0.16,3,,NNW,9,N,7.1,123,,
22,0.21,2,0.12,2.3,,NNW,5,N,5.6,125,,
23,0.29,3.5,0.16,2.8,,NW,4,N,6,121,,
24,0.29,2.5,0.17,2.5,,NW,2,N,5.3,112,,
最大,0.54,4.5,0.27,3.7,最多,平均,10,最多,7.2,平均,平均,
平均,0.33,2.6,0.17,2.7,,W,1.7,N,4.7,98,,
2022/2/24,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.44,2.5,0.19,2.4,,NNE,6,NNW,5,105,,
2,0.28,3,0.18,2.6,,WNW,2,NNW,6.1,97,,
3,0.3,2.5,0.16,2.2,,W,4,NNW,6.7,93,,
4,0.27,2,0.15,2.2,,W,5,NNW,4.4,92,,
5,0.33,2.5,0.18,2.7,,NW,6,NNW,5.3,105,,
6,0.33,2,0.18,2.5,,WNW,6,NNW,6.9,119,,
7,0.44,2.5,0.21,2.6,,WNW,6,NNW,6.8,136,,
8,0.52,2.5,0.21,2.4,,W,9,N,7.2,150,,
9,0.46,2.5,0.26,3.2,ESE,NNW,8,NNW,5.9,154,,
10,0.41,3,0.22,2.6,,NNW,5,NNW,7.7,145,,
11,0.35,3,0.22,2.5,,NE,5,NNW,8.8,130,,
12,0.41,3,0.22,2.7,,NNE,5,NNW,7.5,113,,
13,0.4,3,0.17,3.1,,E,4,NNW,6.2,93,,
14,0.4,3.5,0.21,3,,E,6,NNW,7.3,70,,
15,0.39,3.5,0.21,2.8,,ENE,5,NNW,7.2,51,,
16,0.36,3.5,0.18,2.5,,N,4,NNW,6.7,40,,
17,0.43,3,0.24,2.8,,N,9,NNW,5.6,40,,
18,0.39,2.5,0.23,2.5,,NW,6,NNW,6.9,51,,
19,0.3,3,0.17,2.5,,NNW,8,NNW,7.5,62,,
20,0.42,2,0.24,2.5,,NW,7,WNW,6.7,76,,
21,0.34,2.5,0.19,2.2,,W,8,NW,5.2,91,,
22,0.3,2.5,0.17,2.3,,WNW,8,NW,5.9,106,,
23,0.32,2,0.18,2.4,,W,6,NW,5,116,,
24,0.3,1.5,0.17,2.2,,WSW,6,NW,5.8,123,,
最大,0.52,3.5,0.26,3.2,最多,平均,9,最多,8.8,平均,平均,
平均,0.37,2.6,0.2,2.6,,NW,3.7,NNW,6.4,98,,
2022/2/25,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.33,2,0.18,2.1,,WSW,5,NW,5.5,125,,
2,0.26,2,0.13,2.2,,WSW,12,NW,6.3,119,,
3,0.27,1.5,0.15,2.1,,SW,6,NW,5.9,114,,
4,0.21,2,0.12,2.2,,W,10,NW,5.3,114,,
5,0.32,2.5,0.18,2.8,,NW,6,NW,4.5,116,,
6,0.22,3,0.13,2.4,,W,6,NW,3.4,123,,
7,0.3,3,0.18,2.7,,SW,7,NNW,2.5,133,,
8,0.39,1.5,0.18,2.6,,WNW,9,NNW,1.9,143,,
9,0.34,2.5,0.18,2.8,,WSW,5,SE,1.4,150,,
10,0.32,2.5,0.2,2.6,,W,8,SSE,4,149,,
11,0.28,3,0.15,2.8,,WNW,4,SSE,3.6,142,,
12,0.45,2.5,0.21,3,,ENE,2,SSE,2.7,129,,
13,0.39,2,0.16,2.8,,ESE,5,SSE,3.7,116,,
14,0.33,3,0.19,3,,SE,3,SSE,3.6,97,,
15,0.3,2.5,0.16,2.7,,SSE,3,SSE,4.4,80,,
16,0.35,2.5,0.18,2.4,,WSW,1,SSE,4.9,64,,
17,0.42,5,0.21,2.5,,NNW,3,SSE,5.1,52,,
18,0.4,3,0.23,2.4,,WNW,7,S,6.6,45,,
19,0.34,3.5,0.18,2.6,,WSW,7,WSW,3.7,47,,
20,0.24,3,0.14,2.9,,NW,8,N,4.3,53,,
21,0.43,2.5,0.14,3,,WNW,8,NNW,4.6,63,,
22,0.2,1.5,0.1,2.5,,WNW,6,NNW,3.2,76,,
23,0.28,3,0.12,2.9,,WSW,10,NNW,3.5,95,,
24,0.17,3.5,0.09,2.6,,WSW,11,NNW,3.4,113,,
最大,0.45,5,0.23,3,最多,平均,12,最多,6.6,平均,平均,
平均,0.31,2.6,0.16,2.6,,W,4.8,SSE,4.1,102,,
2022/2/26,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.17,2.5,0.09,2.3,,W,17,NNW,4.8,128,,
2,0.17,3,0.11,2.4,,W,9,NNW,4.7,136,,
3,0.18,1.5,0.11,2.5,,W,11,NNW,3,138,,
4,0.2,1.5,0.1,2.5,,WSW,4,NNW,5.4,134,,
5,0.43,3.5,0.19,3.4,,WNW,6,NNW,4.3,131,,
6,0.24,5.5,0.12,2.6,,WSW,6,NNW,2.5,129,,
7,0.34,3,0.19,2.7,,SW,7,NNW,2.5,130,,
8,0.42,2.5,0.21,2.8,,WSW,4,WNW,0.9,133,,
9,0.33,2.5,0.18,2.9,,SW,5,ESE,1.8,137,,
10,0.33,3,0.17,2.9,,WSW,4,SE,3.1,139,,
11,0.33,3,0.18,2.8,,SW,5,SE,3.8,140,,
12,0.32,2.5,0.18,2.5,,WSW,5,SE,4,138,,
13,0.45,2.5,0.2,2.6,,W,4,SE,3.9,136,,
14,0.47,1.5,0.27,2.2,NE,S,5,S,8.6,129,,
15,0.86,2.5,0.42,2.4,WNW,SSE,3,S,9.9,117,,
16,0.64,2.5,0.39,2.4,NNE,SE,4,S,9.4,96,,
17,0.71,2.5,0.36,2.6,SW,NNW,4,SSE,7.7,74,,
18,0.52,3,0.3,2.5,NNE,W,2,S,7.7,51,,
19,0.58,2,0.32,2.5,NW,WNW,8,S,6.4,37,,
20,0.58,2,0.3,2.3,NE,WNW,8,S,7.1,35,,
21,0.59,2,0.27,2.2,ESE,NW,2,SW,7.1,45,,
22,0.44,2,0.24,2.4,,WNW,12,WSW,6,59,,
23,1.03,2.5,0.43,2.3,NE,WNW,6,SW,12,78,,
24,0.79,2.5,0.38,2.2,NNE,WNW,11,SW,9.1,99,,
最大,1.03,5.5,0.43,3.4,最多,平均,17,最多,12,平均,平均,
平均,0.46,2.6,0.24,2.5,NE,W,5.1,NNW,5.7,107,,
2022/2/27,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.4,2,0.23,2.4,,W,24,WSW,7,126,,
2,0.68,3.5,0.29,2.6,NNE,WNW,16,WSW,5.6,149,,
3,0.33,3.5,0.18,3.1,,WNW,16,WNW,3.1,164,,
4,0.28,3,0.16,3.3,,W,12,W,1.7,166,,
5,0.3,4,0.17,3.4,,SW,6,N,1.2,160,,
6,0.71,3,0.23,3.2,,WNW,6,N,1.8,145,,
7,0.32,3.5,0.19,3.5,,W,6,N,1.8,135,,
8,0.29,3.5,0.19,3.3,,WNW,5,NE,2.4,131,,
9,0.28,3,0.16,3.1,,NW,6,S,0.8,132,,
10,0.58,1.5,0.27,2.2,WNW,NW,7,SW,9.3,136,,
11,1.16,2.5,0.46,2.2,SE,SSW,9,SW,11.7,145,,
12,0.88,2.5,0.46,2.4,S,W,2,SSW,11,158,,
13,0.63,3,0.36,2.7,NW,N,6,NNW,9.2,160,,
14,0.49,4,0.27,3.5,E,NE,7,NNW,8,159,,
15,0.5,4.5,0.28,3.3,ESE,NE,4,NNW,9.3,145,,
16,0.4,3,0.22,3,,NNE,3,NNW,8.9,122,,
17,0.57,3,0.28,2.9,SSW,NW,7,NNW,6.4,99,,
18,0.44,2.5,0.22,2.9,,W,3,NNW,6.7,74,,
19,0.29,3.5,0.17,2.8,,NNW,3,N,8.4,50,,
20,0.32,2.5,0.17,2.6,,WNW,5,NNW,6.9,27,,
21,0.24,4,0.15,2.8,,SSW,2,NNW,5.2,13,,
22,0.29,3.5,0.16,2.8,,NE,3,NNW,4.9,15,,
23,0.44,3.5,0.17,2.8,,NNW,2,N,5.4,33,,
24,0.29,3,0.16,2.6,,WNW,8,NNW,4.3,63,,
最大,1.16,4.5,0.46,3.5,最多,平均,24,最多,11.7,平均,平均,
平均,0.46,3.1,0.23,2.9,,WNW,5.1,NNW,5.9,113,,
2022/2/28,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.31,2.5,0.16,2.3,,NW,9,NNW,6.8,97,,
2,0.25,2,0.15,2.2,,WNW,15,NNW,6.5,128,,
3,0.25,1.5,0.12,2.2,,W,6,NNW,4.9,152,,
4,0.53,2.5,0.15,2.5,,SW,4,NNW,4.3,164,,
5,0.38,3.5,0.18,2.8,,N,7,NNW,5.9,161,,
6,0.34,2,0.14,2.6,,NNW,5,NNW,5.1,150,,
7,0.57,3.5,0.24,3,,NNW,6,NNW,6.4,136,,
8,0.35,2,0.19,2.7,,N,8,NNW,5.4,121,,
9,0.34,3.5,0.18,2.9,,N,7,NNW,5.7,106,,
10,0.39,3,0.2,2.9,,N,5,NNW,3.7,100,,
11,0.55,2.5,0.22,2.9,,W,3,NNW,2.1,105,,
12,0.56,2.5,0.23,3,,W,6,ESE,3.8,121,,
13,0.83,3,0.24,2.7,,SSW,7,SSE,4.4,143,,
14,0.51,3.5,0.25,3,ESE,SW,3,S,6,160,,
15,0.32,4,0.18,2.6,,W,8,S,4.2,166,,
16,0.38,2.5,0.21,2.7,,E,1,S,4.8,157,,
17,0.46,3,0.21,2.8,,WNW,1,S,3.4,133,,
18,0.45,2,0.22,3.1,,E,3,S,5.4,104,,
19,0.29,2,0.17,2.2,,SE,10,SW,5.9,69,,
20,0.39,2.5,0.2,2.4,,SSE,8,S,5.4,36,,
21,0.21,1.5,0.14,2.3,,S,8,SSW,4.2,11,,
22,0.35,3,0.13,2.4,,SE,5,SSE,3.2,1,,
23,0.32,3,0.14,2.7,,E,1,NW,1.2,10,,
24,0.58,5,0.15,2.9,,NW,7,ESE,1.2,35,,
最大,0.83,5,0.25,3.1,最多,平均,15,最多,6.8,平均,平均,
平均,0.41,2.8,0.18,2.7,,WNW,1.9,NNW,4.6,107,,
2022/3/1,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.25,2,0.1,2.5,,WNW,5,NE,1.8,71,,
2,0.12,2,0.07,2.6,,WNW,7,NE,2,112,,
3,0.11,1.5,0.06,2.8,,W,10,N,2.1,147,,
4,0.09,3,0.05,3,,WNW,11,NNW,1.7,171,,
5,0.43,3,0.15,3,,WNW,8,N,1.7,175,,
6,0.19,3.5,0.1,2.4,,W,5,N,1.6,167,,
7,0.21,2.5,0.11,2.7,,ESE,2,NNW,1.7,151,,
8,0.2,2,0.12,2.7,,ESE,3,NNW,2.6,130,,
9,0.34,3,0.18,3.4,,SSE,2,WNW,1.4,108,,
10,0.38,1.5,0.18,2.4,,SE,4,ESE,0.3,92,,
11,0.35,2.5,0.19,2.7,,ESE,2,ESE,2.4,91,,
12,0.28,4,0.16,2.9,,SE,1,ESE,3.3,109,,
13,0.29,3.5,0.18,2.8,,E,2,SE,3.5,136,,
14,0.6,2,0.31,2.2,ENE,WSW,7,S,10.3,171,,
15,1.29,2.5,0.65,2.9,SE,S,7,SSW,14.1,194,,
16,1.09,2.5,0.59,2.5,E,WSW,2,SW,12.4,195,,
17,0.83,1.5,0.4,2.8,ENE,ENE,7,SW,8.6,178,,
18,0.65,3,0.35,3.1,E,N,4,SSW,6.6,149,,
19,0.5,3,0.27,3.2,NE,ESE,6,SW,5.1,108,,
20,0.42,3,0.22,3.3,,ESE,10,NNE,1.7,68,,
21,0.53,3.5,0.19,3,,ESE,13,NNE,2.7,37,,
22,0.32,4.5,0.17,3.3,,ESE,11,NNE,3.2,14,,
23,0.3,3,0.14,2.9,,NNE,2,NNE,1.8,8,,
24,0.24,2.5,0.13,2.9,,WNW,2,N,2.2,22,,
最大,1.29,4.5,0.65,3.4,最多,平均,13,最多,14.1,平均,平均,
平均,0.42,2.7,0.21,2.8,E,S,0.4,N,4,117,,
2022/3/2,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.16,3,0.09,2.7,,W,7,NNW,4.5,55,,
2,0.16,4,0.09,2.5,,WNW,11,NNW,4.6,95,,
3,0.16,2,0.1,2.6,,W,12,N,3.9,134,,
4,0.18,2,0.09,2.7,,WNW,10,N,3.9,168,,
5,0.33,3.5,0.17,3.2,,WNW,5,N,2.4,185,,
6,0.39,2.5,0.18,2.5,,E,2,N,2.4,183,,
7,0.35,2.5,0.21,2.9,,ESE,8,NNE,2.3,167,,
8,0.31,3.5,0.19,3.2,,ESE,10,NNE,4.2,140,,
9,0.29,2,0.18,2.8,,ESE,12,NNE,4.5,109,,
10,0.25,2.5,0.15,2.6,,E,11,NE,3.2,86,,
11,0.93,3,0.25,3.1,S,E,8,ESE,4.2,75,,
12,0.61,3.5,0.23,2.7,,ESE,6,SE,4.8,82,,
13,0.25,2,0.17,2.8,,WSW,4,SE,3,106,,
14,0.47,2.5,0.24,2.7,,SW,4,ESE,2.2,140,,
15,0.47,3,0.22,3,,WNW,5,ESE,2.6,174,,
16,0.38,2,0.21,2.6,,NW,10,ESE,5.3,194,,
17,0.61,2.5,0.34,2.8,ESE,NNE,1,E,4.9,192,,
18,0.62,2.5,0.35,2.6,ENE,SE,2,E,4.4,173,,
19,0.68,2.5,0.39,2.7,ENE,SE,6,ESE,4.9,139,,
20,0.58,2.5,0.35,2.6,ESE,E,17,E,3.9,96,,
21,0.43,2,0.24,2.4,,ESE,22,ENE,4.2,56,,
22,0.35,2.5,0.19,2.4,,SE,13,NNE,5,22,,
23,0.39,3.5,0.17,2.6,,SE,6,N,6.5,2,,
24,0.33,2.5,0.14,2.3,,E,7,NNE,6.2,3,,
最大,0.93,4,0.39,3.2,最多,平均,22,最多,6.5,平均,平均,
平均,0.4,2.7,0.21,2.7,ESE,ESE,2.6,N,4.1,116,,
2022/3/3,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.3,3,0.14,2.5,,NNE,2,NNE,4.9,25,,
2,0.32,2.5,0.14,2.8,,NW,9,NNE,4.5,64,,
3,0.37,2.5,0.2,2.8,,WNW,5,NNE,4.1,113,,
4,0.41,2.5,0.17,2.7,,NW,8,NNE,2.1,156,,
5,0.58,4,0.19,3.3,,NNW,6,NNE,2.7,183,,
6,0.25,2.5,0.14,2.6,,N,5,NNE,1.5,189,,
7,0.26,2.5,0.16,2.7,,NE,5,ENE,2,176,,
8,0.36,2,0.21,2.7,,E,5,NE,0.4,149,,
9,0.35,3,0.18,2.5,,E,9,N,0.6,117,,
10,0.26,4.5,0.18,3,,ESE,5,E,1.6,87,,
11,0.35,2.5,0.19,2.7,,E,30,ESE,1.6,65,,
12,0.27,2.5,0.17,2.7,,S,1,ENE,2,62,,
13,0.35,4,0.21,3.1,,NNW,5,ENE,3.6,82,,
14,0.35,2.5,0.18,2.8,,NW,7,SE,2.8,118,,
15,0.45,3.5,0.21,2.9,,NW,9,ESE,3.6,157,,
16,0.35,2.5,0.21,2.7,,WNW,6,SE,3,188,,
17,0.63,5,0.28,3.2,SE,WNW,4,SE,1.9,202,,
18,0.4,3,0.21,3,,W,6,NE,1.7,193,,
19,0.24,2,0.15,2.4,,SSE,3,N,9,163,,
20,0.29,2.5,0.14,2.9,,ENE,5,N,6.7,125,,
21,0.33,3.5,0.15,3.1,,E,10,N,6.2,75,,
22,0.22,2.5,0.14,2.5,,ENE,8,NNW,7.1,34,,
23,0.33,2.5,0.19,2.8,,NE,3,N,6.9,10,,
24,0.29,2,0.16,2.7,,NNW,7,N,7.8,2,,
最大,0.63,5,0.28,3.3,最多,平均,30,最多,9,平均,平均,
平均,0.35,2.9,0.18,2.8,,NNE,2.6,N,3.7,114,,
2022/3/4,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.29,2.5,0.18,2.9,,WSW,6,N,5.4,17,,
2,0.33,3,0.2,3,,W,10,N,3.9,49,,
3,0.46,2.5,0.24,2.6,,WNW,8,NE,3.8,90,,
4,0.46,2,0.26,2.5,WSW,W,14,NE,4.1,130,,
5,0.47,2.5,0.28,2.7,SSE,SW,5,NE,4.9,162,,
6,0.57,2.5,0.3,2.7,WSW,WNW,4,NNE,3,179,,
7,0.58,2.5,0.32,2.7,SSE,ENE,3,NE,4.1,174,,
8,0.74,2.5,0.36,2.7,SSW,E,4,NE,4.2,150,,
9,0.5,2.5,0.3,2.6,SW,ESE,15,NE,3.1,115,,
10,0.53,2.5,0.29,2.7,NE,ESE,15,ENE,3,79,,
11,0.39,3,0.23,2.8,,SE,17,ENE,2.5,48,,
12,0.34,2,0.18,2.4,,ESE,10,ENE,0.4,36,,
13,0.29,2.5,0.15,2.5,,ENE,1,E,0.9,47,,
14,0.42,3,0.26,3.1,NNW,N,4,ESE,0.3,75,,
15,0.34,2.5,0.2,2.7,,NW,7,E,1.3,117,,
16,0.39,3,0.2,2.7,,WNW,10,E,2.5,158,,
17,0.61,2.5,0.3,2.6,SE,WSW,8,ESE,7.1,184,,
18,0.89,3,0.48,2.6,SE,W,4,ESE,7.1,188,,
19,0.73,2.5,0.43,2.5,SE,ESE,7,SE,6.2,174,,
20,0.68,2.5,0.37,2.5,N,SE,15,SE,5.7,146,,
21,0.38,2.5,0.24,2.4,,ESE,15,SE,2.1,109,,
22,0.28,2.5,0.15,2.4,,SE,12,SSE,2.6,71,,
23,0.25,2.5,0.13,2.8,,SE,5,ESE,2.2,36,,
24,0.17,3.5,0.1,2.2,,SSW,4,SE,1.7,15,,
最大,0.89,3.5,0.48,3.1,最多,平均,17,最多,7.1,平均,平均,
平均,0.46,2.6,0.26,2.6,SE,SE,2.4,NE,3.4,106,,
2022/3/5,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.15,3,0.09,2.5,,NW,4,SSE,2,20,,
2,0.25,2.5,0.13,2.7,,NW,11,NNW,2,45,,
3,0.21,2.5,0.13,2.8,,WNW,7,NW,1.5,86,,
4,0.12,2.5,0.07,2.7,,WNW,7,NNE,2.5,129,,
5,0.35,3.5,0.15,3.4,,W,10,N,1.2,164,,
6,0.23,2.5,0.11,2.8,,WNW,4,NNE,3.2,182,,
7,0.29,3.5,0.11,3,,,0,NNE,2.6,185,,
8,0.37,3,0.16,3.1,,NE,5,NE,3.4,169,,
9,0.22,3,0.13,2.9,,E,5,ENE,2.2,143,,
10,0.29,2.5,0.14,2.8,,ESE,10,SSE,1.9,106,,
11,0.37,3,0.18,3.2,,E,7,ESE,3.4,73,,
12,0.57,3,0.23,2.8,,ENE,4,S,4.2,50,,
13,0.67,1.5,0.32,2.1,ESE,SE,7,S,7.8,48,,
14,1.16,2.5,0.55,2.4,ESE,W,3,S,10.5,75,,
15,0.89,2,0.5,2.5,ESE,N,8,SSW,11.8,117,,
16,1.25,2.5,0.68,2.8,SSE,WNW,4,SSW,14.6,158,,
17,1.28,2.5,0.67,2.9,S,W,9,SSW,13.2,188,,
18,1.2,3,0.61,2.9,SE,NW,8,SSW,13.2,205,,
19,0.92,2.5,0.55,2.7,SE,W,6,SW,12.3,202,,
20,0.84,2.5,0.49,2.7,ESE,W,8,SW,11.4,181,,
21,0.72,2.5,0.37,3,SE,W,15,NW,2.2,149,,
22,0.53,3.5,0.27,3.7,SE,W,13,N,6.1,114,,
23,0.53,4,0.29,3.9,ESE,NNW,3,NNW,5,78,,
24,0.34,4,0.21,3.6,,NW,4,N,6.5,50,,
最大,1.28,4,0.68,3.9,最多,平均,15,最多,14.6,平均,平均,
平均,0.57,2.8,0.3,2.9,ESE,WNW,3.6,SSW,6,122,,
2022/3/6,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.29,3,0.18,2.7,,WNW,13,N,9.3,39,,
2,0.33,1.5,0.16,2.4,,NNW,12,N,8.5,50,,
3,0.42,3,0.22,2.5,,NW,16,NNW,8.3,80,,
4,0.46,2,0.27,2.7,E,WNW,16,NW,9.9,118,,
5,0.54,3,0.28,2.8,SSW,WNW,14,NNW,8.5,156,,
6,0.34,2,0.19,2.6,,W,7,NNW,6.8,181,,
7,0.37,3,0.22,2.7,,WNW,9,NNW,5.2,188,,
8,0.36,3,0.2,3,,NNW,7,NNW,6.9,176,,
9,0.3,4,0.18,3.4,,NE,4,NNW,3.3,152,,
10,0.46,4,0.22,3.4,,NE,4,NNW,5.2,118,,
11,0.42,3.5,0.2,3.2,,ENE,7,N,4.4,83,,
12,0.23,3,0.14,2.9,,NE,4,N,7.3,52,,
13,0.41,5.5,0.2,3.7,,E,5,NNE,4.1,37,,
14,0.57,2,0.28,2.3,NW,NE,2,SE,6.5,45,,
15,0.49,2.5,0.28,2.3,NE,SW,8,SE,5,70,,
16,0.44,2.5,0.24,2.7,,WNW,10,SE,3.2,110,,
