産業分類階層,大分類,中分類,小分類,分類名,会社企業／総数／企業数（企業）,会社企業／総数／従業者数（人）,会社企業／単一事業所企業／企業数（企業）,会社企業／単一事業所企業／企業従業者数（人）,会社企業／複数事業所企業／企業数（企業）,会社企業／複数事業所企業／企業従業者数（人）,資本金階級／300万円未満／総数／企業数（企業）,資本金階級／300万円未満／総数／企業従業者数（人）,資本金階級／300万円未満／単一事業所企業／企業数（企業）,資本金階級／300万円未満／単一事業所企業／企業従業者数（人）,資本金階級／300万円未満／複数事業所企業／企業数（企業）,資本金階級／300万円未満／複数事業所企業／企業従業者数（人）,資本金階級／300万～500万円未満／総数／企業数（企業）,資本金階級／300万～500万円未満／総数／企業従業者数（人）,資本金階級／300万～500万円未満／単一事業所企業／企業数（企業）,資本金階級／300万～500万円未満／単一事業所企業／企業従業者数（人）,資本金階級／300万～500万円未満／複数事業所企業／企業数（企業）,資本金階級／300万～500万円未満／複数事業所企業／企業従業者数（人）,資本金階級／500万～1000万円未満／総数／企業数（企業）,資本金階級／500万～1000万円未満／総数／企業従業者数（人）,資本金階級／500万～1000万円未満／単一事業所企業／企業数（企業）,資本金階級／500万～1000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／500万～1000万円未満／複数事業所企業／企業数（企業）,資本金階級／500万～1000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／1000万～3000万円未満／総数／企業数（企業）,資本金階級／1000万～3000万円未満／総数／企業従業者数（人）,資本金階級／1000万～3000万円未満／単一事業所企業／企業数（企業）,資本金階級／1000万～3000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／1000万～3000万円未満／複数事業所企業／企業数（企業）,資本金階級／1000万～3000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／3000万～5000万円未満／総数／企業数（企業）,資本金階級／3000万～5000万円未満／総数／企業従業者数（人）,資本金階級／3000万～5000万円未満／単一事業所企業／企業数（企業）,資本金階級／3000万～5000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／3000万～5000万円未満／複数事業所企業／企業数（企業）,資本金階級／3000万～5000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／5000万～1億円未満／総数／企業数（企業）,資本金階級／5000万～1億円未満／総数／企業従業者数（人）,資本金階級／5000万～1億円未満／単一事業所企業／企業数（企業）,資本金階級／5000万～1億円未満／単一事業所企業／企業従業者数（人）,資本金階級／5000万～1億円未満／複数事業所企業／企業数（企業）,資本金階級／5000万～1億円未満／複数事業所企業／企業従業者数（人）,資本金階級／1億～3億円未満／総数／企業数（企業）,資本金階級／1億～3億円未満／総数／企業従業者数（人）,資本金階級／1億～3億円未満／単一事業所企業／企業数（企業）,資本金階級／1億～3億円未満／単一事業所企業／企業従業者数（人）,資本金階級／1億～3億円未満／複数事業所企業／企業数（企業）,資本金階級／1億～3億円未満／複数事業所企業／企業従業者数（人）,資本金階級／3億～10億円未満／総数／企業数（企業）,資本金階級／3億～10億円未満／総数／企業従業者数（人）,資本金階級／3億～10億円未満／単一事業所企業／企業数（企業）,資本金階級／3億～10億円未満／単一事業所企業／企業従業者数（人）,資本金階級／3億～10億円未満／複数事業所企業／企業数（企業）,資本金階級／3億～10億円未満／複数事業所企業／企業従業者数（人）,資本金階級／10億～50億円未満／総数／企業数（企業）,資本金階級／10億～50億円未満／総数／企業従業者数（人）,資本金階級／10億～50億円未満／単一事業所企業／企業数（企業）,資本金階級／10億～50億円未満／単一事業所企業／企業従業者数（人）,資本金階級／10億～50億円未満／複数事業所企業／企業数（企業）,資本金階級／10億～50億円未満／複数事業所企業／企業従業者数（人）,資本金階級／50億円以上／総数／企業数（企業）,資本金階級／50億円以上／総数／企業従業者数（人）,資本金階級／50億円以上／単一事業所企業／企業数（企業）,資本金階級／50億円以上／単一事業所企業／企業従業者数（人）,資本金階級／50億円以上／複数事業所企業／企業数（企業）,資本金階級／50億円以上／複数事業所企業／企業従業者数（人）
3,E,09,099,その他の食料品製造業,697,75776,496,6820,201,68956,33,695,30,168,3,527,192,1508,184,1280,8,228,64,598,57,442,7,156,248,7148,178,3221,70,3927,35,2566,15,819,20,1747,53,6893,13,370,40,6523,23,8430,4,213,19,8217,10,5721,-,-,10,5721,11,19050,1,183,10,18867,9,22253,-,-,9,22253
2,E,10,000,飲料・たばこ・飼料製造業,176,50443,79,673,97,49770,7,74,6,67,1,7,18,139,15,74,3,65,2,5,2,5,-,-,66,1358,39,400,27,958,18,319,6,34,12,285,17,1420,6,46,11,1374,15,3767,1,28,14,3739,9,3902,-,-,9,3902,8,3937,-,-,8,3937,11,35499,-,-,11,35499
3,E,10,101,清涼飲料製造業,52,12236,22,130,30,12106,1,9,1,9,-,-,3,18,3,18,-,-,-,-,-,-,-,-,21,348,14,83,7,265,3,22,2,13,1,9,10,1191,2,7,8,1184,4,2169,-,-,4,2169,4,3112,-,-,4,3112,3,1455,-,-,3,1455,3,3912,-,-,3,3912
3,E,10,102,酒類製造業,30,16186,18,227,12,15959,3,21,3,21,-,-,5,25,5,25,-,-,-,-,-,-,-,-,10,279,8,149,2,130,-,-,-,-,-,-,2,32,2,32,-,-,1,449,-,-,1,449,2,288,-,-,2,288,2,1479,-,-,2,1479,5,13613,-,-,5,13613
3,E,10,103,茶・コーヒー製造業（清涼飲料を除く）,33,8927,15,96,18,8831,1,7,-,-,1,7,-,-,-,-,-,-,1,2,1,2,-,-,14,329,8,65,6,264,8,156,3,18,5,138,1,1,1,1,-,-,1,93,-,-,1,93,2,238,-,-,2,238,1,179,-,-,1,179,1,7908,-,-,1,7908
3,E,10,104,製氷業,7,181,3,23,4,158,-,-,-,-,-,-,2,16,2,16,-,-,-,-,-,-,-,-,1,7,1,7,-,-,2,13,-,-,2,13,2,145,-,-,2,145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,10,105,たばこ製造業,1,9557,-,-,1,9557,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9557,-,-,1,9557
3,E,10,106,飼料・有機質肥料製造業,53,3356,21,197,32,3159,2,37,2,37,-,-,8,80,5,15,3,65,1,3,1,3,-,-,20,395,8,96,12,299,5,128,1,3,4,125,2,51,1,6,1,45,9,1056,1,28,8,1028,1,264,-,-,1,264,2,824,-,-,2,824,1,509,-,-,1,509
2,E,11,000,繊維工業,1800,49931,1466,8966,334,40965,78,406,70,325,8,81,615,2900,580,2446,35,454,154,998,138,755,16,243,766,11688,584,4102,182,7586,63,3415,31,713,32,2702,38,2744,12,263,26,2481,15,3768,4,106,11,3662,8,2064,-,-,8,2064,5,2599,-,-,5,2599,6,18916,-,-,6,18916
3,E,11,111,製糸業，紡績業，化学繊維・ねん糸等製造業,13,17522,4,12,9,17510,-,-,-,-,-,-,3,8,3,8,-,-,1,6,-,-,1,6,2,74,1,4,1,70,-,-,-,-,-,-,1,100,-,-,1,100,1,19,-,-,1,19,2,754,-,-,2,754,1,146,-,-,1,146,2,16415,-,-,2,16415
3,E,11,112,織物業,49,2929,39,193,10,2736,4,11,4,11,-,-,16,71,15,59,1,12,3,17,3,17,-,-,21,230,17,106,4,124,2,57,-,-,2,57,-,-,-,-,-,-,1,1603,-,-,1,1603,-,-,-,-,-,-,1,524,-,-,1,524,1,416,-,-,1,416
3,E,11,113,ニット生地製造業,33,198,28,112,5,86,-,-,-,-,-,-,14,69,12,39,2,30,8,35,7,28,1,7,8,38,8,38,-,-,2,44,1,7,1,37,1,12,-,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,11,114,染色整理業,92,1386,83,514,9,872,2,2,2,2,-,-,45,208,41,145,4,63,8,42,8,42,-,-,31,346,29,318,2,28,2,54,-,-,2,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,727,-,-,1,727,-,-,-,-,-,-
3,E,11,115,綱・網・レース・繊維粗製品製造業,61,3108,36,176,25,2932,3,10,3,10,-,-,11,70,10,34,1,36,2,10,1,7,1,3,33,429,20,103,13,326,3,62,2,22,1,40,5,167,-,-,5,167,-,-,-,-,-,-,1,186,-,-,1,186,2,1202,-,-,2,1202,1,972,-,-,1,972
3,E,11,116,外衣・シャツ製造業（和式を除く）,895,15189,739,4518,156,10671,50,267,47,242,3,25,316,1466,299,1285,17,181,74,522,66,357,8,165,360,7597,264,1907,96,5690,28,1012,17,196,11,816,17,1645,7,207,10,1438,8,1339,3,104,5,1235,2,585,-,-,2,585,-,-,-,-,-,-,1,391,-,-,1,391
3,E,11,117,下着類製造業,23,211,18,128,5,83,-,-,-,-,-,-,4,19,4,19,-,-,-,-,-,-,-,-,13,143,10,90,3,53,3,31,1,1,2,30,1,11,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,11,118,和装製品・その他の衣服・繊維製身の回り品製造業,261,2766,219,1175,42,1591,9,69,5,23,4,46,81,379,80,377,1,2,25,167,23,133,2,34,126,1022,102,579,24,443,6,381,3,43,3,338,5,372,1,1,4,371,2,90,1,2,1,88,1,237,-,-,1,237,-,-,-,-,-,-,-,-,-,-,-,-
3,E,11,119,その他の繊維製品製造業,373,6622,300,2138,73,4484,10,47,9,37,1,10,125,610,116,480,9,130,33,199,30,171,3,28,172,1809,133,957,39,852,17,1774,7,444,10,1330,8,437,3,44,5,393,3,717,-,-,3,717,2,302,-,-,2,302,-,-,-,-,-,-,1,722,-,-,1,722
2,E,12,000,木材・木製品製造業（家具を除く）,269,6210,190,1007,79,5203,9,33,9,33,-,-,90,381,80,312,10,69,18,106,16,78,2,28,101,1036,71,467,30,569,14,416,4,77,10,339,16,979,4,23,12,956,13,1754,1,4,12,1750,-,-,-,-,-,-,2,1485,-,-,2,1485,-,-,-,-,-,-
3,E,12,121,製材業，木製品製造業,48,711,36,210,12,501,-,-,-,-,-,-,25,114,20,82,5,32,3,30,3,30,-,-,11,106,10,68,1,38,3,56,1,20,2,36,2,80,1,6,1,74,3,318,1,4,2,314,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,12,122,造作材・合板・建築用組立材料製造業,105,4514,60,380,45,4134,2,11,2,11,-,-,22,101,20,84,2,17,8,48,7,32,1,16,42,530,26,188,16,342,7,150,2,54,5,96,11,834,1,5,10,829,9,1349,-,-,9,1349,-,-,-,-,-,-,2,1485,-,-,2,1485,-,-,-,-,-,-
3,E,12,123,木製容器製造業（竹，とうを含む）,41,469,31,132,10,337,-,-,-,-,-,-,16,58,15,51,1,7,2,6,2,6,-,-,18,173,12,70,6,103,2,174,-,-,2,174,1,53,-,-,1,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,12,129,その他の木製品製造業（竹，とうを含む）,75,516,63,285,12,231,7,22,7,22,-,-,27,108,25,95,2,13,5,22,4,10,1,12,30,227,23,141,7,86,2,36,1,3,1,33,2,12,2,12,-,-,1,87,-,-,1,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,13,000,家具・装備品製造業,830,18396,682,3488,148,14908,34,126,31,108,3,18,338,1357,318,1197,20,160,103,544,96,442,7,102,266,2491,204,1306,62,1185,31,878,13,181,18,697,26,1699,5,159,21,1540,10,3142,-,-,10,3142,1,129,-,-,1,129,1,665,-,-,1,665,3,7205,-,-,3,7205
3,E,13,131,家具製造業,451,14209,360,1850,91,12359,23,70,21,61,2,9,175,705,163,610,12,95,45,311,40,225,5,86,153,1386,116,726,37,660,17,362,7,92,10,270,16,950,3,57,13,893,8,3012,-,-,8,3012,1,129,-,-,1,129,-,-,-,-,-,-,3,7205,-,-,3,7205
3,E,13,132,宗教用具製造業,27,255,19,92,8,163,2,13,2,13,-,-,12,66,8,30,4,36,2,8,2,8,-,-,9,108,6,36,3,72,1,5,1,5,-,-,1,55,-,-,1,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,13,133,建具製造業,167,940,157,577,10,363,2,9,2,9,-,-,84,237,83,234,1,3,32,117,31,112,1,5,40,259,36,206,4,53,2,77,1,1,1,76,2,166,-,-,2,166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,13,139,その他の家具・装備品製造業,185,2992,146,969,39,2023,7,34,6,25,1,9,67,349,64,323,3,26,24,108,23,97,1,11,64,738,46,338,18,400,11,434,4,83,7,351,7,528,2,102,5,426,2,130,-,-,2,130,-,-,-,-,-,-,1,665,-,-,1,665,-,-,-,-,-,-
2,E,14,000,パルプ・紙・紙加工品製造業,1148,56738,863,5876,285,50862,24,126,24,126,-,-,393,1823,372,1557,21,266,83,479,75,334,8,145,489,7577,358,3232,131,4345,45,2285,15,335,30,1950,47,5758,7,80,40,5678,21,4047,2,161,19,3886,17,10859,1,27,16,10832,8,4811,-,-,8,4811,11,18939,-,-,11,18939
3,E,14,141,パルプ製造業,3,73,2,29,1,44,-,-,-,-,-,-,1,9,1,9,-,-,-,-,-,-,-,-,1,20,1,20,-,-,-,-,-,-,-,-,1,44,-,-,1,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,14,142,紙製造業,27,18378,10,133,17,18245,-,-,-,-,-,-,4,20,4,20,-,-,2,5,2,5,-,-,6,134,3,23,3,111,1,75,-,-,1,75,-,-,-,-,-,-,3,244,1,85,2,159,3,5599,-,-,3,5599,2,477,-,-,2,477,5,11814,-,-,5,11814
3,E,14,143,加工紙製造業,31,4240,15,178,16,4062,-,-,-,-,-,-,6,27,5,24,1,3,1,6,1,6,-,-,9,181,7,110,2,71,2,171,1,37,1,134,5,1960,-,-,5,1960,3,288,-,-,3,288,3,805,-,-,3,805,-,-,-,-,-,-,1,801,-,-,1,801
3,E,14,144,紙製品製造業,335,7138,266,1764,69,5374,13,66,13,66,-,-,123,515,118,442,5,73,15,70,15,70,-,-,148,2033,113,1067,35,966,11,518,4,106,7,412,15,1785,1,9,14,1776,6,1745,-,-,6,1745,1,95,-,-,1,95,1,307,-,-,1,307,-,-,-,-,-,-
3,E,14,145,紙製容器製造業,558,19155,427,2921,131,16234,7,35,7,35,-,-,195,949,184,805,11,144,39,301,34,179,5,122,252,4033,185,1587,67,2446,25,1237,9,181,16,1056,14,1015,2,16,12,999,8,1344,1,76,7,1268,8,3573,1,27,7,3546,4,3180,-,-,4,3180,2,3473,-,-,2,3473
3,E,14,149,その他のパルプ・紙・紙加工品製造業,194,7754,143,851,51,6903,4,25,4,25,-,-,64,303,60,257,4,46,26,97,23,74,3,23,73,1176,49,425,24,751,6,284,1,11,5,273,12,954,4,55,8,899,1,426,-,-,1,426,2,787,-,-,2,787,1,847,-,-,1,847,3,2851,-,-,3,2851
2,E,15,000,印刷・同関連業,5157,126868,4450,32895,707,93973,167,769,155,553,12,216,1751,7938,1679,6879,72,1059,434,2481,406,2159,28,322,2291,30794,1953,18005,338,12789,194,7878,108,2354,86,5524,136,12134,52,2040,84,10094,63,16936,9,412,54,16524,13,13777,2,53,11,13724,10,6660,-,-,10,6660,5,26881,-,-,5,26881
3,E,15,151,印刷業,3766,107190,3208,22650,558,84540,116,509,107,353,9,156,1120,4377,1072,3765,48,612,279,1493,265,1290,14,203,1820,23938,1563,13658,257,10280,157,6546,83,1774,74,4772,120,10710,43,1223,77,9487,58,15443,6,187,52,15256,10,11774,2,53,8,11721,10,6660,-,-,10,6660,4,25238,-,-,4,25238
3,E,15,152,製版業,386,9012,333,3461,53,5551,17,93,15,56,2,37,113,661,110,649,3,12,27,202,24,165,3,37,189,2915,162,1909,27,1006,20,1017,13,388,7,629,7,619,1,40,6,579,3,1462,2,217,1,1245,3,2003,-,-,3,2003,-,-,-,-,-,-,-,-,-,-,-,-
3,E,15,153,製本業，印刷物加工業,935,9414,848,5870,87,3544,32,142,32,142,-,-,490,2508,473,2304,17,204,118,732,107,650,11,82,257,3565,207,2146,50,1419,17,315,12,192,5,123,6,406,5,378,1,28,2,31,1,8,1,23,-,-,-,-,-,-,-,-,-,-,-,-,1,1643,-,-,1,1643
3,E,15,159,印刷関連サービス業,70,1252,61,914,9,338,2,25,1,2,1,23,28,392,24,161,4,231,10,54,10,54,-,-,25,376,21,292,4,84,-,-,-,-,-,-,3,399,3,399,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,16,000,化学工業,1117,281452,397,5174,720,276278,22,376,16,73,6,303,57,423,55,405,2,18,27,120,26,118,1,2,373,9136,208,2570,165,6566,103,5936,32,478,71,5458,135,13967,23,433,112,13534,113,23235,12,833,101,22402,96,18698,3,57,93,18641,91,50751,2,26,89,50725,75,158165,1,81,74,158084
3,E,16,161,化学肥料製造業,13,1614,2,9,11,1605,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,31,1,4,2,27,2,15,1,5,1,10,-,-,-,-,-,-,1,271,-,-,1,271,2,83,-,-,2,83,5,1214,-,-,5,1214,-,-,-,-,-,-
3,E,16,162,無機化学工業製品製造業,103,15398,27,307,76,15091,-,-,-,-,-,-,1,4,1,4,-,-,1,4,1,4,-,-,25,456,15,172,10,284,8,346,4,51,4,295,18,749,3,32,15,717,15,1635,1,41,14,1594,15,2154,-,-,15,2154,13,4771,-,-,13,4771,5,5276,-,-,5,5276
3,E,16,163,有機化学工業製品製造業,158,79396,32,243,126,79153,-,-,-,-,-,-,4,43,4,43,-,-,3,17,3,17,-,-,29,331,17,133,12,198,5,171,-,-,5,171,14,1038,2,41,12,997,24,3321,-,-,24,3321,26,3161,1,1,25,3160,17,2967,1,1,16,2966,30,68037,-,-,30,68037
3,E,16,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,180,22902,81,717,99,22185,5,24,5,24,-,-,12,39,11,33,1,6,6,28,6,28,-,-,81,1677,48,461,33,1216,21,976,7,93,14,883,20,1494,3,72,17,1422,13,1706,-,-,13,1706,10,1487,1,6,9,1481,5,2314,-,-,5,2314,6,13036,-,-,6,13036
3,E,16,165,医薬品製造業,196,100998,47,1778,149,99220,4,211,2,13,2,198,5,62,5,62,-,-,-,-,-,-,-,-,40,2241,18,817,22,1424,20,1496,7,98,13,1398,28,5108,3,44,25,5064,30,10013,6,564,24,9449,16,3889,1,50,15,3839,27,26585,1,25,26,26560,23,51369,1,81,22,51288
3,E,16,166,化粧品・歯磨・その他の化粧用調整品製造業,224,29099,122,1321,102,27778,8,40,6,21,2,19,17,219,16,207,1,12,9,37,9,37,-,-,104,2386,63,588,41,1798,22,1626,7,125,15,1501,30,3065,11,231,19,2834,14,4291,1,50,13,4241,6,5032,-,-,6,5032,2,6112,-,-,2,6112,3,6229,-,-,3,6229
3,E,16,169,その他の化学工業,243,32045,86,799,157,31246,5,101,3,15,2,86,18,56,18,56,-,-,8,34,7,32,1,2,91,2014,46,395,45,1619,25,1306,6,106,19,1200,25,2513,1,13,24,2500,16,1998,4,178,12,1820,21,2892,-,-,21,2892,22,6788,-,-,22,6788,8,14218,-,-,8,14218
2,E,17,000,石油製品・石炭製品製造業,43,23258,12,117,31,23141,-,-,-,-,-,-,4,14,4,14,-,-,-,-,-,-,-,-,9,72,6,45,3,27,5,246,1,14,4,232,4,460,1,44,3,416,6,647,-,-,6,647,3,150,-,-,3,150,3,905,-,-,3,905,9,20764,-,-,9,20764
3,E,17,171,石油精製業,11,20584,1,3,10,20581,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,418,-,-,2,418,8,20163,-,-,8,20163
3,E,17,172,潤滑油・グリース製造業（石油精製業によらないもの）,14,839,5,82,9,757,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,3,27,2,21,1,6,3,120,1,14,2,106,2,163,1,44,1,119,3,376,-,-,3,376,2,150,-,-,2,150,-,-,-,-,-,-,-,-,-,-,-,-
3,E,17,173,コークス製造業,2,601,-,-,2,601,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,601,-,-,1,601
3,E,17,174,舗装材料製造業,11,925,3,20,8,905,-,-,-,-,-,-,2,8,2,8,-,-,-,-,-,-,-,-,3,33,1,12,2,21,2,126,-,-,2,126,-,-,-,-,-,-,3,271,-,-,3,271,-,-,-,-,-,-,1,487,-,-,1,487,-,-,-,-,-,-
3,E,17,179,その他の石油製品・石炭製品製造業,5,309,3,12,2,297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,12,3,12,-,-,-,-,-,-,-,-,2,297,-,-,2,297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,18,000,プラスチック製品製造業（別掲を除く）,1677,81587,1185,8288,492,73299,32,147,27,115,5,32,507,2206,489,2073,18,133,136,847,124,686,12,161,696,12443,483,4422,213,8021,98,5433,27,420,71,5013,73,6756,13,391,60,6365,38,5686,7,64,31,5622,39,17296,2,29,37,17267,23,9175,-,-,23,9175,15,21189,-,-,15,21189
3,E,18,181,プラスチック板・棒・管・継手・異形押出製品製造業,213,12209,174,1212,39,10997,2,14,2,14,-,-,83,329,82,326,1,3,18,70,17,67,1,3,83,1147,64,590,19,557,6,402,2,6,4,396,10,649,4,179,6,470,2,16,2,16,-,-,3,432,-,-,3,432,3,1558,-,-,3,1558,1,7472,-,-,1,7472
3,E,18,182,プラスチックフィルム・シート・床材・合成皮革製造業,228,22857,131,945,97,21912,5,16,5,16,-,-,55,270,55,270,-,-,16,81,16,81,-,-,77,1378,45,413,32,965,15,751,2,22,13,729,14,1400,3,70,11,1330,7,609,1,30,6,579,20,5684,2,29,18,5655,8,2791,-,-,8,2791,8,9816,-,-,8,9816
3,E,18,183,工業用プラスチック製品製造業,499,15461,362,2783,137,12678,8,51,8,51,-,-,152,715,145,667,7,48,46,338,42,245,4,93,222,4535,148,1453,74,3082,33,1900,11,226,22,1674,15,1801,4,129,11,1672,6,1080,-,-,6,1080,6,1726,-,-,6,1726,3,1673,-,-,3,1673,2,1579,-,-,2,1579
3,E,18,184,発泡・強化プラスチック製品製造業,120,6134,68,475,52,5659,4,16,3,6,1,10,24,106,23,100,1,6,9,39,7,29,2,10,55,1027,33,328,22,699,5,393,-,-,5,393,11,486,1,9,10,477,4,681,-,-,4,681,2,1288,-,-,2,1288,4,1296,-,-,4,1296,1,799,-,-,1,799
3,E,18,185,プラスチック成形材料製造業（廃プラスチックを含む）,77,2090,56,204,21,1886,1,3,-,-,1,3,26,87,25,83,1,4,6,18,6,18,-,-,31,284,22,83,9,201,4,55,2,16,2,39,4,375,-,-,4,375,2,127,1,4,1,123,1,64,-,-,1,64,1,273,-,-,1,273,1,804,-,-,1,804
3,E,18,189,その他のプラスチック製品製造業,540,22836,394,2669,146,20167,12,47,9,28,3,19,167,699,159,627,8,72,41,301,36,246,5,55,228,4072,171,1555,57,2517,35,1932,10,150,25,1782,19,2045,1,4,18,2041,17,3173,3,14,14,3159,7,8102,-,-,7,8102,4,1584,-,-,4,1584,2,719,-,-,2,719
2,E,19,000,ゴム製品製造業,526,42723,383,2664,143,40059,12,96,11,82,1,14,156,731,147,639,9,92,53,276,49,222,4,54,230,3811,160,1512,70,2299,27,1493,4,118,23,1375,16,1521,4,69,12,1452,8,2358,-,-,8,2358,6,2007,-,-,6,2007,2,1133,-,-,2,1133,5,29054,-,-,5,29054
3,E,19,191,タイヤ・チューブ製造業,6,22805,4,21,2,22784,1,10,1,10,-,-,1,5,1,5,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,22784,-,-,2,22784
3,E,19,192,ゴム製・プラスチック製履物・同附属品製造業,35,2100,29,212,6,1888,-,-,-,-,-,-,16,59,16,59,-,-,2,8,2,8,-,-,13,289,8,106,5,183,-,-,-,-,-,-,2,35,2,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1705,-,-,1,1705
3,E,19,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,393,15622,276,1888,117,13734,7,68,6,54,1,14,113,547,105,459,8,88,43,229,39,175,4,54,169,2866,118,1147,51,1719,24,1383,1,8,23,1375,14,1486,2,34,12,1452,7,1740,-,-,7,1740,4,1373,-,-,4,1373,2,1133,-,-,2,1133,2,4565,-,-,2,4565
3,E,19,199,その他のゴム製品製造業,92,2196,74,543,18,1653,4,18,4,18,-,-,26,120,25,116,1,4,7,37,7,37,-,-,48,656,34,259,14,397,3,110,3,110,-,-,-,-,-,-,-,-,1,618,-,-,1,618,2,634,-,-,2,634,-,-,-,-,-,-,-,-,-,-,-,-
2,E,20,000,なめし革・同製品・毛皮製造業,808,9635,718,4906,90,4729,27,149,25,125,2,24,267,1218,250,1055,17,163,105,611,99,516,6,95,333,3866,296,2581,37,1285,33,1223,17,333,16,890,13,614,6,180,7,434,6,516,4,21,2,495,2,194,-,-,2,194,1,1149,-,-,1,1149,-,-,-,-,-,-
3,E,20,201,なめし革製造業,52,387,48,321,4,66,-,-,-,-,-,-,19,115,17,87,2,28,1,4,1,4,-,-,31,261,29,223,2,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,202,工業用革製品製造業（手袋を除く）,5,11,5,11,-,-,-,-,-,-,-,-,5,11,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,203,革製履物用材料・同附属品製造業,75,582,70,398,5,184,3,21,3,21,-,-,27,101,27,101,-,-,13,57,12,46,1,11,27,229,25,217,2,12,2,28,1,9,1,19,-,-,-,-,-,-,1,142,-,-,1,142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,204,革製履物製造業,169,3252,139,1343,30,1909,6,41,5,21,1,20,45,306,39,234,6,72,21,184,19,154,2,30,72,1214,62,697,10,517,14,702,7,157,7,545,4,273,2,60,2,213,2,359,1,6,1,353,1,159,-,-,1,159,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,205,革製手袋製造業,3,14,3,14,-,-,1,5,1,5,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,206,かばん製造業,144,2626,123,802,21,1824,6,22,5,18,1,4,41,179,40,176,1,3,19,115,18,106,1,9,57,660,47,322,10,338,7,234,3,71,4,163,4,218,1,60,3,158,1,6,1,6,-,-,-,-,-,-,-,-,1,1149,-,-,1,1149,-,-,-,-,-,-
3,E,20,207,袋物製造業,278,2101,259,1675,19,426,9,50,9,50,-,-,100,392,94,340,6,52,39,199,38,165,1,34,114,1192,105,974,9,218,6,135,5,89,1,46,3,66,2,25,1,41,1,7,1,7,-,-,1,35,-,-,1,35,-,-,-,-,-,-,-,-,-,-,-,-
