産業分類階層,大分類,中分類,小分類,分類名,東京都／事業所数（事業所）,東京都／従業者数（人）,区部／事業所数（事業所）,区部／従業者数（人）,千代田区／事業所数（事業所）,千代田区／従業者数（人）,中央区／事業所数（事業所）,中央区／従業者数（人）,港区／事業所数（事業所）,港区／従業者数（人）,新宿区／事業所数（事業所）,新宿区／従業者数（人）,文京区／事業所数（事業所）,文京区／従業者数（人）,台東区／事業所数（事業所）,台東区／従業者数（人）,墨田区／事業所数（事業所）,墨田区／従業者数（人）,江東区／事業所数（事業所）,江東区／従業者数（人）,品川区／事業所数（事業所）,品川区／従業者数（人）,目黒区／事業所数（事業所）,目黒区／従業者数（人）,大田区／事業所数（事業所）,大田区／従業者数（人）,世田谷区／事業所数（事業所）,世田谷区／従業者数（人）,渋谷区／事業所数（事業所）,渋谷区／従業者数（人）,中野区／事業所数（事業所）,中野区／従業者数（人）,杉並区／事業所数（事業所）,杉並区／従業者数（人）,豊島区／事業所数（事業所）,豊島区／従業者数（人）,北区／事業所数（事業所）,北区／従業者数（人）,荒川区／事業所数（事業所）,荒川区／従業者数（人）,板橋区／事業所数（事業所）,板橋区／従業者数（人）,練馬区／事業所数（事業所）,練馬区／従業者数（人）,足立区／事業所数（事業所）,足立区／従業者数（人）,葛飾区／事業所数（事業所）,葛飾区／従業者数（人）,江戸川区／事業所数（事業所）,江戸川区／従業者数（人）,境界未定地域／事業所数（事業所）,境界未定地域／従業者数（人）,市部／事業所数（事業所）,市部／従業者数（人）,八王子市／事業所数（事業所）,八王子市／従業者数（人）,立川市／事業所数（事業所）,立川市／従業者数（人）,武蔵野市／事業所数（事業所）,武蔵野市／従業者数（人）,三鷹市／事業所数（事業所）,三鷹市／従業者数（人）,青梅市／事業所数（事業所）,青梅市／従業者数（人）,府中市／事業所数（事業所）,府中市／従業者数（人）,昭島市／事業所数（事業所）,昭島市／従業者数（人）,調布市／事業所数（事業所）,調布市／従業者数（人）,町田市／事業所数（事業所）,町田市／従業者数（人）,小金井市／事業所数（事業所）,小金井市／従業者数（人）,小平市／事業所数（事業所）,小平市／従業者数（人）,日野市／事業所数（事業所）,日野市／従業者数（人）,東村山市／事業所数（事業所）,東村山市／従業者数（人）,国分寺市／事業所数（事業所）,国分寺市／従業者数（人）,国立市／事業所数（事業所）,国立市／従業者数（人）,福生市／事業所数（事業所）,福生市／従業者数（人）,狛江市／事業所数（事業所）,狛江市／従業者数（人）,東大和市／事業所数（事業所）,東大和市／従業者数（人）,清瀬市／事業所数（事業所）,清瀬市／従業者数（人）,東久留米市／事業所数（事業所）,東久留米市／従業者数（人）,武蔵村山市／事業所数（事業所）,武蔵村山市／従業者数（人）,多摩市／事業所数（事業所）,多摩市／従業者数（人）,稲城市／事業所数（事業所）,稲城市／従業者数（人）,羽村市／事業所数（事業所）,羽村市／従業者数（人）,あきる野市／事業所数（事業所）,あきる野市／従業者数（人）,西東京市／事業所数（事業所）,西東京市／従業者数（人）,町村部／事業所数（事業所）,町村部／従業者数（人）,西多摩郡／事業所数（事業所）,西多摩郡／従業者数（人）,瑞穂町／事業所数（事業所）,瑞穂町／従業者数（人）,日の出町／事業所数（事業所）,日の出町／従業者数（人）,檜原村／事業所数（事業所）,檜原村／従業者数（人）,奥多摩町／事業所数（事業所）,奥多摩町／従業者数（人）,島部／事業所数（事業所）,島部／従業者数（人）,大島支庁／事業所数（事業所）,大島支庁／従業者数（人）,大島町／事業所数（事業所）,大島町／従業者数（人）,利島村／事業所数（事業所）,利島村／従業者数（人）,新島村／事業所数（事業所）,新島村／従業者数（人）,神津島村／事業所数（事業所）,神津島村／従業者数（人）,三宅支庁／事業所数（事業所）,三宅支庁／従業者数（人）,三宅村／事業所数（事業所）,三宅村／従業者数（人）,御蔵島村／事業所数（事業所）,御蔵島村／従業者数（人）,八丈支庁／事業所数（事業所）,八丈支庁／従業者数（人）,八丈町／事業所数（事業所）,八丈町／従業者数（人）,青ヶ島村／事業所数（事業所）,青ヶ島村／従業者数（人）,小笠原支庁／事業所数（事業所）,小笠原支庁／従業者数（人）,小笠原村／事業所数（事業所）,小笠原村／従業者数（人）
3,E,16,165,医薬品製造業,160,16668,138,15280,22,6057,23,1122,21,2251,12,1114,8,478,2,99,4,98,2,496,6,356,3,27,2,150,3,58,9,1063,4,113,1,26,3,1383,3,234,-,-,4,51,2,37,-,-,3,34,1,33,-,-,21,1364,6,651,2,58,-,-,-,-,4,218,1,3,-,-,-,-,2,16,1,27,-,-,-,-,2,150,1,5,-,-,-,-,-,-,-,-,2,236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,24,1,24,1,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,16,166,化粧品・歯磨・その他の化粧用調整品製造業,216,7252,192,6911,11,1099,24,930,16,684,19,137,6,48,4,65,11,2002,1,41,6,72,-,-,12,427,10,151,12,286,8,86,3,34,5,70,6,180,2,49,9,81,9,63,11,243,3,78,4,85,-,-,21,321,4,72,-,-,2,13,2,52,-,-,-,-,2,16,3,26,1,89,-,-,1,9,-,-,-,-,-,-,1,12,-,-,-,-,-,-,1,17,1,2,1,6,1,1,-,-,-,-,-,-,1,6,3,20,1,4,1,4,-,-,-,-,-,-,2,16,2,16,2,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,16,169,その他の化学工業,182,3613,155,3185,10,261,25,734,12,410,8,69,1,-,8,289,10,66,6,61,6,40,3,11,14,237,7,67,3,47,-,-,3,7,6,51,2,35,4,9,7,53,1,67,10,556,2,28,7,87,-,-,24,382,5,59,1,12,-,-,1,3,1,1,-,-,1,67,-,-,4,34,-,-,-,-,1,9,1,2,2,40,-,-,-,-,-,-,-,-,1,11,-,-,-,-,1,5,2,11,2,122,-,-,1,6,3,46,3,46,3,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,17,000,石油製品・石炭製品製造業,57,5348,41,5202,8,2729,4,72,2,1905,2,28,1,10,-,-,1,5,4,90,4,127,-,-,4,60,-,-,-,-,-,-,1,1,-,-,2,8,1,12,2,63,-,-,4,91,-,-,1,1,-,-,11,97,2,30,-,-,-,-,-,-,1,17,1,18,2,18,-,-,5,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,49,5,49,3,34,2,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,17,170,管理，補助的経済活動を行う事業所,11,4792,11,4792,5,2715,1,38,2,1905,-,-,-,-,-,-,-,-,-,-,2,123,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,17,171,石油精製業,4,42,3,35,1,4,1,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,17,172,潤滑油・グリース製造業（石油精製業によらないもの）,7,141,7,141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,47,-,-,-,-,-,-,-,-,-,-,1,5,1,12,2,63,-,-,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,17,173,コークス製造業,1,3,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,17,174,舗装材料製造業,30,335,16,201,-,-,1,6,-,-,2,28,1,10,-,-,1,5,3,67,2,4,-,-,1,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,3,77,-,-,1,1,-,-,9,85,2,30,-,-,-,-,-,-,1,17,1,18,1,11,-,-,4,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,49,5,49,3,34,2,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,17,179,その他の石油製品・石炭製品製造業,4,35,3,30,1,7,1,-,-,-,-,-,-,-,-,-,-,-,1,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,18,000,プラスチック製品製造業（別掲を除く）,2142,20130,1785,16494,39,509,45,826,33,1338,19,292,18,208,74,748,183,1449,68,912,124,962,25,123,258,2033,21,113,10,180,9,48,15,78,19,193,45,528,104,498,97,643,52,329,179,1330,196,1227,151,934,1,993,319,3132,92,747,9,227,1,5,10,87,49,417,17,177,5,84,12,117,14,303,4,24,7,49,9,147,15,130,2,9,1,3,4,20,6,15,5,63,2,22,3,9,12,112,5,68,10,101,5,40,16,140,4,16,38,504,38,504,33,393,4,96,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,18,180,管理，補助的経済活動を行う事業所,121,3332,110,3246,8,149,14,350,9,949,1,1,5,97,6,167,6,48,6,25,6,24,1,4,3,31,3,20,3,160,2,13,3,15,3,42,5,26,4,7,3,57,1,6,9,36,6,16,2,10,1,993,11,86,-,-,-,-,-,-,-,-,1,1,2,37,-,-,-,-,-,-,1,1,-,-,2,6,-,-,-,-,-,-,-,-,1,3,1,1,-,-,-,-,-,-,1,14,1,22,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,18,181,プラスチック板・棒・管・継手・異形押出製品製造業,289,1774,255,1387,3,25,4,31,4,29,1,1,-,-,5,9,22,55,9,56,28,138,4,20,38,253,5,28,1,3,2,6,-,-,-,-,6,65,15,34,9,45,12,66,34,281,38,159,15,83,-,-,30,324,8,84,2,71,-,-,-,-,1,4,2,30,-,-,1,9,-,-,-,-,1,7,1,11,2,23,-,-,1,3,-,-,2,5,2,9,-,-,1,1,-,-,-,-,-,-,1,24,3,35,2,8,4,63,4,63,4,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,18,182,プラスチックフィルム・シート・床材・合成皮革製造業,260,2183,236,1902,11,69,8,212,3,36,6,44,2,8,17,215,32,101,6,38,4,252,1,4,10,99,2,10,1,5,3,8,6,37,-,-,10,40,19,109,6,50,9,60,30,267,24,89,26,149,-,-,24,281,2,42,1,36,1,5,-,-,6,37,1,1,-,-,1,31,-,-,-,-,1,12,1,3,2,3,-,-,-,-,1,3,-,-,2,53,1,15,1,5,1,27,-,-,1,3,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,18,183,工業用プラスチック製品製造業,575,5602,415,3900,4,57,5,87,3,171,6,62,3,34,5,41,32,455,4,19,53,401,9,40,136,1163,4,12,1,1,-,-,2,12,2,35,6,273,19,75,28,150,9,58,24,138,36,435,24,181,-,-,139,1417,44,309,2,35,-,-,6,58,20,151,6,32,3,53,4,41,11,263,2,8,3,15,2,117,7,85,1,8,-,-,3,17,3,7,-,-,-,-,-,-,6,71,1,28,3,10,2,14,10,95,-,-,21,285,21,285,16,174,4,96,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,18,184,発泡・強化プラスチック製品製造業,127,1072,94,742,1,10,2,14,1,8,-,-,1,11,5,60,13,72,7,105,2,5,2,15,7,39,1,2,-,-,-,-,-,-,1,3,3,12,8,80,8,90,2,16,12,114,7,39,11,47,-,-,28,284,10,89,-,-,-,-,1,2,8,104,1,1,1,2,1,8,1,19,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,51,1,1,-,-,1,3,5,46,5,46,5,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,18,185,プラスチック成形材料製造業（廃プラスチックを含む）,113,494,105,466,-,-,2,13,1,2,1,2,-,-,2,3,15,39,5,54,9,24,2,4,12,48,-,-,1,5,-,-,-,-,2,12,3,6,5,21,8,33,3,44,7,22,16,92,11,42,-,-,6,16,2,9,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,2,-,-,-,-,-,-,1,1,-,-,2,12,2,12,2,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,18,189,その他のプラスチック製品製造業,657,5673,570,4851,12,199,10,119,12,143,4,182,7,58,34,253,63,679,31,615,22,118,6,36,52,400,6,41,3,6,2,21,4,14,11,101,12,106,34,172,35,218,16,79,63,472,69,397,62,422,-,-,81,724,26,214,4,85,-,-,3,27,13,120,5,76,1,29,4,27,2,21,1,15,2,15,2,6,4,19,1,1,-,-,-,-,-,-,-,-,1,7,-,-,4,12,3,26,3,15,-,-,2,9,-,-,6,98,6,98,6,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,19,000,ゴム製品製造業,713,11652,693,8613,11,174,12,2553,14,1184,3,355,3,10,48,187,161,931,21,320,16,116,3,23,23,259,6,34,2,57,2,9,5,24,7,35,12,89,28,180,13,70,5,25,68,423,188,1253,42,302,-,-,20,3039,3,44,1,2,-,-,1,7,2,26,3,11,-,-,1,2,3,18,-,-,2,2885,-,-,2,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,19,190,管理，補助的経済活動を行う事業所,36,2996,36,2996,2,4,6,2535,4,319,-,-,2,6,3,11,5,24,1,5,2,41,-,-,2,4,1,4,-,-,-,-,1,2,1,1,2,15,1,12,1,3,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,19,191,タイヤ・チューブ製造業,8,3672,6,793,-,-,-,-,2,758,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-,-,-,-,1,4,2,21,-,-,-,-,2,2879,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,19,192,ゴム製・プラスチック製履物・同附属品製造業,74,660,74,660,-,-,-,-,-,-,1,351,-,-,36,125,3,6,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,5,6,23,-,-,1,4,19,109,5,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,19,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,490,3653,474,3498,8,164,6,18,5,49,2,4,1,4,5,38,128,797,17,304,11,64,3,23,17,232,4,25,1,55,1,8,3,16,3,22,6,56,15,96,10,45,4,21,38,258,152,964,34,235,-,-,16,155,3,44,1,2,-,-,1,7,2,26,2,10,-,-,-,-,2,14,-,-,1,8,-,-,2,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,19,199,その他のゴム製品製造業,105,671,103,666,1,6,-,-,3,58,-,-,-,-,4,13,25,104,2,7,3,11,-,-,4,23,1,5,1,2,1,1,1,6,2,7,3,13,5,39,2,22,-,-,10,52,27,230,8,67,-,-,2,5,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,20,000,なめし革・同製品・毛皮製造業,1666,8402,1634,8275,5,18,16,147,1,29,5,15,12,93,473,2175,245,1525,33,172,6,35,4,16,5,28,12,53,16,102,3,15,6,17,10,74,25,135,132,550,8,59,7,34,331,1742,188,886,91,355,-,-,32,127,7,16,3,44,4,15,-,-,1,6,-,-,1,3,1,1,3,7,2,4,-,-,-,-,-,-,-,-,-,-,1,3,1,5,2,8,-,-,1,3,1,2,1,5,1,2,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,200,管理，補助的経済活動を行う事業所,9,55,9,55,1,1,2,38,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,11,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,201,なめし革製造業,104,494,103,492,-,-,-,-,-,-,-,-,1,3,17,45,56,338,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,10,30,-,-,-,-,7,26,10,44,1,5,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,202,工業用革製品製造業（手袋を除く）,13,53,12,50,-,-,-,-,-,-,-,-,-,-,4,7,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,3,31,-,-,1,4,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,203,革製履物用材料・同附属品製造業,178,663,177,662,-,-,-,-,-,-,-,-,-,-,120,398,10,77,1,2,-,-,-,-,-,-,1,3,-,-,-,-,-,-,2,43,-,-,7,25,-,-,-,-,25,58,11,56,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,204,革製履物製造業,312,2492,306,2478,-,-,2,5,-,-,-,-,1,1,150,971,12,298,1,1,1,2,1,3,-,-,1,1,2,16,1,7,1,4,1,6,7,45,24,226,2,14,1,8,62,571,34,261,2,38,-,-,6,14,1,2,1,3,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,205,革製手袋製造業,3,14,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,206,かばん製造業,286,1433,278,1403,3,16,4,65,1,29,2,12,4,71,36,139,18,76,6,14,3,20,1,2,2,23,4,30,10,71,1,1,3,11,2,9,3,16,44,159,3,9,4,12,73,440,41,154,10,24,-,-,8,30,2,7,1,7,1,7,-,-,-,-,-,-,-,-,-,-,1,3,1,2,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,207,袋物製造業,605,2627,595,2567,1,1,8,39,-,-,3,3,6,18,102,502,118,571,22,145,1,2,2,11,1,3,3,15,4,15,1,7,1,1,4,11,11,59,32,76,3,36,2,14,128,488,75,294,67,256,-,-,10,60,2,4,1,34,2,6,-,-,1,6,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,208,毛皮製造業,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,209,その他のなめし革製品製造業,153,568,150,558,-,-,-,-,-,-,-,-,-,-,42,111,28,159,2,3,1,11,-,-,-,-,3,4,-,-,-,-,-,-,1,5,3,13,14,33,-,-,-,-,30,117,16,74,10,28,-,-,3,10,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,21,000,窯業・土石製品製造業,734,10547,545,8425,22,2596,25,457,29,1198,9,103,13,149,20,101,49,580,80,537,25,264,7,69,42,371,14,139,3,19,8,56,7,31,13,89,11,39,17,99,32,502,13,136,25,298,30,209,51,383,-,-,165,1721,35,332,7,115,3,21,5,16,18,271,8,87,6,224,13,77,10,42,2,12,6,63,8,55,3,69,2,6,-,-,2,31,-,-,4,13,2,3,5,24,6,42,1,2,6,58,2,17,10,136,1,5,24,401,14,328,4,132,8,142,1,18,1,36,10,73,5,31,-,-,1,6,3,17,1,8,2,16,2,16,-,-,2,25,2,25,-,-,1,1,1,1
3,E,21,210,管理，補助的経済活動を行う事業所,54,2038,47,2022,6,897,10,161,15,858,3,11,-,-,1,4,-,-,3,12,1,3,1,40,-,-,1,3,2,18,-,-,-,-,-,-,-,-,-,-,1,2,1,3,1,5,1,5,-,-,-,-,7,16,1,4,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,2,1,3,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
