経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
社福法人,竹の塚ひまわり園チャレンジチーム,121-0813,足立区竹の塚７－１９－７,139.795551,35.8007,JGD2011,03-5831-1721
区市町村,足立区精神障がい者自立支援センター,121-0813,足立区竹の塚６－１８－４,139.792629,35.796617,JGD2011,03-3883-7177
営利法人,ヒューマングロー梅島,121-0816,足立区梅島１－１２－１２　プランドール梅島２階,139.798596,35.772575,JGD2011,03-5888-6970
区市町村,足立区障がい福祉センター就労促進訓練室,121-0816,足立区梅島３－３１－１９,139.792921,35.777505,JGD2011,03-5681-0131
他の法人,就労移行支援事業所ＷＥＬ’Ｓ　ＡＲＫ,121-0831,足立区舎人４－９－１３,139.767355,35.817091,JGD2011,03-5837-4495
営利法人,就労移行支援センター　フリーデザイン,123-0843,足立区西新井栄町１－５－５　海老原ビル３０１,139.790833,35.773417,JGD2011,03-5888-2230
社福法人,就労支援施設　ウィズユー,123-0844,足立区興野２－１８－１２,139.777984,35.769258,JGD2011,03-5837-4830
営利法人,アポイント足立,123-0863,足立区谷在家３－２０－１３　第３丸本ビル２階,139.769784,35.78957,JGD2011,03-5647-6841
社福法人,社会福祉法人東京コロニー　東京都葛飾福祉工場　立石工場,124-0012,葛飾区立石８－５０－１,139.859278,35.73935,JGD2011,03-3693-6640
社福法人,フォレスト,124-0012,葛飾区立石５－１０－１０　あいおい同和損保葛飾２階,139.845776,35.742941,JGD2011,03-6905-9096
社福法人,しょうぶエバンズ,124-0022,葛飾区奥戸１－１－１,139.850907,35.728717,JGD2011,03-5654-3353
営利法人,あさひ,125-0042,葛飾区金町６－５－８,139.871704,35.768607,JGD2011,03-3826-6075
社福法人,就労支援施設ビオラ,125-0051,葛飾区新宿３－９－１１,139.86293,35.760231,JGD2011,03-6410-6147
他の法人,就労移行支援施設すずかぜ,125-0051,葛飾区亀有３－１６－１０　たちばなやビル２階,139.848636,35.764161,JGD2011,03-6231-2055
社福法人,葛飾しょうぶ園,125-0054,葛飾区高砂二丁目８番１号,139.863797,35.748865,JGD2011,03-3672-7161
他の法人,テイクハート青戸,125-0062,葛飾区青戸１－９－６　ＤＨビル３F･４F,139.855856,35.745024,JGD2011,03-6657-6525
他の法人,就労移行支援事業所ことのは修義館,132-0025,江戸川区松江１－１－８　あみたハウス光館２階,139.868454,35.69854,JGD2011,03-5678-8517
他の法人,ＰＣ工房,132-0034,江戸川区小松川１－５－２　トニワンビル３０５号室,139.850273,35.688991,JGD2011,03-5875-5592
区市町村,江戸川区立障害者就労支援センター,133-0052,江戸川区東小岩６－１５－２,139.888354,35.735184,JGD2011,03-5622-6050
他の法人,エルムワークメイト,133-0056,江戸川区南小岩６－５－９,139.877574,35.730326,JGD2011,03-3658-6288
営利法人,ヒューマングロー小岩,133-0057,江戸川区西小岩１－２１－２０　第２０東ビル５階Ｂ号室,139.880721,35.733959,JGD2011,03-5829-4532
他の法人,就労移行支援事業所ｎａｔｕｒａ,134-0083,江戸川区中葛西２－８－３　１階,139.872155,35.673247,JGD2011,03-6808-5291
営利法人,リボン葛西駅前校,134-0083,江戸川区中葛西３－３３－１４　３階,139.871758,35.664459,JGD2011,03-5659-0988
他の法人,タオ江戸川,134-0084,江戸川区東葛西１－４５－１１,139.882115,35.670486,JGD2011,03-6663-9680
営利法人,ヒューマングロー葛西駅前,134-0084,江戸川区東葛西６－２－８　第２ユタカビル６Ｆ,139.873611,35.662781,JGD2011,03-6808-7920
社福法人,江戸川かもめ第三事業所,134-0088,江戸川区西葛西７－２８－１８,139.862564,35.658976,JGD2011,03-5676-1430
営利法人,ティオ西葛西,134-0088,江戸川区西葛西６－１０－１２　ＭＭビル３階,139.858492,35.663808,JGD2011,03-6663-9963
営利法人,ティオ船堀,134-0091,江戸川区船堀３－７－１７　第五トヨダビル５Ｃ,139.865255,35.682648,JGD2011,03-3686-7321
他の法人,クロスジョブ東京,192-0046,八王子市明神町４－５－３　橋捷ビル４階,139.343778,35.65866,JGD2011,042-649-3637
営利法人,ウェルビー八王子駅前センター,192-0046,八王子市明神町２－２６－９　ＭＺビル３Ｆ,139.343906,35.658357,JGD2011,042-631-0540
社福法人,八王子福祉作業所,192-0051,八王子市元本郷町４－１３－３,139.313047,35.664459,JGD2011,042-626-0631
他の法人,ジネス,192-0061,八王子市平岡町４－２,139.326329,35.662551,JGD2011,042-620-0086
公益法人,ｌｙｋｋｅアカデミー,192-0081,八王子市横山町２５－１６　フロイデンビル２階,139.340226,35.660212,JGD2011,042-686-2833
営利法人,アポイント,192-0081,八王子市横山町６－９　八王子丸多屋ビル２階,139.337456,35.659557,JGD2011,042-649-5012
営利法人,就労移行支援事業所　リスタ八王子,192-0081,八王子市横山町３－６　八王子横山町ＪＥビル６階,139.339026,35.659571,JGD2011,042-649-2649
営利法人,就労支援センター　ひゅーまにあ八王子,192-0082,八王子市東町３－１１　プレイム八王子ビル５階,139.341223,35.658535,JGD2011,042-646-0536
営利法人,LITALICOワークス八王子,192-0083,八王子市旭町１２－４　日本生命八王子ビル７Ｆ,139.340934,35.657404,JGD2011,042-660-0008
公益法人,フードバンク八王子ワークス,192-0085,八王子市中町２－９　ランメンビル３Ｆ,139.33712,35.658779,JGD2011,042-649-1769
他の法人,ソレイユ,190-0003,立川市栄町３－２,139.422331,35.707831,JGD2011,042-540-1033
他の法人,社会生活サポートセンターこみっと,190-0012,立川市曙町１－３２－１９　,139.409688,35.700732,JGD2011,042-511-3139
営利法人,就労支援センター　ひゅーまにあ立川,190-0012,立川市曙町１－１１－９　五光曙第二ビル２階,139.406071,35.699832,JGD2011,042-595-6891
営利法人,アビリティーズジャスコ立川センター,190-0012,立川市曙町２－２２－７　ＵＲＢＡＮ＋１階,139.417084,35.699079,JGD2011,042-512-9907
社福法人,ワークステーション立川,190-0013,立川市富士見町７－３３－３,139.39875,35.68981,JGD2011,042-521-1234
他の法人,ワークショップモア,190-0022,立川市錦町１－１７－１１　モアコート貴１階,139.421854,35.69661,JGD2011,042-525-7754
他の法人,立川マック,190-0022,立川市錦町２－６－２０　円理ビル１０１･２０２,139.414024,35.694094,JGD2011,042-521-4976
社福法人,EXP立川,190-0022,立川市錦町２－１－２６－３０２,139.41441,35.695085,JGD2011,042-595-9670
営利法人,ディーキャリア　立川オフィス,190-0022,立川市錦町３－１－４　齋藤ビルディング２階,139.418579,35.694813,JGD2011,042-595-8163
社福法人,立川福祉作業所,190-0023,立川市柴崎町３－１３－１１,139.412327,35.693782,JGD2011,042-527-2721
社福法人,武蔵野福祉作業所,180-0001,武蔵野市吉祥寺北町４－１２－２０,139.566088,35.713284,JGD2011,0422-53-1782
営利法人,就労移行支援事業所　ＴＯＤＡＹ吉祥寺,180-0004,武蔵野市吉祥寺本町３－２１－１２　光ビル１階,139.569468,35.705093,JGD2011,0422-38-7725
営利法人,ハローワールド吉祥寺,180-0005,武蔵野市御殿山１－６－１１　Ｋ２ビル３Ｆ,139.574918,35.702877,JGD2011,0422-26-9503
他の法人,ライフサポートＭＥＷ、ワークショップＭＥＷ,180-0006,武蔵野市武蔵野市中町３－４－９　ディアハイム武蔵野ビル１階,139.564102,35.711626,JGD2011,0422-36-2089
社福法人,ジョブアシスト　いんくる,180-0006,武蔵野市中町１－２８－１０,139.56453,35.703857,JGD2011,0422-50-1701
他の法人,ゆうあい製作所,180-0012,武蔵野市緑町１－５－１６　コーポ清水,139.562093,35.714914,JGD2011,0422-60-5353
社福法人,チャレンジャー,180-0023,武蔵野市境南町４－２０－５,139.536946,35.698446,JGD2011,0422-30-3010
営利法人,アビリティーズジャスコ武蔵境センター,180-0023,武蔵野市境南町２－３－１６　武蔵境第一高木ビル４階,139.544201,35.701102,JGD2011,0422-30-5682
営利法人,ウェルビー三鷹センター,181-0013,三鷹市下連雀３－３２－３　名取屋興産ビル３０５,139.56085,35.698883,JGD2011,0422-40-4800
営利法人,就労移行支援事業所　ＴＯＤＡＹ三鷹,181-0013,三鷹市下連雀４－１５－３８　ビバリーホームズ三鷹１・２階,139.561333,35.696428,JGD2011,0422-24-6288
社福法人,工房　時,181-0014,三鷹市野崎２－６－４１,139.548593,35.683579,JGD2011,0422-30-5571
社福法人,ワークショップハーモニー,181-0015,三鷹市大沢１－１－４３,139.541005,35.678579,JGD2011,0422-26-8620
他の法人,ジョイントワークひこばえ,198-0014,青梅市大門２－２５９－３,139.291306,35.795176,JGD2011,0428-32-8757
区市町村,青梅市自立センター　就労支援事業所,198-0023,青梅市今井五丁目２４３４番地の２,139.328378,35.793435,JGD2011,0428-32-1631
社福法人,青梅福祉作業所,198-0043,青梅市千ケ瀬町３－３９３－４,139.269202,35.785629,JGD2011,0428-23-3612
社福法人,ギャロップ,183-0005,府中市若松町１－９－１,139.498853,35.669174,JGD2011,042-365-7363
営利法人,ＬＩＴＡＬＩＣＯワークス府中,183-0023,府中市宮町１－４０　ＫＤＸ府中ビル５F－E,139.480175,35.670165,JGD2011,042-314-2371
営利法人,就労移行支援事業所ハピネスサポーター西府,183-0031,府中市西府町３－１－５　スウィング２４２　１０２号室,139.458698,35.674839,JGD2011,042-319-2318
他の法人,フレンズファーム,183-0034,府中市住吉町２－１３－４,139.458599,35.65811,JGD2011,042-368-2550
社福法人,レスポワール工房,183-0045,府中市美好町１－３０－３　シャロンベテル矢代１階,139.468553,35.672778,JGD2011,042-367-5080
営利法人,ウェルビー府中駅前センター,183-0056,府中市寿町１－１－３　三ツ木寿町ビル８階,139.47848,35.672773,JGD2011,042-306-6273
社福法人,障害者就労プラザあいあい,196-0001,昭島市美堀町３－８－１　昭島市環境コミュニケーションセンター内,139.354547,35.723219,JGD2011,042-546-6009
社福法人,食工房ゆいのもり,196-0011,昭島市上川原町１－９－１５,139.362719,35.709635,JGD2011,042-542-5160
社福法人,第１リサイクル洗びんセンター,196-0021,昭島市武蔵野３－２－１９,139.377712,35.718106,JGD2011,042-542-5800
他の法人,ぷーやんあしながくらぶ就労館,196-0025,昭島市朝日町２－６－２７,139.370408,35.710538,JGD2011,042-543-5139
他の法人,スマイルパークＣＨＯＦＵ,182-0005,調布市東つつじケ丘２－２７－４　新井ビル２０１,139.577592,35.656699,JGD2011,03-5315-5981
営利法人,Re.born　future　center　調布,182-0006,調布市西つつじケ丘３－２６－８　つつじヶ丘ビレッヂ２０１,139.573606,35.658054,JGD2011,042-444-4344
区市町村,調布市知的障害者援護施設すまいる分室,182-0022,調布市国領町３－１９－１,139.56164,35.651716,JGD2011,042-426-9481
社福法人,旭出調布福祉作業所,182-0026,調布市小島町３－２６－１,139.53578,35.647014,JGD2011,042-485-5885
社福法人,調布くすの木作業所,182-0026,調布市小島町３－７２－２６,139.541334,35.648281,JGD2011,042-486-9129
社福法人,シンフォニー,182-0026,調布市小島町２－５５－４,139.54239,35.649042,JGD2011,042-488-4436
社福法人,シェア,182-0034,調布市下石原１－４２－１１,139.534207,35.656301,JGD2011,042-481-1157
社福法人,原町田スクエア,194-0013,町田市原町田５－４－１９,139.449459,35.544781,JGD2011,042-725-0786
営利法人,Ｍｅｌｋ　町田駅前Ｏｆｆｉｃｅ,194-0013,町田市原町田１－１－３　ハイストーンビル４０２,139.445668,35.541534,JGD2011,042-850-9161
他の法人,ルミノーゾ町田,194-0021,町田市中町１－２－２　森町ビル５階,139.445515,35.546086,JGD2011,042-851-8491
営利法人,ウェルビー町田市役所前センター,194-0022,町田市森野２－２－３６　Ｗａｌｄ２０２　１階,139.439735,35.547008,JGD2011,042-710-5711
営利法人,ウェルビー町田駅前センター,194-0022,町田市森野１－３３－１１　町田森野ビル１０２,139.444037,35.546953,JGD2011,042-850-9830
社福法人,就労移行支援　風,194-0046,町田市西成瀬３－６－１４,139.469485,35.549915,JGD2011,042-728-9301
社福法人,ひあたり野津田,195-0063,町田市野津田町１８３２－５,139.436506,35.587448,JGD2011,042-736-8421
社福法人,つるかわ学園職業準備支援センター,195-0063,町田市野津田町８５１－１,139.451627,35.588227,JGD2011,042-736-0081
社福法人,小金井聖ヨハネ支援センター,184-0002,小金井市梶野町５－８－９,139.524258,35.704004,JGD2011,042-386-7731
他の法人,あん工房,184-0004,小金井市本町３－８－１　第二佐藤ビル,139.508304,35.705667,JGD2011,042-385-1126
社福法人,パン工房ノアノア,184-0004,小金井市本町一丁目６番１７号,139.508199,35.699318,JGD2011,042-388-4020
社福法人,ワークセンター夢の樹,187-0001,小平市大沼町２－１－３,139.492543,35.738679,JGD2011,042-349-2586
社福法人,サングリーン,187-0032,小平市小川町１－９４３,139.456502,35.727774,JGD2011,042-345-1585
社福法人,おだまき,187-0043,小平市学園東町１－２３－２３,139.479978,35.726361,JGD2011,042-341-7107
都,東京都七生福祉園,191-0042,日野市程久保８４３,139.415645,35.650113,JGD2011,042-591-0049
他の法人,れんげ,191-0053,日野市豊田４－２４－１１,139.38373,35.659905,JGD2011,042-581-7948
社福法人,コロニー東村山,189-0001,東村山市秋津町２－２２－９,139.487895,35.768765,JGD2011,042-394-1111
社福法人,トーコロ青葉ワークセンター,189-0002,東村山市青葉町２－３９－１０,139.490695,35.765318,JGD2011,042-395-1439
社福法人,福祉事業センター,189-0024,東村山市富士見町２－７－５,139.452535,35.740203,JGD2011,042-395-3636
社福法人,希望園,185-0003,国分寺市戸倉４－１４－７,139.455209,35.708365,JGD2011,042-321-2200
他の法人,チェンジアップ,185-0024,国分寺市泉町１－１－２　清水ビル１Ｆ,139.477049,35.697217,JGD2011,042-207-6330
社福法人,ピアス,186-0003,国立市富士見台１－１７－４,139.447816,35.681338,JGD2011,042-571-6055
他の法人,ポートビズ,186-0003,国立市富士見台３－４－４　ロイヤル国立３Ｆ,139.44018,35.686942,JGD2011,042-505-9963
他の法人,レジリエンス,186-0004,国立市中１－１４－６　市野澤ビル３F,139.443157,35.697091,JGD2011,042-505-6194
他の法人,就労センター拝島駅作業所,197-0003,福生市熊川１３９５－１,139.341637,35.721836,JGD2011,042-553-1537
他の法人,ジョブスペース游,197-0011,福生市福生字武蔵野２３５１－１,139.337988,35.739606,JGD2011,042-553-2575
社福法人,麦わら帽子,197-0011,福生市大字福生２１２５－３,139.334232,35.744127,JGD2011,042-552-2258
営利法人,わーくあっぷ福生西口,197-0022,福生市本町１２３－１　加藤ビル４階,139.326918,35.741416,JGD2011,042-513-0041
社福法人,東大和市総合福祉センターは～とふる,207-0022,東大和市桜が丘２－５３－６,139.41938,35.734917,JGD2011,042-516-3981
社福法人,汽車の家作業所,204-0022,清瀬市松山２－１８－２,139.511501,35.774134,JGD2011,042-491-1236
他の法人,くるめパソコン作業所,203-0014,東久留米市東本町１２－９　貫井総業ビル２０１,139.535596,35.763591,JGD2011,042-472-3155
区市町村,東久留米市立さいわい福祉センター,203-0052,東久留米市幸町３－９－２８,139.519284,35.759047,JGD2011,042-477-2711
医療法人,たまこヒルズ,208-0001,武蔵村山市中藤２－２８－１,139.39374,35.761433,JGD2011,042-567-5502
社福法人,セルプあかつき,208-0023,武蔵村山市伊奈平１－６４－１,139.377814,35.74547,JGD2011,042-560-7840
営利法人,就労移行支援事業所　アーネストキャリア永山駅前,206-0025,多摩市永山１－５　ベルブ永山６階６０５号室,139.448415,35.628347,JGD2011,03-5946-8995
社福法人,福祉作業所ひばり園,205-0002,羽村市栄町３－３－１,139.31293,35.772354,JGD2011,042-578-0855
社福法人,さくらの園,188-0004,西東京市西原町４－５－６　西東京市西原総合教育施設内,139.528381,35.737214,JGD2011,042-468-5665
他の法人,ＩＯＮ　第１事業所　就労移行支援,202-0015,西東京市保谷町３－２５－８,139.550838,35.729468,JGD2011,042-452-9420
他の法人,瑞穂町精神障害者共同作業所,190-1202,西多摩郡瑞穂町駒形富士山１７８－１,139.363005,35.78754,JGD2011,042-556-9635
社福法人,ワークスタディ日の出,190-0182,西多摩郡日の出町平井２１８－１,139.248709,35.737501,JGD2011,042-597-4111
