"経営","施設名","郵便番号","所在地","経度","緯度","座標系","電話番号"
"営利法人","発達支援センタージョイナス中村橋教室","176-0023","練馬区中村北３－９－８　第２真ビル２０１","139.640475","35.736372","JGD2011","03-5848-8653"
"社福法人","すまいる・キッズ＆すまいる・ツリー","177-0032","練馬区谷原５－２２－２　ＭＫＬビル１階","139.608163","35.750212","JGD2011","03-5923-6577"
"社福法人","幼児教室とことこ","177-0035","練馬区南田中５－１５－２５","139.611516","35.737835","JGD2011","03-3995-6901"
"営利法人","LITALICOジュニア石神井公園教室","177-0041","練馬区石神井町３－１９－１４　ＭＳＰビル４階","139.60563","35.743057","JGD2011","03-5923-6433"
"他の法人","ふるーれプラス","177-0045","練馬区石神井台３－２４－３５","139.590209","35.743659","JGD2011","03-6913-3913"
"他の法人","発達支援研究所スプラウト武蔵関教室","177-0051","練馬区関町北２－２４－１０　ＬＵＣＥ関町００１号","139.5757","35.726927","JGD2011","03-6904-9593"
"営利法人","あいの風キッズステーション","177-0052","練馬区関町東２－１５－８　マンション柚子１０１号","139.579008","35.728452","JGD2011","03-5903-8493"
"他の法人","児童発達支援　ふるーれ","177-0053","練馬区関町南１－１２－３１","139.589313","35.7219","JGD2011","03-6904-7556"
"社福法人","練馬福祉園　えとわる","178-0061","練馬区大泉学園町９－４－１","139.593464","35.77608","JGD2011","03-3978-5141"
"営利法人","療育ルーム　りんごの木","178-0061","練馬区大泉学園町１－２８－５","139.588723","35.760268","JGD2011","03-6321-2611"
"営利法人","療育ルームりんごの木　北園教室","178-0061","練馬区大泉学園町２－２０－２８","139.588406","35.760293","JGD2011","03-5935-7805"
"営利法人","ふれあい学童　空","178-0062","練馬区大泉町５－３５－１　ジョイハウス北園１階","139.590462","35.758096","JGD2011","03-5935-4615"
"社福法人","発達支援室あかねっこ　大泉教室","178-0063","練馬区東大泉３－１９－６　第一豊田ビル２階","139.585854","35.7515","JGD2011","03-3921-3105"
"他の法人","すまいるワクワク","178-0063","練馬区東大泉１－２６－１２　スクエア大泉学園４０６","139.588673","35.748958","JGD2011","03-6764-3399"
"営利法人","はつらつ","178-0064","練馬区南大泉５－３－４","139.578899","35.74975","JGD2011","03-5935-8199"
"他の法人","はじめのいっぽ春日町","179-0074","練馬区春日町２－２８－３　春日町児童館１階","139.646351","35.757087","JGD2011","03-3998-8506"
"社福法人","発達支援室あかねっこ　春日町教室","179-0075","練馬区高松２－２６－６　サングリーン高松２階","139.631497","35.750937","JGD2011","03-5933-9209"
"営利法人","からふるＫids綾瀬","120-0005","足立区綾瀬２－４６－６　河合ビル１階","139.830591","35.762183","JGD2011","03-6662-7518"
"営利法人","あしたも笑顔　北綾瀬","120-0006","足立区谷中２－１０－１　小倉ビル１階","139.832429","35.776212","JGD2011","03-5849-3440"
"他の法人","ここね","120-0013","足立区弘道１－３－２４－１階","139.811628","35.766526","JGD2011","03-6806-4166"
"社福法人","発達支援つむぎ　北千住ルーム","120-0021","足立区日ノ出町４１－１４","139.808391","35.754128","JGD2011","03-5284-9514"
"営利法人","児童デイサービスＫｏＭｏＲｅＢｉ北千住","120-0023","足立区千住曙町３７－１０　段上ビル２階","139.816091","35.741827","JGD2011","03-6806-1397"
"社福法人","発達支援室あかねっこ　北千住教室　サポートワン","120-0026","足立区千住旭町７－２５","139.806125","35.746968","JGD2011","03-5284-8806"
"営利法人","きたせんじゅステップ第３","120-0031","足立区千住大川町３７－２","139.798011","35.755477","JGD2011","03-3888-2555"
"営利法人","児童デイサービス　ハートぽっぽ　ＥＡＳＴ","121-0063","足立区東保木間２－２３－５","139.814166","35.794601","JGD2011","03-3883-0841"
"営利法人","児童デイサービスハートぽっぽ","121-0064","足立区保木間１－５－２１","139.805111","35.789587","JGD2011","03-3850-8487"
"営利法人","すかいきっず","121-0812","足立区西保木間１－２１－７－１０１","139.798414","35.796695","JGD2011","03-5856-6136"
"営利法人","ハッピートライアングル竹ノ塚","121-0813","足立区竹の塚１－３０－１－１階","139.792187","35.791567","JGD2011","03-5851-7151"
"営利法人","でいじいすまいる","121-0815","足立区島根２－２－１　島根グリーンフォレスト","139.802892","35.780641","JGD2011","03-5856-6260"
"営利法人","Ｏｎｌｙ　Ｏｎｅ足立","121-0815","足立区島根３－１－１０","139.796996","35.7791","JGD2011","050-3734-5542"
"他の法人","楽患チャイルド","123-0843","足立区西新井栄町２－１０－１６　１階","139.787569","35.777163","JGD2011","03-6807-2088"
"他の法人","楽患ニーニョ","123-0843","足立区西新井栄町２－１２－１　１階","139.787672","35.777316","JGD2011","03-6874-1390"
"営利法人","ゆうゆうらいふアカデミー西新井","123-0852","足立区関原１－１９－６　メゾンセンチュリー２０２","139.787333","35.76369","JGD2011","03-6807-2121"
"営利法人","ふきのとう","123-0853","足立区本木１－２１－１５","139.784609","35.762426","JGD2011","03-5888-4648"
"営利法人","こぱんはうすさくら　本木教室","123-0856","足立区本木西町１－２０　宮内サンハイツ１階","139.780676","35.760068","JGD2011","03-5809-5383"
"他の法人","療育室つばさ","123-0873","足立区扇１－４４－１５","139.776915","35.766673","JGD2011","03-5809-5388"
"区市町村","葛飾区子ども発達センター","124-0006","葛飾区堀切３－３４－１","139.834522","35.744335","JGD2011","03-3693-2114"
"営利法人","縁ジェルキッズ","124-0006","葛飾区堀切５－５０－９　吉田ビル１階","139.828494","35.751084","JGD2011","03-6662-4770"
"他の法人","葛飾幼児グループ","124-0011","葛飾区四つ木５－６－７","139.838294","35.740716","JGD2011","03-6657-7945"
"都","東京都立東大和療育センター分園よつぎ療育園","124-0014","葛飾区東四つ木４－４４－１－１０１","139.841261","35.735336","JGD2011","03-5670-5131"
"他の法人","風の子キッズ","125-0031","葛飾区西水元５－１１－３","139.854533","35.78446","JGD2011","03-3600-0701"
"営利法人","スマートキッズプラス水元","125-0032","葛飾区水元４－６－１９　プリンス２階","139.860271","35.787874","JGD2011","03-5876-4161"
"営利法人","児童発達支援・放課後等デイサービス　つばさクラブ東水元","125-0033","葛飾区東水元５－２４－１","139.864376","35.792273","JGD2011","03-3608-2832"
"他の法人","ぷれゾンクラブ金町","125-0041","葛飾区東金町３－４１－１８","139.87234","35.77517","JGD2011","03-5876-6537"
"他の法人","児童発達支援・放課後等デイサービス　もなか","125-0051","葛飾区新宿二丁目１２番２５号","139.856783","35.761836","JGD2011","03-5648-7755"
"社福法人","のぞみ発達支援室たかさご","125-0054","葛飾区高砂７－２６－３","139.867121","35.756995","JGD2011","03-3627-9029"
"営利法人","児童発達支援・放課後等デイサービス　つばさクラブ高砂","125-0054","葛飾区高砂８－２８－１２","139.870768","35.752754","JGD2011","03-3608-2830"
"営利法人","ＬＤサポート・療育　ソラアルＳＳＥ","125-0061","葛飾区亀有五丁目３４番１０－２０１号","139.848792","35.767505","JGD2011","03-5856-2783"
"他の法人","ＤＲＥＡＭ　ＫＩＤＳ　ＣＬＵＢ","132-0011","江戸川区瑞江１－５６－４","139.895674","35.6979","JGD2011","03-6638-8802"
"営利法人","スマートキッズプラス船堀","132-0025","江戸川区松江４－１２－７　山種小松川ビル２階","139.871507","35.695566","JGD2011","03-6231-4311"
"他の法人","ＪＮＣ松江","132-0025","江戸川区松江４－１３－６","139.871804","35.695341","JGD2011","03-3651-0688"
"営利法人","こいわステップ第３","132-0031","江戸川区松島３－１５－１１　柵山ビル１階","139.862332","35.712972","JGD2011","03-5879-5335"
"他の法人","ここね　江戸川","132-0031","江戸川区松島２－１８－１６　関口ＹＫビル１階","139.863052","35.705306","JGD2011","03-6231-5353"
"営利法人","わだつみキッズ瑞江教室","133-0002","江戸川区谷河内２－２－９　タクティクスビル１階","139.898274","35.700472","JGD2011","03-6638-9287"
"区市町村","江戸川区鹿本育成室","133-0044","江戸川区本一色２－１０－１５　","139.872933","35.718194","JGD2011","03-3651-3776"
"区市町村","江戸川区小岩育成室","133-0051","江戸川区北小岩２－１４－１７　共育プラザ小岩内","139.884893","35.740158","JGD2011","03-3672-0614"
"営利法人","児童デイあみりあ北","133-0051","江戸川区北小岩１－１５－２","139.891159","35.736653","JGD2011","03-6801-7323"
"営利法人","放課後等デイサービス　あんず　江戸川","133-0052","江戸川区東小岩１－９－９　長寿メディカルセンター２０２","139.889785","35.72363","JGD2011","03-6886-2105"
"営利法人","にっこり相談室","133-0052","江戸川区東小岩３－１７－１９－１","139.89292","35.731665","JGD2011","03-5876-8644"
"営利法人","児童デイあみりあ","133-0056","江戸川区南小岩４－１０－１１","139.882485","35.723697","JGD2011","03-6908-4561"
"営利法人","児童デイサービス　生活塾みずならの木　南小岩","133-0056","江戸川区南小岩７－３７－１８　クレドハイツ小岩１０２号室","139.88584","35.728482","JGD2011","03-6657-8837"
"区市町村","江戸川区篠崎育成室","133-0061","江戸川区篠崎町３－１８－５","139.912353","35.702754","JGD2011","03-6231-8017"
"他の法人","ここね　篠崎","133-0061","江戸川区篠崎町７－２１－１６","139.903434","35.704515","JGD2011","03-6231-8153"
"営利法人","ファーストドリーム南篠崎","133-0065","江戸川区南篠崎町２－９－２","139.900165","35.692103","JGD2011","03-5243-5656"
"営利法人","キッズランド","133-0073","江戸川区鹿骨５－２９－１　山田貸事務所１階","139.885299","35.716026","JGD2011","03-5664-1175"
"営利法人","スマートキッズプラス北葛西","134-0081","江戸川区北葛西四丁目２２－１１号　ＹＳビル１階","139.866486","35.670694","JGD2011","03-6808-2996"
"区市町村","江戸川区葛西育成室","134-0082","江戸川区宇喜田町１７５　共育プラザ葛西内","139.860928","35.673385","JGD2011","03-3688-8613"
"営利法人","日本重症心身障害児支援協会　多機能型ステーション　望","134-0083","江戸川区中葛西５－４－４","139.865281","35.662948","JGD2011","03-3675-3701"
"他の法人","こころとことばの教室こっこ　葛西校","134-0083","江戸川区中葛西４－９－１８　i・eビル３階","139.868514","35.668233","JGD2011","03-6456-0995"
"他の法人","ふるーる","134-0084","江戸川区東葛西６－４８－１８","139.880754","35.661951","JGD2011","03-6808-4630"
"営利法人","スマートキッズプラス葛西","134-0084","江戸川区東葛西６－４－３　第３ロイヤルシラコビル３０１","139.874097","35.663337","JGD2011","03-6808-3233"
"他の法人","こころとことばの教室こっこ　西葛西校","134-0088","江戸川区西葛西２－１８－７","139.853057","35.666494","JGD2011","03-5878-1192"
"他の法人","児童デイサービス　ばんびーの　ふなぼり","134-0091","江戸川区船堀１－８－１９－０００２号","139.86338","35.683784","JGD2011","03-6661-4661"
"営利法人","戸吹の杜","192-0001","八王子市戸吹町３９１－５","139.289617","35.709816","JGD2011","042-659-3426"
"営利法人","こどもでいさーびす　そらいろ","192-0051","八王子市元本郷町１－２１－１３","139.320238","35.664548","JGD2011","042-649-7449"
"営利法人","「あそび」「運動」「学習」で笑顔溢れる発達支援教室","192-0074","八王子市天神町２４－３　プラムフィールド２０２号","139.328374","35.657446","JGD2011","042-649-7588"
"営利法人","LITALICOジュニア八王子教室","192-0082","八王子市東町３－１１　プレイム八王子ビル６階","139.341223","35.658535","JGD2011","042-631-9923"
"営利法人","こどもでいさーびす　はるいろ","192-0154","八王子市下恩方町７６６","139.263532","35.679133","JGD2011","042-650-0880"
"営利法人","あんふぁん由木事業所","192-0352","八王子市大塚６２７－１８　フォースフロンティア１階","139.419984","35.637081","JGD2011","042-670-8828"
"他の法人","コラソンキッズ八王子","192-0355","八王子市堀之内２－１７－１　","139.402741","35.629481","JGD2011","042-653-9074"
"他の法人","オリーブ芸術療法研究所","192-0364","八王子市南大沢１－２２－２","139.384843","35.617018","JGD2011","042-678-2276"
"他の法人","セントスクエア","192-0364","八王子市南大沢２－２７　フレスコ南大沢５F","139.37926","35.611941","JGD2011","042-677-0201"
"他の法人","リュミエール","192-0902","八王子市上野町２７－３　コスモス八王子１０１、２０２","139.327821","35.653899","JGD2011","042-649-6610"
"社福法人","すぎな愛育園　きらきら","192-0914","八王子市片倉町１６３０－４","139.341054","35.630744","JGD2011","042-638-0503"
"他の法人","わんぱくキッズ","192-0914","八王子市片倉町３５９－４","139.338226","35.642803","JGD2011","042-683-0680"
"営利法人","スパークスタジオみなみ野　Ｒａｉｎｂｏｗ　Ｋｉｄｓ","192-0916","八王子市みなみ野３－３１－１７　ボヌールＡ","139.322039","35.629407","JGD2011","042-638-0471"
"他の法人","チャレンジぴぴ","193-0802","八王子市犬目町４４番１","139.306541","35.688142","JGD2011","042-686-0531"
"他の法人","こあらくらぶ","193-0931","八王子市台町４－３３－１２　ヴィレッジ木下","139.318078","35.657551","JGD2011","042-624-3521"
"営利法人","こどもプラス立川幸町教室","190-0002","立川市幸町５－１－７　フルミエールメゾン１階Ｂ","139.418386","35.723318","JGD2011","042-537-8653"
"営利法人","こぱんはうすさくら　立川幸町教室","190-0002","立川市幸町３－１３－１４　矢島ビル１階","139.430252","35.720646","JGD2011","042-537-8530"
"社福法人","ほわわ立川","190-0002","立川市幸町１－１１－３","139.422833","35.718699","JGD2011","042-537-7994"
"営利法人","ハビー立川教室","190-0022","立川市錦町１－１０－２５　Ｙ・Ｓ錦町ビル２階","139.419476","35.69568","JGD2011","042-519-3217"
"区市町村","立川市ドリーム学園","190-0023","立川市柴崎町５－１１－２６","139.401342","35.688488","JGD2011","042-525-9418"
"営利法人","ＬＩＴＡＬＩＣＯジュニア立川南口教室","190-0023","立川市柴崎町２－３－１３　エイティエイト立川デコオ２階","139.410807","35.696563","JGD2011","042-548-1243"
"営利法人","子ども発達支援ルームおれんじ学園","180-0001","武蔵野市吉祥寺北町３－５－８　イトーピア吉祥寺１階－１１０","139.57104","35.710487","JGD2011","0422-50-0323"
"社福法人","発達支援つむぎ　吉祥寺ルーム","180-0003","武蔵野市吉祥寺南町２－５－４　仁愛ビル２階","139.581878","35.702119","JGD2011","0422-40-2260"
"営利法人","児童発達支援・放課後等デイサービス　ささえ","180-0004","武蔵野市吉祥寺本町一丁目３５番１４号","139.584806","35.703736","JGD2011","0422-27-1736"
"営利法人","ＴＥＥＮＳ吉祥寺","180-0004","武蔵野市吉祥寺本町２－２５－１２　Ｓａｎｔａ　Ｆｅ　１－Ｃ","139.574673","35.703874","JGD2011","050-2018-2842"
"営利法人","スタジオそら武蔵野","180-0006","武蔵野市中町１－２３－１２　クレール武蔵野１階","139.563458","35.704513","JGD2011","0422-50-0389"
"営利法人","子ども発達支援ルームおれんじ学園ｎｉｃｏ","180-0006","武蔵野市中町１－１９－８　シティハイツ武蔵野１階","139.562672","35.704999","JGD2011","0422-38-5073"
"社福法人","千川おひさま幼児教室","180-0011","武蔵野市八幡町４－２８－１３","139.554458","35.720011","JGD2011","0422-51-4008"
"社福法人","ウィズ","180-0012","武蔵野市緑町２－６－８","139.561899","35.716931","JGD2011","0422-54-5162"
"他の法人","手毬塾ウノ","180-0023","武蔵野市境南町３－２２－２２","139.540029","35.698927","JGD2011","0422-32-9223"
"他の法人","ウイングむさしの","180-0023","武蔵野市境南町２－１３－５　グレーハイツ泉妻","139.543821","35.698619","JGD2011","0422-30-8431"
"他の法人","こどもデイサービス　らびぃ","181-0004","三鷹市新川４－１２－６","139.572072","35.673436","JGD2011","0422-49-7110"
"医療法人","あきやまケアルーム","181-0013","三鷹市下連雀３－４５－１６　びゅうリエット三鷹","139.559372","35.702146","JGD2011","0422-24-7462"
"営利法人","ＴＡＫＵＭＩ","181-0013","三鷹市下連雀３－１７－２０　１０１号室","139.562461","35.699052","JGD2011","0422-24-8733"
"営利法人","ＴＥＥＮＳ三鷹","181-0013","三鷹市下連雀３－４２－１０　イニシア三鷹下連雀２階","139.559294","35.699202","JGD2011","050-2018-1094"
"他の法人","ぷちぷちすばる","198-0014","青梅市大門２－２８１－１","139.290447","35.796084","JGD2011","0428-34-9702"
"区市町村","青梅市しろまえ児童学園","198-0042","青梅市東青梅６－１－１３","139.273188","35.793503","JGD2011","0428-24-3597"
"他の法人","児童デイサービス　めろでぃ","183-0003","府中市朝日町１－２２－６５","139.516438","35.672302","JGD2011","042-307-8983"
"営利法人","放課後デイサービス　ぽーと","183-0006","府中市緑町３－５－７　第二木城ビル４階","139.494376","35.669685","JGD2011","042-302-6610"
"営利法人","ちゃいくろ児童デイサービス府中","183-0011","府中市白糸台６－５－１０","139.520252","35.663317","JGD2011","042-306-9679"
"区市町村","府中市立心身障害者福祉センター　子ども発達支援センターあゆの子","183-0026","府中市南町５－３８","139.467787","35.654888","JGD2011","042-360-1313"
"他の法人","ポップシップ","183-0027","府中市本町１－１５－３　宮ノ森コーポ１０２","139.478636","35.666671","JGD2011","042-319-9936"
"他の法人","根っこくらぶ","183-0045","府中市美好町３－１７－４　マテリアル府中１階Ｂ号室","139.46467","35.671698","JGD2011","042-319-1473"
"社福法人","発達支援つむぎ　府中ルーム","183-0045","府中市美好町１－２２－９　青島ビル２階","139.469434","35.672856","JGD2011","042-306-7641"
"他の法人","きぼうクラブ","183-0051","府中市栄町３－１２－１　メディカルビル・グレイス４階","139.469405","35.687604","JGD2011","042-314-2200"
"社福法人","Ｔｏｓｓｉｅ","183-0056","府中市寿町３－１０－７　第二メゾン藤１階東","139.473536","35.676886","JGD2011","042-336-1255"
"他の法人","キッズサポートてんとうむし","196-0011","昭島市上川原町３－８－２２","139.35957","35.708302","JGD2011","042-808-8852"
"他の法人","特定非営利活動法人昭島ひよこ教室","196-0015","昭島市昭和町４－７－１","139.364125","35.710835","JGD2011","042-545-3676"
"営利法人","脳を育てる運動療育センター　ピースマイル　中神教室","196-0025","昭島市朝日町１－４－３　ＳＫビル２階Ｂ","139.375643","35.70806","JGD2011","042-519-2076"
"社福法人","発達支援つむぎ　つつじヶ丘ルーム","182-0005","調布市東つつじケ丘１－６－２５","139.577116","35.659935","JGD2011","03-5315-9418"
"他の法人","すこっぷ","182-0024","調布市布田１－３２－５　マートルコート調布","139.544764","35.653213","JGD2011","042-444-3467"
"区市町村","調布市子ども発達センター通園事業","182-0032","調布市西町２９０－４９","139.522529","35.666277","JGD2011","042-486-3155"
"社福法人","発達支援つむぎ　調布ルーム","182-0035","調布市上石原１－３９－１　Ｓｏｓｈｉｔｅ２階","139.530807","35.657004","JGD2011","042-444-5934"
"営利法人","おもちゃ箱キッズ南まちだ園","194-0005","町田市南町田５－４－１　フロレゾン１－Ｂ","139.474542","35.512709","JGD2011","042-706-8332"
"他の法人","ぴっころもんど","194-0021","町田市中町４－１３－１　１階","139.447973","35.553638","JGD2011","042-785-5141"
"営利法人","運動療育で生きる力を育む　シエル　中町教室","194-0021","町田市中町３－１０－９　アーバン第３ビル　ラ・ヴィ２０１","139.449001","35.551","JGD2011","042-794-7256"
"営利法人","運動療育で生きる力を育む　シエル　町田教室","194-0023","町田市旭町２－１３－３　サンライズ旭町２階","139.437021","35.557652","JGD2011","042-810-2236"
"他の法人","でんでん虫の家・町田","194-0032","町田市本町田９７　イ－４号棟　０－１号室","139.452608","35.559585","JGD2011","042-720-5231"
"社福法人","ボワ・コンサール","194-0037","町田市木曽西２－６－１２","139.412745","35.570272","JGD2011","042-791-5262"
"営利法人","おもちゃ箱まちだ","194-0037","町田市木曽西３－１８－２－２階","139.419116","35.572972","JGD2011","042-794-9117"
"他の法人","プラナスデイサービスセンター","194-0212","町田市小山町４３１９－２","139.358607","35.599606","JGD2011","042-812-0276"
"営利法人","アイ・らんど忠生","195-0074","町田市山崎町２０５５－２　Ｃ－１１３","139.431738","35.571336","JGD2011","042-794-9366"
"営利法人","おもちゃ箱上水桜","184-0005","小金井市桜町２－１２－３１","139.504571","35.712219","JGD2011","042-316-1445"
"営利法人","児童発達支援　More","184-0005","小金井市桜町２－１２－３１","139.504571","35.712219","JGD2011","042-316-4495"
"営利法人","おもちゃ箱なかまち","184-0012","小金井市中町４－１７－１３","139.50894","35.697726","JGD2011","042-316-4600"
"他の法人","児童発達支援事業所かりん","184-0015","小金井市貫井北町５－１２－１","139.48527","35.703197","JGD2011","042-401-0685"
"社福法人","小平福祉園","187-0002","小平市花小金井８－１－１０","139.50204","35.731692","JGD2011","042-433-9330"
"その他","小平市立障害者福祉センター","187-0035","小平市小川西町５－２５－１５","139.458943","35.736612","JGD2011","042-343-4976"
"他の法人","あすなろの家","187-0035","小平市小川西町５－１３－２４","139.458488","35.736793","JGD2011","042-344-9652"
"他の法人","整育園通所センター","187-0035","小平市小川西町２－３５－１","139.461124","35.737176","JGD2011","042-341-0700"
"営利法人","こどもデイサービス　にじいろ","191-0024","日野市万願寺２－３７－１２","139.415263","35.675185","JGD2011","042-843-2269"
"他の法人","運動療育・学びの場　こもれび聖蹟桜ヶ丘教室","191-0034","日野市落川１１３６－２　アーバンシティ宝蔵橋２階","139.437682","35.649941","JGD2011","042-506-5913"
"営利法人","ナーシングデイ山の上","191-0053","日野市豊田２－４７－１　ルネッサンスコート・とよだ１階","139.383033","35.655394","JGD2011","042-843-3366"
"営利法人","運動療育で生きる力を育む　シエル　日野教室","191-0055","日野市西平山２－１１－２１","139.368507","35.645887","JGD2011","042-589-6155"
"営利法人","脳を育てる運動療育センター　こどもプラス　豊田教室","191-0062","日野市多摩平３－２－１　２階","139.377594","35.666457","JGD2011","042-843-3025"
"営利法人","脳を育てる運動療育センター　こどもプラス　多摩平教室","191-0062","日野市多摩平４－１－１４　内田ビル２階","139.378811","35.66546","JGD2011","042-514-9038"
"区市町村","日野市発達・教育支援センター通園事業　きぼう","191-0065","日野市旭が丘２－４２－８","139.368756","35.662991","JGD2011","042-589-8877"
"他の法人","クリッパーズ","191-0065","日野市旭が丘一丁目１５番地の９　２階","139.372276","35.657108","JGD2011","042-514-9813"
"他の法人","やまだこども教室","189-0001","東村山市秋津町５－１３－３　セゾン新秋津２階","139.494094","35.778311","JGD2011","042-306-3220"
"他の法人","楽しい放課後みんな","189-0003","東村山市久米川町２－３１－６－１０２","139.482748","35.761424","JGD2011","042-394-4805"
"社福法人","幼児室ポッポ","189-0021","東村山市諏訪町１－３－１０","139.466672","35.76549","JGD2011","042-396-4380"
"社福法人","ひまわり","189-0024","東村山市富士見町１－５－１３","139.459646","35.741734","JGD2011","042-306-3072"
"社福法人","あゆみの家幼児部","189-0024","東村山市富士見町３－４－１６","139.454413","35.748711","JGD2011","042-393-7588"
"区市町村","こどもの発達センターつくしんぼ","185-0003","国分寺市戸倉３－１－１","139.455022","35.707935","JGD2011","042-323-7912"
"社福法人","ａｎｔｏ","185-0023","国分寺市西元町３－１１－１７","139.472985","35.690451","JGD2011","042-407-6651"
"他の法人","発達支援教室Ｌｅａｐ","186-0001","国立市北２－１３－４８　ワコーレ国立１０２","139.43951","35.700069","JGD2011","042-505-7141"
"営利法人","ＴＡＳＵＣ国立教室","186-0002","国立市東１－４－９　ザ・ダイマス５階","139.447246","35.698436","JGD2011","0467-23-2156"
"営利法人","ハッピーテラスキッズ国立ルーム","186-0002","国立市東１－１５－３４　北島第一ビル２０３号室","139.44856","35.696933","JGD2011","042-505-4306"
"営利法人","児童はったつ支援室まるソラ","186-0003","国立市富士見台４－９－３　佐藤ビル２０７号室","139.432111","35.685492","JGD2011","042-505-9634"
"営利法人","つなごーよ","197-0004","福生市南田園３－１８－１５　ユタカビル１階","139.328238","35.731323","JGD2011","042-513-3621"
"営利法人","ぶどうの木","197-0011","福生市福生１０６２－１２　ＡＭＴビル２階２０３号","139.32483","35.742922","JGD2011","042-513-3855"
"他の法人","はっぴぃハウス","201-0003","狛江市和泉本町４－７－２７－１０３","139.568946","35.643051","JGD2011","03-5497-7343"
"営利法人","こどもデイサービスほっぷ","201-0003","狛江市和泉本町４－２－１３　ＳＡＮＴＥ　ＳＡＫＡＥ２０２","139.569443","35.641318","JGD2011","03-5761-8724"
"他の法人","こどもデイサービス　すてっぷ","201-0003","狛江市和泉本町４－２－１３　","139.569443","35.641318","JGD2011","03-5438-2773"
"他の法人","ウイングこまえ","201-0004","狛江市岩戸北三丁目２２番１３号","139.583237","35.632275","JGD2011","03-5761-9320"
"他の法人","ゆめぽっと","201-0012","狛江市中和泉２－１０－１","139.572912","35.638782","JGD2011","03-3489-6570"
"その他","あいとぴあ子ども発達教室”ぱる”","201-0013","狛江市元和泉２－３５－１","139.567777","35.6333","JGD2011","070-6998-8873"
"区市町村","東大和市立やまとあけぼの学園","207-0012","東大和市新堀１－１５２３－２","139.45173","35.741078","JGD2011","042-564-5923"
"営利法人","きずな","204-0011","清瀬市下清戸２丁目５１８番２","139.536413","35.784972","JGD2011","042-497-3764"
"区市町村","清瀬市子どもの発達支援・交流センター","204-0023","清瀬市竹丘１－１５－８","139.511101","35.76811","JGD2011","042-495-3030"
"営利法人","アプリ児童デイサービス清瀬","204-0024","清瀬市梅園３－２－２１","139.501919","35.768885","JGD2011","042-497-9907"
"営利法人","あいる","203-0013","東久留米市新川町１－９－２６","139.536855","35.761545","JGD2011","042-479-4116"
"区市町村","東久留米市立わかくさ学園","203-0023","東久留米市南沢４－７－１８","139.529811","35.748146","JGD2011","042-467-3275"
"営利法人","コペルプラス　東久留米教室","203-0042","東久留米市八幡町２－１４－７　２階","139.514224","35.755009","JGD2011","042-410-2102"
"営利法人","グラシアス聖蹟桜ヶ丘駅前教室","206-0011","多摩市関戸１－１２－４　糀屋ビル６階","139.448186","35.650222","JGD2011","042-400-1963"
"営利法人","ドリームボックス諏訪","206-0024","多摩市諏訪１－５３－２　ハウスアメニティ１階B号室","139.454475","35.629647","JGD2011","042-316-9251"
"区市町村","多摩市　ひまわり教室","206-0024","多摩市諏訪５－１　諏訪複合教育施設内","139.45447","35.623547","JGD2011","042-374-9728"
"営利法人","こどもデイサービス　ラフ","206-0025","多摩市永山２－１４－６　アドラブールＫ　店舗Ｂ","139.443362","35.630021","JGD2011","042-400-0057"
"他の法人","発達相談支援センター　ＣＯＲＯＮＯＡＨ","206-0033","多摩市落合３－１７－１、１０５号","139.430489","35.616514","JGD2011","042-400-0966"
"他の法人","児童発達支援　Ｓmile　Ｏn","206-0802","稲城市東長沼５６８－１１　ＨＰビル１階","139.503649","35.644097","JGD2011","042-379-8843"
"他の法人","ウイング稲城","206-0804","稲城市百村１６２３－１　パストラルハイム稲城Ｅ－２","139.501475","35.635585","JGD2011","042-401-6840"
"社福法人","コラボいなぎいなぎこども発達支援センター","206-0822","稲城市坂浜１０２９－１","139.485355","35.622891","JGD2011","042-313-5001"
"営利法人","パレットルーム羽村教室","205-0011","羽村市五ノ神４－１－８　日芳ビル２階","139.314758","35.760311","JGD2011","042-533-4175"
"社福法人","発達支援Ｋｉｉｔｏｓ羽村","205-0011","羽村市五ノ神４－１０－１６","139.317532","35.761242","JGD2011","042-533-6234"
"他の法人","わくわくプレイス","205-0013","羽村市富士見平１－３－１　エムマンション１０１","139.322854","35.765961","JGD2011","042-578-9343"
"他の法人","わいわいくらぶ","197-0804","あきる野市秋川２－７－１５","139.286222","35.729297","JGD2011","042-518-7633"
"営利法人","こどもプラスグループ　あきる野教室","197-0804","あきる野市秋川１－２－１　阿伎留ビル１階　１０２号室","139.288064","35.728145","JGD2011","042-533-3515"
"社福法人","児童発達支援事業みらい","188-0011","西東京市田無町７－８－１４","139.530581","35.732873","JGD2011","042-465-7890"
"区市町村","西東京市こどもの発達センターひいらぎ","202-0005","西東京市住吉町６－１５－６","139.55129","35.744433","JGD2011","042-422-9897"
"営利法人","こどもデイサービス　Poco　a　Poco","190-0181","西多摩郡日の出町大久野１６２８－７","139.233581","35.744387","JGD2011","042-597-1599"
