項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,ローン返済世帯／実数（円）,ローン返済世帯／構成比（％）,ローン返済世帯／40歳未満／実数（円）,ローン返済世帯／40歳未満／構成比（％）,ローン返済世帯／40～49歳／実数（円）,ローン返済世帯／40～49歳／構成比（％）,ローン返済世帯／50歳以上／実数（円）,ローン返済世帯／50歳以上／構成比（％）,ローン返済のない世帯／実数（円）,ローン返済のない世帯／構成比（％）,ローン返済のない世帯／40歳未満／実数（円）,ローン返済のない世帯／40歳未満／構成比（％）,ローン返済のない世帯／40～49歳／実数（円）,ローン返済のない世帯／40～49歳／構成比（％）,ローン返済のない世帯／50歳以上／実数（円）,ローン返済のない世帯／50歳以上／構成比（％）
2,3,0,0,0,社会保険料,72633,-,90944,-,67002,-,93279,-,101128,-,61585,-,59894,-,70591,-,58839,-
2,4,0,0,0,公的年金保険料,43916,-,55476,-,43437,-,56918,-,60336,-,36950,-,39971,-,42617,-,33833,-
2,4,0,0,0,健康保険料,23495,-,29262,-,21772,-,29654,-,32841,-,20010,-,18521,-,22589,-,19545,-
2,4,0,0,0,介護保険料,3779,-,4397,-,312,-,5063,-,5776,-,3401,-,97,-,4011,-,4319,-
2,4,0,0,0,他の社会保険料,1444,-,1808,-,1481,-,1645,-,2176,-,1223,-,1306,-,1375,-,1142,-
2,3,0,0,0,その他,56,-,119,-,104,-,79,-,168,-,17,-,30,-,-,-,18,-
2,1,0,0,0,実支出以外の支払(繰越金を除く),772860,-,1023589,-,877998,-,1037193,-,1089767,-,625557,-,627496,-,672650,-,607562,-
2,2,0,0,0,預貯金,574766,-,696007,-,601387,-,730192,-,713335,-,504158,-,502835,-,546668,-,488104,-
2,2,0,0,0,保険料,24686,-,32558,-,25927,-,36455,-,31952,-,20022,-,17204,-,22396,-,20249,-
2,3,0,0,0,個人・企業年金保険料,6443,-,8015,-,3812,-,9261,-,8795,-,5500,-,3868,-,5430,-,6141,-
2,3,0,0,0,他の保険料,18244,-,24543,-,22115,-,27194,-,23158,-,14522,-,13336,-,16966,-,14108,-
2,2,0,0,0,有価証券購入,8034,-,4400,-,2070,-,3262,-,6891,-,10086,-,11687,-,3796,-,11707,-
2,2,0,0,0,土地家屋借金返済,49588,-,133449,-,114677,-,113994,-,165170,-,-,-,-,-,-,-,-,-
2,2,0,0,0,他の借金返済,1320,-,1765,-,1922,-,891,-,2776,-,1070,-,1037,-,1353,-,948,-
2,2,0,0,0,クレジット購入借入金返済,113575,-,154907,-,131574,-,152188,-,168785,-,89120,-,93105,-,97274,-,85636,-
2,2,0,0,0,実支出以外の支払のその他,892,-,505,-,442,-,211,-,858,-,1101,-,1629,-,1161,-,918,-
2,1,0,0,0,繰越金,134038,-,130144,-,75699,-,155366,-,125134,-,136357,-,136549,-,183995,-,117080,-
3,0,0,0,0,可処分所得,561620,-,672397,-,604502,-,669501,-,713022,-,494295,-,522066,-,562013,-,458979,-
3,0,0,0,0,黒字,218168,-,302101,-,312381,-,307168,-,292510,-,166560,-,239288,-,227416,-,117666,-
3,1,0,0,0,金融資産純増,191234,-,177919,-,218792,-,197282,-,136623,-,195750,-,195526,-,234039,-,176658,-
3,3,0,0,0,貯蓄純増,183447,-,173729,-,216789,-,194019,-,130211,-,185952,-,184223,-,230315,-,165281,-
3,4,0,0,0,預貯金純増,164190,-,142752,-,191222,-,158129,-,101760,-,173601,-,167272,-,209540,-,157514,-
3,4,0,0,0,保険純増,19257,-,30976,-,25567,-,35890,-,28452,-,12351,-,16951,-,20775,-,7767,-
3,3,0,0,0,有価証券純購入,7787,-,4190,-,2003,-,3262,-,6412,-,9797,-,11303,-,3724,-,11377,-
3,1,0,0,0,土地家屋借金純減,41749,-,107772,-,114677,-,49309,-,165170,-,-,-,-,-,-,-,-,-
3,1,0,0,0,他の借金純減,498,-,364,-,1922,-,-2302,-,2590,-,630,-,1037,-,453,-,579,-
3,1,0,0,0,クレジット購入借入金純減,-9455,-,6249,-,-4870,-,3598,-,13208,-,-18767,-,-10201,-,-29697,-,-17036,-
3,1,0,0,0,土地家屋純増,15145,-,32652,-,9726,-,78039,-,-,-,8552,-,60284,-,39671,-,-18349,-
3,1,0,0,0,その他の純増,-9,-,214,-,187,-,149,-,261,-,-161,-,1073,-,1080,-,-1026,-
3,1,0,0,0,繰越純増,-20995,-,-23068,-,-28052,-,-18907,-,-25342,-,-19444,-,-8432,-,-18130,-,-23161,-
,,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 2年,,,,,,,,,,,,,,,,,,,,,,,
第２４表　住宅ローン返済の有無別・世帯主年齢階層別１世帯当たり年平均１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,,,,,,,
注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。,,,,,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）,,,,,,,,,,,,,,,,,,,,,,,
