"市区町村コード","番号","都道府県名","市区町村名","営業所名称","営業の種類","業態","営業所所在地","営業所方書","営業所電話番号","許可番号","初回許可年月日","許可日","許可開始日","許可満了日","最終確認日","経度","緯度","分類"
"","","","","","㈱三徳　新中野店","【～Ｒ３．５】飲食店営業（すし屋）","中央五丁目１４番４号","","3382-3109","3中健衛食第80号","平成12年5月30日","令和3年5月11日","令和3年6月1日","令和10年5月31日","","139.664185798745","35.6977377697337","食品等営業許可_届出一覧"
"","","","","","㈱三徳　新中野店","【～Ｒ３．５】飲食店営業（調理パン）","中央五丁目１４番４号","","3382-3109","3中健衛食第81号","平成12年5月30日","令和3年5月11日","令和3年6月1日","令和10年5月31日","","139.664185798745","35.6977377697337","食品等営業許可_届出一覧"
"","","","","","㈱三徳　新中野店","【～Ｒ３．５】飲食店営業（一般そうざい）","中央五丁目１４番４号","","3382-3109","3中健衛食第82号","平成12年5月30日","令和3年5月11日","令和3年6月1日","令和10年5月31日","","139.664185798745","35.6977377697337","食品等営業許可_届出一覧"
"","","","","","㈱三徳　新中野店","【～Ｒ３．５】菓子製造業（パン製造業）","中央五丁目１４番４号","","3382-3109","3中健衛食第83号","平成12年5月30日","令和3年5月11日","令和3年6月1日","令和10年5月31日","","139.664185798745","35.6977377697337","食品等営業許可_届出一覧"
"","","","","","㈱三徳　新中野店","【～Ｒ３．５】食肉販売業（一般・畜肉）","中央五丁目１４番４号","","3382-3109","3中健衛食第84号","平成12年5月30日","令和3年5月11日","令和3年6月1日","令和10年5月31日","","139.664185798745","35.6977377697337","食品等営業許可_届出一覧"
"","","","","","㈱三徳　新中野店","【～Ｒ３．５】魚介類販売業（一般）","中央五丁目１４番４号","","3382-3109","3中健衛食第85号","平成12年5月30日","令和3年5月11日","令和3年6月1日","令和10年5月31日","","139.664185798745","35.6977377697337","食品等営業許可_届出一覧"
"","","","","","㈱三徳　新中野店","⑪ 百貨店、総合スーパー","中央五丁目１４番４号","","3382-3109","3中健衛食第365号","","","","","","139.664185798745","35.6977377697337","食品等営業許可_届出一覧"
"","","","","","キャビン","【～Ｒ３．５】飲食店営業（一般・その他）","中央五丁目１５番４号","","3381-3722","2中健衛食第133号","昭和59年6月1日","令和2年5月8日","令和2年6月1日","令和8年5月31日","","139.66376065885","35.6976032535523","食品等営業許可_届出一覧"
"","","","","","澤神","飲食店営業［一般飲食店］","中央五丁目１５番４号","錦ビル　１階","","5中健衛食第4号","令和5年4月6日","令和5年4月6日","令和5年4月6日","令和12年4月30日","","139.66376065885","35.6976032535523","食品等営業許可_届出一覧"
"","","","","","城南信用金庫　中野支店　食堂","【～Ｒ３．５】飲食店営業（集団給食・病院）","中央五丁目１６番１号","","03-3381-7136","2中健衛食第187号","平成25年5月10日","令和2年6月16日","令和2年6月1日","令和9年5月31日","","139.66350294533","35.6977212521682","食品等営業許可_届出一覧"
"","","","","","居酒屋　祥","飲食店営業［一般飲食店］","中央五丁目１７番１号","","03-3381-9494","3中健衛食第1253号","令和3年10月12日","令和3年10月12日","令和3年10月12日","令和9年10月31日","","139.663188586602","35.6977149790622","食品等営業許可_届出一覧"
"","","","","","ふくろく","【～Ｒ３．５】飲食店営業（一般・その他）","中央五丁目１７番１号","","","2中健衛食第25号","令和2年4月10日","令和2年4月10日","令和2年4月10日","令和8年4月30日","","139.663188586602","35.6977149790622","食品等営業許可_届出一覧"
"","","","","","ファミリーマート中野中央五丁目店","【～Ｒ３．５】菓子製造業（パン製造業）","中央五丁目１８番３号","","03-5342-4735","29中環生食第132号","平成29年5月10日","平成29年5月10日","平成29年5月10日","令和6年5月31日","","139.662722011608","35.6978400332409","食品等営業許可_届出一覧"
"","","","","","ファミリーマート中野中央五丁目店","【～Ｒ３．５】飲食店営業（一般・その他）","中央五丁目１８番３号","","03-5342-4735","2中健衛食第735号","平成25年10月10日","令和2年10月19日","令和2年11月1日","令和9年10月31日","","139.662722011608","35.6978400332409","食品等営業許可_届出一覧"
"","","","","","ファミリーマート中野中央五丁目店","⑩ コンビニエンスストア","中央五丁目１８番３号","","03-5342-4735","3中健衛食第432号","","","","","","139.662722011608","35.6978400332409","食品等営業許可_届出一覧"
"","","","","","和食つくしん坊","飲食店営業［一般飲食店］","中央五丁目１９番１７号","","03-3229-1726","4中健衛食第265号","令和4年7月26日","令和4年7月26日","令和4年7月26日","令和10年7月31日","","139.662282723812","35.6976044522398","食品等営業許可_届出一覧"
"","","","","","慶元流","【～Ｒ３．５】飲食店営業（そば）","中央五丁目１９番１７号","星岩ビル１Ｆ","03-3381-3110","29中環生食第821号","平成29年11月7日","平成29年11月7日","平成29年11月7日","令和6年11月30日","","139.662282723812","35.6976044522398","食品等営業許可_届出一覧"
"","","","","","西野商店","⑦ 野菜果物販売業","中央五丁目２３番８号","","3381-6845","3中健衛食第708号","","","","","","139.661854089869","35.7001433287085","食品等営業許可_届出一覧"
"","","","","","ソワメーム","【～Ｒ３．５】飲食店営業（一般・軽食喫茶）","中央五丁目２４番７号","フリーダム２１　１階","5385-4822","30中環生食第372号","平成30年7月31日","平成30年7月31日","平成30年7月31日","令和7年7月31日","","139.662962300289","35.7002075675339","食品等営業許可_届出一覧"
"","","","","","ソワメーム","【～Ｒ３．５】菓子製造業（生菓子・洋生）","中央五丁目２４番７号","フリーダム２１　１階","5385-4822","2中健衛食第261号","平成18年5月31日","令和2年6月5日","令和2年6月1日","令和9年5月31日","","139.662962300289","35.7002075675339","食品等営業許可_届出一覧"
"","","","","","ソワメーム","⑯ コーヒー製造・加工業（飲料の製造を除く。）","中央五丁目２４番７号","フリーダム２１　１階","5385-4822","3中健衛食第1573号","","","","","","139.662962300289","35.7002075675339","食品等営業許可_届出一覧"
"","","","","","三笠庵","【～Ｒ３．５】飲食店営業（そば）","中央五丁目２４番１１号","","3382-9861","31中健衛食第404号","昭和57年9月10日","令和1年9月19日","令和1年10月1日","令和8年9月30日","","139.663572236878","35.7002271665165","食品等営業許可_届出一覧"
"","","","","","白夜","【～Ｒ３．５】飲食店営業（一般・その他）","中央五丁目２４番１１号","中央マンション１０２","","29中環生食第569号","平成29年8月31日","平成29年8月31日","平成29年8月31日","令和6年8月31日","","139.663572236878","35.7002271665165","食品等営業許可_届出一覧"
"","","","","","ＦＡＩＲ　ＷＡＹ","【～Ｒ３．５】飲食店営業（一般・その他）","中央五丁目３０番７号","","","29中環生食第1035号","平成30年1月16日","平成30年1月16日","平成30年1月16日","令和7年1月31日","","139.664310240075","35.7003027127511","食品等営業許可_届出一覧"
"","","","","","ぽぱい","飲食店営業［一般飲食店］","中央五丁目３０番９号","宇田川ビル１Ｆ","","3中健衛食第1660号","令和3年12月6日","令和3年12月6日","令和3年12月6日","令和9年12月31日","","139.664433313427","35.7003682600323","食品等営業許可_届出一覧"
"","","","","","京のねぎ家","【～Ｒ３．５】飲食店営業（一般・その他）","中央五丁目３８番１１号","","03-6382-6335","31中健衛食第380号","令和1年9月13日","令和1年9月13日","令和1年9月13日","令和8年9月30日","","139.667275834612","35.6999210983349","食品等営業許可_届出一覧"
"","","","","","京のねぎ家","⑪ 菓子製造業","中央五丁目３８番１１号","","03-6382-6335","4中健衛食第261号","令和4年8月4日","令和4年8月4日","令和4年8月4日","令和11年8月31日","","139.667275834612","35.6999210983349","食品等営業許可_届出一覧"
"","","","","","オフィスグリコ冷凍冷蔵庫１０７４２０","⑬ その他の食料・飲料販売業","中央五丁目３８番１６号","","","3中健衛食第1347号","","","","","","139.667440672661","35.6992944693373","食品等営業許可_届出一覧"
"","","","","","ＡＬＥＳＳＩＯ","飲食店営業［一般飲食店］","中央五丁目３９番１２号","１Ｆ","03-6318-1805","5中健衛食第73号","令和5年5月18日","令和5年5月18日","令和5年5月18日","令和12年5月31日","","139.667031380973","35.7005721852653","食品等営業許可_届出一覧"
"","","","","","ＬＩＶＥ＆ＰＵＢ　Ｍｏｏｎ　Ｓｔｅｐ","【～Ｒ３．５】飲食店営業（一般・その他）","中央五丁目３９番１６号","中野第二サンパークビル　２階","3380-7739","30中環生食第189号","平成18年5月12日","平成30年5月25日","平成30年6月1日","令和6年5月31日","","139.667161089601","35.7001022840865","食品等営業許可_届出一覧"
"","","","","","中野ＭＯＯＮＳＴＥＰ","飲食店営業［一般飲食店］","中央五丁目３９番１６号","中野第二サンパークビル２階","03-3380-7739","4中健衛食第598号","令和4年12月15日","令和4年12月15日","令和4年12月15日","令和11年12月31日","","139.667161089601","35.7001022840865","食品等営業許可_届出一覧"
"","","","","","虎月堂","【～Ｒ３．５】菓子製造業（生菓子・和生）","中央五丁目４０番１５号","","3384-0082","29中環生食第830号","昭和59年11月26日","平成29年11月16日","平成29年12月1日","令和6年11月30日","","139.666647187002","35.7011985698882","食品等営業許可_届出一覧"
"","","","","","コープ中野中央店","【～Ｒ３．５】飲食店営業（すし屋）","中央五丁目４１番１８号","","03-3382-3191","28中環生食第516号","平成28年10月19日","平成28年10月19日","平成28年10月19日","令和5年10月31日","","139.666083172881","35.7019406218173","食品等営業許可_届出一覧"
"","","","","","コープ中野中央店","【～Ｒ３．５】飲食店営業（調理パン）","中央五丁目４１番１８号","","03-3382-3191","28中環生食第517号","平成28年10月19日","平成28年10月19日","平成28年10月19日","令和5年10月31日","","139.666083172881","35.7019406218173","食品等営業許可_届出一覧"
"","","","","","コープ中野中央店","【～Ｒ３．５】飲食店営業（一般そうざい）","中央五丁目４１番１８号","","03-3382-3191","28中環生食第518号","平成28年10月19日","平成28年10月19日","平成28年10月19日","令和5年10月31日","","139.666083172881","35.7019406218173","食品等営業許可_届出一覧"
"","","","","","コープ中野中央店","【～Ｒ３．５】菓子製造業（パン製造業）","中央五丁目４１番１８号","","03-3382-3191","28中環生食第520号","平成28年10月19日","平成28年10月19日","平成28年10月19日","令和5年10月31日","","139.666083172881","35.7019406218173","食品等営業許可_届出一覧"
"","","","","","コープ中野中央店","【～Ｒ３．５】魚介類販売業（一般）","中央五丁目４１番１８号","","03-3382-3191","28中環生食第523号","平成28年10月19日","平成28年10月19日","平成28年10月19日","令和5年10月31日","","139.666083172881","35.7019406218173","食品等営業許可_届出一覧"
"","","","","","コープ中野中央店","⑪ 百貨店、総合スーパー","中央五丁目４１番１８号","","03-3382-3191","3中健衛食第709号","","","","","","139.666083172881","35.7019406218173","食品等営業許可_届出一覧"
"","","","","","コープ中野中央店","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","中央五丁目４１番１８号","","03-3382-3191","3中健衛食第1469号","","","","","","139.666083172881","35.7019406218173","食品等営業許可_届出一覧"
"","","","","","サービス付き高齢者向け住宅　コープみらいえ中野","? 集団給食施設","中央五丁目４１番１８号","４Ｆ","03-6382-7270","3中健衛食第1675号","","","","","","139.666083172881","35.7019406218173","食品等営業許可_届出一覧"
"","","","","","ゲキダンタナカ","飲食店営業［一般飲食店］","中央五丁目４２番１４号","オオノハイツ１階店舗","","4中健衛食第25号","令和4年4月19日","令和4年4月19日","令和4年4月19日","令和10年4月30日","","139.666530045905","35.700935009858","食品等営業許可_届出一覧"
"","","","","","ゲキダンタナカ","③ 乳類販売業","中央五丁目４２番１４号","オオノハイツ１階店舗","","4中健衛食第26号","","","","","","139.666530045905","35.700935009858","食品等営業許可_届出一覧"
"","","","","","中野区立　桃花小学校","【～Ｒ３．５】飲食店営業（集団給食・病院）","中央五丁目４３番１号","","03-3381-7251","3中健衛食第91号","令和3年5月12日","令和3年5月12日","令和3年5月12日","令和10年5月31日","","139.66616413993","35.7004695009542","食品等営業許可_届出一覧"
"","","","","","イタリア料理　イルプリモ","飲食店営業［一般飲食店］","中央五丁目４６番５号","","03-3384-3981","3中健衛食第1833号","令和4年2月4日","令和4年2月4日","令和4年2月4日","令和11年2月28日","","139.664806878959","35.7008647495921","食品等営業許可_届出一覧"
"","","","","","にじいろ保育園中野","? 集団給食施設","中央五丁目４８番２号","プリマス中野　１階","03-6382-8492","3中健衛食第594号","","","","","","139.665212740976","35.7015079422267","食品等営業許可_届出一覧"
"","","","","","ソウルハウス","【～Ｒ３．５】飲食店営業（一般・その他）","中央五丁目４８番５号","","3384-5564","30中環生食第324号","平成9年7月2日","平成30年7月11日","平成30年8月1日","令和7年7月31日","","139.665368985978","35.7018295549861","食品等営業許可_届出一覧"
"","","","","","Ｍｕｇｓ","飲食店営業［一般飲食店］","中央五丁目４８番５号","シャンボ－ル中野１０９","3382-3644","3中健衛食第1431号","令和3年11月1日","令和3年11月4日","令和3年11月1日","令和10年10月31日","","139.665368985978","35.7018295549861","食品等営業許可_届出一覧"
"","","","","","バーガーアンドコーヒー　アイレット","飲食店営業［一般飲食店］","中央五丁目４８番５号","シャンボール中野１０３号室","03-5340-7994","3中健衛食第1561号","令和3年11月26日","令和3年11月26日","令和3年11月26日","令和10年11月30日","","139.665368985978","35.7018295549861","食品等営業許可_届出一覧"
"","","","","","ＴＲＡＴＴＯＲＩＡ　Ｋａｏｒｉ","【～Ｒ３．５】飲食店営業（一般・その他）","中央五丁目４８番５号","シャンボール中野１０８号","03-4283-5435","31中健衛食第154号","令和1年6月19日","令和1年6月19日","令和1年6月19日","令和8年6月30日","","139.665368985978","35.7018295549861","食品等営業許可_届出一覧"
"","","","","","タイ料理店　ＨｉｕＭａｉ","【～Ｒ３．５】飲食店営業（弁当）","中央五丁目４８番５号","","03-3382-9222","31中健衛食第740号","令和2年1月20日","令和2年1月20日","令和2年1月20日","令和9年1月31日","","139.665368985978","35.7018295549861","食品等営業許可_届出一覧"
"","","","","","Ｘ　Ｋｉｔｃｈｅｎ","【～Ｒ３．５】飲食店営業（弁当）","中央五丁目４８番５号","","","31中健衛食第772号","令和2年1月20日","令和2年1月20日","令和2年1月20日","令和9年1月31日","","139.665368985978","35.7018295549861","食品等営業許可_届出一覧"
"","","","","","デリステーション中野店","【～Ｒ３．５】飲食店営業（弁当）","中央五丁目４８番５号","","03-6879-1884","2中健衛食第279号","令和2年6月25日","令和2年6月25日","令和2年6月25日","令和9年6月30日","","139.665368985978","35.7018295549861","食品等営業許可_届出一覧"
"","","","","","ＢＡＣＫＦＩＲＥ","【～Ｒ３．５】飲食店営業（一般・軽食喫茶）","中央五丁目４８番５号","","","2中健衛食第1292号","令和3年3月31日","令和3年3月31日","令和3年3月31日","令和10年3月31日","","139.665368985978","35.7018295549861","食品等営業許可_届出一覧"
"","","","","","やまねこ亭","【～Ｒ３．５】飲食店営業（一般・その他）","中央五丁目４８番５号","107","03-6454-1644","2中健衛食第1311号","令和3年3月19日","令和3年3月19日","令和3年3月19日","令和10年3月31日","","139.665368985978","35.7018295549861","食品等営業許可_届出一覧"
"","","","","","小料理　よし貴","飲食店営業［一般飲食店］","中央五丁目４８番５号","シャンボール中野１０５","","3中健衛食第586号","令和3年6月28日","令和3年6月28日","令和3年6月28日","令和10年6月30日","","139.665368985978","35.7018295549861","食品等営業許可_届出一覧"
"","","","","","ＭＡＣＨＩ　ＤＥＬＩ","飲食店営業［一般飲食店］","中央五丁目４８番５号","シャンポール中野１０４","","5中健衛食第48号","令和5年4月28日","令和5年4月28日","令和5年4月28日","令和12年4月30日","","139.665368985978","35.7018295549861","食品等営業許可_届出一覧"
"","","","","","松田米店","⑧ 米穀類販売業","中央五丁目４９番６号","","03-3381-3118","3中健衛食第1595号","","","","","","139.665532516082","35.7023673918963","食品等営業許可_届出一覧"
"","","","","","かわ焼　まいける","【～Ｒ３．５】飲食店営業（一般・その他）","中央五丁目４９番１０号","奈良屋ビル　１階","363048737","2中健衛食第580号","平成25年8月29日","令和2年8月28日","令和2年9月1日","令和9年8月31日","","139.665657507204","35.7023103626013","食品等営業許可_届出一覧"
"","","","","","セブンイレブン東中野末広橋店","⑩ コンビニエンスストア","東中野一丁目１番１９号","","03-5389-2951","3中健衛食第239号","","","","","","139.687152971844","35.7018110446604","食品等営業許可_届出一覧"
"","","","","","セブンイレブン東中野末広橋店","飲食店営業［一般飲食店］","東中野一丁目１番１９号","","03-5389-2951","3中健衛食第281号","令和3年6月23日","令和3年6月23日","令和3年6月23日","令和10年6月30日","","139.687152971844","35.7018110446604","食品等営業許可_届出一覧"
"","","","","","たかお","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目４番３号","","","31中健衛食第679号","令和1年12月13日","令和1年12月13日","令和1年12月13日","令和7年12月31日","","139.685544364116","35.7016189006587","食品等営業許可_届出一覧"
"","","","","","ぽっくる亭","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目５番１０号","宮園マンション　１階","03-5389-9600","31中健衛食第968号","平成25年4月18日","令和2年4月3日","令和2年5月1日","令和9年4月30日","","139.685198192526","35.7017762579517","食品等営業許可_届出一覧"
"","","","","","中華料理あたか","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目６番１２号","フォレスト東中野１階","03-5937-5068","31中健衛食第956号","令和2年3月11日","令和2年3月11日","令和2年3月11日","令和9年3月31日","","139.685073197978","35.7015435478115","食品等営業許可_届出一覧"
"","","","","","株式会社ニックフーズ","① 魚介類販売業（包装済みの魚介類のみの販売）","東中野一丁目１１番１０号","","3365-1215","3中健衛食第710号","","","","","","139.682668349843","35.7022708972979","食品等営業許可_届出一覧"
"","","","","","株式会社ニックフーズ","【～Ｒ３．５】食肉処理業（畜肉）","東中野一丁目１１番１０号","","03-3365-1215","31中健衛食第976号","令和2年3月31日","令和2年3月31日","令和2年3月31日","令和9年3月31日","","139.682668349843","35.7022708972979","食品等営業許可_届出一覧"
"","","","","","スナック　アムール","【～Ｒ３．５】飲食店営業（一般・スナック）","東中野一丁目１３番２８号","","","29中環生食第981号","平成29年12月27日","平成29年12月27日","平成29年12月27日","令和5年12月31日","","139.685248267996","35.7021879532167","食品等営業許可_届出一覧"
"","","","","","スモーク　ソルト","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目１４番２６号","高山ビル１Ｆ","5937-5615","28中環生食第577号","平成28年11月24日","平成28年11月24日","平成28年11月24日","令和5年11月30日","","139.685429427979","35.7028273249673","食品等営業許可_届出一覧"
"","","","","","アジアンダイニング＆バー　ザ・ルンビニ","飲食店営業［一般飲食店］","東中野一丁目１４番２６号","101","03-3363-4577","3中健衛食第218号","令和3年6月4日","令和3年6月4日","令和3年6月4日","令和10年6月30日","","139.685429427979","35.7028273249673","食品等営業許可_届出一覧"
"","","","","","Ｔｙｐｈｏｏｎ　ＫＥＢＡＢ","飲食店営業［一般飲食店］","東中野一丁目１４番２６号","高山ビル１Ｆ","","4中健衛食第76号","令和4年4月28日","令和4年4月28日","令和4年4月28日","令和11年4月30日","","139.685429427979","35.7028273249673","食品等営業許可_届出一覧"
"","","","","","アッサンブラージュ・ノム","飲食店営業［一般飲食店］","東中野一丁目１４番２６号","高山ビル２階","","4中健衛食第316号","令和4年8月10日","令和4年8月10日","令和4年8月10日","令和11年8月31日","","139.685429427979","35.7028273249673","食品等営業許可_届出一覧"
"","","","","","アッサンブラージュ・ノム","⑪ 菓子製造業","東中野一丁目１４番２６号","高山ビル２階","","4中健衛食第317号","令和4年8月10日","令和4年8月10日","令和4年8月10日","令和11年8月31日","","139.685429427979","35.7028273249673","食品等営業許可_届出一覧"
"","","","","","コ・トゥ・タモ・ペヴァ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目１５番３号","東ビル　１階１０２","03-6325-7116","29中環生食第533号","平成22年8月27日","平成29年8月14日","平成29年9月1日","令和6年8月31日","","139.685551888024","35.702335886609","食品等営業許可_届出一覧"
"","","","","","コ・トゥ・タモ・ペヴァ","【～Ｒ３．５】菓子製造業（その他・その他）","東中野一丁目１５番３号","東ビル　１階１０２","03-6325-7116","29中環生食第534号","平成22年8月27日","平成29年8月14日","平成29年9月1日","令和6年8月31日","","139.685551888024","35.702335886609","食品等営業許可_届出一覧"
"","","","","","一","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目１５番３号","","","2中健衛食第185号","令和2年5月27日","令和2年5月27日","令和2年5月27日","令和9年5月31日","","139.685551888024","35.702335886609","食品等営業許可_届出一覧"
"","","","","","中国料理　生駒軒","飲食店営業［一般飲食店］","東中野一丁目１５番５号","","3361-8282","4中健衛食第678号","令和5年2月22日","令和5年2月22日","令和5年2月22日","令和12年2月28日","","139.685670582657","35.7026913150998","食品等営業許可_届出一覧"
"","","","","","Ｔ＆Ｎ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目１５番５号","エクセルワイエム　１階","","30中環生食第265号","平成23年6月22日","平成30年6月13日","平成30年7月1日","令和7年6月30日","","139.685670582657","35.7026913150998","食品等営業許可_届出一覧"
"","","","","","ｒｏｍｂｏ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目１５番６号","森田ハイツ右号","","29中環生食第1158号","平成30年2月26日","平成30年2月26日","平成30年2月26日","令和6年2月29日","","139.685668796323","35.7027614802475","食品等営業許可_届出一覧"
"","","","","","ｃｏｆｆｅｅｓｔａｎｄ早川亭","飲食店営業［一般飲食店］","東中野一丁目１５番７号","フラット東中野１階","","4中健衛食第152号","令和4年6月6日","令和4年6月6日","令和4年6月6日","令和11年6月30日","","139.685715972694","35.702947703782","食品等営業許可_届出一覧"
"","","","","","ｃｏｆｆｅｅｓｔａｎｄ早川亭","⑯ コーヒー製造・加工業（飲料の製造を除く。）","東中野一丁目１５番７号","フラット東中野１階","","4中健衛食第153号","","","","","","139.685715972694","35.702947703782","食品等営業許可_届出一覧"
"","","","","","丸越米店","⑧ 米穀類販売業","東中野一丁目１５番７号","","","3中健衛食第326号","","","","","","139.685715972694","35.702947703782","食品等営業許可_届出一覧"
"","","","","","ｅａｓｔｙｅａｓｔ","【～Ｒ３．５】菓子製造業（その他・その他）","東中野一丁目１７番４号","","3369-6674","31中健衛食第786号","平成18年2月10日","令和2年1月23日","令和2年3月1日","令和9年2月28日","","139.686555015121","35.7024835730881","食品等営業許可_届出一覧"
"","","","","","サルキッチン","飲食店営業［一般飲食店］","東中野一丁目２２番１３号","","3360-4220","4中健衛食第848号","令和5年4月10日","令和5年4月10日","令和5年4月10日","令和11年4月30日","","139.68599782709","35.7035178038383","食品等営業許可_届出一覧"
"","","","","","流星雨","飲食店営業［一般飲食店］","東中野一丁目２３番１号","リモーネ東中野　１階","3371-2128","4中健衛食第836号","令和5年4月5日","令和5年4月5日","令和5年4月5日","令和12年4月30日","","139.685761044543","35.7030764638699","食品等営業許可_届出一覧"
"","","","","","串揚げ　あげあげ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目２３番２号","近藤ビル　１Ｆ","5937-2955","29中環生食第676号","平成29年9月27日","平成29年9月27日","平成29年9月27日","令和6年9月30日","","139.685761515808","35.703120767958","食品等営業許可_届出一覧"
"","","","","","Ｂａｒ＆Ｍｕｓｉｃ　ｓｐｏｔ　ＡＬＴＳＰＥＡＫＥＲ","飲食店営業［一般飲食店］","東中野一丁目２５番１０号","大和ビル第１　１階","","3中健衛食第1727号","令和3年12月22日","令和3年12月22日","令和3年12月22日","令和10年12月31日","","139.68554094262","35.7034820408418","食品等営業許可_届出一覧"
"","","","","","燻製ダイニング５","【～Ｒ３．５】飲食店営業（バー・キャバレー）","東中野一丁目３０番１５号","スペースＭ　Ｂ１１１","","30中環生食第712号","平成30年12月4日","平成30年12月4日","平成30年12月4日","令和7年12月31日","","139.682961518017","35.704165259721","食品等営業許可_届出一覧"
"","","","","","大衆酒場リズ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目３１番７号","山繁コーポラス１Ｆ－Ｂ１Ｆ","03-3361-6990","30中環生食第544号","平成23年9月21日","平成30年10月18日","平成30年10月1日","令和7年9月30日","","139.682758246994","35.7038351434679","食品等営業許可_届出一覧"
"","","","","","覆めん　花木","【～Ｒ３．５】飲食店営業（一般・中華料理）","東中野一丁目３１番８号","井上ビル１Ｆ","","2中健衛食第718号","令和2年10月13日","令和2年10月13日","令和2年10月13日","令和8年10月31日","","139.682699966572","35.7039760582777","食品等営業許可_届出一覧"
"","","","","","有限会社　大橋屋本店","【～Ｒ３．５】飲食店営業（そば）","東中野一丁目３２番５号","","3361-3579","29中環生食第14号","平成8年5月1日","平成29年4月18日","平成29年5月1日","令和6年4月30日","","139.683009044271","35.7047525421106","食品等営業許可_届出一覧"
"","","","","","餃子や獅丸","飲食店営業［一般飲食店］","東中野一丁目３２番５号","ケーズコート山手　１Ｆ","03-5937-4401","3中健衛食第1432号","令和3年11月8日","令和3年11月8日","令和3年11月8日","令和10年11月30日","","139.683009044271","35.7047525421106","食品等営業許可_届出一覧"
"","","","","","餃子や獅丸","? そうざい製造業","東中野一丁目３２番５号","ケーズコート山手　１Ｆ","03-5937-4401","3中健衛食第1433号","令和3年11月8日","令和3年11月8日","令和3年11月8日","令和10年11月30日","","139.683009044271","35.7047525421106","食品等営業許可_届出一覧"
"","","","","","Ｏｎ　Ｆｌｏｗｅｒｓ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目３２番６号","大瀧ビル１Ｆ","3227-2877","29中環生食第1250号","平成30年4月2日","平成30年4月2日","平成30年4月2日","令和6年4月30日","","139.682937699404","35.7050829274896","食品等営業許可_届出一覧"
"","","","","","Ｏｎ　Ｆｌｏｗｅｒｓ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目３２番６号","大瀧ビル１Ｆ","03-3227-2877","2中健衛食第305号","令和2年6月12日","令和2年6月12日","令和2年6月12日","令和9年6月30日","","139.682937699404","35.7050829274896","食品等営業許可_届出一覧"
"","","","","","Ｏｎ　Ｆｌｏｗｅｒｓ","【～Ｒ３．５】菓子製造業（生菓子・洋生）","東中野一丁目３２番６号","大瀧ビル１Ｆ","03-3227-2877","2中健衛食第1101号","令和3年1月29日","令和3年1月29日","令和3年1月29日","令和10年1月31日","","139.682937699404","35.7050829274896","食品等営業許可_届出一覧"
"","","","","","居酒屋かんじ","【～Ｒ３．５】飲食店営業（一般・その他）","東中野一丁目３５番１号","はりまビル２階","03-3365-0064","30中環生食第236号","平成30年6月1日","平成30年6月1日","平成30年6月1日","令和7年5月31日","","139.685398196418","35.7041869844263","食品等営業許可_届出一覧"
"","","","","","タベル株式会社","【～Ｒ３．５】飲食店営業（仕出し）","東中野一丁目３５番１号","はりまビル１Ｆ","03-5937-5431","30中環生食第390号","平成30年7月30日","平成30年7月30日","平成30年7月30日","令和7年7月31日","","139.685398196418","35.7041869844263","食品等営業許可_届出一覧"
"","","","","","タベル株式会社","【～Ｒ３．５】そうざい製造業","東中野一丁目３５番１号","はりまビル１Ｆ","03-5937-5431","2中健衛食第1263号","令和3年3月11日","令和3年3月11日","令和3年3月11日","令和10年3月31日","","139.685398196418","35.7041869844263","食品等営業許可_届出一覧"
"","","","","","べじはん　東中野店","? そうざい製造業","東中野一丁目３５番１号","はりまビル１階","03-5937-5171","4中健衛食第555号","令和4年11月29日","令和4年11月29日","令和4年11月29日","令和11年11月30日","","139.685398196418","35.7041869844263","食品等営業許可_届出一覧"
"","","","","","べじはん　東中野店","? そうざい製造業","東中野一丁目３５番１号","はりまビル１階","03-5937-5431","5中健衛食第177号","令和5年6月26日","令和5年6月26日","令和5年6月26日","令和12年6月30日","","139.685398196418","35.7041869844263","食品等営業許可_届出一覧"
"","","","","","社会福祉法人龍美陽だまりの丘保育園分園","【～Ｒ３．５】飲食店営業（集団給食・病院）","東中野一丁目３５番５号","","03-6304-0156","30中環生食第1052号","平成24年3月30日","平成31年3月28日","平成31年4月1日","令和8年3月31日","","139.684830559975","35.7045804103978","食品等営業許可_届出一覧"
"","","","","","オリーブ","【～Ｒ３．５】飲食店営業（一般・軽食喫茶）","東中野一丁目３６番２号","","3369-5469","30中環生食第336号","昭和61年7月11日","平成30年7月20日","平成30年8月1日","令和7年7月31日","","139.685844165585","35.7035480362777","食品等営業許可_届出一覧"
