調査項目,回答,全体(人),健康・体力づくりのため(人),楽しみや気晴らしのため(人),運動不足解消のため(人),精神の修養や訓練のため（心をきたえるため）(人),自己の記録や能力を向上させるため(人),リハビリテーションや医療・治療のため(人),家族のふれあいのため(人),友人・仲間との交流のため(人),美容や肥満解消（ダイエット）のため(人),障害者スポーツ大会に参加するため(人),その他(人),わからない(人)
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,72,55,67,26,22,37,17,25,16,4,6,1
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,223,142,187,53,37,99,30,52,47,7,5,0
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,106,87,86,29,26,27,22,47,22,9,3,1
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,139,114,123,36,32,45,32,42,33,6,6,0
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,259,167,211,60,43,81,48,66,65,9,7,0
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,70,54,62,23,21,30,15,21,24,3,3,1
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,207,129,176,37,31,82,33,43,51,3,8,0
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,273,199,214,63,52,53,52,103,54,8,10,0
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,243,180,192,62,37,67,48,79,50,6,10,1
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,127,101,101,34,24,34,29,50,31,4,8,1
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,303,203,248,63,54,91,54,86,60,9,13,0
スポーツ・運動の継続実施に必要なもの,その他,44,33,15,25,3,4,5,2,5,8,1,8,0
スポーツ・運動の継続実施に必要なもの,特にない,362,260,125,199,23,14,35,9,17,36,2,4,13
スポーツ・運動の継続実施に必要なもの,わからない,247,153,77,102,16,5,19,11,6,19,0,5,40
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,209,124,137,24,19,41,22,26,19,5,2,0
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,182,105,126,38,23,58,19,26,22,2,2,1
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,251,156,192,40,30,88,34,48,27,4,3,2
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,97,76,83,32,28,32,15,27,15,1,3,1
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,260,195,201,41,35,64,48,64,35,3,5,1
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,38,28,29,13,9,15,5,13,6,2,0,1
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,97,69,76,22,18,32,9,22,14,3,1,0
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,54,38,44,14,14,18,7,14,5,1,2,0
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,29,22,20,13,9,15,3,9,5,1,1,1
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,144,84,118,25,20,52,17,23,22,0,3,1
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,58,53,45,12,17,12,13,21,8,4,1,0
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,82,52,67,16,20,21,7,23,17,1,3,0
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,189,126,149,39,17,55,27,42,47,1,7,2
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,37,21,35,8,11,12,3,7,11,0,1,0
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,106,59,94,20,15,47,12,17,23,0,1,1
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,147,113,122,33,19,28,21,48,26,1,4,1
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,125,90,107,27,18,31,26,36,21,2,6,1
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,30,24,22,6,4,7,4,13,9,1,0,2
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,253,160,202,45,34,67,39,66,48,6,8,1
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,12,10,15,1,2,3,5,2,4,0,3,0
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,293,141,219,27,21,39,14,24,48,2,4,12
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,162,79,110,12,8,29,12,16,17,0,8,36
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,会場までの送迎,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,その他,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,特にない,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ以外に関心のある事,旅行,954,771,478,565,121,77,164,97,136,116,9,17,12
スポーツ以外に関心のある事,グルメ・食べ歩き,904,742,469,549,118,78,157,94,127,123,8,16,6
スポーツ以外に関心のある事,買い物・ショッピング,623,493,315,395,94,64,122,54,91,109,6,15,4
スポーツ以外に関心のある事,テレビ視聴,733,591,355,478,106,72,149,67,112,92,9,11,5
スポーツ以外に関心のある事,動画配信サービス視聴,674,510,335,415,98,78,118,77,125,110,11,22,4
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,362,271,190,235,67,50,76,31,65,75,5,12,3
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,397,308,197,234,65,58,74,29,63,90,3,9,5
スポーツ以外に関心のある事,インターネット閲覧,681,514,326,443,100,82,132,59,101,124,8,18,5
スポーツ以外に関心のある事,映画鑑賞,565,458,262,375,93,71,123,50,85,91,7,17,1
スポーツ以外に関心のある事,読書,429,355,209,289,68,51,103,38,62,76,3,7,3
スポーツ以外に関心のある事,アニメ／漫画,429,328,220,275,71,59,70,49,79,81,7,14,3
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,454,338,237,274,69,63,68,62,96,72,5,18,1
スポーツ以外に関心のある事,写真の撮影,244,190,132,165,50,40,56,31,56,57,6,10,0
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,283,222,170,184,61,51,59,50,77,52,5,4,1
スポーツ以外に関心のある事,美術鑑賞,238,196,130,160,39,34,54,24,39,53,4,4,0
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,254,202,130,164,43,34,51,24,45,53,3,6,3
スポーツ以外に関心のある事,演劇・舞踏鑑賞,135,113,73,93,27,30,34,13,30,35,3,4,0
スポーツ以外に関心のある事,カラオケ,245,192,133,157,38,29,49,26,53,46,3,10,2
スポーツ以外に関心のある事,楽器の演奏,121,86,62,74,22,16,32,12,21,23,2,3,1
スポーツ以外に関心のある事,料理・菓子作り,222,182,117,152,34,25,43,22,40,47,6,6,1
スポーツ以外に関心のある事,園芸・ガーデニング,145,115,84,109,34,31,52,16,27,29,2,1,1
スポーツ以外に関心のある事,日曜大工,63,45,37,45,16,13,20,4,16,12,1,1,0
スポーツ以外に関心のある事,編み物・手芸,79,61,45,50,20,16,25,7,18,19,1,3,0
スポーツ以外に関心のある事,和裁・洋裁,33,28,23,24,7,5,13,5,7,10,1,1,0
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,29,22,21,18,11,7,9,5,14,7,1,0,0
スポーツ以外に関心のある事,ギャンブル,62,51,28,42,7,9,10,3,7,12,0,1,1
スポーツ以外に関心のある事,その他,77,58,37,52,5,8,18,12,12,13,2,5,1
スポーツ以外に関心のある事,特にない,98,47,13,23,2,0,8,1,0,2,0,2,33
情報入手先,家族,1018,804,537,592,124,88,166,128,143,101,10,20,13
情報入手先,友人,611,482,351,380,80,68,105,73,145,86,10,17,5
情報入手先,学校や職場、施設の人,437,331,259,271,63,52,59,70,106,62,10,14,3
情報入手先,ボランティア,71,50,38,40,19,16,16,14,19,9,4,0,0
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,133,84,64,73,28,27,48,13,24,11,3,0,1
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,259,179,115,152,50,38,92,27,38,31,3,4,2
情報入手先,テレビ,978,769,459,616,116,83,179,79,131,112,9,22,9
情報入手先,ラジオ,220,170,104,142,36,33,50,15,22,30,3,2,3
情報入手先,新聞,311,245,148,208,35,26,71,18,40,32,1,4,1
情報入手先,雑誌,156,128,78,103,28,20,30,11,30,32,2,3,0
情報入手先,障害者団体の会合や機関誌,63,39,36,39,14,14,18,6,15,9,2,0,0
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,538,424,265,356,82,60,99,46,78,104,6,14,4
情報入手先,インターネットのニュースサイトやニュースアプリ,774,591,349,490,101,73,151,58,93,125,9,18,7
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,604,467,288,358,83,64,96,42,86,115,6,15,5
情報入手先,動画配信サービス（YouTubeなど）,527,422,274,338,85,72,91,61,107,102,7,21,3
情報入手先,行政の窓口,122,100,63,83,24,15,39,17,16,26,3,3,3
情報入手先,区市町村などの広報誌,195,172,96,140,34,23,56,20,27,39,5,5,0
情報入手先,その他,6,6,3,6,2,2,4,1,0,2,0,0,0
情報入手先,わからない,41,17,6,9,3,0,3,0,2,2,0,0,16
情報入手先,得ていない,62,42,14,16,2,2,4,1,5,4,0,1,15
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,449,338,251,255,77,62,65,56,92,70,9,4,1
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,332,210,180,171,69,50,59,49,79,48,6,6,1
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,582,410,305,327,92,87,87,71,124,91,7,17,2
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,211,142,100,109,34,35,26,28,48,23,4,6,1
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,1114,841,420,604,85,56,195,58,81,93,5,17,56
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1107,793,509,611,160,114,181,91,158,137,8,21,14
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,931,670,346,471,70,60,150,51,76,73,7,13,47
デフリンピックの認知度,よく内容を知っている,169,106,68,73,40,34,35,12,33,22,2,1,1
デフリンピックの認知度,見たり聞いたりしたことがある,596,419,261,324,76,56,103,50,88,60,9,9,8
デフリンピックの認知度,知らない,1326,978,561,712,124,92,202,92,133,135,6,26,52
デフリンピックに期待すること,競技観戦,321,263,186,193,59,44,58,36,64,38,4,5,2
デフリンピックに期待すること,記録の更新,169,134,90,110,37,21,33,15,31,24,2,0,0
デフリンピックに期待すること,日本人選手の活躍,585,441,303,360,88,53,115,55,91,79,6,9,1
デフリンピックに期待すること,外国人選手の活躍,160,119,103,112,39,20,35,16,36,34,1,3,0
デフリンピックに期待すること,国際交流の促進,245,193,146,169,54,30,55,33,49,46,3,3,0
デフリンピックに期待すること,大会記念グッズの展開,84,45,48,43,26,28,23,13,25,15,2,0,2
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,159,111,92,101,36,31,45,18,31,36,5,2,1
デフリンピックに期待すること,競技体験,92,75,66,63,26,17,26,18,24,11,3,1,1
デフリンピックに期待すること,大会への子供の参加,130,95,84,77,30,23,37,26,36,18,5,3,1
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,132,101,80,89,31,28,33,17,32,30,3,2,0
デフリンピックに期待すること,手話の普及と理解の促進,161,129,91,117,37,25,46,17,32,42,6,2,0
デフリンピックに期待すること,デフスポーツの普及と理解の促進,261,216,147,188,50,32,56,36,59,60,7,4,1
デフリンピックに期待すること,障害や障害者への理解の促進,456,365,243,308,68,36,104,54,63,77,8,13,2
デフリンピックに期待すること,その他,9,7,4,5,1,1,2,1,2,2,1,1,0
デフリンピックに期待すること,期待するものはない,851,618,300,430,56,57,117,40,71,71,3,16,51
