調査項目,回答,全体(人),週3日以上（年151日以上）(人),週2日程度（年101日～150日）(人),週1日程度（年51日～100日）(人),月に1～3日程度（年12日～50日）(人),3か月に1～2日程度（年4日～11日）(人),年に1～3日程度(人),わからない(人)
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,その他,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,特にない,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,わからない,0,0,0,0,0,0,0,0
スポーツ以外に関心のある事,旅行,954,301,207,206,126,42,27,45
スポーツ以外に関心のある事,グルメ・食べ歩き,904,283,190,214,121,35,18,43
スポーツ以外に関心のある事,買い物・ショッピング,623,189,135,137,96,27,13,26
スポーツ以外に関心のある事,テレビ視聴,733,242,183,145,99,28,13,23
スポーツ以外に関心のある事,動画配信サービス視聴,674,202,149,146,111,27,18,21
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,362,113,81,85,42,18,11,12
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,397,130,78,85,55,17,13,19
スポーツ以外に関心のある事,インターネット閲覧,681,217,149,139,95,33,16,32
スポーツ以外に関心のある事,映画鑑賞,565,198,121,108,80,26,13,19
スポーツ以外に関心のある事,読書,429,147,102,86,53,16,11,14
スポーツ以外に関心のある事,アニメ／漫画,429,138,90,98,65,11,6,21
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,454,148,99,100,70,14,6,17
スポーツ以外に関心のある事,写真の撮影,244,73,65,42,33,12,8,11
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,283,81,57,68,48,14,6,9
スポーツ以外に関心のある事,美術鑑賞,238,81,44,49,41,12,7,4
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,254,82,48,61,39,13,4,7
スポーツ以外に関心のある事,演劇・舞踏鑑賞,135,43,29,29,22,7,2,3
スポーツ以外に関心のある事,カラオケ,245,66,54,63,39,9,6,8
スポーツ以外に関心のある事,楽器の演奏,121,38,26,21,23,6,2,5
スポーツ以外に関心のある事,料理・菓子作り,222,72,53,39,36,10,3,9
スポーツ以外に関心のある事,園芸・ガーデニング,145,46,35,26,26,7,2,3
スポーツ以外に関心のある事,日曜大工,63,25,15,4,8,5,4,2
スポーツ以外に関心のある事,編み物・手芸,79,28,16,15,12,4,2,2
スポーツ以外に関心のある事,和裁・洋裁,33,12,5,5,9,0,1,1
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,29,13,6,5,2,2,1,0
スポーツ以外に関心のある事,ギャンブル,62,23,10,14,7,5,1,2
スポーツ以外に関心のある事,その他,77,27,10,21,13,3,1,2
スポーツ以外に関心のある事,特にない,98,17,5,18,8,2,2,46
情報入手先,家族,1018,296,227,244,140,28,26,57
情報入手先,友人,611,183,153,144,73,23,15,20
情報入手先,学校や職場、施設の人,437,121,111,101,59,13,12,20
情報入手先,ボランティア,71,12,25,20,9,2,1,2
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,133,30,32,49,12,5,3,2
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,259,66,62,80,29,8,3,11
情報入手先,テレビ,978,310,206,222,140,39,22,39
情報入手先,ラジオ,220,69,58,48,29,5,3,8
情報入手先,新聞,311,100,73,74,39,5,5,15
情報入手先,雑誌,156,55,34,39,19,5,2,2
情報入手先,障害者団体の会合や機関誌,63,19,19,14,5,3,3,0
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,538,171,119,114,85,22,12,15
情報入手先,インターネットのニュースサイトやニュースアプリ,774,258,172,148,114,31,21,30
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,604,181,130,139,91,25,15,23
情報入手先,動画配信サービス（YouTubeなど）,527,156,134,114,79,18,9,17
情報入手先,行政の窓口,122,35,23,34,14,5,4,7
情報入手先,区市町村などの広報誌,195,66,43,46,26,6,2,6
情報入手先,その他,6,2,0,3,0,0,0,1
情報入手先,わからない,41,6,2,8,4,1,1,19
情報入手先,得ていない,62,15,2,14,7,1,2,21
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,449,131,117,106,55,14,11,15
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,332,85,98,82,43,9,5,10
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,582,164,137,138,88,21,16,18
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,211,53,42,57,32,6,6,15
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,1114,351,197,256,143,36,26,105
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1107,282,258,282,163,44,26,52
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,931,303,155,215,111,31,25,91
デフリンピックの認知度,よく内容を知っている,169,55,50,44,13,3,1,3
デフリンピックの認知度,見たり聞いたりしたことがある,596,146,135,161,86,21,19,28
デフリンピックの認知度,知らない,1326,403,244,301,181,51,32,114
デフリンピックに期待すること,競技観戦,321,111,80,66,40,11,7,6
デフリンピックに期待すること,記録の更新,169,56,43,39,15,8,5,3
デフリンピックに期待すること,日本人選手の活躍,585,166,129,151,88,24,11,16
デフリンピックに期待すること,外国人選手の活躍,160,49,33,33,29,8,5,3
デフリンピックに期待すること,国際交流の促進,245,71,69,57,30,11,1,6
デフリンピックに期待すること,大会記念グッズの展開,84,27,24,17,8,2,3,3
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,159,43,37,34,26,10,3,6
デフリンピックに期待すること,競技体験,92,24,25,24,15,1,2,1
デフリンピックに期待すること,大会への子供の参加,130,35,37,27,17,6,3,5
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,132,38,34,30,21,2,4,3
デフリンピックに期待すること,手話の普及と理解の促進,161,41,41,38,23,7,6,5
デフリンピックに期待すること,デフスポーツの普及と理解の促進,261,75,69,52,42,13,5,5
デフリンピックに期待すること,障害や障害者への理解の促進,456,133,99,101,74,22,11,16
デフリンピックに期待すること,その他,9,1,2,1,4,0,0,1
デフリンピックに期待すること,期待するものはない,851,273,138,190,113,22,21,94
