調査項目,回答,全体(人),医師に止められており、身体的にできない(人),どのくらい体を動かしたらよいかわからない(人),身近なところにスポーツや運動ができる場所がない(人),スポーツや運動ができる場所への移動手段がない(人),自分に合ったスポーツや運動の情報がない(人),一緒にできる仲間がいない(人),介助者がいない(人),金銭的な余裕がない(人),時間がない(人),必要な競技用具や補助具がない(人),その他(人),活動したいと思わない(人)
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,その他,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,特にない,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,その他,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,特にない,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,4,1,6,1,4,3,4,3,3,2,3,10
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,2,6,8,5,6,7,2,4,5,1,1,13
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,11,11,19,13,17,17,21,18,8,11,12,26
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,5,6,8,5,10,8,11,7,3,9,3,11
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,13,11,17,10,26,17,29,14,9,10,15,38
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,2,2,2,2,5,3,15,3,1,6,3,11
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,6,6,2,2,9,7,8,3,0,2,5,9
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,2,1,4,2,4,2,2,2,1,1,1,4
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,0,1,1,1,0,0,0,0,0,0,0,4
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,16,10,6,8,15,9,11,14,5,9,14,22
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,1,0,1,2,2,1,1,1,3,0,1,3
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,2,4,2,1,2,3,1,3,3,3,0,5
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,4,10,11,5,12,13,6,18,6,6,9,9
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,2,1,0,0,2,2,3,2,1,1,2,2
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,6,8,5,7,11,11,11,10,8,5,5,23
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,3,4,7,0,6,13,2,4,8,3,3,23
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,6,8,7,3,8,15,11,8,2,3,5,34
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,1,2,0,1,1,1,0,1,0,0,1,8
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,14,12,11,9,21,14,17,14,11,8,10,33
スポーツを始めるきっかけとして必要な支援,その他,23,2,2,0,0,0,1,0,2,1,0,10,8
スポーツを始めるきっかけとして必要な支援,特にない,385,42,16,5,1,12,14,14,23,28,7,22,272
スポーツを始めるきっかけとして必要な支援,わからない,354,34,15,12,9,14,22,17,39,25,5,15,246
スポーツ以外に関心のある事,旅行,271,32,19,17,7,31,30,19,27,33,9,26,132
スポーツ以外に関心のある事,グルメ・食べ歩き,278,32,24,29,17,34,25,29,36,39,14,24,136
スポーツ以外に関心のある事,買い物・ショッピング,217,30,20,15,7,22,19,16,32,30,7,19,108
スポーツ以外に関心のある事,テレビ視聴,400,59,35,20,14,38,39,41,45,28,20,45,213
スポーツ以外に関心のある事,動画配信サービス視聴,238,26,21,26,11,27,26,22,29,26,8,16,135
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,119,15,11,13,8,10,13,9,23,15,2,14,60
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,131,17,12,16,7,16,16,7,22,17,0,8,72
スポーツ以外に関心のある事,インターネット閲覧,276,33,29,26,17,36,36,25,47,34,10,17,141
スポーツ以外に関心のある事,映画鑑賞,200,26,18,17,13,23,15,19,37,22,8,20,94
スポーツ以外に関心のある事,読書,134,22,12,10,8,11,10,9,22,15,2,22,63
スポーツ以外に関心のある事,アニメ／漫画,163,12,10,13,7,18,20,8,28,20,3,11,95
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,161,15,14,15,5,22,25,13,26,15,4,8,91
スポーツ以外に関心のある事,写真の撮影,45,10,5,7,1,4,8,7,8,5,0,4,20
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,64,5,3,6,5,14,6,13,12,8,2,8,29
スポーツ以外に関心のある事,美術鑑賞,55,6,5,2,1,6,6,8,7,3,3,14,25
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,96,12,4,2,0,9,11,9,20,13,1,12,47
スポーツ以外に関心のある事,演劇・舞踏鑑賞,43,5,2,1,1,3,4,5,7,4,3,5,21
スポーツ以外に関心のある事,カラオケ,85,11,11,11,7,18,16,12,22,9,8,7,38
スポーツ以外に関心のある事,楽器の演奏,40,3,2,4,2,2,4,3,9,10,0,6,18
スポーツ以外に関心のある事,料理・菓子作り,62,9,7,4,3,6,8,7,8,4,1,10,32
スポーツ以外に関心のある事,園芸・ガーデニング,44,6,4,2,2,4,5,7,7,1,5,6,23
スポーツ以外に関心のある事,日曜大工,12,3,0,1,0,3,2,1,2,0,2,4,1
スポーツ以外に関心のある事,編み物・手芸,44,7,5,3,0,2,6,5,5,3,3,5,23
スポーツ以外に関心のある事,和裁・洋裁,13,1,1,2,1,0,3,2,3,2,1,2,7
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,4,1,1,0,0,0,0,0,0,0,0,1,1
スポーツ以外に関心のある事,ギャンブル,41,6,7,2,0,4,3,3,6,0,3,2,25
スポーツ以外に関心のある事,その他,57,6,2,1,0,5,3,7,6,6,2,7,36
スポーツ以外に関心のある事,特にない,224,18,6,5,4,7,6,13,13,8,6,18,165
情報入手先,家族,428,53,38,27,15,44,45,48,39,37,17,31,225
情報入手先,友人,180,17,16,14,5,16,24,13,21,28,9,11,92
情報入手先,学校や職場、施設の人,127,9,8,13,9,21,19,15,15,24,8,12,55
情報入手先,ボランティア,5,1,0,0,1,1,0,2,2,1,0,0,1
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,73,10,8,2,4,7,6,17,6,4,5,10,35
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,108,23,15,10,10,16,12,20,16,5,9,19,47
情報入手先,テレビ,573,70,36,30,23,53,56,51,66,37,24,50,327
情報入手先,ラジオ,94,11,5,4,1,6,11,11,14,8,7,11,55
情報入手先,新聞,155,18,12,4,2,14,18,16,13,11,5,18,87
情報入手先,雑誌,43,7,2,0,1,4,2,6,9,5,2,5,22
情報入手先,障害者団体の会合や機関誌,17,2,2,1,0,1,5,3,2,0,0,1,7
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,205,22,20,19,9,27,19,17,33,28,8,17,109
情報入手先,インターネットのニュースサイトやニュースアプリ,355,38,28,28,17,44,39,26,53,39,12,28,197
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,204,24,18,20,11,21,20,10,34,28,3,9,120
情報入手先,動画配信サービス（YouTubeなど）,191,23,21,19,10,21,24,15,33,24,7,14,104
情報入手先,行政の窓口,42,6,4,4,3,6,4,3,8,5,2,6,19
情報入手先,区市町村などの広報誌,77,8,9,10,6,15,9,6,17,9,3,6,38
情報入手先,その他,10,1,0,1,2,1,1,2,3,1,0,2,4
情報入手先,わからない,43,2,0,1,0,4,2,1,3,3,1,3,31
情報入手先,得ていない,119,8,1,2,1,1,3,3,5,5,4,10,93
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,66,5,5,4,2,5,12,2,10,8,1,6,34
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,58,6,3,4,1,6,9,8,6,7,1,5,27
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,176,14,9,16,2,24,25,15,28,24,4,11,94
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,46,8,1,3,1,5,7,1,5,6,1,1,20
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,890,101,59,42,35,59,60,74,86,62,35,70,548
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,324,35,30,37,23,50,53,44,51,45,21,26,124
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,802,92,44,24,17,39,43,49,64,43,21,61,537
デフリンピックの認知度,よく内容を知っている,18,3,2,0,0,0,2,2,2,3,0,0,11
デフリンピックの認知度,見たり聞いたりしたことがある,196,28,13,11,7,21,22,21,21,20,11,18,95
デフリンピックの認知度,知らない,921,96,59,50,33,68,72,70,94,67,31,69,560
デフリンピックに期待すること,競技観戦,72,13,11,11,6,18,13,13,11,8,5,3,15
デフリンピックに期待すること,記録の更新,26,1,4,4,3,3,1,2,4,3,3,2,10
デフリンピックに期待すること,日本人選手の活躍,139,18,17,17,8,17,22,17,17,16,10,17,48
デフリンピックに期待すること,外国人選手の活躍,23,2,4,2,3,6,6,2,6,4,2,2,6
デフリンピックに期待すること,国際交流の促進,46,7,4,6,3,8,12,4,8,9,3,4,20
デフリンピックに期待すること,大会記念グッズの展開,7,0,2,1,2,1,2,1,3,0,2,0,2
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,31,2,4,4,5,4,7,4,7,3,3,2,17
デフリンピックに期待すること,競技体験,12,1,2,3,1,3,3,3,4,2,3,1,4
デフリンピックに期待すること,大会への子供の参加,30,5,2,4,2,4,8,3,7,3,2,4,10
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,23,4,4,3,3,7,3,4,4,2,3,3,7
デフリンピックに期待すること,手話の普及と理解の促進,26,2,1,3,1,6,4,2,5,4,2,1,14
デフリンピックに期待すること,デフスポーツの普及と理解の促進,62,9,6,6,4,9,9,7,9,11,7,10,21
デフリンピックに期待すること,障害や障害者への理解の促進,137,22,11,12,10,22,19,18,22,24,9,16,57
デフリンピックに期待すること,その他,4,0,0,0,0,1,1,0,0,2,1,0,1
デフリンピックに期待すること,期待するものはない,835,85,47,33,22,44,56,54,79,51,24,57,556
