調査項目,回答,全体(人),指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）をやったことがある(人),指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）をやったことがない(人),「やったことがない」のうち、やりたい(人),「やったことがない」のうち、やりたいと思わない(人)
スポーツ以外に関心のある事,その他,134,45,89,13,76
スポーツ以外に関心のある事,特にない,322,5,317,24,293
情報入手先,家族,1446,393,1053,278,775
情報入手先,友人,791,275,516,160,356
情報入手先,学校や職場、施設の人,564,217,347,121,226
情報入手先,ボランティア,76,31,45,24,21
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,54,152,53,99
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,89,278,68,210
情報入手先,テレビ,1551,385,1166,265,901
情報入手先,ラジオ,314,68,246,63,183
情報入手先,新聞,466,77,389,79,310
情報入手先,雑誌,199,61,138,41,97
情報入手先,障害者団体の会合や機関誌,80,30,50,16,34
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,278,465,127,338
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,369,760,186,574
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,314,494,158,336
情報入手先,動画配信サービス（YouTubeなど）,718,324,394,123,271
情報入手先,行政の窓口,164,49,115,32,83
情報入手先,区市町村などの広報誌,272,65,207,55,152
情報入手先,その他,16,3,13,4,9
情報入手先,わからない,84,1,83,11,72
情報入手先,得ていない,181,5,176,17,159
デフリンピックの認知度,よく内容を知っている,187,71,116,73,43
デフリンピックの認知度,見たり聞いたりしたことがある,792,201,591,203,388
デフリンピックの認知度,知らない,2247,486,1761,311,1450
デフリンピックに期待すること,競技観戦,393,111,282,137,145
デフリンピックに期待すること,記録の更新,195,63,132,71,61
デフリンピックに期待すること,日本人選手の活躍,724,224,500,193,307
デフリンピックに期待すること,外国人選手の活躍,183,68,115,47,68
デフリンピックに期待すること,国際交流の促進,291,99,192,87,105
デフリンピックに期待すること,大会記念グッズの展開,91,41,50,34,16
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,66,124,49,75
デフリンピックに期待すること,競技体験,104,45,59,31,28
デフリンピックに期待すること,大会への子供の参加,160,80,80,34,46
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,72,83,42,41
デフリンピックに期待すること,手話の普及と理解の促進,187,75,112,46,66
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,119,204,79,125
デフリンピックに期待すること,障害や障害者への理解の促進,593,206,387,125,262
デフリンピックに期待すること,その他,13,4,9,2,7
デフリンピックに期待すること,期待するものはない,1686,284,1402,174,1228
