調査項目,回答,全体(人),スポーツや運動を行っており、満足している(人),スポーツや運動を行っているが、もっと行いたい(人),スポーツや運動を行いたいと思うができない(人),スポーツや運動に関心はない(人)
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,235,191,190,192
情報入手先,動画配信サービス（YouTubeなど）,718,211,157,177,173
情報入手先,行政の窓口,164,40,38,49,37
情報入手先,区市町村などの広報誌,272,64,73,74,61
情報入手先,その他,16,2,2,5,7
情報入手先,わからない,84,10,8,18,48
情報入手先,得ていない,181,17,13,25,126
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,515,218,127,102,68
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,390,137,126,68,59
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,758,252,174,162,170
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,257,84,65,55,53
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,2004,431,291,474,808
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,460,361,358,252
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,361,221,367,784
デフリンピックの認知度,よく内容を知っている,187,108,46,19,14
デフリンピックの認知度,見たり聞いたりしたことがある,792,232,194,193,173
デフリンピックの認知度,知らない,2247,509,360,520,858
デフリンピックに期待すること,競技観戦,393,167,103,92,31
デフリンピックに期待すること,記録の更新,195,76,64,38,17
デフリンピックに期待すること,日本人選手の活躍,724,253,204,163,104
デフリンピックに期待すること,外国人選手の活躍,183,70,59,38,16
デフリンピックに期待すること,国際交流の促進,291,112,81,67,31
デフリンピックに期待すること,大会記念グッズの展開,91,43,29,14,5
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,67,49,45,29
デフリンピックに期待すること,競技体験,104,41,31,26,6
デフリンピックに期待すること,大会への子供の参加,160,66,31,39,24
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,55,48,31,21
デフリンピックに期待すること,手話の普及と理解の促進,187,68,49,51,19
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,111,83,93,36
デフリンピックに期待すること,障害や障害者への理解の促進,593,162,155,178,98
デフリンピックに期待すること,その他,13,4,2,4,3
デフリンピックに期待すること,期待するものはない,1686,325,195,355,811
