調査項目,回答,全体(人),自宅(人),道路や遊歩道(人),広場や公園(人),民間のスポーツ施設(人),公共のスポーツ施設（障害者専用施設）(人),公共のスポーツ施設（障害者専用施設以外）(人),小中高校の体育施設(人),特別支援学校の体育施設(人),職場のスポーツ施設(人),福祉施設(人),児童通所サービス（放課後等デイサービス等）(人),医療機関（病院やリハビリ施設）(人),山・川・海・空(人),その他(人),わからない(人)
参加したいスポーツ活動,自分のペースに合わせてできる,1218,511,693,427,198,73,160,80,39,7,37,53,49,121,32,6
参加したいスポーツ活動,汗をかかない,110,57,64,35,17,12,8,8,5,4,6,3,6,4,0,1
参加したいスポーツ活動,自宅で実施できる,424,309,267,145,41,22,42,13,13,12,17,10,30,33,4,1
参加したいスポーツ活動,短い時間で実施できる,539,272,329,212,69,35,53,25,16,9,16,17,28,47,16,5
参加したいスポーツ活動,上達したことが分かる,310,140,131,113,78,35,58,45,22,11,15,31,10,51,9,2
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,167,85,81,57,32,26,27,20,15,11,8,14,5,14,5,2
参加したいスポーツ活動,好きな種目を選べる,388,171,201,153,90,36,82,44,20,11,14,21,17,70,12,1
参加したいスポーツ活動,やったことがないスポーツを試せる,122,54,56,53,37,19,35,20,19,6,11,11,3,20,2,0
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,287,123,153,106,57,25,59,29,21,6,11,22,7,40,9,0
参加したいスポーツ活動,有名な選手に会える,72,35,33,33,22,14,22,13,9,3,5,5,1,12,1,1
参加したいスポーツ活動,親子で一緒に参加ができる,122,48,53,58,29,21,20,18,23,5,10,29,8,32,3,0
参加したいスポーツ活動,新しい友達をつくることができる,221,87,117,87,60,22,56,38,15,7,20,23,7,41,4,1
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,107,50,64,53,21,9,26,8,8,8,9,8,5,20,5,0
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,282,133,145,112,51,19,61,38,16,5,14,30,10,52,11,1
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,252,118,164,92,30,10,36,11,13,4,12,19,17,37,10,1
参加したいスポーツ活動,その他,33,13,14,9,10,2,4,1,3,0,2,1,1,4,3,3
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,274,100,155,52,14,1,8,3,3,0,1,1,3,10,4,30
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,181,177,129,87,38,56,27,19,11,14,13,11,31,5,1
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,189,222,139,65,36,49,22,21,10,19,16,27,35,9,1
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,153,173,129,71,35,54,27,23,7,22,26,30,36,10,3
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,107,126,97,64,50,46,23,34,11,21,29,14,31,6,1
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,211,235,187,81,47,81,44,43,9,19,45,27,57,14,1
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,55,51,45,26,25,21,15,17,7,12,11,3,16,4,0
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,102,128,93,44,34,48,18,19,10,11,22,14,30,8,0
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,63,79,55,26,20,24,8,17,6,9,16,12,23,3,0
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,39,52,40,27,23,19,13,14,9,9,11,8,14,4,0
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,138,171,109,37,21,42,16,16,8,15,14,25,35,7,0
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,51,66,56,38,13,40,25,10,7,6,5,6,29,3,1
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,78,89,74,38,21,34,20,10,6,11,15,7,38,8,2
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,143,166,115,58,27,75,22,19,8,13,28,25,49,12,1
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,56,41,31,16,6,20,4,8,4,6,7,5,14,2,1
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,154,162,83,33,15,33,9,16,7,10,15,23,34,11,1
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,147,165,126,68,21,79,48,20,7,12,27,10,64,7,2
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,125,150,118,53,26,52,33,26,6,21,30,14,48,7,1
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,71,78,65,32,14,34,22,16,4,9,19,9,34,5,0
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,158,180,128,73,18,78,47,22,2,15,40,23,58,14,2
スポーツ・運動の継続実施に必要なもの,その他,44,21,27,9,9,3,3,2,3,1,1,2,1,5,2,0
スポーツ・運動の継続実施に必要なもの,特にない,362,120,230,102,35,3,28,9,5,2,4,4,4,25,7,12
スポーツ・運動の継続実施に必要なもの,わからない,247,93,131,49,23,1,10,9,2,0,3,5,4,8,4,25
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,136,114,86,42,26,27,15,11,8,8,4,6,14,2,1
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,122,129,79,35,19,29,10,10,8,11,4,13,12,5,0
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,136,165,109,47,21,43,23,18,7,16,21,27,22,11,0
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,59,74,62,35,31,27,11,16,7,10,18,2,12,1,1
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,128,179,135,58,36,46,37,30,5,17,40,14,36,6,3
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,27,24,19,14,14,9,6,7,0,4,3,1,6,0,0
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,55,63,43,18,19,23,7,10,6,5,10,9,13,0,0
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,29,30,32,14,13,9,7,4,6,2,5,4,13,1,1
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,21,17,18,12,10,5,4,7,3,3,5,1,4,1,1
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,86,110,68,30,10,31,9,8,4,7,5,11,18,6,2
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,25,44,29,20,9,15,13,3,2,4,0,2,17,2,0
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,42,56,45,21,8,23,7,7,5,1,3,4,18,0,0
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,100,152,85,38,15,36,12,12,4,10,17,10,28,8,0
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,32,22,11,7,6,9,2,5,4,3,2,1,4,1,1
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,89,89,42,13,9,13,2,5,5,6,5,10,13,4,1
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,74,111,71,43,14,36,25,7,4,9,10,3,31,2,1
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,62,80,63,29,13,16,19,16,3,6,12,4,26,4,0
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,12,23,19,12,1,4,3,4,2,2,2,1,6,1,1
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,132,151,111,62,20,70,44,20,2,11,36,20,49,9,1
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,11,10,11,6,1,3,0,3,0,0,3,1,1,2,0
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,144,245,107,39,3,32,13,4,3,4,3,6,27,10,10
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,89,126,48,24,1,15,9,3,0,5,5,6,10,6,29
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,会場までの送迎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,特にない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ以外に関心のある事,旅行,954,427,549,335,173,53,130,59,26,14,31,34,29,119,24,9
スポーツ以外に関心のある事,グルメ・食べ歩き,904,420,517,341,154,45,125,56,36,14,27,35,36,96,23,7
スポーツ以外に関心のある事,買い物・ショッピング,623,312,370,219,103,29,84,38,24,9,19,17,23,64,17,6
スポーツ以外に関心のある事,テレビ視聴,733,327,436,254,104,40,90,59,25,11,26,38,32,77,20,5
スポーツ以外に関心のある事,動画配信サービス視聴,674,284,371,247,114,47,90,70,44,13,16,48,25,85,16,6
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,362,165,216,132,62,30,55,30,22,6,15,7,16,48,8,3
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,397,189,226,133,69,19,51,28,14,8,13,3,13,45,17,3
スポーツ以外に関心のある事,インターネット閲覧,681,316,394,222,127,46,90,48,21,6,17,24,20,76,18,5
スポーツ以外に関心のある事,映画鑑賞,565,263,333,203,97,32,72,36,16,11,16,11,24,69,17,5
スポーツ以外に関心のある事,読書,429,206,276,169,76,28,54,26,11,9,14,9,27,57,14,4
スポーツ以外に関心のある事,アニメ／漫画,429,199,225,151,78,28,76,53,21,11,12,20,14,60,7,3
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,454,197,222,159,94,35,73,67,41,14,18,37,15,61,10,4
スポーツ以外に関心のある事,写真の撮影,244,112,147,101,50,16,37,25,14,6,9,16,11,55,11,2
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,283,131,140,121,72,24,64,45,26,11,11,32,13,54,8,1
スポーツ以外に関心のある事,美術鑑賞,238,127,161,95,40,15,38,13,7,8,7,4,15,34,7,1
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,254,124,153,96,51,16,50,14,8,9,11,4,14,35,4,3
スポーツ以外に関心のある事,演劇・舞踏鑑賞,135,82,85,46,30,15,29,7,8,8,6,2,12,16,4,1
スポーツ以外に関心のある事,カラオケ,245,113,132,84,49,17,43,23,11,9,13,13,10,36,5,4
スポーツ以外に関心のある事,楽器の演奏,121,57,67,41,21,10,21,12,7,6,5,7,4,21,3,0
スポーツ以外に関心のある事,料理・菓子作り,222,118,119,80,43,16,35,21,9,8,7,14,9,33,6,2
スポーツ以外に関心のある事,園芸・ガーデニング,145,72,102,59,23,9,22,5,6,4,9,5,8,19,4,0
スポーツ以外に関心のある事,日曜大工,63,34,38,26,13,6,13,4,3,3,0,1,3,14,2,0
スポーツ以外に関心のある事,編み物・手芸,79,50,46,28,14,5,14,7,2,1,6,3,3,10,1,0
スポーツ以外に関心のある事,和裁・洋裁,33,25,21,12,6,2,5,1,1,1,0,2,2,3,2,0
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,29,12,16,11,13,7,6,8,2,1,3,3,2,6,0,0
スポーツ以外に関心のある事,ギャンブル,62,24,39,18,9,2,8,0,0,1,0,0,1,7,3,1
スポーツ以外に関心のある事,その他,77,35,48,28,10,1,8,4,2,0,6,5,7,19,5,1
スポーツ以外に関心のある事,特にない,98,24,46,12,3,0,3,1,1,0,2,0,2,1,1,26
情報入手先,家族,1018,462,552,361,159,60,132,86,54,13,37,54,39,110,19,10
情報入手先,友人,611,287,327,220,136,46,102,71,24,12,24,24,22,92,12,3
情報入手先,学校や職場、施設の人,437,179,212,163,103,42,75,71,48,12,25,49,17,73,6,3
情報入手先,ボランティア,71,37,27,32,23,16,18,6,9,7,8,6,3,10,1,0
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,133,54,55,37,30,30,17,8,17,8,17,9,11,7,4,2
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,259,128,145,90,44,33,41,16,16,6,20,12,18,20,4,1
情報入手先,テレビ,978,411,599,321,141,44,115,65,23,14,25,38,42,94,28,5
情報入手先,ラジオ,220,94,138,90,35,18,23,15,9,7,11,3,9,20,4,1
情報入手先,新聞,311,142,205,109,34,17,41,8,9,7,16,4,20,28,10,2
情報入手先,雑誌,156,74,98,61,35,17,29,10,5,6,5,3,8,23,3,0
情報入手先,障害者団体の会合や機関誌,63,22,28,17,12,17,11,5,7,7,3,6,4,7,1,0
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,538,245,343,195,88,23,68,29,16,11,15,18,14,71,17,2
情報入手先,インターネットのニュースサイトやニュースアプリ,774,327,483,244,124,36,95,39,17,12,17,11,26,83,26,3
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,604,259,338,193,114,26,77,46,15,15,17,6,16,67,19,5
情報入手先,動画配信サービス（YouTubeなど）,527,232,298,194,97,28,79,58,26,7,13,34,16,76,17,2
情報入手先,行政の窓口,122,69,78,46,16,9,18,3,5,2,6,6,15,16,4,2
情報入手先,区市町村などの広報誌,195,104,141,81,28,11,29,6,4,3,8,3,15,28,5,0
情報入手先,その他,6,3,2,2,1,0,1,0,1,0,0,1,1,0,1,0
情報入手先,わからない,41,11,15,5,1,0,4,0,1,0,0,2,1,1,0,12
情報入手先,得ていない,62,18,25,14,3,0,6,0,3,0,1,5,1,3,1,13
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,449,242,195,166,105,52,67,47,31,17,19,26,11,56,3,2
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,332,152,148,135,77,49,61,42,30,19,15,26,12,43,2,1
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,582,226,282,206,130,48,109,75,39,15,23,40,18,73,12,2
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,211,82,84,67,50,23,28,29,20,5,10,9,9,21,3,0
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,1114,420,647,295,116,27,98,29,27,7,32,34,40,65,30,42
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1107,463,535,378,196,103,159,88,55,28,35,58,33,102,19,7
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,931,340,527,231,102,21,73,31,25,5,25,26,32,59,24,40
デフリンピックの認知度,よく内容を知っている,169,81,66,62,51,46,32,16,21,17,12,8,3,17,1,0
デフリンピックの認知度,見たり聞いたりしたことがある,596,258,301,198,96,51,79,33,24,15,14,20,18,50,11,5
デフリンピックの認知度,知らない,1326,490,716,373,167,33,130,79,40,3,38,59,47,104,32,42
デフリンピックに期待すること,競技観戦,321,158,175,130,67,39,47,35,18,12,13,14,12,38,4,2
デフリンピックに期待すること,記録の更新,169,84,86,64,33,23,19,10,12,8,10,6,7,18,0,0
デフリンピックに期待すること,日本人選手の活躍,585,244,320,224,111,47,86,44,25,13,19,19,20,57,10,1
デフリンピックに期待すること,外国人選手の活躍,160,85,98,72,24,20,25,18,8,8,6,8,6,22,2,0
デフリンピックに期待すること,国際交流の促進,245,122,144,99,47,30,48,25,8,5,10,12,13,37,3,0
デフリンピックに期待すること,大会記念グッズの展開,84,40,34,34,20,19,18,11,10,14,11,7,5,10,0,0
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,159,74,78,65,35,22,34,19,10,11,8,8,8,17,0,1
デフリンピックに期待すること,競技体験,92,46,49,48,17,15,20,8,11,8,9,9,4,16,0,0
デフリンピックに期待すること,大会への子供の参加,130,59,64,54,33,22,25,22,15,8,8,13,5,26,4,0
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,132,65,67,59,31,17,30,12,12,10,10,7,5,21,2,0
デフリンピックに期待すること,手話の普及と理解の促進,161,77,93,77,24,14,38,16,10,7,7,7,6,28,5,1
デフリンピックに期待すること,デフスポーツの普及と理解の促進,261,129,153,110,57,24,43,21,16,8,10,15,13,35,5,0
デフリンピックに期待すること,障害や障害者への理解の促進,456,207,280,185,67,25,65,31,26,6,19,27,26,58,10,0
デフリンピックに期待すること,その他,9,2,5,1,1,2,2,0,0,0,1,0,0,1,0,0
デフリンピックに期待すること,期待するものはない,851,318,465,213,96,19,73,31,17,3,19,27,22,54,20,42
