調査項目,回答,全体(人),実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）をやったことがある(人),実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）をやったことがない(人),「やったことがない」のうち、やりたい(人),「やったことがない」のうち、やりたいと思わない(人)
スポーツ以外に関心のある事,ギャンブル,103,14,89,27,62
スポーツ以外に関心のある事,その他,134,15,119,29,90
スポーツ以外に関心のある事,特にない,322,8,314,23,291
情報入手先,家族,1446,311,1135,393,742
情報入手先,友人,791,208,583,236,347
情報入手先,学校や職場、施設の人,564,160,404,167,237
情報入手先,ボランティア,76,35,41,24,17
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,34,172,63,109
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,57,310,94,216
情報入手先,テレビ,1551,225,1326,388,938
情報入手先,ラジオ,314,56,258,81,177
情報入手先,新聞,466,53,413,100,313
情報入手先,雑誌,199,50,149,56,93
情報入手先,障害者団体の会合や機関誌,80,22,58,27,31
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,151,592,198,394
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,189,940,300,640
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,195,613,237,376
情報入手先,動画配信サービス（YouTubeなど）,718,175,543,218,325
情報入手先,行政の窓口,164,32,132,46,86
情報入手先,区市町村などの広報誌,272,42,230,75,155
情報入手先,その他,16,1,15,5,10
情報入手先,わからない,84,2,82,11,71
情報入手先,得ていない,181,3,178,14,164
デフリンピックの認知度,よく内容を知っている,187,92,95,61,34
デフリンピックの認知度,見たり聞いたりしたことがある,792,149,643,252,391
デフリンピックの認知度,知らない,2247,274,1973,487,1486
デフリンピックに期待すること,競技観戦,393,131,262,152,110
デフリンピックに期待すること,記録の更新,195,59,136,74,62
デフリンピックに期待すること,日本人選手の活躍,724,163,561,280,281
デフリンピックに期待すること,外国人選手の活躍,183,55,128,73,55
デフリンピックに期待すること,国際交流の促進,291,87,204,103,101
デフリンピックに期待すること,大会記念グッズの展開,91,44,47,31,16
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,57,133,66,67
デフリンピックに期待すること,競技体験,104,43,61,32,29
デフリンピックに期待すること,大会への子供の参加,160,57,103,53,50
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,48,107,55,52
デフリンピックに期待すること,手話の普及と理解の促進,187,62,125,65,60
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,89,234,116,118
デフリンピックに期待すること,障害や障害者への理解の促進,593,120,473,206,267
デフリンピックに期待すること,その他,13,1,12,3,9
デフリンピックに期待すること,期待するものはない,1686,156,1530,241,1289
