調査項目,回答,全体(人),スタジアム、体育館などの建物や設備のバリアフリー化(人),交通機関（電車やバス）やまちのバリアフリー化(人),会場までの送迎(人),障害者への施設開放の促進（障害者が優先的に使える施設が増える）(人),障害にあわせた教室やプログラム(人),介助者や手話通訳などの支援(人),障害に対応した情報の提供や問合せ方法の充実(人),施設や用具等を利用する際に必要な手続きの支援(人),障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進(人),健康や体調を管理する医療的なサポート(人),目標となる大会やイベント(人),スポーツ用具等の貸出し(人),施設の利用料減免　（利用料が安くなったり、無料になったりする）(人),リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実(人),自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実(人),一緒に行う仲間（障害の無い人）(人),一緒に行う仲間（自分と同じ障害のある人）(人),一緒に行う仲間（自分と異なる障害のある人）(人),適切な指導者やコーチ、トレーナー(人),その他(人),特にない(人),わからない(人)
実施したきっかけ,義肢装具士に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,介護福祉士に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,スポーツ指導者に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,学校の先生に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,所属する団体（会社等）に奨められた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,障害のない有名選手・アスリートの影響,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,テレビや新聞の影響,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,インターネットや動画配信を見て,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,ＳＮＳの影響,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,漫画、ドラマ、映画等の影響,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,スポーツ団体等の関係者から誘われた,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,スポーツイベントや体験会等で興味を持った,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,行政の広報誌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施したきっかけ,特にきっかけはない・なんとなく,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,4,5
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,22,2,1,2,3,4,1,3,1,0,1,0,0,4,0,1,0,1,0,1,0,4,7
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,336,20,17,56,18,59,14,18,7,2,30,6,13,33,6,28,23,25,6,44,8,71,73
スポーツ・運動への取組意向,スポーツや運動に関心はない,762,9,14,37,14,48,14,17,5,3,34,3,4,9,3,26,25,38,5,41,15,306,269
実施していない理由,医師に止められており、身体的にできない,127,4,2,11,5,13,2,6,2,0,16,1,2,4,2,6,3,6,1,14,2,42,34
実施していない理由,どのくらい体を動かしたらよいかわからない,74,1,6,11,6,11,2,6,1,1,10,0,4,10,1,8,4,8,2,12,2,16,15
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,6,8,19,8,17,2,2,4,1,6,1,2,11,0,5,7,7,0,11,0,5,12
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,1,5,13,5,10,2,2,2,1,8,2,1,5,0,7,0,3,1,9,0,1,9
実施していない理由,自分に合ったスポーツや運動の情報がない,89,4,6,17,10,26,5,9,4,0,15,2,2,12,2,11,6,8,1,21,0,12,14
実施していない理由,一緒にできる仲間がいない,96,3,7,17,8,17,3,7,2,0,9,1,3,13,2,11,13,15,1,14,1,14,22
実施していない理由,介助者がいない,93,4,2,21,11,29,15,8,2,0,11,1,1,6,3,11,2,11,0,17,0,14,17
実施していない理由,金銭的な余裕がない,117,3,4,18,7,14,3,3,2,0,14,1,3,18,2,10,4,8,1,14,2,23,39
実施していない理由,時間がない,90,3,5,8,3,9,1,0,1,0,5,3,3,6,1,8,8,2,0,11,1,28,25
実施していない理由,必要な競技用具や補助具がない,42,2,1,11,9,10,6,2,1,0,9,0,3,6,1,5,3,3,0,8,0,7,5
実施していない理由,その他,87,3,1,12,3,15,3,5,1,0,14,1,0,9,2,5,3,5,1,10,10,22,15
実施していない理由,活動したいと思わない,666,10,13,26,11,38,11,9,4,4,22,3,5,9,2,23,23,34,8,33,8,272,246
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,2,3,5,3,9,1,3,0,0,7,0,1,2,0,10,7,5,2,10,5,70,48
活動したいと思わない理由,スポーツ・運動に興味がないから,151,3,3,4,5,13,4,6,0,1,8,0,1,1,1,9,11,14,2,14,2,64,39
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,0,0,3,3,8,2,3,0,0,5,0,2,1,0,4,4,6,0,4,2,10,9
活動したいと思わない理由,疲れるから,163,2,2,5,5,10,3,5,1,0,10,0,2,7,0,9,11,14,6,16,3,58,52
活動したいと思わない理由,人前に出るのが好きではないから,57,1,1,3,2,5,3,2,1,0,4,0,2,3,1,5,3,6,1,4,0,18,17
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,0,0,0,2,4,1,2,0,0,2,0,1,0,0,3,3,3,0,4,0,9,4
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,0,0,3,4,4,3,2,0,0,3,0,1,0,0,2,3,3,1,4,0,3,1
活動したいと思わない理由,スポーツ以外に趣味があるから,64,1,1,4,2,5,1,2,1,1,3,2,2,0,1,5,6,6,2,7,0,28,14
活動したいと思わない理由,忙しいから,34,0,1,0,0,1,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,18,12
活動したいと思わない理由,その他,56,0,1,3,1,4,4,0,1,0,2,1,0,3,0,3,1,1,0,3,2,32,10
活動したいと思わない理由,わからない,216,3,6,4,1,5,1,2,2,2,3,0,0,0,1,3,2,4,0,1,2,71,122
学校体育の参加状況,参加していて、体育が好きである,38,5,2,5,5,9,3,1,2,1,1,2,0,3,0,0,3,5,0,7,0,5,10
学校体育の参加状況,参加しているが、体育は好きではない,35,1,2,8,3,9,1,4,0,1,2,1,0,1,0,2,8,8,2,7,0,5,5
学校体育の参加状況,参加していない,20,1,1,3,0,5,1,0,2,0,1,0,0,0,2,1,1,2,0,2,0,5,5
学校体育の参加状況,わからない,20,1,0,1,1,2,0,3,2,0,0,0,0,0,0,0,1,1,2,0,0,4,10
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,4,0,1,2,0,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
学校体育に参加しない理由,自分にはできないと思ったから,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
学校体育に参加しない理由,その他,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,2,0,0,3
スポーツ・運動の参加方法,現地の会場で対面での参加,147,16,12,33,14,41,9,9,5,1,15,8,6,23,2,10,22,22,2,31,3,15,13
スポーツ・運動の参加方法,リモート参加,24,3,3,5,1,2,1,1,1,2,1,0,3,2,2,1,1,3,2,0,1,1,2
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,46,3,3,10,3,11,2,4,2,0,5,0,2,5,1,5,4,3,1,4,1,8,7
スポーツ・運動の参加方法,参加したいと思わない,918,9,14,47,17,58,17,24,5,2,44,1,6,16,4,41,22,37,8,52,18,361,332
参加したいスポーツ活動,ルールが簡単,155,15,14,33,17,32,7,11,5,2,13,5,4,18,1,10,16,21,0,24,2,17,31
参加したいスポーツ活動,自分のペースに合わせてできる,289,15,16,47,21,67,17,17,10,2,40,7,6,33,6,31,31,41,9,47,4,31,56
参加したいスポーツ活動,汗をかかない,41,1,2,5,3,6,1,3,0,2,3,1,2,1,0,5,5,7,3,6,1,4,12
参加したいスポーツ活動,自宅で実施できる,146,3,4,23,10,26,6,14,1,1,20,1,8,11,4,28,7,14,1,22,2,27,28
参加したいスポーツ活動,短い時間で実施できる,166,7,9,27,14,36,9,13,2,1,23,3,9,15,5,27,14,21,5,31,2,21,27
参加したいスポーツ活動,上達したことが分かる,52,1,1,7,6,9,5,3,1,0,8,3,1,8,2,7,6,9,1,10,2,6,9
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,36,1,0,3,1,9,3,6,1,0,4,2,1,3,1,6,5,7,0,8,1,7,4
参加したいスポーツ活動,好きな種目を選べる,80,5,3,18,9,20,6,6,2,1,10,2,3,9,2,8,11,12,2,10,3,10,13
参加したいスポーツ活動,やったことがないスポーツを試せる,16,1,0,4,2,4,2,1,1,0,4,0,0,4,0,1,4,5,1,6,1,0,1
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,68,4,2,16,7,19,6,5,0,2,14,2,2,12,2,14,5,9,2,16,1,7,5
参加したいスポーツ活動,有名な選手に会える,13,1,1,5,0,2,0,1,0,0,1,1,1,3,0,0,3,1,0,1,0,3,3
参加したいスポーツ活動,親子で一緒に参加ができる,27,3,0,5,3,7,3,3,2,1,2,2,1,3,0,3,2,7,0,5,0,2,4
参加したいスポーツ活動,新しい友達をつくることができる,42,3,2,10,5,9,4,5,1,0,7,1,1,9,1,5,7,11,2,6,0,2,6
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,23,2,1,10,5,7,4,2,1,1,6,1,0,5,0,5,2,0,0,4,0,0,1
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,83,2,2,14,9,21,6,8,3,0,11,3,2,14,1,12,11,12,1,20,1,8,13
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,74,1,3,14,6,14,4,3,2,0,13,1,2,15,1,11,7,7,2,19,2,7,13
参加したいスポーツ活動,その他,30,0,0,4,0,4,3,2,0,0,3,0,2,5,0,3,2,0,0,4,5,7,4
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,635,2,6,14,8,18,5,6,1,0,14,0,1,3,0,4,9,10,2,16,12,308,257
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,会場までの送迎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,特にない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ・運動の継続実施に必要なもの,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,特にない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ以外に関心のある事,旅行,271,12,15,24,9,37,10,9,2,1,21,4,8,16,3,13,16,24,5,29,6,87,60
スポーツ以外に関心のある事,グルメ・食べ歩き,278,11,17,31,12,41,9,12,0,3,17,1,4,11,4,17,21,20,5,33,8,78,67
スポーツ以外に関心のある事,買い物・ショッピング,217,12,11,17,8,29,4,6,1,1,13,2,5,10,4,12,9,12,2,18,4,76,58
スポーツ以外に関心のある事,テレビ視聴,400,15,11,42,12,53,13,18,4,0,30,4,7,16,4,30,23,37,6,43,9,115,114
スポーツ以外に関心のある事,動画配信サービス視聴,238,9,7,24,14,33,6,12,1,1,17,4,6,12,4,14,24,22,8,26,5,62,63
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,119,7,6,14,3,12,4,6,1,1,9,2,3,6,2,7,8,9,4,7,3,38,28
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,131,9,6,9,3,11,1,8,1,2,10,2,4,10,1,6,8,10,2,7,2,43,37
スポーツ以外に関心のある事,インターネット閲覧,276,11,13,25,11,38,7,16,3,3,20,5,10,18,4,25,18,26,5,28,8,80,66
スポーツ以外に関心のある事,映画鑑賞,200,8,8,17,9,29,4,7,4,1,21,3,9,15,1,13,12,13,3,15,4,67,46
スポーツ以外に関心のある事,読書,134,3,6,11,5,12,0,5,1,0,12,1,3,5,1,10,6,9,2,9,5,49,37
スポーツ以外に関心のある事,アニメ／漫画,163,8,7,7,4,12,3,6,2,1,9,3,2,10,0,10,12,13,2,12,5,55,47
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,161,5,6,16,7,20,4,12,2,2,13,1,4,10,1,10,13,16,1,15,4,40,44
スポーツ以外に関心のある事,写真の撮影,45,7,4,3,4,7,0,2,0,1,4,2,3,2,1,1,5,4,0,6,2,13,8
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,64,5,3,9,4,11,3,1,0,1,8,2,2,4,1,5,4,5,0,6,1,16,12
スポーツ以外に関心のある事,美術鑑賞,55,3,1,7,2,11,3,0,0,1,6,1,1,3,1,5,0,3,1,7,4,14,12
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,96,3,4,4,1,17,0,3,0,0,14,2,2,5,2,6,4,6,2,10,4,25,29
スポーツ以外に関心のある事,演劇・舞踏鑑賞,43,1,0,0,1,7,1,3,0,0,5,1,0,2,1,2,0,1,0,4,1,15,14
スポーツ以外に関心のある事,カラオケ,85,6,4,8,4,11,2,4,2,0,8,1,3,7,2,3,9,8,1,8,3,18,26
スポーツ以外に関心のある事,楽器の演奏,40,2,1,4,0,6,1,0,1,0,2,1,1,2,2,4,3,2,0,5,1,14,7
スポーツ以外に関心のある事,料理・菓子作り,62,3,1,4,3,9,1,4,1,0,4,1,0,5,0,4,2,5,1,6,2,23,13
スポーツ以外に関心のある事,園芸・ガーデニング,44,0,2,5,0,3,3,1,0,0,4,0,1,3,0,3,1,0,0,3,1,15,12
スポーツ以外に関心のある事,日曜大工,12,0,0,2,2,0,0,1,0,0,2,0,1,2,0,0,2,0,0,1,1,4,0
スポーツ以外に関心のある事,編み物・手芸,44,3,1,4,1,7,4,1,0,0,5,1,2,3,0,3,3,2,0,5,3,11,12
スポーツ以外に関心のある事,和裁・洋裁,13,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,6,3
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1
スポーツ以外に関心のある事,ギャンブル,41,2,2,3,4,3,0,0,0,0,4,0,0,1,0,3,2,4,1,2,2,14,13
スポーツ以外に関心のある事,その他,57,1,1,4,1,6,2,2,0,0,1,0,0,1,3,2,2,3,1,4,1,26,15
スポーツ以外に関心のある事,特にない,224,2,2,10,4,10,2,5,3,0,6,1,2,4,1,1,1,1,1,5,4,88,104
情報入手先,家族,428,20,18,49,17,61,18,21,7,3,35,7,7,20,5,24,32,36,8,50,6,126,106
情報入手先,友人,180,11,11,21,10,28,5,9,1,0,17,3,4,11,1,9,19,15,4,18,2,48,39
情報入手先,学校や職場、施設の人,127,4,3,19,13,28,9,10,2,0,14,4,2,8,1,3,17,11,3,22,2,23,29
情報入手先,ボランティア,5,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,73,5,4,14,5,16,7,6,2,2,11,1,0,3,0,8,2,5,1,8,4,16,14
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,108,6,2,13,7,27,8,6,1,1,21,2,2,10,4,13,5,9,1,14,1,23,23
情報入手先,テレビ,573,17,19,55,13,68,18,20,4,2,38,5,11,24,6,41,29,38,7,52,11,191,163
情報入手先,ラジオ,94,4,0,9,1,9,3,4,0,1,8,0,2,3,1,8,2,6,1,2,2,35,27
情報入手先,新聞,155,2,3,14,3,20,4,4,0,1,9,2,6,6,4,13,7,10,2,10,6,51,42
情報入手先,雑誌,43,2,1,6,2,8,0,3,0,2,6,1,1,2,1,5,4,5,1,3,0,12,8
情報入手先,障害者団体の会合や機関誌,17,2,1,1,0,6,0,2,1,1,4,0,1,0,1,1,0,3,0,0,0,4,3
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,205,8,7,17,10,28,5,12,0,1,17,4,6,17,4,16,16,14,5,21,5,66,44
情報入手先,インターネットのニュースサイトやニュースアプリ,355,13,16,32,15,44,6,16,2,2,24,1,6,28,4,29,27,25,6,36,9,123,82
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,204,9,10,11,5,15,2,7,2,2,13,2,4,17,2,10,16,11,3,17,3,75,53
情報入手先,動画配信サービス（YouTubeなど）,191,8,5,17,13,27,6,10,2,1,15,4,4,22,4,12,19,15,5,24,7,54,41
情報入手先,行政の窓口,42,5,1,5,1,7,2,1,0,0,5,1,2,5,0,5,1,4,1,5,1,7,14
情報入手先,区市町村などの広報誌,77,7,1,12,2,10,3,1,1,1,8,1,1,8,1,6,1,2,0,12,1,26,20
情報入手先,その他,10,0,0,1,0,2,0,0,1,0,0,0,0,1,0,3,0,1,0,1,2,1,3
情報入手先,わからない,43,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,25
情報入手先,得ていない,119,0,0,5,1,3,0,4,0,0,3,0,1,1,0,0,0,1,1,1,5,45,59
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,66,6,4,6,2,8,2,3,2,2,6,2,2,5,0,5,8,7,1,6,1,17,15
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,58,5,3,5,1,9,4,6,1,1,4,3,1,2,0,4,8,7,1,2,0,13,14
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,176,6,7,13,8,19,4,7,2,0,10,2,4,15,0,15,23,22,5,15,2,43,51
