調査項目,回答,全体(人),小学校の普通学校（通常学級のみに在籍）(人),小学校の普通学校（通級による指導あり）(人),小学校の普通学校（特別支援学級）(人),小学校の特別支援学校（養護学校・盲学校・ろう学校）(人),中学校の普通学校（通常学級のみに在籍）(人),中学校の普通学校（通級による指導あり）(人),中学校の普通学校（特別支援学級）(人),中学校の特別支援学校（養護学校・盲学校・ろう学校）(人),高等学校の普通学校（通常学級のみに在籍）(人),高等学校の普通学校（通級による指導あり）(人),高等学校の特別支援学校（養護学校・盲学校・ろう学校）(人),大学・短期大学(人),特別支援学校高等部専攻科、高等学校専攻科(人),職業能力開発校、障害者職業能力開発校等(人),なし(人)
参加したいスポーツ活動,ルールが簡単,315,43,16,54,25,12,6,21,24,15,2,22,14,8,5,48
参加したいスポーツ活動,自分のペースに合わせてできる,380,46,17,62,25,18,6,27,21,31,7,26,18,10,4,62
参加したいスポーツ活動,汗をかかない,27,2,4,4,2,2,0,1,0,2,1,1,2,0,0,6
参加したいスポーツ活動,自宅で実施できる,87,7,4,8,8,7,3,3,6,5,1,6,10,2,1,16
参加したいスポーツ活動,短い時間で実施できる,143,13,8,17,8,8,4,7,9,9,5,6,9,5,2,33
参加したいスポーツ活動,上達したことが分かる,145,25,14,26,9,7,2,8,6,9,2,5,5,3,2,22
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,84,5,7,6,7,4,2,14,3,5,2,4,7,2,0,16
参加したいスポーツ活動,好きな種目を選べる,165,20,14,19,11,9,6,11,8,16,4,7,7,2,4,27
参加したいスポーツ活動,やったことがないスポーツを試せる,59,5,11,8,7,4,1,6,5,3,0,4,1,0,1,3
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,100,8,4,12,13,5,0,7,8,8,1,5,4,4,2,19
参加したいスポーツ活動,有名な選手に会える,38,5,3,4,1,5,0,7,1,3,0,2,1,1,0,5
参加したいスポーツ活動,親子で一緒に参加ができる,96,7,9,18,16,3,2,9,9,4,0,3,2,4,1,9
参加したいスポーツ活動,新しい友達をつくることができる,112,13,9,21,8,6,1,7,3,7,3,9,4,4,2,15
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,38,2,4,9,3,3,0,4,1,2,0,3,1,0,0,6
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,135,10,11,32,9,6,4,8,10,11,1,6,2,5,2,18
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,73,4,3,13,7,2,1,7,6,5,1,4,3,3,1,13
参加したいスポーツ活動,その他,10,1,0,2,0,0,0,1,3,1,0,0,1,0,0,1
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,93,8,0,6,4,10,1,2,3,5,3,5,4,2,0,40
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,85,14,4,14,4,3,2,6,7,6,0,6,8,1,2,8
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,74,10,5,11,6,4,3,5,3,4,0,6,4,0,2,11
スポーツ・運動の継続実施に必要なもの,会場までの送迎,103,15,8,21,11,5,0,10,7,3,1,10,3,2,0,7
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,96,6,5,20,14,3,3,8,6,3,4,5,2,3,0,14
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,171,11,12,39,16,4,3,11,15,6,2,14,4,5,3,26
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,47,3,5,8,6,2,0,6,4,3,1,4,0,1,0,4
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,66,3,7,15,8,1,0,5,5,3,1,4,1,0,2,11
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,50,2,5,8,7,1,1,3,2,2,0,7,3,0,2,7
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,36,3,5,4,4,0,1,5,2,2,0,1,3,0,0,6
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,55,3,6,4,4,2,0,5,2,4,1,4,5,1,1,13
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,60,11,4,7,3,4,1,8,2,4,1,4,2,0,2,7
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,61,6,5,6,5,1,0,9,5,4,1,7,4,0,0,8
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,91,6,6,19,9,3,0,7,7,3,1,5,3,2,2,18
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,15,0,3,2,1,2,0,4,0,1,1,1,0,0,0,0
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,50,1,7,6,2,2,0,6,6,2,3,3,2,3,0,7
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,129,16,10,23,7,7,4,9,8,5,4,10,6,2,0,18
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,118,8,9,23,8,7,0,11,7,4,3,9,5,6,1,17
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,71,5,7,16,3,4,0,5,6,3,0,6,2,2,2,10
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,131,11,8,28,9,6,3,12,10,7,0,9,0,6,4,18
スポーツ・運動の継続実施に必要なもの,その他,8,2,0,2,2,1,0,0,0,0,0,0,0,0,0,1
スポーツ・運動の継続実施に必要なもの,特にない,42,9,2,4,3,5,0,0,1,3,0,2,1,1,1,10
スポーツ・運動の継続実施に必要なもの,わからない,45,8,0,2,1,1,2,2,0,8,1,3,2,1,0,14
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,56,12,2,3,2,3,1,3,3,3,1,6,7,0,2,8
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,43,9,2,4,4,5,1,4,0,2,0,3,3,1,0,5
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,88,14,6,16,10,5,1,7,10,1,0,6,3,1,1,7
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,51,6,6,11,6,1,4,2,3,2,1,2,0,1,0,6
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,142,12,10,35,11,3,3,10,13,4,3,8,4,4,4,18
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,24,1,3,2,4,2,2,1,2,3,0,1,1,1,1,0
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,39,3,4,9,3,1,0,1,2,2,1,2,2,2,0,7
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,23,3,1,8,1,1,0,0,1,1,0,1,1,0,0,5
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,22,3,5,2,3,1,0,1,2,1,0,0,2,0,0,2
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,34,5,2,1,3,1,1,2,0,2,1,3,2,2,0,9
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,32,5,1,3,1,3,2,4,1,3,1,1,1,0,0,6
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,26,6,4,1,0,0,0,4,1,3,0,2,1,1,0,3
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,58,8,4,8,8,2,0,3,2,1,0,1,3,1,3,14
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,12,0,3,2,1,1,0,1,1,1,1,0,1,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,19,1,6,1,0,1,1,1,0,0,2,1,2,0,0,3
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,65,9,2,8,3,6,3,3,1,6,0,6,3,1,0,14
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,69,7,1,12,6,3,0,3,6,4,2,6,3,4,1,11
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,20,5,1,3,0,1,0,0,2,1,0,0,2,3,0,2
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,109,10,10,24,10,5,3,13,6,5,0,5,0,5,3,10
新たに別のスポーツ・運動を始めるために必要な支援,その他,6,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1
新たに別のスポーツ・運動を始めるために必要な支援,特にない,53,10,2,4,2,6,0,0,1,6,1,3,2,0,1,15
新たに別のスポーツ・運動を始めるために必要な支援,わからない,44,8,0,6,0,3,2,2,2,6,0,4,1,1,0,9
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,10,0,1,0,3,0,0,0,1,1,1,1,0,0,0,2
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,5,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0
スポーツを始めるきっかけとして必要な支援,会場までの送迎,23,1,1,3,3,2,0,3,0,1,1,2,3,0,0,3
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,10,0,1,3,0,0,0,0,3,0,1,1,0,0,0,1
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,32,0,1,5,5,1,0,4,4,3,0,2,2,0,0,5
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,8,0,0,1,2,0,0,0,2,0,0,0,0,0,0,3
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,12,0,0,1,1,0,1,0,2,2,0,1,1,0,0,3
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,6,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,5,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,5,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,5,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,18,3,2,1,0,2,0,2,1,1,0,1,1,1,0,3
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,18,2,1,1,1,3,1,2,0,2,0,3,0,0,0,2
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,4,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,26,0,2,2,2,2,0,2,2,2,0,2,2,0,0,8
スポーツを始めるきっかけとして必要な支援,その他,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
スポーツを始めるきっかけとして必要な支援,特にない,38,3,0,3,3,3,0,1,1,4,0,1,4,1,0,14
スポーツを始めるきっかけとして必要な支援,わからない,59,5,1,2,2,4,0,2,2,5,2,5,2,2,0,25
スポーツ以外に関心のある事,旅行,225,36,8,32,14,20,2,9,9,18,2,12,19,2,2,40
スポーツ以外に関心のある事,グルメ・食べ歩き,239,35,5,27,20,16,3,9,11,23,4,13,19,6,3,45
スポーツ以外に関心のある事,買い物・ショッピング,148,20,9,11,9,10,1,6,1,12,5,9,16,2,1,36
スポーツ以外に関心のある事,テレビ視聴,212,29,13,35,14,14,2,10,10,10,5,18,13,6,4,29
スポーツ以外に関心のある事,動画配信サービス視聴,315,29,19,44,23,21,5,20,16,27,7,24,14,7,5,54
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,131,8,10,9,7,10,2,5,6,17,2,15,9,5,1,25
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,126,11,2,7,1,8,3,3,1,22,6,7,13,5,1,36
スポーツ以外に関心のある事,インターネット閲覧,195,23,14,19,8,10,4,11,5,19,7,13,13,10,3,36
スポーツ以外に関心のある事,映画鑑賞,132,19,7,13,4,11,5,10,4,13,2,5,6,4,2,27
スポーツ以外に関心のある事,読書,66,9,6,9,4,6,1,3,2,8,1,2,7,2,0,6
スポーツ以外に関心のある事,アニメ／漫画,208,31,14,27,9,12,6,12,10,17,5,12,9,5,3,36
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,252,27,17,37,15,16,9,18,9,23,5,14,10,8,4,40
スポーツ以外に関心のある事,写真の撮影,86,11,5,13,9,5,0,3,3,12,0,4,6,2,1,12
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,140,18,9,28,14,11,2,7,5,10,1,6,4,4,1,20
スポーツ以外に関心のある事,美術鑑賞,36,3,4,4,0,1,0,2,0,4,0,3,5,1,0,9
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,57,4,4,1,2,3,1,2,1,10,1,2,3,1,0,22
スポーツ以外に関心のある事,演劇・舞踏鑑賞,23,3,3,2,1,1,0,0,0,3,1,2,1,1,0,5
スポーツ以外に関心のある事,カラオケ,93,8,5,8,3,6,1,3,5,17,3,4,5,3,1,21
スポーツ以外に関心のある事,楽器の演奏,43,10,2,5,5,3,1,0,2,5,0,1,4,0,0,5
スポーツ以外に関心のある事,料理・菓子作り,66,6,5,7,5,6,3,5,2,7,1,7,6,0,0,6
スポーツ以外に関心のある事,園芸・ガーデニング,16,1,4,1,0,5,1,0,0,1,0,0,1,0,0,2
スポーツ以外に関心のある事,日曜大工,10,2,3,0,0,0,1,0,1,1,0,0,1,0,0,1
スポーツ以外に関心のある事,編み物・手芸,24,2,1,2,0,1,0,0,1,3,0,0,3,0,0,11
スポーツ以外に関心のある事,和裁・洋裁,8,0,0,1,0,0,0,0,0,2,0,0,1,0,0,4
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,14,0,1,2,1,1,0,1,2,1,0,1,1,0,1,2
スポーツ以外に関心のある事,ギャンブル,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2
スポーツ以外に関心のある事,その他,21,1,0,6,3,0,0,1,0,1,0,1,0,0,0,8
スポーツ以外に関心のある事,特にない,61,7,0,3,3,5,2,4,3,2,1,1,2,2,0,26
情報入手先,家族,422,66,22,60,27,28,8,29,26,27,7,23,19,10,5,65
情報入手先,友人,245,42,12,32,11,25,4,15,7,28,6,10,15,7,4,27
情報入手先,学校や職場、施設の人,267,26,17,43,23,13,6,18,27,21,4,25,9,9,4,22
情報入手先,ボランティア,27,4,6,4,4,1,0,3,1,1,0,1,0,0,0,2
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,37,1,6,4,6,2,1,5,2,1,0,2,0,0,0,7
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,54,5,5,12,6,0,0,4,3,2,0,4,3,2,0,8
情報入手先,テレビ,241,23,18,34,10,15,4,15,12,17,7,17,16,5,3,45
情報入手先,ラジオ,28,1,5,3,1,1,0,3,1,3,0,2,2,0,0,6
情報入手先,新聞,26,2,6,0,2,1,1,2,1,3,0,0,2,0,0,6
情報入手先,雑誌,23,1,7,0,2,2,0,2,0,5,1,0,1,0,0,2
情報入手先,障害者団体の会合や機関誌,18,0,5,2,3,0,0,1,0,0,0,3,1,0,0,3
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,126,11,6,16,8,6,0,5,1,11,2,8,12,7,2,31
情報入手先,インターネットのニュースサイトやニュースアプリ,171,13,7,14,6,15,2,11,8,22,4,8,15,6,2,38
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,181,20,5,11,2,15,3,8,2,27,6,12,18,6,3,43
情報入手先,動画配信サービス（YouTubeなど）,231,24,15,46,11,11,6,16,7,24,4,14,7,5,2,39
情報入手先,行政の窓口,20,0,0,2,2,2,0,3,1,0,0,4,1,1,1,3
情報入手先,区市町村などの広報誌,15,0,0,2,3,1,0,2,1,0,0,1,1,0,1,3
情報入手先,その他,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
情報入手先,わからない,18,2,0,2,2,0,2,0,1,1,0,1,0,1,0,6
情報入手先,得ていない,38,4,0,1,2,2,0,2,1,1,1,3,2,1,0,18
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,188,31,19,23,13,8,4,9,9,13,3,14,11,2,1,28
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,179,27,20,25,10,11,5,9,6,16,2,12,10,2,2,22
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,289,38,21,41,18,16,9,15,8,24,6,19,16,7,3,48
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,105,15,5,16,3,7,3,4,3,10,3,7,8,5,0,16
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,269,26,10,25,21,21,2,14,20,15,2,18,12,6,3,74
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,420,56,28,62,29,22,10,31,23,32,11,20,19,8,6,63
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,243,25,8,21,18,19,6,7,17,14,1,18,14,5,1,69
デフリンピックの認知度,よく内容を知っている,59,13,11,9,5,3,1,2,3,0,1,3,4,0,0,4
デフリンピックの認知度,見たり聞いたりしたことがある,173,18,7,21,14,12,4,7,6,20,5,10,16,1,1,31
デフリンピックの認知度,知らない,466,58,20,56,29,29,11,30,31,30,6,29,17,13,6,101
デフリンピックに期待すること,競技観戦,116,18,7,13,11,6,3,15,6,10,4,6,8,0,1,8
デフリンピックに期待すること,記録の更新,47,9,5,3,4,2,1,3,3,4,3,3,2,1,0,4
デフリンピックに期待すること,日本人選手の活躍,171,16,12,19,9,11,3,16,9,20,5,9,11,3,2,26
デフリンピックに期待すること,外国人選手の活躍,44,4,4,3,4,2,1,3,3,7,1,1,6,0,1,4
デフリンピックに期待すること,国際交流の促進,70,11,5,6,5,7,1,7,3,6,2,3,6,0,0,8
デフリンピックに期待すること,大会記念グッズの展開,27,1,9,2,2,2,1,3,0,1,1,2,0,0,0,3
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,49,5,9,4,6,1,1,6,0,6,1,3,0,0,0,7
デフリンピックに期待すること,競技体験,39,4,5,7,5,1,0,7,3,1,0,2,1,0,0,3
デフリンピックに期待すること,大会への子供の参加,68,8,11,15,8,5,0,4,1,1,0,2,1,1,1,10
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,42,4,9,7,2,1,1,2,1,4,0,2,2,2,0,5
デフリンピックに期待すること,手話の普及と理解の促進,41,4,6,4,3,3,1,2,2,4,0,3,4,1,0,4
デフリンピックに期待すること,デフスポーツの普及と理解の促進,78,9,1,11,9,4,1,6,7,4,2,6,6,0,1,11
デフリンピックに期待すること,障害や障害者への理解の促進,140,6,5,28,11,4,1,11,9,5,0,19,8,4,3,26
デフリンピックに期待すること,その他,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
デフリンピックに期待すること,期待するものはない,276,37,10,26,15,19,6,14,14,20,4,13,13,7,2,76
