調査項目,回答,全体(人),自分の家(人),職場（一般企業など）(人),職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）(人),学校(人),通所施設（生活介護、デイケアなど）(人),入所施設(人),その他(人)
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,6,1,1,1,0,0,0
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,38,10,2,2,5,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,20,12,2,12,0,2,1
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,34,7,2,12,3,5,2
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,7,2,0,3,1,0,0
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,45,14,2,11,6,5,4
スポーツを始めるきっかけとして必要な支援,その他,23,14,4,0,0,3,2,0
スポーツを始めるきっかけとして必要な支援,特にない,385,265,75,4,16,13,9,3
スポーツを始めるきっかけとして必要な支援,わからない,354,246,48,10,16,17,10,7
スポーツ以外に関心のある事,旅行,1225,662,347,26,129,26,20,15
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,622,323,34,125,41,21,16
スポーツ以外に関心のある事,買い物・ショッピング,840,471,217,29,80,25,11,7
スポーツ以外に関心のある事,テレビ視聴,1133,678,211,32,131,45,17,19
スポーツ以外に関心のある事,動画配信サービス視聴,912,434,216,40,186,19,8,9
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,241,124,20,71,11,7,7
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,284,149,17,56,11,4,7
スポーツ以外に関心のある事,インターネット閲覧,957,537,245,34,96,24,12,9
スポーツ以外に関心のある事,映画鑑賞,765,446,199,24,68,16,6,6
スポーツ以外に関心のある事,読書,563,343,143,12,43,11,7,4
スポーツ以外に関心のある事,アニメ／漫画,592,260,156,29,126,8,4,9
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,277,130,31,151,18,2,6
スポーツ以外に関心のある事,写真の撮影,289,142,75,13,52,4,2,1
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,141,80,21,89,10,3,3
スポーツ以外に関心のある事,美術鑑賞,293,182,76,9,16,6,2,2
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,192,107,7,25,9,4,6
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,103,53,2,11,6,1,2
スポーツ以外に関心のある事,カラオケ,330,158,81,16,49,11,10,5
スポーツ以外に関心のある事,楽器の演奏,161,79,44,3,31,4,0,0
スポーツ以外に関心のある事,料理・菓子作り,284,164,71,4,33,7,2,3
スポーツ以外に関心のある事,園芸・ガーデニング,189,126,36,5,7,9,4,2
スポーツ以外に関心のある事,日曜大工,75,49,18,1,5,1,1,0
スポーツ以外に関心のある事,編み物・手芸,123,81,20,3,7,7,2,3
スポーツ以外に関心のある事,和裁・洋裁,46,31,9,1,3,0,1,1
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,11,10,1,11,0,0,0
スポーツ以外に関心のある事,ギャンブル,103,66,30,1,1,1,0,4
スポーツ以外に関心のある事,その他,134,73,36,7,10,1,3,4
スポーツ以外に関心のある事,特にない,322,227,33,8,16,19,15,4
情報入手先,家族,1446,775,274,40,246,60,30,21
情報入手先,友人,791,399,178,16,156,22,12,8
情報入手先,学校や職場、施設の人,564,127,160,33,192,24,23,5
情報入手先,ボランティア,76,33,15,3,12,12,1,0
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,113,16,8,22,28,16,3
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,224,57,8,31,22,12,13
情報入手先,テレビ,1551,967,315,32,137,54,22,24
情報入手先,ラジオ,314,188,80,6,15,16,6,3
情報入手先,新聞,466,319,98,6,15,16,7,5
情報入手先,雑誌,199,111,61,0,17,7,3,0
情報入手先,障害者団体の会合や機関誌,80,39,12,7,11,9,2,0
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,400,228,20,67,12,6,10
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,645,330,29,91,15,8,11
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,425,252,27,79,11,4,10
情報入手先,動画配信サービス（YouTubeなど）,718,352,174,23,147,9,7,6
情報入手先,行政の窓口,164,101,29,7,14,7,3,3
情報入手先,区市町村などの広報誌,272,180,59,9,10,7,1,6
情報入手先,その他,16,9,2,1,1,1,2,0
情報入手先,わからない,84,49,18,5,6,1,4,1
情報入手先,得ていない,181,120,24,7,11,7,9,3
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,515,233,143,10,102,18,3,6
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,390,155,98,12,103,20,2,0
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,758,333,188,28,167,26,6,10
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,257,113,63,11,54,10,4,2
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,2004,1281,372,58,130,81,56,26
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,721,334,55,224,67,21,9
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,1101,324,46,118,67,48,29
デフリンピックの認知度,よく内容を知っている,187,91,54,2,27,11,1,1
デフリンピックの認知度,見たり聞いたりしたことがある,792,428,188,30,87,39,13,7
デフリンピックの認知度,知らない,2247,1324,435,70,248,85,55,30
デフリンピックに期待すること,競技観戦,393,173,104,9,76,19,10,2
デフリンピックに期待すること,記録の更新,195,96,56,4,26,7,4,2
デフリンピックに期待すること,日本人選手の活躍,724,382,179,19,98,26,10,10
デフリンピックに期待すること,外国人選手の活躍,183,89,50,4,28,9,2,1
デフリンピックに期待すること,国際交流の促進,291,151,75,3,38,15,6,3
デフリンピックに期待すること,大会記念グッズの展開,91,33,29,6,15,6,2,0
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,87,51,10,26,11,4,1
デフリンピックに期待すること,競技体験,104,42,32,2,25,2,1,0
デフリンピックに期待すること,大会への子供の参加,160,71,31,7,43,4,2,2
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,64,46,5,26,9,3,2
デフリンピックに期待すること,手話の普及と理解の促進,187,86,55,9,22,9,3,3
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,151,89,9,48,14,8,4
デフリンピックに期待すること,障害や障害者への理解の促進,593,305,133,26,82,26,16,5
デフリンピックに期待すること,その他,13,8,3,0,2,0,0,0
デフリンピックに期待すること,期待するものはない,1686,1064,327,48,126,58,39,24
