調査項目,回答,全体(人),スタジアム、体育館などの建物や設備のバリアフリー化(人),交通機関（電車やバス）やまちのバリアフリー化(人),会場までの送迎(人),障害者への施設開放の促進（障害者が優先的に使える施設が増える）(人),障害にあわせた教室やプログラム(人),介助者や手話通訳などの支援(人),障害に対応した情報の提供や問合せ方法の充実(人),施設や用具等を利用する際に必要な手続きの支援(人),障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進(人),健康や体調を管理する医療的なサポート(人),目標となる大会やイベント(人),スポーツ用具等の貸出し(人),施設の利用料減免　（利用料が安くなったり、無料になったりする）(人),リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実(人),自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実(人),一緒に行う仲間（障害の無い人）(人),一緒に行う仲間（自分と同じ障害のある人）(人),一緒に行う仲間（自分と異なる障害のある人）(人),適切な指導者やコーチ、トレーナー(人),その他(人),特にない(人),わからない(人)
実施したきっかけ,義肢装具士に奨められた,15,3,6,2,5,5,5,2,4,5,7,2,2,3,1,4,1,2,1,1,0,0,0
実施したきっかけ,介護福祉士に奨められた,43,10,16,14,16,20,10,13,9,7,14,6,7,14,1,9,7,12,5,10,0,1,1
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,14,18,19,10,22,5,18,7,7,17,7,7,8,1,9,14,14,7,13,1,1,2
実施したきっかけ,スポーツ指導者に奨められた,20,7,6,9,5,11,3,4,2,5,6,5,6,4,1,2,7,5,3,7,0,0,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,6,5,5,7,7,5,8,4,8,9,6,3,5,5,3,4,5,4,4,0,0,0
実施したきっかけ,学校の先生に奨められた,57,15,15,19,19,30,11,16,11,7,9,14,14,20,4,13,21,25,14,18,3,0,1
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,12,11,16,14,25,8,10,8,5,11,16,11,22,5,11,35,33,23,26,1,3,0
実施したきっかけ,所属する団体（会社等）に奨められた,17,5,3,3,5,7,1,5,2,2,2,6,1,6,1,2,9,6,1,4,0,0,1
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,6,5,5,5,7,1,4,4,3,5,5,1,6,3,2,3,5,2,4,0,1,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,4,4,3,3,4,3,4,1,1,2,6,1,4,0,2,5,4,2,5,0,1,0
実施したきっかけ,テレビや新聞の影響,66,23,27,18,12,25,4,19,13,5,26,9,8,17,6,15,20,20,13,19,3,5,4
実施したきっかけ,インターネットや動画配信を見て,81,20,20,15,18,34,4,19,17,5,28,15,12,22,8,15,29,23,17,30,2,7,5
実施したきっかけ,ＳＮＳの影響,40,7,8,11,7,13,0,8,5,4,14,7,6,10,2,6,14,12,8,8,2,3,5
実施したきっかけ,漫画、ドラマ、映画等の影響,20,6,5,5,4,6,1,6,4,1,8,7,4,3,2,3,6,6,5,5,0,2,1
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,7,7,6,4,4,1,3,5,1,4,8,8,5,2,3,10,5,3,6,0,1,0
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,2,1,4,3,3,0,2,2,3,4,7,4,3,1,1,6,3,1,5,0,0,1
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,6,4,4,6,8,3,5,4,3,5,8,7,10,2,5,10,7,6,11,0,0,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,2,0,1,1,2,0,2,0,0,2,3,2,4,1,1,4,2,2,3,0,0,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,5,7,10,14,16,4,10,6,5,11,5,5,19,4,12,12,14,7,15,1,1,0
実施したきっかけ,行政の広報誌,15,3,2,4,3,5,3,3,3,1,3,0,2,8,2,3,5,7,5,9,0,1,0
実施したきっかけ,その他,89,18,18,22,20,27,10,17,8,10,19,8,14,28,9,22,18,16,11,29,7,15,10
実施したきっかけ,特にきっかけはない・なんとなく,676,65,83,71,48,91,16,44,26,21,45,28,44,84,24,56,78,65,36,93,17,203,148
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,834,173,157,137,94,161,40,80,50,39,99,67,68,108,27,86,141,117,64,134,15,147,74
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,578,95,112,120,99,153,45,77,53,46,94,47,64,118,35,85,104,93,51,118,14,66,41
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,396,54,85,78,62,113,25,51,30,18,70,16,30,74,22,67,60,62,29,82,12,59,54
スポーツ・運動への取組意向,スポーツや運動に関心はない,283,22,21,25,19,36,10,24,5,6,17,6,10,14,5,20,26,19,13,22,3,90,78
実施していない理由,医師に止められており、身体的にできない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,どのくらい体を動かしたらよいかわからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,身近なところにスポーツや運動ができる場所がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,スポーツや運動ができる場所への移動手段がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,自分に合ったスポーツや運動の情報がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,一緒にできる仲間がいない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,介助者がいない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,金銭的な余裕がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,時間がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,必要な競技用具や補助具がない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
実施していない理由,活動したいと思わない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動が嫌いだから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動に興味がないから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,疲れるから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,人前に出るのが好きではないから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,スポーツ以外に趣味があるから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,忙しいから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活動したいと思わない理由,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育の参加状況,参加していて、体育が好きである,241,48,39,64,50,96,26,39,29,21,22,36,38,53,9,27,72,66,45,75,5,18,10
学校体育の参加状況,参加しているが、体育は好きではない,111,9,13,18,19,30,12,10,5,1,10,13,9,11,4,9,24,18,7,23,2,6,10
学校体育の参加状況,参加していない,22,5,3,5,4,5,2,2,2,1,1,0,1,1,1,1,3,2,1,4,0,2,3
学校体育の参加状況,わからない,17,4,2,4,4,2,2,1,2,4,2,0,1,1,1,1,4,3,2,1,0,3,5
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,5,4,1,1,2,2,1,1,1,0,0,0,1,1,1,1,1,1,0,2,0,0,0
学校体育に参加しない理由,自分にはできないと思ったから,6,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,2,1,2,2,2,1,1,1,0,0,0,1,1,1,1,1,1,0,2,0,0,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,2,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
学校体育に参加しない理由,その他,5,1,1,2,0,2,1,0,1,0,0,0,0,0,0,0,1,1,1,2,0,2,0
スポーツ・運動の参加方法,現地の会場で対面での参加,936,209,193,215,148,269,66,122,73,49,141,101,101,190,32,98,221,189,104,232,17,94,47
スポーツ・運動の参加方法,リモート参加,110,20,25,21,23,25,12,11,9,9,21,2,9,9,12,17,11,13,4,6,0,5,4
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,195,38,50,43,43,63,23,45,24,27,34,12,25,47,28,51,41,38,27,46,3,8,5
スポーツ・運動の参加方法,参加したいと思わない,850,77,107,81,60,106,19,54,32,24,84,21,37,68,17,92,58,51,22,72,24,255,191
参加したいスポーツ活動,ルールが簡単,736,202,179,191,121,225,58,115,64,47,111,73,82,152,46,117,169,162,94,173,13,70,55
参加したいスポーツ活動,自分のペースに合わせてできる,1218,234,263,264,170,346,76,165,104,61,216,96,134,244,69,192,248,229,119,291,29,169,100
参加したいスポーツ活動,汗をかかない,110,23,30,31,23,26,20,19,9,16,15,7,15,12,8,22,16,11,7,16,2,13,9
参加したいスポーツ活動,自宅で実施できる,424,84,105,105,72,122,35,68,41,28,98,20,46,84,38,127,83,73,40,86,9,41,32
参加したいスポーツ活動,短い時間で実施できる,539,102,127,130,100,182,49,92,55,35,120,42,72,126,39,120,109,104,60,132,8,57,41
参加したいスポーツ活動,上達したことが分かる,310,72,71,75,74,123,39,62,40,29,58,52,50,80,27,57,93,85,50,110,8,20,11
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,167,34,38,36,41,57,26,41,27,27,29,18,28,36,17,34,42,39,22,33,6,9,6
参加したいスポーツ活動,好きな種目を選べる,388,80,86,111,83,147,36,81,67,41,93,65,78,125,42,83,124,108,57,134,4,34,19
参加したいスポーツ活動,やったことがないスポーツを試せる,122,35,32,34,30,58,16,30,24,21,33,30,34,44,18,22,47,50,32,49,2,10,2
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,287,56,67,81,73,107,27,76,41,37,74,37,59,104,30,76,77,75,42,109,9,17,15
参加したいスポーツ活動,有名な選手に会える,72,23,19,21,21,32,14,15,12,11,24,19,21,29,11,10,33,29,16,26,1,2,4
参加したいスポーツ活動,親子で一緒に参加ができる,122,29,29,38,42,68,23,34,24,24,24,18,25,42,15,27,38,42,28,52,2,3,5
参加したいスポーツ活動,新しい友達をつくることができる,221,59,58,66,52,94,21,53,35,26,49,42,51,79,22,43,107,98,64,88,5,11,7
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,107,35,34,40,27,51,13,39,24,17,36,23,25,43,22,35,36,35,24,35,3,6,3
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,282,61,73,89,75,138,29,79,54,32,75,44,55,115,34,82,117,112,65,141,7,7,8
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,252,39,55,72,59,103,21,62,38,28,79,27,54,105,31,89,77,68,42,113,9,29,13
参加したいスポーツ活動,その他,33,7,7,5,8,10,4,8,4,6,5,3,3,10,3,7,12,9,5,12,8,4,5
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,274,13,16,10,5,11,1,5,2,1,8,2,1,5,1,6,8,3,3,6,7,120,102
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,169,115,74,49,66,19,33,29,23,29,25,31,43,11,23,31,29,18,36,2,5,2
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,94,154,78,50,65,19,30,20,18,31,17,26,36,8,31,31,33,14,28,0,2,3
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,72,117,206,73,121,30,65,40,26,57,28,45,74,14,61,60,62,32,74,2,3,1
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,43,46,45,72,58,19,34,18,19,26,9,19,37,8,20,33,32,18,24,6,1,5
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,69,75,84,85,191,37,80,44,33,72,29,39,74,28,68,64,81,41,117,8,9,9
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,19,16,10,9,29,28,12,9,8,11,4,2,9,3,8,8,8,5,10,0,2,0
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,22,32,26,31,55,17,58,22,12,32,7,14,32,5,29,18,21,6,29,1,3,2
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,15,21,17,19,24,7,20,18,11,23,8,17,18,5,15,14,14,7,12,3,1,2
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,12,9,10,20,19,11,11,11,25,14,8,8,6,4,5,7,10,3,6,0,0,0
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,40,48,41,28,64,12,44,21,16,94,17,20,38,11,43,28,28,12,45,4,13,4
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,13,21,19,9,20,5,9,4,6,16,30,12,20,7,11,32,17,10,24,0,3,1
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,15,15,18,16,21,2,16,10,6,15,21,40,35,9,21,30,23,12,32,2,8,1
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,41,45,57,54,72,16,47,42,20,57,28,48,132,19,60,68,62,36,71,4,15,9
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,10,9,8,13,15,5,7,1,4,15,4,6,11,25,25,8,9,3,11,0,1,1
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,22,28,27,21,42,8,22,11,7,42,8,20,39,23,84,22,22,14,32,2,10,6
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,28,29,38,20,45,9,17,17,10,24,26,21,39,6,17,127,65,38,45,6,12,7
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,27,32,33,28,65,16,25,13,11,25,22,22,40,9,21,74,103,47,55,3,5,3
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,7,6,7,4,12,4,4,2,4,6,6,7,8,4,6,20,27,26,13,1,4,0
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,54,55,78,64,138,20,58,31,16,73,37,40,95,26,75,97,92,55,208,3,12,3
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,5,2,3,4,10,3,5,2,3,3,1,3,6,1,4,3,2,3,7,8,3,3
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,13,17,10,6,17,2,6,2,2,17,4,6,12,1,11,12,8,6,19,15,266,38
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,9,10,11,4,7,3,4,2,1,10,2,5,9,3,8,13,11,5,10,5,30,169
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,会場までの送迎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,特にない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ以外に関心のある事,旅行,954,227,203,185,141,237,54,125,76,56,148,79,105,190,47,130,189,152,86,204,26,180,73
スポーツ以外に関心のある事,グルメ・食べ歩き,904,206,204,167,132,235,55,123,72,53,143,79,105,184,48,125,176,151,81,184,17,152,82
スポーツ以外に関心のある事,買い物・ショッピング,623,145,141,115,94,154,43,79,45,38,110,58,69,120,34,89,129,109,63,117,15,105,62
スポーツ以外に関心のある事,テレビ視聴,733,133,162,171,113,209,43,106,63,38,118,55,75,142,40,105,138,125,79,167,15,141,57
スポーツ以外に関心のある事,動画配信サービス視聴,674,115,133,138,114,202,41,97,65,48,118,59,81,144,44,115,153,140,88,160,22,109,68
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,362,71,84,73,70,110,27,61,43,41,79,41,58,85,25,65,83,79,52,74,9,55,38
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,397,69,81,61,59,94,22,49,34,35,69,36,41,88,28,54,92,79,47,71,9,75,46
スポーツ以外に関心のある事,インターネット閲覧,681,125,138,126,94,174,43,98,63,41,124,51,79,154,51,117,135,126,76,147,17,135,64
スポーツ以外に関心のある事,映画鑑賞,565,115,132,104,85,152,40,87,56,42,101,53,67,115,42,97,109,104,58,130,20,109,52
スポーツ以外に関心のある事,読書,429,87,96,96,61,117,29,65,41,36,83,34,51,89,34,79,79,75,43,95,12,77,41
スポーツ以外に関心のある事,アニメ／漫画,429,75,73,74,67,119,21,75,45,38,71,46,56,100,30,70,108,92,52,104,15,75,42
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,454,78,86,87,75,129,23,60,39,42,74,55,56,95,27,71,123,95,62,111,15,68,42
スポーツ以外に関心のある事,写真の撮影,244,48,55,56,48,68,22,43,31,19,49,38,44,67,27,54,70,63,45,61,6,42,16
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,283,57,55,64,60,100,22,52,41,32,55,38,48,84,24,51,83,70,41,97,6,42,20
スポーツ以外に関心のある事,美術鑑賞,238,58,61,47,42,61,16,42,29,19,72,24,34,67,21,52,56,47,30,70,7,40,16
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,254,54,59,59,42,68,20,41,32,29,62,28,40,64,21,53,64,51,32,75,8,41,19
スポーツ以外に関心のある事,演劇・舞踏鑑賞,135,43,43,36,28,48,15,31,21,16,36,16,23,40,14,34,35,30,16,45,3,16,8
スポーツ以外に関心のある事,カラオケ,245,51,45,52,40,74,13,42,24,24,53,39,44,56,22,37,68,60,36,73,4,42,24
スポーツ以外に関心のある事,楽器の演奏,121,26,25,31,20,36,12,18,13,12,22,12,20,24,8,19,24,28,16,28,3,25,11
スポーツ以外に関心のある事,料理・菓子作り,222,46,49,46,37,70,14,37,23,23,46,28,32,54,22,41,54,49,30,63,5,38,21
スポーツ以外に関心のある事,園芸・ガーデニング,145,27,37,29,18,41,6,20,13,11,29,14,20,30,14,31,37,29,19,35,4,32,5
スポーツ以外に関心のある事,日曜大工,63,14,20,17,9,15,5,10,10,6,16,11,17,14,7,15,14,11,9,12,3,13,4
スポーツ以外に関心のある事,編み物・手芸,79,11,17,22,11,28,7,14,12,12,23,11,13,22,9,21,22,21,13,24,1,12,5
スポーツ以外に関心のある事,和裁・洋裁,33,10,8,8,7,12,4,7,6,4,13,5,9,9,8,13,9,9,5,7,1,4,5
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,29,9,4,7,8,13,2,11,7,4,7,8,10,10,3,5,11,11,7,12,1,0,1
スポーツ以外に関心のある事,ギャンブル,62,5,11,8,3,6,0,4,3,4,7,4,7,9,3,8,12,9,5,6,4,17,9
スポーツ以外に関心のある事,その他,77,11,14,15,5,20,8,10,8,5,13,9,10,17,5,13,20,18,13,24,7,13,8
スポーツ以外に関心のある事,特にない,98,3,6,4,4,5,2,2,1,1,0,0,0,2,0,4,6,4,3,4,1,29,48
情報入手先,家族,1018,212,211,207,133,279,71,136,77,51,154,87,96,170,46,145,206,187,108,228,18,141,90
情報入手先,友人,611,136,135,124,71,172,40,76,53,34,104,68,79,122,37,93,171,143,80,165,11,76,46
情報入手先,学校や職場、施設の人,437,88,89,101,86,157,49,67,45,38,71,49,67,97,31,75,117,116,74,130,8,53,29
情報入手先,ボランティア,71,29,29,26,25,26,9,19,11,10,13,14,9,13,6,10,13,14,6,11,0,2,1
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,133,33,42,41,47,48,26,33,20,23,30,14,17,21,14,24,16,23,11,26,1,3,5
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,259,57,67,66,62,85,31,56,32,32,71,16,26,58,25,75,38,51,28,73,6,25,11
情報入手先,テレビ,978,149,173,192,118,251,53,119,73,47,153,74,93,186,50,147,188,165,88,205,21,195,91
情報入手先,ラジオ,220,49,52,47,33,55,17,43,24,16,46,18,28,41,13,38,37,38,21,47,4,38,24
情報入手先,新聞,311,58,65,68,41,85,26,42,30,24,65,17,26,56,21,67,38,42,22,65,4,64,30
情報入手先,雑誌,156,34,36,26,26,53,11,29,18,14,37,14,20,35,18,31,27,23,12,37,2,26,14
情報入手先,障害者団体の会合や機関誌,63,16,21,15,19,30,11,19,8,16,17,8,7,16,9,14,13,15,9,18,2,4,0
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,538,91,97,85,67,145,25,68,52,36,100,43,62,123,43,99,110,108,66,129,17,105,56
情報入手先,インターネットのニュースサイトやニュースアプリ,774,126,135,124,85,174,34,91,59,45,139,55,95,148,47,123,140,122,64,157,23,161,89
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,604,103,101,91,72,130,23,62,40,41,107,52,72,118,41,87,118,101,56,122,22,113,73
情報入手先,動画配信サービス（YouTubeなど）,527,91,96,92,70,166,27,79,52,34,104,48,70,119,41,94,133,127,74,158,23,78,55
情報入手先,行政の窓口,122,29,37,38,21,45,14,32,23,16,38,18,20,45,14,41,30,37,23,42,4,13,11
情報入手先,区市町村などの広報誌,195,40,50,52,34,67,16,43,33,21,64,18,33,74,20,60,46,55,33,75,9,25,12
情報入手先,その他,6,0,1,2,2,2,0,0,0,1,1,1,1,3,0,1,1,0,0,2,2,1,0
情報入手先,わからない,41,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,4,1,0,1,0,12,22
情報入手先,得ていない,62,7,3,4,4,4,2,0,3,1,2,1,4,7,0,0,4,3,1,6,0,18,24
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,449,132,97,97,72,128,38,58,41,37,66,52,54,79,34,63,101,86,50,84,6,39,20
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,332,78,71,77,74,106,36,56,33,35,54,40,39,66,24,52,72,65,36,61,3,21,14
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,582,109,107,118,100,169,46,82,50,50,93,64,66,115,33,76,139,129,70,132,18,70,42
