調査項目,回答,全体(人),行っている(人),ウォーキング、散歩（散策、ペットの散歩など）(人),体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）(人),室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動(人),陸上競技（ランニング、ジョギングなどの軽い運動も含めます）(人),水泳・遊泳（水中歩行・水中運動）(人),ブラインドサッカー(人),車いすテニス(人),サウンドテーブルテニス(人),パラバレーボール(人),車いすバスケットボール(人),車いすラグビー(人),ボッチャ(人),球技（キャッチボールなどのボールを使った軽い運動も含めます）(人),ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）(人),格闘技（ボクシング、レスリング、相撲（すもう）など）(人),武道（柔道、剣道、空手、合気道など）(人),射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）(人),ウィンタースポーツ（スキー、スノーボード、スケートなど）(人),ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）(人),スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）(人),アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）(人),サイクリング、モーター（サイクル）スポーツ(人),運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）(人),ゲーム機を使い体を動かして行うスポーツ・フィットネス等(人),その他(人),行っていない（人）
実施したきっかけ,作業療法士（OT）に奨められた,100,100,68,45,34,14,17,7,4,4,5,5,4,5,8,9,3,3,1,3,6,4,5,9,13,4,1,0
実施したきっかけ,理学療法士（PT）に奨められた,128,128,89,48,35,15,24,8,5,8,9,6,3,8,4,10,3,2,2,1,6,5,7,6,8,4,2,0
実施したきっかけ,言語聴覚士（ST）に奨められた,39,39,15,19,13,13,15,8,2,7,9,4,5,5,6,5,3,5,3,3,6,4,7,4,3,1,0,0
実施したきっかけ,視能訓練士（CO）に奨められた,21,21,5,6,9,4,5,3,2,4,7,1,5,0,3,2,3,2,4,0,3,2,1,3,0,0,0,0
実施したきっかけ,義肢装具士に奨められた,15,15,6,6,6,3,7,3,1,1,4,3,0,1,3,0,3,4,1,2,5,2,3,1,0,1,0,0
実施したきっかけ,介護福祉士に奨められた,43,43,29,22,12,5,10,6,3,3,7,1,3,3,4,6,2,3,4,1,5,1,2,4,2,2,0,0
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,49,36,19,11,4,8,3,3,2,3,1,2,2,5,2,0,2,1,1,3,2,2,7,2,2,2,0
実施したきっかけ,スポーツ指導者に奨められた,20,20,14,11,6,4,6,1,3,2,1,1,1,1,4,4,0,2,3,1,2,0,2,2,1,0,0,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,19,7,9,5,4,8,4,3,6,6,3,2,3,5,1,2,2,1,0,5,3,2,4,1,0,0,0
実施したきっかけ,学校の先生に奨められた,57,57,36,23,11,15,22,5,2,4,5,1,3,9,11,7,1,5,3,3,2,0,7,4,18,7,1,0
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,64,37,27,14,24,27,2,1,3,3,1,0,6,24,14,2,3,2,4,3,1,12,6,18,6,4,0
実施したきっかけ,所属する団体（会社等）に奨められた,17,17,12,10,2,5,5,1,1,0,1,0,1,4,5,7,0,3,1,0,1,1,2,3,3,1,1,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,14,8,6,2,2,4,1,1,2,1,1,0,0,2,1,1,1,1,0,1,0,2,3,1,1,0,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,13,10,5,4,7,1,1,2,0,1,0,0,0,2,2,1,2,1,1,1,2,3,4,3,4,0,0
実施したきっかけ,テレビや新聞の影響,66,66,58,28,11,4,9,2,2,2,1,1,0,3,3,5,1,1,2,1,2,1,5,9,6,6,2,0
実施したきっかけ,インターネットや動画配信を見て,81,81,66,38,15,9,13,1,2,1,2,0,0,4,7,7,1,0,2,1,2,1,9,10,8,9,2,0
実施したきっかけ,ＳＮＳの影響,40,40,33,18,9,1,4,1,1,1,0,0,0,1,2,3,0,0,1,0,0,0,1,7,3,6,0,0
実施したきっかけ,漫画、ドラマ、映画等の影響,20,20,14,11,6,6,3,2,2,1,1,0,1,0,2,3,0,3,1,2,3,1,5,7,4,4,0,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,22,15,8,5,7,3,1,1,3,1,0,0,0,6,2,1,1,1,3,1,1,6,5,4,3,0,0
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,11,6,7,3,5,4,0,0,1,0,0,0,3,3,5,0,1,1,1,1,1,4,3,5,1,0,0
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,18,9,9,6,7,8,1,2,1,0,0,0,2,5,3,0,2,0,4,4,1,7,5,7,2,0,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,6,3,3,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,1,0,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,36,27,21,4,3,11,0,1,1,0,0,0,4,3,8,0,0,0,0,0,0,3,1,10,1,0,0
実施したきっかけ,行政の広報誌,15,15,13,10,2,1,3,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0
実施したきっかけ,その他,89,89,57,22,19,7,12,0,0,0,0,0,0,3,8,8,2,1,0,1,3,0,6,8,5,0,12,0
実施したきっかけ,特にきっかけはない・なんとなく,676,676,553,140,71,42,83,2,3,0,1,2,0,5,33,22,4,7,1,16,10,0,38,35,45,22,14,0
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,834,622,241,124,97,144,17,10,13,16,9,5,20,71,53,11,13,11,26,25,6,55,55,57,34,23,15
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,578,428,160,104,52,89,5,4,7,6,7,5,20,36,22,7,3,2,18,9,4,31,42,47,27,15,22
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,396,308,97,43,12,44,1,0,2,2,2,1,5,8,13,1,5,1,2,4,3,16,14,18,10,10,336
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,283,237,33,14,9,16,1,1,4,2,1,2,5,9,6,0,3,1,1,0,0,3,3,12,8,5,762
実施していない理由,医師に止められており、身体的にできない,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
実施していない理由,どのくらい体を動かしたらよいかわからない,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
実施していない理由,自分に合ったスポーツや運動の情報がない,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
実施していない理由,一緒にできる仲間がいない,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
実施していない理由,介助者がいない,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
実施していない理由,金銭的な余裕がない,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
実施していない理由,時間がない,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
実施していない理由,必要な競技用具や補助具がない,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
実施していない理由,その他,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
実施していない理由,活動したいと思わない,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
活動したいと思わない理由,スポーツ・運動に興味がないから,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
活動したいと思わない理由,疲れるから,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
活動したいと思わない理由,人前に出るのが好きではないから,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
活動したいと思わない理由,スポーツ以外に趣味があるから,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
活動したいと思わない理由,忙しいから,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
活動したいと思わない理由,その他,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
活動したいと思わない理由,わからない,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2126
学校体育の参加状況,参加していて、体育が好きである,279,241,128,88,35,56,104,9,5,10,8,6,5,24,58,38,6,11,5,15,12,3,29,21,85,19,7,38
学校体育の参加状況,参加しているが、体育は好きではない,146,111,70,24,14,17,26,3,2,2,3,2,1,4,13,14,2,3,2,2,1,1,9,6,24,8,3,35
学校体育の参加状況,参加していない,42,22,13,3,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,20
学校体育の参加状況,わからない,37,17,11,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,20
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
学校体育に参加しない理由,自分にはできないと思ったから,12,6,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,6,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
学校体育に参加しない理由,身体を動かすことが怖いから,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
学校体育に参加しない理由,その他,12,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,936,675,276,145,113,195,14,12,14,13,9,6,40,97,76,14,19,12,35,27,6,74,64,102,35,33,147
スポーツ・運動の参加方法,リモート参加,134,110,62,38,23,12,11,5,2,2,6,1,2,2,4,2,1,1,0,3,3,5,5,1,4,4,3,24
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,195,131,63,36,19,36,4,0,6,5,6,4,5,10,10,1,2,1,4,5,2,7,17,12,15,1,46
スポーツ・運動の参加方法,参加したいと思わない,1768,850,727,154,81,26,51,1,1,4,2,3,1,3,13,6,3,2,2,5,3,0,19,32,16,25,16,918
参加したいスポーツ活動,ルールが簡単,891,736,592,225,104,81,134,8,7,5,6,7,2,31,64,50,6,10,6,15,12,3,43,47,89,44,17,155
参加したいスポーツ活動,自分のペースに合わせてできる,1507,1218,962,340,177,102,197,8,6,7,5,5,2,32,78,57,9,10,7,25,18,0,70,80,97,54,34,289
参加したいスポーツ活動,汗をかかない,151,110,84,37,24,16,7,6,2,4,5,3,2,3,5,6,3,3,3,2,3,6,6,10,2,8,3,41
参加したいスポーツ活動,自宅で実施できる,570,424,347,161,90,27,39,9,3,6,9,5,4,6,11,9,2,3,2,4,12,5,26,20,14,26,8,146
参加したいスポーツ活動,短い時間で実施できる,705,539,443,187,75,50,61,6,3,8,1,3,2,12,28,27,5,3,6,8,7,5,30,36,38,23,13,166
参加したいスポーツ活動,上達したことが分かる,362,310,215,110,64,50,76,9,5,8,4,7,4,16,34,31,9,12,5,16,12,5,35,33,53,25,6,52
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,167,113,50,38,22,31,7,5,7,10,6,4,6,10,13,4,2,5,4,7,6,10,17,14,33,4,36
参加したいスポーツ活動,好きな種目を選べる,468,388,282,140,78,61,80,7,3,7,5,6,2,11,54,42,11,9,8,20,15,6,44,42,46,36,17,80
参加したいスポーツ活動,やったことがないスポーツを試せる,138,122,87,53,31,25,36,5,2,8,10,5,4,11,19,11,7,4,5,7,7,2,14,15,19,13,5,16
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,287,218,102,65,42,68,4,4,2,7,4,5,16,27,30,4,5,6,12,9,2,25,26,32,16,9,68
参加したいスポーツ活動,有名な選手に会える,85,72,54,28,14,20,21,4,2,4,4,3,0,7,13,9,5,1,3,2,3,2,10,12,13,7,3,13
参加したいスポーツ活動,親子で一緒に参加ができる,149,122,84,38,23,23,44,3,3,5,6,2,4,12,20,18,5,3,4,8,4,2,20,12,37,9,1,27
参加したいスポーツ活動,新しい友達をつくることができる,263,221,159,81,51,36,60,4,2,4,2,4,0,12,32,27,6,7,2,14,10,3,24,31,38,18,7,42
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,107,87,34,19,16,16,3,2,5,4,2,2,4,8,13,4,5,3,3,4,1,14,17,11,6,2,23
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,282,210,101,54,42,71,1,1,1,1,1,2,11,38,26,4,9,2,6,8,1,27,23,47,22,11,83
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,252,202,91,35,22,36,0,1,0,0,1,0,9,14,16,4,4,3,5,4,0,20,22,27,15,15,74
参加したいスポーツ活動,その他,63,33,21,12,3,2,6,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,3,3,1,2,8,30
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,274,236,45,18,8,9,1,1,1,1,0,0,0,2,2,0,0,1,1,3,0,3,6,3,3,4,635
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,344,288,98,55,40,60,5,7,8,6,6,3,13,18,18,5,3,3,12,10,5,18,27,26,15,8,0
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,375,308,124,60,34,55,5,5,7,11,6,3,13,13,17,3,7,2,11,14,6,17,27,18,14,7,0
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,360,271,124,63,32,70,2,7,4,3,2,2,19,36,22,2,5,3,8,8,2,18,18,39,20,11,0
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,274,190,90,68,38,64,8,7,10,8,7,2,14,21,18,5,5,5,7,10,5,19,21,29,13,6,0
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,463,349,151,79,46,108,5,6,6,4,6,4,30,36,35,5,6,3,13,8,4,29,30,64,27,10,0
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,120,77,36,27,19,26,10,4,5,8,5,4,10,10,10,3,4,5,6,9,6,13,8,13,8,3,0
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,232,172,79,51,22,47,5,4,6,4,4,2,12,21,15,4,5,3,7,6,4,12,24,22,14,4,0
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,138,103,52,24,17,33,3,4,4,3,3,2,10,9,10,4,3,2,4,8,2,11,11,17,9,4,0
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,109,73,42,25,14,22,9,3,8,8,4,3,8,11,9,3,3,2,5,8,4,11,12,11,7,4,0
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,280,221,99,46,24,36,3,4,7,6,4,1,8,14,15,4,4,4,4,6,3,21,24,13,9,9,0
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,136,94,43,20,28,39,1,3,3,4,1,2,8,26,15,2,7,5,10,5,0,17,20,19,12,8,0
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,172,130,73,46,25,33,6,6,4,5,4,0,8,18,15,4,4,6,11,13,2,21,23,20,9,8,0
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,314,236,126,63,33,71,2,4,2,3,4,2,21,28,21,7,7,4,10,11,1,26,29,35,18,13,0
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,89,65,48,22,10,11,3,1,5,2,2,1,3,3,7,1,2,0,4,2,2,8,8,5,6,3,0
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,258,207,107,53,17,34,3,1,4,3,2,3,7,9,14,1,5,2,6,4,0,18,21,15,16,9,0
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,331,251,115,50,43,77,2,3,1,2,2,1,19,54,32,5,13,4,10,12,2,34,32,47,25,19,0
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,291,223,108,49,40,62,4,5,3,3,2,0,16,31,33,4,8,4,10,7,0,25,24,44,23,13,0
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,157,116,63,28,22,33,2,2,3,2,0,1,12,22,17,2,5,1,6,3,0,16,17,26,14,7,0
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,356,256,134,81,43,80,1,3,1,1,1,0,20,43,29,8,8,3,12,9,0,30,25,54,20,17,0
スポーツ・運動の継続実施に必要なもの,その他,44,44,32,10,8,4,9,0,1,0,0,0,0,1,3,1,0,1,0,1,1,0,4,3,4,3,4,0
スポーツ・運動の継続実施に必要なもの,特にない,362,362,309,70,33,12,29,0,0,0,0,0,0,1,14,8,2,1,1,7,5,0,16,19,8,6,4,0
スポーツ・運動の継続実施に必要なもの,わからない,247,247,203,48,20,12,12,1,1,0,1,0,0,1,9,6,1,0,0,2,2,0,4,8,11,8,7,0
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,245,201,68,30,24,31,3,4,5,4,7,2,5,9,6,1,2,1,6,8,4,14,12,10,8,5,0
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,228,182,57,36,18,28,4,3,4,5,4,2,6,3,6,2,5,2,3,7,3,8,13,8,5,2,0
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,321,237,97,52,24,60,5,2,5,6,4,0,14,25,16,5,3,1,7,7,2,15,15,29,15,11,0
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,159,103,53,34,23,34,6,2,5,6,6,2,10,13,4,3,2,3,3,8,4,9,13,16,7,2,0
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,340,258,109,54,36,84,7,2,6,3,4,2,21,37,21,3,4,3,10,5,5,20,20,53,18,9,0
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,65,45,14,9,10,16,2,2,4,1,1,1,3,4,6,0,0,1,3,1,1,3,2,6,3,1,0
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,142,96,36,25,15,32,4,2,5,3,3,1,8,10,7,3,1,3,0,1,2,6,7,10,5,2,0
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,75,51,24,17,6,15,2,1,2,2,2,0,1,5,2,0,4,0,3,3,2,6,6,7,3,2,0
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,54,34,13,10,7,13,3,4,1,5,3,4,2,8,3,2,2,3,1,3,1,3,4,4,2,1,0
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,186,146,55,30,14,31,0,1,7,5,2,1,4,7,10,4,1,1,2,3,1,14,12,9,6,3,0
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,85,61,22,8,14,24,1,2,2,0,2,0,4,6,7,2,4,0,6,7,3,11,9,10,8,2,0
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,102,80,35,19,8,16,4,2,3,6,2,2,2,10,4,2,1,4,4,3,0,9,10,7,6,9,0
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,245,199,80,42,21,45,5,3,0,2,2,3,11,15,17,6,5,5,10,5,2,22,21,19,16,8,0
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,50,35,19,13,3,7,2,1,5,4,1,1,1,0,7,0,1,1,1,2,2,6,2,1,4,2,0
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,146,115,54,26,10,11,4,1,2,4,2,3,2,5,7,1,3,3,4,2,3,7,8,4,7,5,0
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,197,156,47,25,31,28,1,3,1,1,1,1,7,31,15,1,7,2,7,4,1,13,16,20,7,10,0
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,164,130,52,25,22,30,2,2,1,2,1,1,8,18,18,1,3,1,5,6,0,15,13,27,14,5,0
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,47,34,10,3,5,10,1,0,1,3,0,2,2,3,7,0,1,1,0,0,0,3,6,7,3,0,0
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,303,223,103,57,40,73,0,0,0,0,0,0,12,34,19,6,6,3,10,6,0,27,19,54,15,12,0
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,23,16,5,3,0,6,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,4,1,1,0
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,396,329,84,49,18,31,0,0,0,1,0,0,2,17,12,1,1,0,8,8,0,16,20,8,10,7,0
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,249,199,51,15,12,14,1,1,0,1,0,0,2,10,7,2,1,0,1,1,0,3,9,8,6,10,0
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
