調査項目,回答,全体(人),男性(人),女性(人),無回答・その他(人)
デフリンピックに期待すること,日本人選手の活躍,724,392,313,19
デフリンピックに期待すること,外国人選手の活躍,183,93,86,4
デフリンピックに期待すること,国際交流の促進,291,157,122,12
デフリンピックに期待すること,大会記念グッズの展開,91,40,48,3
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,92,93,5
デフリンピックに期待すること,競技体験,104,61,41,2
デフリンピックに期待すること,大会への子供の参加,160,89,68,3
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,81,69,5
デフリンピックに期待すること,手話の普及と理解の促進,187,95,89,3
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,174,143,6
デフリンピックに期待すること,障害や障害者への理解の促進,593,350,234,9
デフリンピックに期待すること,その他,13,6,5,2
デフリンピックに期待すること,期待するものはない,1686,855,757,74
