調査項目,回答,全体(人),実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）をやったことがある(人),実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）をやったことがない(人),「やったことがない」のうち、やりたい(人),「やったことがない」のうち、やりたいと思わない(人)
情報入手先,友人,791,155,636,226,410
情報入手先,学校や職場、施設の人,564,132,432,183,249
情報入手先,ボランティア,76,34,42,27,15
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,42,164,52,112
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,58,309,77,232
情報入手先,テレビ,1551,176,1375,321,1054
情報入手先,ラジオ,314,42,272,73,199
情報入手先,新聞,466,35,431,80,351
情報入手先,雑誌,199,36,163,53,110
情報入手先,障害者団体の会合や機関誌,80,22,58,26,32
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,123,620,178,442
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,153,976,244,732
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,143,665,224,441
情報入手先,動画配信サービス（YouTubeなど）,718,137,581,224,357
情報入手先,行政の窓口,164,31,133,39,94
情報入手先,区市町村などの広報誌,272,28,244,65,179
情報入手先,その他,16,3,13,3,10
情報入手先,わからない,84,0,84,13,71
情報入手先,得ていない,181,0,181,16,165
デフリンピックの認知度,よく内容を知っている,187,77,110,72,38
デフリンピックの認知度,見たり聞いたりしたことがある,792,129,663,228,435
デフリンピックの認知度,知らない,2247,184,2063,438,1625
デフリンピックに期待すること,競技観戦,393,89,304,170,134
デフリンピックに期待すること,記録の更新,195,61,134,65,69
デフリンピックに期待すること,日本人選手の活躍,724,123,601,246,355
デフリンピックに期待すること,外国人選手の活躍,183,51,132,62,70
デフリンピックに期待すること,国際交流の促進,291,63,228,96,132
デフリンピックに期待すること,大会記念グッズの展開,91,34,57,37,20
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,54,136,60,76
デフリンピックに期待すること,競技体験,104,31,73,44,29
デフリンピックに期待すること,大会への子供の参加,160,39,121,71,50
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,50,105,50,55
デフリンピックに期待すること,手話の普及と理解の促進,187,42,145,65,80
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,66,257,118,139
デフリンピックに期待すること,障害や障害者への理解の促進,593,93,500,190,310
デフリンピックに期待すること,その他,13,0,13,6,7
デフリンピックに期待すること,期待するものはない,1686,104,1582,217,1365
