調査項目,回答,全体(人),参加していて、体育が好きである(人),参加しているが、体育は好きではない(人),参加していない(人),わからない(人)
情報入手先,その他,1,1,0,0,0
情報入手先,わからない,11,5,2,0,4
情報入手先,得ていない,17,4,2,3,8
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,146,103,35,7,1
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,143,85,47,10,1
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,215,131,65,16,3
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,76,36,32,7,1
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,174,88,40,15,31
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,324,185,103,26,10
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,154,75,36,16,27
デフリンピックの認知度,よく内容を知っている,51,43,6,1,1
デフリンピックの認知度,見たり聞いたりしたことがある,124,68,44,8,4
デフリンピックの認知度,知らない,329,168,96,33,32
デフリンピックに期待すること,競技観戦,99,76,17,4,2
デフリンピックに期待すること,記録の更新,40,29,8,1,2
デフリンピックに期待すること,日本人選手の活躍,129,73,39,11,6
デフリンピックに期待すること,外国人選手の活躍,33,19,9,5,0
デフリンピックに期待すること,国際交流の促進,56,38,12,3,3
デフリンピックに期待すること,大会記念グッズの展開,24,22,2,0,0
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,42,27,10,4,1
デフリンピックに期待すること,競技体験,35,29,5,1,0
デフリンピックに期待すること,大会への子供の参加,55,42,10,2,1
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,33,24,8,1,0
デフリンピックに期待すること,手話の普及と理解の促進,32,24,7,1,0
デフリンピックに期待すること,デフスポーツの普及と理解の促進,60,44,15,1,0
デフリンピックに期待すること,障害や障害者への理解の促進,99,64,25,6,4
デフリンピックに期待すること,その他,2,2,0,0,0
デフリンピックに期待すること,期待するものはない,178,85,47,20,26
