調査項目,回答,全体(人),一人(人),家族(人),福祉施設の職員・仲間(人),障害がある人のサークル・障害者スポーツサークル等の仲間(人),障害がある人やない人など様々な人がいるサークルの仲間(人),スポーツ教室の指導者・仲間(人),障害者専用スポーツ施設の職員・仲間(人),地域の公共スポーツ施設の職員・仲間(人),ボランティアの人たち(人),学校の先生や学校の友達(人),児童通所サービス（放課後等デイサービス等）の職員・仲間(人),その他の友人・知人(人),その他(人),わからない(人)
参加したいスポーツ活動,親子で一緒に参加ができる,122,30,93,20,18,14,18,13,13,13,28,27,14,2,0
参加したいスポーツ活動,新しい友達をつくることができる,221,107,101,28,17,21,35,12,14,13,43,23,41,1,0
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,107,62,52,9,7,14,14,5,7,6,12,6,20,4,1
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,282,148,127,27,16,24,38,10,9,15,44,32,41,8,0
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,252,160,98,23,12,9,17,8,2,4,19,19,33,13,1
参加したいスポーツ活動,その他,33,19,9,3,1,1,3,1,1,1,3,1,5,4,3
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,274,179,64,6,1,2,3,1,0,2,2,2,5,2,28
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,189,146,40,27,28,32,12,9,18,24,12,30,3,0
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,206,158,58,26,29,33,15,13,24,19,14,28,6,1
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,170,155,65,28,27,41,19,10,24,36,28,32,11,1
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,112,119,41,27,39,28,31,16,20,32,24,16,6,0
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,210,228,63,35,30,56,26,8,26,58,49,32,12,2
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,33,61,26,14,20,23,18,8,10,14,8,4,6,0
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,109,106,33,23,30,30,16,14,21,19,22,16,7,0
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,69,66,21,14,13,9,11,12,7,13,13,13,5,0
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,49,39,21,15,18,13,18,10,12,11,9,6,6,0
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,164,111,38,11,24,27,13,12,17,18,15,22,16,1
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,63,57,12,19,19,24,10,10,9,25,6,26,1,0
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,102,72,23,15,13,18,9,11,13,27,11,26,2,1
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,184,126,38,19,25,39,16,10,14,38,28,30,13,0
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,54,39,9,3,10,8,5,3,5,6,7,12,4,1
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,160,125,30,9,12,11,10,5,8,19,16,25,14,0
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,165,145,27,15,28,53,11,15,12,54,26,65,8,2
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,152,136,36,22,26,33,13,9,15,55,32,31,9,1
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,83,76,19,11,17,22,6,6,10,36,18,24,4,2
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,184,157,35,17,21,54,15,11,13,57,39,41,16,1
スポーツ・運動の継続実施に必要なもの,その他,44,33,15,2,1,1,3,1,0,1,5,2,4,0,0
スポーツ・運動の継続実施に必要なもの,特にない,362,247,104,8,3,6,8,0,1,0,10,4,22,2,11
スポーツ・運動の継続実施に必要なもの,わからない,247,154,76,7,1,2,4,0,0,0,7,5,7,5,24
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,128,112,26,16,14,12,6,7,11,10,3,15,1,0
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,127,98,27,17,18,16,6,6,14,10,3,12,3,0
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,145,138,54,22,19,31,12,10,18,33,20,21,10,1
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,56,61,30,22,23,16,19,9,7,18,13,6,1,1
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,137,166,37,21,20,40,18,14,16,50,41,22,5,0
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,16,26,14,9,8,9,8,2,4,8,4,2,2,0
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,63,57,18,13,14,13,9,8,6,13,9,6,3,0
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,39,32,12,6,9,6,6,2,7,4,2,7,1,0
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,22,16,9,6,8,5,7,7,5,6,3,0,1,0
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,97,74,25,7,10,14,10,6,8,13,7,18,7,0
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,47,38,4,7,5,13,3,4,4,12,3,11,0,0
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,64,30,6,6,10,8,2,4,5,11,2,23,1,1
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,158,86,17,13,10,23,8,7,2,19,16,26,6,1
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,32,17,6,1,7,5,5,2,2,4,3,1,2,0
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,88,66,20,5,6,7,5,5,3,4,6,11,3,1
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,103,79,17,8,17,25,4,4,7,23,10,32,3,1
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,76,69,18,12,13,16,7,4,4,27,14,11,3,0
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,23,18,3,2,3,4,1,2,2,8,1,7,1,1
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,154,137,29,11,14,43,12,7,9,49,40,38,13,0
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,14,11,2,0,0,1,0,0,0,3,2,0,2,0
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,275,108,12,3,3,10,0,2,1,14,4,22,6,7
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,146,79,10,1,5,8,0,1,1,6,5,9,3,28
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,会場までの送迎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,特にない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツ以外に関心のある事,旅行,954,590,399,58,37,44,73,16,20,27,60,32,93,14,3
スポーツ以外に関心のある事,グルメ・食べ歩き,904,528,397,76,33,38,62,18,20,25,70,32,86,16,2
スポーツ以外に関心のある事,買い物・ショッピング,623,377,251,53,27,35,41,13,16,16,41,18,59,11,1
スポーツ以外に関心のある事,テレビ視聴,733,418,292,67,36,39,60,23,18,21,61,39,60,8,2
スポーツ以外に関心のある事,動画配信サービス視聴,674,393,253,47,25,39,64,17,17,16,96,52,72,15,1
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,362,235,114,33,24,21,28,16,9,10,35,6,31,9,1
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,397,270,118,27,11,20,28,8,9,7,34,1,40,10,2
スポーツ以外に関心のある事,インターネット閲覧,681,443,220,50,25,28,55,16,17,15,53,19,59,14,3
スポーツ以外に関心のある事,映画鑑賞,565,376,187,40,25,24,42,15,14,16,40,12,58,13,0
スポーツ以外に関心のある事,読書,429,308,132,34,16,22,37,14,9,14,26,10,35,11,1
スポーツ以外に関心のある事,アニメ／漫画,429,252,162,32,26,22,43,12,12,12,58,21,46,9,3
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,454,231,182,38,26,32,57,21,22,13,78,38,47,8,2
スポーツ以外に関心のある事,写真の撮影,244,160,87,22,14,11,21,11,6,8,25,16,38,5,0
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,283,141,124,27,21,26,38,17,15,10,53,31,44,4,0
スポーツ以外に関心のある事,美術鑑賞,238,175,74,16,10,12,20,7,8,6,11,3,33,3,0
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,254,180,81,17,11,16,24,7,8,6,13,5,28,4,2
スポーツ以外に関心のある事,演劇・舞踏鑑賞,135,92,41,13,9,8,23,8,7,6,9,2,17,3,0
スポーツ以外に関心のある事,カラオケ,245,139,89,22,17,17,29,7,7,5,28,13,35,4,2
スポーツ以外に関心のある事,楽器の演奏,121,73,43,12,8,12,16,6,3,6,14,6,15,1,1
スポーツ以外に関心のある事,料理・菓子作り,222,136,88,15,11,15,19,6,9,8,28,12,29,7,1
スポーツ以外に関心のある事,園芸・ガーデニング,145,90,62,14,9,12,12,6,5,5,6,6,17,5,0
スポーツ以外に関心のある事,日曜大工,63,45,13,9,6,8,5,5,3,3,1,0,13,0,0
スポーツ以外に関心のある事,編み物・手芸,79,56,28,4,5,7,6,4,3,2,4,2,11,2,0
スポーツ以外に関心のある事,和裁・洋裁,33,24,13,1,1,4,1,2,0,1,2,2,6,0,1
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,29,15,11,6,5,6,5,3,2,3,7,3,4,0,0
スポーツ以外に関心のある事,ギャンブル,62,49,10,4,0,2,0,1,0,0,1,0,8,1,1
スポーツ以外に関心のある事,その他,77,53,34,6,2,2,7,0,2,1,4,5,14,5,1
スポーツ以外に関心のある事,特にない,98,48,22,4,1,0,1,0,0,0,2,1,1,2,27
情報入手先,家族,1018,485,545,87,48,43,89,21,20,23,109,56,71,17,5
情報入手先,友人,611,339,261,54,32,36,75,13,18,21,80,24,90,9,2
情報入手先,学校や職場、施設の人,437,180,217,56,31,28,57,18,17,17,98,51,44,8,2
情報入手先,ボランティア,71,24,39,24,13,16,13,9,10,13,7,4,0,0,0
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,133,43,51,39,26,27,16,19,13,16,9,5,4,5,1
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,259,141,98,47,19,19,25,17,11,15,14,13,11,14,0
情報入手先,テレビ,978,597,376,67,30,42,73,21,20,17,62,40,82,20,5
情報入手先,ラジオ,220,152,68,19,15,18,16,11,7,11,6,2,11,3,1
情報入手先,新聞,311,212,101,35,12,16,17,16,9,8,9,4,23,6,1
情報入手先,雑誌,156,106,51,13,9,16,16,8,8,5,7,3,15,2,0
情報入手先,障害者団体の会合や機関誌,63,18,26,7,11,11,16,10,10,8,4,3,3,1,0
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,538,389,165,31,14,22,36,10,15,12,29,13,62,12,1
情報入手先,インターネットのニュースサイトやニュースアプリ,774,555,233,43,23,29,52,20,16,14,38,13,68,20,3
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,604,417,184,31,16,28,39,13,13,11,43,8,66,14,2
情報入手先,動画配信サービス（YouTubeなど）,527,326,192,28,17,20,50,12,11,11,73,38,66,11,2
情報入手先,行政の窓口,122,83,48,18,7,5,9,4,5,6,7,5,10,7,2
情報入手先,区市町村などの広報誌,195,151,65,19,9,9,12,6,6,4,5,4,21,6,0
情報入手先,その他,6,4,1,0,0,0,0,0,0,0,1,1,0,1,0
情報入手先,わからない,41,19,7,0,0,1,0,0,0,0,0,2,2,1,12
情報入手先,得ていない,62,33,12,4,0,0,1,0,0,1,2,3,2,0,15
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,449,222,211,46,35,35,45,20,18,18,56,24,44,2,1
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,332,137,155,43,32,39,42,25,21,19,46,24,37,5,0
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,582,284,237,54,42,57,71,26,23,24,79,41,62,8,1
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,211,91,79,28,15,23,26,11,8,8,33,8,19,3,1
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,1114,677,356,80,17,23,56,15,10,16,46,33,55,26,38
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1107,560,445,107,69,82,94,45,33,39,94,57,77,20,5
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,931,549,293,58,17,19,47,12,12,13,41,28,52,15,35
デフリンピックの認知度,よく内容を知っている,169,58,69,28,26,37,26,17,13,14,15,4,14,0,0
デフリンピックの認知度,見たり聞いたりしたことがある,596,313,228,58,36,37,48,24,21,20,37,19,48,7,4
デフリンピックの認知度,知らない,1326,762,465,88,29,33,77,20,14,20,98,63,75,28,36
デフリンピックに期待すること,競技観戦,321,171,144,41,22,24,34,15,11,18,38,14,31,4,1
デフリンピックに期待すること,記録の更新,169,94,69,31,15,19,11,10,8,11,14,3,10,0,0
デフリンピックに期待すること,日本人選手の活躍,585,329,225,59,31,37,52,26,19,20,48,16,47,10,1
デフリンピックに期待すること,外国人選手の活躍,160,93,66,17,7,15,18,8,6,7,14,6,17,1,1
デフリンピックに期待すること,国際交流の促進,245,141,107,28,18,19,29,11,8,13,23,9,14,4,0
デフリンピックに期待すること,大会記念グッズの展開,84,36,34,18,14,16,18,10,12,9,10,4,3,1,1
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,159,82,58,21,14,18,18,15,12,12,20,6,12,2,1
デフリンピックに期待すること,競技体験,92,45,48,15,9,11,15,7,6,6,13,11,11,0,0
デフリンピックに期待すること,大会への子供の参加,130,62,68,14,17,17,26,12,10,14,27,15,10,1,0
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,132,76,48,17,8,12,23,10,14,12,14,3,12,2,0
デフリンピックに期待すること,手話の普及と理解の促進,161,94,65,9,11,18,17,15,8,8,17,9,18,4,0
デフリンピックに期待すること,デフスポーツの普及と理解の促進,261,159,105,21,14,14,30,14,11,9,26,14,30,7,2
デフリンピックに期待すること,障害や障害者への理解の促進,456,277,187,44,18,25,36,14,7,12,48,26,37,12,4
デフリンピックに期待すること,その他,9,5,6,1,1,1,0,0,0,0,0,0,1,0,0
デフリンピックに期待すること,期待するものはない,851,504,277,49,17,19,33,7,6,9,34,33,57,13,33
