調査項目,回答,　全体(人),7-17歳(人),18-19歳(人),20-29歳(人),30-39歳(人),40-49歳(人),50-59歳(人),60-69歳(人),70-120歳(人),18歳以上(人)
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,12,2,9,13,15,21,28,46,134
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,46,4,24,26,24,27,24,22,151
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,53,3,20,21,17,18,11,21,111
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,16,1,5,7,3,7,2,6,31
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,95,1,23,25,34,39,31,55,208
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,5,0,2,3,3,8,1,1,18
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,34,0,26,39,57,94,73,73,362
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,32,1,24,29,42,49,37,35,217
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,9,0,2,5,4,4,2,5,22
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,5,0,1,3,3,6,5,9,27
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,16,1,8,9,5,9,19,28,79
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,9,0,1,1,3,7,8,6,26
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,25,1,10,8,6,17,12,33,87
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,5,0,3,1,2,2,4,12,24
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,8,1,4,3,3,6,4,9,30
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,6,0,1,1,0,1,2,2,7
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,2,0,0,1,1,0,0,1,3
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,4,0,3,6,4,8,14,26,61
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,4,0,1,1,0,1,2,0,5
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,1,0,2,1,1,5,4,3,16
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,4,0,2,6,6,13,7,8,42
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,2,0,1,0,0,1,3,2,7
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,3,0,5,3,3,8,14,21,54
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,13,1,7,6,6,5,4,7,36
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,15,1,7,4,7,8,10,13,50
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,3,1,1,2,2,2,1,1,10
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,16,1,13,3,5,11,12,26,71
スポーツを始めるきっかけとして必要な支援,その他,23,0,0,3,0,3,4,4,9,23
スポーツを始めるきっかけとして必要な支援,特にない,385,24,1,25,29,33,87,64,122,361
スポーツを始めるきっかけとして必要な支援,わからない,354,40,5,23,39,36,75,41,95,314
スポーツ以外に関心のある事,旅行,1225,160,12,95,130,155,253,211,209,1065
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,166,17,99,144,165,242,167,182,1016
スポーツ以外に関心のある事,買い物・ショッピング,840,89,10,87,111,129,173,119,122,751
スポーツ以外に関心のある事,テレビ視聴,1133,164,9,68,92,106,185,193,316,969
スポーツ以外に関心のある事,動画配信サービス視聴,912,236,13,104,112,128,150,126,43,676
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,87,11,50,67,77,90,68,31,394
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,70,15,71,92,92,108,67,13,458
スポーツ以外に関心のある事,インターネット閲覧,957,138,10,89,115,151,211,146,97,819
スポーツ以外に関心のある事,映画鑑賞,765,94,6,52,91,103,173,137,109,671
スポーツ以外に関心のある事,読書,563,49,3,24,54,87,116,116,114,514
スポーツ以外に関心のある事,アニメ／漫画,592,157,13,73,104,100,100,40,5,435
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,190,14,81,90,87,80,49,24,425
スポーツ以外に関心のある事,写真の撮影,289,64,4,30,39,39,50,35,28,225
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,111,6,34,51,45,49,34,17,236
スポーツ以外に関心のある事,美術鑑賞,293,20,1,24,29,45,59,53,62,273
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,29,3,41,46,52,80,48,51,321
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,16,2,13,17,26,47,26,31,162
スポーツ以外に関心のある事,カラオケ,330,59,8,39,62,43,56,32,31,271
スポーツ以外に関心のある事,楽器の演奏,161,33,3,9,20,23,33,25,15,128
スポーツ以外に関心のある事,料理・菓子作り,284,52,3,21,35,48,53,38,34,232
スポーツ以外に関心のある事,園芸・ガーデニング,189,11,2,6,14,21,29,35,71,178
スポーツ以外に関心のある事,日曜大工,75,8,1,1,7,11,15,18,14,67
スポーツ以外に関心のある事,編み物・手芸,123,9,1,16,32,13,13,14,25,114
スポーツ以外に関心のある事,和裁・洋裁,46,3,1,4,4,5,7,10,12,43
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,11,1,2,8,4,2,1,4,22
スポーツ以外に関心のある事,ギャンブル,103,0,2,7,10,22,32,12,18,103
スポーツ以外に関心のある事,その他,134,12,1,11,11,15,25,26,33,122
スポーツ以外に関心のある事,特にない,322,45,1,29,22,33,60,36,96,277
情報入手先,家族,1446,330,15,123,143,143,190,177,325,1116
情報入手先,友人,791,196,10,66,88,90,116,95,130,595
情報入手先,学校や職場、施設の人,564,228,9,50,70,65,63,48,31,336
情報入手先,ボランティア,76,23,1,5,18,11,9,2,7,53
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,28,2,14,23,19,20,21,79,178
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,37,2,22,38,36,59,68,105,330
情報入手先,テレビ,1551,174,14,91,116,151,278,275,452,1377
情報入手先,ラジオ,314,17,1,16,30,45,65,49,91,297
情報入手先,新聞,466,17,2,15,22,28,64,88,230,449
情報入手先,雑誌,199,17,1,12,20,32,40,33,44,182
情報入手先,障害者団体の会合や機関誌,80,13,0,8,18,12,8,10,11,67
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,79,8,62,104,123,181,130,56,664
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,110,8,100,115,157,288,225,126,1019
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,102,19,100,139,150,175,92,31,706
情報入手先,動画配信サービス（YouTubeなど）,718,174,12,70,87,98,137,104,36,544
情報入手先,行政の窓口,164,14,1,8,15,29,38,32,27,150
情報入手先,区市町村などの広報誌,272,11,1,7,16,41,59,69,68,261
情報入手先,その他,16,1,0,0,2,3,2,2,6,15
情報入手先,わからない,84,13,1,9,13,12,15,8,13,71
情報入手先,得ていない,181,25,0,23,21,19,34,21,38,156
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,515,140,9,75,80,79,75,32,25,375
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,390,136,8,56,68,50,35,21,16,254
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,758,211,18,103,125,96,100,70,35,547
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,257,72,6,46,37,37,33,18,8,185
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,2004,191,10,110,149,203,406,346,589,1813
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,316,21,154,192,196,223,159,170,1115
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,166,10,107,132,177,359,294,488,1567
デフリンピックの認知度,よく内容を知っている,187,48,1,19,35,27,26,14,17,139
デフリンピックの認知度,見たり聞いたりしたことがある,792,115,9,84,79,92,146,119,148,677
デフリンピックの認知度,知らない,2247,344,23,170,222,258,416,321,493,1903
デフリンピックに期待すること,競技観戦,393,91,4,41,51,44,54,49,59,302
デフリンピックに期待すること,記録の更新,195,38,0,14,26,28,34,24,31,157
デフリンピックに期待すること,日本人選手の活躍,724,125,6,65,70,85,122,114,137,599
デフリンピックに期待すること,外国人選手の活躍,183,31,3,12,23,25,35,26,28,152
デフリンピックに期待すること,国際交流の促進,291,53,3,25,31,33,52,53,41,238
デフリンピックに期待すること,大会記念グッズの展開,91,22,0,10,17,8,18,8,8,69
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,39,2,19,24,28,29,32,17,151
デフリンピックに期待すること,競技体験,104,33,0,9,17,16,11,10,8,71
デフリンピックに期待すること,大会への子供の参加,160,58,1,14,24,16,17,11,19,102
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,33,1,10,27,19,25,23,17,122
デフリンピックに期待すること,手話の普及と理解の促進,187,30,2,19,22,27,37,31,19,157
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,60,4,26,37,38,64,51,43,263
デフリンピックに期待すること,障害や障害者への理解の促進,593,102,10,53,62,77,112,94,83,491
デフリンピックに期待すること,その他,13,2,0,0,0,1,4,1,5,11
デフリンピックに期待すること,期待するものはない,1686,191,11,125,174,191,334,246,414,1495
