調査項目,回答,全体(人),現地の会場で対面での参加(人),リモート参加(人),ハイブリッド（現地参加とリモート参加の両方から選択できる）(人),参加したいと思わない(人)
情報入手先,障害者団体の会合や機関誌,80,27,7,17,29
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,274,28,64,377
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,380,33,94,622
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,309,27,84,388
情報入手先,動画配信サービス（YouTubeなど）,718,308,21,72,317
情報入手先,行政の窓口,164,59,5,22,78
情報入手先,区市町村などの広報誌,272,111,8,28,125
情報入手先,その他,16,4,0,1,11
情報入手先,わからない,84,8,1,2,73
情報入手先,得ていない,181,16,3,5,157
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,515,275,35,56,149
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,390,200,40,54,96
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,758,357,36,85,280
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,257,124,15,31,87
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,2004,518,41,97,1348
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,689,104,162,476
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,355,29,74,1275
デフリンピックの認知度,よく内容を知っている,187,110,29,23,25
デフリンピックの認知度,見たり聞いたりしたことがある,792,322,61,97,312
デフリンピックの認知度,知らない,2247,651,44,121,1431
デフリンピックに期待すること,競技観戦,393,215,41,53,84
デフリンピックに期待すること,記録の更新,195,91,25,25,54
デフリンピックに期待すること,日本人選手の活躍,724,345,40,90,249
デフリンピックに期待すること,外国人選手の活躍,183,83,17,34,49
デフリンピックに期待すること,国際交流の促進,291,146,20,44,81
デフリンピックに期待すること,大会記念グッズの展開,91,49,11,16,15
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,82,13,36,59
デフリンピックに期待すること,競技体験,104,66,9,14,15
デフリンピックに期待すること,大会への子供の参加,160,91,11,22,36
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,76,12,26,41
デフリンピックに期待すること,手話の普及と理解の促進,187,89,11,32,55
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,175,12,46,90
デフリンピックに期待すること,障害や障害者への理解の促進,593,270,22,81,220
デフリンピックに期待すること,その他,13,5,0,2,6
デフリンピックに期待すること,期待するものはない,1686,349,21,60,1256
