調査項目,回答,全体(人),指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）をやったことがある(人),指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）をやったことがない(人),「やったことがない」のうち、やりたい(人),「やったことがない」のうち、やりたいと思わない(人)
スポーツ以外に関心のある事,日曜大工,75,8,67,25,42
スポーツ以外に関心のある事,編み物・手芸,123,14,109,41,68
スポーツ以外に関心のある事,和裁・洋裁,46,8,38,11,27
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,8,25,13,12
スポーツ以外に関心のある事,ギャンブル,103,5,98,35,63
スポーツ以外に関心のある事,その他,134,5,129,27,102
スポーツ以外に関心のある事,特にない,322,4,318,19,299
情報入手先,家族,1446,131,1315,403,912
情報入手先,友人,791,92,699,249,450
情報入手先,学校や職場、施設の人,564,74,490,195,295
情報入手先,ボランティア,76,11,65,44,21
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,23,183,84,99
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,34,333,106,227
情報入手先,テレビ,1551,125,1426,368,1058
情報入手先,ラジオ,314,27,287,84,203
情報入手先,新聞,466,22,444,105,339
情報入手先,雑誌,199,27,172,65,107
情報入手先,障害者団体の会合や機関誌,80,11,69,35,34
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,82,661,222,439
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,118,1011,300,711
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,107,701,258,443
情報入手先,動画配信サービス（YouTubeなど）,718,97,621,232,389
情報入手先,行政の窓口,164,21,143,54,89
情報入手先,区市町村などの広報誌,272,17,255,70,185
情報入手先,その他,16,0,16,5,11
情報入手先,わからない,84,2,82,10,72
情報入手先,得ていない,181,1,180,17,163
デフリンピックの認知度,よく内容を知っている,187,37,150,102,48
デフリンピックの認知度,見たり聞いたりしたことがある,792,85,707,258,449
デフリンピックの認知度,知らない,2247,135,2112,481,1631
デフリンピックに期待すること,競技観戦,393,52,341,191,150
デフリンピックに期待すること,記録の更新,195,32,163,91,72
デフリンピックに期待すること,日本人選手の活躍,724,87,637,283,354
デフリンピックに期待すること,外国人選手の活躍,183,29,154,79,75
デフリンピックに期待すること,国際交流の促進,291,35,256,121,135
デフリンピックに期待すること,大会記念グッズの展開,91,16,75,48,27
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,31,159,83,76
デフリンピックに期待すること,競技体験,104,19,85,53,32
デフリンピックに期待すること,大会への子供の参加,160,27,133,70,63
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,32,123,64,59
デフリンピックに期待すること,手話の普及と理解の促進,187,31,156,75,81
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,46,277,120,157
デフリンピックに期待すること,障害や障害者への理解の促進,593,69,524,207,317
デフリンピックに期待すること,その他,13,0,13,3,10
デフリンピックに期待すること,期待するものはない,1686,76,1610,248,1362
