調査項目,回答,全体(人),競技観戦(人),記録の更新(人),日本人選手の活躍(人),外国人選手の活躍(人),国際交流の促進(人),大会記念グッズの展開(人),日本東京の観光、伝統文化や食などの海外発信(人),競技体験(人),大会への子供の参加(人),デジタル技術を活用したコミュニケーション(人),手話の普及と理解の促進(人),デフスポーツの普及と理解の促進(人),障害や障害者への理解の促進(人),その他(人),期待するものはない(人)
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,2,0,4,2,1,0,1,1,2,0,0,0,3,0,3
学校体育に参加しない理由,自分にはできないと思ったから,12,0,1,3,2,1,0,1,0,0,1,0,0,1,0,5
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,3,0,4,1,0,0,2,1,1,0,0,1,1,0,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,1,0,1,2,0,0,1,1,1,0,0,0,1,0,1
学校体育に参加しない理由,身体を動かすことが怖いから,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
学校体育に参加しない理由,その他,12,0,0,3,0,1,0,0,0,0,0,1,0,3,0,7
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,215,91,345,83,146,49,82,66,91,76,89,175,270,5,349
スポーツ・運動の参加方法,リモート参加,134,41,25,40,17,20,11,13,9,11,12,11,12,22,0,21
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,53,25,90,34,44,16,36,14,22,26,32,46,81,2,60
スポーツ・運動の参加方法,参加したいと思わない,1768,84,54,249,49,81,15,59,15,36,41,55,90,220,6,1256
参加したいスポーツ活動,ルールが簡単,891,208,91,292,79,128,39,73,63,70,66,84,147,243,4,315
参加したいスポーツ活動,自分のペースに合わせてできる,1507,251,126,462,123,199,43,111,70,96,98,132,228,406,11,598
参加したいスポーツ活動,汗をかかない,151,27,25,46,18,20,18,21,13,15,16,17,27,32,1,57
参加したいスポーツ活動,自宅で実施できる,570,92,66,192,54,93,29,62,25,34,46,59,90,155,2,225
参加したいスポーツ活動,短い時間で実施できる,705,112,64,236,66,107,33,67,39,54,58,78,122,215,2,261
参加したいスポーツ活動,上達したことが分かる,362,92,44,131,48,78,32,43,37,40,47,61,87,110,2,98
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,39,26,75,24,35,24,34,18,22,33,28,41,67,0,49
参加したいスポーツ活動,好きな種目を選べる,468,101,50,189,53,86,31,67,44,63,61,78,111,159,2,140
参加したいスポーツ活動,やったことがないスポーツを試せる,138,46,21,62,24,33,20,34,20,21,26,26,40,60,0,19
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,64,34,112,36,62,26,48,26,44,41,51,79,132,1,111
参加したいスポーツ活動,有名な選手に会える,85,29,16,41,14,18,14,17,13,12,17,17,25,31,0,20
参加したいスポーツ活動,親子で一緒に参加ができる,149,36,14,44,10,23,15,20,19,32,18,19,31,54,0,36
参加したいスポーツ活動,新しい友達をつくることができる,263,72,30,97,30,60,20,38,27,35,29,49,68,100,3,74
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,31,16,47,21,37,16,24,16,23,23,27,39,62,1,33
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,74,32,133,46,73,18,45,32,39,40,62,99,151,2,106
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,39,28,108,38,60,16,39,27,35,31,49,80,145,2,121
参加したいスポーツ活動,その他,63,10,3,17,6,8,2,4,2,3,4,4,9,19,2,32
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,19,11,53,9,16,1,11,0,6,4,10,21,58,2,786
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,124,61,145,42,74,24,45,29,39,41,48,71,100,3,73
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,102,58,142,47,88,20,43,28,36,41,49,78,115,2,87
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,92,39,136,38,64,22,40,38,33,37,37,61,115,1,103
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,61,35,107,32,48,27,42,26,35,31,33,53,95,2,56
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,107,46,177,52,90,23,57,34,53,48,66,108,184,2,113
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,29,20,45,16,28,17,23,10,17,14,20,26,35,0,29
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,54,28,85,32,48,26,45,29,34,41,46,65,98,2,61
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,36,18,52,17,32,13,24,16,20,20,27,41,52,0,36
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,32,22,49,16,26,18,23,12,19,17,25,27,44,0,18
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,55,35,120,36,65,19,44,26,30,32,51,77,119,1,73
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,35,15,57,17,31,10,19,18,27,18,26,36,49,2,29
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,48,22,71,25,45,18,38,16,32,24,31,44,68,1,41
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,69,31,120,33,73,16,37,32,40,35,53,83,144,3,83
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,27,12,36,17,25,7,19,9,14,10,20,27,41,0,21
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,45,28,93,33,55,14,36,17,29,28,39,68,112,2,77
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,69,31,118,43,64,21,41,32,36,35,51,83,113,4,108
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,77,34,113,44,65,21,45,32,37,31,52,83,126,3,70
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,44,20,61,30,49,16,28,17,25,22,33,52,72,2,39
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,63,26,124,35,61,10,41,24,42,34,54,86,142,2,119
スポーツ・運動の継続実施に必要なもの,その他,44,5,2,11,6,4,0,2,1,4,2,3,5,14,3,21
スポーツ・運動の継続実施に必要なもの,特にない,362,27,13,65,17,11,2,8,3,5,9,15,24,50,3,236
スポーツ・運動の継続実施に必要なもの,わからない,247,5,10,27,7,8,3,9,3,5,6,7,9,24,0,188
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,85,40,90,25,36,16,21,18,21,17,22,34,51,0,64
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,71,37,89,27,47,12,24,14,20,22,24,35,54,0,43
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,74,38,115,32,52,15,33,22,22,23,33,46,94,1,88
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,37,21,71,21,32,15,21,16,19,17,15,26,48,2,21
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,70,38,117,33,55,16,44,19,36,26,37,78,122,2,81
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,10,2,28,7,8,5,4,2,3,4,11,8,13,0,13
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,24,15,46,18,20,14,18,18,12,20,18,30,43,2,26
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,14,11,28,7,15,10,11,10,7,7,5,13,14,0,22
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,10,6,15,6,9,6,11,6,7,12,10,6,9,0,8
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,32,16,63,16,39,10,21,16,13,21,27,44,67,0,53
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,25,9,38,11,20,7,8,10,12,10,8,20,22,1,14
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,19,11,32,13,15,6,13,8,14,15,17,21,35,0,29
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,47,20,84,17,42,14,25,17,27,22,29,48,94,1,68
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,10,8,15,7,6,6,7,3,6,3,5,3,13,0,16
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,22,15,49,13,27,10,21,8,13,20,22,29,45,0,50
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,33,14,62,18,29,10,17,15,17,17,14,28,50,0,74
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,33,17,58,15,22,8,14,10,18,16,12,38,52,1,51
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,7,2,15,6,6,3,6,1,7,7,4,10,14,1,15
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,51,23,111,35,53,9,32,22,36,27,41,69,120,1,93
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,2,1,6,1,4,0,3,0,3,2,4,4,7,1,11
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,24,16,72,20,17,8,17,5,8,11,13,24,56,2,255
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,10,5,27,7,8,1,2,3,3,4,9,10,19,2,193
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,7,1,10,0,3,0,1,1,3,3,2,2,10,0,10
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,7,3,10,3,3,1,0,1,2,0,1,3,6,0,12
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,17,8,28,3,6,2,9,2,6,2,3,9,16,0,46
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,6,2,8,0,3,1,3,3,3,2,1,7,9,0,15
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,15,7,34,5,10,1,6,5,6,5,8,16,24,0,54
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,3,2,6,1,2,0,1,1,1,2,1,5,5,1,17
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,5,1,14,3,5,0,3,1,4,5,1,5,11,0,11
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,0,0,3,0,2,0,1,0,1,0,2,1,4,0,7
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,2,1,0,0,1,0,2,0,1,0,0,0,1,0,1
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,8,4,16,2,10,0,7,0,4,5,6,7,14,0,36
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,0,0,1,0,0,0,0,1,0,0,0,1,5,0,3
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,3,0,5,1,1,0,0,1,0,0,0,3,4,0,8
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,6,3,11,1,6,1,3,2,3,1,2,7,15,1,21
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,0,0,3,2,3,0,0,0,1,0,0,1,3,0,4
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,9,3,12,2,5,1,4,1,3,1,1,8,15,0,28
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,6,1,14,2,3,0,0,3,0,3,0,6,15,0,24
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,11,1,17,2,5,1,4,1,5,3,4,8,22,1,23
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,3,1,3,2,1,1,1,1,1,1,0,2,6,0,5
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,11,2,20,2,11,0,5,2,4,3,6,12,28,1,38
スポーツを始めるきっかけとして必要な支援,その他,23,1,1,1,0,1,0,0,0,1,1,2,2,4,1,19
スポーツを始めるきっかけとして必要な支援,特にない,385,12,6,28,7,8,0,5,0,2,4,6,14,27,1,327
スポーツを始めるきっかけとして必要な支援,わからない,354,9,2,22,4,7,2,6,3,5,3,4,7,23,0,308
スポーツ以外に関心のある事,旅行,1225,212,100,375,95,168,42,103,62,79,94,111,192,306,7,511
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,199,101,354,96,149,38,94,60,77,87,104,180,292,5,514
スポーツ以外に関心のある事,買い物・ショッピング,840,132,77,255,79,108,34,77,49,52,63,89,128,213,3,381
スポーツ以外に関心のある事,テレビ視聴,1133,168,86,316,86,125,40,77,54,62,74,89,160,262,5,545
スポーツ以外に関心のある事,動画配信サービス視聴,912,125,72,236,80,109,35,69,51,56,74,81,146,242,4,420
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,75,51,155,55,73,28,56,26,39,50,60,77,145,2,194
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,85,52,163,62,78,21,52,25,35,46,57,92,147,3,237
スポーツ以外に関心のある事,インターネット閲覧,957,132,76,264,83,125,33,81,37,58,76,86,145,247,6,443
スポーツ以外に関心のある事,映画鑑賞,765,113,56,216,76,106,31,70,38,47,72,82,127,207,0,370
スポーツ以外に関心のある事,読書,563,90,48,169,61,92,23,51,32,47,62,68,99,169,2,243
スポーツ以外に関心のある事,アニメ／漫画,592,83,42,152,52,68,28,52,29,45,56,62,88,148,1,290
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,95,56,158,51,74,29,55,36,55,57,55,88,154,1,277
スポーツ以外に関心のある事,写真の撮影,289,53,30,102,43,53,20,45,25,32,34,44,61,88,3,110
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,64,29,106,41,48,22,32,25,37,38,53,66,111,1,145
スポーツ以外に関心のある事,美術鑑賞,293,48,27,87,36,47,16,34,17,26,32,49,62,100,1,125
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,61,36,109,45,52,20,42,28,28,36,50,70,106,1,157
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,38,19,55,27,31,10,19,12,15,19,29,40,55,0,75
スポーツ以外に関心のある事,カラオケ,330,53,30,106,39,47,18,35,25,27,30,37,58,94,1,146
スポーツ以外に関心のある事,楽器の演奏,161,34,17,44,23,21,10,19,16,20,18,21,30,39,2,66
スポーツ以外に関心のある事,料理・菓子作り,284,54,26,94,40,51,14,31,20,27,34,43,62,93,5,113
スポーツ以外に関心のある事,園芸・ガーデニング,189,29,17,68,29,35,13,20,12,16,19,23,37,48,3,80
スポーツ以外に関心のある事,日曜大工,75,18,12,31,11,12,9,11,8,12,11,11,14,19,1,27
スポーツ以外に関心のある事,編み物・手芸,123,23,10,43,22,22,9,15,9,14,15,18,27,43,1,43
スポーツ以外に関心のある事,和裁・洋裁,46,10,8,21,13,14,3,6,4,5,5,9,15,18,1,15
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,14,8,12,8,9,6,10,9,9,8,7,8,9,1,8
スポーツ以外に関心のある事,ギャンブル,103,13,7,24,10,7,3,5,3,2,6,6,11,20,0,66
スポーツ以外に関心のある事,その他,134,12,3,25,8,13,1,7,4,5,9,17,16,35,3,76
スポーツ以外に関心のある事,特にない,322,6,2,11,2,5,2,2,1,5,1,0,5,16,1,289
情報入手先,家族,1446,247,103,376,93,165,36,85,65,88,68,98,178,330,8,665
情報入手先,友人,791,150,80,267,72,111,28,66,45,57,62,70,123,202,3,311
情報入手先,学校や職場、施設の人,564,114,49,166,43,82,26,52,39,54,51,54,105,178,3,200
情報入手先,ボランティア,76,29,20,33,15,21,10,19,15,13,18,11,12,20,0,7
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,41,23,62,24,30,17,28,15,22,18,18,23,47,0,71
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,57,35,120,40,67,21,44,21,33,32,40,72,115,2,132
情報入手先,テレビ,1551,191,97,410,103,149,41,93,59,73,85,100,192,339,8,807
情報入手先,ラジオ,314,52,31,95,33,35,22,31,21,22,34,41,47,73,3,156
情報入手先,新聞,466,63,38,128,32,55,25,30,24,27,28,41,66,108,3,228
情報入手先,雑誌,199,36,20,64,21,32,13,26,16,17,25,29,33,61,1,78
情報入手先,障害者団体の会合や機関誌,80,24,13,28,14,19,12,18,9,15,14,14,23,34,0,16
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,87,58,213,71,105,22,63,32,44,71,80,135,220,6,347
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,130,76,299,86,117,32,82,37,65,87,90,164,277,2,571
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,114,61,229,78,107,30,65,30,51,66,81,122,220,3,375
情報入手先,動画配信サービス（YouTubeなど）,718,96,52,198,64,88,25,62,32,57,67,71,116,213,3,333
情報入手先,行政の窓口,164,33,19,57,20,37,13,25,16,19,23,26,41,68,1,61
情報入手先,区市町村などの広報誌,272,38,29,99,30,55,14,34,19,22,27,37,64,112,3,110
情報入手先,その他,16,1,0,3,1,1,0,1,0,1,0,2,0,6,0,8
情報入手先,わからない,84,2,1,5,2,2,2,3,2,1,2,2,4,5,0,72
情報入手先,得ていない,181,6,4,7,2,3,0,1,1,1,1,0,2,6,0,163
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,515,131,59,163,55,87,44,57,43,57,48,62,89,120,1,156
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,390,89,61,123,51,63,34,54,31,39,50,42,66,93,0,104
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,758,111,63,224,68,99,41,66,45,80,72,75,119,206,4,284
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,257,52,32,87,29,35,16,31,19,27,32,31,46,69,0,76
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,2004,159,71,360,76,125,23,77,38,53,53,82,154,317,9,1280
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,276,141,480,118,190,74,129,75,110,104,123,203,346,6,449
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,103,41,225,54,89,10,53,22,40,39,51,102,224,7,1217
デフリンピックの認知度,よく内容を知っている,187,78,46,61,27,43,33,32,21,31,29,29,35,28,1,19
デフリンピックの認知度,見たり聞いたりしたことがある,792,159,74,276,84,119,32,79,42,54,55,80,130,212,2,223
デフリンピックの認知度,知らない,2247,156,75,387,72,129,26,79,41,75,71,78,158,353,10,1444
