調査項目,回答,全体(人),ルールが簡単(人),自分のペースに合わせてできる(人),汗をかかない(人),自宅で実施できる(人),短い時間で実施できる(人),上達したことが分かる(人),ゲーム機を使い体を動かして行なうスポーツ・フィットネス等(人),好きな種目を選べる(人),やったことがないスポーツを試せる(人),予約や申し込みなしに、参加したいときに参加できる(人),有名な選手に会える(人),親子で一緒に参加ができる(人),新しい友達をつくることができる(人),スポーツ以外に芸術・文化的なパフォーマンスも楽しめる(人),失敗しても笑われたり恥ずかしい思いをしない(人),新しい道具やウェアを買わなくてよい(人),その他(人),どのようなスポーツや運動でも参加したいと思わない(人)
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,343,503,36,132,187,124,48,156,46,82,32,45,93,40,105,68,7,94
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,213,378,28,142,162,116,73,135,50,113,22,44,74,36,101,92,16,32
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,211,409,44,185,239,86,38,135,32,123,19,41,70,37,108,125,22,142
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,124,217,43,111,117,36,44,42,10,37,12,19,26,17,51,41,18,641
実施していない理由,医師に止められており、身体的にできない,127,11,25,9,19,16,6,2,4,0,6,1,0,2,4,7,8,4,77
実施していない理由,どのくらい体を動かしたらよいかわからない,74,20,34,7,23,22,7,6,12,3,8,1,4,6,2,10,10,2,19
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,26,39,2,12,24,12,5,18,8,12,3,6,10,4,10,15,5,10
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,19,28,2,15,17,7,4,11,3,11,1,4,3,5,7,13,2,5
実施していない理由,自分に合ったスポーツや運動の情報がない,89,32,57,3,21,29,13,8,15,2,15,1,7,9,7,22,18,4,14
実施していない理由,一緒にできる仲間がいない,96,33,49,5,17,28,13,10,26,6,22,3,8,19,2,24,16,3,21
実施していない理由,介助者がいない,93,27,45,3,26,24,11,7,18,5,17,0,10,6,10,18,16,4,28
実施していない理由,金銭的な余裕がない,117,29,52,7,30,38,14,9,20,9,22,4,3,16,5,22,33,5,36
実施していない理由,時間がない,90,25,41,4,20,29,8,2,12,2,18,1,3,2,1,12,18,2,24
実施していない理由,必要な競技用具や補助具がない,42,14,20,1,12,16,6,3,8,3,10,2,5,5,6,10,12,3,11
実施していない理由,その他,87,13,32,4,17,18,9,4,8,2,12,3,2,3,5,9,11,9,35
実施していない理由,活動したいと思わない,666,49,99,26,60,62,20,15,17,4,19,5,9,12,6,32,25,9,479
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,16,32,9,17,21,5,8,6,0,6,3,2,5,1,11,9,2,103
活動したいと思わない理由,スポーツ・運動に興味がないから,151,17,35,10,22,28,9,9,9,1,10,1,4,5,2,14,11,3,94
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,6,13,5,11,16,3,4,4,0,4,0,3,2,1,6,6,3,17
活動したいと思わない理由,疲れるから,163,15,35,14,25,28,9,7,8,3,10,1,5,7,2,16,13,4,100
活動したいと思わない理由,人前に出るのが好きではないから,57,7,16,2,11,16,5,7,4,1,4,0,4,3,1,8,8,3,31
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,4,8,2,8,8,3,5,3,0,3,0,3,2,1,4,3,1,10
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,4,7,0,5,6,3,3,2,0,2,0,2,2,1,4,3,2,6
活動したいと思わない理由,スポーツ以外に趣味があるから,64,3,15,5,9,11,5,8,5,0,1,1,3,4,4,6,4,1,36
活動したいと思わない理由,忙しいから,34,3,4,2,4,2,1,2,2,0,0,0,0,0,1,1,2,1,24
活動したいと思わない理由,その他,56,6,6,2,6,4,1,1,1,0,2,0,0,2,1,4,3,4,41
活動したいと思わない理由,わからない,216,13,16,3,6,7,3,0,3,1,3,0,3,0,0,4,1,2,178
学校体育の参加状況,参加していて、体育が好きである,279,152,176,11,29,53,82,29,83,44,52,23,56,69,22,67,38,6,9
学校体育の参加状況,参加しているが、体育は好きではない,146,67,85,6,18,31,27,26,36,6,16,6,12,15,9,33,11,1,10
学校体育の参加状況,参加していない,42,11,19,2,10,6,3,4,5,3,1,1,7,2,0,7,2,0,12
学校体育の参加状況,わからない,37,10,6,0,1,4,1,0,1,1,2,1,5,1,0,1,2,1,16
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,5,7,1,1,1,0,0,0,1,0,0,0,0,0,2,1,0,1
学校体育に参加しない理由,自分にはできないと思ったから,12,3,6,0,5,2,2,0,2,0,0,0,1,0,0,0,0,0,3
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,2,3,0,2,2,1,1,1,1,0,0,0,0,0,3,1,0,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,1
学校体育に参加しない理由,身体を動かすことが怖いから,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4
学校体育に参加しない理由,その他,12,4,7,0,2,2,0,3,2,0,1,1,7,2,0,4,0,0,3
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,508,745,43,173,277,236,87,279,89,193,51,94,185,73,213,146,22,14
スポーツ・運動の参加方法,リモート参加,134,52,57,20,48,41,17,10,15,6,13,3,9,7,3,10,12,2,5
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,98,152,15,70,95,37,40,66,24,52,8,24,37,23,45,43,5,1
スポーツ・運動の参加方法,参加したいと思わない,1768,233,553,73,279,292,72,66,108,19,97,23,22,34,31,97,125,34,889
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,202,234,23,84,102,72,34,80,35,56,23,29,59,35,61,39,7,13
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,179,263,30,105,127,71,38,86,32,67,19,29,58,34,73,55,7,16
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,191,264,31,105,130,75,36,111,34,81,21,38,66,40,89,72,5,10
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,121,170,23,72,100,74,41,83,30,73,21,42,52,27,75,59,8,5
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,225,346,26,122,182,123,57,147,58,107,32,68,94,51,138,103,10,11
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,58,76,20,35,49,39,26,36,16,27,14,23,21,13,29,21,4,1
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,115,165,19,68,92,62,41,81,30,76,15,34,53,39,79,62,8,5
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,64,104,9,41,55,40,27,67,24,41,12,24,35,24,54,38,4,2
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,47,61,16,28,35,29,27,41,21,37,11,24,26,17,32,28,6,1
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,111,216,15,98,120,58,29,93,33,74,24,24,49,36,75,79,5,8
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,73,96,7,20,42,52,18,65,30,37,19,18,42,23,44,27,3,2
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,82,134,15,46,72,50,28,78,34,59,21,25,51,25,55,54,3,1
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,152,244,12,84,126,80,36,125,44,104,29,42,79,43,115,105,10,5
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,46,69,8,38,39,27,17,42,18,30,11,15,22,22,34,31,3,1
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,117,192,22,127,120,57,34,83,22,76,10,27,43,35,82,89,7,6
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,169,248,16,83,109,93,42,124,47,77,33,38,107,36,117,77,12,8
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,162,229,11,73,104,85,39,108,50,75,29,42,98,35,112,68,9,3
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,94,119,7,40,60,50,22,57,32,42,16,28,64,24,65,42,5,3
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,173,291,16,86,132,110,33,134,49,109,26,52,88,35,141,113,12,6
スポーツ・運動の継続実施に必要なもの,その他,44,13,29,2,9,8,8,6,4,2,9,1,2,5,3,7,9,8,7
スポーツ・運動の継続実施に必要なもの,特にない,362,70,169,13,41,57,20,9,34,10,17,2,3,11,6,7,29,4,120
スポーツ・運動の継続実施に必要なもの,わからない,247,55,100,9,32,41,11,6,19,2,15,4,5,7,3,8,13,5,102
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,132,154,20,57,60,37,19,39,14,26,9,16,25,9,31,26,3,8
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,103,147,24,69,60,37,19,33,13,29,10,11,25,13,27,20,3,10
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,150,215,27,89,110,52,29,80,23,57,12,27,34,21,57,53,4,11
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,59,94,16,41,47,39,25,37,17,29,10,17,25,12,25,22,2,5
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,164,256,20,79,120,77,37,99,36,68,16,45,56,27,85,55,6,9
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,26,36,9,17,23,11,7,14,3,8,5,6,8,2,9,5,1,0
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,56,90,9,44,48,29,15,40,9,23,1,20,10,9,27,24,0,1
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,34,43,6,22,29,15,12,31,5,23,5,8,7,10,16,14,3,0
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,18,17,7,9,17,11,7,13,7,14,5,11,8,5,8,7,2,0
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,73,128,10,55,72,31,22,44,18,36,9,10,30,17,30,43,2,7
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,45,56,5,12,23,30,9,35,14,15,6,4,25,8,13,8,0,0
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,44,74,5,21,37,26,15,40,19,29,9,8,16,11,20,31,2,2
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,101,193,13,58,82,44,31,91,30,76,24,23,48,26,61,58,7,5
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,17,30,1,23,18,11,10,16,5,12,2,5,6,5,11,6,1,2
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,51,101,16,77,76,36,25,41,8,33,1,7,15,10,26,30,1,4
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,78,145,7,34,55,33,20,49,16,31,12,14,46,18,43,23,4,7
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,79,124,6,34,46,35,14,40,12,30,12,22,45,13,48,17,3,3
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,26,28,2,5,9,8,2,9,7,6,2,9,15,7,11,3,1,1
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,133,241,11,80,106,87,29,91,33,84,15,39,64,27,104,78,5,6
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,11,17,3,7,6,4,4,3,4,7,1,3,1,4,4,8,6,2
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,77,180,11,57,78,32,16,47,7,26,3,5,19,12,24,32,4,131
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,62,106,6,26,30,10,5,18,3,15,6,4,9,1,10,18,7,95
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,15,15,1,3,7,1,1,5,1,4,1,3,3,2,2,1,0,2
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,14,16,2,4,9,1,0,3,0,2,1,0,2,1,2,3,0,6
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,33,47,5,23,27,7,3,18,4,16,5,5,10,10,14,14,4,14
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,17,21,3,10,14,6,1,9,2,7,0,3,5,5,9,6,0,8
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,32,67,6,26,36,9,9,20,4,19,2,7,9,7,21,14,4,18
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,7,17,1,6,9,5,3,6,2,6,0,3,4,4,6,4,3,5
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,11,17,3,14,13,3,6,6,1,5,1,3,5,2,8,3,2,6
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,5,10,0,1,2,1,1,2,1,0,0,2,1,1,3,2,0,1
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,2,2,2,1,1,0,0,1,0,2,0,1,0,1,0,0,0,0
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,13,40,3,20,23,8,4,10,4,14,1,2,7,6,11,13,3,14
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,5,7,1,1,3,3,2,2,0,2,1,2,1,1,3,1,0,0
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,4,6,2,8,9,1,1,3,0,2,1,1,1,0,2,2,2,1
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,18,33,1,11,15,8,3,9,4,12,3,3,9,5,14,15,5,3
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,1,6,0,4,5,2,1,2,0,2,0,0,1,0,1,1,0,0
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,10,31,5,28,27,7,6,8,1,14,0,3,5,5,12,11,3,4
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,16,31,5,7,14,6,5,11,4,5,3,2,7,2,11,7,2,9
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,21,41,7,14,21,9,7,12,5,9,1,7,11,0,12,7,0,10
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,0,9,3,1,5,1,0,2,1,2,0,0,2,0,1,2,0,2
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,24,47,6,22,31,10,8,10,6,16,1,5,6,4,20,19,4,16
スポーツを始めるきっかけとして必要な支援,その他,23,2,4,1,2,2,2,1,3,1,1,0,0,0,0,1,2,5,12
スポーツを始めるきっかけとして必要な支援,特にない,385,17,31,4,27,21,6,7,10,0,7,3,2,2,0,8,7,7,308
スポーツを始めるきっかけとして必要な支援,わからない,354,31,56,12,28,27,9,4,13,1,5,3,4,6,1,13,13,4,257
スポーツ以外に関心のある事,旅行,1225,448,746,61,263,338,193,82,258,73,202,49,74,148,69,190,162,33,189
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,438,707,58,254,337,173,93,256,81,190,45,78,138,73,185,156,25,202
スポーツ以外に関心のある事,買い物・ショッピング,840,291,509,49,217,252,129,81,163,48,132,43,47,102,48,124,112,17,152
スポーツ以外に関心のある事,テレビ視聴,1133,372,624,66,271,316,149,86,217,56,153,42,65,119,60,173,149,22,273
スポーツ以外に関心のある事,動画配信サービス視聴,912,325,542,55,199,263,170,104,212,70,163,42,69,124,63,193,153,22,154
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,173,281,41,113,153,102,59,131,43,101,30,21,81,47,103,86,17,79
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,187,310,36,119,154,102,62,128,39,89,27,18,72,35,97,84,13,103
スポーツ以外に関心のある事,インターネット閲覧,957,301,545,55,228,270,163,92,221,67,165,44,52,122,62,165,158,24,188
スポーツ以外に関心のある事,映画鑑賞,765,247,467,45,181,224,124,71,185,61,136,36,31,91,62,138,139,23,148
スポーツ以外に関心のある事,読書,563,164,337,41,139,173,92,47,132,43,104,24,25,64,49,88,103,18,122
スポーツ以外に関心のある事,アニメ／漫画,592,215,347,32,113,162,108,76,154,46,101,35,44,75,39,123,101,12,118
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,232,353,30,121,156,124,109,164,57,112,38,52,98,43,125,91,17,95
スポーツ以外に関心のある事,写真の撮影,289,130,187,22,67,101,76,34,100,33,66,24,25,53,37,69,63,6,36
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,165,239,20,65,109,87,46,108,45,84,29,50,78,44,95,71,11,34
スポーツ以外に関心のある事,美術鑑賞,293,101,199,16,68,99,49,25,77,30,73,21,13,36,48,64,61,7,42
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,118,213,23,91,115,67,33,93,34,73,18,17,52,38,77,69,11,61
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,57,110,12,52,63,30,17,51,22,43,11,6,19,23,37,36,7,28
スポーツ以外に関心のある事,カラオケ,330,144,209,20,75,107,82,42,112,33,74,22,29,58,37,91,70,9,44
スポーツ以外に関心のある事,楽器の演奏,161,55,92,15,39,53,34,15,41,17,23,8,10,22,15,26,24,3,21
スポーツ以外に関心のある事,料理・菓子作り,284,110,178,19,71,86,50,22,81,26,57,19,27,43,24,68,54,11,46
スポーツ以外に関心のある事,園芸・ガーデニング,189,52,114,13,52,61,28,12,45,18,26,9,10,21,18,36,36,6,35
スポーツ以外に関心のある事,日曜大工,75,28,47,6,20,26,17,7,21,14,21,8,4,13,11,16,19,4,10
スポーツ以外に関心のある事,編み物・手芸,123,45,73,9,36,44,24,13,42,15,33,8,5,20,12,29,32,4,21
スポーツ以外に関心のある事,和裁・洋裁,46,17,31,3,24,21,9,6,14,6,11,4,2,4,8,10,14,3,5
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,20,19,7,11,8,13,5,10,8,10,6,6,12,7,10,10,0,2
スポーツ以外に関心のある事,ギャンブル,103,28,50,9,21,19,10,4,22,4,15,7,2,11,3,8,13,1,33
スポーツ以外に関心のある事,その他,134,28,67,8,24,36,22,10,23,9,18,2,11,18,9,22,22,7,46
スポーツ以外に関心のある事,特にない,322,32,35,6,13,15,3,0,2,1,6,2,1,3,3,2,8,7,247
情報入手先,家族,1446,534,825,63,297,370,204,103,260,76,183,43,103,162,71,220,174,23,294
情報入手先,友人,791,283,501,39,173,224,134,64,198,69,128,35,56,128,50,148,109,15,105
情報入手先,学校や職場、施設の人,564,258,351,20,100,154,110,66,155,54,106,32,69,98,43,128,84,19,65
情報入手先,ボランティア,76,42,40,5,28,19,23,13,21,15,16,9,9,11,8,16,8,0,1
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,55,103,20,57,59,34,27,38,18,26,13,17,23,19,32,24,4,39
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,106,211,37,132,123,57,35,77,23,61,17,20,43,30,69,74,13,59
情報入手先,テレビ,1551,421,832,79,343,412,187,106,269,73,192,50,72,152,73,213,187,33,421
情報入手先,ラジオ,314,96,166,23,76,90,61,23,64,18,43,14,8,34,20,37,41,8,80
情報入手先,新聞,466,119,269,36,122,149,44,19,81,19,70,14,14,31,27,51,63,10,117
情報入手先,雑誌,199,60,131,19,57,71,31,19,61,17,42,10,11,24,18,29,36,4,31
情報入手先,障害者団体の会合や機関誌,80,25,45,8,23,28,22,13,21,8,14,5,12,7,7,16,9,3,6
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,218,439,52,184,228,118,65,185,50,135,37,37,100,57,139,144,23,141
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,281,627,67,252,299,146,83,234,77,179,43,50,128,72,162,170,29,270
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,248,464,43,169,226,126,87,173,60,122,34,33,97,60,136,112,20,164
情報入手先,動画配信サービス（YouTubeなど）,718,241,445,40,167,223,146,84,195,62,131,35,53,109,56,172,148,19,119
情報入手先,行政の窓口,164,60,107,12,61,65,39,19,42,10,34,9,12,23,19,39,45,10,23
情報入手先,区市町村などの広報誌,272,84,177,17,87,99,44,27,74,24,60,13,11,35,29,60,77,12,44
情報入手先,その他,16,3,10,2,3,5,3,1,1,1,3,0,2,0,2,3,4,2,4
情報入手先,わからない,84,12,13,0,5,6,4,2,4,1,2,0,1,2,1,3,2,5,54
情報入手先,得ていない,181,22,25,4,4,8,3,0,3,0,5,1,0,3,0,4,7,2,135
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,515,250,302,35,110,129,114,89,140,51,94,35,45,84,34,98,59,7,32
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,390,174,223,35,78,101,91,67,116,37,68,28,42,65,35,79,54,4,20
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,758,279,451,52,150,192,149,106,210,63,137,38,59,118,59,158,115,16,85
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,257,111,139,20,51,58,52,47,70,27,40,16,23,41,17,52,22,6,26
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,2004,422,836,67,330,409,142,42,181,47,163,27,53,101,57,157,180,45,786
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,570,843,83,313,405,253,157,297,101,234,59,115,183,83,244,196,20,130
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,288,620,64,243,283,90,33,143,27,106,18,29,66,38,107,122,41,776
デフリンピックの認知度,よく内容を知っている,187,78,71,20,38,45,36,24,34,17,23,13,16,21,15,13,7,2,13
デフリンピックの認知度,見たり聞いたりしたことがある,792,239,417,44,174,216,108,72,139,47,115,20,41,77,38,104,98,20,134
デフリンピックの認知度,知らない,2247,574,1019,87,358,444,218,107,295,74,217,52,92,165,77,248,221,41,762
デフリンピックに期待すること,競技観戦,393,208,251,27,92,112,92,39,101,46,64,29,36,72,31,74,39,10,19
デフリンピックに期待すること,記録の更新,195,91,126,25,66,64,44,26,50,21,34,16,14,30,16,32,28,3,11
デフリンピックに期待すること,日本人選手の活躍,724,292,462,46,192,236,131,75,189,62,112,41,44,97,47,133,108,17,53
デフリンピックに期待すること,外国人選手の活躍,183,79,123,18,54,66,48,24,53,24,36,14,10,30,21,46,38,6,9
デフリンピックに期待すること,国際交流の促進,291,128,199,20,93,107,78,35,86,33,62,18,23,60,37,73,60,8,16
デフリンピックに期待すること,大会記念グッズの展開,91,39,43,18,29,33,32,24,31,20,26,14,15,20,16,18,16,2,1
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,73,111,21,62,67,43,34,67,34,48,17,20,38,24,45,39,4,11
デフリンピックに期待すること,競技体験,104,63,70,13,25,39,37,18,44,20,26,13,19,27,16,32,27,2,0
デフリンピックに期待すること,大会への子供の参加,160,70,96,15,34,54,40,22,63,21,44,12,32,35,23,39,35,3,6
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,66,98,16,46,58,47,33,61,26,41,17,18,29,23,40,31,4,4
デフリンピックに期待すること,手話の普及と理解の促進,187,84,132,17,59,78,61,28,78,26,51,17,19,49,27,62,49,4,10
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,147,228,27,90,122,87,41,111,40,79,25,31,68,39,99,80,9,21
デフリンピックに期待すること,障害や障害者への理解の促進,593,243,406,32,155,215,110,67,159,60,132,31,54,100,62,151,145,19,58
デフリンピックに期待すること,その他,13,4,11,1,2,2,2,0,2,0,1,0,0,3,1,2,2,2,2
デフリンピックに期待すること,期待するものはない,1686,315,598,57,225,261,98,49,140,19,111,20,36,74,33,106,121,32,786
