調査項目,回答,全体(人),旅行(人),グルメ・食べ歩き(人),買い物・ショッピング(人),テレビ視聴(人),動画配信サービス視聴(人),CDやスマートフォンによる音楽鑑賞(人),ＳＮＳ閲覧・投稿(人),インターネット閲覧(人),映画鑑賞(人),読書(人),アニメ／漫画(人),スマートフォン・家庭用ゲーム機によるゲーム(人),写真の撮影(人),遊園地・動物園・水族館などの見物(人),美術鑑賞(人),コンサートなどによる音楽鑑賞(人),演劇・舞踏鑑賞(人),カラオケ(人),楽器の演奏(人),料理・菓子作り(人),園芸・ガーデニング(人),日曜大工(人),編み物・手芸(人),和裁・洋裁(人),大道芸や手品等の鑑賞(人),ギャンブル(人),その他(人),特にない(人)
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,20,20,16,18,17,9,9,17,14,9,12,22,6,15,8,8,7,7,3,9,5,3,3,0,2,0,2,0
一緒に実施する人,ボランティアの人たち,54,27,25,16,21,16,10,7,15,16,14,12,13,8,10,6,6,6,5,6,8,5,3,2,1,3,0,1,0
一緒に実施する人,学校の先生や学校の友達,150,60,70,41,61,96,35,34,53,40,26,58,78,25,53,11,13,9,28,14,28,6,1,4,2,7,1,4,2
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,32,32,18,39,52,6,1,19,12,10,21,38,16,31,3,5,2,13,6,12,6,0,2,2,3,0,5,1
一緒に実施する人,その他の友人・知人,137,93,86,59,60,72,31,40,59,58,35,46,47,38,44,33,28,17,35,15,29,17,13,11,6,4,8,14,1
一緒に実施する人,その他,35,14,16,11,8,15,9,10,14,13,11,9,8,5,4,3,4,3,4,1,7,5,0,2,0,0,1,5,2
一緒に実施する人,わからない,40,3,2,1,2,1,1,2,3,0,1,3,2,0,0,0,2,0,2,1,1,0,0,0,1,0,1,1,27
実施した理由,健康・体力づくりのため,1503,771,742,493,591,510,271,308,514,458,355,328,338,190,222,196,202,113,192,86,182,115,45,61,28,22,51,58,47
実施した理由,楽しみや気晴らしのため,890,478,469,315,355,335,190,197,326,262,209,220,237,132,170,130,130,73,133,62,117,84,37,45,23,21,28,37,13
実施した理由,運動不足解消のため,1109,565,549,395,478,415,235,234,443,375,289,275,274,165,184,160,164,93,157,74,152,109,45,50,24,18,42,52,23
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,121,118,94,106,98,67,65,100,93,68,71,69,50,61,39,43,27,38,22,34,34,16,20,7,11,7,5,2
実施した理由,自己の記録や能力を向上させるため,182,77,78,64,72,78,50,58,82,71,51,59,63,40,51,34,34,30,29,16,25,31,13,16,5,7,9,8,0
実施した理由,リハビリテーションや医療・治療のため,340,164,157,122,149,118,76,74,132,123,103,70,68,56,59,54,51,34,49,32,43,52,20,25,13,9,10,18,8
実施した理由,家族のふれあいのため,154,97,94,54,67,77,31,29,59,50,38,49,62,31,50,24,24,13,26,12,22,16,4,7,5,5,3,12,1
実施した理由,友人・仲間との交流のため,254,136,127,91,112,125,65,63,101,85,62,79,96,56,77,39,45,30,53,21,40,27,16,18,7,14,7,12,0
実施した理由,美容や肥満解消（ダイエット）のため,217,116,123,109,92,110,75,90,124,91,76,81,72,57,52,53,53,35,46,23,47,29,12,19,10,7,12,13,2
実施した理由,障害者スポーツ大会に参加するため,17,9,8,6,9,11,5,3,8,7,3,7,5,6,5,4,3,3,3,2,6,2,1,1,1,1,0,2,0
実施した理由,その他,36,17,16,15,11,22,12,9,18,17,7,14,18,10,4,4,6,4,10,3,6,1,1,3,1,0,1,5,2
実施した理由,わからない,61,12,6,4,5,4,3,5,5,1,3,3,1,0,1,0,3,0,2,1,1,1,0,0,0,0,1,1,33
実施したきっかけ,家族に奨められた,561,287,267,172,215,167,97,80,153,141,108,107,127,55,66,54,59,30,57,24,48,41,13,23,11,8,8,18,20
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,52,52,40,35,35,22,21,37,31,24,31,34,20,25,18,13,11,16,9,12,9,7,6,1,4,2,2,0
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,70,61,57,44,49,26,30,44,41,28,33,38,24,27,21,22,15,22,10,20,12,9,11,4,5,6,1,1
実施したきっかけ,医師に奨められた,500,232,235,179,215,150,96,91,168,155,133,98,94,61,62,79,79,44,61,32,57,52,22,22,11,6,13,20,10
実施したきっかけ,看護師に奨められた,114,42,50,37,52,39,33,20,35,35,30,22,24,19,17,21,23,14,13,8,13,10,5,6,2,3,3,6,4
実施したきっかけ,作業療法士（OT）に奨められた,100,41,36,36,46,39,27,24,29,29,30,19,22,18,19,12,14,8,10,7,10,10,3,8,0,3,2,5,2
実施したきっかけ,理学療法士（PT）に奨められた,128,54,58,49,47,36,30,23,42,34,34,24,26,17,17,19,16,15,14,10,16,14,6,4,1,5,2,7,2
実施したきっかけ,言語聴覚士（ST）に奨められた,39,14,9,13,11,15,11,7,11,10,11,9,12,11,9,3,7,2,5,5,3,7,3,3,0,2,0,1,0
実施したきっかけ,視能訓練士（CO）に奨められた,21,4,2,6,5,3,6,4,3,2,3,4,7,4,4,3,2,1,1,0,1,2,2,0,0,0,0,0,0
実施したきっかけ,義肢装具士に奨められた,15,1,6,6,4,4,4,3,4,4,2,1,8,3,2,3,3,3,1,2,2,2,2,1,1,0,0,0,0
実施したきっかけ,介護福祉士に奨められた,43,15,15,18,18,10,11,7,13,11,10,8,13,6,6,7,5,7,6,3,7,10,2,2,0,1,0,1,2
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,21,24,14,21,16,11,6,15,15,14,11,10,7,12,8,7,4,5,6,5,9,2,2,0,2,1,2,0
実施したきっかけ,スポーツ指導者に奨められた,20,11,7,6,6,6,5,4,10,4,4,5,4,1,6,2,3,3,6,2,4,3,2,2,0,2,0,1,0
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,4,6,8,5,9,7,4,7,7,7,7,7,4,5,7,4,4,6,3,4,3,1,2,1,1,0,1,0
実施したきっかけ,学校の先生に奨められた,57,20,28,18,25,33,15,13,22,18,14,23,29,12,23,7,8,5,11,1,10,2,1,1,0,4,0,2,0
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,25,31,19,27,37,16,19,21,18,11,24,34,17,23,7,6,3,14,5,8,3,1,1,1,2,1,3,0
実施したきっかけ,所属する団体（会社等）に奨められた,17,7,8,10,7,7,5,5,6,5,5,7,7,4,5,2,2,3,6,2,4,4,0,2,0,2,0,1,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,6,6,4,7,3,5,6,6,5,7,5,6,4,4,4,3,3,3,1,4,1,0,0,0,1,0,2,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,8,9,11,7,5,6,6,7,7,6,7,8,4,4,5,4,5,6,3,4,5,2,2,1,1,2,1,0
実施したきっかけ,テレビや新聞の影響,66,39,43,31,44,27,22,21,32,30,30,20,23,19,23,17,21,11,17,9,15,12,7,8,4,5,2,3,2
実施したきっかけ,インターネットや動画配信を見て,81,51,48,44,41,54,30,33,48,37,25,29,34,20,27,19,22,12,23,6,21,15,7,13,5,6,2,2,0
実施したきっかけ,ＳＮＳの影響,40,22,23,19,17,22,19,30,23,16,16,24,21,12,13,12,9,7,13,3,13,4,3,5,3,4,3,2,0
実施したきっかけ,漫画、ドラマ、映画等の影響,20,17,13,10,10,10,9,9,9,14,9,11,10,10,10,7,5,5,7,3,6,7,6,3,2,3,2,2,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,12,14,7,13,9,5,8,9,11,6,9,10,12,5,5,5,4,6,4,4,5,4,3,1,2,2,2,0
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,7,7,7,5,5,4,4,5,6,1,5,4,4,7,2,2,2,6,1,3,3,3,3,2,3,1,4,0
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,11,9,4,10,8,5,4,7,7,4,8,11,8,8,4,5,3,4,0,2,1,2,2,2,3,1,4,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,3,4,2,2,2,0,2,3,2,2,2,4,1,2,1,1,2,2,1,2,2,1,2,1,1,1,1,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,18,18,11,16,13,4,6,12,10,9,10,7,6,12,5,4,6,8,2,5,2,1,2,0,3,0,3,0
実施したきっかけ,行政の広報誌,15,11,6,5,10,5,5,3,6,5,5,2,3,4,2,5,5,2,1,0,0,1,0,1,0,0,0,1,0
実施したきっかけ,その他,89,51,41,25,33,41,26,26,31,39,23,27,25,19,15,12,14,8,16,6,14,8,6,3,1,0,5,14,5
実施したきっかけ,特にきっかけはない・なんとなく,676,320,298,194,224,230,103,152,256,191,149,137,143,77,87,79,85,40,77,45,86,41,17,19,9,5,32,28,57
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,428,384,268,295,256,149,151,263,233,173,169,186,96,110,97,92,55,93,54,84,57,24,25,15,14,23,28,31
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,282,265,175,220,208,118,121,198,163,128,130,136,80,92,66,76,42,77,39,63,38,20,30,10,8,20,20,15
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,293,291,209,295,235,124,141,255,214,132,128,124,66,87,82,97,52,87,41,81,56,21,34,11,8,27,42,42
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,222,242,188,323,213,90,115,241,155,130,165,169,47,58,48,85,29,73,27,56,38,10,34,10,3,33,44,234
実施していない理由,医師に止められており、身体的にできない,127,32,32,30,59,26,15,17,33,26,22,12,15,10,5,6,12,5,11,3,9,6,3,7,1,1,6,6,18
実施していない理由,どのくらい体を動かしたらよいかわからない,74,19,24,20,35,21,11,12,29,18,12,10,14,5,3,5,4,2,11,2,7,4,0,5,1,1,7,2,6
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,17,29,15,20,26,13,16,26,17,10,13,15,7,6,2,2,1,11,4,4,2,1,3,2,0,2,1,5
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,7,17,7,14,11,8,7,17,13,8,7,5,1,5,1,0,1,7,2,3,2,0,0,1,0,0,0,4
実施していない理由,自分に合ったスポーツや運動の情報がない,89,31,34,22,38,27,10,16,36,23,11,18,22,4,14,6,9,3,18,2,6,4,3,2,0,0,4,5,7
実施していない理由,一緒にできる仲間がいない,96,30,25,19,39,26,13,16,36,15,10,20,25,8,6,6,11,4,16,4,8,5,2,6,3,0,3,3,6
実施していない理由,介助者がいない,93,19,29,16,41,22,9,7,25,19,9,8,13,7,13,8,9,5,12,3,7,7,1,5,2,0,3,7,13
実施していない理由,金銭的な余裕がない,117,27,36,32,45,29,23,22,47,37,22,28,26,8,12,7,20,7,22,9,8,7,2,5,3,0,6,6,13
実施していない理由,時間がない,90,33,39,30,28,26,15,17,34,22,15,20,15,5,8,3,13,4,9,10,4,1,0,3,2,0,0,6,8
実施していない理由,必要な競技用具や補助具がない,42,9,14,7,20,8,2,0,10,8,2,3,4,0,2,3,1,3,8,0,1,5,2,3,1,0,3,2,6
実施していない理由,その他,87,26,24,19,45,16,14,8,17,20,22,11,8,4,8,14,12,5,7,6,10,6,4,5,2,1,2,7,18
実施していない理由,活動したいと思わない,666,132,136,108,213,135,60,72,141,94,63,95,91,20,29,25,47,21,38,18,32,23,1,23,7,1,25,36,165
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,30,45,35,50,50,24,31,43,30,23,43,40,9,10,9,21,14,14,10,7,4,0,8,2,1,7,10,19
活動したいと思わない理由,スポーツ・運動に興味がないから,151,41,44,35,51,54,24,23,53,30,28,43,37,7,15,12,19,10,16,7,16,10,1,10,5,1,5,16,14
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,11,18,13,18,16,8,7,16,7,8,8,10,4,5,3,7,1,2,2,6,2,0,1,1,0,3,2,2
活動したいと思わない理由,疲れるから,163,46,48,40,72,54,27,30,58,36,22,38,40,10,15,9,23,10,20,9,18,10,0,5,2,1,8,12,16
活動したいと思わない理由,人前に出るのが好きではないから,57,14,12,10,25,18,9,9,23,9,7,12,19,2,6,1,6,1,4,3,6,4,0,2,3,1,3,7,4
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,8,4,7,7,14,8,7,12,7,6,8,10,2,5,4,8,3,2,4,2,0,0,0,0,0,1,3,1
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,5,4,5,4,11,4,2,9,4,3,3,8,1,3,1,2,0,1,2,2,2,0,2,1,1,1,1,2
活動したいと思わない理由,スポーツ以外に趣味があるから,64,17,16,15,27,30,16,15,34,20,10,20,29,3,6,6,12,6,5,9,6,1,0,2,1,1,8,11,1
活動したいと思わない理由,忙しいから,34,6,6,5,6,8,3,4,12,4,4,9,10,1,3,3,3,1,4,3,1,2,0,3,1,1,2,4,5
活動したいと思わない理由,その他,56,9,9,4,27,10,6,6,8,5,6,4,4,1,2,2,4,0,1,3,2,2,0,2,1,0,2,7,15
活動したいと思わない理由,わからない,216,30,26,19,38,13,8,7,17,14,8,11,9,3,3,1,7,0,5,1,4,3,0,3,0,0,4,4,103
学校体育の参加状況,参加していて、体育が好きである,279,105,103,59,100,139,51,39,72,53,33,94,108,39,81,12,19,11,36,25,28,6,6,7,1,9,1,10,8
学校体育の参加状況,参加しているが、体育は好きではない,146,44,52,28,47,78,32,27,44,31,14,45,62,20,26,9,8,3,25,8,18,5,2,2,2,1,0,1,4
学校体育の参加状況,参加していない,42,10,8,6,10,13,5,4,13,6,2,13,16,5,4,0,2,2,1,1,7,1,0,0,0,0,0,2,5
学校体育の参加状況,わからない,37,3,3,0,3,5,3,1,4,3,2,3,4,1,0,0,2,0,1,0,1,1,0,1,0,0,0,0,14
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,2,2,1,1,1,0,0,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
学校体育に参加しない理由,自分にはできないと思ったから,12,2,2,2,3,5,3,2,5,1,1,3,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,0,1,2,2,2,0,0,1,1,0,3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
学校体育に参加しない理由,医師から止められていたから,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,1,1,1,0,0,0,0,0,1,1,2,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,5,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
学校体育に参加しない理由,その他,12,5,3,2,6,5,2,2,6,3,0,5,8,1,2,0,1,1,0,0,5,0,0,0,0,0,0,2,0
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,531,500,318,418,377,186,198,352,300,208,252,274,124,184,113,146,73,161,72,111,67,29,45,14,22,26,38,17
スポーツ・運動の参加方法,リモート参加,134,42,43,35,39,39,30,26,38,31,30,22,22,21,11,13,10,13,12,8,9,9,4,9,5,3,4,2,4
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,107,106,75,71,90,47,52,90,67,44,45,46,39,39,32,30,20,27,25,30,13,9,11,4,3,7,11,6
スポーツ・運動の参加方法,参加したいと思わない,1768,545,533,412,605,406,218,252,477,367,281,273,273,105,113,135,164,72,130,56,134,100,33,58,23,5,66,83,295
参加したいスポーツ活動,ルールが簡単,891,448,438,291,372,325,173,187,301,247,164,215,232,130,165,101,118,57,144,55,110,52,28,45,17,20,28,28,32
参加したいスポーツ活動,自分のペースに合わせてできる,1507,746,707,509,624,542,281,310,545,467,337,347,353,187,239,199,213,110,209,92,178,114,47,73,31,19,50,67,35
参加したいスポーツ活動,汗をかかない,151,61,58,49,66,55,41,36,55,45,41,32,30,22,20,16,23,12,20,15,19,13,6,9,3,7,9,8,6
参加したいスポーツ活動,自宅で実施できる,570,263,254,217,271,199,113,119,228,181,139,113,121,67,65,68,91,52,75,39,71,52,20,36,24,11,21,24,13
参加したいスポーツ活動,短い時間で実施できる,705,338,337,252,316,263,153,154,270,224,173,162,156,101,109,99,115,63,107,53,86,61,26,44,21,8,19,36,15
参加したいスポーツ活動,上達したことが分かる,362,193,173,129,149,170,102,102,163,124,92,108,124,76,87,49,67,30,82,34,50,28,17,24,9,13,10,22,3
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,82,93,81,86,104,59,62,92,71,47,76,109,34,46,25,33,17,42,15,22,12,7,13,6,5,4,10,0
参加したいスポーツ活動,好きな種目を選べる,468,258,256,163,217,212,131,128,221,185,132,154,164,100,108,77,93,51,112,41,81,45,21,42,14,10,22,23,2
参加したいスポーツ活動,やったことがないスポーツを試せる,138,73,81,48,56,70,43,39,67,61,43,46,57,33,45,30,34,22,33,17,26,18,14,15,6,8,4,9,1
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,202,190,132,153,163,101,89,165,136,104,101,112,66,84,73,73,43,74,23,57,26,21,33,11,10,15,18,6
参加したいスポーツ活動,有名な選手に会える,85,49,45,43,42,42,30,27,44,36,24,35,38,24,29,21,18,11,22,8,19,9,8,8,4,6,7,2,2
参加したいスポーツ活動,親子で一緒に参加ができる,149,74,78,47,65,69,21,18,52,31,25,44,52,25,50,13,17,6,29,10,27,10,4,5,2,6,2,11,1
参加したいスポーツ活動,新しい友達をつくることができる,263,148,138,102,119,124,81,72,122,91,64,75,98,53,78,36,52,19,58,22,43,21,13,20,4,12,11,18,3
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,69,73,48,60,63,47,35,62,62,49,39,43,37,44,48,38,23,37,15,24,18,11,12,8,7,3,9,3
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,190,185,124,173,193,103,97,165,138,88,123,125,69,95,64,77,37,91,26,68,36,16,29,10,10,8,22,2
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,162,156,112,149,153,86,84,158,139,103,101,91,63,71,61,69,36,70,24,54,36,19,32,14,10,13,22,8
参加したいスポーツ活動,その他,63,33,25,17,22,22,17,13,24,23,18,12,17,6,11,7,11,7,9,3,11,6,4,4,3,0,1,7,7
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,189,202,152,273,154,79,103,188,148,122,118,95,36,34,42,61,28,44,21,46,35,10,21,5,2,33,46,247
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,227,206,145,133,115,71,69,125,115,87,75,78,48,57,58,54,43,51,26,46,27,14,11,10,9,5,11,3
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,203,204,141,162,133,84,81,138,132,96,73,86,55,55,61,59,43,45,25,49,37,20,17,8,4,11,14,6
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,185,167,115,171,138,73,61,126,104,96,74,87,56,64,47,59,36,52,31,46,29,17,22,8,7,8,15,4
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,141,132,94,113,114,70,59,94,85,61,67,75,48,60,42,42,28,40,20,37,18,9,11,7,8,3,5,4
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,237,235,154,209,202,110,94,174,152,117,119,129,68,100,61,68,48,74,36,70,41,15,28,12,13,6,20,5
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,54,55,43,43,41,27,22,43,40,29,21,23,22,22,16,20,15,13,12,14,6,5,7,4,2,0,8,2
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,125,123,79,106,97,61,49,98,87,65,75,60,43,52,42,41,31,42,18,37,20,10,14,7,11,4,10,2
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,76,72,45,63,65,43,34,63,56,41,45,39,31,41,29,32,21,24,13,23,13,10,12,6,7,3,8,1
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,56,53,38,38,48,41,35,41,42,36,38,42,19,32,19,29,16,24,12,23,11,6,12,4,4,4,5,1
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,148,143,110,118,118,79,69,124,101,83,71,74,49,55,72,62,36,53,22,46,29,16,23,13,7,7,13,0
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,79,79,58,55,59,41,36,51,53,34,46,55,38,38,24,28,16,39,12,28,14,11,11,5,8,4,9,0
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,105,105,69,75,81,58,41,79,67,51,56,56,44,48,34,40,23,44,20,32,20,17,13,9,10,7,10,0
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,190,184,120,142,144,85,88,154,115,89,100,95,67,84,67,64,40,56,24,54,30,14,22,9,10,9,17,2
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,47,48,34,40,44,25,28,51,42,34,30,27,27,24,21,21,14,22,8,22,14,7,9,8,3,3,5,0
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,130,125,89,105,115,65,54,117,97,79,70,71,54,51,52,53,34,37,19,41,31,15,21,13,5,8,13,4
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,189,176,129,138,153,83,92,135,109,79,108,123,70,83,56,64,35,68,24,54,37,14,22,9,11,12,20,6
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,152,151,109,125,140,79,79,126,104,75,92,95,63,70,47,51,30,60,28,49,29,11,21,9,11,9,18,4
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,86,81,63,79,88,52,47,76,58,43,52,62,45,41,30,32,16,36,16,30,19,9,13,5,7,5,13,3
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,204,184,117,167,160,74,71,147,130,95,104,111,61,97,70,75,45,73,28,63,35,12,24,7,12,6,24,4
スポーツ・運動の継続実施に必要なもの,その他,44,26,17,15,15,22,9,9,17,20,12,15,15,6,6,7,8,3,4,3,5,4,3,1,1,1,4,7,1
スポーツ・運動の継続実施に必要なもの,特にない,362,180,152,105,141,109,55,75,135,109,77,75,68,42,42,40,41,16,42,25,38,32,13,12,4,0,17,13,29
スポーツ・運動の継続実施に必要なもの,わからない,247,73,82,62,57,68,38,46,64,52,41,42,42,16,20,16,19,8,24,11,21,5,4,5,5,1,9,8,48
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,149,144,99,93,65,41,40,74,70,52,44,44,28,34,27,34,20,29,14,29,18,9,8,8,6,3,1,3
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,123,126,84,95,74,40,40,65,70,52,31,35,28,27,24,30,17,22,13,20,21,7,9,4,3,5,2,3
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,159,151,102,142,117,55,53,96,80,62,57,67,41,46,32,37,25,36,25,36,18,10,11,5,3,7,15,4
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,77,68,55,57,57,46,28,44,39,35,40,46,22,30,21,23,16,14,9,18,12,6,7,5,5,4,4,0
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,160,155,85,141,130,61,52,120,93,78,83,103,37,62,39,37,24,43,20,42,23,7,14,10,6,4,10,3
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,27,29,16,20,17,12,11,14,15,8,10,11,11,10,3,3,6,4,5,7,3,3,1,0,0,0,1,1
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,59,56,39,59,47,32,21,54,39,30,28,29,15,23,19,22,13,14,9,15,7,4,9,4,4,3,3,0
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,43,30,19,24,33,25,18,26,28,19,19,13,13,12,13,11,4,13,9,11,4,5,2,1,0,2,1,0
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,22,21,17,13,16,14,11,15,14,12,16,16,8,9,7,13,2,7,6,7,4,4,6,1,4,0,2,0
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,93,92,66,70,64,46,41,75,58,48,39,44,24,30,36,33,17,35,8,26,15,7,10,2,2,1,6,1
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,47,40,31,31,32,19,25,38,27,14,20,27,15,14,10,14,9,14,5,10,5,4,2,1,3,2,6,1
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,53,62,42,46,46,28,27,45,44,22,35,31,17,22,21,20,12,21,8,15,13,9,9,2,2,4,5,0
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,151,131,90,90,102,61,58,98,87,62,77,59,52,49,45,44,29,41,21,27,26,10,21,6,6,6,8,0
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,22,19,21,18,19,11,14,25,14,20,14,18,8,8,11,7,9,11,2,9,8,3,2,2,0,2,1,0
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,73,65,49,56,47,32,28,61,46,42,32,38,25,21,25,26,15,23,11,25,19,11,9,5,2,5,5,3
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,95,92,68,72,77,43,46,67,55,46,59,67,28,42,25,32,13,34,12,26,18,3,9,2,6,8,8,4
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,80,83,57,69,70,35,39,60,64,37,51,57,27,40,22,18,11,30,7,26,15,8,7,1,7,3,10,1
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,19,24,16,13,16,12,12,19,16,12,11,14,9,12,9,6,2,8,4,10,6,3,3,0,3,0,3,0
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,167,155,91,148,130,59,54,118,115,78,88,91,46,73,56,57,33,50,17,48,25,9,15,6,8,3,18,2
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,12,11,8,7,14,1,7,10,10,9,4,7,1,2,4,3,1,1,1,3,1,1,1,1,0,0,3,0
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,190,165,118,150,126,70,91,139,120,90,79,73,47,43,39,45,19,49,29,44,32,8,10,1,0,21,23,27
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,78,76,61,57,62,25,42,70,48,42,44,46,17,22,19,19,6,18,12,12,9,6,7,6,2,12,6,57
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,12,11,12,15,9,7,9,11,8,3,8,5,7,5,3,3,1,6,2,3,0,0,3,0,0,2,1,2
