調査項目,回答,全体(人),実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）(人),実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）(人),指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）(人),指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）(人),やったことはない(人)
スポーツ以外に関心のある事,旅行,1225,247,168,320,115,719
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,259,179,321,117,673
スポーツ以外に関心のある事,買い物・ショッピング,840,190,139,253,90,456
スポーツ以外に関心のある事,テレビ視聴,1133,187,137,305,95,703
スポーツ以外に関心のある事,動画配信サービス視聴,912,215,184,373,122,416
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,125,107,194,69,215
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,131,102,218,81,237
スポーツ以外に関心のある事,インターネット閲覧,957,193,148,339,127,485
スポーツ以外に関心のある事,映画鑑賞,765,156,113,253,84,414
スポーツ以外に関心のある事,読書,563,110,80,166,51,326
スポーツ以外に関心のある事,アニメ／漫画,592,168,132,272,105,227
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,198,165,374,123,146
スポーツ以外に関心のある事,写真の撮影,289,84,73,118,45,125
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,108,80,169,59,128
スポーツ以外に関心のある事,美術鑑賞,293,54,45,87,31,176
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,71,65,119,39,192
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,48,32,53,19,98
スポーツ以外に関心のある事,カラオケ,330,98,78,145,43,141
スポーツ以外に関心のある事,楽器の演奏,161,50,38,57,20,71
スポーツ以外に関心のある事,料理・菓子作り,284,85,57,104,44,132
スポーツ以外に関心のある事,園芸・ガーデニング,189,42,23,39,14,124
スポーツ以外に関心のある事,日曜大工,75,19,16,24,8,37
スポーツ以外に関心のある事,編み物・手芸,123,37,30,48,14,57
スポーツ以外に関心のある事,和裁・洋裁,46,10,10,15,8,25
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,13,12,18,8,10
スポーツ以外に関心のある事,ギャンブル,103,14,15,30,5,62
スポーツ以外に関心のある事,その他,134,15,15,45,5,81
スポーツ以外に関心のある事,特にない,322,8,3,5,4,309
情報入手先,家族,1446,311,206,393,131,825
情報入手先,友人,791,208,155,275,92,385
情報入手先,学校や職場、施設の人,564,160,132,217,74,248
情報入手先,ボランティア,76,35,34,31,11,13
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,34,42,54,23,113
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,57,58,89,34,216
情報入手先,テレビ,1551,225,176,385,125,1009
情報入手先,ラジオ,314,56,42,68,27,205
情報入手先,新聞,466,53,35,77,22,347
情報入手先,雑誌,199,50,36,61,27,107
情報入手先,障害者団体の会合や機関誌,80,22,22,30,11,35
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,151,123,278,82,377
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,189,153,369,118,639
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,195,143,314,107,388
情報入手先,動画配信サービス（YouTubeなど）,718,175,137,324,97,308
情報入手先,行政の窓口,164,32,31,49,21,95
情報入手先,区市町村などの広報誌,272,42,28,65,17,179
情報入手先,その他,16,1,3,3,0,12
情報入手先,わからない,84,2,0,1,2,79
情報入手先,得ていない,181,3,0,5,1,172
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,314,245,500,145,574
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,139,83,196,50,1430
デフリンピックの認知度,よく内容を知っている,187,92,77,71,37,35
デフリンピックの認知度,見たり聞いたりしたことがある,792,149,129,201,85,408
デフリンピックの認知度,知らない,2247,274,184,486,135,1561
デフリンピックに期待すること,競技観戦,393,131,89,111,52,159
デフリンピックに期待すること,記録の更新,195,59,61,63,32,71
デフリンピックに期待すること,日本人選手の活躍,724,163,123,224,87,360
デフリンピックに期待すること,外国人選手の活躍,183,55,51,68,29,76
デフリンピックに期待すること,国際交流の促進,291,87,63,99,35,125
デフリンピックに期待すること,大会記念グッズの展開,91,44,34,41,16,23
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,57,54,66,31,77
デフリンピックに期待すること,競技体験,104,43,31,45,19,38
デフリンピックに期待すること,大会への子供の参加,160,57,39,80,27,53
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,48,50,72,32,53
デフリンピックに期待すること,手話の普及と理解の促進,187,62,42,75,31,82
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,89,66,119,46,154
デフリンピックに期待すること,障害や障害者への理解の促進,593,120,93,206,69,317
デフリンピックに期待すること,その他,13,1,0,4,0,9
デフリンピックに期待すること,期待するものはない,1686,156,104,284,76,1280
