調査項目,回答,全体(人),利用していない(人),居宅介護（ホームヘルプ）(人),重度訪問介護(人),同行援護(人),行動援護(人),重度障害者等包括支援(人),短期入所（ショートステイ）(人),療養介護(人),生活介護(人),施設入所支援(人),自立訓練(人),就労移行支援(人),就労継続支援（A型）(人),就労継続支援（B型）(人),就労定着支援(人),自立生活援助(人),共同生活援助（グループホーム）(人),計画相談支援(人),地域相談支援(人),移動支援(人),地域活動支援センター(人),福祉ホーム(人),児童発達支援(人),医療型児童発達支援(人),放課後等デイサービス(人),居宅訪問型児童発達支援(人),保育所等訪問支援(人),訪問看護(人),訪問リハビリテーション(人)
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,75,17,3,6,7,2,7,7,8,0,3,3,0,0,1,5,0,3,6,4,4,2,2,2,2,1,0,8,2
実施したきっかけ,医師に奨められた,500,321,42,0,11,19,6,19,7,17,7,12,13,5,7,2,19,4,11,20,17,24,6,10,5,23,4,1,20,29
実施したきっかけ,看護師に奨められた,114,37,20,0,9,10,3,13,3,10,3,5,3,2,5,3,6,1,5,11,7,11,2,6,2,12,3,2,13,13
実施したきっかけ,作業療法士（OT）に奨められた,100,25,15,5,9,11,9,10,4,13,3,5,2,2,1,0,5,0,8,7,5,6,3,9,3,21,3,0,11,12
実施したきっかけ,理学療法士（PT）に奨められた,128,40,21,1,8,14,3,13,7,13,3,10,2,0,3,0,4,4,6,7,10,9,3,6,3,19,3,0,14,27
実施したきっかけ,言語聴覚士（ST）に奨められた,39,6,5,0,2,4,3,3,2,4,1,2,3,1,1,0,2,0,3,1,2,4,4,6,2,11,0,1,1,0
実施したきっかけ,視能訓練士（CO）に奨められた,21,4,3,2,2,3,3,5,1,2,2,1,0,2,1,0,1,1,0,1,0,0,3,1,0,3,1,1,0,0
実施したきっかけ,義肢装具士に奨められた,15,2,5,0,1,2,1,3,1,2,2,0,1,0,0,1,0,1,0,1,1,3,2,2,0,3,1,1,0,1
実施したきっかけ,介護福祉士に奨められた,43,6,11,1,3,5,1,8,2,6,1,6,0,1,1,0,4,3,4,4,3,5,2,2,0,10,3,1,4,8
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,11,10,0,3,7,0,3,4,3,1,4,4,2,3,2,3,3,5,7,5,4,4,3,2,6,1,0,3,2
実施したきっかけ,スポーツ指導者に奨められた,20,6,2,0,1,4,1,3,0,0,2,2,1,4,1,1,1,1,1,1,4,1,1,0,1,1,1,0,0,1
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,3,2,0,1,2,0,2,2,1,0,0,2,1,0,0,2,1,2,5,4,3,2,4,0,8,2,1,0,0
実施したきっかけ,学校の先生に奨められた,57,24,6,1,5,3,0,4,1,2,2,1,2,0,0,0,3,0,3,3,3,5,1,12,2,18,3,0,2,2
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,35,4,0,4,3,0,1,1,1,0,2,0,0,4,0,1,1,3,1,3,4,1,11,2,18,1,1,1,0
実施したきっかけ,所属する団体（会社等）に奨められた,17,5,2,0,0,1,0,2,1,2,0,1,1,0,0,0,0,0,4,2,1,1,0,1,1,5,1,0,1,0
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,6,4,0,1,1,1,1,2,2,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,1,1,1,1,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,5,4,0,1,0,0,3,1,2,1,0,1,0,1,2,0,1,0,0,0,1,2,0,0,1,0,0,1,0
実施したきっかけ,テレビや新聞の影響,66,40,8,0,2,3,0,4,2,3,0,5,3,2,3,2,1,2,2,5,5,4,1,0,0,3,2,0,1,4
実施したきっかけ,インターネットや動画配信を見て,81,49,5,0,2,1,0,1,1,2,0,2,4,2,3,4,4,2,2,3,4,3,0,3,1,2,1,0,4,1
実施したきっかけ,ＳＮＳの影響,40,22,5,1,0,1,0,2,2,2,0,2,1,0,2,2,3,1,1,2,2,3,2,3,1,1,1,0,2,0
実施したきっかけ,漫画、ドラマ、映画等の影響,20,12,1,0,0,0,0,0,2,2,0,0,1,0,0,1,2,0,0,2,0,1,1,1,0,2,0,0,1,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,15,2,0,1,1,0,2,1,0,0,2,1,0,1,1,2,0,1,1,1,1,1,1,0,0,1,0,0,0
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,5,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,2,0,0,0,0
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,9,2,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,2,2,3,2,0,2,1,6,2,0,0,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,2,4,0,2,5,1,5,0,1,3,3,2,0,1,0,1,2,3,2,2,3,0,5,0,16,2,0,2,3
実施したきっかけ,行政の広報誌,15,7,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,3,0,0,0,1
実施したきっかけ,その他,89,59,5,0,1,2,0,4,1,1,0,2,0,0,0,1,0,2,6,3,2,3,0,1,0,8,0,0,7,5
実施したきっかけ,特にきっかけはない・なんとなく,676,535,12,1,5,6,1,14,0,5,1,6,10,6,26,1,6,5,9,3,12,11,0,6,3,44,2,0,17,15
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,603,47,6,14,20,7,22,7,17,4,16,14,7,26,5,12,5,13,16,20,22,13,20,4,47,3,3,26,23
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,348,50,7,24,27,10,27,7,14,7,15,16,7,13,4,14,5,15,15,17,20,3,15,3,54,3,1,25,30
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,448,56,6,19,22,8,38,14,28,20,19,3,3,23,3,10,12,12,12,15,21,7,10,1,55,1,0,51,55
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,718,69,10,13,12,4,54,6,26,12,15,9,6,27,7,9,11,11,14,24,18,2,10,3,52,1,1,77,57
実施していない理由,医師に止められており、身体的にできない,127,66,16,1,1,3,1,11,3,6,4,5,0,1,3,0,1,3,1,2,4,7,3,0,0,5,0,1,20,15
実施していない理由,どのくらい体を動かしたらよいかわからない,74,45,9,1,1,1,1,7,2,2,2,2,1,0,2,0,1,0,0,0,2,2,1,0,0,3,0,0,9,9
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,29,4,3,4,0,2,6,1,5,1,1,0,0,4,0,4,1,0,0,2,1,1,1,0,8,0,0,8,8
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,19,3,0,1,2,1,4,4,4,2,1,0,0,3,0,1,2,0,0,1,2,2,0,0,3,0,0,3,5
実施していない理由,自分に合ったスポーツや運動の情報がない,89,50,7,0,2,2,1,6,1,8,2,2,0,0,4,1,3,4,0,2,4,1,1,2,1,9,0,0,6,9
実施していない理由,一緒にできる仲間がいない,96,65,5,0,4,2,0,6,2,3,1,1,0,0,3,1,2,3,1,0,0,3,0,2,0,8,0,0,6,5
実施していない理由,介助者がいない,93,38,17,1,4,2,0,14,3,5,6,2,0,0,6,0,0,3,3,1,5,4,2,1,0,16,0,0,13,12
実施していない理由,金銭的な余裕がない,117,76,6,0,1,2,0,8,1,3,3,2,1,0,5,0,3,2,0,0,3,4,3,2,1,7,0,0,9,6
実施していない理由,時間がない,90,70,4,0,1,1,0,3,0,1,0,1,0,0,2,0,0,2,0,1,2,0,1,0,1,5,0,0,6,5
実施していない理由,必要な競技用具や補助具がない,42,17,7,0,3,2,0,6,3,4,6,1,0,0,0,0,0,1,0,0,1,2,1,1,0,8,0,0,8,5
実施していない理由,その他,87,41,11,3,1,1,0,7,5,7,8,5,0,0,2,0,3,2,1,3,4,2,1,0,0,4,0,0,18,13
実施していない理由,活動したいと思わない,666,467,45,7,9,7,2,35,5,17,7,4,5,1,12,3,2,5,5,10,7,11,1,3,0,30,0,0,60,45
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,120,8,0,1,0,0,5,1,1,0,1,5,0,5,1,0,2,0,1,0,0,0,1,0,6,0,0,8,1
活動したいと思わない理由,スポーツ・運動に興味がないから,151,101,8,0,3,0,0,10,2,3,1,2,3,0,5,1,0,2,1,2,2,1,0,2,0,12,0,0,16,9
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,24,2,0,0,0,1,2,1,0,0,1,1,0,2,0,0,1,0,2,0,0,0,0,0,2,0,0,3,2
活動したいと思わない理由,疲れるから,163,110,13,1,2,3,0,8,3,4,1,1,2,0,4,0,1,1,2,5,1,2,0,0,0,11,0,0,17,12
活動したいと思わない理由,人前に出るのが好きではないから,57,35,4,0,1,0,0,0,0,2,0,1,1,0,3,0,0,1,0,0,1,0,0,0,0,4,0,0,8,5
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,11,1,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
活動したいと思わない理由,スポーツ以外に趣味があるから,64,42,1,1,1,0,1,0,0,3,0,0,3,0,3,1,1,0,1,3,3,4,0,0,0,4,0,0,5,6
活動したいと思わない理由,忙しいから,34,27,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1
活動したいと思わない理由,その他,56,24,13,2,1,2,0,11,1,4,1,0,0,0,2,0,0,0,2,1,0,2,1,0,0,6,0,0,11,5
活動したいと思わない理由,わからない,216,164,10,3,3,3,0,9,0,2,4,1,0,1,1,0,0,2,0,2,1,3,0,1,0,3,0,0,12,17
学校体育の参加状況,参加していて、体育が好きである,279,128,13,2,11,9,4,18,6,4,2,4,3,4,1,0,4,1,11,8,9,9,5,29,5,104,6,2,8,6
学校体育の参加状況,参加しているが、体育は好きではない,146,87,5,1,5,6,4,8,2,2,2,2,1,1,0,0,0,2,2,3,3,3,0,12,1,26,0,2,3,1
学校体育の参加状況,参加していない,42,26,3,1,1,1,0,4,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0,2,0,5,0,1,1,1
学校体育の参加状況,わからない,37,22,1,0,0,2,0,4,0,0,0,0,0,0,1,0,1,0,2,1,5,0,0,3,0,8,1,0,2,0
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,0,1,1,1
学校体育に参加しない理由,自分にはできないと思ったから,12,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
学校体育に参加しない理由,医師から止められていたから,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学校体育に参加しない理由,その他,12,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0
スポーツ・運動の参加方法,現地の会場で対面での参加,1083,653,75,5,34,44,7,45,19,24,12,23,21,10,40,9,17,12,25,27,35,40,11,41,6,125,6,4,42,39
スポーツ・運動の参加方法,リモート参加,134,64,20,4,11,12,7,6,5,9,2,8,2,0,3,1,6,2,1,2,4,4,4,3,1,1,1,1,6,6
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,241,132,22,5,6,6,8,12,3,12,6,6,6,3,6,2,7,2,9,6,3,7,5,6,1,15,0,0,15,15
スポーツ・運動の参加方法,参加したいと思わない,1768,1268,105,15,19,19,7,78,7,40,23,28,13,10,40,7,15,17,16,22,34,30,5,5,3,67,1,0,116,105
参加したいスポーツ活動,ルールが簡単,891,524,57,8,29,31,4,41,13,31,7,20,25,9,44,8,14,14,26,20,22,32,12,32,7,107,5,3,35,38
参加したいスポーツ活動,自分のペースに合わせてできる,1507,977,105,9,34,37,10,56,17,41,15,32,21,13,53,15,20,17,31,28,41,45,11,35,7,122,3,4,82,80
参加したいスポーツ活動,汗をかかない,151,82,26,2,7,5,2,6,5,7,2,4,6,1,6,1,2,2,4,6,5,8,6,2,1,9,1,0,10,10
参加したいスポーツ活動,自宅で実施できる,570,338,61,8,16,19,3,31,10,25,7,19,8,1,21,3,12,5,12,16,17,23,7,9,3,30,1,0,48,55
参加したいスポーツ活動,短い時間で実施できる,705,431,50,4,21,27,7,35,13,31,10,21,11,6,31,8,12,7,14,16,15,22,7,11,4,46,3,1,47,50
参加したいスポーツ活動,上達したことが分かる,362,196,33,3,12,21,5,12,11,14,2,9,9,8,13,5,6,6,14,11,15,18,5,20,5,44,2,3,23,21
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,203,115,13,1,5,10,5,15,6,8,1,6,6,2,11,1,6,5,10,8,13,11,4,10,5,23,2,1,7,3
参加したいスポーツ活動,好きな種目を選べる,468,294,28,3,7,12,1,15,8,16,5,9,12,7,22,8,11,6,20,17,12,14,4,11,5,44,5,0,22,21
参加したいスポーツ活動,やったことがないスポーツを試せる,138,68,13,0,6,8,2,10,5,3,1,2,3,3,7,3,3,2,10,5,9,8,4,13,4,27,2,1,3,6
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,355,216,19,0,7,12,2,17,8,10,5,9,14,3,21,7,8,6,15,11,15,13,3,10,4,39,2,2,21,13
参加したいスポーツ活動,有名な選手に会える,85,48,7,0,3,2,1,5,2,2,0,2,5,3,3,4,5,0,4,5,6,7,1,3,2,8,3,1,5,2
参加したいスポーツ活動,親子で一緒に参加ができる,149,60,7,0,6,6,2,13,4,5,4,4,2,2,9,1,6,5,10,6,9,7,3,17,2,44,4,2,3,3
参加したいスポーツ活動,新しい友達をつくることができる,263,142,24,2,10,14,1,10,5,5,1,8,7,5,10,4,12,3,13,10,9,11,4,21,3,40,2,4,12,9
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,130,73,14,1,3,3,1,6,5,5,4,1,3,0,4,3,4,0,8,9,9,9,4,8,2,20,2,2,12,13
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,365,215,26,1,9,18,3,17,9,14,6,7,10,3,14,6,6,6,17,10,14,15,2,25,3,54,2,3,24,18
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,326,195,25,1,5,7,1,18,4,10,7,10,7,1,16,2,6,5,13,8,19,13,1,9,2,37,2,3,29,23
参加したいスポーツ活動,その他,63,38,2,1,1,1,0,4,0,0,2,2,2,2,2,1,2,1,4,3,2,3,0,1,1,5,0,0,3,3
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,909,663,57,11,11,9,1,37,5,21,14,11,7,2,14,2,7,3,6,10,11,13,2,2,0,33,1,0,66,50
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,344,198,43,7,16,14,4,17,6,12,0,8,8,5,11,4,7,3,11,12,12,20,6,10,4,24,2,3,14,20
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,375,219,52,5,20,20,3,17,6,19,6,13,6,2,13,4,9,4,10,12,15,14,10,11,1,23,3,1,20,26
スポーツ・運動の継続実施に必要なもの,会場までの送迎,360,174,46,6,21,23,3,21,7,18,3,18,10,3,14,5,11,9,13,17,19,18,3,16,2,45,2,1,28,30
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,274,115,31,7,17,24,12,23,7,15,6,8,8,6,14,3,10,6,15,12,17,17,3,11,2,36,2,3,15,11
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,463,227,39,4,19,25,7,29,8,14,4,17,9,6,20,4,8,7,20,15,25,19,4,27,6,76,5,3,20,23
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,120,45,15,3,11,12,4,14,5,12,4,3,3,0,3,0,5,2,9,10,12,8,5,5,1,24,3,1,5,7
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,232,116,25,4,14,13,3,16,5,9,4,11,6,5,9,5,7,4,16,13,12,11,2,15,4,34,2,3,16,13
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,138,64,19,3,6,11,2,15,5,10,2,5,4,0,6,1,7,2,10,6,13,8,2,10,3,21,3,1,13,7
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,109,44,16,3,4,8,2,9,4,6,3,3,4,5,3,1,3,0,11,9,11,8,3,6,2,19,2,1,8,7
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,165,32,1,9,12,3,18,5,10,7,14,8,3,10,4,7,3,12,8,19,15,3,4,1,22,3,1,21,15
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,87,14,1,5,3,0,9,3,6,2,3,6,2,3,3,2,2,12,7,8,5,3,10,1,14,3,0,5,2
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,105,16,1,5,7,0,14,4,6,2,5,5,3,4,1,6,3,10,8,10,7,2,8,3,19,3,0,11,5
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,193,20,2,9,14,1,11,3,8,2,8,13,2,13,4,8,2,16,11,14,12,1,16,2,40,4,3,19,18
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,51,9,1,5,2,1,3,2,3,3,1,1,1,4,0,2,1,7,5,6,6,3,4,1,12,1,0,9,5
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,152,23,2,5,5,4,13,3,7,6,6,4,2,10,0,3,3,11,10,11,13,3,10,1,24,1,0,22,21
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,200,17,3,6,10,1,9,3,8,2,6,13,5,16,5,8,1,12,12,12,10,2,20,3,40,3,3,21,13
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,152,21,1,8,15,1,13,7,9,4,11,12,6,15,6,8,4,15,16,13,13,2,20,3,40,2,1,16,16
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,80,10,1,5,6,0,6,2,5,2,1,5,1,10,2,6,1,9,10,10,9,2,14,2,25,2,0,10,10
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,194,19,1,8,10,2,18,4,10,3,10,11,3,18,3,5,5,17,14,16,14,1,19,3,64,3,3,26,20
スポーツ・運動の継続実施に必要なもの,その他,44,34,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,2,3,1,2,0,1,1,3,0,0,1,2
スポーツ・運動の継続実施に必要なもの,特にない,362,311,4,0,4,3,0,4,0,4,2,1,3,4,8,1,4,2,2,1,6,7,0,1,2,6,0,0,10,6
スポーツ・運動の継続実施に必要なもの,わからない,247,196,9,0,0,5,0,3,0,3,0,6,5,1,9,0,1,1,5,3,2,2,0,0,0,8,1,0,4,6
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,154,28,5,7,12,4,7,2,8,0,2,4,4,10,1,5,4,6,7,10,9,3,3,0,10,1,0,8,16
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,134,38,5,11,11,3,15,8,12,1,6,4,2,6,2,7,2,5,10,8,5,5,4,2,6,0,0,10,19
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,162,38,6,16,19,5,21,4,15,5,12,7,3,9,4,4,7,8,9,20,18,4,10,3,38,2,0,19,26
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,58,19,6,12,10,5,7,3,8,2,7,6,4,6,0,8,3,4,7,9,9,4,8,0,19,1,1,5,4
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,173,29,4,8,16,5,22,5,13,3,10,10,5,13,3,8,6,11,8,11,14,7,20,3,62,1,2,12,10
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,24,5,1,5,5,5,7,2,6,0,1,0,1,3,0,1,1,3,1,4,6,3,1,0,7,0,0,2,4
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,65,17,2,6,10,3,8,3,6,2,7,6,3,5,0,5,3,4,5,7,6,1,9,0,17,1,1,7,6
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,39,5,0,1,3,1,8,2,4,2,1,0,0,5,1,2,1,2,3,3,5,1,1,0,2,1,0,2,4
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,25,2,1,2,4,0,4,1,0,1,2,2,2,1,0,3,0,3,3,5,3,1,2,2,8,2,1,2,3
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,113,15,0,3,6,3,10,4,3,4,9,4,4,6,3,2,4,3,6,7,5,3,4,1,9,1,1,12,8
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,60,4,0,1,1,0,0,1,1,2,0,1,2,8,0,2,0,4,3,5,3,1,3,1,5,2,0,3,2
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,79,4,0,2,0,0,3,0,1,1,1,1,0,3,1,1,1,5,1,1,1,2,2,0,5,0,0,5,1
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,168,12,0,4,2,0,7,3,5,4,5,8,3,9,1,5,1,10,5,5,7,1,5,4,21,1,1,9,6
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,33,2,1,1,2,2,4,1,2,3,1,1,1,1,0,1,1,1,1,1,1,2,2,0,4,0,0,3,2
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,89,14,0,1,1,2,6,5,6,3,7,3,0,3,0,4,2,5,4,5,4,2,5,1,9,1,0,12,13
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,129,6,0,5,8,1,8,4,4,4,5,6,2,6,3,5,3,4,6,3,6,1,6,4,18,1,0,4,4
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,95,10,0,4,10,1,5,1,3,1,5,7,4,3,3,4,3,3,9,3,5,0,7,0,21,2,0,4,5
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,21,4,0,2,4,0,1,0,0,1,3,2,0,2,2,1,0,0,1,2,1,1,3,1,4,0,0,1,2
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,169,10,0,3,7,2,20,3,10,3,9,10,1,7,4,7,6,9,6,13,8,1,20,1,58,3,3,19,14
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,3,0,0,1,3
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,338,9,0,5,5,0,3,0,3,2,1,4,2,10,1,4,1,2,2,3,7,0,1,1,8,0,0,9,6
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,196,8,0,2,5,0,4,0,2,0,6,3,3,10,0,2,1,4,2,3,4,0,3,0,8,1,0,8,6
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,19,3,2,2,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,2,1,2,0,0,4,0,0,5,3
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,16,7,1,2,1,1,3,1,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,4,5
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,41,14,3,8,1,1,10,3,9,2,6,0,0,5,1,2,3,1,3,4,6,0,3,0,7,0,1,15,17
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,10,7,1,3,2,0,4,3,5,4,1,0,0,2,1,1,0,1,1,0,1,1,0,0,9,0,0,4,4
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,47,14,2,6,2,1,10,3,10,4,2,0,0,7,1,2,5,3,3,5,3,0,4,0,15,0,0,14,15
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,7,4,0,2,0,0,5,3,4,2,1,0,0,2,0,0,0,1,0,2,1,0,2,0,7,0,0,3,7
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,15,4,0,0,0,0,5,1,2,4,1,0,0,1,0,1,2,1,1,2,2,1,0,0,7,0,0,4,3
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,4,1,0,1,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,1,1,2
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,3,1,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,32,4,1,2,0,2,5,3,5,4,3,0,0,2,1,1,6,0,0,4,3,1,0,0,1,0,0,8,12
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,30,4,0,1,0,0,4,1,2,0,2,0,0,0,0,1,0,0,1,0,3,0,1,0,3,0,0,5,3
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,34,8,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,5,0,0,7,11
