調査項目,回答,全体(人),視覚障害(人),聴覚・平衡機能障害(人),音声・言語・そしゃく機能障害(人),肢体不自由（上肢）(人),肢体不自由（下肢）(人),肢体不自由（体幹）(人),肢体不自由（脳原性運動機能障害）(人),内部障害(人),知的障害(人),精神障害(人),その他(人),肢体不自由(人)
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,280,16,28,14,38,63,29,6,75,35,68,6,94
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,136,13,18,8,8,20,10,2,20,39,32,5,30
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,172,15,20,8,23,32,12,4,25,42,45,10,46
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,314,22,24,13,39,65,28,7,53,73,84,15,95
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,89,8,12,8,13,24,8,1,13,12,26,4,28
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,258,21,24,20,33,61,29,7,49,40,63,7,87
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,331,25,27,14,20,50,24,5,50,89,103,8,70
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,291,15,22,11,29,55,28,7,39,89,80,12,78
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,157,9,13,11,16,32,14,5,22,51,40,10,43
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,356,14,25,21,43,72,26,9,57,109,95,13,98
スポーツ・運動の継続実施に必要なもの,その他,44,3,6,2,4,10,3,1,9,6,13,0,13
スポーツ・運動の継続実施に必要なもの,特にない,362,20,36,6,40,49,11,4,103,34,103,5,80
スポーツ・運動の継続実施に必要なもの,わからない,247,17,12,3,20,33,8,1,56,45,92,3,49
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,245,36,33,12,26,51,19,8,52,40,37,4,76
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,228,33,26,7,37,54,26,8,50,31,39,7,86
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,321,28,20,20,46,85,37,10,53,82,59,11,123
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,159,17,21,11,14,32,13,6,20,40,23,7,49
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,340,24,30,14,32,47,22,7,62,109,67,8,85
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,65,7,17,0,9,6,7,1,4,17,9,1,19
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,142,14,12,5,16,18,13,5,24,37,33,5,40
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,75,7,8,7,5,12,7,1,18,14,18,3,17
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,54,9,6,3,6,6,4,1,10,13,12,5,13
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,186,8,16,7,23,38,19,2,54,22,42,6,59
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,85,6,6,2,2,10,7,2,17,21,20,0,19
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,102,9,12,1,12,16,5,1,14,19,33,2,24
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,245,11,21,10,28,42,21,4,49,52,66,7,70
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,50,2,5,3,11,16,6,1,11,7,16,0,18
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,146,8,18,10,16,40,24,3,33,10,38,3,61
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,197,13,15,5,9,16,10,0,37,50,63,1,29
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,164,9,14,5,14,26,6,2,21,51,50,2,33
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,47,3,5,2,6,8,4,2,10,13,12,3,12
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,303,7,25,13,32,49,18,6,61,85,79,12,78
新たに別のスポーツ・運動を始めるために必要な支援,その他,23,0,2,0,3,7,1,0,2,6,7,1,7
新たに別のスポーツ・運動を始めるために必要な支援,特にない,396,28,39,10,45,63,13,4,109,36,123,5,88
新たに別のスポーツ・運動を始めるために必要な支援,わからない,249,19,16,4,22,31,9,2,55,47,84,1,50
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,31,1,2,0,6,15,5,3,2,6,6,1,18
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,2,1,0,6,16,5,3,4,3,6,2,19
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,7,6,2,20,38,20,7,11,23,10,5,53
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,2,3,1,8,14,9,3,3,12,12,0,18
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,7,5,3,21,42,19,6,14,32,18,2,56
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,1,2,1,8,12,8,1,1,5,5,1,19
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,4,3,4,7,11,8,6,4,9,10,0,20
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,0,0,0,3,5,5,1,1,5,4,0,6
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,1,2,0,1,2,2,0,0,0,1,0,2
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,2,8,4,12,22,13,5,18,8,12,3,32
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,0,0,1,2,2,1,0,2,3,1,1,3
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,0,1,1,3,5,0,1,5,1,4,0,8
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,3,5,2,5,13,8,1,6,5,15,2,21
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,0,0,0,2,4,3,0,1,0,3,0,5
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,56,1,3,3,15,21,12,2,4,5,14,1,32
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,0,4,2,4,11,5,0,7,12,15,2,17
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,2,3,3,8,18,7,2,5,17,22,2,27
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,0,0,0,1,3,2,1,1,5,7,1,5
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,7,10,6,10,26,10,5,14,22,17,3,36
スポーツを始めるきっかけとして必要な支援,その他,23,3,2,3,2,4,5,2,5,3,5,1,9
スポーツを始めるきっかけとして必要な支援,特にない,385,27,33,17,49,123,62,14,79,34,97,9,167
スポーツを始めるきっかけとして必要な支援,わからない,354,31,37,25,48,90,46,13,55,55,102,5,130
スポーツ以外に関心のある事,旅行,1225,78,134,42,141,251,97,25,310,150,275,30,367
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,77,118,41,138,241,104,26,259,178,292,28,360
スポーツ以外に関心のある事,買い物・ショッピング,840,47,80,28,95,164,68,16,189,95,247,20,242
スポーツ以外に関心のある事,テレビ視聴,1133,66,111,39,142,271,124,28,235,185,249,33,403
スポーツ以外に関心のある事,動画配信サービス視聴,912,53,60,25,85,135,67,10,161,214,302,23,211
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,33,30,14,46,86,42,9,92,85,164,18,135
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,32,40,17,53,85,43,9,90,63,223,8,127
スポーツ以外に関心のある事,インターネット閲覧,957,55,64,24,113,184,80,20,183,146,320,20,272
スポーツ以外に関心のある事,映画鑑賞,765,31,69,21,90,167,60,13,200,85,200,21,234
スポーツ以外に関心のある事,読書,563,29,53,13,65,129,57,14,148,34,153,16,194
スポーツ以外に関心のある事,アニメ／漫画,592,29,41,14,48,76,44,12,81,140,246,16,120
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,35,42,16,53,90,46,8,93,161,198,17,136
スポーツ以外に関心のある事,写真の撮影,289,14,25,5,20,49,22,8,62,55,89,11,71
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,14,30,8,22,42,27,5,61,92,110,9,72
スポーツ以外に関心のある事,美術鑑賞,293,9,26,9,39,64,26,5,82,17,86,8,98
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,15,25,18,33,69,27,9,93,33,112,9,102
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,7,19,8,18,41,19,2,46,12,47,2,60
スポーツ以外に関心のある事,カラオケ,330,20,15,7,31,58,27,6,56,76,120,10,87
スポーツ以外に関心のある事,楽器の演奏,161,8,8,6,13,28,10,1,34,21,59,3,39
スポーツ以外に関心のある事,料理・菓子作り,284,18,30,15,30,52,21,4,67,40,79,7,71
スポーツ以外に関心のある事,園芸・ガーデニング,189,18,31,11,31,50,20,8,59,12,38,10,68
スポーツ以外に関心のある事,日曜大工,75,8,10,3,9,23,8,1,19,5,15,4,29
スポーツ以外に関心のある事,編み物・手芸,123,8,19,6,10,27,11,3,22,14,49,8,36
スポーツ以外に関心のある事,和裁・洋裁,46,4,5,2,3,9,4,1,11,3,15,4,12
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,3,4,0,0,3,1,2,2,10,12,3,6
スポーツ以外に関心のある事,ギャンブル,103,5,9,7,17,26,13,3,20,5,35,1,38
スポーツ以外に関心のある事,その他,134,7,11,6,17,33,13,2,28,19,37,3,45
スポーツ以外に関心のある事,特にない,322,42,34,20,43,79,43,21,56,63,79,5,114
情報入手先,家族,1446,95,148,67,161,283,131,37,280,321,325,30,438
情報入手先,友人,791,57,87,25,81,146,53,11,155,132,197,21,209
情報入手先,学校や職場、施設の人,564,32,56,25,45,73,42,13,70,215,131,16,118
情報入手先,ボランティア,76,7,7,3,5,10,6,3,10,20,16,3,21
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,21,16,20,51,71,44,12,19,37,29,10,123
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,25,31,26,69,116,55,13,78,37,81,12,167
情報入手先,テレビ,1551,96,136,57,189,381,159,38,359,202,331,33,558
情報入手先,ラジオ,314,26,23,17,47,89,37,8,69,25,66,8,129
情報入手先,新聞,466,29,59,19,51,136,46,6,129,22,62,10,193
情報入手先,雑誌,199,13,27,5,13,40,16,0,57,15,46,3,56
情報入手先,障害者団体の会合や機関誌,80,6,5,1,10,15,7,4,14,19,19,1,23
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,37,46,19,81,161,64,12,148,89,257,16,222
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,54,86,26,148,245,95,21,268,117,345,24,358
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,43,56,18,85,125,57,11,154,98,329,10,192
情報入手先,動画配信サービス（YouTubeなど）,718,33,42,14,51,112,52,11,128,149,267,17,164
情報入手先,行政の窓口,164,9,10,7,12,35,20,9,39,22,54,6,54
情報入手先,区市町村などの広報誌,272,12,17,7,28,66,28,9,84,16,77,7,91
情報入手先,その他,16,0,1,0,3,5,2,3,0,3,5,0,9
情報入手先,わからない,84,11,9,3,8,15,5,3,15,18,16,0,22
情報入手先,得ていない,181,28,15,13,22,43,22,13,27,40,50,5,59
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,515,44,69,17,40,64,36,11,82,115,144,12,112
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,390,33,46,15,30,47,28,9,45,98,102,12,89
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,758,38,29,9,25,34,24,11,39,58,75,10,187
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,257,26,184,91,265,504,210,55,422,282,486,36,65
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,2004,146,0,0,0,0,0,0,0,0,0,0,723
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,104,128,53,154,247,116,31,261,297,370,27,402
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,139,157,80,230,431,188,49,355,240,434,37,619
デフリンピックの認知度,よく内容を知っている,187,26,41,10,22,31,15,5,24,18,27,4,63
デフリンピックの認知度,見たり聞いたりしたことがある,792,66,89,29,84,157,66,15,158,109,187,20,242
デフリンピックの認知度,知らない,2247,155,170,96,281,496,227,62,437,425,610,44,728
デフリンピックに期待すること,競技観戦,393,34,63,16,48,67,31,10,58,81,71,12,118
デフリンピックに期待すること,記録の更新,195,22,22,6,16,35,20,8,35,23,48,5,60
デフリンピックに期待すること,日本人選手の活躍,724,50,77,30,84,149,61,17,148,115,165,16,229
デフリンピックに期待すること,外国人選手の活躍,183,13,20,5,19,33,14,5,42,25,51,4,52
デフリンピックに期待すること,国際交流の促進,291,30,48,14,36,56,28,11,62,42,62,12,86
デフリンピックに期待すること,大会記念グッズの展開,91,11,14,6,12,17,8,1,10,10,23,2,30
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,13,22,6,23,38,22,7,36,26,54,7,64
デフリンピックに期待すること,競技体験,104,6,13,4,12,13,10,4,22,27,28,4,26
デフリンピックに期待すること,大会への子供の参加,160,13,23,5,16,28,13,6,33,34,38,4,41
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,11,30,2,19,31,19,8,27,13,40,8,56
デフリンピックに期待すること,手話の普及と理解の促進,187,9,36,6,17,33,16,3,33,21,54,10,53
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,22,46,9,32,64,37,10,53,56,80,10,100
デフリンピックに期待すること,障害や障害者への理解の促進,593,28,49,22,81,134,63,22,112,138,150,20,192
デフリンピックに期待すること,その他,13,1,2,1,2,8,2,1,1,2,0,1,9
デフリンピックに期待すること,期待するものはない,1686,127,132,73,200,389,166,44,339,255,481,29,556
