項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
3,1,0,0,0,土地家屋借金純減,2705,-,-8.1,2924,-,2268,-,2605,-,2867,-,3046,-,468,-
3,1,0,0,0,他の借金純減,332,-,69.4,329,-,109,-,-,-,421,-,456,-,497,-
3,1,0,0,0,分割払購入借入金純減,-788,-,-16.7,-878,-,-490,-,-575,-,-947,-,-1052,-,31,-
3,1,0,0,0,一括払購入借入金純減,-19267,-,-90.6,-20567,-,-5542,-,-5895,-,-23944,-,-25351,-,-7477,-
3,1,0,0,0,土地家屋純増,2306,-,...,2582,-,-,-,-,-,3020,-,3336,-,-,-
3,1,0,0,0,その他の純増,566,-,-13.7,633,-,222,-,246,-,679,-,757,-,-69,-
3,1,0,0,0,繰越純増,-20231,-,-13.7,-21382,-,-22995,-,-25599,-,-19181,-,-20050,-,-9147,-
,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成30年,,,,,,,,,,,,,,,,,,,,
第３０表　年間収入区分別及び住居所有形態別１世帯当たり年平均１か月間の収入と用途別生計支出　―　無職世帯　―,,,,,,,,,,,,,,,,,,,,
注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。,,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）,,,,,,,,,,,,,,,,,,,,
