Ａ自治体名（障害者サービス担当館）,Ｂ蔵書数録音資料テープ図書作成タイトル,Ｂ蔵書数録音資料テープ図書寄贈タイトル,Ｂ蔵書数録音資料テープ図書購入タイトル,Ｂ蔵書数録音資料テープ雑誌作成タイトル,Ｂ蔵書数録音資料テープ雑誌寄贈タイトル,Ｂ蔵書数録音資料テープ雑誌購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌購入タイトル,Ｂ蔵書数録音資料録音資料合計タイトル,Ｂ蔵書数点字資料点字図書作成タイトル,Ｂ蔵書数点字資料点字図書寄贈タイトル,Ｂ蔵書数点字資料点字図書購入タイトル,Ｂ蔵書数点字資料点字雑誌作成タイトル,Ｂ蔵書数点字資料点字雑誌寄贈タイトル,Ｂ蔵書数点字資料点字雑誌購入タイトル,Ｂ蔵書数点字資料点字資料合計タイトル,Ｂ蔵書数拡大写本タイトル,Ｂ蔵書数点字絵本タイトル,Ｂ蔵書数さわる絵本タイトル,Ｂ蔵書数その他タイトル,Ｃ利用者登録者数（人）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外の読書困難者）,Ｄ職員数専任（正規職員）（人）,Ｄ職員数兼任（正規・非常勤職員）（人）,Ｄ職員数専任（委託・指定管理職員）（人）,Ｄ職員数兼任（委託・指定管理職員）（人）,Ｄ職員数アルバイト（人）,Ｄ職員数その他（人）,Ｅ講習会等実施回数音訳講習会,Ｅ講習会等実施回数研修会,Ｅ講習会等実施回数展示会,Ｅ講習会等実施回数機器操作講習会,Ｅ講習会等実施回数担当者会,Ｅ講習会等実施回数その他,Ｆ貸出機器台数点字プリンター,Ｆ貸出機器台数デイジー再生用,Ｆ貸出機器台数その他,Ｆ貸出機器デイジー再生機器館外貸出サービス実施,Ｇ対面音訳利用状況利用者延人数,Ｇ対面音訳利用状況利用時間,Ｇ対面音訳利用状況音訳延人数,Ｇ対面音訳利用状況対面実施館数,Ｇ対面音訳音訳者職員（人）,Ｇ対面音訳音訳者職員以外（人）,Ｈ資料の自館製作録音資料音訳者職員（人）,Ｈ資料の自館製作録音資料音訳者職員以外（人）,Ｈ資料の自館製作録音資料校正者職員（人）,Ｈ資料の自館製作録音資料校正者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員以外（人）,Ｈ資料の自館製作点訳資料点訳者職員（人）,Ｈ資料の自館製作点訳資料点訳者職員以外（人）,Ｈ資料の自館製作点訳資料校正者職員（人）,Ｈ資料の自館製作点訳資料校正者職員以外（人）,Ｉ貸出・相互貸借個人貸出録音資料テープタイトル,Ｉ貸出・相互貸借個人貸出録音資料ＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出録音資料マルチメディアＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出点字資料タイトル,Ｉ貸出・相互貸借個人貸出その他タイトル,Ｉ貸出・相互貸借個人貸出個人貸出合計タイトル,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借貸出貸出合計（タイトル）,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借借受借受合計（タイトル）,J謝礼等対面音訳音訳者単価（円）,J謝礼等資料の自館製作録音資料音訳者単価（円）,J謝礼等資料の自館製作録音資料校正者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ編集者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ校正者単価（円）,J謝礼等資料の自館製作点訳資料点訳者単価（円）,J謝礼等資料の自館製作点訳資料校正者単価（円）,"J謝礼等宅配協
力
者単価（円）",K負担金サピエ会費の有無, L障害者サービス予算（千円,備　考
小金井市,169,35,39,0,0,0,58,4,0,0,0,0,0,0,0,305,169,?,0,0,?,0,169,0,?,?,0,43,8,?,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,有,4,8,8,1,0,37,0,37,0,37,0,37,0,37,0,29,0,29,0,7,-,0,-,7,0,25,0,0,0,25,0,19,0,0,0,19,"1,200/ｈ","1,200/90m",750/90m,"1,000/90m",500/90m,150/枚,－,0,無,"1,172",
小平市,197,0,0,0,0,0,43,12,18,0,443,85,0,0,0,798,0,403,559,0,0,54,"1,016",17,197,209,23,72,18,9,0,2,0,0,0,0,1,0,7,0,1,1,0,2,0,有,7,14,14,8,0,17,0,17,0,17,0,12,0,12,0,28,0,28,0,355,2,58,354,769,4,22,0,0,0,26,0,27,0,0,0,27,250/h,0,0,0,0,0,0,0,有,"1,081",
日野市,446,20,"1,786",0,0,0,318,16,0,0,423,0,1,4,0,"3,014",506,"1,021",0,2,0,2,"1,531",0,431,0,0,204,123,81,1,1,0,0,0,4,1,0,1,0,2,0,1,15,0,有,140,407,271,2,1,40,1,40,0,40,1,17,1,7,1,11,1,11,141,"3,267",319,388,0,"4,115",4,"5,672",0,"3,307",0,"8,983",88,"1,289",0,32,0,"1,409",1300/h,1300/h,910/h,910/h,640/h,120/枚,90/枚,0,有,"2,494",
東村山市(富士見),238,0,453,0,0,0,45,15,109,0,0,2,2,0,0,864,0,311,0,0,0,0,311,0,?,?,?,59,17,0,0,1,0,1,1,0,1,0,0,2,1,0,0,2,0,有,191,382,380,3,0,42,0,42,0,12,0,14,0,3,-,-,-,-,129,"1,584",0,13,133,"1,859",0,10,0,0,0,10,41,"1,217",0,13,-,"1,271",521/2h,900/90m,900/90m,300/90m,100/90m,－,－,－,有,"1,084",
国分寺市（光）,"2,380",*,*,0,0,0,292,*,*,0,27,52,0,0,0,"2,751",227,*,*,0,0,0,227,?,?,?,0,62,0,24,0,2,0,0,0,0,-,-,-,-,1,-,0,12,3,有,0,0,0,0,0,0,0,20,0,5,0,5,0,*,0,0,0,0,163,702,*,1,0,866,0,0,0,0,0,0,0,629,*,9,0,638,"1,920/1ｈ","1,920/1ｈ",*,*,*,－,－,－,有,411,"・音訳者欄の単価は、音訳者、校正者、DAISY編集者、DAISY校正者を含めたものです。
・音訳者はDAISYの編集、校正を行います。
・Ｉの「個人貸出，相互貸借」の団体借受の数はサピエからのダウンロード数も含んでいます。"
国立市,?,0,0,0,0,0,108,0,0,-,-,-,0,0,0,108,210,*,*,0,?,?,210,-,-,-,-,13,2,0,0,3,0,0,0,0,1,0,0,0,11,0,1,7,0,有,0,0,0,1,0,18,0,18,0,18,0,18,0,18,0,19,0,19,0,"1,591",-,104,-,"1,695",0,31,-,0,-,31,0,172,-,0,-,172,990/h,"1,140/h",284/h,284/h,校正者に含む,"260,000/年（年額固定）",,0,有,"1,614","・絵本は児童サービスに含み、障害者サービスとしてカウントしていない。
・謝金は資料によって異なるため、図書の場合の謝金を記載。"
福生市,0,35,250,0,0,0,0,2,138,0,0,0,0,0,0,422,0,130,2,0,0,0,132,"1,857",0,11,0,9,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,0,0,0,0,0,0,20,0,20,0,20,0,20,0,10,0,10,0,270,0,8,343,621,0,0,0,0,0,0,0,264,0,0,12,276,0,0,0,0,0,0,0,0,有,40,※拡大写本は全てボランティア団体からの寄贈。また、対面音訳は利用者なしのため実績がありません。
狛江市,223,0,0,0,0,0,223,0,0,24,0,0,0,0,0,470,0,0,0,0,0,1,1,0,57,22,0,27,7,1,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,有,26,52,52,1,0,14,0,13,0,13,0,0,0,0,0,8,0,1,0,3,0,0,0,3,0,8,0,0,0,8,15,115,0,0,0,130,870/ｈ,1310/ｈ,870/ｈ,0,0,0,0,0,無,600,録音資料製作は音訳者・校正者が同時にDAISY編集も行っています。
東大和市,452,105,106,1,0,0,147,2,0,0,0,0,1,0,0,814,31,62,1,0,0,0,94,?,?,?,-,38,6,?,0,5,0,0,1,0,1,0,0,0,0,0,1,1,1,無,0,0,0,0,0,20,0,20,0,5,0,20,0,5,0,3,0,1,0,"1,352",-,55,-,"1,407",2,45,0,1,0,48,0,"1,313",0,50,0,"1,363",230/10m,160/10m,70/10m,70/10m,70/10m,100/枚,－,－,有,344,
清瀬市,8,0,209,0,0,0,59,3,0,0,0,0,0,0,0,279,0,75,5,0,0,0,80,13,73,46,0,234,195,2,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,有,39,81,91,1,0,12,0,13,0,13,0,12,0,12,-,-,-,-,0,535,0,14,0,549,0,12,0,0,0,12,0,261,0,14,0,275,1000/h,150/10m,70/10m,70/10m,50/10m,－,－,－,無,254,
東久留米市,856,0,402,0,0,0,71,0,16,0,34,0,0,0,0,"1,379",0,0,0,0,2,0,2,0,0,29,0,30,5,0,0,6,0,0,0,0,2,1,1,0,0,1,0,4,0,有,31,65,43,2,0,14,0,12,0,3,1,0,1,0,0,0,0,0,0,690,-,0,-,690,1,1,-,0,-,2,0,391,-,0,-,391,500/h,1000/h,500/h,500/1タイトル,－,－,－,－,有,606,
武蔵村山市（中藤）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,0,0,233,0,?,0,0,4,4,0,0,0,0,0,0,0,－,－,－,－,－,－,0,0,0,無,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,0,0,0,0,0,0,0,0,0,0,237,237,0,0,0,0,0,0,－,－,－,－,－,－,－,－,無,0,
多摩市,"1,739",13,37,0,0,0,272,47,0,0,379,0,1,8,1,"2,497",64,179,140,0,13,3,399,0,318,265,0,104,41,0,0,10,0,0,3,0,1,1,2,0,5,0,2,8,10,有,268,493,268,3,0,10,0,11,0,4,0,11,0,2,0,2,0,2,29,"2,625",0,62,0,"2,716",4,555,0,0,0,559,0,"2,331",0,6,0,"2,337",600/h,111/10m,88/10m,88/10m,66/10m,100/枚,*,700/回,有,"2,654","・点訳資料は、点訳・校正で１００円１枚。
・マルチメディアデイジーを心身に障がいのある子どもの学校へ貸出しているが、個人貸出ではないため「Ｉ貸出・相互貸借」に数を入れていない。"
稲城市,221,484,369,0,0,0,97,2,0,0,0,0,0,0,0,"1,173",0,20,0,0,0,1,21,10,3,21,47,14,4,3,0,1,0,1,0,0,1,-,-,-,-,-,1,5,0,無,0,0,0,0,1,0,0,9,0,4,0,9,0,4,0,0,0,0,0,84,0,?,58,142,2,11,0,0,0,13,0,71,0,3,0,74,0,700/30m,300/30m,150/30m,0,－,－,0,無,362,
羽村市,0,10,156,0,0,0,0,23,57,0,38,56,0,0,0,340,0,23,0,0,0,0,23,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,無,2,4,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,29,38,74,0,0,0,0,0,0,0,7,0,0,23,30,0,0,0,0,0,0,0,0,無,300,
あきる野市,60,42,0,0,0,0,41,5,0,0,22,0,1,7,0,178,0,26,0,0,0,24,50,0,0,0,22,26,7,0,0,4,-,-,-,-,1,-,-,-,-,-,-,3,-,有,0,0,0,3,2,18,2,11,3,11,0,11,3,11,-,-,-,-,0,28,0,0,0,28,0,38,0,0,0,38,0,19,0,0,0,19,-,-,-,-,-,-,-,-,有,396,
西東京市（谷戸）,"1,097",0,352,0,0,0,810,0,164,0,24,48,59,0,0,"2,554",212,0,0,0,0,2,214,0,41?,37,0,58,20,1,3,1,0,0,0,0,1,7,-,-,12,8,-,3,19,有,124,248,248,3,0,19,0,44,0,21,0,33,0,21,0,18,0,18,1,778,0,1,0,780,1,152,0,0,0,153,1,661,0,1,0,663,500/ｈ,1050/90ｍ,450/90ｍ,500/90ｍ,－,60/枚,15/枚,0,有,"3,028",・児童書で点字つきの資料については別途数えて管理していないため、計上できない　・点字雑誌購入については「点字毎日」と「点字ジャーナル」２タイトル購入しているので２タイトルと入力、発行回数ごとの数値ではありません。　　　
市合計,"13,731","1,149","6,352",16,10,0,"7,195",496,"1,632",31,"2,047",466,314,128,14,"33,578","7,759","3,662","1,503",5,177,489,"13,828","1,897","1,501","1,016","1,133","2,022",771,139,13,69,0,19,6,16,26,11,29,5,41,17,8,136,50,20,"2,319","4,154","3,725",43,16,530,3,632,4,427,3,419,8,410,1,177,1,143,"1,447","27,737",347,"1,118","1,366","32,015",56,"11,082",0,"3,309",276,"14,723",848,"17,427",0,338,49,"18,662",,,,,,,,,18,"33,960",
瑞穂町,-,0,0,-,0,0,-,0,15,-,0,0,-,0,0,15,-,0,0,-,0,0,0,-,17,18,-,-,-,-,0,20,0,0,0,0,-,-,-,-,-,-,-,1,-,無,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,
日の出町,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,－,－,－,5000/1タイトル,－,－,－,－,無,0,
奥多摩町（古里）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,
檜原村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,
町村部合計,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,17,18,0,7,0,0,2,24,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,
大島町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,無,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,
三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,
八丈町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,
青ヶ島村,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
神津島村,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
島しょ合計,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,
合　　計,"27,993","2,486","20,434","1,532",51,52,"17,268","3,606","5,281",85,"2,923","1,412","1,189",378,447,"89,587","13,469","7,873","6,521",40,336,880,"29,352","4,710","2,385","3,475","4,394","8,385","2,768",702,31,228,28,196,18,16,63,17,36,16,89,33,16,378,57,39,"7,769","15,844","9,940",116,31,"1,164",3,"1,344",8,889,6,842,13,782,1,440,2,302,"5,552","116,515",743,"7,957","13,948","144,715",546,"25,423",0,"3,502",510,"30,200","2,388","51,312",3,765,74,"55,001",,,,,,,,,38,"119,894",
