Ａ自治体名（障害者サービス担当館）,Ｂ蔵書数録音資料テープ図書作成タイトル,Ｂ蔵書数録音資料テープ図書寄贈タイトル,Ｂ蔵書数録音資料テープ図書購入タイトル,Ｂ蔵書数録音資料テープ雑誌作成タイトル,Ｂ蔵書数録音資料テープ雑誌寄贈タイトル,Ｂ蔵書数録音資料テープ雑誌購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書作成タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書寄贈タイトル,Ｂ蔵書数録音資料マルチメディアＤＡＩＳＹ図書購入タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌作成タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌寄贈タイトル,Ｂ蔵書数録音資料ＤＡＩＳＹ雑誌購入タイトル,Ｂ蔵書数録音資料録音資料合計タイトル,Ｂ蔵書数点字資料点字図書作成タイトル,Ｂ蔵書数点字資料点字図書寄贈タイトル,Ｂ蔵書数点字資料点字図書購入タイトル,Ｂ蔵書数点字資料点字雑誌作成タイトル,Ｂ蔵書数点字資料点字雑誌寄贈タイトル,Ｂ蔵書数点字資料点字雑誌購入タイトル,Ｂ蔵書数点字資料点字資料合計タイトル,Ｂ蔵書数拡大写本タイトル,Ｂ蔵書数点字絵本タイトル,Ｂ蔵書数さわる絵本タイトル,Ｂ蔵書数その他タイトル,Ｃ利用者登録者数（人）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外）,Ｃ利用者登録者数内訳登録者内数（視覚障害以外の読書困難者）,Ｄ職員数専任（正規職員）（人）,Ｄ職員数兼任（正規・非常勤職員）（人）,Ｄ職員数専任（委託・指定管理職員）（人）,Ｄ職員数兼任（委託・指定管理職員）（人）,Ｄ職員数アルバイト（人）,Ｄ職員数その他（人）,Ｅ講習会等実施回数音訳講習会,Ｅ講習会等実施回数研修会,Ｅ講習会等実施回数展示会,Ｅ講習会等実施回数機器操作講習会,Ｅ講習会等実施回数担当者会,Ｅ講習会等実施回数その他,Ｆ貸出機器台数点字プリンター,Ｆ貸出機器台数デイジー再生用,Ｆ貸出機器台数その他,Ｆ貸出機器デイジー再生機器館外貸出サービス実施,Ｇ対面音訳利用状況利用者延人数,Ｇ対面音訳利用状況利用時間,Ｇ対面音訳利用状況音訳延人数,Ｇ対面音訳利用状況対面実施館数,Ｇ対面音訳音訳者職員（人）,Ｇ対面音訳音訳者職員以外（人）,Ｈ資料の自館製作録音資料音訳者職員（人）,Ｈ資料の自館製作録音資料音訳者職員以外（人）,Ｈ資料の自館製作録音資料校正者職員（人）,Ｈ資料の自館製作録音資料校正者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ編集者職員以外（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員（人）,Ｈ資料の自館製作録音資料ＤＡＩＳＹ校正者職員以外（人）,Ｈ資料の自館製作点訳資料点訳者職員（人）,Ｈ資料の自館製作点訳資料点訳者職員以外（人）,Ｈ資料の自館製作点訳資料校正者職員（人）,Ｈ資料の自館製作点訳資料校正者職員以外（人）,Ｉ貸出・相互貸借個人貸出録音資料テープタイトル,Ｉ貸出・相互貸借個人貸出録音資料ＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出録音資料マルチメディアＤＡＩＳＹタイトル,Ｉ貸出・相互貸借個人貸出点字資料タイトル,Ｉ貸出・相互貸借個人貸出その他タイトル,Ｉ貸出・相互貸借個人貸出個人貸出合計タイトル,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借貸出資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借貸出貸出合計（タイトル）,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）テープ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）ＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）マルチメディアＤＡＩＳＹ,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）点字,Ｉ貸出・相互貸借相互賃借借受資料別（タイトル）その他,Ｉ貸出・相互貸借相互賃借借受借受合計（タイトル）,J謝礼等対面音訳音訳者単価（円）,J謝礼等資料の自館製作録音資料音訳者単価（円）,J謝礼等資料の自館製作録音資料校正者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ編集者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ校正者単価（円）,J謝礼等資料の自館製作点訳資料点訳者単価（円）,J謝礼等資料の自館製作点訳資料校正者単価（円）,"J謝礼等宅配協
力
者単価（円）",K負担金サピエ会費の有無, L障害者サービス予算（千円,備　考,,,,,,,
町田市,461,237,12,14,12,0,217,121,34,0,35,0,273,111,0,"1,527",115,556,89,8,141,62,971,0,380,0,341,196,45,?,0,4,0,0,0,0,1,1,0,0,0,0,0,0,8,無,298,"589時間
30分",298,2,0,24,0,18,0,2,0,3,0,1,0,3,0,3,435,"1,705",3,211,20,"2,374",13,452,0,0,0,465,371,"1,582",0,207,0,"2,160",1000/2h,"1500/h(デジタル録音)
1600/ｈ(カセット録音)","1500/ｈ
(デジタル・カセット)",800/ｈ,800/ｈ,"150/頁(タイプライター・点字板等)
40/頁(パソコン)","30/頁(タイプライター・点字板等)
10/頁(パソコン)","図書カード
500円から",有,"1,513",,,,,,,,
小金井市,169,35,39,0,0,0,64,6,0,-,1,0,0,0,0,314,174,?,0,0,?,0,174,0,73,9,39,43,8,?,0,2,0,0,0,0,1,0,0,1,0,0,0,4,0,有,0,0,0,0,0,37,0,37,0,37,0,37,0,37,0,29,0,29,0,21,‐,0,‐,21,0,26,‐,0,0,26,0,14,‐,0,0,14,"1,200/ｈ","1,200/90m",750/90m,"1,000/90m",500/90m,150/枚,－,0,無,"1,244",,,,,,,,
小平市,197,0,0,0,0,0,50,16,18,0,526,102,0,0,0,909,0,430,559,0,0,57,"1,046",17,211,220,28,78,18,9,0,2,0,0,0,0,1,0,5,0,1,1,0,2,0,有,0,0,0,8,0,17,0,17,0,17,0,12,0,12,0,25,0,25,0,453,1,57,326,837,13,21,0,0,0,34,0,17,0,0,0,17,250/h,0,0,0,0,0,0,0,有,"1,057",,,,,,,,
日野市,0,0,0,0,0,0,365,16,0,0,503,0,2,4,0,890,515,"1,023",0,2,0,2,"1,542",0,454,0,0,223,138,85,1,1,0,0,0,4,1,0,1,0,2,0,1,15,0,有,98,283,189,2,1,40,1,40,0,40,1,19,1,8,1,14,1,14,108,"3,278",325,394,0,"4,105",0,"7,360",0,"4,859",0,"12,219",74,"1,112",0,111,0,"1,297",1300/h,1300/h,910/h,910/h,640/h,120/枚,90/枚,0,有,"2,634",,,,,,,,
東村山市(富士見),238,0,453,0,0,0,54,15,118,0,0,2,2,0,0,882,0,311,0,0,0,0,311,0,?,?,?,59,16,0,0,1,0,1,1,0,1,0,0,1,0,0,0,2,0,有,185,370,370,4,0,38,0,38,0,11,0,14,0,3,-,-,-,-,99,"1,833",0,6,137,"2,075",0,19,0,0,0,19,45,"1,471",0,6,-,"1,522",375/2h,900/90m,900/90m,300/90m,100/90m,未実施,未実施,未実施,有,"1,133",,,,,,,,
国分寺市（光）,"2,016",*,*,0,0,0,311,*,*,0,31,62,0,0,0,"2,420",239,*,*,0,0,0,239,?,?,?,0,36,20,16,0,2,0,0,0,0,1,-,-,-,1,-,0,12,3,有,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,0,0,0,102,647,※,14,0,763,,,,,,0,0,577,0,13,0,590,2000/1h,2000/1h,※,※,※,,,,有,,"　・Ｉの「個人貸出，相互貸借」の数はサピエ等からのダウンロード数も含んでいます。
　・Ｊの音訳者はＤＡＩＤＹの編集・校正を行います。単価は編集・校正等も含めたものになっています。",,,,,,,
国立市,?,‐,-,-,-,-,113,*,*,-,-,-,0,0,0,113,641,*,*,0,？,？,641,-,-,-,-,11,*,-,0,3,0,0,0,0,1,0,0,0,10,0,1,10,-,有,0,0,0,1,0,35,0,35,0,35,0,35,0,35,0,18,0,18,-,"1,724",-,98,-,"1,822",0,36,-,0,-,36,1,245,-,0,-,246,1030/h,1180/h,294/h,294/h,校正者に含む,"260,000/年",,0,有,"1,097","B  点字図書は所蔵数で計上
I    貸出・相互貸借　は所蔵数で計上
J　謝礼等　においては音訳図書の謝礼単価を基に計上。
L 今年度より 図書館システムを一本化した為、点字プリンタのリース、保守の予算は計上していない",,,,,,,
福生市,0,35,250,0,0,0,0,2,172,0,0,0,0,0,0,459,0,141,0,0,0,0,141,0,0,11,0,13,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,113,415,0,0,0,0,0,0,0,51,0,0,0,51,0,0,0,0,0,0,0,0,有,40,"※昨年度計上の拡大写本の冊数については、誤謬です。
音訳については実績なし。",,,,,,,
狛江市,223,0,0,0,0,0,227,0,0,0,28,0,0,0,0,478,0,0,0,0,0,0,0,0,58,22,0,30,10,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,有,39,78,78,1,0,13,0,11,0,11,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,2,0,0,0,2,21,182,0,0,0,203,870/h,1310/h,870/h,0,0,0,0,0,無,549,録音資料製作は音訳者・校正者が同時にDAISY編集も行っています。,,,,,,,
東大和市,452,105,105,0,0,0,166,0,32,0,0,0,1,0,0,861,38,1,70,0,0,0,109,?,0,？,-,39,?,?,0,6,0,0,0,0,1,0,0,0,0,0,1,2,1,無,0,0,0,0,0,0,0,20,0,7,0,20,0,7,0,3,0,1,0,"1,292",0,10,-,"1,302",1,8,0,18,0,27,0,"1,239",0,6,0,"1,245",230/10ｍ,160/10ｍ,70/10ｍ,70/10ｍ,70/10ｍ,１００/枚,－,－,有,414,,,,,,,,
清瀬市,8,0,207,0,0,0,61,3,0,0,0,0,0,0,0,279,0,75,5,0,0,0,80,13,74,46,0,236,196,2,0,3,0,0,0,0,1,0,0,0,1,0,0,2,0,有,21,42,48,1,0,11,0,11,0,11,0,10,0,10,‐,‐,‐,‐,0,457,0,11,0,468,0,4,0,0,0,4,0,233,0,11,0,244,1000/h,150/10m,70/10m,70/10m,150/10m,－,－,‐,無,154,,,,,,,,
東久留米市,856,0,5,0,0,0,71,0,16,0,34,0,0,0,0,982,0,0,0,0,2,0,2,0,0,29,0,30,6,0,0,8,0,0,0,0,2,1,1,0,0,1,0,3,0,有,32,64,47,1,0,13,0,12,0,3,1,0,1,0,0,0,0,0,0,799,－,0,-,799,1,6,－,0,－,7,0,473,－,0,-,473,500/h,1000/h,500/h,500/1タイトル,－,－,－,‐,有,610,,,,,,,,
武蔵村山市（中藤）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,233,0,0,0,0,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,"・図書の貸出数はタイトル数で数えられないので、所蔵数で計上。
・貸出は、すべて宅配による。",,,,,,,
多摩市,"1,698",13,37,0,0,0,272,49,0,0,464,0,1,8,1,"2,543",62,184,142,0,13,3,404,0,329,278,0,101,35,0,0,10,0,0,3,0,1,1,2,0,4,0,2,7,11,有,199,367,199,3,0,10,0,9,0,5,0,9,0,2,0,2,0,2,22,"2,507",0,76,0,"2,605",6,570,0,0,0,576,0,"2,231",0,6,0,"2,237",600/h,111/10m,88/10m,88/10m,66/10m,100/枚,,700/回,有,"3,064","・点訳資料は、点訳・校正で１００円１枚。
・マルチメディアデイジーを心身に障がいのある子どもの学校へ貸出しているが、個人貸出ではないため「Ｉ貸出・相互貸借」に数を入れていない。",,,,,,,
稲城市,221,484,369,0,0,0,102,2,0,0,0,0,0,0,0,"1,178",0,23,0,0,0,2,25,10,3,23,46,10,3,3,0,1,0,2,0,0,2,0,0,0,0,0,1,5,0,無,0,0,0,0,2,0,0,9,0,4,0,9,0,4,0,0,0,0,0,67,0,?,24,91,0,12,0,0,0,12,0,67,0,0,0,67,0,700/30m,300/30m,150/30m,0,－,－,0,無,361,,61,0,37,56,0,0,0
羽村市,0,10,156,0,0,0,0,69,61,0,37,56,0,0,0,389,0,23,0,0,0,0,23,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,29,29,107,0,0,0,0,0,0,0,13,0,0,22,35,0,0,0,0,0,0,0,0,無,288,,,,,,,,
あきる野市,60,42,0,0,0,0,44,5,0,0,28,0,1,7,0,187,0,28,0,0,0,24,52,0,0,0,23,27,9,0,0,6,-,-,-,-,1,-,-,-,-,-,-,3,-,有,-,-,-,3,-,0,4,11,3,11,0,11,3,11,0,0,0,0,1,58,0,0,0,59,0,15,0,0,0,15,0,38,0,0,0,38,-,-,-,-,-,-,-,-,有,416,,,,,,,,
西東京市（谷戸）,251,0,345,0,0,0,"1,078",0,164,0,30,62,0,0,0,"1,930",217,0,0,0,3,2,222,0,41?,37,0,47,23,1,4,2,0,0,0,0,1,6,－,－,8,7,－,10,21,有,122,244,240,4,0,23,0,40,0,24,0,23,0,23,0,18,0,18,0,819,0,62,0,881,0,218,0,0,0,218,0,640,0,0,0,640,500/h,1050/90m,450/90m,500/90m,―,60/枚,15/枚,0,有,"3,072","・蔵書数および資料の自館制作のDAISY図書には、プライベートデイジーも含みます。
・児童書で点字付きの資料については、別途数えて管理していないため計上できない。
・点字雑誌購入については「点字毎日」と「点字ジャーナル」２タイトルを購入しているので２タイトルと入力、発行回数ごとの数値ではありません。",,,,,,,
市合計,"12,048","1,129","4,159",15,12,0,"7,991",587,"1,723",25,"2,434",582,284,130,14,"31,133","8,270","3,694","1,549",10,393,493,"14,409",40,"1,661",978,"1,236","1,977",756,167,19,72,0,20,4,11,23,14,29,4,46,12,7,149,53,20,"2,159","3,673","3,358",43,15,542,5,560,4,408,3,393,8,316,1,168,1,149,"1,348","28,422",474,"1,114","1,172","32,530",133,"12,551",0,"4,877",25,"17,586",773,"17,828",6,436,24,"19,067",,,,,,,,,19,"32,042",,,,,,,,
瑞穂町,‐,0,0,‐,0,0,0,0,15,‐,0,0,‐,0,0,15,‐,0,0,‐,0,0,0,0,25,23,0,‐,‐,‐,0,20,0,0,0,0,‐,‐,‐,‐,‐,‐,0,1,0,無,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,?,‐,‐,‐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,,,,,,,,
日の出町,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5000/1タイトル,0,0,0,0,0,0,無,15,,,,,,,,
奥多摩町（古里）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,無,0,,,,,,,,
檜原村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,,,,,,,,
町村部合計,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,25,23,0,0,0,0,2,22,0,1,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,15,,,,,,,,
大島町,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,無,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無,0,,,,,,,,
三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
八丈町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
青ヶ島村,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
神津島村,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
島しょ合計,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,
合　　計,"25,993","2,490","16,620",624,95,27,"18,534","5,226","5,526",87,"3,652","1,451","1,200",371,410,"86,759","14,204","8,029","6,585",13,698,966,"30,495","3,004","2,696","3,319","4,278","8,387","2,654",778,33,230,28,168,16,11,76,34,39,15,96,26,16,390,61,38,"7,157","14,071","8,408",119,32,"1,201",8,"1,303",9,904,7,846,13,727,1,391,2,307,"4,675","113,671",848,"7,710","14,702","141,606",623,"26,776",6,"5,056",188,"37,359","2,317","54,842",26,900,51,"62,854",,,,,,,,,38,"120,218",,,,,,,,
