No.,区分,素地面,防水仕様名称,工程・材料名,標準仕様書／使用量 (kg/m2),VOC含有率／低VOC (%),VOC含有率／高VOC (%),"VOC排出量／低VOC
(g/m2)","VOC排出量／中VOC
(g/m2)","VOC排出量／中VOC
(g/m2)","VOC排出量／高VOC
(g/m2)"
26,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-1）,アスファルトプライマー塗り,0.2,1,65,2,,,130
26,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-1）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,,,10
26,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-1）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
26,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-1）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,,,10
26,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-1）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
26,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-1）,アスファルトはけ塗り,1,1,1,10,,,10
26,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-1）,アスファルトはけ塗り,1,1,1,10,,,10
27,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-2）,平面合計,,,,42,,,170
27,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-2）,アスファルトプライマー塗り,0.2,1,65,2,,,130
27,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-2）,アスファルトルーフィング1500アスファルト流し張り,1,1,1,10,,,10
27,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-2）,ストレッチルーフィング1000アスファルト流し張り,1,1,1,10,,,10
27,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-2）,アスファルトはけ塗り,1,1,1,10,,,10
27,"新築／改修(P1E,P2E)",RC,屋内防水密着工法（ E-2）,アスファルトはけ塗り,1,1,1,10,,,10
