区分,レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2)
飲食店（その他）,A1-,0.95超-1.00以下,682.8超-718.7以下,23,129
飲食店（その他）,B2+,1.00超-1.05以下,718.7超-754.7以下,27,107
飲食店（その他）,B2,1.05超-1.10以下,754.7超-790.6以下,18,109
飲食店（その他）,B2-,1.10超-1.15以下,790.6超-826.6以下,21,100
飲食店（その他）,B1,1.15超-1.50以下,826.6超-1078.1以下,54,90
飲食店（その他）,C,1.50超,1078.1超,62,60
旅館・ホテル,A4,0.55以下,68.9以下,7,10873
旅館・ホテル,A3+,0.55超-0.60以下,68.9超-75.2以下,7,8539
旅館・ホテル,A3,0.60超-0.65以下,75.2超-81.4以下,5,2429
旅館・ホテル,A3-,0.65超-0.70以下,81.4超-87.7以下,10,3622
旅館・ホテル,A2+,0.70超-0.75以下,87.7超-93.9以下,10,2756
旅館・ホテル,A2,0.75超-0.80以下,93.9超-100.2以下,10,4839
旅館・ホテル,A2-,0.80超-0.85以下,100.2超-106.5以下,13,2954
旅館・ホテル,A1+,0.85超-0.90以下,106.5超-112.7以下,9,5033
旅館・ホテル,A1,0.90超-0.95以下,112.7超-119.0以下,14,5467
旅館・ホテル,A1-,0.95超-1.00以下,119.0超-125.2以下,3,4422
旅館・ホテル,B2+,1.00超-1.05以下,125.2超-131.5以下,9,3698
旅館・ホテル,B2,1.05超-1.10以下,131.5超-137.8以下,10,4407
旅館・ホテル,B2-,1.10超-1.15以下,137.8超-144.0以下,6,3676
旅館・ホテル,B1,1.15超-1.50以下,144.0超-187.8以下,35,3453
旅館・ホテル,C,1.50超,187.8超,10,2716
学校・教育施設,A4,0.55以下,12.9以下,84,5576
学校・教育施設,A3+,0.55超-0.60以下,12.9超-14.1以下,39,8316
学校・教育施設,A3,0.60超-0.65以下,14.1超-15.3以下,66,8312
学校・教育施設,A3-,0.65超-0.70以下,15.3超-16.4以下,102,7841
学校・教育施設,A2+,0.70超-0.75以下,16.4超-17.6以下,117,7217
学校・教育施設,A2,0.75超-0.80以下,17.6超-18.8以下,138,7385
学校・教育施設,A2-,0.80超-0.85以下,18.8超-19.9以下,169,7134
学校・教育施設,A1+,0.85超-0.90以下,19.9超-21.1以下,176,7078
学校・教育施設,A1,0.90超-0.95以下,21.1超-22.3以下,173,6852
学校・教育施設,A1-,0.95超-1.00以下,22.3超-23.4以下,121,6742
学校・教育施設,B2+,1.00超-1.05以下,23.4超-24.6以下,126,6838
学校・教育施設,B2,1.05超-1.10以下,24.6超-25.8以下,109,6992
学校・教育施設,B2-,1.10超-1.15以下,25.8超-27.0以下,56,7271
学校・教育施設,B1,1.15超-1.50以下,27.0超-35.1以下,168,7950
学校・教育施設,C,1.50超,35.1超,137,9098
病院・診療所,A4,0.55以下,58.3以下,9,1469
病院・診療所,A3+,0.55超-0.60以下,58.3超-63.6以下,0,0
病院・診療所,A3,0.60超-0.65以下,63.6超-68.9以下,0,0
病院・診療所,A3-,0.65超-0.70以下,68.9超-74.2以下,0,0
病院・診療所,A2+,0.70超-0.75以下,74.2超-79.5以下,3,4152
病院・診療所,A2,0.75超-0.80以下,79.5超-84.8以下,2,8384
病院・診療所,A2-,0.80超-0.85以下,84.8超-90.1以下,3,4246
病院・診療所,A1+,0.85超-0.90以下,90.1超-95.4以下,5,7796
病院・診療所,A1,0.90超-0.95以下,95.4超-100.7以下,1,500
病院・診療所,A1-,0.95超-1.00以下,100.7超-106.0以下,2,656
病院・診療所,B2+,1.00超-1.05以下,106.0超-111.3以下,4,13365
病院・診療所,B2,1.05超-1.10以下,111.3超-116.6以下,2,638
病院・診療所,B2-,1.10超-1.15以下,116.6超-121.9以下,1,602
病院・診療所,B1,1.15超-1.50以下,121.9超-159.0以下,14,6580
病院・診療所,C,1.50超,159.0超,2,3405
保育所,A4,0.55以下,31.5以下,13,832
保育所,A3+,0.55超-0.60以下,31.5超-34.3以下,3,956
保育所,A3,0.60超-0.65以下,34.3超-37.2以下,6,1719
保育所,A3-,0.65超-0.70以下,37.2超-40.0以下,9,1637
保育所,A2+,0.70超-0.75以下,40.0超-42.9以下,15,1106
保育所,A2,0.75超-0.80以下,42.9超-45.7以下,12,908
保育所,A2-,0.80超-0.85以下,45.7超-48.6以下,23,898
保育所,A1+,0.85超-0.90以下,48.6超-51.4以下,16,903
保育所,A1,0.90超-0.95以下,51.4超-54.3以下,21,1039
保育所,A1-,0.95超-1.00以下,54.3超-57.1以下,19,833
保育所,B2+,1.00超-1.05以下,57.1超-60.0以下,21,865
保育所,B2,1.05超-1.10以下,60.0超-62.9以下,13,971
保育所,B2-,1.10超-1.15以下,62.9超-65.7以下,7,774
保育所,B1,1.15超-1.50以下,65.7超-85.7以下,43,939
保育所,C,1.50超,85.7超,20,789
保健・介護施設,A4,0.55以下,40.0以下,104,1645
保健・介護施設,A3+,0.55超-0.60以下,40.0超-43.6以下,26,1345
保健・介護施設,A3,0.60超-0.65以下,43.6超-47.2以下,20,3192
保健・介護施設,A3-,0.65超-0.70以下,47.2超-50.9以下,18,1976
保健・介護施設,A2+,0.70超-0.75以下,50.9超-54.5以下,22,1602
保健・介護施設,A2,0.75超-0.80以下,54.5超-58.1以下,13,1419
保健・介護施設,A2-,0.80超-0.85以下,58.1超-61.8以下,8,1629
保健・介護施設,A1+,0.85超-0.90以下,61.8超-65.4以下,10,3328
保健・介護施設,A1,0.90超-0.95以下,65.4超-69.0以下,13,1419
保健・介護施設,A1-,0.95超-1.00以下,69.0超-72.6以下,9,2189
保健・介護施設,B2+,1.00超-1.05以下,72.6超-76.3以下,13,2145
保健・介護施設,B2,1.05超-1.10以下,76.3超-79.9以下,12,3762
保健・介護施設,B2-,1.10超-1.15以下,79.9超-83.5以下,10,3034
保健・介護施設,B1,1.15超-1.50以下,83.5超-108.9以下,58,2395
保健・介護施設,C,1.50超,108.9超,86,3467
フィットネス施設,A4,0.55以下,112.0以下,11,3885
フィットネス施設,A3+,0.55超-0.60以下,112.0超-122.1以下,4,7199
フィットネス施設,A3,0.60超-0.65以下,122.1超-132.3以下,5,3033
フィットネス施設,A3-,0.65超-0.70以下,132.3超-142.5以下,7,3915
フィットネス施設,A2+,0.70超-0.75以下,142.5超-152.7以下,3,2559
フィットネス施設,A2,0.75超-0.80以下,152.7超-162.8以下,7,4363
フィットネス施設,A2-,0.80超-0.85以下,162.8超-173.0以下,11,3045
フィットネス施設,A1+,0.85超-0.90以下,173.0超-183.2以下,6,2772
フィットネス施設,A1,0.90超-0.95以下,183.2超-193.4以下,9,3449
フィットネス施設,A1-,0.95超-1.00以下,193.4超-203.5以下,10,2914
フィットネス施設,B2+,1.00超-1.05以下,203.5超-213.7以下,12,2825
フィットネス施設,B2,1.05超-1.10以下,213.7超-223.9以下,7,2964
フィットネス施設,B2-,1.10超-1.15以下,223.9超-234.1以下,11,3386
フィットネス施設,B1,1.15超-1.50以下,234.1超-305.3以下,34,2944
フィットネス施設,C,1.50超,305.3超,9,2174
パチンコ店舗,A4,0.55以下,158.0以下,0,0
パチンコ店舗,A3+,0.55超-0.60以下,158.0超-172.3以下,1,1524
パチンコ店舗,A3,0.60超-0.65以下,172.3超-186.7以下,4,912
パチンコ店舗,A3-,0.65超-0.70以下,186.7超-201.0以下,7,1324
パチンコ店舗,A2+,0.70超-0.75以下,201.0超-215.4以下,3,1024
パチンコ店舗,A2,0.75超-0.80以下,215.4超-229.7以下,7,1490
パチンコ店舗,A2-,0.80超-0.85以下,229.7超-244.1以下,3,895
パチンコ店舗,A1+,0.85超-0.90以下,244.1超-258.4以下,5,902
パチンコ店舗,A1,0.90超-0.95以下,258.4超-272.8以下,7,996
パチンコ店舗,A1-,0.95超-1.00以下,272.8超-287.1以下,11,1459
パチンコ店舗,B2+,1.00超-1.05以下,287.1超-301.5以下,10,1086
パチンコ店舗,B2,1.05超-1.10以下,301.5超-315.9以下,5,691
パチンコ店舗,B2-,1.10超-1.15以下,315.9超-330.2以下,9,881
パチンコ店舗,B1,1.15超-1.50以下,330.2超-430.7以下,12,921
パチンコ店舗,C,1.50超,430.7超,5,722
カラオケボックス店舗,A4,0.55以下,138.7以下,12,612
カラオケボックス店舗,A3+,0.55超-0.60以下,138.7超-151.3以下,3,709
カラオケボックス店舗,A3,0.60超-0.65以下,151.3超-163.9以下,2,850
カラオケボックス店舗,A3-,0.65超-0.70以下,163.9超-176.5以下,9,472
カラオケボックス店舗,A2+,0.70超-0.75以下,176.5超-189.1以下,8,758
カラオケボックス店舗,A2,0.75超-0.80以下,189.1超-201.7以下,12,574
カラオケボックス店舗,A2-,0.80超-0.85以下,201.7超-214.3以下,14,623
カラオケボックス店舗,A1+,0.85超-0.90以下,214.3超-226.9以下,9,680
カラオケボックス店舗,A1,0.90超-0.95以下,226.9超-239.5以下,9,598
カラオケボックス店舗,A1-,0.95超-1.00以下,239.5超-252.1以下,10,854
カラオケボックス店舗,B2+,1.00超-1.05以下,252.1超-264.8以下,20,608
カラオケボックス店舗,B2,1.05超-1.10以下,264.8超-277.4以下,10,551
カラオケボックス店舗,B2-,1.10超-1.15以下,277.4超-290.0以下,10,774
カラオケボックス店舗,B1,1.15超-1.50以下,290.0超-378.2以下,33,661
カラオケボックス店舗,C,1.50超,378.2超,7,340
ゲームセンター,A4,0.55以下,183.7以下,3,1031
ゲームセンター,A3+,0.55超-0.60以下,183.7超-200.4以下,2,476
ゲームセンター,A3,0.60超-0.65以下,200.4超-217.1以下,1,1398
ゲームセンター,A3-,0.65超-0.70以下,217.1超-233.8以下,0,0
ゲームセンター,A2+,0.70超-0.75以下,233.8超-250.5以下,1,924
ゲームセンター,A2,0.75超-0.80以下,250.5超-267.2以下,0,0
ゲームセンター,A2-,0.80超-0.85以下,267.2超-283.9以下,5,1119
ゲームセンター,A1+,0.85超-0.90以下,283.9超-300.6以下,9,1007
ゲームセンター,A1,0.90超-0.95以下,300.6超-317.3以下,4,1176
ゲームセンター,A1-,0.95超-1.00以下,317.3超-333.9以下,4,1250
ゲームセンター,B2+,1.00超-1.05以下,333.9超-350.6以下,6,892
ゲームセンター,B2,1.05超-1.10以下,350.6超-367.3以下,2,716
ゲームセンター,B2-,1.10超-1.15以下,367.3超-384.0以下,1,1890
ゲームセンター,B1,1.15超-1.50以下,384.0超-500.9以下,8,451
ゲームセンター,C,1.50超,500.9超,4,564
図書館,A4,0.55以下,35.4以下,11,2703
図書館,A3+,0.55超-0.60以下,35.4超-38.6以下,6,1612
図書館,A3,0.60超-0.65以下,38.6超-41.8以下,5,1915
図書館,A3-,0.65超-0.70以下,41.8超-45.1以下,5,1690
図書館,A2+,0.70超-0.75以下,45.1超-48.3以下,11,2761
図書館,A2,0.75超-0.80以下,48.3超-51.5以下,6,3173
図書館,A2-,0.80超-0.85以下,51.5超-54.7以下,14,1534
図書館,A1+,0.85超-0.90以下,54.7超-57.9以下,9,1731
図書館,A1,0.90超-0.95以下,57.9超-61.1以下,10,2475
図書館,A1-,0.95超-1.00以下,61.1超-64.3以下,13,2143
図書館,B2+,1.00超-1.05以下,64.3超-67.6以下,12,1560
図書館,B2,1.05超-1.10以下,67.6超-70.8以下,5,1593
図書館,B2-,1.10超-1.15以下,70.8超-74.0以下,8,1312
図書館,B1,1.15超-1.50以下,74.0超-96.5以下,21,2097
図書館,C,1.50超,96.5超,13,1345
博物館・美術館,A4,0.55以下,38.2以下,18,1358
博物館・美術館,A3+,0.55超-0.60以下,38.2超-41.6以下,3,5606
博物館・美術館,A3,0.60超-0.65以下,41.6超-45.1以下,3,3498
博物館・美術館,A3-,0.65超-0.70以下,45.1超-48.6以下,2,2241
博物館・美術館,A2+,0.70超-0.75以下,48.6超-52.0以下,3,2123
博物館・美術館,A2,0.75超-0.80以下,52.0超-55.5以下,3,4220
博物館・美術館,A2-,0.80超-0.85以下,55.5超-59.0以下,5,1987
博物館・美術館,A1+,0.85超-0.90以下,59.0超-62.4以下,4,4668
博物館・美術館,A1,0.90超-0.95以下,62.4超-65.9以下,1,2562
博物館・美術館,A1-,0.95超-1.00以下,65.9超-69.3以下,2,216
博物館・美術館,B2+,1.00超-1.05以下,69.3超-72.8以下,1,911
博物館・美術館,B2,1.05超-1.10以下,72.8超-76.3以下,0,0
博物館・美術館,B2-,1.10超-1.15以下,76.3超-79.7以下,1,3475
博物館・美術館,B1,1.15超-1.50以下,79.7超-104.0以下,6,2249
博物館・美術館,C,1.50超,104.0超,12,4097
区市町村庁舎等,A4,0.55以下,30.1以下,10,1857
区市町村庁舎等,A3+,0.55超-0.60以下,30.1超-32.8以下,1,2843
区市町村庁舎等,A3,0.60超-0.65以下,32.8超-35.5以下,4,1115
区市町村庁舎等,A3-,0.65超-0.70以下,35.5超-38.3以下,2,4080
区市町村庁舎等,A2+,0.70超-0.75以下,38.3超-41.0以下,2,1605
区市町村庁舎等,A2,0.75超-0.80以下,41.0超-43.7以下,6,12596
区市町村庁舎等,A2-,0.80超-0.85以下,43.7超-46.5以下,3,19158
区市町村庁舎等,A1+,0.85超-0.90以下,46.5超-49.2以下,3,1686
区市町村庁舎等,A1,0.90超-0.95以下,49.2超-51.9以下,7,10757
区市町村庁舎等,A1-,0.95超-1.00以下,51.9超-54.6以下,1,6219
区市町村庁舎等,B2+,1.00超-1.05以下,54.6超-57.4以下,3,4425
区市町村庁舎等,B2,1.05超-1.10以下,57.4超-60.1以下,2,9124
区市町村庁舎等,B2-,1.10超-1.15以下,60.1超-62.8以下,5,16703
区市町村庁舎等,B1,1.15超-1.50以下,62.8超-81.9以下,7,10476
区市町村庁舎等,C,1.50超,81.9超,6,6169
