No.,分野,区分,下地,仕上げの種類,工程,材料,所要量(kg/m2),シンナー,希釈率(%),塗り回数(回),塗装方法,工程内間隔時間(hr),工程間間隔時間(hr),VOC量(g/m2),耐久性ランク,材工費ランク,参考資料
3.8,建築,新築,セメント,複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,上塗り1回目,複層塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,12.5,II,Ｃ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.8,建築,新築,セメント,複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,上塗り2回目,複層塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,―,,II,Ｃ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,下塗り／増塗り／主材基層塗り1回目／主材基層塗り2回目／主材模様塗り／（凸部処理）／上塗り1回目／上塗り2回目,,,,,,,,,317.5,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,下塗り,防水形複層塗材Ｅ下塗材,0.1以上,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,70,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,増塗り,防水形複層塗材Ｅ主材,0.9以上,水道水,製造所の指定,1,はけ・ローラー,―,3以上,,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,主材基層塗り1回目,防水形複層塗材Ｅ主材,1.7以上,水道水,製造所の指定,1,吹付け,―,16以上,,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,主材基層塗り2回目,防水形複層塗材Ｅ主材,1.7以上,水道水,製造所の指定,1,吹付け,―,16以上,,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,主材模様塗り,防水形複層塗材Ｅ主材,0.9以上,水道水,製造所の指定,1,吹付け,―,24以上,,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,（凸部処理）,―,―,―,―,―,押えローラー,―,（凸部処理は１以内に行う）,―,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,上塗り1回目,防水形複層塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,247.5,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,上塗り2回目,防水形複層塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,―,,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.9,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,下塗り／増塗り／主材基層塗り1回目／主材基層塗り2回目／主材模様塗り／（凸部処理）／上塗り1回目／上塗り2回目,,,,,,,,,16.5,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.9,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,下塗り,防水形複層塗材Ｅ下塗材,0.1以上,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,4,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.9,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,増塗り,防水形複層塗材Ｅ主材,0.9以上,水道水,製造所の指定,1,はけ・ローラー,―,3以上,,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.9,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,主材基層塗り1回目,防水形複層塗材Ｅ主材,1.7以上（2回の合計）,水道水,製造所の指定,1,吹付け,―,16以上,,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.9,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,主材基層塗り2回目,防水形複層塗材Ｅ主材,1.7以上（2回の合計）,水道水,製造所の指定,1,吹付け,―,16以上,,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.9,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,主材模様塗り,防水形複層塗材Ｅ主材,0.9以上,水道水,製造所の指定,1,吹付け,―,24以上,,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.9,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,（凸部処理）,―,―,―,―,―,押えローラー,―,（凸部処理は１以内に行う）,―,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.9,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,上塗り1回目,防水形複層塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,12.5,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.9,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,上塗り2回目,防水形複層塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,―,,Ⅳ,Ｄ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,下塗り／増塗り／主材基層塗り1回目／主材基層塗り2回目／主材模様塗り／上塗り1回目／上塗り2回目,,,,,,,,,317.5,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,下塗り,防水形複層塗材Ｅ下塗材,0.1以上,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,70,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,増塗り,防水形複層塗材Ｅ主材,0.9以上,水道水,製造所の指定,1,はけ・ローラー,―,3以上,,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,主材基層塗り1回目,防水形複層塗材Ｅ主材,1.7以上,水道水,製造所の指定,1,ローラー,―,16以上,,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,主材基層塗り2回目,防水形複層塗材Ｅ主材,1.7以上,水道水,製造所の指定,1,ローラー,―,16以上,,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,主材模様塗り,防水形複層塗材Ｅ主材,0.9以上,水道水,製造所の指定,1,ローラー,―,24以上,,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,上塗り1回目,防水形複層塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,247.5,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,上塗り2回目,防水形複層塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,―,,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.1,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,下塗り／増塗り／主材基層塗り1回目／主材基層塗り2回目／主材模様塗り／上塗り1回目／上塗り2回目,,,,,,,,,16.5,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.1,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,下塗り,防水形複層塗材Ｅ下塗材,0.1以上,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,4,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.1,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,増塗り,防水形複層塗材Ｅ主材,0.9以上,水道水,製造所の指定,1,はけ・ローラー,―,3以上,,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.1,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,主材基層塗り1回目,防水形複層塗材Ｅ主材,1.7以上（2回の合計）,水道水,製造所の指定,1,ローラー,―,16以上,,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.1,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,主材基層塗り2回目,防水形複層塗材Ｅ主材,1.7以上（2回の合計）,水道水,製造所の指定,1,ローラー,―,16以上,,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.1,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,主材模様塗り,防水形複層塗材Ｅ主材,0.9以上,水道水,製造所の指定,1,ローラー,―,24以上,,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.1,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,上塗り1回目,防水形複層塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,12.5,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.1,建築,新築,セメント,防水形複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,上塗り2回目,防水形複層塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,―,,Ⅳ,E,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
上塗り溶剤系,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（ゆず肌状、吹付け）,主材塗り／上塗り1回目／上塗り2回目,,,,,,,,,247.5,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
上塗り溶剤系,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（ゆず肌状、吹付け）,主材塗り,可とう形改修塗材Ｅ主材,0.8以上,水道水,製造所の指定,1,吹付け,―,24以上,,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
上塗り溶剤系,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（ゆず肌状、吹付け）,上塗り1回目,可とう形改修塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,247.5,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
上塗り溶剤系,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（ゆず肌状、吹付け）,上塗り2回目,可とう形改修塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,―,,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
3.11,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（ゆず肌状、吹付け）,主材塗り／上塗り1回目／上塗り2回目,,,,,,,,,12.5,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
3.11,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（ゆず肌状、吹付け）,主材塗り,可とう形改修塗材Ｅ主材,0.8以上,水道水,製造所の指定,1,吹付け,―,24以上,,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
3.11,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（ゆず肌状、吹付け）,上塗り1回目,可とう形改修塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,12.5,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
3.11,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（ゆず肌状、吹付け）,上塗り2回目,可とう形改修塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,―,,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
上塗り溶剤系,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（さざ波状、ローラー塗り）,主材塗り／上塗り1回目／上塗り2回目,,,,,,,,,247.5,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
上塗り溶剤系,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（さざ波状、ローラー塗り）,主材塗り,可とう形改修塗材Ｅ主材,0.8以上,水道水,製造所の指定,1,ローラー,―,24以上,,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
上塗り溶剤系,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（さざ波状、ローラー塗り）,上塗り1回目,可とう形改修塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,247.5,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
上塗り溶剤系,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（さざ波状、ローラー塗り）,上塗り2回目,可とう形改修塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,―,,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
3.12,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（さざ波状、ローラー塗り）,主材塗り／上塗り1回目／上塗り2回目,,,,,,,,,12.5,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
3.12,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（さざ波状、ローラー塗り）,主材塗り,可とう形改修塗材Ｅ主材,0.8以上,水道水,製造所の指定,1,ローラー,―,24以上,,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
3.12,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（さざ波状、ローラー塗り）,上塗り1回目,可とう形改修塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,12.5,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
3.12,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（さざ波状、ローラー塗り）,上塗り2回目,可とう形改修塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,―,,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
上塗り溶剤系,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（平たん状、ローラー塗り）,主材塗り／上塗り1回目／上塗り2回目,,,,,,,,,247.5,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
上塗り溶剤系,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（平たん状、ローラー塗り）,主材塗り,可とう形改修塗材Ｅ主材,0.3以上,水道水,製造所の指定,1,ローラー,―,24以上,,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
上塗り溶剤系,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（平たん状、ローラー塗り）,上塗り1回目,可とう形改修塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,247.5,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
上塗り溶剤系,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（平たん状、ローラー塗り）,上塗り2回目,可とう形改修塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,―,,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
3.13,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（平たん状、ローラー塗り）,主材塗り／上塗り1回目／上塗り2回目,,,,,,,,,12.5,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
3.13,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（平たん状、ローラー塗り）,主材塗り,可とう形改修塗材Ｅ主材,0.3以上,水道水,製造所の指定,1,ローラー,―,24以上,,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
3.13,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（平たん状、ローラー塗り）,上塗り1回目,可とう形改修塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,12.5,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
3.13,建築,改修,セメント,可とう形改修塗材Ｅ仕上げ（平たん状、ローラー塗り）,上塗り2回目,可とう形改修塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,―,,Ⅱ,Ｂ,国土交通省  「公共建築改修工事標準仕様書（建築工事編）」
*VOCの算出（シンナーで希釈するもの）：所要量(kg/m2)の最低値×1000×[製品中のVOC含有率(%)/100+シンナーの希釈率(%)/100]／VOCの算出（水道水で希釈するもの）：所要量(kg/m2)の最低値×1000×[製品中のVOC含有率(%)/100]／・溶剤系下塗材中のVOC量は70%と想定／・溶剤系上塗材中のVOC量は34%と想定／・シンナーでの希釈率は65%と想定,,,,,,,,,,,,,,,,,
