名称,ふりがな,所在地,電話番号,FAX,URL,解説,連絡先,開場時間,定休日,料金,アクセス,駐車場,大分類__,中分類__,小分類__,経度,緯度
鷹場標石（市役所）,たかばひょうせき（しやくしょ）,三鷹市野崎一丁目1-１三鷹市役所　市民センター敷地内,0422-29-9862,0422-29-9040,,徳川家康や家光、吉宗は、江戸付近の各地で鷹狩をしており、井の頭周辺にもたびたび来ていました。幕府は鷹場村々を定め、江戸城を中心に五里（20km) 以内の村々を、すべて幕府の鷹場とし、外側の村々を尾張・紀伊・水戸の徳川家などの鷹場としていました。三鷹の地は、その境界であり、村々には境界を示す標石が、明和７（1770）年ごろに建てられました。全83本のうち三鷹市内には、７本建てられたと記録があり、その１本が移設されています。昭和53年三鷹市指定史跡。,三鷹市スポーツと文化部　生涯学習課,,,,JR中央線三鷹駅南口より小田急バス（仙川または晃華学園東行き）、「三鷹市役所前」下車徒歩約3分,あり,史跡,史跡,史跡,139.5599866,35.68279984
柴田家家碑,しばたけかひ,三鷹市新川四丁目４　春清寺墓地内,0422-29-9862,0422-29-9040,,著名な戦国武将で織田信長の重臣であった柴田勝家の孫、勝重は、三代にわたり三鷹の地を治め、のち三河へ封を移されました。この家碑は天明５（1785）年に第10代勝房が建てたものです。昭和53年三鷹市指定史跡。,三鷹市スポーツと文化部　生涯学習課,,,,JR中央線三鷹駅南口より小田急バス（仙川行き）、「コミュニティ・センター西」下車徒歩約3分,なし,史跡,史跡,史跡,139.5731482,35.66981767
玉川上水,たまがわじょうすい,三鷹市上連雀一丁目、下連雀一～三丁目、牟礼一～四丁目、井の頭一～三・五丁目地内,"(史跡)0422-29-9862
(緑)0422-29-9789",生涯学習課　0422-29-9040,,神田上水と並び江戸の上水として利用され、幕府が玉川兄弟（庄右衛門・清右衛門）に命じ、照応2（1653）年4月に工事を開始しました。多摩川中流の羽村より引水し四谷大木戸までの43ｋｍは11月に、翌年に虎の門外に至る全長51ｋｍを完成通水しました。かつては「人喰い川」と恐れられるほど豊かな水量がありましたが、戦後に市街化で水質が悪化し、水の流れない用水路になっていました。その後、上水沿いに緑が残っていたことや水への関心が高まる中、昭和61(1986)年には東京都清流復活事業によって水が蘇り、福生市から三鷹市までの緑道も整備されました。平成15年国指定史跡。,三鷹市スポーツと文化部生涯学習課、三鷹市都市整備部緑と公園課,,,,JR中央線三鷹駅南口より徒歩約1分,なし,史跡,史跡,史跡,139.5623042,35.70224173
すだじい＜ぶな科＞（天然記念物）,すだじい＜ぶなか＞（てんねんきねんぶつ）,三鷹市下連雀四丁目18　八幡大神社境内,0422-29-9862,0422-29-9040,,八幡大神社社殿の左側にある御神木です。幹周り約3.62ｍ、樹高約17ｍで三鷹市内の寺社にあるシイ（ぶな科）では最大のものであり昭和60年に市の文化財（天然記念物）に指定されています。このシイは「すだじい」という種類に属します。,三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線三鷹駅南口より徒歩約20分
JR中央線三鷹駅南口より小田急バス（仙川または晃華学園東行き）、「八幡前」下車すぐ",なし,自然・公園,自然・公園,自然・公園,139.5593967,35.69393162
三鷹市芸術文化センター,みたかしげいじゅつぶんかせんたー,三鷹市上連雀六丁目12-14,0422-47-9100,,https://mitaka-sportsandculture.or.jp/geibun/,「風のホール」（625席）は、ヨーロッパの音楽の殿堂を思わせる気品とぬくもりのあるシューボックス型のコンサートホール。「星のホール」（250席）は演劇や古典芸能をはじめ、多彩なステージに適応する小ホール。二つのホールのほか、創作・展示室、音楽練習室、会議室などのある三鷹市の芸術文化活動の拠点です。,三鷹市芸術文化センター,9:00～22:00,月曜日（月曜日が祝日にあたる場合は、その翌日と翌々日）、年末年始,,JR中央線三鷹駅南口小田急バス2番乗り場より乗車「八幡前・三鷹市芸術文化センター前」下車すぐ、同6・7番乗り場より乗車「八幡前」下車１分、またはJR中央線三鷹駅南口より徒歩15分,あり,ホール・展示室,ホール・展示室,ホール・展示室,139.5581929,35.6928777
三鷹市公会堂,みたかしこうかいどう,三鷹市野崎一丁目1-1,0422-29-9868,,https://mitaka-sportsandculture.or.jp/kokaido/,三鷹市役所に隣接する三鷹市公会堂は、音楽・演劇・ダンスの公演から式典・大会など幅広い催し物に利用可能な光のホール（719席)と、さんさん館（会議室棟）からなる文化施設です。,三鷹市公会堂,9:00～22:00,月曜日（月曜日が祝日にあたる場合は、その翌日と翌々日）、年末年始,,JR中央線三鷹駅南口より小田急バス7番乗り場より新川団地経由仙川行きまたは晃華学園東行き「三鷹市役所前」下車徒歩約1分,あり,ホール・展示室,ホール・展示室,ホール・展示室,139.559307,35.68325975
みたか井心亭,みたかせいしんてい,三鷹市下連雀二丁目10-48,0422-46-3922,,https://mitaka-sportsandculture.or.jp/seishin/,木造数奇屋造りの本格的茶室と和室大広間、庭園のある純和風文化施設で、茶道・華道・歌会などの活動に広く利用されています。（公財）三鷹市スポーツと文化財団主催の寄席が開催されているほか、三鷹市と筑摩書房が主催している「太宰治賞」の選考会会場ともなっています。,みたか井心亭,9:00～21:30、夜間利用がない場合は17時まで（利用受付9：00～17：00）,月曜日（月曜日が祝日にあたる場合は、その翌日と翌々日）、年末年始,,"JR中央線三鷹駅南口より徒歩約15分
小田急バスまたは京王バス 「仲町通り」下車徒歩8分、「北浦」下車徒歩8分",なし,ホール・展示室,ホール・展示室,ホール・展示室,139.5669789,35.69700242
太宰治文学サロン,だざいおさむぶんがくさろん,三鷹市下連雀三丁目16-14　グランジャルダン三鷹　1階,0422-26-9150,,https://mitaka-sportsandculture.or.jp/dazai/,平成20年３月、太宰治ゆかりの酒店「伊勢元」跡に建つビルに開設。令和4年3月には、太宰治研究の礎を築いた山内祥史氏の研究資料「山内祥史文庫」の一部を開架して、コーヒーやクッキー等を楽しめる「ブックカフェ」機能を備えた施設としてリニューアルオープンしました。,太宰治文学サロン,10:00～17:30,月曜日（月曜日が祝日にあたる場合は、その翌日と翌々日）、年末年始,無料,JR中央線三鷹駅南口より徒歩3分,なし,ホール・展示室,ホール・展示室,ホール・展示室,139.5624402,35.70011498
三鷹市美術ギャラリー,みたかしびじゅつぎゃらりー,三鷹市下連雀三丁目35-1　コラル5階,0422-79-0033,,https://mitaka-sportsandculture.or.jp/gallery/,「三鷹市美術ギャラリー」は、ＪＲ三鷹駅南口の真ん前、三鷹コラル５階にある美術館。近現代美術を主とした企画展を開催しています。お勤め帰りにも立ち寄っていただけるよう、開館時間は午後８時までとなっています。また、企画展期間以外は美術作品発表の場として展示スペースを貸し出しています。美術ギャラリーホームページでは、企画展の予告や過去の展示の内容、所蔵作品などを紹介しています。,三鷹市美術ギャラリー,10:00～20:00（入館は19:30まで）,月曜日（月曜日が祝日にあたる場合は、その翌日と翌々日）、年末年始,企画展により変動（要問合せ）,JR中央線三鷹駅南口より徒歩約1分（駅前デッキ接続）,あり,美術館・博物館・研究所,美術館・博物館・研究所,美術館・博物館・研究所,139.5607543,35.70164277
三鷹の森ジブリ美術館,みたかのもりじぶりびじゅつかん,三鷹市下連雀一丁目1-83,0570-055777,,https://www.ghibli-museum.jp/,井の頭恩賜公園西園内にある「三鷹の森ジブリ美術館」（三鷹市立アニメーション美術館）は、スタジオジブリの宮?駿監督が館主を務める迷路のような美術館。いろんなことを発見したり、感じたりできる場所です。チケットは日時指定の予約制でローチケWEBサイトで購入できます。三鷹市・近隣市に在住・在学・在勤の方には特別枠のチケットがあります。◆市民枠チケットはみたか観光案内所で発売。,三鷹の森ジブリ美術館,10:00～18:00,火曜日、展示替え休館、メンテナンス休館、冬季休館,"大人・大学生1,000円、高校生・中学生700円、小学生400円、幼児（4歳以上）100円",JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約15分、JR中央線三鷹駅南口よりみたかシティバス、「三鷹の森ジブリ美術館」下車すぐ,なし,美術館・博物館・研究所,美術館・博物館・研究所,美術館・博物館・研究所,139.5704506,35.69622957
中近東文化センター,ちゅうきんとうぶんかせんたー,三鷹市大沢三丁目10-31,0422-32-7111,0422-31-9453,http://www.meccj.or.jp/,中近東の歴史的文化を研究、公開する施設です。博物館、三笠宮記念図書館、アナトリア考古学研究所（在トルコ）が併設されており、博物館にはエジプト、メソポタミア、西アジア等の歴史的に貴重な収蔵品が展示されています。その他、三笠宮崇仁殿下の半世紀以上にわたる中近東研究のご学績の一部を紹介するコーナーもあります。,中近東文化センター,"10:00～16:00（入館は15:00まで）
前日までにメール、電話での予約が必要",月曜日、木曜日、土・日・祝祭日、年末年始,"一般1,000円、高・大学生500円、65歳以上500円、中学生以下は無料",JR中央線三鷹駅南口より小田急バス調布駅北口武蔵小金井駅、または国際基督教大学行き（いずれも５番乗り場）、「西野」下車徒歩約7分,あり,美術館・博物館・研究所,美術館・博物館・研究所,美術館・博物館・研究所,139.5340072,35.68877763
井の頭恩賜公園（都立）,いのかしらおんしこうえん（とりつ）,三鷹市井の頭四丁目1番他　（案内所：武蔵野市御殿山一丁目18-31）,0422-47-6900,,,井の頭恩賜公園は大正６年に日本最初の御下賜公園地の郊外公園として決定され、計画的に整備された公園です。現開園面積は約43haで、園内は井の頭池とその周辺、雑木林と自然文化園のある御殿山、運動施設のある西園と、西園の南東にある第二公園の４区域に分かれ、都民の憩いの場として親しまれています。園内には神田川の水源で、桜の名所でもある井の頭池をはじめ、園内を横切る玉川上水とその周辺の雑木林、動物園や平成13年に開園したジブリ美術館など、みどころも盛りだくさんです。,井の頭恩賜公園案内所,,,一部有料施設あり,JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約5分<br>京王井の頭線井の頭公園駅よりすぐ<br>JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約12分,あり,自然・公園,自然・公園,自然・公園,139.5768359,35.69974133
井の頭恩賜公園西園（都立）,いのかしらおんしこうえんにしえん（とりつ）,三鷹市下連雀一丁目1番　（案内所：武蔵野市御殿山一丁目18-31）,0422-44-3796,,,井の頭恩賜公園西園には、グラウンドやテニスコートなどがあり、広々とした空間が魅力的です。一角には三鷹の森ジブリ美術館があります。,井の頭恩賜公園管理所西園,,,一部有料施設あり,JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約15分<br>JR中央線三鷹駅南口よりみたかシティバス（三鷹の森美術館行き）、「三鷹の森ジブリ美術館」下車徒歩約1分　,あり,自然・公園,自然・公園,自然・公園,139.5709805,35.69759243
井の頭自然文化園（都立）,いのかしらしぜんぶんかえん（とりつ）,武蔵野市御殿山一丁目17番、三鷹市井の頭四丁目1番　（管理所：武蔵野市御殿山一丁目17-6）,0422-46-1100,,http://www.tokyo-zoo.net/zoo/ino/,井の頭恩賜公園の中にある井の頭自然文化園は武蔵野市御殿山にある本園と三鷹市井の頭四丁目１番にある分園とに分かれています。本園には動・植物園、資料館、彫刻館、分園には水生物館があり主に日本の淡水産生物が展示されています。,井の頭自然文化園　,9:30～17:00（入館は16:00まで）,月曜日　（月曜日が祝日にあたる場合は、その翌日）、年末年始,一般400円、中学生150円、65歳以上200円,JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約10分<br>JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約15分,あり,自然・公園,自然・公園,自然・公園,139.5727332,35.70062013
野川公園（都立）　,のがわこうえん（とりつ）　,三鷹市大沢二・三・六丁目、調布市野水、小金井市東町地内　（管理所：三鷹市大沢六丁目4-1）,0422-31-6457,,http://musashinoparks.com/kouen/nogawa/,三鷹市の南西、調布市と小金井市との行政境に立地し、昭和55年に開園し、広域公園に位置づけられています。広さは約40haあり、公園内には大きな樹木が点在する広場や、豊かな湧水池があり、公園の中を流れる一級河川｢野川」の自然環境と整合させた公園となっています。,野川公園サービスセンター,,,,JR中央線三鷹駅南口より小田急バス（榊原記念病院・朝日町三丁目・車返団地行き）、「野川公園入口」下車徒歩約3分,あり,自然・公園,自然・公園,自然・公園,139.5257792,35.67978048
武蔵野の森公園（都立）,むさしののもりこうえん（とりつ）,三鷹市大沢五・六丁目、調布市西町、府中市朝日町地内　（管理所：三鷹市大沢六丁目4-1）,0422-365-8435,,,三鷹市の南西、調布市と小金井市との行政境に立地し、平成12年に開園し、広域公園に位置づけられています。この区域はもともと昭和16年に調布飛行場として開設され、その後、陸軍や米軍の管理を経て、昭和49年に全面返還され、調布基地跡地利用計画に基づきできた公園です。,武蔵野の森公園サービスセンター,,,,JR中央線三鷹駅南口より小田急バス（榊原記念病院・朝日町三丁目・車返団地行き）、「野水一丁目」下車徒歩約2分<br>西武多摩川線多磨駅より徒歩約5分,"有料駐車場
あり",自然・公園,自然・公園,自然・公園,139.5281881,35.67734682
堀合遊歩道,ほりあわいゆうほどう,三鷹市上連雀一丁目地内,0422-45-1151　内線2835,0422-46-4745,,中央線の三鷹駅から北西方面に続く堀合遊歩道は、かつての線路跡に作られた遊歩道です。三鷹電車区の北側の堀合児童公園から桜並木を中心とした緑道が市境の玉川上水へと続き、さらに武蔵野市へとつながっていきます。お花見がてら散歩をしてみてはいかがでしょうか。,三鷹市都市整備部緑と公園課,,,,JR中央線三鷹駅北口より徒歩約12分,なし,自然・公園,自然・公園,自然・公園,139.5521051,35.70291144
新川天神山青少年広場,しんかわてんじんやませいしょうねんひろば,三鷹市新川二丁目5-38,0422-45-1151　内線2835,0422-46-4745,,この広場は中世の城址で、現在の姿は雑木林となっています。イヌシデやコナラなどの雑木林の中に入ると、周辺の喧騒を忘れさせてくれる静かな空間となっています。,三鷹市都市整備部緑と公園課,,,,京王井の頭線三鷹台駅より小田急バス（仙川行き）、「新川天神山青少年広場」下車徒歩約1分<br>JR中央線三鷹駅南口より小田急バス（仙川行き）、「コミュニティセンター西」下車徒歩約10分,なし,自然・公園,自然・公園,自然・公園,139.5754858,35.67357229
連雀中央公園,れんじゃくちゅうおうこうえん,三鷹市上連雀六丁目14-1,0422-45-1151　内線2835,0422-46-4745,,三鷹市のほぼ中央に位置する連雀中央公園は、北側に隣接する三鷹市芸術文化センターと調和し、緑豊かで安らぎのある広場空間をかたちづくり、訪れる市民の皆さんに憩いの場として親しまれています。南側の広場の近くには、開園前からあるイチョウとヒマラヤスギの大木が並んでランドマークを形成し、特徴ある公園風景となっています。,三鷹市都市整備部緑と公園課,,,,JR中央線三鷹駅南口より小田急バス（新小金井駅または調布駅北口（５番乗り場）行き）、「八幡前・三鷹市芸術文化センター前」下車徒歩約3分,なし,自然・公園,自然・公園,自然・公園,139.5580659,35.69168682
三鷹台児童公園,みたかだいじどうこうえん,三鷹市井の頭一丁目3-26,0422-45-1151　内線2835,0422-46-4745,,三鷹台駅から東南に歩いて７分ほどの閑静な住宅街に位置する三鷹台児童公園には市内でも指折りのソメイヨシノの古木があります。一本の桜でお花見ができるほどの見事な木です。遊具や広場で遊ぶ子供たちの賑やかな声が聞かれる時もありますが、静かに桜が楽しめる場所です。園内にはヤマザクラ、エドヒガンも植えられ、将来にわたっても桜の楽しめる公園です。,三鷹市都市整備部緑と公園課,,,,京王井の頭線三鷹台駅より徒歩約7分,なし,自然・公園,自然・公園,自然・公園,139.591713,35.68977487
仙川平和公園,せんかわへいわこうえん,三鷹市新川六丁目7-1,0422-45-1151　内線2835,0422-46-4745,,上仙川橋を挟んで丸池の上流に連なる仙川公園は、桜の公園としても親しまれ、川沿いのソメイヨシノをはじめ、シダレザクラや黄色い花の八重桜ウコン、濃いピンクのカンザンなど様々な桜が見られます。,三鷹市都市整備部緑と公園課,,,,JR中央線三鷹駅南口より小田急バス（野ケ谷行き）、「南新川」下車徒歩約1分,なし,自然・公園,自然・公園,自然・公園,139.5688212,35.67982438
牟礼の里公園,むれのさとこうえん,三鷹市牟礼三丁目7-7,0422-45-1151　内線2835,0422-46-4745,,牟礼の里は玉川上水の奥に広がる高台にあり、畑や梅林などのまとまりのある一団の農業空間から構成され、都会の雑踏から切り離され、里山にたたずむような静寂を感じる魅力的な空間です。牟礼の里公園はその中の核をなす公園です。,三鷹市都市整備部緑と公園課,,,,京王井の頭線三鷹台駅より徒歩約10分<br>京王井の頭線三鷹台駅よりみたかシティバス（杏林大学病院行き）、「牟礼三丁目」下車徒歩約1分<br>JR中央線三鷹駅南口より京王バス（久我山行き）、「三鷹台団地」下車徒歩約3分,なし,自然・公園,自然・公園,自然・公園,139.5818248,35.68888169
丸池公園（丸池の里）,まるいけこうえん（まるいけのさと）,三鷹市新川五丁目1-8,0422-45-1151　内線2835,0422-46-4745,,丸池公園はかつて仙川の水源のひとつであった丸池があった地に、池を復活させるかたちで雑木林や水田、原っぱや梅林などを含めて整備が行われた公園です。,三鷹市都市整備部緑と公園課,,,,JR中央線三鷹駅南口より小田急バス（野ケ谷行き）、「丸池公園入口」下車徒歩約3分,なし,自然・公園,自然・公園,自然・公園,139.5701292,35.67720872
大沢の里水田,おおさわのさとすいでん,三鷹市大沢二丁目17番,0422-45-1151　内線2835,0422-46-4745,,野川沿いに連なる国分寺崖線中腹にはコナラやクヌギ、ヤマザクラなど、崖下にはケヤキやシラカシなどの樹林が見られます。この崖線の下には豊かな湧水が見られ、その水を生かしたわさび田や水田があります。,三鷹市都市整備部緑と公園課,,,,JR中央線三鷹駅南口より小田急バス（榊原記念病院・朝日町三丁目・車返団地行き）、「竜源寺」下車徒歩約5分,なし,自然・公園,自然・公園,自然・公園,139.5308808,35.67801981
大沢の里わさび田,おおさわのさとわさびだ,三鷹市大沢二丁目17番,0422-45-1151　内線2835,0422-46-4745,,国分寺崖線の下に豊富に湧き出す水を利用して、古くからわさび田がつくられてきました。,三鷹市都市整備部緑と公園課,,,,JR中央線三鷹駅南口より小田急バス（榊原記念病院・朝日町三丁目・車返団地行き）、「竜源寺」下車徒歩約5分,なし,自然・公園,自然・公園,自然・公園,139.5313128,35.67812281
大沢の里はけの道,おおさわのさとはけのみち,三鷹市大沢二丁目地内,0422-45-1151　内線2843・2844,0422-48-0975,,国分寺崖線上を天文台に沿って歩ける石畳の散歩道です。途中の見晴らしは素晴らしく、足元の野川から、少し離れた調布飛行場や東京外語大のキャンパス、味の素スタジアムなどが眺められ、晴れた日には、遠く富士山や丹沢の山並みを望むことが出来ます。,三鷹市都市整備部道路管理課,,,,JR中央線三鷹駅南口より小田急バス（朝日町または車返団地行き）、「竜源寺」下車徒歩約7分<br>杏林大学病院よりみたかシティバス（調布飛行場前行き、三鷹市役所経由）、「大沢六丁目」下車徒歩約5分,なし,自然・公園,自然・公園,自然・公園,139.5321308,35.67647701
国分寺崖線,こくぶんじがいせん,三鷹市大沢四～六丁目地内,0422-45-1151　内線2835,0422-46-4745,,国分寺に流れを発し多摩川へと続く野川に沿って、武蔵野台地の段丘が続きますが、この丘の連なりを国分寺崖線と呼びます。この崖線にはケヤキやシラカシなどの高木を中心とした立体感のある緑が帯状に連なっており、野川とともに一対の豊かな自然環境を形成しています。,三鷹市都市整備部緑と公園課,,,,JR中央線三鷹駅南口より小田急バス（榊原記念病院・朝日町三丁目・車返団地行き）、「竜源寺」下車徒歩約5分,なし,自然・公園,自然・公園,自然・公園,139.5317897,35.67904671
野川,のがわ,三鷹市大沢四～六丁目地内,,,,国分寺に流れを発し、武蔵野台地の段丘である国分寺崖線（通称・ハケ）からの湧水を集めて流れ、多摩川に注いでいます。三鷹市内の大沢地区を流れる約2.6km区間には遊歩道やポケットパークが整備され、散策に訪れる人々でにぎわっています。水辺にはカワセミやコサギ、カモの仲間なども多く見られ、自然観察にもおすすめです。,,,,,JR中央線三鷹駅南口より小田急バス（朝日町または車返団地行き）、「竜源寺」下車徒歩約1分<br>杏林大学病院よりみたかシティバス（調布飛行場前行き、三鷹市役所経由）、「大沢六丁目」下車徒歩約3分,なし,自然・公園,自然・公園,自然・公園,139.5304309,35.67889669
神田川,かんだがわ,三鷹市井の頭一～三丁目地内,,,,井の頭恩賜公園の井の頭池を水源とする神田川は、神田上水として徳川家康が江戸の飲料水確保のため、神田駿河台まで引いたもので、慶長年間（1596～1614年）に日本最初の水道としてほぼ完成しました。後につくられた玉川上水とともに江戸時代の２大上水となっています。現在は公園との一体整備により水辺に親しむことのできる川辺や川沿いの遊歩道が整備されています。,,,,,京王井の頭線井の頭公園駅より徒歩約1分,なし,自然・公園,自然・公園,自然・公園,139.5833964,35.69751675
仙川,せんがわ,三鷹市上連雀四・五丁目、下連雀七・八丁目、新川一～六丁目地内,,,,"仙川は、市の中央部を西北から東南へと流れる河川で、世田谷区で野川と合流後多摩川へと注いでいます。源頭水源を持たない河川のため、人見街道より上流部では、平常時の流水量は極端に少ない状態です。勝淵神社より下流付近の河床からは豊かな湧水が湧き出ており、魚類や鳥類なども多く見られます。平成元年度には、湧水日量約10,000ｔの湧水のうち3,000ｔを天神山下樋口取水場で取水し、流れのない上流部（野川宿橋）まで、1,650mの距離を圧送する水循環施設を設置し、清流を復活させました。",,,,,JR中央線三鷹駅南口より小田急バス（仙川または晃華学園東行き）、「新川通り」下車徒歩約1分,なし,自然・公園,自然・公園,自然・公園,139.5667433,35.68281699
北野のけやき並木,きたののけやきなみき,三鷹市北野一丁目9番,0422-45-1151　内線2843・2844,0422-48-0975<br>,,北野ハピネスセンターから北野中央通りまでの市道沿いには立派なけやき並木が続いています。もともと農家の屋敷林で、冬の乾いた北風や夏の暑さを防ぎ、落ち葉は堆肥に、けやきの材は臼などに利用されてきました。,三鷹市都市整備部道路管理課,,,,JR中央線または京王井の頭線吉祥寺駅公園口より小田急バス（北野行き）、「北野二丁目」下車徒歩約5分<br>JR中央線三鷹駅南口よりみたかシティバス（北野行き）、「北野二丁目」下車徒歩約5分,なし,自然・公園,自然・公園,自然・公園,139.5862137,35.68013482
風の散歩道,かぜのさんぽみち,三鷹市下連雀一～三丁目,0422-45-1151 内線2843・2844,0422-48-0975,,中央線三鷹駅から玉川上水の南側に沿って整備された都市計画道路が風の散歩道です。三鷹駅から井の頭公園や三鷹の森ジブリ美術館への散歩道として、また、途中には太宰治ゆかりの玉鹿石や山本有三記念館、井心亭などもあり、文学散歩におすすめです。,三鷹市都市整備部道路管理課,,,,JR中央線三鷹駅南口より徒歩約1分　,なし,自然・公園,自然・公園,自然・公園,139.5626221,35.70207475
三鷹観光案内所（NPO法人みたか都市観光協会）,みたかかんこうあんないじょ,三鷹市下連雀三丁目24-3　三鷹駅前協同ビル１階101号,0422-40-5525,0422-40-5526,https://kanko.mitaka.ne.jp/,NPO法人みたか都市観光協会が運営する三鷹市の観光案内窓口。三鷹駅南口に平成20年4月にオープンしました。市民の観光案内ボランティアの方々によるご案内を中心に、各種マップや観光関連施設等のパンフレットの配布、三鷹の森ジブリ美術館三鷹市・近隣市民枠チケット及び三鷹のお土産品の販売、観光スポットへの道案内、各種イベント情報の紹介などを行います。,三鷹観光案内所,9:00～18：00,"火曜日
年末年始（12月28日～1月4日）
その他臨時休業あり",,JR中央線三鷹駅南口より徒歩約1分,なし,その他,その他,その他,139.5621242,35.70206675
国立天文台三鷹キャンパス,こくりつてんもんだいみたかきゃんぱす,三鷹市大沢二丁目21-1,0422-34-3688,,https://www.nao.ac.jp/about-naoj/organization/facilities/mitaka/,国立天文台の本部が置かれている三鷹キャンパスは、さまざまなプロジェクト、センター、研究部、事務部が集まっており、一般向けのイベントや公開事業も行っています。予約なしで見学できる常設コースの他、年1回の施設の特別公開や50センチ望遠鏡による観望会を月2回開催してます。また、4D2Uドームシアターでは、国立天文台４次元デジタル宇宙プロジェクトが制作した最新の天文学の成果を立体映像で月２回公開しています。,国立天文台,常時公開　10:00～17:00（入場は16:30まで）,年末年始（12月28日～1月4日）,"入場無料
※団体見学は事前申込が必要です、
詳しくはお問合せください。","ＪＲ中央線三鷹駅南口より小田急バス、調布駅北口行き（５番乗り場）、「天文台前」下車すぐ
ＪＲ武蔵境駅南口より小田急バス　狛江駅北口行き（３番乗り場）、「天文台前」下車すぐ","有料駐車場
あり",美術館・博物館・研究所,美術館・博物館・研究所,美術館・博物館・研究所,139.5387772,35.67524825
国際基督教大学博物館湯浅八郎記念館,こくさいきりすときょうだいがくはくぶつかんゆあさはちろうきねんかん,三鷹市大沢三丁目10-2　国際基督教大学内,0422-33-3340,,http://subsites.icu.ac.jp/yuasa_museum/,国際基督教大学の初代学長・湯浅八郎博士が収集した日本やアジアの陶磁、染織、木工など民芸品を主に収蔵。また学内などで発掘された石器、土器、敷石住居跡の復元模型などの先史時代の遺物等を常設展示するほか、特別展や公開講座を開催しています。,湯浅八郎記念館,"事前予約制（開館日は当館HPをご確認ください。）
13:00～17:00　（最終入館：午後4時30分）",日曜・月曜・祝日など。詳しくはお問い合わせください。,無料（現在団体見学は受け付けておりません。（2022.8～））,JR中央線三鷹駅南口または武蔵境駅南口より小田急バス（国際基督教大学行き）、「国際基督教大学」下車すぐ,"有料駐車場
あり",美術館・博物館・研究所,美術館・博物館・研究所,美術館・博物館・研究所,139.5310454,35.68870157
