,ア）投票日前に投票できる制度（期日前投票）があること／調査数,ア）投票日前に投票できる制度（期日前投票）があること／知っている,ア）投票日前に投票できる制度（期日前投票）があること／知らなかった,ア）投票日前に投票できる制度（期日前投票）があること／無回答,イ）仕事や買い物、旅行などを理由として期日前投票ができること／調査数,イ）仕事や買い物、旅行などを理由として期日前投票ができること／知っている,イ）仕事や買い物、旅行などを理由として期日前投票ができること／知らなかった,イ）仕事や買い物、旅行などを理由として期日前投票ができること／無回答,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／調査数,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／知っている,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／知らなかった,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／無回答,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）／調査数,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）／知っている,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）／知らなかった,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）／無回答,オ）期日前投票は夜の8時までできること／調査数,オ）期日前投票は夜の8時までできること／知っている,オ）期日前投票は夜の8時までできること／知らなかった,オ）期日前投票は夜の8時までできること／無回答,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／調査数,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／知っている,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／知らなかった,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／無回答
投票への意識別必ず投票するべき（％）,100.0,99.4,0.6,-,100.0,92.0,5.0,3.0,100.0,70.8,26.6,2.6,100.0,76.1,21.3,2.6,100.0,66.4,31.0,2.6,100.0,31.0,66.4,2.6
投票への意識別可能な限り投票するべき実数,781,761,17,3,761,672,66,23,761,484,254,23,761,502,235,24,761,407,332,22,761,186,549,26
投票への意識別可能な限り投票するべき（％）,100.0,97.4,2.2,0.4,100.0,88.3,8.7,3.0,100.0,63.6,33.4,3.0,100.0,66.0,30.9,3.2,100.0,53.5,43.6,2.9,100.0,24.4,72.1,3.4
投票への意識別投票するのもしないのも自由実数,315,285,28,2,285,227,54,4,285,157,124,4,285,144,137,4,285,129,152,4,285,53,228,4
投票への意識別投票するのもしないのも自由（％）,100.0,90.5,8.9,0.6,100.0,79.6,18.9,1.4,100.0,55.1,43.5,1.4,100.0,50.5,48.1,1.4,100.0,45.3,53.3,1.4,100.0,18.6,80.0,1.4
投票への意識別その他実数,11,10,1,-,10,7,2,1,10,6,3,1,10,6,3,1,10,6,3,1,10,3,6,1
投票への意識別その他（％）,100.0,90.9,9.1,-,100.0,70.0,20.0,10.0,100.0,60.0,30.0,10.0,100.0,60.0,30.0,10.0,100.0,60.0,30.0,10.0,100.0,30.0,60.0,10.0
投票への意識別わからない実数,15,10,5,-,10,8,-,2,10,5,3,2,10,4,4,2,10,4,4,2,10,1,7,2
投票への意識別わからない（％）,100.0,66.7,33.3,-,100.0,80.0,-,20.0,100.0,50.0,30.0,20.0,100.0,40.0,40.0,20.0,100.0,40.0,40.0,20.0,100.0,10.0,70.0,20.0
投票への参加状況別投票した（計）実数,1246,1230,13,3,1230,1126,66,38,1230,857,338,35,1230,902,292,36,1230,774,422,34,1230,344,850,36
投票への参加状況別投票した（計）（％）,100.0,98.7,1.0,0.2,100.0,91.5,5.4,3.1,100.0,69.7,27.5,2.8,100.0,73.3,23.7,2.9,100.0,62.9,34.3,2.8,100.0,28.0,69.1,2.9
投票への参加状況別投票日（12月14日）に投票した実数,987,971,13,3,971,878,65,28,971,635,311,25,971,689,255,27,971,574,373,24,971,250,696,25
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,98.4,1.3,0.3,100.0,90.4,6.7,2.9,100.0,65.4,32.0,2.6,100.0,71.0,26.3,2.8,100.0,59.1,38.4,2.5,100.0,25.7,71.7,2.6
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,259,-,-,259,248,1,10,259,222,27,10,259,213,37,9,259,200,49,10,259,94,154,11
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,100.0,-,-,100.0,95.8,0.4,3.9,100.0,85.7,10.4,3.9,100.0,82.2,14.3,3.5,100.0,77.2,18.9,3.9,100.0,36.3,59.5,4.2
投票への参加状況別投票しなかった実数,563,519,41,3,519,421,86,12,519,285,222,12,519,277,230,12,519,228,279,12,519,113,392,14
投票への参加状況別投票しなかった（％）,100.0,92.2,7.3,0.5,100.0,81.1,16.6,2.3,100.0,54.9,42.8,2.3,100.0,53.4,44.3,2.3,100.0,43.9,53.8,2.3,100.0,21.8,75.5,2.7
投票への参加状況別答えたくない実数,18,17,1,-,17,11,5,1,17,6,10,1,17,10,6,1,17,9,7,1,17,3,13,1
投票への参加状況別答えたくない（％）,100.0,94.4,5.6,-,100.0,64.7,29.4,5.9,100.0,35.3,58.8,5.9,100.0,58.8,35.3,5.9,100.0,52.9,41.2,5.9,100.0,17.6,76.5,5.9
新聞の定期購読定期購読している実数,1142,1116,23,3,1116,1001,84,31,1116,747,341,28,1116,781,306,29,1116,649,439,28,1116,301,786,29
新聞の定期購読定期購読している（％）,100.0,97.7,2.0,0.3,100.0,89.7,7.5,2.8,100.0,66.9,30.6,2.5,100.0,70.0,27.4,2.6,100.0,58.2,39.3,2.5,100.0,27.0,70.4,2.6
新聞の定期購読定期購読していない実数,681,646,32,3,646,553,73,20,646,398,228,20,646,405,221,20,646,359,268,19,646,157,467,22
新聞の定期購読定期購読していない（％）,100.0,94.9,4.7,0.4,100.0,85.6,11.3,3.1,100.0,61.6,35.3,3.1,100.0,62.7,34.2,3.1,100.0,55.6,41.5,2.9,100.0,24.3,72.3,3.4
インターネットの利用有無利用している実数,984,961,21,2,961,844,91,26,961,609,328,24,961,643,292,26,961,527,411,23,961,277,659,25
インターネットの利用有無利用している（％）,100.0,97.7,2.1,0.2,100.0,87.8,9.5,2.7,100.0,63.4,34.1,2.5,100.0,66.9,30.4,2.7,100.0,54.8,42.8,2.4,100.0,28.8,68.6,2.6
インターネットの利用有無利用していない実数,835,798,34,3,798,708,65,25,798,534,240,24,798,540,235,23,798,478,296,24,798,179,593,26
インターネットの利用有無利用していない（％）,100.0,95.6,4.1,0.4,100.0,88.7,8.1,3.1,100.0,66.9,30.1,3.0,100.0,67.7,29.4,2.9,100.0,59.9,37.1,3.0,100.0,22.4,74.3,3.3
ネット選挙の認知度別知っている実数,955,942,10,3,942,861,56,25,942,658,260,24,942,703,214,25,942,587,332,23,942,310,607,25
ネット選挙の認知度別知っている（％）,100.0,98.6,1.0,0.3,100.0,91.4,5.9,2.7,100.0,69.9,27.6,2.5,100.0,74.6,22.7,2.7,100.0,62.3,35.2,2.4,100.0,32.9,64.4,2.7
ネット選挙の認知度別知らなかった実数,752,711,39,2,711,601,93,17,711,422,274,15,711,413,282,16,711,354,342,15,711,120,575,16
ネット選挙の認知度別知らなかった（％）,100.0,94.5,5.2,0.3,100.0,84.5,13.1,2.4,100.0,59.4,38.5,2.1,100.0,58.1,39.7,2.3,100.0,49.8,48.1,2.1,100.0,16.9,80.9,2.3
