,参議院議員選挙/調査数,参議院議員選挙/18歳,参議院議員選挙/19歳,参議院議員選挙/20～24歳,参議院議員選挙/25～29歳,参議院議員選挙/30～34歳,参議院議員選挙/35～39歳,参議院議員選挙/40～44歳,参議院議員選挙/45～49歳,参議院議員選挙/50～54歳,参議院議員選挙/55～59歳,参議院議員選挙/60～64歳,参議院議員選挙/65～69歳,参議院議員選挙/70～74歳,参議院議員選挙/75～79歳,参議院議員選挙/80歳以上,東京都知事選挙/調査数,東京都知事選挙/18歳,東京都知事選挙/19歳,東京都知事選挙/20～24歳,東京都知事選挙/25～29歳,東京都知事選挙/30～34歳,東京都知事選挙/35～39歳,東京都知事選挙/40～44歳,東京都知事選挙/45～49歳,東京都知事選挙/50～54歳,東京都知事選挙/55～59歳,東京都知事選挙/60～64歳,東京都知事選挙/65～69歳,東京都知事選挙/70～74歳,東京都知事選挙/75～79歳,東京都知事選挙/80歳以上
選挙への関心度別関心があった,100.0,0.5,0.5,1.7,3.0,4.1,5.4,7.7,7.7,10.3,8.1,10.0,14.7,10.9,7.7,7.7,100.0,0.5,0.4,2.0,2.7,4.6,5.9,8.3,8.2,10.7,7.8,10.4,14.4,9.9,7.5,6.8
選挙への関心度別やや関心があった,650,1,5,13,18,45,65,79,100,66,61,50,68,24,34,21,655,1,5,13,23,41,69,91,110,58,62,41,63,24,34,20
選挙への関心度別やや関心があった,100.0,0.2,0.8,2.0,2.8,6.9,10.0,12.2,15.4,10.2,9.4,7.7,10.5,3.7,5.2,3.2,100.0,0.2,0.8,2.0,3.5,6.3,10.5,13.9,16.8,8.9,9.5,6.3,9.6,3.7,5.2,3.1
選挙への関心度別関心がなかった（計）,227,1,7,33,33,14,13,24,21,11,11,8,18,11,13,9,175,-,7,28,31,11,10,16,13,8,8,6,13,8,9,7
選挙への関心度別関心がなかった（計）,100.0,0.4,3.1,14.5,14.5,6.2,5.7,10.6,9.3,4.8,4.8,3.5,7.9,4.8,5.7,4.0,100.0,-,4.0,16,17.7,6.3,5.7,9.1,7.4,4.6,4.6,3.4,7.4,4.6,5.1,4.0
選挙への関心度別あまり関心がなかった,125,-,2,18,16,10,7,14,12,6,7,5,9,7,8,4,89,-,2,16,14,8,4,7,8,4,5,3,4,6,5,3
選挙への関心度別あまり関心がなかった,100.0,-,1.6,14.4,12.8,8.0,5.6,11.2,9.6,4.8,5.6,4.0,7.2,5.6,6.4,3.2,100.0,-,2.2,18.0,15.7,9.0,4.5,7.9,9.0,4.5,5.6,3.4,4.5,6.7,5.6,3.4
選挙への関心度別関心がなかった,102,1,5,15,17,4,6,10,9,5,4,3,9,4,5,5,86,-,5,12,17,3,6,9,5,4,3,3,9,2,4,4
選挙への関心度別関心がなかった,100.0,1.0,4.9,14.7,16.7,3.9,5.9,9.8,8.8,4.9,3.9,2.9,8.8,3.9,4.9,4.9,100.0,-,5.8,14.0,19.8,3.5,7.0,10.5,5.8,4.7,3.5,3.5,10.5,2.3,4.7,4.7
選挙への関心度別どちらともいえない,298,2,3,14,22,25,35,45,31,20,25,15,22,15,14,10,209,2,3,15,17,23,23,26,15,14,18,9,14,11,9,10
選挙への関心度別どちらともいえない,100.0,0.7,1.0,4.7,7.4,8.4,11.7,15.1,10.4,6.7,8.4,5.0,7.4,5.0,4.7,3.4,100.0,1.0,1.4,7.2,8.1,11.0,11.0,12.4,7.2,6.7,8.6,4.3,6.7,5.3,4.3,4.8
選挙への関心度別わからない,15,-,2,1,-,-,-,-,-,1,-,-,-,-,2,9,15,-,2,1,-,-,-,-,-,1,-,-,-,-,2,9
選挙への関心度別わからない,100.0,-,13.3,6.7,-,-,-,-,-,6.7,-,-,-,-,13.3,60.0,100.0,-,13.3,6.7,-,-,-,-,-,6.7,-,-,-,-,13.3,60.0
投票への意識別投票するべき（計）,1434,3,10,28,45,80,113,155,167,138,126,123,178,104,88,76,1443,3,10,28,45,80,114,157,168,140,126,123,179,104,90,76
投票への意識別投票するべき（計）,100.0,0.2,0.7,2.0,3.1,5.6,7.9,10.8,11.6,9.6,8.8,8.6,12.4,7.3,6.1,5.3,100.0,0.2,0.7,1.9,3.1,5.5,7.9,10.9,11.6,9.7,8.7,8.5,12.4,7.2,6.2,5.3
投票への意識別必ず投票するべき,596,1,-,7,12,19,35,45,50,58,54,64,97,65,44,45,615,1,-,8,12,20,38,49,51,60,54,64,101,67,45,45
投票への意識別必ず投票するべき,100.0,0.2,-,1.2,2.0,3.2,5.9,7.6,8.4,9.7,9.1,10.7,16.3,10.9,7.4,7.6,100.0,0.2,-,1.3,2.0,3.3,6.2,8.0,8.3,9.8,8.8,10.4,16.4,10.9,7.3,7.3
投票への意識別可能な限り投票するべき,838,2,10,21,33,61,78,110,117,80,72,59,81,39,44,31,828,2,10,20,33,60,76,108,117,80,72,59,78,37,45,31
投票への意識別可能な限り投票するべき,100.0,0.2,1.2,2.5,3.9,7.3,9.3,13.1,14.0,9.5,8.6,7.0,9.7,4.7,5.3,3.7,100.0,0.2,1.2,2.4,4.0,7.2,9.2,13.0,14.1,9.7,8.7,7.1,9.4,4.5,5.4,3.7
投票への意識別投票するのもしないのも自由,344,2,8,39,40,30,34,39,32,23,20,12,15,14,20,16,335,2,8,39,40,30,33,38,31,21,20,11,14,14,18,16
投票への意識別投票するのもしないのも自由,100.0,0.6,2.3,11.3,11.6,8.7,9.9,11.3,9.3,6.7,5.8,3.5,4.4,4.1,5.8,4.7,100.0,0.6,2.4,11.6,11.9,9.0,9.9,11.3,9.3,6.3,6.0,3.3,4.2,4.2,5.4,4.8
投票への意識別その他,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
投票への意識別その他,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-
投票への意識別わからない,44,2,2,5,7,-,-,3,2,2,2,1,8,1,3,6,44,2,2,5,7,-,-,2,2,2,2,2,8,1,3,6
投票への意識別わからない,100.0,4.5,4.5,11.4,15.9,-,-,6.8,4.5,4.5,4.5,2.3,18.2,2.3,6.8,13.6,100.0,4.5,4.5,11.4,15.9,-,-,4.5,4.5,4.5,4.5,4.5,18.2,2.3,6.8,13.6
投票への参加状況別投票した（計）,1435,6,10,35,53,86,113,159,168,135,125,118,178,100,85,64,1491,6,11,38,57,91,119,164,173,141,125,123,182,105,91,65
投票への参加状況別投票した（計）,100.0,0.4,0.7,2.4,3.7,6.0,7.9,11.1,11.7,9.4,8.7,8.2,12.4,7.0,5.9,4.5,100.0,0.4,0.7,2.5,3.8,6.1,8.0,11.0,11.6,9.5,8.4,8.2,12.2,7.0,6.1,4.4
投票への参加状況別投票日に投票した,1226,5,9,30,39,73,99,137,140,119,109,97,158,83,75,53,1254,5,10,33,39,73,101,138,143,121,104,101,163,91,78,54
投票への参加状況別投票日に投票した,100.0,0.4,0.7,2.4,3.2,6.0,8.1,11.2,11.4,9.7,8.9,7.9,12.9,6.8,6.1,4.3,100.0,0.4,0.8,2.6,3.1,5.8,8.1,11.0,11.4,9.6,8.3,8.1,13.0,7.3,6.2,4.3
投票への参加状況別期日前投票（又は不在者投票等）をした,209,1,1,5,14,13,14,22,28,16,16,21,20,17,10,11,237,1,1,5,18,18,18,26,30,20,21,22,19,14,13,11
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,0.5,0.5,2.4,6.7,6.2,6.7,10.5,13.4,7.7,7.7,10.0,9.6,8.1,4.8,5.3,100.0,0.4,0.4,2.1,7.6,7.6,7.6,11.0,12.7,8.4,8.9,9.3,8.0,5.9,5.5,4.6
投票への参加状況別投票しなかった,377,1,10,37,38,24,34,36,32,26,21,17,23,18,27,33,321,1,9,34,34,19,28,32,27,20,21,11,19,13,21,32
投票への参加状況別投票しなかった,100.0,0.3,2.7,9.8,10.1,6.4,9.0,9.5,8.5,6.9,5.6,4.5,6.1,4.8,7.2,8.8,100.0,0.3,2.8,10.6,10.6,5.9,8.7,10.0,8.4,6.2,6.5,3.4,5.9,4.0,6.5,10.0
投票への参加状況別答えたくない,11,-,-,-,1,-,-,2,1,2,2,1,-,1,-,1,11,-,-,-,1,-,-,1,1,2,2,2,-,1,-,1
投票への参加状況別答えたくない,100.0,-,-,-,9.1,-,-,18.2,9.1,18.2,18.2,9.1,-,9.1,-,9.1,100.0,-,-,-,9.1,-,-,9.1,9.1,18.2,18.2,18.2,-,9.1,-,9.1
新聞の定期購読別定期購読している,1240,4,3,14,28,49,69,125,140,133,120,120,177,100,86,72,1240,4,3,14,28,49,69,125,140,133,120,120,177,100,86,72
新聞の定期購読別定期購読している,100.0,0.3,0.2,1.1,2.3,4.0,5.6,10.1,11.3,10.7,9.7,9.7,14.3,8.1,6.9,5.8,100.0,0.3,0.2,1.1,2.3,4.0,5.6,10.1,11.3,10.7,9.7,9.7,14.3,8.1,6.9,5.8
新聞の定期購読別定期購読していない,583,3,17,58,64,61,78,72,61,30,28,16,24,19,26,26,583,3,17,58,64,61,78,72,61,30,28,16,24,19,26,26
新聞の定期購読別定期購読していない,100.0,0.5,2.9,9.9,11.0,10.5,13.4,12.3,10.5,5.1,4.8,2.7,4.1,3.3,4.5,4.5,100.0,0.5,2.9,9.9,11.0,10.5,13.4,12.3,10.5,5.1,4.8,2.7,4.1,3.3,4.5,4.5
インターネットの利用有無別インターネットを利用している,1055,7,20,69,88,99,128,171,151,109,86,48,46,14,12,7,1055,7,20,69,88,99,128,171,151,109,86,48,46,14,12,7
インターネットの利用有無別インターネットを利用している,100.0,0.7,1.9,6.5,8.3,9.4,12.1,16.2,14.3,10.3,8.2,4.5,4.4,1.3,1.1,0.7,100.0,0.7,1.9,6.5,8.3,9.4,12.1,16.2,14.3,10.3,8.2,4.5,4.4,1.3,1.1,0.7
インターネットの利用有無別インターネットを利用していない,768,-,-,3,4,11,19,26,50,54,62,88,155,105,100,91,768,-,-,3,4,11,19,26,50,54,62,88,155,105,100,91
インターネットの利用有無別インターネットを利用していない,100.0,-,-,0.4,0.5,1.4,2.5,3.4,6.5,7.0,8.1,11.5,20.2,13.7,13.0,11.8,100.0,-,-,0.4,0.5,1.4,2.5,3.4,6.5,7.0,8.1,11.5,20.2,13.7,13.0,11.8
