,参議院議員選挙/調査数,参議院議員選挙/国政全体、都政全体のことを考えてくれる人だと思ったから,参議院議員選挙/自分の日常の暮らしを守ってくれる人だと思ったから,参議院議員選挙/候補者の政策や主張に賛成だから,参議院議員選挙/地元の利益を考えてくれる人だと思ったから,参議院議員選挙/自分の仕事や職業上の利益を守ってくれる人だと思ったから,参議院議員選挙/テレビや新聞などマスコミを通して知っている人だから,参議院議員選挙/人柄、経歴などから国政、都政を託すのに最適な人だと思ったから,参議院議員選挙/自分の支持する政党の推薦する人だから,参議院議員選挙/団体や組織や知人に頼まれたから,参議院議員選挙/テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,参議院議員選挙/ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,参議院議員選挙/家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,参議院議員選挙/ポスターや選挙公報などを見て、ふさわしい人だと思ったから,参議院議員選挙/その他,参議院議員選挙/特に理由はない（なんとなく）,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/国政全体、都政全体のことを考えてくれる人だと思ったから,東京都知事選挙/自分の日常の暮らしを守ってくれる人だと思ったから,東京都知事選挙/候補者の政策や主張に賛成だから,東京都知事選挙/地元の利益を考えてくれる人だと思ったから,東京都知事選挙/自分の仕事や職業上の利益を守ってくれる人だと思ったから,東京都知事選挙/テレビや新聞などマスコミを通して知っている人だから,東京都知事選挙/人柄、経歴などから国政、都政を託すのに最適な人だと思ったから,東京都知事選挙/自分の支持する政党の推薦する人だから,東京都知事選挙/団体や組織や知人に頼まれたから,東京都知事選挙/テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,東京都知事選挙/ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,東京都知事選挙/家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,東京都知事選挙/ポスターや選挙公報などを見て、ふさわしい人だと思ったから,東京都知事選挙/その他,東京都知事選挙/特に理由はない（なんとなく）,東京都知事選挙/わからない
投票所までの時間別20分以内,222,133,71,75,8,4,46,40,36,8,17,5,7,6,3,9,1,228,145,76,87,10,5,65,50,19,8,27,6,6,5,3,7,1
投票所までの時間別20分以内,100.0,59.9,32.0,33.8,3.6,1.8,20.7,18.0,16.2,3.6,7.7,2.3,3.2,2.7,1.4,4.1,0.5,100.0,63.6,33.3,38.2,4.4,2.2,28.5,21.9,8.3,3.5,11.8,2.6,2.6,2.2,1.3,3.1,0.4
投票所までの時間別30分以内,12,7,4,2,1,-,2,-,3,-,-,-,1,1,-,-,-,12,7,5,4,1,-,3,1,2,-,3,-,1,-,-,-,-
投票所までの時間別30分以内,100.0,58.3,33.3,16.7,8.3,-,16.7,-,25.0,-,-,-,8.3,8.3,-,-,-,100.0,58.3,41.7,33.3,8.3,-,25.0,8.3,16.7,-,25.0,-,8.3,-,-,-,-
投票所までの時間別30分を超える,3,-,2,1,-,-,-,-,1,-,-,-,-,2,-,-,-,3,-,2,1,-,-,-,-,1,-,-,-,-,2,-,-,-
投票所までの時間別30分を超える,100.0,-,66.7,33.3,-,-,-,-,33.3,-,-,-,-,66.7,-,-,-,100.0,-,66.7,33.3,-,-,-,-,33.3,-,-,-,-,66.7,-,-,-
投票所までの時間別わからない,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
地域別区部（計）,1089,680,226,435,32,18,194,315,237,58,178,27,30,98,9,39,8,1131,717,248,538,48,18,377,344,110,31,238,35,41,96,12,27,7
地域別区部（計）,100.0,62.4,20.8,39.9,2.9,1.7,17.8,28.9,21.8,5.3,16.3,2.5,2.8,9.0,0.8,3.6,0.7,100.0,63.4,21.9,47.6,4.2,1.6,33.3,30.4,9.7,2.7,21.0,3.1,3.6,8.5,1.1,2.4,0.6
地域別センターコア,307,205,49,151,7,1,54,80,58,16,67,8,7,53,4,6,-,319,215,58,176,11,3,99,88,22,11,87,11,10,56,4,2,-
地域別センターコア,100.0,66.8,16.0,49.2,2.3,0.3,17.6,26.1,18.9,5.2,21.8,2.6,2.3,17.3,1.3,2.0,-,100.0,67.4,18.2,55.2,3.4,0.9,31.0,27.6,6.9,3.4,27.3,3.4,3.1,17.6,1.3,0.6,-
地域別区部東部・北部エリア,318,188,43,105,8,6,39,97,85,16,45,4,14,17,3,17,3,336,202,49,141,10,6,95,108,46,15,61,5,19,14,5,14,3
地域別区部東部・北部エリア,100.0,59.1,13.5,33.0,2.5,1.9,12.3,30.5,26.7,5.0,14.2,1.3,4.4,5.3,0.9,5.3,0.9,100.0,60.1,14.6,42.0,3.0,1.8,28.3,32.1,13.7,4.5,18.2,1.5,5.7,4.2,1.5,4.2,0.9
地域別区部西部・南部エリア,464,287,134,179,17,11,101,138,94,26,66,15,9,28,2,16,5,476,300,141,221,27,9,183,148,42,5,90,19,12,26,3,11,4
地域別区部西部・南部エリア,100.0,61.9,28.9,38.6,3.7,2.4,21.8,29.7,20.3,5.6,14.2,3.2,1.9,6.0,0.4,3.4,1.1,100.0,63.0,29.6,46.4,5.7,1.9,38.4,31.1,8.8,1.1,18.9,4.0,2.5,5.5,0.6,2.3,0.8
地域別市郡部（計）,346,194,93,149,17,11,40,58,48,13,19,8,14,20,1,17,2,360,215,102,157,16,9,66,76,29,7,33,12,12,17,1,15,-
地域別市郡部（計）,100.0,56.1,26.9,43.1,4.9,3.2,11.6,16.8,13.9,3.8,5.5,2.3,4.0,5.8,0.3,4.9,0.6,100.0,59.7,28.3,43.6,4.4,2.5,18.3,21.1,8.1,1.9,9.2,3.3,3.3,4.7,0.3,4.2,-
地域別多摩東部エリア,106,52,22,42,5,5,8,19,12,2,10,3,2,4,1,4,1,113,54,22,48,4,3,15,20,8,1,13,4,2,4,1,5,-
地域別多摩東部エリア,100.0,49.1,20.8,39.6,4.7,4.7,7.5,17.9,11.3,1.9,9.4,2.8,1.9,3.8,0.9,3.8,0.9,100.0,47.8,19.5,42.5,3.5,2.7,13.3,17.7,7.1,0.9,11.5,3.5,1.8,3.5,0.9,4.4,-
地域別多摩中央部北エリア,56,30,17,32,2,3,6,18,14,-,4,3,3,7,-,2,-,58,37,23,32,1,3,16,21,6,-,7,5,3,7,-,1,-
地域別多摩中央部北エリア,100.0,53.6,30.4,57.1,3.6,5.4,10.7,32.1,25.0,-,7.1,5.4,5.4,12.5,-,3.6,-,100.0,63.8,39.7,55.2,1.7,5.2,27.6,36.2,10.3,-,12.1,8.6,5.2,12.1,-,1.7,-
地域別多摩中央部南エリア,161,103,47,68,9,3,26,20,17,9,5,2,6,8,-,5,1,164,111,49,68,10,3,34,32,11,4,12,3,5,5,-,4,-
地域別多摩中央部南エリア,100.0,64.0,29.2,42.2,5.6,1.9,16.1,12.4,10.6,5.6,3.1,1.2,3.7,5.0,-,3.1,0.6,100.0,67.7,29.9,41.5,6.1,1.8,20.7,19.5,6.7,2.4,7.3,1.8,3.0,3.0,-,2.4,-
地域別多摩西部エリア,23,9,7,7,1,-,-,1,5,2,-,-,3,1,-,6,-,25,13,8,9,1,-,1,3,4,2,1,-,2,1,-,5,-
地域別多摩西部エリア,100.0,39.1,30.4,30.4,4.3,-,-,4.3,21.7,8.7,-,-,13.0,4.3,-,26.1,-,100.0,52.0,32.0,36.0,4.0,-,4.0,12.0,16.0,8.0,4.0,-,8.0,4.0,-,20.0,-
選挙への関心度別関心があった（計）,1206,789,297,539,45,27,197,336,267,45,167,32,35,96,10,16,4,1337,873,335,652,61,26,398,398,136,24,238,46,45,95,12,20,3
選挙への関心度別関心があった（計）,100.0,65.4,24.6,44.7,3.7,2.2,16.3,27.9,22.1,3.7,13.8,2.7,2.9,8.0,0.8,1.3,0.3,100.0,65.3,25.1,48.8,4.6,1.9,29.8,29.8,10.2,1.8,17.8,3.4,3.4,7.1,0.9,1.5,0.2
選挙への関心度別関心があった,608,395,167,277,27,16,89,189,155,15,58,14,25,32,7,8,2,738,482,204,356,39,17,179,248,100,6,99,25,31,32,8,9,2
選挙への関心度別関心があった,100.0,65.0,27.5,45.6,4.4,2.6,14.6,31.1,25.5,2.5,9.5,2.3,4.1,5.3,1.2,1.3,0.3,100.0,65.3,27.6,48.2,5.3,2.3,24.3,33.6,13.6,0.8,13.4,3.4,4.2,4.3,1.1,1.2,0.3
選挙への関心度別やや関心があった,598,394,130,262,18,11,108,147,112,30,109,18,10,64,3,8,2,599,391,131,296,22,9,219,150,36,18,139,21,14,63,4,11,1
選挙への関心度別やや関心があった,100.0,65.9,21.7,43.8,3.0,1.8,18.1,24.6,18.7,5.0,18.2,3.0,1.7,10.7,0.5,1.3,0.3,100.0,65.3,21.9,49.4,3.7,1.5,36.6,25.0,6.0,3.0,23.2,3.5,2.3,10.5,0.7,1.8,0.2
選挙への関心度別関心がなかった（計）,70,19,5,5,1,,12,6,4,4,5,,4,3,,21,5,45,12,3,6,,,10,4,1,3,3,,2,,,15,3
選挙への関心度別関心がなかった（計）,100.0,27.1,7.1,7.1,1.4,,17.1,8.6,5.7,5.7,7.1,,5.7,4.3,,30.0,7.1,100.0,26.7,6.7,13.3,,,22.2,8.9,2.2,6.7,6.7,,4.4,,,33.3,6.7
選挙への関心度別あまり関心がなかった,59,17,5,5,1,,12,6,3,4,4,,3,3,,16,4,36,11,3,5,-,-,9,4,-,3,1,-,1,-,-,10,3
選挙への関心度別あまり関心がなかった,100.0,28.8,8.5,8.5,1.7,,20.3,10.2,5.1,6.8,6.8,,5.1,5.1,,27.1,6.8,100.0,30.6,8.3,13.9,-,-,25.0,11.1,-,8.3,2.8,-,2.8,-,-,27.8,8.3
選挙への関心度別関心がなかった,11,2,,,,,,,1,,1,,1,,,5,1,9,1,-,1,-,-,1,-,1,-,2,-,1,-,-,5,-
選挙への関心度別関心がなかった,100.0,18.2,,,,,,,9.1,,9.1,,9.1,,,45.5,9.1,100.0,11.1,-,11.1,-,-,11.1,-,11.1,-,22.2,-,11.1,-,-,55.6,-
選挙への関心度別どちらともいえない,159,66,17,40,3,2,25,31,14,22,25,3,5,19,,19,1,109,47,12,37,3,1,35,18,2,11,30,1,6,18,1,7,1
選挙への関心度別どちらともいえない,100.0,41.5,10.7,25.2,1.9,1.3,15.7,19.5,8.8,13.8,15.7,1.9,3.1,11.9,,11.9,0.6,100.0,43.1,11.0,33.9,2.8,0.9,32.1,16.5,1.8,10.1,27.5,0.9,5.5,16.5,0.9,6.4,0.9
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）,1313,824,308,565,46,26,215,352,272,58,183,34,40,113,9,33,6,1351,878,335,659,60,23,396,399,135,27,237,44,41,107,11,21,4
投票への意識別投票するべき（計）,100.0,62.8,23.5,43.0,3.5,2.0,16.4,26.8,20.7,4.4,13.9,2.6,3.0,8.6,0.7,2.5,0.5,100.0,65.0,24.8,48.8,4.4,1.7,29.3,29.5,10.0,2.0,17.5,3.3,3.0,7.9,0.8,1.6,0.3
投票への意識別必ず投票するべき,584,392,154,256,27,12,81,194,162,17,54,15,24,32,4,10,2,607,426,168,301,32,10,150,226,95,5,72,19,25,29,4,11,2
投票への意識別必ず投票するべき,100.0,67.1,26.4,43.8,4.6,2.1,13.9,33.2,27.7,2.9,9.2,2.6,4.1,5.5,0.7,1.7,0.3,100.0,70.2,27.7,49.6,5.3,1.6,24.7,37.2,15.7,0.8,11.9,3.1,4.1,4.8,0.7,1.8,0.3
投票への意識別可能な限り投票するべき,729,432,154,309,19,14,134,158,110,41,129,19,16,81,5,23,4,744,452,167,358,28,13,246,173,40,22,165,25,16,78,7,10,2
投票への意識別可能な限り投票するべき,100.0,59.3,21.1,42.4,2.6,1.9,18.4,21.7,15.1,5.6,17.7,2.6,2.2,11.1,0.7,3.2,0.5,100.0,60.8,22.4,48.1,3.8,1.7,33.1,23.3,5.4,3.0,22.2,3.4,2.2,10.5,0.9,1.3,0.3
投票への意識別投票するのもしないのも自由,114,50,10,19,3,2,19,21,13,13,13,1,3,5,1,18,3,132,53,13,36,4,3,46,21,4,11,33,3,11,6,2,18,2
投票への意識別投票するのもしないのも自由,100.0,43.9,8.8,16.7,2.6,1.8,16.7,18.4,11.4,11.4,11.4,0.9,2.6,4.4,0.9,15.8,2.6,100.0,40.2,9.8,27.3,3.0,2.3,34.8,15.9,3.0,8.3,25.0,2.3,8.3,4.5,1.5,13.6,1.5
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,8,-,1,-,-,1,-,-,-,-,1,-,1,-,-,5,1,8,1,2,-,-,1,1,-,-,-,1,-,1,-,-,3,1
投票への意識別わからない,100.0,-,12.5,-,-,12.5,-,-,-,-,12.5,-,12.5,-,-,62.5,12.5,100.0,12.5,25.0,-,-,12.5,12.5,-,-,-,12.5,-,12.5,-,-,37.5,12.5
投票への参加状況別投票した（計）,1435,874,319,584,49,29,234,373,285,71,197,35,44,118,10,56,10,1491,932,350,695,64,27,443,420,139,38,271,47,53,113,13,42,7
投票への参加状況別投票した（計）,100.0,60.9,22.2,40.7,3.4,2.0,16.3,26.0,19.9,4.9,13.7,2.4,3.1,8.2,0.7,3.9,0.7,100.0,62.5,23.5,46.6,4.3,1.8,29.7,28.2,9.3,2.5,18.2,3.2,3.6,7.6,0.9,2.8,0.5
投票への参加状況別投票日に投票した,1226,763,274,476,41,22,200,322,246,59,169,21,34,103,8,49,9,1254,805,297,568,52,23,381,354,118,32,236,29,39,100,11,34,6
投票への参加状況別投票日に投票した,100.0,62.2,22.3,38.8,3.3,1.8,16.3,26.3,20.1,4.8,13.8,1.7,2.8,8.4,0.7,4.0,0.7,100.0,64.2,23.7,45.3,4.1,1.8,30.4,28.2,9.4,2.6,18.8,2.3,3.1,8.0,0.9,2.7,0.5
投票への参加状況別期日前投票（又は不在者投票等）をした,209,111,45,108,8,7,34,51,39,12,28,14,10,15,2,7,1,237,127,53,127,12,4,62,66,21,6,35,18,14,13,2,8,1
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,53.1,21.5,51.7,3.8,3.3,16.3,24.4,18.7,5.7,13.4,6.7,4.8,7.2,1,3.3,0.5,100.0,53.6,22.4,53.6,5.1,1.7,26.2,27.8,8.9,2.5,14.8,7.6,5.9,5.5,0.8,3.4,0.4
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読別定期購読している,1076,701,251,465,40,20,170,309,232,49,146,12,32,91,8,27,5,1110,741,272,543,46,19,321,337,123,24,204,17,38,89,9,16,4
新聞の定期購読別定期購読している,100.0,65.1,23.3,43.2,3.7,1.9,15.8,28.7,21.6,4.6,13.6,1.1,3.0,8.5,0.7,2.5,0.5,100.0,66.8,24.5,48.9,4.1,1.7,28.9,30.4,11.1,2.2,18.4,1.5,3.4,8.0,0.8,1.4,0.4
新聞の定期購読別定期購読していない,359,173,68,119,9,9,64,64,53,22,51,23,12,27,2,29,5,381,191,78,152,18,8,122,83,16,14,67,30,15,24,4,26,3
新聞の定期購読別定期購読していない,100.0,48.2,18.9,33.1,2.5,2.5,17.8,17.8,14.8,6.1,14.2,6.4,3.3,7.5,0.6,8.1,1.4,100.0,50.1,20.5,39.9,4.7,2.1,32.0,21.8,4.2,3.7,17.6,7.9,3.9,6.3,1.0,6.8,0.8
インターネットの利用有無別インターネットを利用している,838,484,154,366,23,16,143,233,168,44,130,34,32,93,4,34,6,865,523,175,427,36,15,271,264,69,20,171,46,35,87,7,24,5
インターネットの利用有無別インターネットを利用している,100.0,57.8,18.4,43.7,2.7,1.9,17.1,27.8,20.0,5.3,15.5,4.1,3.8,11.1,0.5,4.1,0.7,100.0,60.5,20.2,49.4,4.2,1.7,31.3,30.5,8.0,2.3,19.8,5.3,4,10.1,0.8,2.8,0.6
インターネットの利用有無別インターネットを利用していない,597,390,165,218,26,13,91,140,117,27,67,1,12,25,6,22,4,626,409,175,268,28,12,172,156,70,18,100,1,18,26,6,18,2
インターネットの利用有無別インターネットを利用していない,100.0,65.3,27.6,36.5,4.4,2.2,15.2,23.5,19.6,4.5,11.2,0.2,2,4.2,1,3.7,0.7,100.0,65.3,28.0,42.8,4.5,1.9,27.5,24.9,11.2,2.9,16.0,0.2,2.9,4.2,1.0,2.9,0.3
