,参議院議員選挙/調査数,参議院議員選挙/当選させたい候補者がいたから,参議院議員選挙/自分の支持する政党の推す候補者を当選させたかったから,参議院議員選挙/国政、都政をよくするためには、投票することが大切だと思ったから,参議院議員選挙/今の政治がよくないので、変えたいと思ったから,参議院議員選挙/自分の関係する団体、組織、知り合いの人に投票を頼まれたから,参議院議員選挙/投票することは、義務であるから,参議院議員選挙/投票することは、権利であるから,参議院議員選挙/当選させたくない候補者がいたから,参議院議員選挙/友人や家族が行くから、なんとなく,参議院議員選挙/投票率が気になったから,参議院議員選挙/テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,参議院議員選挙/インターネット上の情報を見て興味を持ったから,参議院議員選挙/その他,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/当選させたい候補者がいたから,東京都知事選挙/自分の支持する政党の推す候補者を当選させたかったから,東京都知事選挙/国政、都政をよくするためには、投票することが大切だと思ったから,東京都知事選挙/今の政治がよくないので、変えたいと思ったから,東京都知事選挙/自分の関係する団体、組織、知り合いの人に投票を頼まれたから,東京都知事選挙/投票することは、義務であるから,東京都知事選挙/投票することは、権利であるから,東京都知事選挙/当選させたくない候補者がいたから,東京都知事選挙/友人や家族が行くから、なんとなく,東京都知事選挙/投票率が気になったから,東京都知事選挙/テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,東京都知事選挙/インターネット上の情報を見て興味を持ったから,東京都知事選挙/その他,東京都知事選挙/わからない
地域別多摩中央部北エリア,56,15,18,40,13,1,20,18,2,-,1,6,3,-,-,58,27,8,43,16,1,18,18,2,-,1,8,5,-,-
地域別多摩中央部北エリア,100.0,26.8,32.1,71.4,23.2,1.8,35.7,32.1,3.6,-,1.8,10.7,5.4,-,-,100.0,46.6,13.8,74.1,27.6,1.7,31.0,31.0,3.4,-,1.7,13.8,8.6,-,-
地域別多摩中央部南エリア,161,63,36,90,53,8,67,43,2,5,2,8,-,-,1,164,76,25,93,54,5,67,42,3,4,1,13,-,-,1
地域別多摩中央部南エリア,100.0,39.1,22.4,55.9,32.9,5.0,41.6,26.7,1.2,3.1,1.2,5.0,-,-,0.6,100.0,46.3,15.2,56.7,32.9,3.0,40.9,25.6,1.8,2.4,0.6,7.9,-,-,0.6
地域別多摩西部エリア,23,8,3,12,2,4,14,8,-,1,-,2,-,-,-,25,9,3,13,3,3,15,9,-,-,-,1,-,-,-
地域別多摩西部エリア,100.0,34.8,13.0,52.2,8.7,17.4,60.9,34.8,-,4.3,-,8.7,-,-,-,100.0,36.0,12.0,52.0,12.0,12.0,60.0,36.0,-,-,-,4.0,-,-,-
選挙への関心度別関心があった（計）,1206,480,467,681,342,53,376,339,35,10,31,74,22,2,2,1337,721,283,740,396,38,393,364,49,15,40,135,30,2,2
選挙への関心度別関心があった（計）,100.0,39.8,38.7,56.5,28.4,4.4,31.2,28.1,2.9,0.8,2.6,6.1,1.8,0.2,0.2,100.0,53.9,21.2,55.3,29.6,2.8,29.4,27.2,3.7,1.1,3.0,10.1,2.2,0.1,0.1
選挙への関心度別関心があった,608,264,247,341,175,23,220,187,24,3,13,33,11,2,2,738,400,172,427,222,16,264,227,31,6,20,68,20,2,2
選挙への関心度別関心があった,100.0,43.4,40.6,56.1,28.8,3.8,36.2,30.8,3.9,0.5,2.1,5.4,1.8,0.3,0.3,100.0,54.2,23.3,57.9,30.1,2.2,35.8,30.8,4.2,0.8,2.7,9.2,2.7,0.3,0.3
選挙への関心度別やや関心があった,598,216,220,340,167,30,156,152,11,7,18,41,11,-,-,599,321,111,313,174,22,129,137,18,9,20,67,10,-,-
選挙への関心度別やや関心があった,100.0,36.1,36.8,56.9,27.9,5.0,26.1,25.4,1.8,1.2,3.0,6.9,1.8,-,-,100.0,53.6,18.5,52.3,29.0,3.7,21.5,22.9,3.0,1.5,3.3,11.2,1.7,-,-
選挙への関心度別関心がなかった（計）,70,13,8,17,9,4,10,10,6,13,3,2,1,,7,45,12,2,6,3,1,3,4,3,15,2,1,,,5
選挙への関心度別関心がなかった（計）,100.0,18.6,11.4,24.3,12.9,5.7,14.3,14.3,8.6,18.6,4.3,2.9,1.4,,10.0,100.0,26.7,4.4,13.3,6.7,2.2,6.7,8.9,6.7,33.3,4.4,2.2,,,11.1
選挙への関心度別あまり関心がなかった,59,12,8,15,8,4,9,9,5,9,3,2,1,-,5,36,10,2,4,2,1,3,3,2,10,2,-,-,-,5
選挙への関心度別あまり関心がなかった,100.0,20.3,13.6,25.4,13.6,6.8,15.3,15.3,8.5,15.3,5.1,3.4,1.7,-,8.5,100.0,27.8,5.6,11.1,5.6,2.8,8.3,8.3,5.6,27.8,5.6,-,-,-,13.9
選挙への関心度別関心がなかった,11,1,-,2,1,-,1,1,1,4,-,-,-,-,2,9,2,-,2,1,-,-,1,1,5,-,1,-,-,-
選挙への関心度別関心がなかった,100.0,9.1,-,18.2,9.1,-,9.1,9.1,9.1,36.4,-,-,-,-,18.2,100.0,22.2,-,22.2,11.1,-,-,11.1,11.1,55.6,-,11.1,-,-,-
選挙への関心度別どちらともいえない,159,31,26,56,36,23,23,29,10,13,6,11,1,-,5,109,33,8,35,24,9,10,15,5,13,5,22,3,1,2
選挙への関心度別どちらともいえない,100.0,19.5,16.4,35.2,22.6,14.5,14.5,18.2,6.3,8.2,3.8,6.9,0.6,-,3.1,100.0,30.3,7.3,32.1,22.0,8.3,9.2,13.8,4.6,11.9,4.6,20.2,2.8,0.9,1.8
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）,1313,504,474,723,369,66,404,355,46,14,35,77,23,2,6,1351,710,285,747,405,39,401,359,52,13,39,129,29,2,4
投票への意識別投票するべき（計）,100.0,38.4,36.1,55.1,28.1,5.0,30.8,27.0,3.5,1.1,2.7,5.9,1.8,0.2,0.5,100.0,52.6,21.1,55.3,30.0,2.9,29.7,26.6,3.8,1.0,2.9,9.5,2.1,0.1,0.3
投票への意識別必ず投票するべき,584,274,257,314,138,23,237,191,22,2,11,33,11,1,3,607,376,167,333,163,13,238,198,21,-,13,42,13,1,2
投票への意識別必ず投票するべき,100.0,46.9,44.0,53.8,23.6,3.9,40.6,32.7,3.8,0.3,1.9,5.7,1.9,0.2,0.5,100.0,61.9,27.5,54.9,26.9,2.1,39.2,32.6,3.5,-,2.1,6.9,2.1,0.2,0.3
投票への意識別可能な限り投票するべき,729,230,217,409,231,43,167,164,24,12,24,44,12,1,3,744,334,118,414,242,26,163,161,31,13,26,87,16,1,2
投票への意識別可能な限り投票するべき,100.0,31.6,29.8,56.1,31.7,5.9,22.9,22.5,3.3,1.6,3.3,6.0,1.6,0.1,0.4,100.0,44.9,15.9,55.6,32.5,3.5,21.9,21.6,4.2,1.7,3.5,11.7,2.2,0.1,0.3
投票への意識別投票するのもしないのも自由,114,20,26,30,17,14,4,21,5,20,5,9,1,-,6,132,55,7,32,17,9,4,21,5,29,8,28,4,1,3
投票への意識別投票するのもしないのも自由,100.0,17.5,22.8,26.3,14.9,12.3,3.5,18.4,4.4,17.5,4.4,7.9,0.9,-,5.3,100.0,41.7,5.3,24.2,12.9,6.8,3.0,15.9,3.8,22.0,6.1,21.2,3.0,0.8,2.3
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,8,-,1,1,1,-,1,2,-,2,-,1,-,-,2,8,1,1,2,1,-,1,3,-,1,-,1,-,-,2
投票への意識別わからない,100.0,-,12.5,12.5,12.5,-,12.5,25.0,-,25.0,-,12.5,-,-,25.0,100.0,12.5,12.5,25.0,12.5,-,12.5,37.5,-,12.5,-,12.5,-,-,25.0
投票への参加状況別投票した（計）,1435,524,501,754,387,80,409,378,51,36,40,87,24,2,14,1491,766,293,781,423,48,406,383,57,43,47,158,33,3,9
投票への参加状況別投票した（計）,100.0,36.5,34.9,52.5,27.0,5.6,28.5,26.3,3.6,2.5,2.8,6.1,1.7,0.1,1.0,100.0,51.4,19.7,52.4,28.4,3.2,27.2,25.7,3.8,2.9,3.2,10.6,2.2,0.2,0.6
投票への参加状況別投票日に投票した,1226,448,436,646,325,60,353,306,39,34,32,77,16,1,13,1254,650,253,652,354,34,345,308,45,39,37,133,22,2,9
投票への参加状況別投票日に投票した,100.0,36.5,35.6,52.7,26.5,4.9,28.8,25.0,3.2,2.8,2.6,6.3,1.3,0.1,1.1,100.0,51.8,20.2,52.0,28.2,2.7,27.5,24.6,3.6,3.1,3.0,10.6,1.8,0.2,0.7
投票への参加状況別期日前投票（又は不在者投票等）をした,209,76,65,108,62,20,56,72,12,2,8,10,8,1,1,237,116,40,129,69,14,61,75,12,4,10,25,11,1,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,36.4,31.1,51.7,29.7,9.6,26.8,34.4,5.7,1,3.8,4.8,3.8,0.5,0.5,100.0,48.9,16.9,54.4,29.1,5.9,25.7,31.6,5.1,1.7,4.2,10.5,4.6,0.4,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読別定期購読している,1076,421,397,588,316,53,323,280,34,11,19,58,16,2,5,1110,593,242,606,341,34,324,282,38,12,20,99,17,2,2
新聞の定期購読別定期購読している,100.0,39.1,36.9,54.6,29.4,4.9,30.0,26.0,3.2,1.0,1.8,5.4,1.5,0.2,0.5,100.0,53.4,21.8,54.6,30.7,3.1,29.2,25.4,3.4,1.1,1.8,8.9,1.5,0.2,0.2
新聞の定期購読別定期購読していない,359,103,104,166,71,27,86,98,17,25,21,29,8,-,9,381,173,51,175,82,14,82,101,19,31,27,59,16,1,7
新聞の定期購読別定期購読していない,100.0,28.7,29.0,46.2,19.8,7.5,24.0,27.3,4.7,7.0,5.8,8.1,2.2,-,2.5,100.0,45.4,13.4,45.9,21.5,3.7,21.5,26.5,5.0,8.1,7.1,15.5,4.2,0.3,1.8
インターネットの利用有無別インターネットを利用している,838,268,266,468,236,48,216,244,26,24,32,55,21,1,8,865,409,134,484,261,25,213,244,33,27,37,99,31,2,6
インターネットの利用有無別インターネットを利用している,100,32.0,31.7,55.8,28.2,5.7,25.8,29.1,3.1,2.9,3.8,6.6,2.5,0.1,1.0,100.0,47.3,15.5,56.0,30.2,2.9,24.6,28.2,3.8,3.1,4.3,11.4,3.6,0.2,0.7
インターネットの利用有無別インターネットを利用していない,597,256,235,286,151,32,193,134,25,12,8,32,3,1,6,626,357,159,297,162,23,193,139,24,16,10,59,2,1,3
インターネットの利用有無別インターネットを利用していない,100.0,42.9,39.4,47.9,25.3,5.4,32.3,22.4,4.2,2,1.3,5.4,0.5,0.2,1.0,100.0,57.0,25.4,47.4,25.9,3.7,30.8,22.2,3.8,2.6,1.6,9.4,0.3,0.2,0.5
