,参議院議員選挙/調査数,参議院議員選挙/候補者・政党等のホームページ・ブログ,参議院議員選挙/候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,参議院議員選挙/候補者等からのメール,参議院議員選挙/Youtubeなど動画共有サイトでの候補者演説等選挙関連の動画,参議院議員選挙/候補者・政党以外のホームページ・ブログ,参議院議員選挙/候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,参議院議員選挙/ニュースサイトや選挙情報サイト,参議院議員選挙/まとめサイトや電子掲示板などその他のサイト,参議院議員選挙/その他,参議院議員選挙/触れていない、見ていない,参議院議員選挙/わからない、忘れた,東京都知事選挙/調査数,東京都知事選挙/候補者・政党等のホームページ・ブログ,東京都知事選挙/候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,東京都知事選挙/候補者等からのメール,東京都知事選挙/Youtubeなど動画共有サイトでの候補者演説等選挙関連の動画,東京都知事選挙/候補者・政党以外のホームページ・ブログ,東京都知事選挙/候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,東京都知事選挙/ニュースサイトや選挙情報サイト,東京都知事選挙/まとめサイトや電子掲示板などその他のサイト,東京都知事選挙/その他,東京都知事選挙/触れていない、見ていない,東京都知事選挙/わからない、忘れた
投票への意識別わからない,100.0,-,-,-,-,-,-,37.5,-,-,50.0,12.5,100.0,-,-,-,-,-,-,37.5,-,-,50.0,12.5
投票への参加状況別投票した（計）,1435,113,55,3,53,34,24,311,81,1,984,70,1491,107,62,2,58,35,35,335,93,1,1016,63
投票への参加状況別投票した（計）,100.0,7.9,3.8,0.2,3.7,2.4,1.7,21.7,5.6,0.1,68.6,4.9,100.0,7.2,4.2,0.1,3.9,2.3,2.3,22.5,6.2,0.1,68.1,4.2
投票への参加状況別投票日に投票した,1226,88,35,3,38,21,16,249,62,1,862,62,1254,74,40,2,43,23,26,257,67,1,880,59
投票への参加状況別投票日に投票した,100.0,7.2,2.9,0.2,3.1,1.7,1.3,20.3,5.1,0.1,70.3,5.1,100.0,5.9,3.2,0.2,3.4,1.8,2.1,20.5,5.3,0.1,70.2,4.7
投票への参加状況別期日前投票（又は不在者投票等）をした,209,25,20,-,15,13,8,62,19,-,122,8,237,33,22,-,15,12,9,78,26,-,136,4
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,12.0,9.6,-,7.2,6.2,3.8,29.7,9.1,-,58.4,3.8,100.0,13.9,9.3,-,6.3,5.1,3.8,32.9,11.0,-,57.4,1.7
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読別定期購読している,1076,68,25,3,29,13,11,207,49,-,776,51,1110,64,30,2,32,14,22,215,51,-,797,47
新聞の定期購読別定期購読している,100.0,6.3,2.3,0.3,2.7,1.2,1.0,19.2,4.6,-,72.1,4.7,100.0,5.8,2.7,0.2,2.9,1.3,2.0,19.4,4.6,-,71.8,4.2
新聞の定期購読別定期購読していない,359,45,30,-,24,21,13,104,32,1,208,19,381,43,32,-,26,21,13,120,42,1,219,16
新聞の定期購読別定期購読していない,100.0,12.5,8.4,-,6.7,5.8,3.6,29.0,8.9,0.3,57.9,5.3,100.0,11.3,8.4,-,6.8,5.5,3.4,31.5,11.0,0.3,57.5,4.2
インターネットの利用有無別インターネットを利用している,838,103,52,1,52,34,24,289,78,-,461,28,865,101,59,1,57,35,28,311,90,-,465,22
インターネットの利用有無別インターネットを利用している,100.0,12.3,6.2,0.1,6.2,4.1,2.9,34.5,9.3,-,55.0,3.3,100.0,11.7,6.8,0.1,6.6,4.0,3.2,36.0,10.4,-,53.8,2.5
インターネットの利用有無別インターネットを利用していない,597,10,3,2,1,-,-,22,3,1,523,42,626,6,3,1,1,-,7,24,3,1,551,41
インターネットの利用有無別インターネットを利用していない,100.0,1.7,0.5,0.3,0.2,-,-,3.7,0.5,0.2,87.6,7.0,100.0,1.0,0.5,0.2,0.2,-,1.1,3.8,0.5,0.2,88.0,6.5
