,参議院議員選挙/調査数,参議院議員選挙/テレビ・ラジオの選挙報道,参議院議員選挙/新聞・雑誌などの選挙報道,参議院議員選挙/選挙公報,参議院議員選挙/テレビ・ラジオの政見放送・経歴放送,参議院議員選挙/候補者等の新聞広告,参議院議員選挙/候補者等のポスター,参議院議員選挙/候補者等の街頭演説,参議院議員選挙/候補者等の選挙運動用自動車からの連呼,参議院議員選挙/候補者の個人演説会,参議院議員選挙/候補者のはがき・候補者等のビラ,参議院議員選挙/各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）,参議院議員選挙/候補者のホームページ、ツイッター等のネット上の情報,参議院議員選挙/候補者以外のホームページ、ツイッター等のネット上の情報,参議院議員選挙/政党、候補者の後援会などからの推薦,参議院議員選挙/各種団体からの推薦,参議院議員選挙/家族、友人、知人からの勧め,参議院議員選挙/その他,参議院議員選挙/どれにも接していない,参議院議員選挙/役立ったものはない,参議院議員選挙/わからない、忘れた,東京都知事選挙/調査数,東京都知事選挙/テレビ・ラジオの選挙報道,東京都知事選挙/新聞・雑誌などの選挙報道,東京都知事選挙/選挙公報,東京都知事選挙/テレビ・ラジオの政見放送・経歴放送,東京都知事選挙/候補者等の新聞広告,東京都知事選挙/候補者等のポスター,東京都知事選挙/候補者等の街頭演説,東京都知事選挙/候補者等の選挙運動用自動車からの連呼,東京都知事選挙/候補者の個人演説会,東京都知事選挙/候補者のはがき・候補者等のビラ,東京都知事選挙/候補者のホームページ、ツイッター等のネット上の情報,東京都知事選挙/候補者以外のホームページ、ツイッター等のネット上の情報,東京都知事選挙/政党、候補者の後援会などからの推薦,東京都知事選挙/各種団体からの推薦,東京都知事選挙/家族、友人、知人からの勧め,東京都知事選挙/その他,東京都知事選挙/どれにも接していない,東京都知事選挙/役立ったものはない,東京都知事選挙/わからない、忘れた
職業別その他（計）,694,580,375,269,162,102,160,60,37,5,30,27,5,4,16,12,26,1,4,29,6,720,615,391,279,154,113,171,108,53,5,29,7,8,10,8,23,1,2,26,11
職業別その他（計）,100.0,83.6,54.0,38.8,23.3,14.7,23.1,8.6,5.3,0.7,4.3,3.9,0.7,0.6,2.3,1.7,3.7,0.1,0.6,4.2,0.9,100.0,85.4,54.3,38.8,21.4,15.7,23.8,15.0,7.4,0.7,4.0,1.0,1.1,1.4,1.1,3.2,0.1,0.3,3.6,1.5
職業別生徒・学生,27,18,10,7,7,2,3,1,1,-,1,1,1,1,1,-,-,-,-,5,-,28,16,8,5,5,2,3,3,1,-,1,1,1,1,-,2,-,-,5,-
職業別生徒・学生,100.0,66.7,37.0,25.9,25.9,7.4,11.1,3.7,3.7,-,3.7,3.7,3.7,3.7,3.7,-,-,-,-,18.5,-,100.0,57.1,28.6,17.9,17.9,7.1,10.7,10.7,3.6,-,3.6,3.6,3.6,3.6,-,7.1,-,-,17.9,-
職業別専業主婦（夫）,340,297,174,125,81,53,89,32,17,1,16,14,1,2,6,6,20,-,1,8,1,354,321,189,134,76,61,97,66,29,2,15,2,5,3,4,14,-,-,6,3
職業別専業主婦（夫）,100.0,87.4,51.2,36.8,23.8,15.6,26.2,9.4,5.0,0.3,4.7,4.1,0.3,0.6,1.8,1.8,5.9,-,0.3,2.4,0.3,100.0,90.7,53.4,37.9,21.5,17.2,27.4,18.6,8.2,0.6,4.2,0.6,1.4,0.8,1.1,4.0,-,-,1.7,0.8
職業別その他,19,14,6,5,2,1,4,-,-,-,-,2,1,-,-,-,-,-,1,2,-,19,13,6,5,4,1,4,-,-,-,-,2,1,-,-,-,-,1,2,-
職業別その他,100.0,73.7,31.6,26.3,10.5,5.3,21.1,-,-,-,-,10.5,5.3,-,-,-,-,-,5.3,10.5,-,100.0,68.4,31.6,26.3,21.1,5.3,21.1,-,-,-,-,10.5,5.3,-,-,-,-,5.3,10.5,-
職業別無職（年金受給者含む）,308,251,185,132,72,46,64,27,19,4,13,10,2,1,9,6,6,1,2,14,5,319,265,188,135,69,49,67,39,23,3,13,2,1,6,4,7,1,1,13,8
職業別無職（年金受給者含む）,100.0,81.5,60.1,42.9,23.4,14.9,20.8,8.8,6.2,1.3,4.2,3.2,0.6,0.3,2.9,1.9,1.9,0.3,0.6,4.5,1.6,100.0,83.1,58.9,42.3,21.6,15.4,21.0,12.2,7.2,0.9,4.1,0.6,0.3,1.9,1.3,2.2,0.3,0.3,4.1,2.5
投票所までの時間別５分以内,359,286,159,109,80,58,99,50,19,8,31,26,20,15,14,1,14,1,2,12,2,371,301,167,111,80,69,103,66,23,7,28,21,16,11,1,14,1,-,11,6
投票所までの時間別５分以内,100.0,79.7,44.3,30.4,22.3,16.2,27.6,13.9,5.3,2.2,8.6,7.2,5.6,4.2,3.9,0.3,3.9,0.3,0.6,3.3,0.6,100.0,81.1,45.0,29.9,21.6,18.6,27.8,17.8,6.2,1.9,7.5,5.7,4.3,3.0,0.3,3.8,0.3,-,3.0,1.6
投票所までの時間別10分以内,838,709,426,314,214,142,245,63,54,5,51,58,31,28,15,13,41,1,3,32,8,876,754,441,329,197,144,262,144,78,6,53,41,38,9,6,31,1,3,33,10
投票所までの時間別10分以内,100.0,84.6,50.8,37.5,25.5,16.9,29.2,7.5,6.4,0.6,6.1,6.9,3.7,3.3,1.8,1.6,4.9,0.1,0.4,3.8,1.0,100.0,86.1,50.3,37.6,22.5,16.4,29.9,16.4,8.9,0.7,6.1,4.7,4.3,1.0,0.7,3.5,0.1,0.3,3.8,1.1
投票所までの時間別20分以内,222,193,139,82,46,19,49,20,9,2,3,1,6,6,3,4,4,1,1,5,3,228,201,140,81,47,19,51,27,11,3,2,4,5,3,4,6,1,-,6,3
投票所までの時間別20分以内,100.0,86.9,62.6,36.9,20.7,8.6,22.1,9.0,4.1,0.9,1.4,0.5,2.7,2.7,1.4,1.8,1.8,0.5,0.5,2.3,1.4,100.0,88.2,61.4,35.5,20.6,8.3,22.4,11.8,4.8,1.3,0.9,1.8,2.2,1.3,1.8,2.6,0.4,-,2.6,1.3
投票所までの時間別30分以内,12,10,8,4,6,2,1,1,-,-,1,-,1,1,1,-,-,-,-,-,1,12,10,8,5,5,2,1,2,-,-,-,1,1,-,-,1,-,-,-,1
投票所までの時間別30分以内,100.0,83.3,66.7,33.3,50.0,16.7,8.3,8.3,-,-,8.3,-,8.3,8.3,8.3,-,-,-,-,-,8.3,100.0,83.3,66.7,41.7,41.7,16.7,8.3,16.7,-,-,-,8.3,8.3,-,-,8.3,-,-,-,8.3
投票所までの時間別30分を超える,3,2,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,1,2,1,-,-,1,-,-,1,1,1,-,-,-,-,-,-,-
投票所までの時間別30分を超える,100.0,66.7,33.3,66.7,33.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,33.3,33.3,66.7,33.3,-,-,33.3,-,-,33.3,33.3,33.3,-,-,-,-,-,-,-
投票所までの時間別わからない,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
投票所までの時間別わからない,100.0,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-,-,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,100.0,-,-,-,-,-,-,-
地域別区部（計）,1089,926,529,394,280,202,357,119,77,11,79,72,44,38,19,10,47,2,5,37,13,1131,981,553,413,270,215,382,214,107,13,77,52,48,11,4,43,2,3,37,15
地域別区部（計）,100.0,85.0,48.6,36.2,25.7,18.5,32.8,10.9,7.1,1.0,7.3,6.6,4.0,3.5,1.7,0.9,4.3,0.2,0.5,3.4,1.2,100.0,86.7,48.9,36.5,23.9,19.0,33.8,18.9,9.5,1.1,6.8,4.6,4.2,1.0,0.4,3.8,0.2,0.3,3.3,1.3
地域別センターコア,307,266,133,83,106,53,115,43,24,2,37,38,14,19,10,4,15,-,1,10,2,319,288,145,91,102,59,122,66,27,2,37,15,21,7,2,13,-,1,8,2
地域別センターコア,100.0,86.6,43.3,27.0,34.5,17.3,37.5,14.0,7.8,0.7,12.1,12.4,4.6,6.2,3.3,1.3,4.9,-,0.3,3.3,0.7,100.0,90.3,45.5,28.5,32.0,18.5,38.2,20.7,8.5,0.6,11.6,4.7,6.6,2.2,0.6,4.1,-,0.3,2.5,0.6
地域別区部東部・北部エリア,318,258,164,140,64,67,100,26,23,2,17,10,14,6,2,2,9,2,-,22,5,336,272,169,143,62,68,104,68,42,2,16,15,9,2,1,17,2,-,21,7
地域別区部東部・北部エリア,100.0,81.1,51.6,44.0,20.1,21.1,31.4,8.2,7.2,0.6,5.3,3.1,4.4,1.9,0.6,0.6,2.8,0.6,-,6.9,1.6,100.0,81.0,50.3,42.6,18.5,20.2,31.0,20.2,12.5,0.6,4.8,4.5,2.7,0.6,0.3,5.1,0.6,-,6.3,2.1
地域別区部西部・南部エリア,464,402,232,171,110,82,142,50,30,7,25,24,16,13,7,4,23,-,4,5,6,476,421,239,179,106,88,156,80,38,9,24,22,18,2,1,13,-,2,8,6
地域別区部西部・南部エリア,100.0,86.6,50.0,36.9,23.7,17.7,30.6,10.8,6.5,1.5,5.4,5.2,3.4,2.8,1.5,0.9,5.0,-,0.9,1.1,1.3,100.0,88.4,50.2,37.6,22.3,18.5,32.8,16.8,8.0,1.9,5.0,4.6,3.8,0.4,0.2,2.7,-,0.4,1.7,1.3
地域別市郡部（計）,346,274,204,117,67,19,37,15,5,4,7,13,14,13,14,8,12,1,1,12,1,360,286,204,115,60,19,35,26,5,3,7,16,14,12,7,9,1,-,13,5
地域別市郡部（計）,100.0,79.2,59.0,33.8,19.4,5.5,10.7,4.3,1.4,1.2,2.0,3.8,4.0,3.8,4.0,2.3,3.5,0.3,0.3,3.5,0.3,100.0,79.4,56.7,31.9,16.7,5.3,9.7,7.2,1.4,0.8,1.9,4.4,3.9,3.3,1.9,2.5,0.3,-,3.6,1.4
地域別多摩東部エリア,106,80,52,26,25,8,9,7,1,2,2,6,8,5,6,4,2,-,1,4,-,113,86,52,28,22,8,7,6,-,1,3,9,5,7,4,2,-,-,4,4
地域別多摩東部エリア,100.0,75.5,49.1,24.5,23.6,7.5,8.5,6.6,0.9,1.9,1.9,5.7,7.5,4.7,5.7,3.8,1.9,-,0.9,3.8,-,100.0,76.1,46.0,24.8,19.5,7.1,6.2,5.3,-,0.9,2.7,8.0,4.4,6.2,3.5,1.8,-,-,3.5,3.5
地域別多摩中央部北エリア,56,43,24,16,17,4,13,4,1,2,2,3,5,4,1,-,3,1,-,2,1,58,44,22,16,13,4,12,7,1,2,1,5,4,1,-,3,1,-,3,1
地域別多摩中央部北エリア,100.0,76.8,42.9,28.6,30.4,7.1,23.2,7.1,1.8,3.6,3.6,5.4,8.9,7.1,1.8,-,5.4,1.8,-,3.6,1.8,100.0,75.9,37.9,27.6,22.4,6.9,20.7,12.1,1.7,3.4,1.7,8.6,6.9,1.7,-,5.2,1.7,-,5.2,1.7
地域別多摩中央部南エリア,161,137,119,70,24,7,12,4,1,-,3,3,1,1,6,1,5,-,-,4,-,164,140,119,65,23,7,12,12,1,-,2,2,2,3,-,4,-,-,4,-
地域別多摩中央部南エリア,100.0,85.1,73.9,43.5,14.9,4.3,7.5,2.5,0.6,-,1.9,1.9,0.6,0.6,3.7,0.6,3.1,-,-,2.5,-,100.0,85.4,72.6,39.6,14.0,4.3,7.3,7.3,0.6,-,1.2,1.2,1.2,1.8,-,2.4,-,-,2.4,-
地域別多摩西部エリア,23,14,9,5,1,-,3,-,2,-,-,1,-,3,1,3,2,-,-,2,-,25,16,11,6,2,-,4,1,3,-,1,-,3,1,3,-,-,-,2,-
地域別多摩西部エリア,100.0,60.9,39.1,21.7,4.3,-,13.0,-,8.7,-,-,4.3,-,13.0,4.3,13.0,8.7,-,-,8.7,-,100.0,64.0,44.0,24.0,8.0,-,16.0,4.0,12.0,-,4.0,-,12.0,4.0,12.0,-,-,-,8.0,-
選挙への関心度別関心があった（計）,1206,1026,669,479,309,200,338,119,72,14,72,77,56,46,30,15,28,3,4,28,12,1337,1151,723,515,310,216,370,223,103,15,73,64,56,22,10,35,3,3,36,17
選挙への関心度別関心があった（計）,100.0,85.1,55.5,39.7,25.6,16.6,28.0,9.9,6.0,1.2,6.0,6.4,4.6,3.8,2.5,1.2,2.3,0.2,0.3,2.3,1.0,100.0,86.1,54.1,38.5,23.2,16.2,27.7,16.7,7.7,1.1,5.5,4.8,4.2,1.6,0.7,2.6,0.2,0.2,2.7,1.3
選挙への関心度別関心があった,608,492,383,283,180,94,158,70,38,10,24,35,33,23,17,9,7,3,3,18,6,738,619,446,322,184,115,184,142,63,11,27,41,28,15,8,12,3,3,24,9
選挙への関心度別関心があった,100.0,80.9,63.0,46.5,29.6,15.5,26.0,11.5,6.3,1.6,3.9,5.8,5.4,3.8,2.8,1.5,1.2,0.5,0.5,3.0,1.0,100.0,83.9,60.4,43.6,24.9,15.6,24.9,19.2,8.5,1.5,3.7,5.6,3.8,2.0,1.1,1.6,0.4,0.4,3.3,1.2
選挙への関心度別やや関心があった,598,534,286,196,129,106,180,49,34,4,48,42,23,23,13,6,21,-,1,10,6,599,532,277,193,126,101,186,81,40,4,46,23,28,7,2,23,-,-,12,8
選挙への関心度別やや関心があった,100.0,89.3,47.8,32.8,21.6,17.7,30.1,8.2,5.7,0.7,8.0,7.0,3.8,3.8,2.2,1.0,3.5,-,0.2,1.7,1.0,100.0,88.8,46.2,32.2,21.0,16.9,31.1,13.5,6.7,0.7,7.7,3.8,4.7,1.2,0.3,3.8,-,-,2.0,1.3
選挙への関心度別関心がなかった（計）,70,50,20,8,10,1,10,3,6,1,1,-,-,1,-,1,6,-,1,9,1,45,26,9,3,3,1,6,4,3,1,-,1,2,-,-,5,-,-,8,2
選挙への関心度別関心がなかった（計）,100.0,71.4,28.6,11.4,14.3,1.4,14.3,4.3,8.6,1.4,1.4,-,-,1.4,-,1.4,8.6,-,1.4,12.9,1.4,100.0,57.8,20.0,6.7,6.7,2.2,13.3,8.9,6.7,2.2,-,2.2,4.4,-,-,11.1,-,-,17.8,4.4
選挙への関心度別あまり関心がなかった,59,41,17,8,7,1,7,3,5,1,1,-,-,1,-,1,6,-,1,8,1,36,21,7,2,2,-,5,4,3,1,-,1,2,-,-,3,-,-,7,2
選挙への関心度別あまり関心がなかった,100.0,69.5,28.8,13.6,11.9,1.7,11.9,5.1,8.5,1.7,1.7,-,-,1.7,-,1.7,10.2,-,1.7,13.6,1.7,100.0,58.3,19.4,5.6,5.6,-,13.9,11.1,8.3,2.8,-,2.8,5.6,-,-,8.3,-,-,19.4,5.6
選挙への関心度別関心がなかった,11,9,3,-,3,-,3,-,1,-,-,-,-,-,-,-,-,-,-,1,-,9,5,2,1,1,1,1,-,-,-,-,-,-,-,-,2,-,-,1,-
選挙への関心度別関心がなかった,100.0,81.8,27.3,-,27.3,-,27.3,-,9.1,-,-,-,-,-,-,-,-,-,-,9.1,-,100.0,55.6,22.2,11.1,11.1,11.1,11.1,-,-,-,-,-,-,-,-,22.2,-,-,11.1,-
選挙への関心度別どちらともいえない,159,124,44,24,28,20,46,12,4,-,13,8,2,4,3,2,25,-,1,12,1,109,90,25,10,17,17,41,13,6,-,11,3,4,1,1,12,-,-,6,1
選挙への関心度別どちらともいえない,100.0,78.0,27.7,15.1,17.6,12.6,28.9,7.5,2.5,-,8.2,5.0,1.3,2.5,1.9,1.3,15.7,-,0.6,7.5,0.6,100.0,82.6,22.9,9.2,15.6,15.6,37.6,11.9,5.5,-,10.1,2.8,3.7,0.9,0.9,11.0,-,-,5.5,0.9
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）,1313,1111,698,491,327,212,374,128,79,15,84,84,57,50,31,16,44,3,4,35,11,1351,1163,714,506,308,222,391,226,109,16,82,64,55,23,11,32,3,3,36,16
投票への意識別投票するべき（計）,100.0,84.6,53.2,37.4,24.9,16.1,28.5,9.7,6.0,1.1,6.4,6.4,4.3,3.8,2.4,1.2,3.4,0.2,0.3,2.7,0.8,100.0,86.1,52.8,37.5,22.8,16.4,28.9,16.7,8.1,1.2,6.1,4.7,4.1,1.7,0.8,2.4,0.2,0.2,2.7,1.2
投票への意識別必ず投票するべき,584,485,362,263,167,70,141,53,32,9,15,29,27,22,20,11,10,2,2,16,4,607,514,374,273,155,82,156,122,62,10,16,28,22,19,9,8,2,1,15,7
投票への意識別必ず投票するべき,100.0,83.0,62.0,45.0,28.6,12.0,24.1,9.1,5.5,1.5,2.6,5.0,4.6,3.8,3.4,1.9,1.7,0.3,0.3,2.7,0.7,100.0,84.7,61.6,45.0,25.5,13.5,25.7,20.1,10.2,1.6,2.6,4.6,3.6,3.1,1.5,1.3,0.3,0.2,2.5,1.2
投票への意識別可能な限り投票するべき,729,626,336,228,160,142,233,75,47,6,69,55,30,28,11,5,34,1,2,19,7,744,649,340,233,153,140,235,104,47,6,66,36,33,4,2,24,1,2,21,9
投票への意識別可能な限り投票するべき,100.0,85.9,46.1,31.3,21.9,19.5,32.0,10.3,6.4,0.8,9.5,7.5,4.1,3.8,1.5,0.7,4.7,0.1,0.3,2.6,1.0,100.0,87.2,45.7,31.3,20.6,18.8,31.6,14.0,6.3,0.8,8.9,4.8,4.4,0.5,0.3,3.2,0.1,0.3,2.8,1.2
投票への意識別投票するのもしないのも自由,114,85,34,20,19,9,19,6,3,-,2,1,1,-,2,2,14,-,1,14,2,132,99,41,22,21,12,25,14,3,-,2,4,6,-,-,19,-,-,14,3
投票への意識別投票するのもしないのも自由,100.0,74.6,29.8,17.5,16.7,7.9,16.7,5.3,2.6,-,1.8,0.9,0.9,-,1.8,1.8,12.3,-,0.9,12.3,1.8,100.0,75.0,31.1,16.7,15.9,9.1,18.9,10.6,2.3,-,1.5,3.0,4.5,-,-,14.4,-,-,10.6,2.3
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,8,4,1,-,1,-,1,-,-,-,-,-,-,1,-,-,1,-,1,-,1,8,5,2,-,1,-,1,-,-,-,-,-,1,-,-,1,-,-,-,1
投票への意識別わからない,100.0,50.0,12.5,-,12.5,-,12.5,-,-,-,-,-,-,12.5,-,-,12.5,-,12.5,-,12.5,100.0,62.5,25.0,-,12.5,-,12.5,-,-,-,-,-,12.5,-,-,12.5,-,-,-,12.5
投票への参加状況別投票した（計）,1435,1200,733,511,347,221,394,134,82,15,86,85,58,51,33,18,59,3,6,49,14,1491,1267,757,528,330,234,417,240,112,16,84,68,62,23,11,52,3,3,50,20
投票への参加状況別投票した（計）,100.0,83.6,51.1,35.6,24.2,15.4,27.5,9.3,5.7,1.0,6.0,5.9,4.0,3.6,2.3,1.3,4.1,0.2,0.4,3.4,1.0,100.0,85.0,50.8,35.4,22.1,15.7,28.0,16.1,7.5,1.1,5.6,4.6,4.2,1.5,0.7,3.5,0.2,0.2,3.4,1.3
投票への参加状況別投票日に投票した,1226,1046,641,433,298,202,350,111,70,13,79,75,39,32,29,13,51,2,4,41,13,1254,1080,645,443,273,205,373,205,100,15,76,42,38,21,8,45,2,2,41,16
投票への参加状況別投票日に投票した,100.0,85.3,52.3,35.3,24.3,16.5,28.5,9.1,5.7,1.1,6.4,6.1,3.2,2.6,2.4,1.1,4.2,0.2,0.3,3.3,1.1,100.0,86.1,51.4,35.3,21.8,16.3,29.7,16.3,8.0,1.2,6.1,3.3,3.0,1.7,0.6,3.6,0.2,0.2,3.3,1.3
投票への参加状況別期日前投票（又は不在者投票等）をした,209,154,92,78,49,19,44,23,12,2,7,10,19,19,4,5,8,1,2,8,1,237,187,112,85,57,29,44,35,12,1,8,26,24,2,3,7,1,1,9,4
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,73.7,44.0,37.3,23.4,9.1,21.1,11.0,5.7,1.0,3.3,4.8,9.1,9.1,1.9,2.4,3.8,0.5,1.0,3.8,0.5,100.0,78.9,47.3,35.9,24.1,12.2,18.6,14.8,5.1,0.4,3.4,11.0,10.1,0.8,1.3,3.0,0.4,0.4,3.8,1.7
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読別定期購読している,1076,928,652,428,278,203,313,110,67,14,76,69,25,21,26,16,30,1,4,23,9,1110,972,671,442,252,212,330,194,92,15,74,30,25,21,10,27,1,2,23,14
新聞の定期購読別定期購読している,100.0,86.2,60.6,39.8,25.8,18.9,29.1,10.2,6.2,1.3,7.1,6.4,2.3,2.0,2.4,1.5,2.8,0.1,0.4,2.1,0.8,100.0,87.6,60.5,39.8,22.7,19.1,29.7,17.5,8.3,1.4,6.7,2.7,2.3,1.9,0.9,2.4,0.1,0.2,2.1,1.3
新聞の定期購読別定期購読していない,359,272,81,83,69,18,81,24,15,1,10,16,33,30,7,2,29,2,2,26,5,381,295,86,86,78,22,87,46,20,1,10,38,37,2,1,25,2,1,27,6
新聞の定期購読別定期購読していない,100.0,75.8,22.6,23.1,19.2,5.0,22.6,6.7,4.2,0.3,2.8,4.5,9.2,8.4,1.9,0.6,8.1,0.6,0.6,7.2,1.4,100.0,77.4,22.6,22.6,20.5,5.8,22.8,12.1,5.2,0.3,2.6,10.0,9.7,0.5,0.3,6.6,0.5,0.3,7.1,1.6
インターネットの利用有無別インターネットを利用している,838,695,361,270,189,126,249,83,51,9,58,64,57,49,18,9,44,3,3,29,7,865,725,372,280,176,130,258,159,69,9,55,67,60,12,4,33,3,1,33,8
インターネットの利用有無別インターネットを利用している,100.0,82.9,43.1,32.2,22.6,15.0,29.7,9.9,6.1,1.1,6.9,7.6,6.8,5.8,2.1,1.1,5.3,0.4,0.4,3.5,0.8,100.0,83.8,43.0,32.4,20.3,15.0,29.8,18.4,8.0,1.0,6.4,7.7,6.9,1.4,0.5,3.8,0.3,0.1,3.8,0.9
インターネットの利用有無別インターネットを利用していない,597,505,372,241,158,95,145,51,31,6,28,21,1,2,15,9,15,-,3,20,7,626,542,385,248,154,104,159,81,43,7,29,1,2,11,7,19,-,2,17,12
インターネットの利用有無別インターネットを利用していない,100.0,84.6,62.3,40.4,26.5,15.9,24.3,8.5,5.2,1.0,4.7,3.5,0.2,0.3,2.5,1.5,2.5,-,0.5,3.4,1.2,100.0,86.6,61.5,39.6,24.6,16.6,25.4,12.9,6.9,1.1,4.6,0.2,0.3,1.8,1.1,3.0,-,0.3,2.7,1.9
