,参議院議員選挙/調査数,参議院議員選挙/旅行に出かけていたから,参議院議員選挙/投票日を忘れていたから、知らなかったから,参議院議員選挙/投票所へ行くのが面倒だったから,参議院議員選挙/投票所が遠かった（不便だった、わからなかった）から,参議院議員選挙/適当な候補者がいなかったから,参議院議員選挙/候補者の人柄や政策がわからなかったから,参議院議員選挙/政治や選挙には関心がないから,参議院議員選挙/仕事が忙しく、時間がなかったから,参議院議員選挙/病気（看病を含む）又は体調が悪かったから,参議院議員選挙/選挙によって政治や暮らしが良くなるわけではないから,参議院議員選挙/自分一人が投票しなくても選挙の結果に影響がないから,参議院議員選挙/その他,参議院議員選挙/わからない、忘れた,東京都知事選挙/調査数,東京都知事選挙/旅行に出かけていたから,東京都知事選挙/投票日を忘れていたから、知らなかったから,東京都知事選挙/投票所へ行くのが面倒だったから,東京都知事選挙/投票所が遠かった（不便だった、わからなかった）から,東京都知事選挙/適当な候補者がいなかったから,東京都知事選挙/候補者の人柄や政策がわからなかったから,東京都知事選挙/政治や選挙には関心がないから,東京都知事選挙/仕事が忙しく、時間がなかったから,東京都知事選挙/病気（看病を含む）又は体調が悪かったから,東京都知事選挙/選挙によって政治や暮らしが良くなるわけではないから,東京都知事選挙/自分一人が投票しなくても選挙の結果に影響がないから,東京都知事選挙/その他,東京都知事選挙/わからない、忘れた
選挙への関心度別あまり関心がなかった,64,3,4,4,3,6,3,10,28,10,13,18,3,-,52,1,4,4,2,4,1,10,25,7,12,16,2,-
選挙への関心度別あまり関心がなかった,100.0,4.7,6.3,6.3,4.7,9.4,4.7,15.6,43.8,15.6,20.3,28.1,4.7,-,100.0,1.9,7.7,7.7,3.8,7.7,1.9,19.2,48.1,13.5,23.1,30.8,3.8,-
選挙への関心度別関心がなかった,87,3,2,8,1,9,-,26,23,16,17,22,1,2,74,2,-,7,1,8,-,25,18,14,16,16,1,2
選挙への関心度別関心がなかった,100.0,3.4,2.3,9.2,1.1,10.3,-,29.9,26.4,18.4,19.5,25.3,1.1,2.3,100.0,2.7,-,9.5,1.4,10.8,-,33.8,24.3,18.9,21.6,21.6,1.4,2.7
選挙への関心度別どちらともいえない,138,8,7,17,3,40,9,13,53,23,12,13,2,1,98,3,5,14,3,14,2,15,41,19,12,10,1,-
選挙への関心度別どちらともいえない,100.0,5.8,5.1,12.3,2.2,29.0,6.5,9.4,38.4,16.7,8.7,9.4,1.4,0.7,100.0,3.1,5.1,14.3,3.1,14.3,2.0,15.3,41.8,19.4,12.2,10.2,1.0,-
選挙への関心度別わからない,14,1,1,2,1,1,1,1,-,6,-,-,-,3,14,1,1,2,1,1,1,1,-,6,-,-,-,3
選挙への関心度別わからない,100.0,7.1,7.1,14.3,7.1,7.1,7.1,7.1,-,42.9,-,-,-,21.4,100.0,7.1,7.1,14.3,7.1,7.1,7.1,7.1,-,42.9,-,-,-,21.4
投票への意識別投票するべき（計）,118,9,3,6,-,25,7,5,43,32,1,9,7,2,88,6,4,4,-,9,2,4,38,27,-,5,3,1
投票への意識別投票するべき（計）,100.0,7.6,2.5,5.1,-,21.2,5.9,4.2,36.4,27.1,0.8,7.6,5.9,1.7,100.0,6.8,4.5,4.5,-,10.2,2.3,4.5,43.2,30.7,-,5.7,3.4,1.1
投票への意識別必ず投票するべき,12,1,-,-,-,-,1,-,2,6,-,-,2,-,6,1,-,-,-,-,-,-,1,4,-,-,-,-
投票への意識別必ず投票するべき,100.0,8.3,-,-,-,-,8.3,-,16.7,50.0,-,-,16.7,-,100.0,16.7,-,-,-,-,-,-,16.7,66.7,-,-,-,-
投票への意識別可能な限り投票するべき,106,8,3,6,-,25,6,5,41,26,1,9,5,2,82,5,4,4,-,9,2,4,37,23,-,5,3,1
投票への意識別可能な限り投票するべき,100.0,7.5,2.8,5.7,-,23.6,5.7,4.7,38.7,24.5,0.9,8.5,4.7,1.9,100.0,6.1,4.9,4.9,-,11.0,2.4,4.9,45.1,28.0,-,6.1,3.7,1.2
投票への意識別投票するのもしないのも自由,225,5,10,22,7,40,7,44,81,39,40,47,4,4,198,4,7,21,7,19,2,45,76,34,39,40,4,4
投票への意識別投票するのもしないのも自由,100.0,2.2,4.4,9.8,3.1,17.8,3.1,19.6,36.0,17.3,17.8,20.9,1.8,1.8,100.0,2.0,3.5,10.6,3.5,9.6,1.0,22.7,38.4,17.2,19.7,20.2,2.0,2.0
投票への意識別その他,1,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-
投票への意識別その他,100.0,-,-,-,-,-,-,-,-,100.0,-,-,-,-,100.0,-,-,-,-,-,-,-,-,100.0,-,-,-,-
投票への意識別わからない,33,2,2,5,1,3,-,4,7,12,1,2,-,1,34,1,2,5,1,3,-,4,7,12,2,2,1,1
投票への意識別わからない,100.0,6.1,6.1,15.2,3.0,9.1,-,12.1,21.2,36.4,3.0,6.1,-,3.0,100.0,2.9,5.9,14.7,2.9,8.8,-,11.8,20.6,35.3,5.9,5.9,2.9,2.9
投票への参加状況別投票した（計）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票した（計）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票日に投票した,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票日に投票した,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,377,16,15,33,8,68,14,53,131,84,42,58,11,7,321,11,13,30,8,31,4,53,121,74,41,47,8,6
投票への参加状況別投票しなかった,100.0,4.2,4.0,8.8,2.1,18.0,3.7,14.1,34.7,22.3,11.1,15.4,2.9,1.9,100.0,3.4,4.0,9.3,2.5,9.7,1.2,16.5,37.7,23.1,12.8,14.6,2.5,1.9
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読別定期購読している,160,9,3,8,3,31,6,11,48,53,11,18,4,1,126,8,3,7,3,9,2,11,43,44,10,14,2,-
新聞の定期購読別定期購読している,100.0,5.6,1.9,5.0,1.9,19.4,3.8,6.9,30.0,33.1,6.9,11.3,2.5,0.6,100.0,6.3,2.4,5.6,2.4,7.1,1.6,8.7,34.1,34.9,7.9,11.1,1.6,-
新聞の定期購読別定期購読していない,217,7,12,25,5,37,8,42,83,31,31,40,7,6,195,3,10,23,5,22,2,42,78,30,31,33,6,6
新聞の定期購読別定期購読していない,100.0,3.2,5.5,11.5,2.3,17.1,3.7,19.4,38.2,14.3,14.3,18.4,3.2,2.8,100.0,1.5,5.1,11.8,2.6,11.3,1.0,21.5,40.0,15.4,15.9,16.9,3.1,3.1
インターネットの利用有無別インターネットを利用している,212,9,10,21,4,46,7,43,108,12,34,41,4,2,185,8,8,20,4,22,2,43,98,11,34,35,4,1
インターネットの利用有無別インターネットを利用している,100.0,4.2,4.7,9.9,1.9,21.7,3.3,20.3,50.9,5.7,16.0,19.3,1.9,0.9,100.0,4.3,4.3,10.8,2.2,11.9,1.1,23.2,53,5.9,18.4,18.9,2.2,0.5
インターネットの利用有無別インターネットを利用していない,165,7,5,12,4,22,7,10,23,72,8,17,7,5,136,3,5,10,4,9,2,10,23,63,7,12,4,5
インターネットの利用有無別インターネットを利用していない,100.0,4.2,3.0,7.3,2.4,13.3,4.2,6.1,13.9,43.6,4.8,10.3,4.2,3.0,100.0,2.2,3.7,7.4,2.9,6.6,1.5,7.4,16.9,46.3,5.1,8.8,2.9,3.7
